	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.E7.A8O7.01A.11R.A36F.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.DK.A1AA.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.CF.A9FM.01A.11R.A38B.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.VS.A954.01A.11R.A38B.07	TCGA.C5.A1M8.01A.21R.A13Y.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.97.7552.01A.11R.2039.07	GTEX.U3ZN.0626.SM.3DB7U	TCGA.BR.6803.01A.11R.1884.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.VQ.A8P8.01A.11R.A39E.31	TCGA.BR.8364.01A.11R.2343.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
NDFIP1	1225.22	1001.93	540.19	825.0	1066.48	884.29	1225.22	743.43	896.64	934.76	1350.18	1259.69	733.19	525.39	669.92	551.56	1487.87	603.67	384.34	647.07	698.41	791.35	595.34	1977.24	2090.03	780.44	693.58	3280.18	1457.23	1605.83	1088.92	921.88	1066.48	1295.13	1233.75	1037.29	1697.45	1066.48	1674.06	1477.58	878.17	1268.46	1242.34	1023.0	1674.06	1225.22	1277.29	1250.98	1359.57	1359.57
NME5	5.23	44.25	3.72	41.52	6.31	5.73	149.12	0.0	3.38	5.87	49.56	4.31	27.64	12.64	25.91	75.11	186.4	29.48	0.0	3.47	0.0	54.33	9.93	133.36	136.19	1.3	2.1	473.41	189.02	743.43	27.84	35.25	15.22	74.06	16.27	24.63	35.5	32.36	120.94	52.45	15.11	53.57	25.91	35.76	43.02	98.04	67.59	57.08	27.64	97.36
NUP98	830.75	890.44	432.53	633.73	743.43	579.04	830.75	490.14	728.11	698.41	884.29	616.37	656.11	366.09	633.73	612.11	915.51	409.15	480.04	612.11	536.45	429.54	848.22	1119.56	1073.91	791.35	368.65	878.17	1088.92	1044.52	1008.9	1417.35	1427.22	1111.82	825.0	1135.2	1151.06	1397.83	1286.18	1119.56	1427.22	1159.07	1407.55	934.76	785.88	813.63	688.78	684.02	684.02	854.13
PARP8	403.5	356.05	151.22	204.07	361.04	303.44	612.11	299.25	25.35	123.5	320.8	183.82	353.59	183.82	183.82	171.45	414.87	159.9	148.09	194.36	74.06	211.31	198.47	318.57	366.09	36.53	145.02	551.56	947.83	435.55	518.15	547.75	381.68	684.02	392.44	429.54	638.15	540.19	813.63	412.0	341.51	507.46	595.34	395.18	624.99	599.49	426.57	674.59	406.31	555.41
PCDHGA10	25.54	1.95	8.45	87.03	55.49	19.25	248.0	8.92	2.78	6.78	6.62	199.85	56.68	4.28	17.25	18.29	107.38	18.7	3.17	38.12	4.62	3.56	14.24	86.43	67.59	12.74	5.32	57.49	215.77	35.0	53.19	26.47	24.99	38.67	228.13	87.65	44.25	78.89	103.69	150.17	279.14	46.5	134.3	45.21	72.01	22.75	40.64	25.54	34.02	20.56
PGA3	0.37	22.43	0.0	0.0	0.0	1.95	21.94	0.0	0.0	0.0	4.31	0.37	0.0	1.35	0.0	0.0	1.55	0.0	0.0	1.48	0.0	0.0	10.31	14.56	146.03	0.0	5.59	12.45	1.41	3.41	1019901.63	1739208.14	925580.18	5849977.94	7560235.84	6673442.71	2039804.27	5611673.89	3007221.12	1273174.62	1634025.56	532.74	10808.41	2617937.91	2.339991475E7	8505707.6	6581567.44	2636147.11	2.276004283E7	7456151.83
PICALM	1447.15	1250.98	1073.91	1119.56	961.07	1191.69	2090.03	1073.91	1709.26	1208.34	2935.74	1340.84	2163.77	819.3	1963.57	1369.04	2047.0	1508.65	909.17	1369.04	1417.35	884.29	703.28	4095.0	6207.38	656.11	698.41	6840.04	3039.3	3212.66	2193.99	2520.38	3190.46	2816.11	2319.15	1963.57	3303.0	2319.15	2796.65	2047.0	4066.71	2627.46	3467.27	1896.65	1991.0	1561.89	1313.23	1407.55	1519.15	1487.87
PIK3C2A	181.28	148.09	87.65	115.16	144.01	178.77	249.73	108.14	133.36	108.9	258.57	79.45	166.73	42.71	108.9	148.09	209.84	85.22	83.45	89.51	142.01	50.63	72.01	780.44	825.0	119.26	36.01	1159.07	397.93	547.75	400.71	400.71	738.29	638.15	323.03	409.15	713.11	332.14	665.29	371.22	536.45	473.41	638.15	368.65	414.87	295.11	329.84	303.44	417.77	262.2
PJA2	532.74	256.78	244.57	303.44	336.79	361.04	540.19	314.17	303.44	444.72	764.36	241.19	769.69	165.57	371.22	429.54	559.28	246.28	194.36	246.28	275.28	164.42	129.69	2119.22	2240.11	329.84	260.38	2777.33	1407.55	2090.03	1066.48	928.3	669.92	1151.06	559.28	698.41	1216.75	878.17	1081.39	1037.29	830.75	1008.9	1487.87	400.71	878.17	693.58	599.49	473.41	486.75	775.05
POLK	129.69	73.03	48.87	72.52	102.25	98.04	120.94	81.14	69.52	92.05	145.02	33.3	145.02	26.1	78.89	94.01	152.28	55.89	24.28	58.3	58.3	52.45	37.32	470.14	559.28	75.11	54.72	543.96	346.29	423.61	198.47	221.86	147.06	316.37	129.69	136.19	397.93	205.5	397.93	346.29	242.88	229.72	341.51	86.43	173.85	164.42	105.89	163.28	96.68	159.9
PRKD3	208.38	176.29	215.77	37.85	158.79	287.01	417.77	173.85	105.89	201.25	279.14	71.5	260.38	96.68	226.54	191.67	256.78	130.6	239.52	155.5	197.09	76.71	232.94	525.39	612.11	93.35	96.01	915.51	463.65	463.65	249.73	764.36	429.54	567.1	178.77	255.0	376.41	291.04	351.14	253.23	414.87	371.22	392.44	253.23	316.37	312.0	312.0	323.03	251.48	392.44
