	GTEX.YB5E.0326.SM.5IFHU	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF29.2026.SM.4WWB7	GTEX.13PVR.0126.SM.5S2PY	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13FTW.0626.SM.5IFEX
RNF144A	24.63	10.16	30.12	13.32	10.79	19.11	23.25	146.03	158.79	214.27	275.28	120.1	115.97	38.4	34.26	101.54	87.03	167.9	58.3	61.25	61.25	49.21	63.89	61.68	42.41	136.19	173.85	97.36	194.36	103.69	145.02	90.77	67.12	52.45	29.06	61.25	33.3	35.5	115.97	59.13	112.77	92.05	29.91	20.56	40.36	291.04	35.5	51.35	47.84	224.97	77.25	51.35	38.12
SAFB2	305.55	497.0	536.45	384.34	356.05	363.56	426.57	2591.27	1806.78	2148.82	1769.57	1733.13	1111.82	1208.34	1250.98	1104.13	941.27	1561.89	1674.06	1044.52	1467.37	1216.75	1175.27	1295.13	1081.39	1721.16	1561.89	1769.57	2384.37	1572.76	1359.57	1167.14	1819.35	1037.29	1135.2	1167.14	1081.39	1268.46	1991.0	1331.57	1216.75	1059.11	1104.13	708.18	1417.35	2163.77	1277.29	1674.06	1340.84	1685.71	1639.59	1208.34	830.75
SCAMP4	260.38	392.44	164.42	432.53	454.09	348.71	473.41	1936.53	1832.01	1733.13	1844.76	1781.89	1175.27	1685.71	1685.71	836.53	1259.69	1159.07	1508.65	1388.16	1397.83	1467.37	1583.71	1407.55	1437.15	2018.8	1191.69	1508.65	2075.59	1322.37	1572.76	1340.84	1819.35	1259.69	1081.39	1662.49	1397.83	1051.79	1594.73	1605.83	1322.37	1191.69	1617.0	1023.0	1427.22	1617.0	1208.34	1605.83	1183.45	1259.69	1561.89	1216.75	1378.57
SEC31B	13.83	33.54	23.76	18.7	19.39	16.75	32.13	229.72	239.52	366.09	256.78	199.85	87.03	52.45	121.79	111.21	75.64	231.32	162.14	56.68	115.16	63.0	90.77	159.9	48.18	135.24	218.79	358.54	182.55	158.79	96.68	157.68	289.02	51.35	54.72	85.82	78.34	69.03	149.12	84.04	93.35	52.82	100.13	63.0	88.26	237.86	105.15	175.07	131.51	140.04	172.65	70.51	37.32
SF3A2	351.14	273.37	258.57	194.36	202.66	414.87	438.59	3515.68	1936.53	1508.65	1561.89	1427.22	1023.0	1151.06	1030.12	813.63	1159.07	1250.98	1540.37	848.22	1127.35	902.89	1127.35	1143.1	1104.13	1397.83	1769.57	1651.0	1594.73	1583.71	1225.22	1167.14	1963.57	1030.12	1015.93	1104.13	1030.12	896.64	1551.09	1551.09	1127.35	1001.93	1059.11	1208.34	934.76	934.76	896.64	1295.13	1073.91	1313.23	1639.59	988.12	896.64
SFI1	27.64	34.51	31.22	35.0	39.79	66.65	36.01	1001.93	612.11	748.61	656.11	723.08	406.31	332.14	486.75	368.65	339.14	493.56	403.5	318.57	514.56	307.69	507.46	420.68	191.67	493.56	603.67	764.36	738.29	656.11	454.09	514.56	769.69	246.28	486.75	414.87	323.03	480.04	842.36	379.04	341.51	343.89	392.44	334.46	476.71	647.07	343.89	511.0	518.15	575.03	656.11	339.14	271.48
SH3GLB2	327.56	287.01	162.14	181.28	260.38	307.69	307.69	3467.27	2720.15	3325.99	3589.58	2417.67	1709.26	1721.16	2287.2	2075.59	1427.22	2956.17	2485.67	1583.71	2367.9	1721.16	2075.59	1733.13	1457.23	2664.15	2997.45	2855.44	3395.89	2664.15	1685.71	2502.97	3060.45	1733.13	1819.35	1794.29	1733.13	1709.26	3303.0	2104.58	1685.71	1350.18	2255.7	1697.45	1963.57	2119.22	1806.78	2777.33	2384.37	2047.0	2303.12	2119.22	1216.75
SIRT7	109.66	120.94	107.38	117.6	131.51	150.17	150.17	466.88	483.38	647.07	457.25	417.77	224.97	400.71	389.72	234.57	363.56	343.89	454.09	356.05	346.29	303.44	336.79	339.14	291.04	426.57	420.68	466.88	529.06	275.28	379.04	267.73	511.0	295.11	358.54	346.29	366.09	387.02	379.04	412.0	293.07	289.02	275.28	348.71	329.84	353.59	379.04	381.68	314.17	420.68	371.22	242.88	256.78
SMG5	368.65	642.59	195.72	267.73	444.72	363.56	429.54	954.43	1015.93	1175.27	1167.14	1015.93	679.29	791.35	1073.91	769.69	674.59	748.61	921.88	896.64	1015.93	1073.91	860.08	909.17	884.29	872.1	974.5	909.17	1127.35	854.13	848.22	902.89	1268.46	718.08	842.36	872.1	860.08	974.5	1030.12	848.22	802.41	785.88	988.12	884.29	830.75	1066.48	1051.79	896.64	1044.52	1350.18	884.29	753.83	796.86
STX16	127.0	236.21	224.97	183.82	141.02	182.55	277.2	928.3	1437.15	1733.13	1369.04	1242.34	674.59	595.34	748.61	703.28	616.37	1008.9	1088.92	674.59	866.07	620.67	718.08	769.69	567.1	1331.57	890.44	1397.83	1457.23	921.88	813.63	836.53	1350.18	532.74	620.67	693.58	476.71	780.44	1605.83	974.5	693.58	583.07	698.41	305.55	791.35	1331.57	743.43	1233.75	764.36	1001.93	842.36	748.61	450.94
TFAP4	73.54	84.04	80.01	24.63	88.26	83.45	77.25	620.67	334.46	191.67	295.11	334.46	95.34	139.07	175.07	109.66	120.94	264.03	154.42	108.14	368.65	130.6	214.27	198.47	120.1	241.19	267.73	265.87	262.2	208.38	260.38	116.78	441.64	195.72	82.87	137.14	102.97	183.82	255.0	167.9	122.64	53.95	187.71	80.01	161.02	186.4	84.63	148.09	54.72	255.0	309.83	107.38	120.94
TG	1.93	2.34	59.55	38.4	5.59	16.75	6.73	627822.72	1085552.95	280957.98	431797.89	938500.81	2068278.89	2247670.86	2126426.15	2375828.71	1611529.43	1622738.51	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1290947.48	1085552.95	1984025.69	1355129.16	839981.65	2986448.72	2025714.3	2425749.94	925580.18	1929772.37	1943195.01	1727194.55	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1155430.26	2263304.65	1535204.12	2672946.37	1567462.05	1864037.21	1634025.56	1026995.62
TMCO6	102.97	258.57	181.28	180.02	190.34	234.57	262.2	733.19	371.22	463.65	435.55	373.81	215.77	251.48	277.2	217.27	180.02	346.29	305.55	148.09	251.48	209.84	246.28	226.54	211.31	343.89	316.37	389.72	483.38	255.0	237.86	244.57	334.46	175.07	215.77	244.57	209.84	255.0	426.57	228.13	228.13	171.45	191.67	135.24	195.72	314.17	183.82	220.32	281.09	438.59	384.34	248.0	221.86
UACA	232.94	279.14	246.28	172.65	124.37	289.02	171.45	2104.58	1467.37	2193.99	2816.11	1437.15	1159.07	679.29	1143.1	1127.35	896.64	2224.63	1183.45	921.88	684.02	748.61	1498.22	1183.45	490.14	878.17	2018.8	2319.15	1733.13	1572.76	1175.27	1369.04	2148.82	713.11	1277.29	878.17	738.29	738.29	1259.69	599.49	647.07	854.13	854.13	785.88	1073.91	2061.24	651.58	1977.24	1286.18	624.99	1733.13	1199.98	540.19
WDR6	258.57	612.11	780.44	540.19	665.29	493.56	493.56	6426.31	6381.92	6337.83	6037.61	3820.7	2271.4	2956.17	3212.66	2384.37	2997.45	4010.71	4298.64	2758.13	3540.14	2895.31	3325.99	2875.3	2178.83	5672.41	4268.94	3901.01	7331.05	4268.94	4066.71	2997.45	4869.99	2609.3	3039.3	2777.33	2816.11	3146.52	4575.41	3443.31	2591.27	2485.67	3564.78	2163.77	2739.08	7695.57	2997.45	3820.7	2758.13	5751.61	4543.8	3018.3	2193.99
WDR86	8.13	7.17	4.28	3.38	3.08	9.13	4.54	2720.15	1295.13	3443.31	3039.3	1685.71	1250.98	884.29	884.29	995.0	656.11	1551.09	2335.28	339.14	1277.29	265.87	1268.46	753.83	503.95	2319.15	2148.82	2485.67	2701.35	2816.11	1104.13	1051.79	2855.44	791.35	543.96	934.76	872.1	612.11	3168.41	1540.37	967.76	381.68	902.89	723.08	356.05	3212.66	532.74	1794.29	1685.71	2104.58	1529.73	928.3	403.5
XAB2	293.07	351.14	275.28	395.18	287.01	532.74	454.09	2104.58	1427.22	1191.69	1259.69	1167.14	703.28	878.17	981.29	703.28	947.83	1030.12	1286.18	708.18	1001.93	819.3	921.88	941.27	890.44	1151.06	1127.35	1191.69	1151.06	1295.13	1008.9	934.76	1529.73	872.1	878.17	1008.9	842.36	651.58	1277.29	1233.75	1127.35	748.61	723.08	915.51	860.08	902.89	878.17	1088.92	915.51	995.0	1225.22	836.53	796.86
YPEL1	10.08	25.35	13.52	30.56	22.92	19.11	24.46	127.89	56.28	140.04	102.25	80.01	69.03	69.52	41.81	63.45	86.43	94.01	69.03	41.81	53.95	18.56	59.13	47.5	33.78	105.89	115.97	89.51	108.9	84.63	90.77	122.64	77.25	51.71	31.67	52.82	46.84	27.05	72.52	75.64	77.25	70.01	38.95	34.51	62.12	165.57	35.25	53.19	57.49	94.01	68.07	71.0	28.04
ZMIZ2	103.69	287.01	234.57	164.42	146.03	253.23	384.34	2573.36	2796.65	2645.74	2485.67	3190.46	1388.16	1594.73	1909.85	1359.57	1250.98	2591.27	2104.58	1331.57	1870.53	1447.15	2193.99	1662.49	1135.2	2271.4	2591.27	2591.27	2451.44	2468.49	1709.26	2047.0	2664.15	1259.69	1561.89	1806.78	1304.15	1572.76	3018.3	1819.35	1733.13	1250.98	1561.89	1286.18	1806.78	1977.24	1498.22	2224.63	1781.89	1794.29	2835.7	1628.26	1250.98
ZNF732	0.0	0.27	0.0	0.0	0.0	0.0	0.0	24.99	15.56	12.74	13.22	10.24	3.76	1.66	3.17	3.47	3.29	6.31	10.55	5.68	3.56	3.53	4.62	3.76	1.55	7.75	5.02	4.28	10.79	4.46	4.78	6.16	8.45	1.06	4.66	1.36	4.86	3.11	5.92	3.66	2.73	1.79	9.48	3.06	4.46	15.91	5.15	2.97	6.73	8.51	2.36	5.15	2.78
ZNF90	6.46	0.0	1.06	0.8	1.81	1.41	0.0	529.06	473.41	444.72	373.81	271.48	97.36	52.45	123.5	102.25	57.08	204.07	397.93	183.82	71.5	42.11	146.03	133.36	93.35	400.71	181.28	521.76	733.19	363.56	251.48	307.69	769.69	71.5	163.28	82.87	167.9	47.84	154.42	78.89	116.78	52.82	231.32	135.24	125.24	1498.22	43.63	226.54	146.03	316.37	255.0	155.5	43.32
