	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O61.0726.SM.5J2MD	GTEX.13O3P.1026.SM.5N9E7	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13YAN.1026.SM.5O9CF	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.13O3Q.0526.SM.5KM18	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
MED11	688.78	988.12	878.17	457.25	684.02	1051.79	277.2	1991.0	1427.22	1286.18	954.43	500.46	1662.49	314.17	460.44	624.99	848.22	769.69	1397.83	591.22	961.07	409.15	743.43	679.29	728.11	753.83	447.82	624.99	1127.35	974.5	1250.98	1127.35	954.43	1119.56	1119.56	381.68	878.17	312.0	1175.27	563.18	299.25	1322.37	1487.87	493.56	1151.06	1037.29	1407.55	476.71	563.18
MEPCE	412.0	612.11	884.29	753.83	612.11	866.07	454.09	1250.98	1216.75	1313.23	713.11	457.25	1477.58	624.99	540.19	406.31	759.08	356.05	1051.79	660.68	1167.14	571.05	660.68	483.38	995.0	1001.93	532.74	536.45	961.07	878.17	1175.27	988.12	775.05	961.07	1104.13	389.72	995.0	486.75	796.86	343.89	423.61	961.07	1183.45	563.18	599.49	738.29	1313.23	343.89	387.02
METTL16	301.33	435.55	595.34	193.01	363.56	423.61	175.07	532.74	414.87	384.34	579.04	358.54	909.17	176.29	285.03	329.84	547.75	406.31	320.8	412.0	480.04	373.81	295.11	305.55	392.44	198.47	316.37	314.17	454.09	587.13	693.58	432.53	665.29	688.78	902.89	267.73	555.41	351.14	483.38	660.68	267.73	629.35	329.84	406.31	583.07	353.59	454.09	136.19	256.78
MLYCD	199.85	182.55	262.2	92.05	186.4	220.32	63.89	395.18	334.46	316.37	218.79	131.51	435.55	56.28	108.14	111.21	229.72	128.79	329.84	154.42	291.04	69.52	177.53	83.45	295.11	49.56	133.36	150.17	256.78	289.02	329.84	309.83	220.32	279.14	275.28	77.25	295.11	114.36	237.86	107.38	75.64	273.37	358.54	231.32	186.4	228.13	343.89	74.58	124.37
MRFAP1L1	1277.29	1286.18	1857.6	674.59	1322.37	1427.22	473.41	1685.71	1685.71	1359.57	1594.73	813.63	2061.24	607.87	796.86	854.13	1733.13	813.63	1617.0	1037.29	2061.24	514.56	1030.12	466.88	1583.71	376.41	1151.06	928.3	1832.01	1233.75	2255.7	1561.89	1250.98	1487.87	1936.53	490.14	1508.65	753.83	1199.98	1008.9	738.29	1674.06	2032.85	1199.98	1216.75	1757.34	1781.89	674.59	629.35
MRPL9	819.3	836.53	1447.15	603.67	1417.35	1583.71	327.56	1268.46	995.0	1417.35	1594.73	1119.56	1407.55	277.2	1295.13	775.05	1225.22	884.29	1286.18	842.36	1277.29	567.1	796.86	395.18	1295.13	332.14	769.69	921.88	1225.22	1259.69	1350.18	1159.07	1697.45	1175.27	1378.57	334.46	1407.55	599.49	1119.56	884.29	500.46	1447.15	995.0	941.27	1191.69	1073.91	1529.73	536.45	733.19
MRPS18B	830.75	1331.57	1407.55	620.67	1096.5	1030.12	563.18	2163.77	1685.71	1127.35	1437.15	1030.12	1685.71	612.11	1135.2	1037.29	1427.22	934.76	1977.24	1378.57	1477.58	693.58	1277.29	497.0	1378.57	460.44	1191.69	967.76	1477.58	1378.57	1519.15	1819.35	1605.83	1477.58	1417.35	432.53	1745.2	571.05	1322.37	1059.11	688.78	1857.6	1540.37	1286.18	1304.15	1242.34	1467.37	866.07	703.28
MTERF	108.14	100.13	153.34	48.87	136.19	137.14	24.99	139.07	221.86	180.02	234.57	54.72	151.22	22.43	65.72	55.49	194.36	54.72	171.45	112.77	249.73	66.65	71.5	35.76	193.01	10.47	80.57	102.97	173.85	135.24	190.34	146.03	96.01	137.14	244.57	58.71	147.06	62.56	85.82	84.63	57.08	197.09	148.09	105.89	132.44	129.69	138.1	35.5	47.84
N6AMT2	220.32	220.32	536.45	90.77	251.48	260.38	112.77	409.15	358.54	239.52	209.84	291.04	381.68	61.68	156.59	158.79	285.03	223.41	389.72	241.19	255.0	84.63	107.38	120.94	305.55	37.85	162.14	141.02	339.14	392.44	389.72	279.14	371.22	403.5	587.13	152.28	314.17	221.86	325.29	186.4	197.09	371.22	432.53	309.83	466.88	299.25	220.32	84.63	105.15
NCOA5	376.41	291.04	599.49	223.41	414.87	563.18	164.42	603.67	638.15	595.34	521.76	258.57	718.08	281.09	262.2	206.94	728.11	157.68	493.56	358.54	674.59	165.57	226.54	171.45	638.15	244.57	356.05	406.31	563.18	438.59	775.05	665.29	454.09	579.04	620.67	224.97	629.35	269.6	325.29	178.77	248.0	567.1	791.35	341.51	309.83	397.93	629.35	182.55	223.41
NFS1	343.89	387.02	543.96	125.24	435.55	420.68	108.9	483.38	466.88	503.95	406.31	358.54	563.18	105.89	181.28	279.14	371.22	255.0	486.75	334.46	555.41	248.0	397.93	169.07	423.61	92.7	295.11	295.11	563.18	463.65	423.61	547.75	460.44	476.71	693.58	127.89	426.57	389.72	376.41	287.01	209.84	642.59	518.15	438.59	412.0	454.09	603.67	183.82	178.77
NOSIP	896.64	1216.75	2032.85	769.69	1628.26	1721.16	780.44	2163.77	1781.89	2061.24	1304.15	1167.14	3018.3	915.51	947.83	728.11	1923.14	1044.52	1832.01	1709.26	2018.8	693.58	947.83	780.44	1594.73	1477.58	1216.75	902.89	1757.34	1519.15	1819.35	1583.71	1721.16	1883.54	1757.34	967.76	1295.13	1096.5	1233.75	361.04	753.83	1745.2	2303.12	1427.22	1143.1	1151.06	1369.04	674.59	703.28
NUDCD3	988.12	1388.16	1819.35	353.59	860.08	1242.34	483.38	1350.18	1594.73	1191.69	1628.26	1037.29	1259.69	403.5	1208.34	1242.34	1359.57	961.07	1427.22	1242.34	1662.49	444.72	1427.22	674.59	2468.49	361.04	967.76	988.12	1572.76	1685.71	1417.35	1378.57	1540.37	1242.34	1407.55	642.59	2319.15	718.08	1662.49	708.18	493.56	1605.83	1427.22	1662.49	1467.37	1628.26	1143.1	728.11	703.28
OSGEPL1	85.22	63.0	177.53	28.86	80.57	120.1	35.76	150.17	162.14	164.42	178.77	101.54	152.28	24.11	33.54	59.55	120.94	61.25	120.1	88.26	191.67	42.11	59.97	46.84	143.01	23.08	116.78	67.12	178.77	113.56	140.04	135.24	142.01	132.44	191.67	53.95	143.01	53.19	132.44	58.71	64.8	195.72	139.07	118.43	148.09	141.02	127.89	57.08	54.72
OXSM	115.97	152.28	156.59	120.1	173.85	185.11	46.18	316.37	181.28	246.28	242.88	108.9	214.27	88.26	88.88	134.3	244.57	97.36	231.32	142.01	275.28	54.72	92.7	67.59	204.07	78.89	124.37	124.37	267.73	218.79	226.54	236.21	105.89	202.66	260.38	87.65	258.57	127.0	157.68	139.07	72.01	329.84	273.37	178.77	154.42	173.85	189.02	77.25	83.45
PARS2	29.7	44.25	62.56	13.83	42.11	30.34	11.73	88.26	72.52	63.45	52.45	34.26	64.34	14.89	29.91	31.22	59.13	23.76	66.18	30.12	86.43	14.14	30.56	17.0	61.25	13.03	30.78	28.86	74.06	53.57	67.12	82.29	35.5	67.59	65.26	12.09	81.71	19.25	51.71	38.67	18.03	78.34	80.57	40.07	29.48	50.63	46.18	24.28	16.51
PEX12	115.16	62.12	145.02	30.56	90.14	69.03	24.63	145.02	151.22	100.83	126.12	46.18	170.25	36.01	52.08	44.89	162.14	43.94	135.24	87.65	131.51	26.1	90.77	33.78	151.22	38.12	84.63	88.88	142.01	96.01	145.02	141.02	149.12	96.01	146.03	25.72	153.34	43.02	102.25	62.56	46.5	173.85	151.22	95.34	134.3	123.5	80.57	38.12	46.18
PGBD2	106.63	37.32	128.79	23.93	73.54	108.14	31.22	118.43	156.59	161.02	145.02	40.07	165.57	23.42	29.27	38.4	159.9	41.81	106.63	62.12	118.43	14.03	36.27	29.91	108.14	21.63	71.0	59.97	98.04	99.43	170.25	112.77	62.56	82.29	140.04	30.78	107.38	53.57	94.01	35.5	36.01	111.99	131.51	74.58	58.3	78.89	84.04	22.43	16.27
PGBD4	23.76	15.45	23.08	3.47	19.68	29.48	4.17	18.16	19.82	38.12	41.22	11.3	20.86	8.65	9.85	16.27	21.63	21.01	24.99	18.29	34.75	4.43	10.31	6.06	24.81	5.11	17.25	15.34	36.79	23.59	29.48	21.63	21.01	32.36	34.26	2.89	29.48	14.67	19.97	11.82	12.18	30.34	27.44	20.86	18.29	24.63	25.91	6.31	5.02
PIGC	536.45	525.39	808.0	244.57	476.71	575.03	155.5	909.17	728.11	599.49	703.28	361.04	854.13	177.53	447.82	406.31	603.67	334.46	679.29	571.05	753.83	275.28	532.74	162.14	791.35	129.69	454.09	348.71	808.0	708.18	728.11	836.53	647.07	665.29	769.69	214.27	665.29	395.18	638.15	384.34	217.27	830.75	808.0	583.07	603.67	764.36	743.43	221.86	255.0
PIGO	226.54	483.38	595.34	218.79	327.56	563.18	239.52	579.04	629.35	633.73	638.15	379.04	733.19	150.17	525.39	486.75	507.46	351.14	718.08	341.51	708.18	271.48	389.72	208.38	656.11	166.73	426.57	387.02	612.11	612.11	698.41	575.03	379.04	665.29	688.78	144.01	633.73	309.83	595.34	525.39	170.25	896.64	713.11	429.54	713.11	688.78	819.3	334.46	231.32
PLEKHG4	42.41	59.13	291.04	20.71	133.36	147.06	43.63	269.6	161.02	232.94	220.32	128.79	255.0	17.13	121.79	77.25	265.87	16.63	223.41	57.49	287.01	27.05	109.66	9.2	133.36	15.91	117.6	12.18	363.56	119.26	101.54	281.09	167.9	307.69	223.41	15.68	242.88	60.39	289.02	34.26	52.82	454.09	281.09	92.7	162.14	177.53	220.32	37.32	26.67
PMS1	96.01	90.14	177.53	49.91	128.79	211.31	57.89	157.68	158.79	199.85	217.27	139.07	145.02	52.08	101.54	139.07	182.55	110.43	171.45	131.51	221.86	44.89	105.89	80.01	130.6	50.98	123.5	97.36	204.07	154.42	120.94	176.29	133.36	244.57	226.54	72.01	173.85	108.14	172.65	103.69	67.12	260.38	153.34	156.59	198.47	193.01	197.09	63.45	70.51
PMS2	108.14	85.82	151.22	37.85	101.54	106.63	22.59	122.64	124.37	157.68	157.68	78.89	135.24	44.89	56.68	86.43	98.73	66.18	119.26	87.65	135.24	34.26	79.45	34.51	205.5	31.9	123.5	94.01	135.24	99.43	120.1	145.02	82.29	152.28	185.11	35.5	148.09	82.87	111.21	81.71	57.49	169.07	118.43	118.43	107.38	150.17	158.79	60.82	51.71
POP5	607.87	738.29	1268.46	279.14	988.12	1135.2	226.54	967.76	1059.11	1143.1	1369.04	753.83	1369.04	236.21	438.59	521.76	1119.56	555.41	1044.52	620.67	1268.46	460.44	540.19	305.55	1044.52	332.14	718.08	579.04	1175.27	1001.93	1051.79	1073.91	860.08	1127.35	1295.13	334.46	1096.5	684.02	1001.93	579.04	579.04	1427.22	1088.92	571.05	1268.46	928.3	995.0	426.57	435.55
PPCS	995.0	1467.37	1745.2	595.34	1487.87	1216.75	406.31	1819.35	1870.53	1781.89	2555.58	1023.0	2163.77	591.22	688.78	738.29	1467.37	1008.9	1685.71	884.29	1883.54	703.28	954.43	563.18	1923.14	329.84	909.17	1015.93	2004.85	1417.35	2417.67	1936.53	1806.78	1498.22	2555.58	500.46	1685.71	1216.75	1417.35	1295.13	866.07	2193.99	1844.76	1268.46	1477.58	1457.23	1950.0	921.88	679.29
PTPN18	934.76	860.08	1639.59	447.82	961.07	1594.73	376.41	1286.18	1745.2	2935.74	1498.22	1127.35	1508.65	262.2	660.68	796.86	1572.76	884.29	1437.15	1159.07	2178.83	426.57	866.07	633.73	1923.14	239.52	1159.07	842.36	2468.49	1388.16	1313.23	1498.22	1225.22	1605.83	1639.59	486.75	1757.34	460.44	1295.13	866.07	414.87	1540.37	1819.35	921.88	1359.57	1857.6	1721.16	775.05	476.71
PWWP2A	186.4	125.24	241.19	140.04	190.34	255.0	80.01	275.28	291.04	277.2	291.04	150.17	258.57	80.57	175.07	99.43	297.17	90.77	191.67	144.01	291.04	79.45	114.36	81.71	242.88	58.71	186.4	110.43	329.84	217.27	291.04	356.05	145.02	316.37	371.22	87.03	379.04	180.02	220.32	138.1	125.24	277.2	358.54	167.9	208.38	256.78	231.32	136.19	98.73
RAD17	232.94	248.0	373.81	94.67	251.48	323.03	96.68	379.04	387.02	366.09	426.57	178.77	368.65	144.01	191.67	161.02	307.69	221.86	356.05	187.71	423.61	129.69	211.31	106.63	363.56	100.83	186.4	217.27	376.41	426.57	412.0	397.93	241.19	500.46	417.77	121.79	339.14	223.41	283.05	253.23	109.66	423.61	412.0	314.17	279.14	400.71	371.22	141.02	166.73
RBM45	105.89	116.78	218.79	92.7	193.01	220.32	72.01	172.65	190.34	242.88	262.2	182.55	208.38	61.68	101.54	172.65	209.84	136.19	163.28	115.16	195.72	89.51	137.14	57.49	187.71	43.02	152.28	142.01	277.2	221.86	232.94	212.78	211.31	256.78	195.72	107.38	293.07	102.25	211.31	153.34	98.73	223.41	190.34	172.65	170.25	237.86	215.77	136.19	87.03
RBM48	197.09	134.3	215.77	75.64	130.6	157.68	80.57	275.28	287.01	241.19	334.46	119.26	351.14	125.24	52.82	90.77	320.8	135.24	241.19	148.09	348.71	58.71	102.97	130.6	237.86	125.24	127.0	134.3	251.48	201.25	293.07	221.86	189.02	163.28	325.29	149.12	232.94	199.85	121.79	69.52	138.1	301.33	232.94	166.73	170.25	171.45	223.41	108.14	84.04
RFXANK	1467.37	1794.29	2417.67	674.59	1857.6	2287.2	854.13	2133.97	1745.2	2627.46	1883.54	1769.57	2573.36	432.53	1135.2	1477.58	1674.06	2193.99	1936.53	1508.65	2090.03	830.75	1008.9	1066.48	1467.37	928.3	1388.16	1250.98	2682.69	1540.37	1883.54	1909.85	1769.57	2119.22	2739.08	764.36	1991.0	928.3	2434.5	1781.89	656.11	2682.69	2193.99	1572.76	1769.57	1685.71	2240.11	651.58	842.36
RIC8B	130.6	101.54	224.97	47.17	139.07	199.85	79.45	148.09	158.79	157.68	283.05	105.89	199.85	45.21	101.54	71.5	199.85	66.65	152.28	163.28	212.78	47.17	83.45	59.13	176.29	68.07	127.89	115.16	148.09	167.9	218.79	228.13	123.5	186.4	237.86	55.89	209.84	165.57	138.1	81.14	98.04	223.41	156.59	182.55	191.67	181.28	101.54	63.89	98.73
RNF20	332.14	356.05	563.18	149.12	301.33	395.18	115.97	423.61	684.02	490.14	603.67	232.94	612.11	246.28	297.17	246.28	507.46	234.57	540.19	373.81	599.49	232.94	314.17	181.28	603.67	105.15	414.87	409.15	555.41	591.22	612.11	693.58	450.94	521.76	624.99	190.34	656.11	361.04	466.88	341.51	158.79	591.22	529.06	503.95	518.15	587.13	392.44	242.88	258.57
RNF219	136.19	99.43	118.43	45.21	127.89	124.37	36.01	163.28	185.11	110.43	206.94	80.01	183.82	55.89	63.45	119.26	190.34	63.89	127.89	95.34	171.45	52.08	72.01	77.25	163.28	43.94	96.01	107.38	146.03	127.0	237.86	133.36	159.9	109.66	181.28	82.87	133.36	58.71	108.9	102.97	52.45	175.07	137.14	129.69	105.15	141.02	133.36	60.82	49.56
RNF220	1250.98	1286.18	1594.73	483.38	1331.57	1183.45	633.73	1639.59	1819.35	1487.87	1498.22	1015.93	1467.37	500.46	1225.22	1340.84	1457.23	1023.0	1757.34	1233.75	1963.57	559.28	1081.39	738.29	1896.65	551.56	1030.12	1051.79	1721.16	1359.57	1733.13	1870.53	1583.71	1583.71	1417.35	669.92	1883.54	703.28	1447.15	836.53	607.87	1605.83	1857.6	1322.37	1733.13	1674.06	1697.45	728.11	728.11
RPP25L	376.41	346.29	587.13	121.79	429.54	389.72	182.55	1096.5	713.11	728.11	444.72	336.79	1023.0	111.21	348.71	327.56	493.56	423.61	669.92	379.04	808.0	165.57	381.68	139.07	579.04	84.04	287.01	271.48	785.88	718.08	612.11	660.68	460.44	775.05	612.11	167.9	743.43	242.88	769.69	379.04	177.53	733.19	743.43	400.71	381.68	559.28	733.19	158.79	202.66
RWDD2B	291.04	269.6	348.71	89.51	403.5	226.54	53.95	387.02	301.33	258.57	476.71	211.31	503.95	118.43	248.0	229.72	381.68	155.5	314.17	265.87	358.54	87.03	341.51	81.71	540.19	89.51	234.57	146.03	426.57	432.53	376.41	376.41	329.84	366.09	497.0	107.38	583.07	291.04	353.59	146.03	178.77	412.0	332.14	287.01	486.75	343.89	223.41	144.01	124.37
SAMM50	669.92	775.05	860.08	253.23	928.3	708.18	255.0	842.36	884.29	934.76	1015.93	571.05	902.89	265.87	647.07	536.45	830.75	466.88	738.29	547.75	808.0	329.84	638.15	241.19	1151.06	187.71	591.22	480.04	947.83	848.22	1135.2	928.3	808.0	934.76	872.1	214.27	915.51	669.92	836.53	656.11	395.18	967.76	947.83	753.83	819.3	842.36	759.08	497.0	361.04
SCAP	718.08	633.73	934.76	339.14	743.43	808.0	339.14	842.36	981.29	1250.98	1008.9	665.29	909.17	264.03	743.43	708.18	941.27	629.35	1001.93	954.43	1259.69	423.61	651.58	450.94	1037.29	366.09	665.29	713.11	872.1	909.17	934.76	1030.12	830.75	928.3	866.07	460.44	1250.98	389.72	842.36	500.46	490.14	981.29	902.89	802.41	1127.35	934.76	954.43	536.45	387.02
SCGB1A1	1273174.62	3336720.86	845824.19	2581895.97	66449.85	1063212.58	65535.0	1813064.98	1212874.47	2141216.62	731246.37	3178687.03	2343119.96	65082.31	2068278.89	1739208.14	834179.46	1093103.58	1131651.83	303217.87	3156730.23	4903.87	845824.19	307450.64	985160.01	175363.84	2691538.19	757033.75	3178687.03	1556634.79	3091765.64	1229805.58	828417.36	3968052.37	3134925.09	244588.0	1290947.48	2392353.91	2082664.91	2825352.59	1246973.04	2691538.19	1943195.01	998912.34	1255646.43	3070409.25	1374046.07	915.51	623486.02
SETD6	141.02	223.41	406.31	195.72	283.05	289.02	64.34	301.33	318.57	412.0	444.72	256.78	432.53	133.36	151.22	299.25	214.27	141.02	341.51	215.77	371.22	72.01	167.9	117.6	356.05	81.71	234.57	220.32	476.71	363.56	341.51	281.09	215.77	633.73	429.54	211.31	341.51	108.14	220.32	221.86	95.34	314.17	384.34	212.78	332.14	309.83	447.82	82.29	88.88
SHARPIN	1104.13	1268.46	1870.53	486.75	1225.22	1286.18	507.46	1794.29	1561.89	2133.97	1331.57	1417.35	2701.35	417.77	674.59	842.36	1628.26	1359.57	1617.0	1427.22	1936.53	624.99	1167.14	723.08	1350.18	703.28	1322.37	995.0	1757.34	1359.57	1066.48	1498.22	2032.85	1697.45	2400.97	738.29	1477.58	583.07	1388.16	743.43	688.78	1498.22	1832.01	1322.37	1427.22	1277.29	1857.6	802.41	624.99
SLC25A17	327.56	329.84	432.53	178.77	490.14	503.95	100.13	500.46	387.02	514.56	551.56	253.23	575.03	126.12	371.22	269.6	529.06	232.94	368.65	381.68	503.95	116.78	260.38	154.42	511.0	118.43	166.73	232.94	332.14	389.72	521.76	466.88	287.01	518.15	583.07	217.27	441.64	305.55	363.56	314.17	199.85	579.04	540.19	381.68	397.93	480.04	381.68	177.53	127.0
SLC37A4	291.04	293.07	403.5	118.43	244.57	351.14	96.01	392.44	536.45	647.07	563.18	376.41	551.56	122.64	231.32	368.65	332.14	417.77	395.18	356.05	607.87	208.38	281.09	241.19	447.82	135.24	269.6	267.73	583.07	400.71	395.18	454.09	339.14	426.57	503.95	258.57	447.82	180.02	409.15	269.6	159.9	536.45	507.46	463.65	332.14	400.71	420.68	177.53	185.11
SLC7A6OS	262.2	167.9	332.14	127.0	195.72	314.17	84.63	223.41	361.04	361.04	341.51	146.03	231.32	84.63	164.42	152.28	287.01	120.1	205.5	239.52	457.25	96.68	180.02	195.72	343.89	92.05	244.57	180.02	316.37	226.54	289.02	237.86	237.86	241.19	325.29	126.12	264.03	105.15	220.32	167.9	130.6	199.85	291.04	199.85	208.38	228.13	244.57	195.72	85.82
SMARCAD1	151.22	170.25	264.03	87.03	175.07	281.09	52.82	202.66	295.11	281.09	387.02	201.25	267.73	57.89	149.12	197.09	303.44	149.12	221.86	164.42	327.56	85.82	115.16	57.08	253.23	32.59	194.36	154.42	283.05	255.0	301.33	251.48	177.53	267.73	277.2	110.43	291.04	137.14	256.78	185.11	111.21	341.51	236.21	253.23	307.69	301.33	287.01	120.94	103.69
SNAPIN	1023.0	1369.04	1508.65	457.25	748.61	1191.69	387.02	1594.73	1216.75	1286.18	1242.34	836.53	2075.59	336.79	426.57	688.78	1199.98	723.08	1159.07	785.88	1388.16	490.14	909.17	547.75	1378.57	497.0	884.29	791.35	1233.75	1151.06	1733.13	1242.34	1135.2	1151.06	1437.15	470.14	1023.0	679.29	1242.34	708.18	759.08	1617.0	1457.23	1044.52	860.08	1051.79	1313.23	507.46	447.82
SNRNP35	607.87	723.08	1199.98	255.0	454.09	915.51	193.01	921.88	961.07	1151.06	954.43	642.59	1322.37	178.77	490.14	660.68	808.0	514.56	860.08	743.43	884.29	363.56	656.11	426.57	579.04	269.6	759.08	486.75	1081.39	981.29	1066.48	974.5	1037.29	1259.69	1167.14	525.39	884.29	356.05	848.22	507.46	371.22	941.27	1259.69	830.75	808.0	915.51	961.07	371.22	429.54
SNX17	1407.55	2777.33	2303.12	974.5	2004.85	2075.59	934.76	2796.65	2609.3	3081.75	2956.17	2271.4	3467.27	1008.9	2303.12	1769.57	2777.33	2400.97	2835.7	1977.24	3060.45	1697.45	2032.85	921.88	2816.11	1127.35	1819.35	1923.14	2609.3	2816.11	3443.31	2400.97	2816.11	2875.3	2417.67	1175.27	3257.52	1447.15	2047.0	1757.34	1340.84	3467.27	2816.11	2075.59	2645.74	2573.36	2573.36	1628.26	1183.45
SPHK2	150.17	133.36	312.0	69.03	162.14	228.13	60.39	435.55	265.87	429.54	199.85	164.42	387.02	96.01	156.59	95.34	297.17	236.21	325.29	180.02	420.68	77.79	183.82	95.34	334.46	51.71	169.07	135.24	392.44	223.41	305.55	387.02	209.84	341.51	323.03	114.36	460.44	155.5	283.05	124.37	90.14	438.59	363.56	181.28	271.48	285.03	351.14	100.83	102.97
SPOP	1127.35	896.64	1225.22	563.18	743.43	1340.84	571.05	1259.69	1096.5	1143.1	1388.16	934.76	1331.57	684.02	796.86	595.34	1313.23	703.28	1183.45	1015.93	1225.22	555.41	848.22	567.1	1359.57	432.53	921.88	1242.34	1250.98	1225.22	1233.75	1313.23	1151.06	1540.37	1467.37	599.49	1832.01	587.13	928.3	540.19	591.22	1477.58	1104.13	1250.98	1268.46	1225.22	974.5	660.68	629.35
SPRYD7	153.34	195.72	316.37	88.26	241.19	246.28	152.28	400.71	555.41	236.21	258.57	224.97	412.0	146.03	226.54	143.01	297.17	106.63	423.61	209.84	223.41	115.16	130.6	169.07	264.03	80.57	171.45	141.02	406.31	457.25	339.14	473.41	281.09	403.5	647.07	121.79	297.17	169.07	316.37	242.88	99.43	273.37	387.02	356.05	279.14	363.56	343.89	152.28	123.5
SRSF6	1388.16	1037.29	2520.38	1104.13	1662.49	2935.74	974.5	2163.77	2758.13	2520.38	2468.49	1104.13	2400.97	974.5	1066.48	1073.91	2591.27	961.07	1977.24	1135.2	2609.3	1066.48	842.36	1023.0	1844.76	1143.1	1350.18	1233.75	2417.67	1857.6	2400.97	2163.77	1151.06	1857.6	2915.45	1127.35	2485.67	1733.13	2032.85	1111.82	1216.75	2090.03	2417.67	1733.13	1561.89	1561.89	2090.03	921.88	1135.2
STAMBP	435.55	497.0	679.29	224.97	366.09	633.73	149.12	579.04	536.45	547.75	591.22	366.09	921.88	244.57	277.2	303.44	743.43	368.65	633.73	447.82	684.02	283.05	423.61	209.84	703.28	169.07	392.44	454.09	595.34	511.0	511.0	599.49	620.67	616.37	954.43	325.29	543.96	511.0	571.05	373.81	312.0	981.29	567.1	599.49	591.22	665.29	579.04	320.8	395.18
TADA3	1096.5	1143.1	1909.85	480.04	866.07	1447.15	540.19	1540.37	1628.26	1674.06	1417.35	1111.82	1977.24	463.65	954.43	813.63	1508.65	1096.5	1572.76	1417.35	1628.26	669.92	1073.91	629.35	1295.13	693.58	1073.91	808.0	1674.06	1427.22	1781.89	1561.89	1277.29	1923.14	1794.29	703.28	1909.85	961.07	1540.37	928.3	1359.57	1794.29	1639.59	1191.69	1561.89	1583.71	1208.34	796.86	698.41
TEFM	108.14	128.79	239.52	62.12	228.13	212.78	28.04	171.45	181.28	260.38	279.14	93.35	301.33	43.94	116.78	133.36	209.84	112.77	204.07	159.9	214.27	53.57	94.67	62.56	212.78	45.53	102.97	81.14	202.66	194.36	249.73	241.19	146.03	202.66	287.01	92.05	231.32	88.26	176.29	101.54	110.43	287.01	182.55	191.67	201.25	154.42	181.28	87.03	52.82
THAP7	384.34	981.29	1044.52	400.71	698.41	703.28	220.32	1857.6	802.41	1023.0	825.0	688.78	1242.34	366.09	426.57	599.49	848.22	708.18	1015.93	633.73	1233.75	314.17	460.44	181.28	1277.29	242.88	759.08	466.88	1030.12	1051.79	866.07	1066.48	780.44	1322.37	1437.15	320.8	796.86	293.07	808.0	466.88	353.59	961.07	1216.75	511.0	483.38	595.34	1304.15	221.86	320.8
TMEM260	134.3	94.01	244.57	143.01	143.01	171.45	82.29	180.02	159.9	248.0	226.54	169.07	248.0	70.01	80.01	124.37	198.47	74.58	183.82	273.37	244.57	71.5	123.5	83.45	187.71	27.64	153.34	208.38	231.32	226.54	178.77	114.36	98.73	186.4	301.33	95.34	236.21	120.1	224.97	96.01	117.6	239.52	173.85	246.28	271.48	229.72	166.73	98.04	107.38
TRAPPC11	244.57	279.14	361.04	231.32	297.17	356.05	125.24	358.54	389.72	379.04	438.59	287.01	327.56	147.06	195.72	343.89	363.56	258.57	329.84	265.87	483.38	228.13	297.17	136.19	381.68	76.71	320.8	312.0	460.44	414.87	397.93	397.93	361.04	373.81	417.77	234.57	454.09	193.01	309.83	414.87	186.4	476.71	392.44	353.59	395.18	400.71	400.71	287.01	212.78
