	TCGA.AR.A0TU.01A.31R.A109.07	TCGA.35.5375.01A.01R.1628.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4390.01A.02R.1755.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.144GN.0426.SM.5O9AP	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.P4QT.0526.SM.2I3EX	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	TCGA.37.4132.01A.01R.1100.07	TCGA.66.2782.01A.01R.0851.07	TCGA.66.2771.01A.01R.0980.07	TCGA.18.3411.01A.01R.0980.07	TCGA.39.5031.01A.01R.1443.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.37.4132.01A.01R.1100.07.1
PKMYT1	1030.12	813.63	363.56	620.67	1233.75	65.72	122.64	39.5	255.0	27.64	47.17	71.5	228.13	138.1	395.18	38.95	228.13	41.81	119.26	74.06	72.52	54.72	28.45	44.25	232.94	84.63	191.67	52.45	88.26	145.02	102.97	85.22	44.25	66.65	41.81	426.57	651.58	1030.12	473.41	723.08	1963.57	426.57
POC1A	389.72	144.01	291.04	228.13	356.05	38.95	50.63	40.36	152.28	28.65	42.41	46.18	147.06	70.01	256.78	51.35	115.16	39.22	88.88	36.79	58.71	46.84	30.56	36.27	146.03	88.26	126.12	30.56	77.79	95.34	53.19	92.7	46.18	102.25	45.53	127.89	154.42	193.01	229.72	198.47	376.41	127.89
POLE2	656.11	941.27	244.57	299.25	384.34	23.59	36.27	23.93	90.14	25.35	23.25	23.25	62.12	88.26	90.77	14.67	90.77	54.33	75.64	20.86	20.26	19.68	31.0	20.41	55.1	28.86	91.41	21.01	46.5	135.24	44.25	28.45	44.57	33.78	22.26	497.0	426.57	780.44	536.45	373.81	441.64	497.0
PRC1	2119.22	529.06	1044.52	819.3	1008.9	100.13	201.25	125.24	236.21	189.02	73.03	50.63	356.05	221.86	1044.52	269.6	361.04	66.18	139.07	144.01	63.45	149.12	67.59	48.87	400.71	111.21	368.65	110.43	97.36	351.14	82.87	176.29	83.45	156.59	115.97	1417.35	1096.5	1331.57	2255.7	1733.13	3564.78	1417.35
PRKDC	3325.99	1457.23	2240.11	3018.3	3325.99	1167.14	607.87	842.36	2645.74	1277.29	698.41	780.44	2682.69	775.05	1936.53	733.19	1225.22	928.3	1277.29	1233.75	921.88	1331.57	412.0	579.04	830.75	1208.34	866.07	555.41	934.76	1628.26	1015.93	1199.98	775.05	1143.1	571.05	5255.91	3847.29	1397.83	2133.97	2271.4	2287.2	5255.91
PRMT5	5112.16	3168.41	1819.35	1794.29	2434.5	1081.39	616.37	679.29	1477.58	759.08	759.08	884.29	1242.34	836.53	928.3	629.35	961.07	896.64	1519.15	536.45	1242.34	954.43	967.76	1073.91	688.78	1388.16	836.53	733.19	1111.82	1135.2	1023.0	947.83	518.15	854.13	708.18	2384.37	2240.11	2271.4	2997.45	2485.67	2573.36	2384.37
PRTFDC1	679.29	748.61	384.34	149.12	599.49	76.17	94.01	28.86	134.3	87.65	51.35	21.01	91.41	105.89	144.01	43.32	97.36	57.49	83.45	64.8	68.55	52.82	63.45	45.53	107.38	10.47	164.42	31.0	72.52	177.53	76.71	29.27	115.97	56.28	97.36	836.53	607.87	133.36	460.44	395.18	483.38	836.53
PSMB5	10154.69	10154.69	4543.8	3874.05	5751.61	1923.14	2997.45	1909.85	5006.93	1359.57	1832.01	2485.67	4575.41	2777.33	3716.2	2335.28	3124.78	2591.27	2816.11	1819.35	2976.74	2573.36	2090.03	2303.12	3212.66	2997.45	3589.58	1733.13	3280.18	2178.83	2303.12	2720.15	1936.53	1991.0	1417.35	5292.48	5147.73	5633.22	7382.04	5076.84	4239.45	5292.48
PSPH	409.15	651.58	232.94	301.33	366.09	73.03	157.68	70.01	559.28	21.63	115.97	130.6	368.65	115.97	285.03	70.01	185.11	136.19	224.97	87.03	202.66	68.55	96.68	223.41	163.28	332.14	255.0	150.17	157.68	152.28	195.72	133.36	114.36	137.14	84.04	830.75	500.46	567.1	703.28	480.04	358.54	830.75
RAD51	647.07	275.28	143.01	228.13	221.86	35.5	53.19	13.32	172.65	29.27	30.12	19.82	153.34	110.43	177.53	10.16	190.34	12.09	77.79	12.83	22.75	29.06	18.03	39.22	139.07	66.18	152.28	18.03	47.17	122.64	47.84	28.65	34.51	23.25	12.18	500.46	249.73	587.13	536.45	193.01	656.11	500.46
RFC4	967.76	2047.0	514.56	444.72	698.41	75.11	109.66	66.18	587.13	41.22	117.6	85.22	387.02	325.29	514.56	59.97	599.49	202.66	595.34	36.27	223.41	62.12	211.31	229.72	397.93	279.14	414.87	99.43	152.28	395.18	204.07	162.14	72.52	161.02	64.8	2178.83	1183.45	1427.22	2400.97	2451.44	3039.3	2178.83
RHEB	4736.79	9025.81	5672.41	4869.99	5954.47	2591.27	2061.24	1529.73	1950.0	3443.31	2915.45	1143.1	2119.22	3982.99	3060.45	3303.0	3820.7	2224.63	2485.67	2777.33	2645.74	3325.99	1709.26	2287.2	3257.52	4181.07	3589.58	2434.5	2351.53	5255.91	1225.22	2417.67	2193.99	2133.97	1819.35	6121.9	4704.07	5913.33	6607.01	2485.67	4481.23	6121.9
RMI1	420.68	182.55	180.02	133.36	171.45	50.63	60.82	44.57	241.19	16.63	54.33	47.84	105.15	124.37	162.14	37.05	96.01	74.58	120.1	69.52	98.04	34.02	66.65	81.14	108.14	81.71	96.68	34.02	118.43	89.51	82.29	61.25	60.82	69.52	66.18	281.09	139.07	182.55	267.73	289.02	221.86	281.09
RNASEH2A	2502.97	2224.63	1001.93	718.08	1259.69	231.32	339.14	190.34	928.3	61.25	305.55	236.21	629.35	295.11	830.75	134.3	525.39	314.17	457.25	99.43	327.56	62.12	303.44	244.57	629.35	403.5	629.35	218.79	438.59	325.29	295.11	426.57	242.88	234.57	148.09	1081.39	796.86	1896.65	1037.29	1769.57	1870.53	1081.39
RPL39L	866.07	1369.04	624.99	493.56	872.1	43.32	211.31	43.94	813.63	7.34	117.6	39.79	218.79	237.86	447.82	123.5	733.19	181.28	75.64	90.14	70.51	61.25	232.94	68.55	470.14	154.42	612.11	158.79	167.9	341.51	122.64	170.25	206.94	164.42	169.07	2855.44	854.13	1781.89	4736.79	2520.38	4010.71	2855.44
SFTPB	1.27	2720.15	135693.24	207103.59	138544.47	3383299.76	3049200.37	3290783.22	958220.73	2965819.8	2326934.84	2617937.91	2111737.85	1929772.37	2767207.65	3007221.12	1589343.01	2691538.19	2408994.05	2825352.59	2884719.27	2986448.72	2691538.19	3223059.86	1763486.6	2845004.48	2025714.3	3156730.23	5057523.59	1679964.3	2599854.48	3245478.02	2359417.65	2546350.23	1656835.72	1151.06	5751.61	30361.44	248.0	26800.01	36864.92	1151.06
SHCBP1	197.09	183.82	131.51	169.07	163.28	28.24	23.25	10.96	98.73	35.76	19.82	38.67	97.36	48.18	115.97	17.51	41.52	18.7	33.78	10.88	36.01	35.0	27.25	21.63	60.39	43.94	63.89	17.51	30.12	104.42	24.99	29.91	39.22	30.12	33.3	145.02	116.78	258.57	149.12	177.53	373.81	145.02
SHMT2	2224.63	1870.53	5913.33	3716.2	3820.7	830.75	1015.93	703.28	1991.0	379.04	738.29	974.5	2485.67	1427.22	2224.63	559.28	1359.57	981.29	1674.06	629.35	743.43	909.17	902.89	1757.34	1023.0	2485.67	1088.92	620.67	1617.0	961.07	830.75	1059.11	954.43	1508.65	718.08	5219.6	3081.75	2835.7	2777.33	3564.78	8963.45	5219.6
SNRPD1	8718.32	2935.74	2664.15	1896.65	5183.54	1359.57	796.86	444.72	2133.97	1066.48	1051.79	620.67	1529.73	1044.52	1331.57	915.51	1051.79	854.13	1369.04	559.28	1359.57	1313.23	684.02	890.44	967.76	1697.45	1639.59	723.08	1268.46	3060.45	607.87	1216.75	688.78	1583.71	665.29	5555.65	2400.97	3589.58	3847.29	3212.66	4543.8	5555.65
SNRPF	2555.58	2090.03	1594.73	1037.29	1745.2	872.1	543.96	384.34	1295.13	1104.13	493.56	511.0	1183.45	651.58	1119.56	642.59	759.08	638.15	738.29	457.25	780.44	1268.46	438.59	620.67	791.35	1008.9	1127.35	460.44	866.07	723.08	764.36	728.11	412.0	470.14	450.94	1407.55	1167.14	1605.83	1151.06	1135.2	2537.92	1407.55
SRSF9	5006.93	6887.62	5076.84	4671.57	6935.54	2104.58	2502.97	1819.35	3372.43	3982.99	2133.97	2573.36	2720.15	2573.36	3039.3	3665.02	2075.59	1870.53	2915.45	3060.45	2758.13	5292.48	2520.38	2777.33	3039.3	2895.31	3901.01	2434.5	3614.55	2591.27	2133.97	2485.67	3639.7	2384.37	2758.13	7382.04	5441.3	5366.37	5112.16	6294.04	6561.36	7382.04
TBC1D31	332.14	273.37	165.57	101.54	271.48	16.03	30.34	22.59	95.34	16.51	24.46	40.36	41.81	37.59	72.52	42.41	62.12	37.59	65.72	96.01	42.71	23.08	13.72	48.18	68.55	60.82	52.45	18.84	36.53	47.17	40.36	68.55	57.89	117.6	25.17	236.21	177.53	127.89	198.47	157.68	204.07	236.21
TK1	1617.0	1794.29	1350.18	1540.37	2485.67	191.67	417.77	135.24	954.43	159.9	143.01	215.77	1111.82	258.57	1909.85	218.79	808.0	177.53	368.65	65.26	158.79	181.28	90.14	144.01	1059.11	211.31	718.08	84.63	217.27	860.08	181.28	206.94	152.28	140.04	157.68	915.51	1628.26	3794.3	2796.65	2018.8	2935.74	915.51
TMEM106C	2976.74	6935.54	3928.15	2816.11	4328.55	1199.98	3564.78	2047.0	1378.57	444.72	1508.65	2485.67	1277.29	2193.99	2502.97	1594.73	2224.63	1295.13	915.51	1151.06	1870.53	703.28	1225.22	2119.22	1991.0	988.12	1991.0	1540.37	1199.98	1508.65	1883.54	1331.57	995.0	1008.9	2485.67	10585.95	2739.08	4972.34	5255.91	4704.07	5219.6	10585.95
TPX2	2627.46	718.08	1286.18	457.25	713.11	38.67	82.87	21.94	162.14	23.08	13.42	24.63	255.0	130.6	525.39	29.06	138.1	10.79	38.95	20.86	31.45	28.65	5.96	21.01	182.55	72.01	223.41	19.68	55.49	190.34	37.32	45.21	47.17	37.32	22.1	612.11	819.3	493.56	974.5	909.17	2468.49	612.11
TRIAP1	1295.13	1883.54	890.44	743.43	934.76	698.41	540.19	435.55	866.07	595.34	579.04	529.06	995.0	802.41	656.11	392.44	842.36	703.28	819.3	336.79	723.08	417.77	638.15	633.73	769.69	698.41	866.07	450.94	733.19	981.29	536.45	688.78	698.41	616.37	532.74	1359.57	909.17	2351.53	1059.11	974.5	1104.13	1359.57
TROAP	796.86	2047.0	1143.1	409.15	1167.14	23.42	50.27	13.62	81.71	15.0	12.36	24.11	131.51	63.89	395.18	32.82	67.59	11.91	82.29	24.28	30.34	15.56	5.28	22.59	146.03	84.04	224.97	16.51	44.25	80.01	24.63	34.51	45.85	48.52	14.78	1233.75	595.34	2004.85	1304.15	1073.91	2384.37	1233.75
UBE2C	5076.84	3467.27	4181.07	1477.58	4607.24	84.63	136.19	51.35	289.02	31.67	68.07	84.04	460.44	255.0	1119.56	70.51	251.48	18.29	262.2	25.54	49.21	29.7	49.56	53.95	536.45	204.07	688.78	37.32	145.02	420.68	102.97	127.89	98.04	143.01	50.63	3060.45	3467.27	2739.08	2627.46	2319.15	9409.14	3060.45
UBE2N	2720.15	4543.8	2520.38	2351.53	3168.41	2609.3	1208.34	1250.98	2664.15	2224.63	1844.76	1605.83	2591.27	2193.99	2451.44	1350.18	2032.85	1417.35	1991.0	842.36	2061.24	1159.07	1340.84	1639.59	2178.83	2271.4	2434.5	1066.48	2061.24	2997.45	1498.22	2319.15	1498.22	1233.75	1313.23	5041.77	3235.01	5831.91	3103.19	3168.41	2682.69	5041.77
UBE2T	2720.15	2664.15	1331.57	825.0	1183.45	49.91	92.05	49.56	384.34	21.01	52.82	59.97	279.14	193.01	536.45	66.65	358.54	55.1	100.83	45.53	88.88	39.22	48.87	59.97	295.11	71.5	295.11	43.02	100.83	293.07	69.52	115.16	71.0	130.6	18.29	2627.46	1159.07	2468.49	2119.22	1037.29	2384.37	2627.46
UNG	1135.2	1191.69	713.11	708.18	1088.92	241.19	435.55	441.64	934.76	72.01	507.46	381.68	521.76	579.04	738.29	264.03	785.88	341.51	579.04	293.07	454.09	134.3	395.18	555.41	738.29	218.79	679.29	371.22	476.71	638.15	476.71	371.22	371.22	236.21	150.17	1350.18	1119.56	1143.1	1051.79	1551.09	1870.53	1350.18
WDHD1	638.15	305.55	182.55	132.44	343.89	38.95	30.78	49.56	113.56	39.79	17.13	24.81	100.83	84.63	158.79	37.05	99.43	32.82	77.79	18.29	29.91	43.32	31.45	49.56	71.5	49.91	74.06	14.14	44.25	145.02	37.85	44.25	31.0	53.57	29.06	241.19	256.78	214.27	159.9	376.41	379.04	241.19
ZWINT	3395.89	575.03	1143.1	848.22	1467.37	90.77	129.69	97.36	500.46	69.03	63.45	67.59	320.8	211.31	718.08	60.39	429.54	80.01	163.28	42.11	102.97	42.71	54.33	86.43	429.54	143.01	336.79	79.45	172.65	323.03	114.36	135.24	116.78	96.68	90.77	1583.71	1044.52	1059.11	802.41	830.75	1233.75	1583.71
