	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZUS.2526.SM.59872	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.ZZPU.0426.SM.5GZYH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPIC.0926.SM.4IHLV	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.S4Z8.0526.SM.4AD4T	GTEX.13VXU.0926.SM.5IFFH	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3DP.01A.11R.A21D.07	TCGA.DJ.A4V5.01A.11R.A250.07
EBF2	0.0	0.77	0.47	0.16	0.77	2.46	0.1	0.0	4.54	1.89	0.71	1.3	0.14	0.75	4.9	1.53	0.0	1.36	0.75	0.05	0.0	0.09	0.14	1.33	0.0	0.09	0.0	0.0	0.6	0.87	0.09	0.0	2.81	0.0	0.09	43.94	71.5	48.52	47.5	78.89	35.76	87.65	39.5	43.94	63.0	26.86	36.27	45.21	69.52	60.39	66.18	64.8	64.34	67.12	83.45	99.43	60.82	52.82	39.5	53.95
EMID1	32.59	325.29	26.47	28.65	205.5	12.36	20.71	94.67	158.79	19.97	55.49	55.1	47.84	33.54	170.25	167.9	78.89	66.65	24.11	37.05	54.33	72.01	114.36	104.42	72.01	48.87	14.78	624.99	102.97	96.68	47.5	54.72	129.69	0.0	0.57	423.61	423.61	486.75	753.83	327.56	1216.75	371.22	503.95	409.15	358.54	163.28	248.0	647.07	285.03	547.75	438.59	555.41	575.03	128.79	547.75	660.68	414.87	346.29	409.15	361.04
EPB41L4A-AS2	10.55	30.78	11.21	5.82	2.86	3.76	7.82	12.09	22.92	0.0	1.99	7.11	13.52	5.28	21.16	11.82	13.42	3.38	15.68	12.09	2.86	7.75	11.38	3.35	17.51	19.25	9.7	17.77	1.83	3.08	24.99	7.57	32.13	0.0	0.06	63.89	67.59	75.64	63.0	75.11	52.08	61.25	81.14	54.72	64.34	63.89	62.12	93.35	69.03	85.22	55.89	68.55	73.03	55.49	100.83	74.58	103.69	94.67	69.52	88.26
EPOR	47.17	218.79	59.97	97.36	54.33	40.07	119.26	28.04	251.48	182.55	202.66	126.12	87.65	153.34	176.29	193.01	165.57	379.04	105.15	51.71	94.67	166.73	161.02	287.01	124.37	204.07	54.33	150.17	161.02	149.12	85.22	128.79	190.34	0.0	0.72	3716.2	1359.57	2758.13	1605.83	1498.22	1909.85	1250.98	1963.57	1572.76	2875.3	1119.56	1111.82	1191.69	2319.15	1617.0	1277.29	909.17	3190.46	2434.5	1733.13	1340.84	1277.29	2018.8	934.76	1857.6
EXTL1	0.62	1.95	1.45	0.0	0.12	1.04	0.11	0.1	0.0	2.43	0.1	0.0	0.14	1.0	0.09	3.92	0.14	10.08	2.41	0.0	0.0	0.0	0.14	0.0	0.16	0.11	0.15	0.0	0.07	0.0	0.1	4.21	3.0	0.0	0.09	41.22	3.44	34.02	7.34	18.43	14.03	31.0	25.54	15.11	14.24	2.89	9.27	29.06	46.5	37.32	28.24	21.78	16.39	40.36	9.56	5.87	23.59	12.83	20.86	9.93
FAM133B	186.4	228.13	151.22	202.66	182.55	348.71	186.4	305.55	361.04	264.03	379.04	208.38	183.82	379.04	189.02	356.05	470.14	265.87	226.54	151.22	199.85	248.0	158.79	341.51	231.32	228.13	81.71	187.71	269.6	351.14	187.71	466.88	414.87	0.0	0.58	435.55	435.55	381.68	414.87	438.59	346.29	412.0	470.14	435.55	555.41	343.89	397.93	414.87	368.65	336.79	379.04	376.41	500.46	387.02	420.68	493.56	373.81	389.72	395.18	395.18
FAM184A	104.42	88.88	13.93	120.1	24.46	98.04	540.19	63.89	237.86	366.09	205.5	154.42	89.51	285.03	473.41	775.05	49.56	231.32	166.73	307.69	75.11	101.54	85.22	30.34	40.93	224.97	63.45	45.85	46.5	316.37	50.98	295.11	221.86	0.0	0.28	525.39	329.84	215.77	373.81	248.0	299.25	297.17	320.8	273.37	387.02	102.25	258.57	260.38	454.09	197.09	376.41	260.38	426.57	559.28	299.25	567.1	181.28	214.27	371.22	115.16
FAM90A1	0.0	10.96	6.57	0.0	0.0	5.41	0.16	0.0	0.78	1.1	0.69	1.79	5.59	1.36	0.66	8.0	0.8	4.78	0.0	18.29	0.74	3.47	2.97	0.65	0.0	1.33	0.0	0.0	0.1	3.08	1.93	0.0	0.0	0.0	0.27	38.67	3.82	4.7	27.84	17.64	8.58	43.94	25.54	3.38	11.55	1.3	32.36	16.63	8.85	33.06	26.28	18.29	6.84	2.94	12.74	15.0	23.08	11.13	27.05	22.1
FEM1A	234.57	189.02	185.11	356.05	145.02	77.79	221.86	105.15	115.97	159.9	77.79	212.78	73.03	403.5	143.01	157.68	187.71	166.73	293.07	154.42	172.65	163.28	114.36	175.07	115.16	114.36	102.25	204.07	309.83	173.85	293.07	218.79	269.6	0.0	0.38	271.48	279.14	267.73	299.25	260.38	239.52	299.25	226.54	262.2	209.84	265.87	169.07	228.13	329.84	316.37	244.57	318.57	234.57	190.34	305.55	289.02	312.0	201.25	231.32	262.2
FGFBP3	6.73	17.13	11.04	44.89	12.09	11.91	13.62	4.94	7.17	4.35	9.78	18.7	9.13	23.59	8.38	17.25	8.45	8.92	15.11	17.25	4.7	14.78	9.63	20.86	17.77	10.55	1.87	14.56	6.41	5.15	3.44	10.39	5.02	0.0	0.13	44.57	56.68	49.21	50.27	47.17	35.0	38.95	48.87	42.11	40.07	38.95	28.65	53.95	69.03	41.22	33.78	41.52	41.52	42.41	57.08	34.02	45.53	60.82	50.63	27.25
FIP1L1	265.87	693.58	483.38	698.41	299.25	679.29	387.02	348.71	532.74	281.09	450.94	239.52	420.68	555.41	379.04	525.39	417.77	466.88	373.81	318.57	387.02	423.61	420.68	327.56	507.46	409.15	237.86	332.14	363.56	447.82	384.34	486.75	819.3	785.88	368.65	896.64	967.76	988.12	884.29	808.0	830.75	866.07	1167.14	1051.79	1051.79	813.63	921.88	896.64	1001.93	928.3	928.3	941.27	902.89	1159.07	1073.91	1051.79	1001.93	1081.39	1066.48	769.69
G6PD	53.95	503.95	60.39	59.97	127.0	40.07	82.29	57.08	131.51	75.11	234.57	24.81	178.77	55.89	127.0	73.03	56.28	206.94	43.63	77.25	32.82	72.01	125.24	100.13	151.22	82.87	52.82	120.94	183.82	172.65	113.56	44.57	80.01	1331.57	2104.58	1216.75	1639.59	1674.06	1437.15	1651.0	1427.22	1794.29	1950.0	1781.89	1191.69	1151.06	1407.55	1896.65	1617.0	1832.01	1639.59	1477.58	1617.0	1437.15	1378.57	1369.04	1508.65	1225.22	1794.29	2240.11
GJB4	0.6	5.63	0.0	0.88	0.0	0.78	32.82	0.66	0.01	3.17	10.39	0.58	4.5	2.78	0.0	7.4	0.82	0.62	0.0	0.56	1.68	10.79	0.02	13.72	0.06	0.0	0.04	0.0	0.55	0.0	0.0	2.61	0.0	0.0	0.22	46.18	14.03	32.82	87.65	53.57	8.51	37.85	56.28	46.84	21.78	18.03	34.26	64.8	69.03	44.57	43.32	38.12	39.5	27.44	25.35	58.3	34.51	21.16	19.11	20.26
GJC1	0.75	36.79	3.72	5.28	8.06	8.38	1.75	1.68	13.72	5.54	9.34	0.0	10.63	16.51	17.77	16.75	13.32	17.77	7.46	3.11	12.45	4.54	3.41	2.81	13.42	10.71	2.03	4.17	14.78	10.96	4.39	4.43	20.11	703.28	59.97	158.79	161.02	190.34	127.0	178.77	135.24	202.66	107.38	140.04	157.68	79.45	90.77	134.3	228.13	194.36	223.41	228.13	159.9	217.27	255.0	237.86	157.68	138.1	79.45	154.42
HES7	0.0	0.77	0.0	0.84	0.77	0.0	0.97	0.0	0.0	0.0	0.0	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	0.0	0.0	1.51	0.0	0.0	0.0	0.0	2.46	0.0	0.32	0.0	0.0	0.22	0.0	0.52	6.57	10.55	9.2	15.91	8.13	7.75	19.53	8.99	7.4	23.42	2.56	3.99	6.73	10.79	4.74	7.63	5.96	12.93	20.26	10.88	3.5	4.82	18.43	17.51	1.69
HIST1H2AE	63.0	46.5	32.82	47.17	8.85	42.71	60.82	30.78	61.68	50.98	34.02	444.72	153.34	91.41	103.69	52.82	82.87	92.7	24.99	101.54	6.73	166.73	228.13	7.57	74.58	135.24	74.06	11.47	56.68	63.45	75.64	37.32	57.89	0.0	0.58	466.88	320.8	457.25	457.25	503.95	204.07	183.82	182.55	237.86	264.03	159.9	251.48	255.0	358.54	165.57	277.2	376.41	387.02	381.68	267.73	329.84	450.94	389.72	153.34	228.13
HIST1H2AG	10.0	18.29	3.17	5.02	6.78	26.1	3.66	14.14	2.56	52.08	1.14	38.95	31.0	4.43	17.51	6.01	19.53	13.72	12.09	17.51	16.15	20.86	41.81	1.07	20.86	0.21	30.56	2.16	2.01	0.3	68.07	0.2	0.56	0.0	0.38	14.67	30.34	14.45	22.26	28.24	31.0	18.56	17.64	26.47	18.97	18.84	39.79	21.16	21.47	12.09	34.51	26.47	19.39	28.45	12.55	18.29	41.81	15.8	16.03	13.72
HIST1H2AK	0.0	11.91	2.18	6.78	8.51	0.31	0.72	3.76	10.31	0.93	5.19	4.1	0.0	2.66	7.57	6.36	9.93	4.1	0.89	6.16	10.79	11.91	1.97	4.21	0.0	5.45	32.13	2.46	3.86	3.63	4.06	1.73	0.87	0.0	0.46	32.13	57.08	24.63	15.68	26.67	13.22	46.5	32.36	25.35	36.27	9.78	55.1	17.9	73.54	17.51	31.45	29.91	57.89	31.9	26.86	47.5	29.48	43.94	24.46	10.24
HIST1H2AM	3.23	4.1	6.67	4.43	4.1	2.97	7.06	0.0	0.0	4.21	6.89	29.91	4.74	4.06	0.0	0.0	16.63	5.63	4.06	27.25	0.0	0.0	14.78	0.0	15.11	4.74	9.27	3.92	0.0	5.23	7.22	5.77	4.03	0.0	0.13	43.02	49.21	52.08	46.5	40.64	31.22	52.08	19.68	20.86	37.85	13.83	21.94	11.82	48.18	17.13	47.17	43.94	48.18	30.78	29.48	27.25	37.59	50.98	19.68	13.52
HIST1H2BG	15.56	3.32	6.16	1.41	3.47	4.98	7.94	0.0	33.06	7.46	4.46	150.17	8.38	5.19	1.77	2.14	0.0	7.82	5.5	40.93	6.89	13.22	21.16	18.97	9.93	41.22	3.99	12.74	4.7	9.34	10.47	11.3	5.06	0.0	1.0	140.04	172.65	80.57	60.39	363.56	105.15	38.67	75.64	82.87	101.54	108.9	162.14	73.03	143.01	55.49	120.94	114.36	102.25	158.79	71.5	205.5	153.34	73.03	57.89	136.19
HIST1H2BJ	42.41	30.56	8.45	24.81	7.57	52.08	8.51	24.28	19.97	58.3	10.0	54.33	33.06	26.47	8.0	15.45	34.26	53.57	49.21	26.86	58.71	28.86	60.39	5.54	42.11	19.53	68.55	8.32	17.9	0.6	49.21	1.91	9.48	0.0	0.55	120.1	76.17	37.32	50.98	165.57	102.25	97.36	67.12	105.15	63.45	52.82	164.42	108.9	98.04	83.45	92.7	152.28	127.0	68.55	56.68	63.0	114.36	57.89	70.01	66.18
HIST1H2BN	10.63	21.94	9.63	19.82	4.78	19.53	7.22	21.01	35.0	4.1	12.74	8.06	0.0	8.32	11.73	15.34	19.53	4.66	9.85	15.0	43.02	8.58	26.86	7.4	11.91	26.67	37.85	13.52	31.22	26.47	9.7	1.64	12.93	0.0	0.33	22.59	20.56	24.11	15.91	20.71	15.91	28.24	13.93	18.43	25.17	13.32	27.84	16.88	26.1	11.55	15.22	23.59	18.97	17.9	7.46	19.68	21.63	31.0	21.32	10.31
HIST1H3D	5.06	14.14	2.51	4.17	6.21	4.9	14.14	12.83	32.36	13.93	22.1	26.86	21.16	35.0	3.0	30.12	23.93	35.0	3.63	19.68	5.5	32.13	45.85	18.43	2.97	17.13	5.15	9.27	10.0	39.22	16.15	12.18	15.56	0.0	0.65	37.32	51.35	52.08	56.68	83.45	37.59	53.95	20.56	14.56	40.93	12.83	56.28	28.86	71.5	17.64	59.13	29.91	30.12	41.52	36.53	32.13	66.65	27.84	14.56	39.22
HIST1H4H	7.57	6.73	41.52	16.63	3.76	46.5	2.97	14.24	7.06	26.47	4.94	26.1	20.26	6.31	4.43	14.67	21.16	48.18	21.63	3.86	0.46	20.71	124.37	13.62	25.54	10.0	8.25	6.26	7.51	8.65	182.55	11.04	18.7	0.0	0.64	171.45	185.11	177.53	159.9	297.17	76.71	165.57	96.68	117.6	118.43	45.85	155.5	90.77	176.29	99.43	166.73	208.38	105.89	103.69	127.0	114.36	234.57	78.89	96.68	92.7
HIST1H4I	2.32	4.35	0.99	0.97	0.0	4.03	1.0	3.26	2.2	5.59	5.5	0.49	0.28	2.32	0.0	4.17	2.25	7.75	1.89	43.94	1.89	1.41	4.13	2.07	2.89	4.43	2.34	1.16	0.46	3.56	8.0	0.57	1.79	0.0	0.35	31.67	24.81	12.36	36.79	40.93	19.11	20.26	23.76	19.39	11.91	18.16	25.72	21.32	26.47	16.63	31.22	18.29	28.65	24.63	23.42	28.04	26.67	12.64	7.22	12.18
HIST2H2AA3	75.11	46.84	48.52	38.67	12.18	33.06	40.07	42.41	109.66	39.5	37.59	21.01	58.71	65.26	36.53	59.97	77.25	92.05	37.32	19.97	16.15	32.13	64.8	74.58	53.57	75.11	85.82	17.0	14.24	49.21	64.8	13.93	23.08	0.0	0.06	114.36	109.66	75.64	115.16	101.54	93.35	111.21	111.99	88.88	74.58	65.72	80.01	93.35	107.38	62.12	102.25	117.6	117.6	239.52	94.01	119.26	76.71	96.01	71.0	100.13
HIST2H2AA4	2032.85	1605.83	1487.87	1127.35	860.08	688.78	1066.48	1697.45	2417.67	1427.22	1143.1	3146.52	1508.65	1081.39	1457.23	679.29	3212.66	1304.15	595.34	1870.53	684.02	2104.58	3039.3	1508.65	1388.16	1313.23	3018.3	447.82	988.12	1119.56	3103.19	1159.07	753.83	0.0	0.0	3060.45	2835.7	2520.38	3515.68	6121.9	3018.3	4010.71	2664.15	1963.57	1498.22	2609.3	1977.24	1628.26	2287.2	1769.57	2855.44	3325.99	2468.49	3372.43	2573.36	3190.46	2796.65	2682.69	967.76	2303.12
HIST2H2BE	151.22	140.04	68.55	127.0	69.03	157.68	86.43	97.36	400.71	125.24	343.89	223.41	115.97	241.19	124.37	116.78	217.27	223.41	63.45	318.57	151.22	249.73	265.87	116.78	126.12	223.41	251.48	63.45	58.3	316.37	148.09	271.48	231.32	0.0	0.44	543.96	540.19	397.93	647.07	1313.23	420.68	698.41	529.06	384.34	346.29	356.05	579.04	423.61	620.67	409.15	660.68	769.69	599.49	1001.93	376.41	595.34	555.41	514.56	295.11	392.44
HIST2H4A	32.13	231.32	152.28	52.45	64.34	90.77	130.6	15.8	29.7	21.94	105.89	201.25	90.14	157.68	32.59	104.42	258.57	36.53	25.54	82.87	103.69	154.42	323.03	102.97	89.51	136.19	63.45	47.17	17.77	120.94	159.9	91.41	167.9	112.77	1745.2	532.74	289.02	114.36	173.85	532.74	165.57	432.53	114.36	199.85	229.72	117.6	397.93	119.26	444.72	195.72	171.45	283.05	75.64	307.69	172.65	212.78	316.37	343.89	80.57	264.03
HNRNPA0	769.69	1685.71	1096.5	934.76	1167.14	612.11	669.92	1268.46	629.35	536.45	753.83	830.75	1051.79	1081.39	703.28	748.61	775.05	497.0	1286.18	1233.75	669.92	785.88	947.83	775.05	1268.46	954.43	718.08	1044.52	954.43	1059.11	902.89	728.11	1127.35	1088.92	921.88	1963.57	2148.82	1870.53	2104.58	2018.8	1819.35	2148.82	2287.2	2018.8	2018.8	2018.8	1806.78	2193.99	2502.97	2335.28	1909.85	1977.24	2018.8	1733.13	1977.24	2004.85	2351.53	2367.9	2627.46	1909.85
HS3ST4	0.0	18.7	0.0	0.0	0.0	0.0	0.0	0.0	1.19	19.97	0.0	0.0	20.86	1.13	0.0	12.27	54.33	1.0	1.13	0.0	0.0	0.0	1.22	0.0	1.31	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	4.62	1.79	2.73	2.46	0.78	0.45	0.0	1.43	9.85	4.31	0.78	3.11	3.76	1.43	0.45	19.68	0.47	1.45	8.32	0.45	8.25	3.06	1.08	5.68	1.11
HSPH1	429.54	551.56	389.72	358.54	457.25	529.06	417.77	283.05	351.14	373.81	239.52	392.44	295.11	647.07	323.03	638.15	444.72	540.19	351.14	3212.66	397.93	316.37	497.0	547.75	228.13	1923.14	206.94	316.37	366.09	575.03	387.02	669.92	848.22	0.0	0.0	1883.54	2224.63	1167.14	1674.06	1467.37	1572.76	1340.84	1594.73	1685.71	2148.82	1340.84	2573.36	1628.26	1551.09	1477.58	1963.57	2271.4	1721.16	1023.0	2148.82	1896.65	1388.16	2555.58	1081.39	1119.56
IFT122	178.77	299.25	120.94	312.0	193.01	218.79	395.18	128.79	232.94	239.52	426.57	208.38	166.73	231.32	353.59	212.78	156.59	417.77	152.28	248.0	152.28	229.72	194.36	395.18	226.54	273.37	118.43	299.25	236.21	395.18	151.22	182.55	172.65	0.0	0.77	733.19	684.02	567.1	688.78	718.08	497.0	718.08	616.37	633.73	583.07	450.94	543.96	587.13	896.64	713.11	669.92	612.11	713.11	718.08	656.11	555.41	616.37	633.73	647.07	555.41
INCA1	40.36	40.93	16.15	50.63	20.56	20.11	36.27	25.91	74.58	32.82	74.58	43.63	15.56	51.71	78.34	83.45	36.53	111.99	36.27	44.57	26.28	42.11	34.02	90.77	38.12	58.71	22.26	88.88	23.59	44.89	24.81	84.63	59.13	0.0	0.24	134.3	98.73	87.65	86.43	74.58	82.87	98.04	80.01	117.6	102.25	71.5	61.25	94.67	124.37	107.38	93.35	86.43	136.19	95.34	80.57	73.03	88.26	107.38	108.14	52.82
IRGQ	109.66	91.41	100.13	105.89	88.88	46.84	95.34	67.59	94.01	114.36	50.98	112.77	53.19	152.28	79.45	96.68	102.97	158.79	87.65	78.89	103.69	69.03	74.06	150.17	48.18	42.41	42.41	143.01	51.71	102.25	116.78	98.73	86.43	47.5	175.07	327.56	299.25	297.17	314.17	312.0	371.22	320.8	277.2	291.04	327.56	253.23	228.13	231.32	332.14	299.25	295.11	251.48	309.83	320.8	320.8	293.07	287.01	323.03	291.04	283.05
ITGA7	53.19	226.54	77.25	104.42	92.05	84.04	80.01	27.25	186.4	172.65	135.24	255.0	85.22	145.02	136.19	249.73	231.32	246.28	155.5	61.25	74.06	156.59	229.72	154.42	126.12	97.36	33.78	120.94	88.26	143.01	283.05	68.07	156.59	0.0	0.72	2148.82	1216.75	1135.2	1008.9	1674.06	775.05	995.0	1508.65	1350.18	1709.26	607.87	1051.79	1023.0	1467.37	1286.18	1295.13	1225.22	1794.29	1437.15	2018.8	1498.22	1051.79	1359.57	1417.35	819.3
JAM3	22.43	163.28	29.48	48.18	30.12	50.27	32.13	34.51	49.56	60.82	37.85	30.34	37.32	51.35	32.59	112.77	49.21	91.41	38.67	56.68	22.26	60.39	37.05	39.22	52.82	72.01	16.27	18.29	65.72	64.8	60.82	57.08	84.04	0.0	0.62	291.04	244.57	264.03	237.86	265.87	202.66	231.32	197.09	228.13	241.19	153.34	187.71	205.5	229.72	356.05	325.29	271.48	368.65	281.09	384.34	414.87	293.07	356.05	221.86	220.32
KCNAB1	4.86	56.68	11.73	8.38	31.67	38.67	7.57	11.64	22.43	17.64	9.93	9.41	30.34	15.91	0.99	21.78	32.13	12.27	9.48	15.91	8.65	15.56	38.4	9.56	49.91	10.96	3.69	26.28	10.0	22.43	17.9	17.13	21.78	0.0	0.0	236.21	358.54	187.71	234.57	43.94	51.71	279.14	133.36	348.71	105.15	22.92	29.7	258.57	187.71	246.28	258.57	96.68	127.89	94.01	116.78	346.29	45.53	35.76	145.02	76.17
KCTD13	112.77	149.12	70.51	137.14	102.97	69.03	105.15	38.4	223.41	115.16	140.04	136.19	86.43	162.14	187.71	195.72	94.67	297.17	82.87	95.34	84.63	202.66	65.72	177.53	98.04	107.38	56.28	253.23	169.07	186.4	130.6	117.6	215.77	0.0	0.85	389.72	551.56	395.18	441.64	420.68	500.46	389.72	454.09	397.93	500.46	316.37	291.04	332.14	432.53	373.81	353.59	279.14	629.35	476.71	476.71	366.09	379.04	532.74	325.29	441.64
KRTAP5-9	1.89	2.41	0.0	8.92	1.5	0.0	2.78	2.12	2.34	2.61	5.02	5.68	0.21	2.25	5.15	9.13	1.77	2.89	1.5	6.41	0.91	4.39	0.97	9.13	4.86	0.85	0.71	6.84	1.11	2.63	0.97	3.99	4.78	0.0	0.38	21.47	19.39	11.21	16.39	8.65	10.55	9.78	16.27	7.82	13.52	5.87	6.11	5.63	5.96	5.45	13.32	7.82	19.11	15.56	11.13	5.11	8.45	8.99	6.21	13.83
LCMT1	172.65	251.48	351.14	204.07	185.11	262.2	190.34	208.38	258.57	194.36	329.84	299.25	191.67	432.53	182.55	358.54	162.14	567.1	239.52	265.87	122.64	273.37	198.47	373.81	223.41	334.46	173.85	379.04	115.16	420.68	318.57	190.34	237.86	1909.85	708.18	1304.15	1467.37	1304.15	1407.55	1417.35	1457.23	1388.16	1467.37	1295.13	1111.82	1561.89	1242.34	1331.57	1175.27	1304.15	1143.1	1191.69	1295.13	1191.69	1151.06	1127.35	1508.65	1268.46	1151.06	1167.14
LENEP	0.0	0.74	0.93	0.0	0.0	0.0	1.2	1.39	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	1.46	0.0	2.16	2.56	0.79	0.0	0.0	0.0	1.35	0.0	0.0	4.43	0.0	0.0	3.32	0.0	0.0	3.96	4.24	4.24	0.0	0.0	0.0	3.69	0.0	0.0	1.73	0.0	8.0	5.92	5.19	1.22	0.0	0.0	7.75	2.25	6.84	0.0	0.0	2.14	3.32	2.18
LHFP	55.49	1066.48	118.43	148.09	87.65	147.06	137.14	103.69	339.14	93.35	153.34	62.12	176.29	217.27	178.77	559.28	154.42	229.72	104.42	100.83	74.06	231.32	248.0	78.89	241.19	163.28	54.33	41.52	336.79	237.86	118.43	246.28	460.44	226.54	591.22	1529.73	1322.37	1359.57	1051.79	1127.35	769.69	1268.46	974.5	1242.34	1104.13	567.1	825.0	947.83	1199.98	1340.84	1096.5	1369.04	1096.5	1233.75	1806.78	1540.37	1313.23	1242.34	780.44	967.76
LOH12CR1	123.5	135.24	158.79	79.45	73.03	177.53	96.01	157.68	111.21	107.38	102.97	163.28	166.73	144.01	69.52	151.22	157.68	121.79	133.36	54.72	170.25	143.01	145.02	94.67	132.44	191.67	287.01	107.38	112.77	129.69	140.04	48.87	74.06	0.0	0.39	162.14	189.02	177.53	187.71	277.2	182.55	139.07	224.97	156.59	177.53	171.45	189.02	178.77	178.77	204.07	178.77	158.79	223.41	204.07	176.29	131.51	163.28	147.06	209.84	193.01
LPHN2	532.74	785.88	954.43	361.04	2061.24	2224.63	309.83	1896.65	813.63	995.0	193.01	802.41	1628.26	450.94	239.52	698.41	748.61	336.79	651.58	358.54	567.1	444.72	947.83	376.41	896.64	728.11	429.54	202.66	743.43	1369.04	1167.14	1304.15	1594.73	0.0	0.72	941.27	909.17	860.08	723.08	1111.82	813.63	890.44	988.12	878.17	928.3	684.02	928.3	928.3	884.29	967.76	1008.9	713.11	909.17	974.5	896.64	1167.14	1015.93	967.76	1066.48	848.22
LRP2BP	6.21	7.11	3.63	7.06	4.5	5.36	9.13	3.82	20.26	8.58	13.32	4.58	5.82	7.57	8.58	16.51	6.26	19.39	3.35	15.11	10.63	14.67	3.11	12.18	6.16	13.83	3.72	8.65	19.25	17.0	3.17	13.83	14.56	0.0	0.21	84.63	72.52	57.89	55.49	56.28	69.03	47.5	56.28	49.91	121.79	43.63	57.89	72.52	39.5	31.9	44.25	65.72	166.73	83.45	57.08	88.26	42.11	89.51	65.26	57.08
LRRC73	10.24	5.02	1.06	1.69	6.67	0.26	2.39	5.77	3.08	1.99	0.0	4.9	4.82	6.67	6.62	3.99	19.82	8.78	0.23	7.34	22.26	10.55	3.11	2.18	4.46	8.71	9.93	0.72	27.44	14.67	7.4	4.74	3.41	0.0	0.0	34.51	15.45	33.78	17.0	25.54	32.13	11.21	32.82	38.12	29.27	16.03	27.64	28.86	30.78	45.85	31.22	27.44	21.63	27.25	27.84	28.04	23.93	46.5	32.13	17.64
LRWD1	336.79	236.21	332.14	1268.46	283.05	185.11	223.41	221.86	248.0	186.4	269.6	262.2	260.38	323.03	255.0	229.72	191.67	353.59	379.04	303.44	281.09	221.86	187.71	361.04	312.0	346.29	271.48	368.65	163.28	291.04	262.2	289.02	224.97	0.0	0.17	373.81	406.31	412.0	444.72	316.37	420.68	403.5	373.81	426.57	417.77	397.93	318.57	432.53	441.64	392.44	420.68	376.41	379.04	403.5	376.41	511.0	420.68	414.87	312.0	406.31
LY6H	0.0	2.71	0.0	1.66	0.0	22.43	0.0	0.83	0.0	1.14	0.84	2.34	1.58	0.0	1.85	0.0	0.0	2.43	1.45	2.29	0.0	2.61	3.59	0.0	2.36	5.32	0.0	1.46	1.2	0.0	6.67	2.53	13.12	0.0	0.0	4.7	7.28	5.02	11.38	4.35	3.79	7.22	2.71	9.48	13.03	10.39	13.22	1.68	3.26	2.18	38.95	7.57	7.17	29.7	29.27	5.59	30.12	77.79	2.25	16.75
