	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.11ZTS.1526.SM.5N9G7	GTEX.11GSP.1626.SM.5986N	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11NUK.1726.SM.5A5L2	GTEX.12WSD.2026.SM.5HL7D	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.14DAQ.1626.SM.5S2R1	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.11DYG.1426.SM.5A5JR	GTEX.RTLS.1226.SM.46MUP	GTEX.YECK.1726.SM.5IFI3	GTEX.XQ8I.1626.SM.4BOOI	TCGA.CV.A463.01A.11R.A266.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.38.4625.01A.01R.1206.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07
TRPV5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.95	0.56	0.74	2.48	2.51	2.23	2.76	0.69	1.99	1.91	1.08	5.41	1.46	1.87	2.27	3.11	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUB	89.51	138.1	147.06	70.51	178.77	107.38	87.03	125.24	42.71	90.77	125.24	256.78	242.88	201.25	297.17	358.54	289.02	251.48	314.17	253.23	264.03	316.37	470.14	289.02	293.07	301.33	400.71	221.86	3.56	3.29	5.41	2.27	0.0	91.41	84.63	177.53	163.28
USP20	703.28	470.14	483.38	507.46	713.11	454.09	791.35	595.34	457.25	647.07	733.19	1037.29	872.1	934.76	1008.9	860.08	1051.79	1250.98	796.86	961.07	1331.57	1295.13	1242.34	1159.07	780.44	941.27	1023.0	723.08	356.05	316.37	426.57	265.87	0.0	470.14	329.84	525.39	511.0
VPS39	718.08	791.35	825.0	748.61	1119.56	759.08	733.19	723.08	490.14	902.89	848.22	1175.27	1066.48	1073.91	1015.93	1127.35	1167.14	1059.11	1081.39	1191.69	1159.07	1127.35	1208.34	1250.98	1119.56	1066.48	1199.98	1159.07	384.34	563.18	642.59	457.25	0.0	708.18	521.76	928.3	780.44
WASF3	119.26	150.17	152.28	102.97	226.54	132.44	102.97	109.66	58.3	63.89	80.57	205.5	163.28	229.72	146.03	275.28	212.78	167.9	258.57	371.22	194.36	223.41	215.77	237.86	237.86	289.02	264.03	244.57	36.79	11.13	44.89	7.17	17.13	116.78	139.07	236.21	177.53
XPC	567.1	521.76	500.46	444.72	559.28	486.75	559.28	536.45	265.87	529.06	532.74	785.88	543.96	708.18	633.73	941.27	808.0	748.61	819.3	860.08	748.61	915.51	819.3	947.83	651.58	860.08	947.83	753.83	334.46	167.9	371.22	312.0	0.0	441.64	368.65	540.19	486.75
ZDHHC1	441.64	316.37	281.09	299.25	395.18	301.33	403.5	363.56	470.14	688.78	493.56	583.07	470.14	403.5	825.0	884.29	995.0	860.08	738.29	583.07	1059.11	759.08	769.69	981.29	665.29	848.22	902.89	616.37	293.07	241.19	185.11	267.73	0.0	289.02	373.81	329.84	363.56
ZFP14	31.9	38.12	56.28	50.98	62.12	52.45	45.21	60.39	27.25	61.25	42.11	63.45	48.18	50.98	61.68	84.04	159.9	110.43	85.82	80.57	111.99	126.12	103.69	118.43	73.54	80.01	93.35	65.26	1.03	10.47	12.55	10.55	0.0	45.85	21.32	95.34	37.59
ZNF160	314.17	341.51	318.57	320.8	473.41	312.0	514.56	368.65	191.67	470.14	435.55	656.11	476.71	438.59	902.89	1216.75	1127.35	575.03	733.19	813.63	1183.45	896.64	1059.11	1066.48	638.15	1051.79	884.29	688.78	13.03	57.49	16.63	27.25	0.0	246.28	214.27	409.15	289.02
ZNF251	361.04	249.73	249.73	224.97	392.44	220.32	241.19	256.78	87.03	507.46	303.44	463.65	228.13	381.68	620.67	748.61	954.43	703.28	518.15	665.29	1073.91	848.22	836.53	808.0	493.56	698.41	825.0	514.56	92.7	80.57	60.82	59.97	0.0	185.11	158.79	351.14	236.21
ZNF439	48.87	63.0	71.5	94.01	87.03	111.21	69.03	66.18	16.51	80.01	61.68	129.69	89.51	108.9	147.06	164.42	262.2	201.25	108.14	198.47	281.09	144.01	198.47	241.19	205.5	136.19	281.09	175.07	4.17	11.21	7.82	11.64	0.0	81.14	56.68	115.16	62.12
ZNF554	54.33	62.56	73.54	82.29	70.51	57.49	39.5	36.53	26.1	71.0	50.98	70.51	65.26	81.14	79.45	106.63	110.43	113.56	90.14	86.43	111.99	100.13	110.43	113.56	96.68	99.43	94.67	65.26	17.25	24.46	34.51	25.72	0.0	49.21	48.18	95.34	47.84
ZNF568	83.45	109.66	94.67	68.07	134.3	98.73	111.21	66.18	57.08	68.07	67.59	139.07	128.79	114.36	165.57	183.82	128.79	147.06	218.79	224.97	151.22	172.65	162.14	165.57	177.53	106.63	102.25	103.69	1.77	4.24	11.73	9.06	0.0	88.88	62.12	172.65	101.54
ZNF599	88.88	92.7	114.36	96.01	155.5	101.54	128.79	127.89	40.36	132.44	106.63	152.28	87.65	120.1	221.86	246.28	285.03	267.73	251.48	246.28	307.69	346.29	231.32	293.07	157.68	256.78	287.01	205.5	9.7	40.36	26.67	59.97	0.0	87.65	60.82	116.78	100.83
ZNF641	181.28	193.01	152.28	156.59	279.14	162.14	171.45	155.5	98.73	239.52	218.79	329.84	236.21	220.32	173.85	395.18	293.07	165.57	356.05	314.17	186.4	248.0	307.69	346.29	209.84	201.25	368.65	231.32	29.48	99.43	78.89	80.57	0.0	172.65	136.19	248.0	146.03
ZNF677	157.68	177.53	275.28	134.3	414.87	199.85	186.4	171.45	137.14	97.36	155.5	389.72	307.69	273.37	249.73	277.2	376.41	314.17	327.56	303.44	353.59	392.44	271.48	397.93	379.04	334.46	353.59	307.69	21.78	16.63	19.82	17.0	88.88	195.72	145.02	392.44	239.52
ZNF737	37.85	108.14	56.28	84.63	71.5	107.38	145.02	145.02	12.74	51.71	33.3	69.52	52.08	90.14	74.58	209.84	366.09	107.38	205.5	195.72	140.04	246.28	157.68	414.87	98.73	114.36	178.77	186.4	4.66	7.69	4.03	12.83	0.0	94.01	53.95	118.43	47.17
ZNF846	154.42	159.9	147.06	129.69	264.03	195.72	301.33	199.85	172.65	295.11	305.55	387.02	332.14	336.79	189.02	307.69	265.87	379.04	267.73	318.57	255.0	435.55	318.57	329.84	329.84	346.29	366.09	351.14	232.94	102.97	102.25	126.12	0.0	151.22	143.01	228.13	215.77
