	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YFC4.1526.SM.5IFJS	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.11GSP.0626.SM.5986T	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X261.1726.SM.4PQYT	GTEX.X4EP.1026.SM.4QAS5	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.XOTO.0826.SM.4B65O	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.REY6.1226.SM.48FDR	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.YJ89.0726.SM.5P9F7	GTEX.14AS3.0226.SM.5Q5B6	GTEX.11NSD.0126.SM.5987F	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.SE5C.0726.SM.4BRWY	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.Y3IK.0526.SM.4WWE3	GTEX.WFG7.0326.SM.5SI7L	GTEX.PX3G.2626.SM.2I3EG	GTEX.YB5K.0526.SM.5LUAS	GTEX.1192W.0126.SM.5EGGS	GTEX.XMK1.0626.SM.4B65A	GTEX.QMRM.0726.SM.2I5G8	GTEX.ZVZQ.0626.SM.59HJU	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.V1D1.0926.SM.4JBHQ
DTX2	236.21	255.0	307.69	260.38	279.14	251.48	358.54	187.71	303.44	217.27	98.04	139.07	223.41	521.76	147.06	256.78	312.0	204.07	242.88	95.34	199.85	277.2	113.56	279.14	395.18	256.78	178.77	241.19	397.93	115.16	211.31	325.29	258.57	258.57	205.5	249.73	187.71	327.56	379.04	423.61	356.05	246.28	339.14	353.59	346.29	244.57	242.88	412.0	334.46	248.0	208.38	287.01	371.22	231.32	201.25	429.54	262.2	295.11	392.44
DTX3	73.03	91.41	299.25	38.12	1023.0	30.56	400.71	36.53	384.34	42.41	24.11	37.32	94.67	68.55	18.7	55.89	106.63	29.7	7.28	28.04	127.89	275.28	82.29	624.99	156.59	133.36	60.39	157.68	194.36	44.89	78.34	397.93	134.3	34.75	94.01	73.03	94.01	81.14	2047.0	1674.06	2047.0	1583.71	1662.49	1437.15	2004.85	1617.0	1208.34	1963.57	1757.34	842.36	896.64	1191.69	1721.16	1250.98	1295.13	1963.57	1268.46	1508.65	2400.97
DUSP15	7.82	14.45	29.91	1.69	45.21	5.45	7.0	1.89	59.13	3.99	16.51	4.86	8.65	2.29	2.68	21.94	2.78	6.62	0.6	3.79	1.48	23.76	0.0	18.29	6.94	3.72	17.51	5.77	14.78	2.29	3.03	6.84	25.17	6.62	10.79	6.11	2.94	3.29	429.54	371.22	423.61	316.37	1313.23	587.13	358.54	551.56	271.48	387.02	890.44	309.83	251.48	161.02	540.19	466.88	190.34	638.15	521.76	417.77	529.06
ELMO3	22.75	166.73	329.84	129.69	454.09	363.56	450.94	28.24	220.32	392.44	22.43	2.89	164.42	2075.59	63.45	348.71	34.51	100.13	173.85	36.79	94.01	728.11	185.11	454.09	156.59	49.21	69.03	150.17	325.29	97.36	301.33	127.89	96.68	127.0	121.79	181.28	132.44	277.2	981.29	780.44	1183.45	748.61	934.76	583.07	665.29	753.83	514.56	928.3	764.36	420.68	473.41	429.54	902.89	529.06	521.76	624.99	620.67	1151.06	733.19
ENKD1	368.65	329.84	264.03	234.57	521.76	95.34	262.2	90.14	371.22	173.85	61.68	150.17	397.93	239.52	89.51	409.15	260.38	198.47	120.1	166.73	165.57	612.11	140.04	237.86	289.02	323.03	217.27	397.93	400.71	232.94	325.29	223.41	423.61	176.29	301.33	178.77	187.71	353.59	1519.15	866.07	802.41	1001.93	1250.98	698.41	1159.07	723.08	651.58	1030.12	1104.13	759.08	395.18	703.28	1001.93	669.92	665.29	1437.15	842.36	1015.93	1322.37
EPOR	208.38	283.05	218.79	116.78	591.22	54.33	426.57	101.54	256.78	58.71	40.07	95.34	289.02	356.05	28.04	281.09	147.06	87.65	40.07	81.14	165.57	379.04	122.64	400.71	175.07	127.89	94.67	166.73	163.28	161.02	124.37	169.07	166.73	92.05	171.45	150.17	152.28	187.71	2502.97	1447.15	2796.65	1508.65	1697.45	1183.45	1857.6	1088.92	1023.0	2303.12	1233.75	579.04	429.54	825.0	1757.34	1096.5	813.63	1250.98	514.56	3212.66	3443.31
EZH1	156.59	136.19	204.07	180.02	343.89	71.5	295.11	75.64	204.07	139.07	102.97	82.87	182.55	142.01	74.06	152.28	152.28	117.6	61.68	82.87	138.1	239.52	130.6	336.79	142.01	98.73	193.01	221.86	241.19	158.79	146.03	231.32	209.84	99.43	114.36	136.19	193.01	111.21	995.0	854.13	1259.69	753.83	718.08	995.0	1088.92	947.83	620.67	1015.93	825.0	718.08	620.67	693.58	941.27	579.04	633.73	813.63	791.35	866.07	878.17
FAM160A2	791.35	1030.12	848.22	651.58	1369.04	476.71	1051.79	555.41	563.18	629.35	507.46	454.09	748.61	1001.93	285.03	1023.0	435.55	555.41	320.8	612.11	620.67	1417.35	447.82	954.43	423.61	633.73	414.87	830.75	599.49	587.13	764.36	679.29	1008.9	575.03	836.53	733.19	559.28	848.22	1628.26	1277.29	1191.69	1159.07	1819.35	1467.37	2119.22	1044.52	915.51	1388.16	1498.22	780.44	813.63	896.64	1639.59	947.83	785.88	1639.59	1044.52	1135.2	2004.85
FAM186B	17.0	13.03	11.55	18.7	5.02	10.31	17.51	15.68	3.47	10.39	13.12	7.22	19.39	19.97	10.39	17.9	34.51	42.41	0.0	36.27	12.83	12.93	14.56	4.9	4.31	17.25	16.51	29.27	10.71	10.88	22.43	10.63	24.46	6.67	18.84	5.32	18.16	9.93	43.94	39.22	43.63	43.94	45.53	49.21	30.56	21.94	37.32	40.93	48.18	28.45	51.71	18.56	38.4	15.8	33.54	25.91	23.42	60.39	35.25
FAM69B	57.89	193.01	149.12	100.13	199.85	116.78	339.14	35.5	64.34	253.23	77.79	32.36	100.83	147.06	26.86	111.21	52.82	90.14	17.25	256.78	62.12	305.55	140.04	101.54	50.98	30.56	48.87	126.12	82.87	87.65	231.32	26.47	114.36	121.79	217.27	211.31	57.89	86.43	902.89	532.74	497.0	511.0	529.06	718.08	289.02	454.09	329.84	603.67	961.07	366.09	444.72	297.17	866.07	447.82	218.79	713.11	353.59	497.0	708.18
FAM98C	141.02	412.0	414.87	221.86	316.37	256.78	423.61	182.55	332.14	426.57	177.53	164.42	228.13	387.02	178.77	343.89	226.54	384.34	173.85	221.86	379.04	423.61	221.86	325.29	208.38	165.57	211.31	463.65	226.54	297.17	339.14	314.17	325.29	283.05	341.51	460.44	314.17	660.68	902.89	698.41	718.08	616.37	713.11	775.05	612.11	616.37	497.0	620.67	738.29	518.15	518.15	500.46	567.1	620.67	387.02	583.07	607.87	591.22	633.73
FBXO44	351.14	339.14	366.09	256.78	497.0	156.59	547.75	119.26	208.38	351.14	84.63	108.14	325.29	688.78	142.01	348.71	406.31	323.03	114.36	127.89	373.81	679.29	204.07	470.14	201.25	251.48	255.0	387.02	503.95	339.14	406.31	525.39	463.65	246.28	361.04	279.14	368.65	244.57	1883.54	1639.59	1685.71	1199.98	1151.06	1437.15	1437.15	1583.71	1030.12	1605.83	1369.04	872.1	651.58	1127.35	1286.18	961.07	1295.13	1304.15	981.29	1467.37	1651.0
FBXO46	122.64	312.0	228.13	153.34	236.21	159.9	397.93	29.7	115.16	123.5	82.29	140.04	150.17	329.84	51.35	336.79	131.51	89.51	105.89	65.72	226.54	156.59	63.89	134.3	156.59	127.89	100.83	180.02	205.5	90.14	123.5	193.01	120.94	112.77	58.3	228.13	124.37	265.87	543.96	397.93	693.58	567.1	476.71	466.88	493.56	633.73	406.31	429.54	435.55	480.04	348.71	429.54	361.04	339.14	341.51	392.44	466.88	514.56	457.25
FOLR4	0.0	0.0	5.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.41	0.0	0.0	0.0	0.0	0.0	6.78	3.53	0.0	0.0	0.0	0.0	0.0	4.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.68	4.66	2.41	0.0	0.0	0.0	4.1	32.36	6.31	5.73	9.27	20.86	6.16	13.62	0.0	9.78	13.52	10.79	0.0	8.51	7.69	5.06	0.0	4.86	8.99	6.57	7.46	8.92
FRMD4A	164.42	463.65	624.99	101.54	753.83	373.81	878.17	53.57	497.0	197.09	135.24	111.99	426.57	212.78	182.55	693.58	191.67	312.0	124.37	356.05	244.57	444.72	285.03	703.28	334.46	141.02	90.14	460.44	368.65	358.54	299.25	167.9	295.11	447.82	229.72	218.79	351.14	575.03	507.46	521.76	493.56	312.0	400.71	759.08	406.31	356.05	339.14	551.56	633.73	281.09	309.83	204.07	417.77	490.14	356.05	738.29	217.27	583.07	493.56
FRS3	54.33	80.01	67.12	70.01	49.91	35.5	55.89	27.05	26.28	54.33	30.12	16.88	57.49	76.17	26.47	52.08	32.36	50.63	30.34	28.45	51.71	104.42	35.25	40.36	32.36	28.24	34.75	82.29	53.95	54.72	49.91	41.52	74.58	40.64	38.4	64.34	54.33	34.26	348.71	220.32	251.48	289.02	371.22	312.0	301.33	244.57	221.86	285.03	339.14	143.01	228.13	178.77	267.73	212.78	201.25	305.55	209.84	285.03	447.82
GLI4	234.57	163.28	202.66	229.72	239.52	79.45	341.51	69.52	101.54	197.09	59.13	49.91	251.48	139.07	53.57	239.52	142.01	132.44	43.63	88.88	123.5	368.65	127.0	154.42	72.01	181.28	82.29	232.94	208.38	138.1	220.32	163.28	224.97	176.29	181.28	191.67	124.37	205.5	780.44	769.69	473.41	387.02	595.34	660.68	339.14	389.72	262.2	490.14	536.45	314.17	379.04	361.04	567.1	438.59	327.56	947.83	346.29	493.56	629.35
GLIS1	0.0	0.3	1.58	0.0	0.75	0.38	1.77	2.76	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.38	1.68	0.88	9.34	0.73	1.33	0.93	0.0	1.55	0.0	0.4	0.43	6.01	0.37	0.0	0.33	0.27	0.34	0.68	8.19	10.31	14.67	1.87	8.45	23.25	17.0	21.16	4.7	5.73	36.79	8.13	12.93	9.85	11.55	5.11	7.51	12.27	7.94	3.82	17.25
GMIP	27.05	39.79	287.01	92.05	239.52	138.1	59.55	76.71	167.9	131.51	41.52	73.54	67.59	55.49	96.01	152.28	118.43	112.77	108.9	73.54	115.97	94.01	78.34	96.01	387.02	23.42	34.26	30.12	44.57	120.94	152.28	158.79	26.47	47.17	78.34	101.54	111.99	119.26	144.01	460.44	392.44	273.37	307.69	559.28	334.46	339.14	218.79	480.04	287.01	209.84	267.73	343.89	376.41	256.78	275.28	301.33	244.57	285.03	301.33
GPHA2	0.0	4.86	3.66	2.16	4.98	3.96	7.34	0.0	0.0	2.66	0.0	0.0	5.77	3.17	0.0	3.03	2.2	0.89	0.0	0.62	2.58	3.56	1.6	2.51	0.0	2.07	3.82	7.17	4.03	2.23	2.53	1.45	1.55	2.71	2.39	1.64	3.23	2.89	13.32	8.71	3.53	4.7	11.38	8.32	5.15	12.18	1.27	10.39	8.65	5.28	4.1	5.06	19.68	2.58	5.96	5.54	10.79	11.47	8.58
GPR108	1407.55	743.43	1304.15	1388.16	1583.71	1639.59	1757.34	1233.75	1857.6	2004.85	703.28	591.22	1583.71	1794.29	1313.23	974.5	1388.16	1119.56	1427.22	688.78	1167.14	1991.0	808.0	1963.57	2303.12	1340.84	1242.34	1651.0	2502.97	1159.07	1259.69	1721.16	1936.53	1757.34	1208.34	1477.58	1127.35	2485.67	3039.3	3419.52	2627.46	2351.53	2956.17	2400.97	2976.74	2133.97	2451.44	2645.74	2816.11	1733.13	1844.76	1857.6	2400.97	2193.99	2537.92	2915.45	1923.14	3039.3	2485.67
GRID2IP	0.0	1.38	1.71	0.0	5.15	0.0	0.64	0.49	0.0	2.94	0.57	0.0	2.86	3.29	0.0	0.41	0.44	0.6	0.53	0.54	0.0	2.86	0.67	0.35	0.4	1.66	0.0	0.0	0.0	1.83	0.65	0.47	1.68	0.0	0.45	2.25	0.0	0.32	15.8	6.31	7.28	7.88	7.88	7.34	12.09	8.0	5.82	11.3	15.8	3.72	6.16	6.46	13.03	10.0	9.78	7.57	8.38	10.96	8.92
GRIK5	7.75	10.31	2.36	3.82	6.01	1.33	8.51	2.46	1.38	1.2	2.46	0.0	8.13	3.17	1.95	9.78	10.88	0.95	1.04	6.46	6.01	12.74	15.8	13.32	11.38	9.63	0.84	3.38	5.11	1.45	1.03	5.32	3.44	5.19	3.03	3.59	1.38	3.14	684.02	511.0	486.75	848.22	775.05	511.0	802.41	660.68	316.37	934.76	1183.45	231.32	299.25	295.11	688.78	620.67	693.58	241.19	647.07	587.13	567.1
HDAC10	371.22	384.34	587.13	497.0	656.11	253.23	1044.52	209.84	332.14	551.56	177.53	198.47	373.81	521.76	244.57	429.54	438.59	493.56	234.57	287.01	414.87	753.83	277.2	353.59	299.25	194.36	343.89	567.1	642.59	460.44	500.46	723.08	511.0	420.68	450.94	941.27	476.71	371.22	836.53	1304.15	967.76	825.0	1259.69	1151.06	954.43	802.41	583.07	1066.48	961.07	514.56	603.67	575.03	1023.0	674.59	551.56	1151.06	708.18	896.64	1135.2
INPP5E	87.03	90.77	90.14	97.36	156.59	48.18	155.5	41.52	92.05	76.17	28.45	36.53	90.14	129.69	32.82	131.51	67.59	64.8	34.51	52.45	65.72	130.6	54.33	141.02	78.89	74.06	76.71	89.51	97.36	61.25	91.41	78.34	96.68	39.5	95.34	103.69	91.41	71.5	343.89	376.41	293.07	351.14	361.04	299.25	486.75	202.66	217.27	351.14	239.52	211.31	234.57	223.41	346.29	299.25	193.01	329.84	197.09	262.2	332.14
IP6K2	981.29	633.73	934.76	854.13	1259.69	358.54	1286.18	447.82	802.41	866.07	444.72	447.82	842.36	775.05	483.38	1001.93	884.29	669.92	389.72	616.37	669.92	1745.2	759.08	1104.13	679.29	536.45	633.73	890.44	1191.69	656.11	995.0	836.53	981.29	656.11	813.63	759.08	759.08	599.49	2720.15	2664.15	5041.77	3690.52	2796.65	3060.45	3614.55	2451.44	2573.36	4704.07	3443.31	2209.26	2303.12	2627.46	3614.55	3168.41	2645.74	3768.09	2319.15	3190.46	4836.35
IRF3	1073.91	1167.14	1540.37	1617.0	1806.78	688.78	1572.76	854.13	1378.57	1233.75	387.02	796.86	1721.16	3039.3	514.56	1199.98	1457.23	974.5	753.83	866.07	896.64	2701.35	1030.12	1685.71	1857.6	934.76	764.36	1477.58	1832.01	941.27	836.53	1870.53	1350.18	1216.75	988.12	1277.29	1572.76	1551.09	2104.58	2997.45	3103.19	1794.29	2537.92	2664.15	2997.45	2133.97	1331.57	2209.26	2240.11	1427.22	1605.83	1651.0	2319.15	1896.65	1467.37	2816.11	1286.18	1896.65	2758.13
ITIH4	191899.64	217400.14	234624.45	141455.6	794671.01	107948.72	215898.44	149521.18	174152.51	152662.96	36357.37	114103.8	133825.1	336441.4	81809.59	204252.32	147462.67	126606.21	303217.87	77396.54	466008.55	149521.18	75280.1	800198.39	161367.56	200048.85	161367.56	355624.68	428815.23	131982.68	191899.64	236256.4	231394.29	148488.36	167058.21	299043.36	336441.4	249727.34	211.31	255.0	312.0	211.31	241.19	221.86	119.26	293.07	172.65	279.14	320.8	94.67	82.87	114.36	262.2	156.59	60.82	400.71	78.89	381.68	400.71
KIF12	314.17	346.29	941.27	73.54	660.68	281.09	967.76	34.26	111.21	1216.75	66.65	27.44	197.09	860.08	63.0	204.07	98.04	341.51	14.14	37.59	285.03	1151.06	133.36	228.13	57.08	81.14	226.54	808.0	500.46	693.58	988.12	361.04	363.56	186.4	309.83	191.67	218.79	191.67	1844.76	1561.89	2739.08	2434.5	2209.26	1794.29	1651.0	1508.65	1151.06	2485.67	1551.09	660.68	813.63	587.13	1359.57	1051.79	813.63	1498.22	620.67	2451.44	1388.16
KIFC2	199.85	90.77	201.25	103.69	287.01	43.63	447.82	40.64	63.0	126.12	13.12	40.93	144.01	127.89	21.01	177.53	133.36	86.43	25.54	48.87	110.43	559.28	88.88	162.14	77.25	95.34	130.6	122.64	332.14	126.12	170.25	199.85	224.97	90.77	127.0	147.06	176.29	98.04	775.05	647.07	607.87	417.77	507.46	366.09	693.58	616.37	209.84	575.03	693.58	246.28	147.06	343.89	583.07	403.5	275.28	612.11	275.28	525.39	854.13
LAT	129.69	99.43	136.19	173.85	115.97	58.3	208.38	29.27	155.5	100.13	22.59	16.75	115.16	88.88	29.48	69.52	70.01	56.28	31.22	72.01	111.99	223.41	89.51	112.77	194.36	47.5	77.79	159.9	129.69	108.9	64.34	164.42	223.41	75.11	69.52	108.9	107.38	83.45	373.81	1936.53	1216.75	432.53	656.11	1066.48	7537.18	320.8	277.2	473.41	346.29	187.71	169.07	389.72	583.07	406.31	185.11	921.88	181.28	616.37	1127.35
LIN7B	128.79	132.44	133.36	152.28	212.78	49.56	277.2	51.35	115.16	133.36	44.89	21.16	144.01	183.82	31.9	157.68	67.12	105.15	63.0	58.71	83.45	228.13	170.25	134.3	52.45	81.71	89.51	105.15	159.9	101.54	189.02	129.69	120.94	100.13	87.03	256.78	164.42	165.57	368.65	239.52	426.57	417.77	309.83	275.28	346.29	291.04	267.73	403.5	348.71	198.47	246.28	262.2	332.14	316.37	267.73	361.04	334.46	293.07	312.0
LRRC24	49.56	32.36	26.1	10.31	19.97	15.22	44.57	6.11	12.83	4.21	3.47	22.59	24.81	88.26	0.87	29.06	23.93	17.0	2.63	14.67	21.63	52.82	26.47	12.55	18.97	12.83	18.84	31.45	55.1	31.67	20.41	27.44	37.85	18.56	43.94	18.7	40.07	34.02	332.14	50.63	94.67	102.97	98.04	85.82	102.25	68.07	38.4	107.38	88.88	65.72	13.83	39.5	56.28	84.63	27.84	101.54	73.03	59.55	116.78
LZTS2	96.01	176.29	603.67	125.24	1427.22	151.22	753.83	133.36	483.38	232.94	88.88	105.15	186.4	417.77	105.89	204.07	130.6	208.38	112.77	76.71	215.77	400.71	109.66	518.15	260.38	141.02	202.66	255.0	218.79	164.42	334.46	454.09	181.28	66.18	253.23	285.03	177.53	177.53	2739.08	1104.13	1259.69	1407.55	1191.69	1127.35	1757.34	1794.29	1127.35	2163.77	1662.49	1135.2	703.28	1096.5	1639.59	1551.09	1208.34	1583.71	1781.89	1208.34	1662.49
MAPK15	6.67	4.94	16.51	4.03	43.94	0.0	18.16	0.0	18.29	1.35	1.2	0.0	21.32	12.55	0.16	10.24	3.72	0.16	0.0	4.43	10.71	0.74	0.0	26.86	8.78	14.14	0.39	9.48	1.68	3.47	1.22	25.91	5.59	1.77	8.38	4.62	2.73	6.78	1088.92	2271.4	1001.93	679.29	1096.5	669.92	567.1	665.29	191.67	1551.09	684.02	381.68	301.33	256.78	2004.85	629.35	293.07	866.07	332.14	1242.34	1594.73
MED25	241.19	323.03	583.07	353.59	665.29	221.86	361.04	161.02	384.34	363.56	125.24	237.86	275.28	406.31	271.48	323.03	299.25	371.22	169.07	186.4	389.72	341.51	368.65	457.25	348.71	361.04	339.14	470.14	283.05	287.01	441.64	503.95	379.04	255.0	356.05	403.5	336.79	366.09	1794.29	1628.26	1242.34	1295.13	1427.22	1388.16	1427.22	1250.98	988.12	1183.45	1322.37	1008.9	1388.16	915.51	1378.57	1427.22	1119.56	1508.65	1167.14	1350.18	1651.0
MFI2	9.13	6.26	253.23	9.56	217.27	2.97	111.99	25.17	457.25	19.39	2.81	1.95	19.39	18.56	3.72	6.26	5.45	18.56	2.84	9.78	3.72	65.72	44.57	132.44	242.88	27.25	5.41	54.33	3.53	20.71	25.72	271.48	46.84	9.27	27.84	10.63	23.93	246.28	281.09	271.48	409.15	295.11	409.15	165.57	343.89	105.15	204.07	384.34	460.44	191.67	73.54	80.01	336.79	74.58	54.33	341.51	96.01	264.03	312.0
MFSD12	708.18	669.92	738.29	842.36	1437.15	518.15	454.09	547.75	1242.34	591.22	153.34	460.44	579.04	629.35	202.66	579.04	728.11	348.71	884.29	878.17	525.39	878.17	728.11	551.56	902.89	339.14	351.14	414.87	511.0	406.31	420.68	759.08	587.13	435.55	536.45	688.78	540.19	738.29	713.11	1199.98	1467.37	1008.9	1457.23	1397.83	1378.57	1457.23	860.08	1447.15	1191.69	660.68	967.76	775.05	1594.73	1135.2	909.17	1359.57	703.28	921.88	1313.23
MIB2	551.56	332.14	525.39	463.65	872.1	392.44	1066.48	234.57	432.53	353.59	99.43	262.2	490.14	684.02	104.42	525.39	470.14	381.68	205.5	239.52	423.61	1037.29	373.81	624.99	620.67	351.14	368.65	457.25	665.29	351.14	563.18	591.22	616.37	379.04	607.87	559.28	500.46	438.59	2816.11	1583.71	1794.29	1498.22	1561.89	1529.73	1896.65	1167.14	854.13	1388.16	1378.57	1051.79	808.0	1051.79	1457.23	1066.48	1008.9	1781.89	1015.93	1277.29	2163.77
MIER2	42.71	66.18	135.24	90.77	211.31	57.49	162.14	61.25	258.57	50.27	39.22	30.56	132.44	251.48	45.85	136.19	46.18	59.13	111.99	87.65	68.55	145.02	40.64	143.01	185.11	112.77	69.52	90.77	96.01	33.3	107.38	109.66	39.79	97.36	64.8	105.89	68.07	106.63	417.77	301.33	281.09	307.69	251.48	239.52	325.29	376.41	205.5	438.59	395.18	417.77	289.02	291.04	269.6	267.73	221.86	371.22	336.79	234.57	457.25
MLLT6	104.42	134.3	624.99	303.44	651.58	185.11	521.76	162.14	297.17	186.4	159.9	84.63	122.64	435.55	80.01	305.55	218.79	194.36	186.4	104.42	307.69	406.31	223.41	389.72	441.64	102.25	165.57	312.0	202.66	269.6	271.48	656.11	285.03	231.32	158.79	271.48	325.29	134.3	2075.59	2209.26	3146.52	2816.11	2271.4	2895.31	4152.18	2224.63	2664.15	2701.35	2520.38	1277.29	1977.24	1104.13	2758.13	1617.0	2133.97	2224.63	1322.37	2976.74	3146.52
MPZ	43.94	18.84	40.36	1250.98	60.39	7.46	28.45	23.93	170.25	28.04	44.57	34.51	106.63	55.49	17.0	57.08	16.27	20.56	35.0	10.96	19.68	23.59	5.87	52.45	120.94	11.13	3.86	32.13	42.11	24.63	20.11	175.07	21.16	16.51	13.03	103.69	26.47	2739.08	100.83	47.84	88.88	61.25	110.43	99.43	83.45	60.82	59.13	54.72	75.64	41.52	43.94	35.5	78.34	86.43	30.78	115.97	48.18	59.13	92.7
MRPS21	878.17	1066.48	1467.37	1331.57	1685.71	507.46	988.12	848.22	1662.49	1023.0	656.11	748.61	947.83	693.58	476.71	1313.23	915.51	1295.13	595.34	967.76	1001.93	1388.16	1143.1	1286.18	791.35	2119.22	679.29	1259.69	1151.06	1015.93	1417.35	1340.84	1073.91	1096.5	1044.52	1674.06	1001.93	988.12	2271.4	2133.97	1427.22	2193.99	1936.53	1991.0	1417.35	1936.53	1697.45	1662.49	2209.26	1639.59	1508.65	1950.0	1950.0	1832.01	1519.15	2224.63	1819.35	1709.26	1697.45
MZF1	258.57	131.51	199.85	297.17	287.01	106.63	191.67	76.17	244.57	105.15	83.45	64.34	234.57	246.28	58.3	258.57	256.78	112.77	111.21	131.51	130.6	432.53	47.84	217.27	299.25	183.82	117.6	198.47	358.54	111.21	144.01	237.86	301.33	176.29	145.02	182.55	253.23	226.54	1674.06	1216.75	1322.37	967.76	1191.69	1151.06	1628.26	1073.91	738.29	1617.0	1487.87	679.29	785.88	743.43	1175.27	878.17	679.29	1407.55	872.1	1044.52	2178.83
NEIL1	486.75	454.09	444.72	339.14	860.08	148.09	1216.75	185.11	154.42	460.44	121.79	139.07	518.15	624.99	175.07	521.76	316.37	379.04	102.25	221.86	473.41	1119.56	258.57	309.83	106.63	265.87	486.75	660.68	830.75	361.04	688.78	366.09	583.07	295.11	518.15	660.68	486.75	211.31	1551.09	1259.69	1044.52	872.1	1167.14	796.86	759.08	878.17	432.53	866.07	703.28	511.0	521.76	583.07	1059.11	540.19	583.07	1001.93	660.68	1359.57	1331.57
NELFA	220.32	249.73	316.37	339.14	420.68	175.07	379.04	149.12	366.09	289.02	108.14	131.51	273.37	371.22	156.59	237.86	214.27	206.94	176.29	224.97	262.2	291.04	127.0	361.04	260.38	186.4	242.88	223.41	277.2	176.29	265.87	236.21	291.04	228.13	299.25	381.68	182.55	327.56	974.5	698.41	1023.0	825.0	791.35	708.18	808.0	693.58	620.67	753.83	796.86	647.07	748.61	647.07	947.83	688.78	620.67	825.0	764.36	902.89	1081.39
NFKBIL1	473.41	389.72	438.59	447.82	813.63	241.19	420.68	171.45	563.18	351.14	124.37	187.71	473.41	638.15	211.31	490.14	511.0	232.94	275.28	223.41	397.93	819.3	232.94	764.36	325.29	417.77	381.68	518.15	629.35	281.09	368.65	420.68	392.44	387.02	447.82	426.57	429.54	532.74	1457.23	902.89	775.05	769.69	723.08	759.08	928.3	830.75	769.69	915.51	842.36	629.35	518.15	808.0	775.05	693.58	638.15	802.41	638.15	780.44	1023.0
OSBP2	12.36	78.34	16.27	7.0	10.88	11.55	30.78	6.52	15.0	24.11	8.51	1.28	1857.6	16.39	4.35	20.71	9.63	84.63	21.47	4.21	49.56	12.45	3.47	17.77	13.52	11.13	10.39	49.21	13.22	14.56	36.27	20.86	14.45	3.56	24.63	3.32	12.45	7.88	113.56	92.7	173.85	167.9	127.89	101.54	96.68	150.17	109.66	169.07	119.26	114.36	127.0	87.03	137.14	138.1	127.0	110.43	82.87	138.1	145.02
P4HTM	642.59	376.41	493.56	536.45	860.08	121.79	854.13	109.66	297.17	229.72	93.35	120.94	366.09	1111.82	136.19	607.87	368.65	450.94	151.22	103.69	441.64	1304.15	153.34	447.82	599.49	848.22	283.05	463.65	361.04	262.2	277.2	583.07	420.68	780.44	555.41	571.05	334.46	743.43	1977.24	1909.85	1662.49	1769.57	1781.89	1870.53	1832.01	1427.22	1639.59	1605.83	1977.24	1250.98	947.83	1350.18	1991.0	1508.65	1340.84	1639.59	1388.16	2004.85	1745.2
PABPC1L	384.34	363.56	343.89	559.28	988.12	107.38	1096.5	148.09	312.0	120.1	61.25	74.58	490.14	447.82	53.19	190.34	232.94	73.03	163.28	248.0	239.52	708.18	155.5	599.49	457.25	170.25	267.73	470.14	575.03	127.0	177.53	389.72	368.65	211.31	381.68	633.73	283.05	435.55	1551.09	1233.75	2224.63	1059.11	1519.15	1286.18	2178.83	981.29	915.51	1540.37	1225.22	521.76	587.13	529.06	1745.2	551.56	490.14	1322.37	819.3	1709.26	2682.69
