	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6601.11A.01R.1774.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.ZYFG.1926.SM.5GID5	GTEX.ZYFG.1826.SM.5GZWX	GTEX.WYVS.1126.SM.4SOJX	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.YEC3.2426.SM.5IFJR	GTEX.Y5LM.1526.SM.4VDTA	GTEX.1211K.1826.SM.5EGJ2	GTEX.ZA64.1426.SM.5CVMC	GTEX.ZGAY.2126.SM.4YCFB	GTEX.13QBU.2026.SM.5KLZB	GTEX.Y114.1626.SM.4TT7I	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y5LM.1426.SM.5RQJL	GTEX.O5YW.1426.SM.3MJHF	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	GTEX.12BJ1.1226.SM.5LUAE	GTEX.11P7K.0626.SM.5985Z	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AH.6643.11A.01R.1830.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.11P82.0726.SM.5PNYL	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.UJHI.1026.SM.4IHJP	GTEX.PLZ6.0826.SM.3P61K	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
PEX11B	493.56	521.76	620.67	595.34	579.04	703.28	669.92	808.0	1151.06	743.43	738.29	647.07	1001.93	902.89	1135.2	802.41	688.78	890.44	698.41	693.58	941.27	854.13	713.11	343.89	241.19	947.83	1183.45	988.12	733.19	713.11	480.04	444.72	329.84	373.81	334.46	551.56	454.09	500.46	406.31	450.94	638.15	287.01	497.0	473.41	591.22	483.38	447.82	392.44	285.03	343.89	447.82	521.76	567.1	379.04	493.56	332.14	444.72	376.41	490.14	656.11	642.59
PPAPDC2	100.83	127.89	100.83	115.97	158.79	169.07	64.34	201.25	412.0	206.94	195.72	131.51	341.51	253.23	447.82	175.07	152.28	312.0	158.79	211.31	441.64	215.77	318.57	33.54	59.13	389.72	525.39	327.56	248.0	173.85	122.64	113.56	69.03	98.04	82.29	77.25	73.54	90.77	80.57	76.71	92.7	43.94	66.18	66.65	63.0	92.7	82.29	63.89	36.27	49.56	57.08	100.83	87.03	63.45	76.17	38.12	59.97	57.49	82.29	113.56	89.51
PREP	414.87	559.28	567.1	514.56	743.43	1127.35	426.57	764.36	1498.22	878.17	866.07	688.78	1407.55	1183.45	1617.0	791.35	808.0	1081.39	738.29	796.86	1359.57	988.12	1331.57	417.77	309.83	674.59	642.59	679.29	723.08	769.69	961.07	384.34	265.87	323.03	303.44	470.14	309.83	412.0	248.0	312.0	387.02	277.2	316.37	291.04	373.81	409.15	244.57	403.5	147.06	241.19	373.81	363.56	271.48	269.6	336.79	139.07	400.71	371.22	438.59	417.77	301.33
PRIM1	51.35	253.23	100.83	81.71	102.25	109.66	114.36	145.02	170.25	142.01	194.36	171.45	191.67	158.79	156.59	151.22	108.14	119.26	162.14	115.16	159.9	145.02	122.64	58.3	27.44	181.28	169.07	140.04	157.68	151.22	124.37	74.58	62.12	110.43	82.87	97.36	66.65	88.26	85.22	29.27	80.57	77.25	69.52	66.18	67.12	137.14	100.83	112.77	24.28	48.18	85.82	49.56	99.43	80.01	72.01	26.67	52.82	45.21	61.25	149.12	55.89
QARS	3443.31	3491.39	2796.65	2976.74	4298.64	5112.16	4066.71	4543.8	6745.86	4543.8	5441.3	4123.49	7537.18	6561.36	7433.4	4328.55	4639.29	6381.92	5076.84	5255.91	8134.41	5292.48	6471.02	2075.59	2895.31	4095.0	4328.55	4239.45	3928.15	4239.45	4388.98	2178.83	2032.85	2148.82	2240.11	3168.41	3190.46	2163.77	2209.26	2875.3	3212.66	2133.97	2351.53	2485.67	2573.36	3280.18	3018.3	3257.52	2178.83	2271.4	2485.67	2434.5	3742.05	2682.69	2434.5	2682.69	3124.78	2701.35	2090.03	3124.78	2573.36
RFT1	223.41	264.03	214.27	187.71	206.94	297.17	183.82	307.69	297.17	237.86	293.07	242.88	334.46	403.5	299.25	295.11	211.31	249.73	281.09	262.2	320.8	271.48	299.25	157.68	177.53	356.05	450.94	334.46	241.19	226.54	241.19	158.79	127.0	149.12	146.03	148.09	182.55	178.77	172.65	116.78	182.55	237.86	190.34	194.36	165.57	194.36	202.66	217.27	119.26	144.01	199.85	271.48	170.25	229.72	289.02	66.18	237.86	142.01	212.78	237.86	127.0
SLC35D2	269.6	325.29	371.22	435.55	599.49	860.08	275.28	1175.27	2664.15	819.3	819.3	866.07	2367.9	1369.04	3235.01	808.0	693.58	1883.54	753.83	802.41	2720.15	1225.22	1757.34	303.44	339.14	447.82	454.09	525.39	1104.13	647.07	529.06	262.2	231.32	217.27	256.78	392.44	438.59	361.04	387.02	242.88	438.59	320.8	353.59	256.78	211.31	339.14	295.11	387.02	273.37	256.78	262.2	423.61	256.78	336.79	228.13	189.02	291.04	291.04	334.46	540.19	265.87
TMEM141	1023.0	860.08	780.44	785.88	2018.8	2895.31	866.07	4358.66	9808.75	2400.97	2682.69	2133.97	13776.25	6607.01	13123.73	2485.67	2303.12	6426.31	2537.92	2163.77	11745.96	5711.87	9673.69	334.46	660.68	3419.52	6294.04	4937.99	2400.97	1605.83	3146.52	518.15	612.11	764.36	587.13	780.44	703.28	1151.06	854.13	591.22	947.83	656.11	825.0	713.11	830.75	733.19	660.68	813.63	551.56	669.92	791.35	555.41	791.35	698.41	723.08	341.51	769.69	723.08	825.0	1259.69	769.69
TMEM199	339.14	376.41	368.65	297.17	351.14	463.65	397.93	420.68	532.74	438.59	493.56	507.46	547.75	507.46	638.15	403.5	466.88	454.09	476.71	412.0	693.58	480.04	559.28	232.94	260.38	665.29	583.07	620.67	483.38	361.04	381.68	244.57	295.11	255.0	166.73	193.01	256.78	346.29	373.81	384.34	307.69	242.88	265.87	264.03	339.14	348.71	246.28	287.01	260.38	341.51	400.71	297.17	314.17	249.73	281.09	102.25	297.17	215.77	395.18	476.71	256.78
UMPS	409.15	438.59	400.71	406.31	460.44	454.09	341.51	371.22	420.68	381.68	373.81	346.29	567.1	441.64	414.87	420.68	409.15	412.0	426.57	341.51	444.72	486.75	426.57	275.28	289.02	532.74	447.82	470.14	275.28	351.14	435.55	224.97	161.02	253.23	176.29	246.28	279.14	234.57	258.57	220.32	318.57	220.32	325.29	204.07	325.29	327.56	253.23	329.84	291.04	444.72	305.55	269.6	255.0	258.57	351.14	50.98	366.09	221.86	258.57	285.03	221.86
VWA9	412.0	429.54	381.68	358.54	500.46	540.19	356.05	507.46	647.07	559.28	483.38	521.76	703.28	688.78	769.69	656.11	507.46	708.18	591.22	599.49	723.08	642.59	607.87	314.17	373.81	733.19	854.13	769.69	595.34	583.07	511.0	503.95	346.29	366.09	406.31	327.56	323.03	547.75	356.05	409.15	420.68	376.41	395.18	400.71	381.68	435.55	441.64	316.37	373.81	325.29	323.03	295.11	423.61	339.14	420.68	144.01	371.22	389.72	406.31	493.56	363.56
ZDHHC12	612.11	642.59	285.03	348.71	884.29	1199.98	271.48	1051.79	3060.45	961.07	1073.91	759.08	3081.75	1977.24	3928.15	988.12	860.08	1977.24	896.64	1286.18	2796.65	1605.83	1769.57	92.7	303.44	902.89	1286.18	947.83	1175.27	466.88	878.17	403.5	191.67	287.01	232.94	612.11	559.28	866.07	698.41	599.49	878.17	633.73	743.43	507.46	540.19	743.43	633.73	872.1	480.04	607.87	748.61	791.35	536.45	595.34	486.75	232.94	559.28	642.59	780.44	1023.0	638.15
ZNF57	60.82	55.49	78.34	74.06	109.66	124.37	40.36	186.4	320.8	110.43	126.12	92.05	295.11	206.94	332.14	127.89	132.44	220.32	109.66	164.42	358.54	173.85	209.84	8.65	46.5	92.05	103.69	88.26	140.04	119.26	69.03	83.45	32.59	59.13	115.97	69.03	74.58	78.34	80.01	87.03	98.73	44.57	70.51	55.49	62.56	117.6	67.59	72.01	64.8	72.01	70.01	75.64	91.41	54.33	80.01	43.32	68.55	43.02	98.73	105.89	81.71
