	GTEX.W5X1.2326.SM.3GIL6	GTEX.TML8.1226.SM.32QON	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.13N11.0326.SM.5LUA3	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.QDT8.0926.SM.32PL2	GTEX.YEC3.0226.SM.5IFJO	GTEX.U3ZH.0526.SM.3DB75	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.P78B.0926.SM.2I5FA	GTEX.13PL7.1726.SM.5J2NX	GTEX.XQ3S.0926.SM.4BOPI	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.QMRM.0826.SM.3NB33
TBCK	878.17	591.22	107.38	40.07	51.71	64.34	66.18	0.0	170.25	271.48	205.5	158.79	356.05	199.85	76.17	232.94	234.57	332.14	264.03	414.87	226.54	161.02	117.6	353.59	260.38	540.19	341.51	211.31	607.87	303.44	271.48	287.01	64.34	397.93	164.42	173.85	232.94	490.14	236.21	191.67	194.36	258.57	348.71	320.8
TCEANC	175.07	136.19	23.25	7.63	23.42	23.93	16.03	0.0	36.27	52.08	67.12	29.7	98.04	35.5	10.16	45.85	87.65	83.45	88.26	95.34	75.11	52.08	20.41	78.89	83.45	117.6	131.51	58.3	161.02	94.67	90.14	45.53	25.35	96.68	55.49	16.51	92.05	90.14	69.52	50.27	54.72	63.0	80.01	82.29
TIA1	2075.59	2018.8	108.14	93.35	173.85	149.12	166.73	0.0	301.33	400.71	336.79	358.54	1583.71	429.54	198.47	339.14	928.3	1008.9	947.83	1781.89	1023.0	647.07	295.11	1277.29	603.67	1572.76	1519.15	854.13	2178.83	1304.15	1159.07	981.29	277.2	1242.34	493.56	381.68	1030.12	2591.27	836.53	379.04	406.31	808.0	1378.57	1551.09
TRA2A	2976.74	2537.92	289.02	612.11	511.0	507.46	616.37	1457.23	1015.93	759.08	1806.78	1096.5	2555.58	1286.18	1417.35	2240.11	1781.89	2163.77	1819.35	3820.7	2351.53	988.12	961.07	2209.26	1991.0	3928.15	2701.35	1467.37	3955.48	1896.65	1540.37	1073.91	1225.22	2047.0	1551.09	1015.93	1781.89	3146.52	1857.6	1135.2	1757.34	1697.45	2720.15	1896.65
TRMT10B	289.02	323.03	33.54	36.27	42.71	40.36	34.75	0.0	82.29	152.28	113.56	87.03	260.38	106.63	56.28	147.06	167.9	189.02	178.77	447.82	199.85	125.24	57.49	181.28	182.55	368.65	237.86	137.14	336.79	166.73	234.57	165.57	81.14	187.71	105.15	74.06	248.0	249.73	204.07	137.14	128.79	190.34	163.28	232.94
TRMT13	587.13	441.64	11.55	28.24	77.25	21.01	33.54	0.0	92.7	59.55	137.14	126.12	212.78	94.01	31.45	112.77	151.22	198.47	170.25	325.29	166.73	72.52	68.55	170.25	150.17	309.83	301.33	172.65	366.09	199.85	201.25	117.6	67.59	195.72	86.43	33.3	169.07	343.89	137.14	121.79	73.03	124.37	138.1	214.27
ZBED5	1508.65	947.83	37.85	84.04	80.01	29.91	44.57	0.0	291.04	366.09	540.19	409.15	848.22	297.17	587.13	500.46	583.07	748.61	764.36	1242.34	974.5	432.53	220.32	836.53	836.53	825.0	1277.29	748.61	1467.37	988.12	703.28	638.15	361.04	791.35	473.41	379.04	1001.93	1081.39	728.11	551.56	373.81	759.08	432.53	607.87
ZBTB1	1030.12	1259.69	59.13	82.87	118.43	147.06	135.24	0.0	303.44	403.5	450.94	277.2	688.78	363.56	244.57	563.18	493.56	616.37	599.49	842.36	718.08	395.18	149.12	753.83	575.03	854.13	738.29	463.65	842.36	551.56	633.73	403.5	190.34	656.11	486.75	241.19	587.13	708.18	633.73	395.18	397.93	603.67	571.05	579.04
ZDHHC6	1617.0	842.36	293.07	343.89	356.05	206.94	186.4	0.0	426.57	463.65	638.15	450.94	819.3	389.72	265.87	447.82	896.64	587.13	775.05	1208.34	981.29	514.56	373.81	780.44	738.29	688.78	1909.85	525.39	1295.13	981.29	748.61	529.06	363.56	819.3	511.0	358.54	1001.93	1259.69	723.08	514.56	426.57	708.18	389.72	688.78
ZFP2	258.57	211.31	1.41	1.16	3.11	3.89	3.26	0.0	8.71	16.88	24.81	16.03	40.36	27.44	2.07	33.3	38.67	28.04	43.32	48.52	43.02	13.22	3.2	62.56	45.21	144.01	99.43	26.1	92.7	47.84	45.21	15.8	8.99	87.65	32.13	17.25	46.84	87.65	41.81	16.03	29.27	35.25	33.06	92.05
ZFP62	738.29	753.83	70.01	50.27	44.25	51.35	36.01	0.0	183.82	180.02	149.12	217.27	379.04	154.42	117.6	161.02	193.01	395.18	256.78	486.75	463.65	264.03	183.82	373.81	334.46	438.59	587.13	217.27	638.15	366.09	325.29	334.46	279.14	518.15	164.42	182.55	291.04	587.13	293.07	180.02	205.5	293.07	249.73	368.65
ZNF133	414.87	450.94	92.7	107.38	93.35	42.71	74.58	0.0	71.0	199.85	181.28	164.42	299.25	153.34	88.88	145.02	312.0	242.88	223.41	620.67	253.23	249.73	126.12	256.78	256.78	420.68	323.03	236.21	514.56	242.88	323.03	198.47	223.41	287.01	185.11	255.0	285.03	336.79	241.19	140.04	149.12	323.03	262.2	273.37
ZNF138	441.64	358.54	16.27	24.99	50.63	79.45	22.75	0.0	57.89	57.49	66.18	73.03	115.97	72.52	24.28	47.17	43.02	99.43	82.29	128.79	71.0	52.45	28.24	102.97	128.79	134.3	217.27	70.01	136.19	99.43	94.01	68.55	23.76	99.43	53.19	43.94	57.49	161.02	77.79	42.71	62.56	89.51	65.72	96.68
ZNF182	223.41	218.79	8.71	28.04	31.67	11.13	23.76	0.0	26.86	46.18	43.32	41.81	126.12	35.5	35.0	49.56	72.01	100.83	98.73	189.02	118.43	73.54	43.02	122.64	88.26	162.14	161.02	63.89	197.09	120.1	98.73	81.14	45.85	120.94	43.94	38.95	115.97	150.17	87.65	49.91	37.05	101.54	72.01	121.79
ZNF211	480.04	353.59	28.04	35.76	22.26	23.42	34.51	0.0	71.5	135.24	138.1	82.29	426.57	122.64	98.04	151.22	260.38	231.32	248.0	665.29	221.86	117.6	57.08	264.03	336.79	518.15	463.65	186.4	669.92	152.28	229.72	172.65	56.28	249.73	231.32	81.71	346.29	480.04	351.14	120.94	138.1	264.03	205.5	299.25
ZNF230	251.48	50.63	10.16	26.47	18.03	6.67	17.64	0.0	32.13	34.51	36.01	18.7	90.77	29.91	50.63	38.12	53.19	43.94	71.0	96.01	62.56	37.05	22.1	63.45	52.45	75.64	142.01	46.5	80.57	71.0	81.14	40.36	27.44	80.57	29.7	27.05	80.57	142.01	67.59	29.91	38.67	78.34	31.0	85.22
ZNF234	297.17	157.68	15.91	10.71	19.97	6.89	10.0	0.0	40.36	48.87	48.18	41.81	135.24	50.98	12.64	42.11	75.11	94.67	94.67	147.06	72.01	67.12	31.22	115.16	99.43	154.42	143.01	77.25	177.53	101.54	113.56	62.56	10.08	94.01	29.48	22.26	81.71	154.42	80.57	52.08	17.25	69.03	145.02	143.01
ZNF248	392.44	309.83	22.43	22.26	27.84	19.97	18.7	0.0	57.08	111.99	96.68	71.0	246.28	109.66	21.94	115.97	97.36	169.07	163.28	267.73	134.3	85.82	71.5	190.34	156.59	327.56	193.01	150.17	275.28	212.78	242.88	150.17	69.03	220.32	90.14	96.01	159.9	289.02	183.82	57.08	130.6	169.07	153.34	186.4
ZNF280D	1359.57	1437.15	148.09	149.12	285.03	167.9	111.99	0.0	285.03	289.02	438.59	273.37	532.74	343.89	197.09	368.65	379.04	432.53	400.71	909.17	417.77	299.25	255.0	483.38	406.31	633.73	890.44	423.61	961.07	444.72	547.75	414.87	287.01	559.28	303.44	236.21	447.82	733.19	432.53	305.55	438.59	387.02	493.56	698.41
ZNF354C	307.69	332.14	1.64	4.43	1.17	1.83	2.58	0.0	22.59	39.5	27.64	21.01	69.03	40.36	20.56	48.87	39.5	67.59	82.87	153.34	62.12	43.32	9.85	77.25	54.33	124.37	208.38	70.01	177.53	50.63	66.65	56.28	9.2	50.98	46.84	8.71	81.14	98.73	55.1	29.91	7.63	37.85	32.13	155.5
ZNF438	316.37	163.28	46.18	116.78	33.54	45.21	94.01	0.0	144.01	187.71	171.45	169.07	339.14	241.19	75.64	285.03	283.05	343.89	281.09	343.89	329.84	194.36	68.07	299.25	287.01	351.14	318.57	244.57	291.04	283.05	325.29	155.5	92.05	444.72	275.28	113.56	253.23	307.69	239.52	229.72	194.36	332.14	197.09	269.6
ZNF449	246.28	133.36	4.54	17.38	11.82	9.85	7.17	0.0	37.32	41.22	47.5	35.76	124.37	62.12	20.71	46.18	69.03	46.18	105.89	100.13	57.08	47.5	20.86	75.11	50.98	64.8	273.37	61.25	116.78	102.25	88.88	82.29	34.26	55.49	45.21	35.25	102.25	215.77	60.39	62.56	31.67	53.95	48.87	138.1
ZNF470	138.1	191.67	12.83	15.56	33.3	23.42	13.03	0.0	26.47	34.75	90.77	50.63	66.18	36.01	4.7	41.22	55.49	85.82	87.03	102.97	143.01	54.33	13.62	88.26	100.83	118.43	70.51	49.56	139.07	56.68	72.52	39.79	22.1	137.14	71.5	6.84	78.34	178.77	66.65	57.89	72.52	101.54	59.97	100.13
ZNF555	236.21	159.9	11.3	20.86	21.01	16.03	2.78	82.87	50.27	80.57	41.81	32.59	80.57	29.7	22.59	31.0	57.49	101.54	55.49	74.06	77.79	38.95	16.63	119.26	73.03	91.41	150.17	31.67	105.15	105.89	59.97	79.45	34.51	105.89	27.44	18.16	87.03	88.88	79.45	54.33	42.71	70.51	42.11	76.17
ZNF563	205.5	134.3	43.63	20.11	74.06	22.43	17.0	0.0	26.67	32.36	21.32	20.71	121.79	22.75	14.89	22.43	37.59	60.39	57.89	148.09	63.89	37.85	26.1	60.39	53.57	105.15	110.43	57.49	115.16	40.64	66.18	47.17	25.17	91.41	17.25	34.26	30.78	95.34	53.19	20.56	43.32	49.21	34.26	82.29
ZNF564	363.56	351.14	53.57	36.01	44.89	32.13	52.45	0.0	52.08	100.13	73.03	59.13	128.79	43.32	45.53	40.07	117.6	127.89	96.01	195.72	146.03	72.52	63.0	190.34	125.24	158.79	283.05	76.71	162.14	115.97	157.68	124.37	64.8	155.5	49.21	62.56	76.71	197.09	102.25	74.06	119.26	69.52	77.79	180.02
ZNF586	194.36	264.03	24.46	16.39	14.78	42.11	53.57	0.0	77.79	88.26	102.25	59.13	229.72	54.33	154.42	96.01	111.99	180.02	123.5	320.8	117.6	114.36	71.0	153.34	145.02	309.83	361.04	58.71	457.25	116.78	106.63	72.52	88.26	212.78	68.55	43.32	111.21	287.01	181.28	143.01	75.64	124.37	145.02	186.4
ZNF594	165.57	161.02	1.13	2.86	2.92	1.19	0.6	0.0	23.08	33.54	27.64	24.63	104.42	19.39	6.78	42.71	38.4	65.72	66.65	112.77	63.45	45.53	16.03	68.07	57.89	81.71	72.52	43.63	103.69	59.13	69.52	45.85	13.42	65.72	31.9	12.93	47.84	74.58	81.14	42.11	16.75	57.08	72.52	83.45
ZNF624	197.09	114.36	1.13	4.94	4.98	5.54	1.97	0.0	24.28	29.48	37.32	18.29	50.27	24.46	30.78	24.63	38.67	66.65	45.85	42.41	43.63	23.42	8.58	47.84	30.78	62.56	80.01	40.07	48.87	45.21	36.53	23.76	29.06	56.28	19.25	15.45	68.07	93.35	32.82	37.32	19.82	39.22	26.28	72.01
ZNF701	173.85	255.0	3.82	4.43	4.5	9.7	3.92	0.0	27.64	47.5	40.64	29.06	141.02	42.11	13.03	63.0	51.35	124.37	87.03	173.85	95.34	115.97	20.11	153.34	137.14	166.73	193.01	73.54	334.46	114.36	115.97	63.45	17.25	130.6	59.13	12.55	120.94	197.09	100.13	76.17	26.1	92.7	80.57	138.1
ZNF708	348.71	182.55	7.34	8.78	7.28	14.14	8.32	0.0	109.66	20.56	59.55	34.26	157.68	49.91	33.3	65.72	35.25	124.37	126.12	111.99	83.45	61.68	66.65	92.7	141.02	215.77	346.29	85.82	529.06	189.02	158.79	56.68	27.05	143.01	37.32	13.83	90.14	215.77	116.78	75.64	53.95	52.82	115.97	136.19
ZNF75D	476.71	283.05	32.13	71.5	58.71	81.71	48.52	0.0	70.01	157.68	156.59	85.22	395.18	144.01	53.19	143.01	236.21	187.71	264.03	476.71	256.78	143.01	73.54	316.37	262.2	356.05	406.31	191.67	417.77	267.73	264.03	198.47	105.89	226.54	152.28	112.77	239.52	447.82	215.77	175.07	70.51	215.77	154.42	291.04
ZNF776	329.84	343.89	35.0	50.63	39.5	40.64	16.39	0.0	100.13	123.5	105.15	56.68	206.94	122.64	106.63	91.41	135.24	141.02	135.24	187.71	156.59	94.01	49.21	214.27	108.9	273.37	214.27	102.25	291.04	113.56	155.5	147.06	87.03	155.5	77.25	65.72	193.01	295.11	112.77	85.22	54.33	113.56	118.43	231.32
ZNF799	303.44	162.14	17.51	22.1	27.05	31.67	56.68	0.0	29.7	35.25	96.01	32.82	104.42	26.47	53.19	55.49	88.88	110.43	77.25	157.68	87.65	61.68	40.64	156.59	139.07	172.65	156.59	83.45	234.57	162.14	104.42	63.89	36.53	129.69	53.57	28.24	157.68	137.14	100.13	73.54	38.67	91.41	63.45	166.73
ZNF816	217.27	295.11	3.72	0.99	5.15	0.06	3.41	0.0	23.76	61.68	61.25	94.67	267.73	63.0	53.19	151.22	112.77	191.67	165.57	220.32	209.84	61.68	87.03	224.97	105.89	285.03	162.14	128.79	297.17	108.9	291.04	108.14	59.13	187.71	114.36	70.51	159.9	318.57	242.88	162.14	130.6	258.57	146.03	242.88
ZNF823	258.57	271.48	36.01	31.0	40.93	23.59	41.52	0.0	46.18	38.4	75.64	55.1	129.69	46.84	42.41	50.63	105.89	86.43	71.0	120.94	92.7	47.17	40.36	141.02	138.1	126.12	110.43	76.71	129.69	176.29	103.69	55.1	49.21	99.43	44.25	33.3	141.02	132.44	73.54	56.68	43.94	73.03	60.82	86.43
ZNF84	775.05	543.96	44.25	69.52	90.14	65.72	101.54	0.0	76.71	144.01	143.01	146.03	500.46	139.07	142.01	232.94	229.72	358.54	256.78	500.46	339.14	133.36	102.97	358.54	215.77	532.74	420.68	211.31	555.41	314.17	334.46	205.5	108.9	412.0	218.79	118.43	392.44	551.56	409.15	189.02	186.4	267.73	267.73	279.14
ZNF92	229.72	325.29	2.68	13.22	17.51	6.73	15.34	0.0	34.26	33.06	69.52	26.28	94.67	24.63	40.07	51.35	59.97	78.89	105.15	128.79	59.13	50.98	31.67	77.25	69.52	116.78	142.01	69.52	152.28	77.25	74.58	42.11	34.02	114.36	66.65	26.67	116.78	142.01	77.79	50.98	21.01	53.95	43.32	131.51
ZSCAN9	371.22	476.71	44.25	63.89	52.08	21.94	59.55	0.0	111.21	87.03	152.28	136.19	373.81	84.63	86.43	114.36	228.13	269.6	226.54	684.02	218.79	143.01	73.03	301.33	186.4	656.11	366.09	182.55	518.15	275.28	353.59	218.79	153.34	406.31	104.42	130.6	214.27	441.64	237.86	164.42	63.89	163.28	279.14	368.65
