	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.12ZZY.2726.SM.5EQ45	GTEX.YECK.2826.SM.5IFHF	GTEX.11GS4.1826.SM.5HL4T	GTEX.11EI6.2626.SM.5PNVT	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.12WSI.0226.SM.5GCNA	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1497J.0726.SM.5Q5D1	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X	GTEX.11WQC.0726.SM.5EQMR	GTEX.ZXG5.0826.SM.5GID6	GTEX.12696.1026.SM.5FQUV	TCGA.BR.7704.11A.01R.2055.13	GTEX.14BMV.2226.SM.5RQHX	GTEX.139D8.2326.SM.5IFGE
CILP	1583.71	181.28	1127.35	2417.67	486.75	529.06	435.55	1233.75	31.45	13.32	417.77	305.55	928.3	848.22	1991.0	57.49	10.71	40.07	20.41	0.0	0.67	3.08	1.62	8.45	0.62	59.97	2.12	5.23	1.55	3.53	0.0	5.23	0.0	5.68	7.34	7.69	76.71	15.22	3.82	0.55	21.32	1.55	4.1	18.29	17.64	9.63	6.94	16.63	16.75	24.99	26.47	17.77	88.88	85.22	231.32	2.97	96.68	118.43	21.47	4.9	35.76	29.91	486.75	3.79	6.36	0.72	9.78	8.51	8.32	167.9	32.59	14.56	31.67	3.92	5.06	63.0	33.3	4.1	62.12	12.36	82.29	6.46	82.29	8.45	23.42	30.34	624.99	279.14	316.37	429.54	1662.49
CLSTN1	2032.85	1709.26	1794.29	1651.0	1923.14	1806.78	723.08	2224.63	2303.12	264.03	2591.27	3665.02	2956.17	2739.08	3124.78	629.35	125.24	287.01	341.51	49.91	146.03	260.38	262.2	447.82	104.42	947.83	55.49	275.28	269.6	264.03	60.39	329.84	438.59	336.79	314.17	285.03	878.17	521.76	251.48	75.64	497.0	72.01	316.37	358.54	441.64	166.73	253.23	381.68	289.02	403.5	320.8	124.37	1104.13	1066.48	1242.34	195.72	457.25	1794.29	204.07	218.79	159.9	244.57	2816.11	201.25	164.42	163.28	426.57	473.41	153.34	368.65	620.67	540.19	361.04	165.57	114.36	1295.13	297.17	170.25	1008.9	123.5	718.08	241.19	80.01	320.8	236.21	647.07	3060.45	2468.49	1950.0	3060.45	2468.49
CLSTN2	473.41	500.46	848.22	256.78	466.88	733.19	1015.93	476.71	106.63	3.35	12.0	35.25	23.76	38.67	67.12	2.39	5.06	3.56	3.76	0.0	0.57	1.97	9.63	2.61	0.53	56.68	0.0	3.5	0.99	0.95	0.85	3.35	3.17	3.03	4.21	6.84	25.91	7.34	1.89	0.78	38.12	0.99	3.32	10.88	25.91	3.35	6.26	23.93	4.21	14.89	15.22	0.82	51.35	44.89	116.78	1.06	51.71	88.88	6.01	1.81	15.68	11.04	273.37	3.29	4.5	5.11	13.12	7.82	2.92	77.79	16.51	6.11	11.73	2.86	3.38	81.14	22.43	9.93	8.38	8.99	77.25	1.68	12.64	7.0	12.36	10.31	358.54	161.02	83.45	78.34	59.55
CNTN4	136.19	91.41	138.1	105.15	100.13	122.64	12.74	164.42	96.01	27.44	155.5	195.72	88.26	153.34	323.03	32.36	15.34	17.9	17.25	0.0	7.17	8.51	3.63	17.0	4.7	106.63	4.06	29.27	18.97	13.62	7.63	13.42	18.97	21.94	12.64	22.92	85.82	53.57	10.88	2.68	43.32	10.47	13.72	35.25	54.72	17.51	43.63	33.3	36.27	52.08	41.81	10.08	72.52	40.07	267.73	43.94	38.12	209.84	27.25	15.0	26.67	17.25	638.15	5.32	10.96	7.63	42.11	23.42	17.13	31.67	30.56	33.78	37.59	10.47	6.62	177.53	56.68	24.11	34.75	42.41	57.89	45.21	38.12	25.17	20.26	66.65	334.46	356.05	181.28	529.06	208.38
COL14A1	2573.36	915.51	1304.15	2133.97	1540.37	1313.23	157.68	1088.92	941.27	162.14	1447.15	1151.06	1757.34	1340.84	1066.48	202.66	37.05	329.84	260.38	0.0	18.43	40.93	47.84	131.51	6.21	1369.04	1.04	176.29	27.25	59.97	3.26	121.79	185.11	85.82	59.13	195.72	1088.92	358.54	48.18	14.45	289.02	18.56	63.0	132.44	406.31	61.68	69.52	177.53	146.03	193.01	155.5	13.62	1936.53	660.68	1407.55	483.38	177.53	3955.48	75.11	94.01	151.22	151.22	1923.14	52.08	30.34	33.54	212.78	217.27	64.34	244.57	332.14	114.36	406.31	53.57	21.32	813.63	67.59	11.21	441.64	48.87	2537.92	129.69	35.25	99.43	134.3	361.04	1143.1	1322.37	1477.58	3794.3	708.18
COL4A4	18.29	10.63	20.26	9.48	12.83	14.89	0.31	36.27	31.67	10.79	15.91	12.0	11.21	13.12	2.92	13.93	5.45	19.39	32.13	9.2	4.66	13.22	3.03	6.16	1.07	73.54	2.53	7.88	4.58	12.0	2.48	21.94	10.63	9.93	13.22	21.01	66.65	17.38	16.27	1.25	28.24	31.67	11.38	20.41	21.47	4.58	10.88	27.25	15.8	25.72	18.16	2.18	141.02	41.81	120.1	2.78	25.72	295.11	9.34	5.77	30.12	16.27	493.56	5.32	3.06	2.27	8.92	21.16	4.1	27.64	48.18	14.24	25.72	11.47	3.38	76.71	14.35	2.78	27.25	9.13	91.41	4.43	2.71	7.11	6.01	32.36	231.32	127.0	33.06	27.44	44.89
COL9A2	291.04	293.07	169.07	186.4	187.71	281.09	8.06	111.99	363.56	15.34	204.07	76.71	309.83	152.28	109.66	43.32	3.5	20.11	14.67	2.53	10.55	10.71	5.59	18.29	3.66	115.16	7.11	15.34	9.85	9.93	2.58	15.34	10.31	24.11	8.51	15.8	105.89	36.01	4.06	4.54	44.25	6.31	16.75	10.0	6.73	4.28	7.4	27.25	8.65	5.5	8.99	4.03	54.33	33.3	66.65	0.0	152.28	27.84	3.72	10.08	5.41	11.91	540.19	0.0	28.04	3.63	49.21	12.83	28.65	7.63	28.86	10.88	26.1	3.14	5.96	11.47	2.76	5.36	146.03	14.78	77.79	0.06	10.47	33.06	74.06	17.51	121.79	120.94	218.79	215.77	178.77
CTBP2	954.43	1175.27	1023.0	974.5	1199.98	1191.69	500.46	1819.35	981.29	111.21	780.44	1030.12	848.22	1001.93	1119.56	95.34	64.8	98.04	104.42	10.71	49.21	35.5	59.13	63.89	20.86	329.84	17.0	71.5	55.49	40.36	15.56	82.87	107.38	71.0	75.64	81.14	376.41	161.02	90.14	20.71	180.02	18.7	80.01	86.43	147.06	36.01	80.01	127.0	94.67	94.01	137.14	17.25	1457.23	195.72	1023.0	63.45	115.97	358.54	23.59	50.98	116.78	102.97	1572.76	35.76	29.48	28.24	178.77	115.97	23.08	140.04	142.01	152.28	105.89	51.35	41.22	688.78	49.21	14.03	718.08	50.98	447.82	24.11	26.47	146.03	88.88	258.57	1417.35	769.69	1437.15	780.44	1151.06
CTSV	123.5	143.01	164.42	38.95	98.04	85.22	17.64	135.24	152.28	6.31	13.22	23.76	24.46	30.78	16.27	12.36	3.11	6.36	4.31	1.46	5.36	4.28	4.58	36.79	4.86	14.89	1.51	3.63	4.82	0.74	1.87	17.25	1.77	1.39	4.78	4.13	17.9	6.01	3.17	0.65	7.94	1.25	4.39	3.96	3.5	5.32	3.29	0.0	3.35	0.72	14.45	1.62	44.89	5.96	3.99	3.66	53.19	8.19	10.47	0.0	12.27	29.27	89.51	3.38	0.0	5.36	3.82	0.46	1.31	17.25	52.08	2.27	18.56	12.09	1.64	9.78	16.27	5.54	9.27	1.99	3.23	0.0	20.71	0.0	7.34	7.34	8.71	17.13	39.79	16.39	22.26
CYBRD1	5479.15	2956.17	4802.93	5633.22	5329.3	5831.91	3060.45	3955.48	1037.29	171.45	2400.97	2255.7	1662.49	2351.53	2627.46	195.72	100.13	212.78	183.82	16.15	31.67	96.01	392.44	129.69	17.9	748.61	12.09	167.9	95.34	96.68	9.7	159.9	176.29	102.25	162.14	181.28	599.49	480.04	154.42	22.1	497.0	21.47	180.02	229.72	314.17	155.5	199.85	223.41	152.28	351.14	236.21	43.63	802.41	674.59	842.36	129.69	384.34	4607.24	109.66	167.9	269.6	332.14	4836.35	118.43	92.05	21.32	191.67	289.02	79.45	336.79	500.46	215.77	163.28	82.29	65.26	830.75	197.09	131.51	426.57	111.99	1151.06	117.6	131.51	246.28	111.99	679.29	23009.42	6294.04	3325.99	7081.29	4607.24
DLG3	420.68	417.77	303.44	511.0	532.74	329.84	94.67	395.18	414.87	28.65	500.46	543.96	521.76	660.68	435.55	26.67	34.26	27.44	28.45	1.27	8.06	10.96	17.13	28.04	4.03	135.24	2.97	19.39	16.75	11.73	2.53	24.99	98.04	24.46	19.82	36.53	108.9	37.32	20.41	7.51	80.01	3.41	36.53	29.7	60.39	25.72	43.63	69.03	23.93	39.79	43.63	7.75	158.79	102.25	281.09	17.38	35.5	819.3	8.51	30.12	39.79	20.56	1467.37	45.21	3.56	0.73	40.64	27.44	4.58	109.66	46.18	23.25	14.14	9.34	14.35	197.09	21.63	30.34	198.47	43.32	178.77	11.91	17.9	38.67	82.87	232.94	583.07	316.37	480.04	417.77	384.34
DMKN	1199.98	1651.0	1051.79	808.0	1561.89	1023.0	104.42	1088.92	2796.65	115.97	748.61	1583.71	1044.52	2287.2	536.45	43.94	8.65	43.32	29.27	0.0	1.87	7.88	642.59	31.0	3.32	417.77	0.0	20.86	5.15	57.08	9.78	145.02	4.24	29.7	47.5	70.01	629.35	19.53	17.25	6.52	414.87	29.7	173.85	70.51	229.72	60.39	133.36	204.07	98.73	73.54	79.45	214.27	2004.85	1216.75	20451.65	1.0	151.22	5594.3	81.71	2.92	55.49	92.05	29531.18	17.25	87.03	26.67	813.63	277.2	4.82	555.41	412.0	147.06	49.56	119.26	3.38	547.75	36.53	27.05	3874.05	20.56	633.73	2.05	5.41	251.48	223.41	2209.26	1233.75	909.17	518.15	2609.3	1950.0
DSCAML1	8.25	9.34	13.62	6.67	6.89	5.54	6.36	5.77	8.99	2.2	46.84	43.02	58.3	23.93	32.82	0.72	4.43	0.69	1.22	0.0	0.0	0.72	1.17	0.67	1.06	23.25	0.0	0.64	0.0	0.0	0.0	1.97	0.69	0.75	0.67	1.17	9.2	2.12	0.0	2.23	10.47	0.0	1.95	1.5	4.58	1.89	3.14	4.46	2.05	1.53	1.6	2.48	3.66	2.78	40.07	0.0	7.75	31.22	0.0	0.0	9.78	1.41	108.9	0.3	0.22	0.0	3.53	0.15	7.4	14.67	32.13	1.19	1.48	4.06	3.96	8.51	10.96	3.11	4.94	1.55	5.41	0.0	4.82	0.97	1.51	15.45	71.5	70.51	70.51	109.66	52.08
DSE	540.19	420.68	579.04	571.05	511.0	723.08	1175.27	896.64	271.48	105.15	202.66	201.25	118.43	190.34	209.84	77.25	68.55	72.01	67.12	11.21	27.44	39.22	46.5	39.5	9.48	239.52	36.79	38.67	35.25	29.7	7.94	46.5	62.56	55.49	46.18	96.01	242.88	115.16	89.51	18.7	143.01	17.0	60.39	146.03	209.84	54.33	97.36	131.51	83.45	157.68	85.22	41.22	387.02	215.77	361.04	136.19	173.85	293.07	127.89	57.89	305.55	152.28	1721.16	98.73	34.26	59.13	224.97	61.68	84.63	178.77	177.53	82.87	99.43	39.22	106.63	323.03	223.41	63.0	256.78	214.27	223.41	34.51	81.71	115.97	131.51	130.6	3124.78	981.29	281.09	503.95	599.49
DTX3	624.99	616.37	423.61	414.87	603.67	450.94	93.35	551.56	890.44	82.29	1397.83	1001.93	1388.16	1167.14	1594.73	136.19	56.28	120.1	81.14	4.5	29.91	44.89	73.54	121.79	30.56	403.5	10.31	95.34	117.6	60.82	19.68	103.69	81.71	151.22	45.21	127.0	299.25	271.48	46.18	34.02	183.82	44.25	120.1	72.01	93.35	53.19	76.71	92.7	88.88	71.0	81.71	73.03	299.25	301.33	1023.0	30.56	148.09	819.3	55.89	42.41	37.32	76.17	4239.45	18.7	106.63	7.28	133.36	154.42	28.04	157.68	204.07	115.97	82.29	48.18	51.35	624.99	133.36	60.39	237.86	27.84	397.93	34.75	38.95	94.01	134.3	169.07	1277.29	728.11	1685.71	2701.35	2119.22
EFS	684.02	808.0	703.28	555.41	703.28	463.65	63.0	293.07	133.36	11.47	332.14	480.04	412.0	363.56	329.84	22.75	7.28	22.1	13.52	0.0	2.41	7.63	9.2	10.88	2.2	81.14	0.0	11.64	2.84	4.54	1.64	22.75	11.47	15.22	12.27	18.7	51.71	30.78	5.87	3.35	32.82	6.62	8.78	8.99	28.04	10.79	16.75	14.56	15.91	17.9	12.36	5.5	119.26	64.8	185.11	11.64	20.11	212.78	5.92	10.31	21.32	22.43	256.78	1.73	8.58	0.26	11.38	19.39	6.36	19.82	29.48	20.86	22.43	7.75	6.21	97.36	11.21	5.02	43.32	7.11	55.1	1.1	5.36	9.48	17.0	19.11	547.75	507.46	665.29	947.83	599.49
ENDOD1	571.05	497.0	547.75	575.03	629.35	532.74	291.04	941.27	753.83	81.14	595.34	1015.93	728.11	743.43	830.75	52.82	58.3	65.26	71.0	3.5	18.29	77.79	48.87	46.84	25.91	204.07	7.82	57.89	38.12	74.06	26.86	81.14	57.49	68.07	65.26	87.03	256.78	116.78	38.95	25.72	172.65	44.57	92.7	117.6	143.01	45.21	68.55	139.07	71.0	110.43	94.67	78.89	647.07	981.29	470.14	92.7	271.48	450.94	76.17	60.39	144.01	154.42	1066.48	110.43	20.56	61.68	101.54	237.86	67.59	303.44	120.94	236.21	120.1	94.67	48.18	323.03	60.39	65.72	497.0	143.01	351.14	35.5	48.18	107.38	73.54	231.32	884.29	775.05	346.29	595.34	470.14
EPHB6	220.32	271.48	356.05	175.07	214.27	320.8	18.43	444.72	536.45	150.17	85.22	139.07	123.5	126.12	303.44	55.89	145.02	45.53	52.45	1.36	15.8	44.57	17.51	55.1	26.86	316.37	3.17	30.56	11.91	34.26	3.53	28.86	13.83	65.72	32.36	47.17	264.03	41.22	38.12	12.64	166.73	15.56	97.36	92.05	97.36	68.55	114.36	206.94	88.88	68.07	72.01	35.76	244.57	212.78	305.55	66.18	127.89	995.0	85.22	156.59	46.84	64.34	1769.57	57.49	74.58	40.07	199.85	108.14	37.85	551.56	688.78	59.13	197.09	48.87	5.59	234.57	18.03	3.32	497.0	60.39	171.45	13.93	85.22	121.79	162.14	172.65	1991.0	529.06	255.0	149.12	775.05
EPS8L1	656.11	1242.34	521.76	463.65	947.83	559.28	41.52	493.56	2178.83	79.45	301.33	186.4	139.07	176.29	102.97	34.02	7.28	48.18	37.85	0.0	11.04	3.96	24.81	39.22	12.18	551.56	8.25	14.45	15.8	35.25	4.86	29.48	32.13	36.01	34.51	54.33	466.88	65.72	17.38	7.0	166.73	27.64	11.21	26.67	39.22	33.78	67.59	72.52	52.08	29.7	84.04	41.81	356.05	848.22	1073.91	2.32	351.14	2209.26	10.96	35.0	7.06	11.64	2018.8	6.41	9.93	9.7	180.02	211.31	4.21	1313.23	126.12	37.05	125.24	89.51	42.41	239.52	39.79	25.91	1594.73	27.44	373.81	2.81	4.31	60.39	43.02	769.69	2090.03	587.13	473.41	884.29	974.5
ESRP1	514.56	647.07	339.14	438.59	665.29	356.05	40.36	409.15	571.05	18.97	228.13	100.83	73.03	81.71	31.0	4.13	0.0	2.78	2.05	0.0	0.0	0.66	0.0	3.79	0.59	64.34	3.69	0.0	1.87	5.15	0.56	1.3	0.0	10.79	4.94	13.42	51.71	1.1	0.65	0.0	34.26	3.47	2.84	13.12	7.75	4.35	19.11	18.97	14.78	5.54	45.53	75.64	185.11	607.87	34.75	2.41	909.17	5872.48	1.19	0.0	2.16	9.63	2591.27	0.0	16.39	26.47	141.02	7.34	0.0	2502.97	41.22	40.36	0.0	9.27	50.27	2.41	64.34	0.0	915.51	6.26	47.17	0.0	1.14	27.25	92.7	139.07	295.11	209.84	376.41	414.87	620.67
EVC2	91.41	73.54	60.39	57.08	87.03	84.63	20.41	76.17	40.07	18.7	52.08	62.56	48.52	42.41	60.39	7.22	2.46	15.56	13.83	0.65	0.74	3.66	1.71	6.67	0.69	34.02	0.67	5.02	14.56	3.26	16.88	8.51	12.74	5.82	14.03	8.71	29.06	18.97	2.16	0.97	22.75	7.17	3.69	6.67	7.4	7.4	6.89	20.71	9.2	10.71	4.78	0.84	32.59	64.8	75.64	0.82	21.01	105.15	2.97	1.06	9.85	24.99	307.69	1.93	21.94	7.75	54.72	46.18	2.58	15.45	41.22	1.71	7.22	2.51	5.73	28.86	12.0	15.68	37.59	2.58	71.5	5.36	26.1	0.32	77.79	19.53	400.71	314.17	113.56	89.51	78.89
FAM150B	83.45	153.34	60.39	47.5	108.14	127.89	30.34	25.17	172.65	105.89	105.15	138.1	116.78	155.5	121.79	15.11	8.78	5.54	6.31	2.78	0.0	0.75	4.74	4.5	0.0	156.59	0.0	29.91	0.71	11.04	0.0	4.7	0.0	4.28	14.03	18.56	307.69	6.06	1.2	2.27	175.07	0.0	13.03	72.52	54.72	21.63	44.89	113.56	77.79	20.11	52.82	37.85	400.71	381.68	229.72	3.76	507.46	633.73	6.78	28.65	30.34	15.56	1819.35	21.78	74.58	114.36	336.79	77.25	25.54	1277.29	155.5	12.93	28.24	94.01	17.77	49.56	21.47	4.39	1977.24	37.85	68.55	3.41	2.39	69.03	64.8	483.38	358.54	669.92	95.34	49.21	95.34
FAM180A	128.79	61.25	113.56	105.89	129.69	55.89	5.23	64.34	88.88	96.01	98.73	87.65	49.91	59.97	127.0	8.99	81.14	13.22	11.38	7.06	0.0	43.32	5.36	5.06	1.55	194.36	0.0	12.0	1.66	14.35	0.0	55.49	3.99	16.39	16.03	37.85	187.71	33.06	3.11	2.01	163.28	4.28	44.89	135.24	236.21	70.51	108.14	116.78	134.3	226.54	202.66	37.59	1104.13	480.04	389.72	8.51	291.04	1733.13	154.42	9.48	223.41	285.03	4769.75	19.97	48.18	29.48	312.0	40.07	42.71	392.44	395.18	205.5	81.14	55.49	212.78	195.72	620.67	148.09	165.57	84.04	67.12	7.82	733.19	166.73	117.6	275.28	265.87	158.79	143.01	500.46	223.41
FAM65C	114.36	62.12	122.64	111.21	97.36	102.97	53.57	127.0	60.82	131.51	105.89	82.87	118.43	68.07	165.57	18.03	111.21	21.01	15.91	19.68	5.32	22.43	12.27	7.57	40.36	187.71	32.13	19.97	17.9	17.25	9.63	49.21	24.99	33.78	6.41	49.56	105.89	20.71	147.06	4.66	183.82	33.78	39.5	53.19	212.78	92.7	81.71	150.17	98.04	117.6	163.28	175.07	283.05	43.63	1977.24	7.28	529.06	571.05	217.27	56.28	54.33	269.6	6699.25	10.0	181.28	17.38	289.02	116.78	35.76	185.11	363.56	232.94	100.13	130.6	68.55	1051.79	346.29	117.6	656.11	77.79	95.34	56.68	30.34	361.04	80.57	143.01	31.0	72.52	183.82	202.66	320.8
FBXL2	220.32	224.97	163.28	211.31	251.48	161.02	127.89	167.9	130.6	7.69	162.14	134.3	121.79	138.1	150.17	11.13	4.66	10.79	12.74	8.32	4.46	7.28	6.57	8.0	0.89	47.84	5.92	12.64	4.39	11.64	5.41	13.12	12.18	18.03	13.83	12.18	37.85	33.3	10.31	4.17	29.27	3.44	8.99	6.11	11.13	4.35	5.28	13.72	5.36	6.26	6.57	1.99	58.3	16.03	124.37	4.35	7.17	88.88	6.46	4.39	3.0	14.56	229.72	3.17	4.35	4.66	10.31	6.78	10.96	17.25	15.56	3.03	6.67	3.29	2.68	68.07	3.76	0.66	27.84	4.74	37.59	0.69	0.56	5.54	4.58	42.41	366.09	106.63	178.77	339.14	164.42
FMOD	5112.16	1674.06	7230.1	4038.61	3395.89	3928.15	2240.11	1819.35	1088.92	108.9	928.3	529.06	1359.57	1561.89	1378.57	166.73	85.82	206.94	173.85	0.0	9.63	54.72	53.95	111.21	6.26	902.89	4.28	144.01	21.63	99.43	2.56	111.99	117.6	66.18	115.97	236.21	764.36	403.5	29.91	11.47	332.14	17.9	85.82	141.02	187.71	43.32	96.01	166.73	135.24	94.67	191.67	9.34	902.89	7032.37	4769.75	44.57	473.41	1733.13	33.3	93.35	220.32	73.03	5954.47	21.16	49.21	124.37	91.41	450.94	59.13	555.41	198.47	82.87	115.16	72.01	41.81	5954.47	138.1	42.11	866.07	55.1	1167.14	40.64	85.82	101.54	159.9	154.42	3190.46	1745.2	3768.09	1350.18	1208.34
FOXO6	27.44	40.07	19.82	21.78	40.64	31.9	0.79	23.93	41.81	10.63	35.5	45.53	40.07	48.52	44.25	0.67	3.29	0.65	1.16	0.92	3.63	1.14	8.58	0.0	0.0	16.63	0.57	0.0	0.0	1.85	0.93	2.94	1.11	3.14	0.62	1.11	15.22	3.32	0.0	6.62	15.8	5.54	2.39	8.58	1.91	1.17	4.82	9.06	4.94	1.33	5.45	1.28	32.59	6.46	6.94	0.0	2.53	9.06	0.0	1.53	2.71	2.89	98.73	0.39	14.35	0.42	55.1	3.08	15.34	2.25	11.47	1.91	4.03	4.9	7.94	0.57	3.11	3.26	19.53	0.0	24.99	0.0	0.04	9.85	4.9	26.86	108.14	34.02	108.14	124.37	117.6
FREM1	307.69	141.02	289.02	334.46	195.72	237.86	140.04	100.13	48.52	25.54	629.35	329.84	493.56	579.04	547.75	8.85	8.13	5.11	3.69	0.0	1.39	0.58	6.73	1.75	0.0	41.22	1.2	1.62	0.0	0.92	0.83	6.73	7.46	2.05	0.0	5.11	25.17	3.56	0.0	1.38	10.08	0.55	7.57	18.97	20.56	12.27	21.16	15.34	8.71	12.45	26.1	3.82	91.41	2.03	46.84	7.63	7.28	64.8	11.64	31.22	7.69	26.1	283.05	10.24	5.96	1.31	20.41	2.76	0.0	0.89	37.05	6.73	7.06	9.27	9.13	120.1	5.11	14.78	8.38	0.0	20.56	10.16	6.57	16.75	3.5	81.14	473.41	90.14	132.44	954.43	140.04
FZD1	536.45	417.77	403.5	395.18	547.75	366.09	77.79	463.65	283.05	67.12	299.25	327.56	232.94	309.83	279.14	49.21	23.42	36.27	40.64	9.2	14.67	16.03	20.11	30.34	3.11	189.02	5.11	28.04	22.1	11.64	2.51	34.26	21.63	27.25	22.75	39.5	150.17	61.68	18.43	6.94	133.36	9.06	30.12	89.51	94.01	29.91	59.13	78.89	52.45	52.82	57.08	16.88	325.29	253.23	295.11	73.03	90.77	368.65	27.84	38.95	72.01	79.45	612.11	50.98	18.43	15.8	53.95	81.71	13.72	170.25	100.83	120.1	112.77	33.78	29.48	122.64	14.89	18.84	466.88	50.27	242.88	16.51	7.88	50.98	45.21	409.15	1259.69	842.36	366.09	543.96	473.41
GABBR1	500.46	518.15	392.44	325.29	587.13	389.72	123.5	432.53	521.76	45.85	848.22	575.03	1111.82	738.29	759.08	102.25	47.5	57.08	58.3	5.06	10.63	26.47	26.86	61.25	18.84	334.46	2.86	51.71	23.25	22.26	10.63	87.65	39.22	72.01	19.53	73.03	172.65	172.65	66.65	17.13	141.02	26.86	44.25	20.11	75.11	22.26	37.85	61.25	34.26	57.89	62.12	31.0	423.61	236.21	748.61	17.13	89.51	417.77	64.34	21.16	19.82	36.53	1977.24	7.11	42.41	8.85	84.04	94.67	24.63	59.97	88.26	25.54	51.35	23.42	8.19	507.46	65.72	18.97	102.97	27.44	264.03	13.93	4.03	57.08	52.45	101.54	854.13	297.17	796.86	1159.07	1059.11
GAS1	967.76	603.67	713.11	915.51	896.64	791.35	133.36	1015.93	217.27	12.45	400.71	387.02	299.25	325.29	295.11	19.97	12.93	24.99	36.27	0.59	1.6	28.65	10.0	18.03	1.06	142.01	0.6	28.45	3.72	43.32	0.99	45.21	21.47	16.51	34.02	44.89	157.68	37.05	3.44	2.25	86.43	3.35	14.03	42.11	25.91	8.99	19.39	68.07	25.17	31.45	35.5	22.92	351.14	414.87	392.44	8.0	181.28	503.95	7.57	32.59	53.19	21.63	775.05	9.78	7.69	8.71	40.36	43.32	13.93	120.94	90.77	27.05	46.5	19.82	7.51	176.29	12.64	8.51	72.01	40.93	316.37	3.53	1.75	24.81	14.67	55.1	2303.12	674.59	1757.34	1151.06	1259.69
