	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.1128S.1626.SM.5H12O	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.12KS4.2426.SM.5LU8P	GTEX.144GN.1126.SM.5LU33	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Y5LM.1426.SM.5RQJL	GTEX.Q2AH.1226.SM.48TZL	GTEX.O5YW.1426.SM.3MJHF	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.6453.11A.01R.1802.13
PACS1	540.19	417.77	688.78	218.79	341.51	232.94	260.38	122.64	218.79	371.22	334.46	334.46	358.54	251.48	208.38	264.03	191.67	163.28	182.55	248.0	267.73	543.96	514.56	182.55	387.02	86.43	172.65	379.04	389.72	579.04	185.11	336.79	167.9	529.06	293.07	201.25	173.85	287.01	178.77	242.88	201.25	271.48	353.59	249.73	258.57	466.88	447.82	438.59	215.77	348.71	303.44	249.73	316.37	208.38	376.41	162.14	159.9	142.01	441.64	591.22	271.48	332.14	267.73	265.87	260.38	135.24	234.57	307.69	470.14	275.28	260.38	327.56	476.71	178.77	314.17	152.28	187.71	249.73	563.18	226.54	361.04	312.0	234.57	309.83	161.02	612.11	473.41	642.59	353.59	181.28	389.72	195.72	241.19	223.41	567.1	684.02	199.85	409.15	473.41	514.56	307.69	521.76	236.21	141.02	775.05	612.11
PCDH9	0.68	7.82	17.38	2.61	5.41	7.75	2.25	0.92	3.23	3.92	3.92	5.19	6.84	3.44	3.38	5.19	2.68	1.77	3.76	5.5	4.86	6.52	14.35	2.1	8.51	0.8	2.58	5.82	9.06	9.7	2.23	8.78	1.28	12.55	5.28	2.16	2.18	6.67	1.81	1.71	3.17	1.79	9.27	0.84	1.41	8.71	6.89	4.43	2.68	16.39	11.21	3.17	7.94	3.72	5.36	2.86	1.83	1.13	4.98	26.1	2.92	1.87	3.86	1.43	2.73	1.03	3.11	5.63	10.63	1.51	4.46	5.19	12.36	1.73	3.66	1.08	2.66	2.12	5.77	4.1	8.32	1.79	1.87	3.99	2.56	12.09	16.15	16.63	8.38	3.44	10.08	5.73	2.92	4.1	6.73	10.39	4.54	12.27	12.83	17.13	1.89	8.71	2.84	0.84	17.51	14.89
PCDHB4	2.29	31.67	50.63	16.88	20.11	13.72	9.2	2.34	10.31	12.18	14.03	22.26	13.83	10.96	7.17	14.56	11.3	10.55	8.45	7.88	11.91	17.13	31.22	7.4	29.27	2.07	8.45	14.45	26.47	56.68	9.34	15.91	10.31	35.5	17.9	5.54	6.41	14.78	4.03	8.71	16.75	9.34	25.54	3.56	6.84	32.82	20.86	12.09	8.99	33.54	18.03	8.0	22.1	11.91	17.38	9.93	7.22	2.94	10.63	68.55	9.2	6.84	12.18	12.45	7.75	4.17	7.51	17.51	31.0	8.45	12.74	18.56	44.89	9.06	10.88	4.39	6.16	5.73	36.53	3.5	18.97	12.55	1.66	11.3	7.22	17.64	30.78	51.35	15.56	7.57	18.56	16.88	4.66	13.22	31.45	28.24	12.83	22.75	22.1	32.82	5.87	30.78	8.06	1.93	46.5	29.27
PDE1A	12.55	99.43	139.07	53.57	50.27	61.25	26.67	21.01	28.45	70.01	57.49	81.14	74.06	39.79	22.75	63.0	37.85	31.9	27.05	47.5	57.08	69.52	116.78	36.27	89.51	16.51	36.53	51.35	97.36	136.19	35.0	26.67	33.06	105.89	60.82	22.59	35.25	53.95	30.56	32.82	46.18	28.45	116.78	15.34	25.54	148.09	62.56	53.19	28.45	167.9	65.72	32.36	108.9	48.87	108.14	27.44	38.95	14.24	34.51	329.84	25.72	30.78	26.67	38.12	43.32	18.43	31.22	68.55	136.19	40.64	51.71	73.54	133.36	30.34	36.79	24.28	19.82	37.05	55.49	13.83	82.87	19.97	29.06	40.07	24.46	112.77	132.44	195.72	102.25	28.24	65.72	59.13	25.91	66.65	96.01	119.26	46.84	89.51	95.34	137.14	25.72	123.5	39.5	13.93	156.59	167.9
PHF21A	214.27	256.78	339.14	166.73	279.14	208.38	171.45	120.94	162.14	218.79	202.66	262.2	224.97	198.47	177.53	205.5	118.43	128.79	172.65	189.02	148.09	226.54	389.72	161.02	271.48	115.16	183.82	180.02	309.83	412.0	170.25	198.47	136.19	293.07	190.34	167.9	154.42	197.09	99.43	177.53	231.32	157.68	303.44	157.68	172.65	303.44	283.05	253.23	140.04	264.03	287.01	166.73	214.27	157.68	291.04	175.07	144.01	134.3	193.01	400.71	197.09	189.02	206.94	186.4	237.86	143.01	140.04	265.87	237.86	141.02	215.77	237.86	379.04	173.85	167.9	136.19	144.01	161.02	351.14	191.67	262.2	209.84	170.25	190.34	148.09	295.11	329.84	397.93	215.77	170.25	267.73	187.71	176.29	161.02	341.51	368.65	194.36	309.83	368.65	514.56	195.72	366.09	164.42	126.12	447.82	303.44
PHGR1	783730.52	90146.51	75280.1	269512.87	180294.02	386469.83	313910.86	492579.5	329517.51	260332.24	273275.14	273275.14	149521.18	338781.54	348306.01	171754.88	355624.68	193234.41	301123.38	271387.49	248002.34	174152.51	107948.72	288856.81	175363.84	509950.32	271387.49	262143.0	126606.21	138544.47	320506.81	234624.45	299043.36	137587.47	229795.93	253213.41	437825.58	414208.18	311742.51	131982.68	341137.96	267651.2	228208.61	279017.26	301123.38	119776.72	131982.68	256748.15	237899.7	107948.72	220434.95	290865.98	239554.43	271387.49	110216.97	249727.34	279017.26	313910.86	271387.49	70238.75	187950.38	338781.54	218912.29	194578.47	185362.8	307450.64	256748.15	174152.51	140478.49	284880.02	303217.87	248002.34	148488.36	378516.38	221968.2	253213.41	370726.6	239554.43	76330.98	322736.12	389157.95	273275.14	209994.66	269512.87	400098.69	117311.73	114103.8	53230.77	134755.94	229795.93	184082.4	167058.21	244588.0	419990.32	135693.24	81244.48	223512.12	253213.41	134755.94	67846.12	263966.36	70727.3	288856.81	294926.33	59474.18	82951.62
PITPNB	603.67	660.68	848.22	536.45	599.49	543.96	432.53	379.04	493.56	547.75	470.14	587.13	791.35	551.56	490.14	599.49	486.75	540.19	466.88	470.14	583.07	854.13	909.17	507.46	656.11	325.29	466.88	555.41	651.58	1001.93	450.94	483.38	409.15	802.41	536.45	438.59	460.44	642.59	567.1	629.35	480.04	532.74	684.02	463.65	476.71	860.08	728.11	514.56	490.14	743.43	842.36	583.07	708.18	500.46	647.07	536.45	432.53	447.82	466.88	780.44	603.67	483.38	551.56	463.65	693.58	444.72	473.41	660.68	738.29	493.56	540.19	599.49	947.83	414.87	521.76	480.04	470.14	444.72	878.17	575.03	603.67	620.67	414.87	532.74	555.41	796.86	723.08	928.3	525.39	493.56	718.08	511.0	476.71	463.65	759.08	775.05	575.03	684.02	819.3	890.44	457.25	934.76	470.14	457.25	642.59	514.56
POLK	67.59	81.71	166.73	81.14	129.69	115.16	60.39	48.87	81.71	90.77	77.25	98.73	94.67	65.26	58.3	111.99	102.25	82.87	71.5	98.04	93.35	115.97	136.19	94.67	131.51	58.71	72.52	84.63	144.01	152.28	57.08	89.51	57.89	122.64	104.42	91.41	71.0	65.26	55.89	85.82	118.43	106.63	127.0	81.71	96.68	144.01	130.6	100.13	81.14	137.14	119.26	89.51	120.1	94.01	85.22	81.14	68.55	70.01	83.45	249.73	74.58	82.87	123.5	89.51	100.83	73.03	90.14	107.38	193.01	65.26	89.51	96.68	175.07	72.01	81.71	59.97	60.82	76.17	173.85	67.59	92.7	103.69	58.71	96.01	53.57	143.01	169.07	214.27	104.42	81.14	98.04	104.42	94.67	115.16	130.6	173.85	87.03	143.01	131.51	175.07	77.25	163.28	106.63	47.17	117.6	159.9
PPFIBP1	165.57	232.94	303.44	170.25	228.13	221.86	127.89	56.28	182.55	150.17	127.89	212.78	224.97	136.19	102.97	253.23	182.55	180.02	150.17	253.23	197.09	262.2	341.51	172.65	318.57	62.12	180.02	171.45	242.88	366.09	118.43	211.31	92.7	195.72	224.97	183.82	141.02	111.21	103.69	133.36	244.57	127.0	260.38	143.01	170.25	323.03	228.13	158.79	172.65	289.02	212.78	191.67	309.83	234.57	187.71	169.07	152.28	194.36	182.55	559.28	189.02	162.14	236.21	214.27	228.13	195.72	146.03	256.78	381.68	151.22	182.55	256.78	312.0	144.01	178.77	144.01	139.07	165.57	392.44	157.68	197.09	125.24	155.5	185.11	117.6	341.51	389.72	595.34	232.94	166.73	217.27	229.72	152.28	163.28	299.25	406.31	208.38	312.0	299.25	301.33	96.01	409.15	199.85	98.04	325.29	246.28
PRPH2	2.25	24.81	39.79	14.89	9.56	10.39	8.45	7.06	7.75	12.74	16.15	14.14	14.14	12.83	11.91	16.27	3.99	6.94	7.46	10.08	8.78	21.01	26.47	5.45	19.39	7.06	12.36	10.24	20.41	24.99	5.11	6.36	12.09	19.11	16.75	9.7	3.41	7.69	5.41	21.16	6.57	8.25	12.83	7.51	8.85	25.91	17.25	4.17	6.67	23.08	18.84	12.0	12.55	9.13	14.03	11.21	7.06	3.92	2.92	26.67	10.16	6.52	4.5	5.77	3.23	4.17	6.36	15.45	13.93	9.78	10.63	12.55	37.32	7.82	7.69	6.26	7.46	6.31	20.11	4.5	12.55	13.32	13.42	16.27	9.27	17.25	20.56	27.05	17.64	8.92	31.0	8.85	10.24	6.46	36.27	27.25	14.56	10.0	17.51	17.0	11.13	21.16	13.12	10.31	14.35	24.99
PTPRS	31.9	264.03	368.65	102.25	123.5	88.88	68.07	28.45	50.63	93.35	127.0	145.02	151.22	84.63	41.52	94.67	45.85	55.1	92.05	98.04	88.26	153.34	432.53	79.45	140.04	22.75	52.08	87.03	283.05	423.61	46.5	72.52	65.26	135.24	146.03	42.11	30.34	118.43	49.56	63.0	78.34	40.36	249.73	47.17	94.67	204.07	232.94	110.43	60.39	221.86	194.36	69.03	135.24	58.3	176.29	42.71	35.76	22.26	81.71	323.03	84.63	67.59	81.14	84.63	84.04	30.78	74.06	178.77	190.34	55.49	111.21	104.42	307.69	68.07	94.67	50.63	65.26	40.64	150.17	55.1	166.73	78.89	68.07	164.42	75.11	281.09	297.17	285.03	142.01	50.27	220.32	108.14	46.5	55.49	244.57	273.37	90.14	307.69	341.51	277.2	48.87	244.57	62.56	42.71	490.14	260.38
QKI	71.5	289.02	525.39	108.9	239.52	248.0	126.12	41.52	111.99	138.1	141.02	157.68	217.27	126.12	95.34	208.38	138.1	152.28	120.1	120.94	125.24	275.28	470.14	133.36	193.01	31.22	176.29	180.02	371.22	603.67	108.14	199.85	86.43	323.03	220.32	116.78	76.71	186.4	82.29	134.3	201.25	105.15	303.44	95.34	143.01	417.77	339.14	162.14	90.77	339.14	265.87	150.17	273.37	341.51	218.79	140.04	63.45	57.89	140.04	728.11	190.34	123.5	132.44	153.34	154.42	80.01	105.89	232.94	353.59	72.52	154.42	166.73	612.11	100.83	149.12	63.89	71.5	100.13	417.77	124.37	206.94	97.36	62.56	150.17	77.25	466.88	551.56	490.14	279.14	133.36	285.03	138.1	129.69	116.78	356.05	518.15	170.25	351.14	423.61	435.55	157.68	463.65	121.79	62.56	703.28	366.09
RAB7L1	74.06	155.5	269.6	92.7	175.07	102.25	76.71	65.26	101.54	163.28	99.43	129.69	125.24	143.01	98.04	155.5	57.08	125.24	118.43	103.69	134.3	161.02	363.56	102.25	158.79	29.48	88.26	186.4	161.02	305.55	122.64	145.02	79.45	165.57	99.43	78.34	81.71	152.28	67.59	167.9	135.24	150.17	183.82	115.97	93.35	202.66	185.11	146.03	76.71	224.97	253.23	127.89	111.21	92.05	181.28	80.57	84.63	103.69	193.01	201.25	122.64	130.6	145.02	99.43	90.14	79.45	100.83	171.45	217.27	111.21	129.69	113.56	301.33	70.51	135.24	94.01	109.66	70.51	153.34	166.73	193.01	181.28	63.0	155.5	92.7	206.94	183.82	190.34	150.17	55.1	186.4	86.43	85.82	100.83	217.27	305.55	145.02	156.59	281.09	334.46	169.07	218.79	119.26	59.13	258.57	198.47
RBMS1	95.34	267.73	575.03	136.19	253.23	211.31	87.65	53.57	114.36	197.09	138.1	181.28	223.41	139.07	100.83	258.57	141.02	130.6	108.14	124.37	181.28	595.34	371.22	112.77	361.04	41.52	131.51	297.17	414.87	532.74	90.77	151.22	70.01	406.31	182.55	92.05	74.06	209.84	117.6	173.85	185.11	127.89	334.46	74.58	141.02	500.46	301.33	205.5	126.12	392.44	232.94	148.09	244.57	215.77	287.01	137.14	79.45	48.18	131.51	808.0	189.02	124.37	126.12	165.57	155.5	71.5	90.77	220.32	476.71	78.89	158.79	199.85	638.15	101.54	167.9	72.01	106.63	108.9	624.99	92.05	221.86	122.64	68.07	162.14	118.43	525.39	429.54	718.08	273.37	127.0	361.04	120.94	150.17	143.01	361.04	575.03	141.02	316.37	379.04	703.28	142.01	414.87	142.01	54.72	406.31	392.44
RBPJ	316.37	500.46	769.69	392.44	460.44	595.34	366.09	297.17	423.61	384.34	387.02	483.38	480.04	435.55	450.94	612.11	435.55	341.51	356.05	563.18	356.05	497.0	764.36	447.82	620.67	356.05	457.25	384.34	607.87	775.05	403.5	438.59	361.04	629.35	470.14	480.04	366.09	417.77	343.89	373.81	406.31	323.03	651.58	414.87	423.61	587.13	688.78	500.46	409.15	679.29	587.13	417.77	579.04	656.11	536.45	457.25	316.37	457.25	412.0	591.22	486.75	438.59	450.94	466.88	450.94	444.72	406.31	521.76	688.78	363.56	514.56	507.46	1044.52	346.29	400.71	426.57	438.59	406.31	647.07	387.02	518.15	353.59	409.15	441.64	435.55	665.29	728.11	848.22	536.45	376.41	583.07	525.39	460.44	332.14	660.68	532.74	463.65	587.13	669.92	902.89	397.93	830.75	571.05	334.46	629.35	583.07
RECK	20.71	99.43	173.85	54.33	74.58	81.14	60.82	25.54	59.55	53.57	70.01	73.54	72.01	57.08	35.25	92.05	45.85	47.17	35.0	70.51	52.82	78.89	154.42	49.56	88.26	28.86	53.57	52.08	124.37	152.28	54.72	59.55	42.41	85.82	75.64	43.32	40.07	49.21	36.01	44.89	71.0	54.72	115.16	34.75	65.72	127.0	69.52	64.34	48.52	122.64	71.5	89.51	115.16	80.01	87.03	50.98	46.84	31.45	58.71	253.23	49.56	41.81	41.81	68.07	50.27	29.27	41.22	74.58	130.6	37.05	55.49	84.04	139.07	42.11	42.11	31.0	41.52	38.95	134.3	28.65	78.89	69.52	33.3	63.0	44.89	108.14	165.57	202.66	91.41	36.79	78.89	81.71	43.94	67.12	156.59	104.42	81.71	96.68	87.03	153.34	40.36	173.85	58.71	25.72	183.82	126.12
ROBO1	23.25	153.34	234.57	46.5	113.56	131.51	38.67	8.38	69.03	78.34	88.88	81.71	198.47	60.82	20.56	78.34	43.63	79.45	97.36	66.18	114.36	58.71	217.27	62.56	194.36	7.69	68.07	45.53	215.77	334.46	46.84	91.41	20.71	195.72	149.12	87.03	69.03	49.21	60.39	81.71	103.69	54.72	97.36	28.65	33.06	211.31	178.77	144.01	49.91	90.77	136.19	40.36	135.24	95.34	127.89	28.86	73.03	38.95	61.25	241.19	85.22	48.18	72.01	85.22	77.25	61.68	30.34	103.69	173.85	44.89	36.53	51.71	309.83	70.51	110.43	16.63	28.86	58.71	182.55	72.52	97.36	72.52	36.01	49.21	60.82	307.69	189.02	273.37	159.9	56.68	66.18	45.85	32.82	55.1	262.2	181.28	41.81	158.79	158.79	559.28	101.54	231.32	40.36	20.26	111.21	112.77
RP11-89K11.1	0.0	31.67	23.08	6.73	10.24	14.78	12.09	13.42	17.38	21.78	34.26	26.47	28.65	12.93	12.27	17.64	17.51	6.21	18.16	9.13	16.88	32.36	46.5	12.64	27.25	19.11	11.64	8.58	28.24	40.36	20.11	16.27	8.92	35.0	30.34	12.93	13.42	23.42	3.63	3.47	8.13	17.77	30.34	14.67	8.32	42.11	36.27	28.24	6.62	64.34	23.08	17.9	35.0	14.03	36.79	18.43	10.0	5.54	22.92	113.56	21.16	11.55	22.1	13.72	21.63	8.65	7.82	14.14	47.84	18.29	15.22	24.81	70.51	5.63	11.55	3.5	12.45	15.22	45.53	6.94	28.65	26.47	21.16	19.82	7.75	59.97	45.85	54.72	22.43	0.1	13.93	15.11	19.97	31.22	42.11	52.45	13.42	26.86	33.3	52.82	14.35	61.68	15.8	14.24	29.7	16.75
RWDD1	785.88	974.5	1397.83	748.61	808.0	819.3	748.61	769.69	728.11	981.29	896.64	934.76	878.17	884.29	698.41	878.17	878.17	890.44	769.69	759.08	848.22	1088.92	1407.55	738.29	1135.2	638.15	813.63	813.63	988.12	1529.73	878.17	860.08	738.29	1044.52	775.05	743.43	713.11	988.12	769.69	738.29	915.51	660.68	988.12	536.45	759.08	1208.34	1030.12	698.41	698.41	1350.18	1199.98	764.36	1104.13	738.29	988.12	921.88	743.43	642.59	723.08	1487.87	860.08	698.41	791.35	748.61	808.0	591.22	660.68	961.07	1088.92	642.59	928.3	884.29	1437.15	813.63	813.63	733.19	713.11	660.68	866.07	802.41	909.17	941.27	693.58	665.29	878.17	1250.98	1350.18	1313.23	848.22	842.36	995.0	738.29	759.08	813.63	988.12	1081.39	825.0	890.44	1242.34	1295.13	759.08	1340.84	603.67	748.61	902.89	1477.58
SDC2	86.43	1088.92	1417.35	320.8	579.04	796.86	441.64	94.01	343.89	603.67	356.05	616.37	423.61	301.33	275.28	1127.35	406.31	301.33	309.83	435.55	361.04	638.15	909.17	438.59	669.92	103.69	379.04	429.54	1233.75	1397.83	309.83	460.44	232.94	884.29	775.05	389.72	237.86	457.25	384.34	376.41	713.11	371.22	693.58	205.5	323.03	1477.58	688.78	435.55	358.54	995.0	595.34	406.31	791.35	1096.5	688.78	521.76	309.83	198.47	381.68	2417.67	253.23	198.47	224.97	480.04	356.05	205.5	353.59	775.05	1030.12	265.87	457.25	579.04	1745.2	351.14	373.81	244.57	178.77	303.44	995.0	239.52	470.14	392.44	206.94	381.68	389.72	1191.69	1268.46	1721.16	902.89	273.37	521.76	466.88	285.03	397.93	947.83	1183.45	607.87	723.08	928.3	1277.29	283.05	1268.46	403.5	126.12	1127.35	679.29
SEPT6	371.22	743.43	941.27	400.71	878.17	406.31	397.93	256.78	277.2	607.87	507.46	447.82	624.99	379.04	346.29	414.87	283.05	295.11	283.05	279.14	480.04	551.56	780.44	281.09	638.15	98.04	234.57	551.56	1037.29	1498.22	305.55	497.0	320.8	703.28	583.07	447.82	295.11	583.07	226.54	414.87	287.01	460.44	764.36	339.14	409.15	1268.46	629.35	733.19	318.57	466.88	473.41	346.29	511.0	314.17	543.96	206.94	195.72	236.21	620.67	1233.75	497.0	426.57	518.15	329.84	486.75	194.36	332.14	444.72	753.83	379.04	438.59	500.46	921.88	269.6	444.72	256.78	299.25	351.14	928.3	343.89	723.08	591.22	403.5	454.09	376.41	967.76	854.13	928.3	450.94	316.37	514.56	346.29	412.0	497.0	1066.48	1242.34	323.03	536.45	1030.12	638.15	518.15	941.27	277.2	275.28	825.0	607.87
SETD7	253.23	285.03	438.59	139.07	269.6	241.19	138.1	94.67	156.59	197.09	161.02	226.54	258.57	176.29	129.69	201.25	123.5	214.27	172.65	205.5	205.5	277.2	392.44	170.25	249.73	69.03	165.57	191.67	325.29	529.06	126.12	214.27	147.06	260.38	197.09	149.12	139.07	223.41	144.01	271.48	262.2	162.14	255.0	103.69	153.34	318.57	334.46	185.11	175.07	373.81	329.84	204.07	265.87	256.78	289.02	173.85	145.02	128.79	172.65	447.82	186.4	139.07	228.13	149.12	208.38	120.94	155.5	318.57	371.22	119.26	204.07	248.0	486.75	138.1	178.77	139.07	132.44	96.68	279.14	152.28	214.27	226.54	118.43	198.47	156.59	297.17	406.31	454.09	273.37	186.4	271.48	187.71	145.02	204.07	373.81	356.05	224.97	258.57	327.56	547.75	186.4	490.14	162.14	84.63	521.76	387.02
SLFN5	110.43	57.49	81.71	47.5	66.18	72.01	41.81	12.55	51.35	43.63	46.5	55.49	85.82	34.26	44.89	84.63	35.5	43.02	38.12	35.76	47.17	56.28	71.5	29.91	86.43	17.0	55.49	50.63	81.14	162.14	27.05	53.19	16.75	80.57	48.87	49.91	22.92	69.03	19.53	41.22	40.36	33.06	60.82	41.22	51.71	118.43	59.55	65.26	34.26	80.01	44.57	56.68	72.01	49.91	75.11	27.05	40.07	12.74	73.54	195.72	41.81	47.5	76.17	57.08	72.01	29.7	33.06	39.22	87.65	44.57	65.72	54.33	167.9	26.28	83.45	32.82	43.94	42.11	183.82	26.28	91.41	35.0	22.75	64.8	29.91	151.22	208.38	117.6	108.14	25.17	72.52	42.11	52.08	33.06	141.02	121.79	53.57	77.25	90.77	220.32	69.03	124.37	41.52	21.47	320.8	111.99
SRGAP2	195.72	277.2	450.94	122.64	271.48	242.88	193.01	100.13	249.73	232.94	297.17	208.38	172.65	175.07	198.47	264.03	137.14	194.36	121.79	157.68	208.38	191.67	351.14	191.67	287.01	88.88	146.03	205.5	483.38	406.31	164.42	260.38	142.01	343.89	221.86	182.55	97.36	244.57	119.26	175.07	163.28	147.06	297.17	180.02	220.32	318.57	299.25	212.78	127.0	397.93	248.0	205.5	229.72	256.78	291.04	155.5	116.78	111.99	162.14	684.02	173.85	204.07	197.09	164.42	215.77	127.0	153.34	224.97	289.02	129.69	221.86	162.14	447.82	133.36	169.07	125.24	154.42	103.69	358.54	104.42	190.34	187.71	147.06	277.2	152.28	339.14	376.41	536.45	325.29	130.6	303.44	241.19	221.86	175.07	234.57	353.59	157.68	318.57	283.05	363.56	255.0	334.46	275.28	126.12	389.72	293.07
SSH1	120.1	194.36	269.6	120.1	158.79	212.78	108.14	79.45	144.01	170.25	134.3	148.09	161.02	134.3	137.14	176.29	108.9	154.42	137.14	177.53	125.24	253.23	271.48	120.94	189.02	65.26	162.14	151.22	242.88	253.23	116.78	158.79	95.34	218.79	157.68	146.03	88.88	129.69	99.43	120.1	134.3	130.6	209.84	157.68	145.02	248.0	202.66	166.73	122.64	152.28	189.02	130.6	169.07	182.55	127.89	164.42	119.26	112.77	170.25	293.07	157.68	153.34	166.73	159.9	142.01	134.3	120.1	181.28	208.38	113.56	170.25	206.94	258.57	138.1	143.01	140.04	116.78	151.22	312.0	164.42	182.55	95.34	126.12	154.42	110.43	232.94	271.48	209.84	164.42	151.22	173.85	136.19	149.12	114.36	236.21	237.86	176.29	177.53	241.19	248.0	138.1	237.86	141.02	91.41	224.97	201.25
STAT5A	376.41	460.44	638.15	353.59	400.71	323.03	381.68	186.4	289.02	334.46	417.77	435.55	507.46	289.02	348.71	368.65	193.01	221.86	297.17	466.88	275.28	599.49	514.56	249.73	397.93	115.16	241.19	395.18	450.94	547.75	323.03	400.71	325.29	417.77	395.18	275.28	253.23	480.04	363.56	265.87	173.85	264.03	441.64	346.29	343.89	470.14	500.46	441.64	351.14	429.54	397.93	366.09	356.05	343.89	423.61	285.03	237.86	163.28	460.44	387.02	480.04	379.04	343.89	269.6	334.46	253.23	267.73	414.87	441.64	376.41	417.77	387.02	591.22	214.27	454.09	332.14	376.41	283.05	532.74	314.17	417.77	305.55	323.03	406.31	271.48	514.56	536.45	511.0	417.77	291.04	463.65	283.05	395.18	262.2	540.19	543.96	406.31	392.44	473.41	941.27	400.71	540.19	332.14	246.28	616.37	323.03
