	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A6.3809.01A.01R.A278.07	TCGA.A6.6780.01A.11R.A278.07	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.139TS.1426.SM.5IFJD	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.2656.01A.02R.A278.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.1313W.0926.SM.5EQ56	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.145MF.0726.SM.5Q5BT	GTEX.T8EM.0326.SM.3DB7F	GTEX.13OW8.1726.SM.5L3GO	TCGA.18.3411.01A.01R.0980.07	TCGA.18.3408.01A.01R.0980.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.BK.A139.01A.11R.A277.07
DOHH	158.79	16.88	27.84	33.06	42.11	373.81	329.84	395.18	384.34	507.46	297.17	679.29	587.13	381.68	463.65	514.56	318.57	521.76	332.14	148.09	191.67	262.2	251.48	395.18	153.34	256.78	173.85	353.59	172.65	264.03	299.25	237.86	138.1	220.32	0.0	291.04	0.38	7.28	19.68	10.55	267.73	137.14	147.06	258.57	218.79	318.57	329.84	94.67	232.94	134.3	152.28	73.54	113.56	2.36	92.05	170.25	12.45	41.52
DUSP23	2319.15	1467.37	723.08	656.11	532.74	3928.15	3325.99	2609.3	3303.0	2384.37	2701.35	8963.45	5555.65	3190.46	3690.52	3716.2	5403.7	5517.27	6983.79	7382.04	7081.29	4481.23	4869.99	9151.82	5403.7	2451.44	2075.59	9025.81	4419.52	2209.26	2104.58	4869.99	2400.97	3280.18	0.0	1909.85	0.67	1477.58	1199.98	1088.92	2119.22	2502.97	1794.29	1447.15	1191.69	4575.41	2777.33	1001.93	5183.54	1286.18	791.35	813.63	1250.98	1250.98	1950.0	2555.58	1143.1	728.11
EPN1	1242.34	753.83	128.79	138.1	1617.0	2417.67	2224.63	3372.43	2875.3	2434.5	2004.85	3589.58	2976.74	2758.13	3124.78	2682.69	3190.46	4010.71	2468.49	3491.39	2875.3	3589.58	2351.53	3146.52	2895.31	1721.16	4038.61	2287.2	1551.09	2178.83	2319.15	3690.52	2664.15	2739.08	1044.52	1936.53	802.41	100.13	486.75	151.22	4512.4	1407.55	954.43	2240.11	1044.52	2573.36	2434.5	967.76	3257.52	928.3	759.08	1350.18	1870.53	323.03	1745.2	1639.59	392.44	256.78
F8A1	825.0	769.69	81.71	24.46	22.43	1427.22	1340.84	507.46	293.07	1551.09	723.08	1674.06	1685.71	1313.23	2485.67	2287.2	1359.57	2133.97	1268.46	1540.37	791.35	395.18	629.35	441.64	1250.98	341.51	356.05	206.94	480.04	836.53	579.04	529.06	1001.93	651.58	0.0	934.76	0.18	47.5	981.29	125.24	571.05	289.02	518.15	480.04	363.56	723.08	669.92	223.41	1135.2	476.71	127.0	336.79	376.41	1662.49	1111.82	567.1	108.14	190.34
FAM173A	567.1	191.67	170.25	158.79	187.71	1331.57	1175.27	1159.07	2047.0	1487.87	536.45	1277.29	1870.53	1322.37	3039.3	1583.71	802.41	1167.14	896.64	454.09	780.44	1051.79	400.71	1417.35	974.5	400.71	607.87	1199.98	708.18	878.17	1096.5	808.0	406.31	651.58	0.0	647.07	0.55	96.01	48.18	59.13	878.17	497.0	579.04	813.63	271.48	1407.55	941.27	241.19	571.05	281.09	206.94	299.25	432.53	4.86	194.36	629.35	32.13	26.28
FAM3A	703.28	825.0	220.32	258.57	379.04	1127.35	988.12	1498.22	1359.57	896.64	1250.98	1397.83	1104.13	1044.52	1991.0	1617.0	961.07	1286.18	2047.0	3443.31	1199.98	1066.48	1487.87	1487.87	2573.36	1023.0	796.86	1104.13	1781.89	1151.06	1369.04	1331.57	624.99	1295.13	0.0	934.76	0.77	223.41	190.34	246.28	1388.16	1096.5	547.75	665.29	684.02	1757.34	1286.18	476.71	1088.92	575.03	460.44	616.37	902.89	511.0	830.75	896.64	173.85	376.41
FARP1	743.43	1991.0	269.6	551.56	1008.9	1857.6	3168.41	1697.45	2193.99	1697.45	2178.83	2075.59	2209.26	2664.15	3124.78	3280.18	2520.38	3349.13	974.5	444.72	1216.75	928.3	1561.89	1350.18	1437.15	780.44	708.18	928.3	1322.37	909.17	620.67	974.5	723.08	872.1	218.79	1008.9	93.35	1030.12	1313.23	698.41	624.99	791.35	1030.12	1259.69	1183.45	1709.26	1104.13	1745.2	1417.35	2148.82	642.59	1304.15	848.22	1208.34	718.08	825.0	3060.45	1572.76
FARSA	638.15	842.36	500.46	647.07	599.49	1104.13	1081.39	1378.57	1159.07	1674.06	1685.71	1662.49	1359.57	1417.35	1135.2	1216.75	1143.1	1397.83	1304.15	651.58	928.3	967.76	884.29	1407.55	981.29	1268.46	733.19	1540.37	1242.34	738.29	1277.29	915.51	753.83	884.29	0.0	802.41	0.0	258.57	265.87	271.48	764.36	759.08	915.51	1417.35	723.08	1044.52	947.83	363.56	1427.22	624.99	748.61	486.75	961.07	273.37	1427.22	791.35	450.94	435.55
FASTK	1467.37	1359.57	339.14	480.04	332.14	2816.11	2573.36	1467.37	1721.16	1651.0	1233.75	1388.16	1745.2	1208.34	2287.2	2835.7	1745.2	2701.35	2303.12	3280.18	2047.0	2351.53	2701.35	3303.0	3303.0	1242.34	1991.0	2701.35	2271.4	1447.15	1594.73	1857.6	854.13	1135.2	0.0	1769.57	0.74	334.46	392.44	400.71	1508.65	1001.93	748.61	2384.37	748.61	2335.28	1427.22	587.13	1844.76	802.41	819.3	753.83	2148.82	389.72	1498.22	1191.69	191.67	444.72
FBXL15	128.79	33.78	64.8	78.89	356.05	363.56	191.67	514.56	314.17	248.0	155.5	555.41	460.44	249.73	698.41	395.18	229.72	473.41	371.22	115.16	152.28	441.64	208.38	329.84	187.71	106.63	167.9	316.37	150.17	329.84	332.14	237.86	253.23	234.57	0.0	358.54	0.57	12.27	16.39	23.93	163.28	293.07	281.09	145.02	88.26	483.38	656.11	193.01	224.97	256.78	84.04	329.84	101.54	6.94	102.97	351.14	17.38	33.78
FKBP2	3955.48	813.63	860.08	796.86	1216.75	5112.16	4836.35	5517.27	4736.79	4450.27	5751.61	4937.99	7081.29	3540.14	12943.04	4869.99	3303.0	4010.71	5147.73	7180.15	7331.05	3901.01	6250.56	6164.49	6887.62	5255.91	2287.2	8840.04	6516.03	3540.14	3820.7	10084.54	5041.77	6164.49	0.0	2796.65	0.87	748.61	902.89	1268.46	3716.2	2520.38	2240.11	3564.78	2758.13	4802.93	2468.49	2004.85	3103.19	2502.97	1037.29	1477.58	2004.85	1135.2	2119.22	2935.74	1143.1	633.73
FKBP8	2485.67	2627.46	567.1	285.03	3639.7	6121.9	6652.97	7589.61	7331.05	6983.79	5517.27	8778.97	7081.29	7433.4	8078.22	7911.95	5711.87	7382.04	4210.15	3742.05	7130.55	3928.15	7749.1	8778.97	7749.1	2664.15	4736.79	6121.9	4388.98	5995.9	9151.82	6840.04	3901.01	5954.47	5872.48	5292.48	3564.78	381.68	693.58	571.05	2417.67	5041.77	4575.41	5403.7	4388.98	4639.29	8479.89	5831.91	8538.88	4123.49	2915.45	5751.61	5255.91	500.46	2485.67	4358.66	684.02	836.53
FTL	783730.52	668235.84	60723.88	81809.59	1221310.69	1422501.74	919186.72	1355129.16	932018.1	998912.34	834179.46	1422501.74	581732.96	1048575.0	373305.21	783730.52	741454.2	992012.34	1123834.93	2111737.85	1327240.99	1452391.55	1393227.06	1055868.42	1514068.5	919186.72	1147449.11	1493223.86	2294899.22	1179708.33	1327240.99	1374046.07	1131651.83	2326934.84	143430.26	998912.34	1936.53	94628.34	215898.44	118949.35	1273174.62	1204496.53	938500.81	1336472.68	938500.81	945028.61	971597.0	932018.1	1327240.99	462789.59	659036.03	1179708.33	971597.0	147462.67	677564.08	971597.0	66912.05	75280.1
GADD45GIP1	1388.16	698.41	1030.12	1037.29	1250.98	2816.11	2956.17	2956.17	3235.01	3190.46	4328.55	3039.3	4607.24	1896.65	3190.46	4038.61	2018.8	3982.99	2502.97	1674.06	2609.3	2758.13	2816.11	4328.55	2701.35	2032.85	1167.14	5995.9	2384.37	1806.78	4298.64	2573.36	1242.34	2061.24	0.0	1277.29	0.74	289.02	228.13	341.51	1896.65	1870.53	1685.71	1583.71	995.0	3235.01	2502.97	733.19	2209.26	1561.89	981.29	769.69	2303.12	457.25	2119.22	2047.0	361.04	607.87
GAS2L1	473.41	205.5	44.89	82.87	305.55	366.09	376.41	441.64	381.68	358.54	122.64	713.11	395.18	231.32	397.93	379.04	438.59	470.14	327.56	583.07	395.18	291.04	269.6	397.93	373.81	177.53	236.21	297.17	163.28	118.43	339.14	273.37	265.87	251.48	0.0	507.46	0.47	25.17	165.57	32.13	295.11	289.02	201.25	748.61	327.56	808.0	718.08	197.09	651.58	127.0	353.59	490.14	563.18	98.04	239.52	376.41	35.76	100.83
GDF15	3820.7	316.37	878.17	214.27	2240.11	7642.41	4937.99	5751.61	9540.5	8078.22	5791.62	21468.49	8247.98	20030.74	3742.05	8247.98	9606.86	4736.79	1151.06	1066.48	819.3	1015.93	4298.64	2271.4	36.79	9215.48	202.66	5255.91	2193.99	1051.79	3280.18	563.18	555.41	1397.83	0.0	1583.71	0.43	106.63	115.97	363.56	3146.52	1350.18	483.38	14065.74	42054.3	2485.67	1250.98	129.69	1697.45	2075.59	376.41	848.22	961.07	89.51	61.25	2485.67	131.51	688.78
GFER	988.12	532.74	693.58	511.0	447.82	848.22	915.51	743.43	1369.04	1259.69	860.08	921.88	1331.57	1135.2	1268.46	1096.5	733.19	1023.0	1119.56	884.29	1498.22	1183.45	583.07	1304.15	1250.98	713.11	819.3	1628.26	1127.35	934.76	1467.37	961.07	511.0	536.45	902.89	551.56	178.77	295.11	343.89	387.02	981.29	543.96	708.18	896.64	460.44	954.43	941.27	223.41	890.44	511.0	351.14	665.29	536.45	202.66	432.53	733.19	281.09	312.0
GHDC	543.96	336.79	165.57	181.28	127.0	1437.15	1508.65	1088.92	1733.13	1950.0	1529.73	1617.0	974.5	1498.22	3280.18	2032.85	1359.57	1936.53	432.53	507.46	473.41	285.03	563.18	483.38	791.35	400.71	612.11	450.94	392.44	325.29	563.18	591.22	599.49	764.36	480.04	651.58	1639.59	85.82	170.25	137.14	583.07	579.04	381.68	1081.39	651.58	764.36	1407.55	497.0	748.61	260.38	392.44	748.61	356.05	78.89	229.72	521.76	92.05	117.6
GNPTG	3325.99	1583.71	718.08	872.1	435.55	5255.91	3955.48	3690.52	5954.47	6207.38	3467.27	3820.7	4419.52	5403.7	11189.6	6164.49	2400.97	3614.55	3168.41	2255.7	3901.01	3060.45	2148.82	4358.66	3235.01	1605.83	2555.58	3419.52	1781.89	2502.97	7081.29	2895.31	2915.45	3280.18	0.0	2335.28	0.88	656.11	688.78	947.83	1857.6	2664.15	2468.49	3794.3	2319.15	3395.89	3235.01	2835.7	2739.08	1259.69	1268.46	2384.37	1119.56	718.08	688.78	2335.28	688.78	603.67
GPATCH3	223.41	121.79	156.59	180.02	53.19	251.48	281.09	281.09	165.57	255.0	242.88	346.29	256.78	262.2	211.31	301.33	253.23	341.51	248.0	229.72	293.07	275.28	220.32	239.52	473.41	629.35	447.82	830.75	229.72	228.13	327.56	177.53	197.09	185.11	0.0	273.37	0.0	103.69	110.43	163.28	181.28	265.87	239.52	327.56	171.45	214.27	353.59	151.22	251.48	109.66	158.79	199.85	183.82	82.87	158.79	224.97	223.41	169.07
GPR137	1023.0	567.1	110.43	201.25	161.02	1073.91	934.76	1175.27	1023.0	1208.34	1151.06	1359.57	1225.22	1447.15	2075.59	1397.83	1199.98	1277.29	633.73	529.06	928.3	884.29	620.67	1359.57	1572.76	532.74	480.04	738.29	633.73	463.65	591.22	1277.29	620.67	679.29	0.0	830.75	0.62	61.68	323.03	110.43	830.75	603.67	417.77	934.76	511.0	1044.52	961.07	314.17	1896.65	420.68	414.87	417.77	591.22	212.78	660.68	616.37	167.9	134.3
HIGD2A	1909.85	2682.69	1923.14	1794.29	2271.4	6983.79	6164.49	6561.36	7803.01	8658.09	6079.61	7966.99	8479.89	6250.56	6607.01	6516.03	5479.15	7695.57	4639.29	5329.3	5112.16	4512.4	4095.0	6840.04	4972.34	4010.71	2720.15	8901.53	2976.74	3124.78	7966.99	6699.25	3372.43	4450.27	0.0	3467.27	0.88	1051.79	2061.24	934.76	1806.78	4123.49	4903.87	4210.15	2796.65	4358.66	7589.61	3257.52	4210.15	3372.43	3589.58	3325.99	2287.2	1295.13	3589.58	3982.99	780.44	1081.39
HMOX2	1119.56	1119.56	1242.34	1322.37	2502.97	1977.24	2335.28	1457.23	3847.29	2502.97	1594.73	2400.97	2434.5	2224.63	2935.74	2287.2	1561.89	1909.85	1769.57	1977.24	1487.87	2148.82	633.73	1685.71	1340.84	1378.57	1651.0	1662.49	1359.57	2451.44	2682.69	2240.11	1674.06	1721.16	0.0	1378.57	0.73	1008.9	1259.69	1286.18	1628.26	1286.18	1388.16	1151.06	438.59	1467.37	2148.82	1008.9	1794.29	941.27	1583.71	1662.49	1216.75	2032.85	836.53	1498.22	738.29	1119.56
IDH3G	1051.79	1617.0	860.08	981.29	536.45	1639.59	1757.34	2075.59	2351.53	3124.78	2520.38	2895.31	2178.83	3820.7	5041.77	2133.97	1651.0	2032.85	2796.65	1233.75	1551.09	1378.57	665.29	1977.24	836.53	1151.06	595.34	1447.15	819.3	902.89	2335.28	872.1	842.36	866.07	0.0	1216.75	0.93	753.83	703.28	884.29	1191.69	1119.56	995.0	1225.22	514.56	1183.45	1651.0	1572.76	1896.65	1111.82	1159.07	1437.15	860.08	1216.75	1259.69	1286.18	656.11	1175.27
ILVBL	769.69	1167.14	303.44	830.75	260.38	1183.45	1551.09	1909.85	2502.97	2090.03	1551.09	2816.11	1963.57	1498.22	1685.71	1498.22	1540.37	1936.53	1498.22	693.58	830.75	1250.98	1572.76	1857.6	1183.45	848.22	753.83	981.29	1167.14	1651.0	2796.65	1950.0	1832.01	2255.7	0.0	764.36	0.56	256.78	256.78	348.71	379.04	902.89	616.37	947.83	595.34	872.1	1277.29	423.61	1551.09	579.04	674.59	665.29	4010.71	297.17	921.88	743.43	164.42	285.03
KIAA2013	1286.18	555.41	486.75	379.04	819.3	909.17	1059.11	1216.75	1259.69	961.07	825.0	1417.35	1151.06	1104.13	854.13	1259.69	1199.98	1313.23	1030.12	1572.76	1119.56	1417.35	819.3	684.02	1487.87	780.44	2351.53	1870.53	934.76	1081.39	1167.14	1757.34	1721.16	1651.0	0.0	928.3	0.32	215.77	476.71	295.11	941.27	791.35	616.37	896.64	934.76	1015.93	1561.89	567.1	1001.93	521.76	748.61	738.29	759.08	299.25	591.22	759.08	397.93	358.54
LMAN2	2976.74	6037.61	2400.97	2417.67	1883.54	6745.86	4802.93	5555.65	8840.04	7280.4	4095.0	7911.95	4328.55	7911.95	8247.98	5076.84	4671.57	7230.1	8658.09	7695.57	8538.88	7382.04	7911.95	8134.41	5329.3	8247.98	5255.91	14971.21	6250.56	3874.05	4802.93	6426.31	6887.62	6652.97	4298.64	3349.13	255.0	2451.44	2351.53	2351.53	3235.01	4836.35	2468.49	4010.71	6337.83	2591.27	3419.52	3039.3	5041.77	4268.94	3372.43	3018.3	3303.0	2209.26	3982.99	4239.45	2485.67	1697.45
LMF1	183.82	206.94	58.71	37.59	41.22	743.43	775.05	514.56	1304.15	708.18	373.81	1104.13	878.17	693.58	1015.93	988.12	454.09	854.13	314.17	329.84	334.46	473.41	529.06	381.68	329.84	77.25	264.03	84.04	507.46	336.79	242.88	679.29	497.0	503.95	0.0	341.51	0.58	127.0	275.28	202.66	229.72	289.02	122.64	237.86	264.03	412.0	753.83	400.71	346.29	500.46	307.69	406.31	120.94	187.71	121.79	262.2	34.02	71.0
LTC4S	32.36	26.47	0.0	0.0	58.3	343.89	166.73	624.99	1001.93	74.06	109.66	368.65	483.38	460.44	120.1	395.18	251.48	476.71	120.94	8.85	34.02	53.57	39.79	74.58	39.79	82.87	15.0	32.82	23.42	33.78	332.14	90.77	120.1	77.79	0.0	269.6	0.17	3.26	28.86	6.89	57.49	231.32	281.09	161.02	66.18	193.01	454.09	395.18	71.0	204.07	151.22	170.25	26.67	0.0	36.27	293.07	0.0	0.0
MED16	299.25	366.09	66.18	96.68	307.69	656.11	713.11	934.76	785.88	872.1	974.5	1037.29	896.64	738.29	974.5	764.36	819.3	1023.0	638.15	348.71	543.96	836.53	1015.93	599.49	587.13	559.28	679.29	753.83	607.87	633.73	599.49	854.13	647.07	669.92	0.0	642.59	0.64	24.81	94.67	35.5	521.76	595.34	217.27	503.95	511.0	802.41	1104.13	343.89	1388.16	466.88	493.56	438.59	316.37	132.44	255.0	511.0	64.34	171.45
MFSD12	579.04	293.07	470.14	693.58	954.43	2417.67	2956.17	2148.82	3589.58	2104.58	3146.52	1977.24	2956.17	3443.31	2855.44	3081.75	2895.31	2434.5	2032.85	665.29	1191.69	1909.85	624.99	2018.8	511.0	525.39	490.14	808.0	842.36	387.02	1685.71	819.3	406.31	551.56	0.0	2319.15	0.87	262.2	327.56	389.72	511.0	1030.12	2351.53	1844.76	503.95	1617.0	941.27	1295.13	2209.26	642.59	441.64	3515.68	543.96	167.9	507.46	1191.69	293.07	490.14
MOSPD3	785.88	507.46	46.84	75.11	273.37	1088.92	866.07	743.43	708.18	567.1	890.44	656.11	507.46	764.36	1104.13	1369.04	819.3	1111.82	703.28	718.08	1233.75	1111.82	1059.11	1030.12	1286.18	262.2	733.19	896.64	555.41	708.18	432.53	896.64	540.19	679.29	0.0	511.0	0.51	197.09	366.09	118.43	1216.75	420.68	738.29	376.41	271.48	514.56	1407.55	460.44	1268.46	579.04	346.29	400.71	511.0	279.14	490.14	536.45	149.12	228.13
MPND	291.04	432.53	79.45	146.03	454.09	884.29	981.29	1088.92	921.88	848.22	974.5	1001.93	1037.29	890.44	1096.5	934.76	748.61	1127.35	1216.75	262.2	974.5	1819.35	1529.73	2047.0	738.29	497.0	529.06	902.89	915.51	1388.16	575.03	1111.82	1066.48	884.29	0.0	802.41	0.16	77.79	120.1	134.3	358.54	441.64	769.69	595.34	409.15	802.41	1295.13	457.25	1208.34	466.88	334.46	579.04	226.54	117.6	414.87	599.49	85.22	208.38
MRPL28	2193.99	947.83	1259.69	802.41	299.25	2758.13	3564.78	2287.2	5219.6	4419.52	2351.53	3039.3	4038.61	3124.78	5255.91	3639.7	2047.0	3491.39	2224.63	1909.85	2935.74	2209.26	1529.73	3280.18	2758.13	1572.76	1781.89	3443.31	2104.58	2335.28	5872.48	2287.2	1457.23	2004.85	0.0	1529.73	0.89	518.15	934.76	813.63	2271.4	1427.22	1081.39	1639.59	836.53	2319.15	2555.58	872.1	3124.78	1015.93	679.29	1023.0	1594.73	878.17	1417.35	1628.26	854.13	540.19
MTX1	1857.6	1286.18	599.49	854.13	1259.69	2032.85	1950.0	1844.76	2104.58	2119.22	2018.8	2018.8	2178.83	1651.0	2119.22	2148.82	1467.37	2335.28	1457.23	1617.0	2720.15	1008.9	2434.5	2367.9	1923.14	1572.76	2335.28	2777.33	1051.79	1127.35	2645.74	1359.57	961.07	1359.57	0.0	1268.46	0.52	1167.14	764.36	860.08	1407.55	1331.57	842.36	1250.98	713.11	1081.39	1397.83	842.36	1733.13	1111.82	1225.22	825.0	2119.22	988.12	1857.6	1216.75	679.29	1233.75
MVB12A	947.83	780.44	392.44	441.64	346.29	1467.37	1427.22	1529.73	2148.82	2061.24	1936.53	2271.4	2335.28	2004.85	1794.29	1674.06	1662.49	1923.14	1225.22	226.54	1135.2	1233.75	967.76	1350.18	1540.37	273.37	819.3	1832.01	769.69	583.07	1498.22	1757.34	490.14	567.1	0.0	1015.93	0.67	241.19	271.48	271.48	165.57	1135.2	612.11	1151.06	518.15	1806.78	2209.26	417.77	2271.4	669.92	708.18	775.05	1936.53	295.11	764.36	1051.79	511.0	381.68
NDUFA2	1407.55	1388.16	1359.57	974.5	2502.97	5147.73	4802.93	3639.7	6337.83	6699.25	6079.61	3928.15	5995.9	3874.05	3982.99	4607.24	2739.08	4239.45	2956.17	3168.41	3768.09	3280.18	3982.99	4704.07	4095.0	3060.45	3212.66	8191.0	3419.52	2645.74	5831.91	6164.49	3349.13	3491.39	0.0	1977.24	0.84	1388.16	1313.23	1159.07	2303.12	3589.58	3395.89	3039.3	1250.98	4512.4	4152.18	723.08	4358.66	2485.67	1023.0	1628.26	1605.83	1313.23	2287.2	2895.31	521.76	878.17
NDUFS7	1044.52	909.17	100.13	232.94	638.15	3589.58	3349.13	4769.75	6250.56	6207.38	4802.93	6887.62	6607.01	4481.23	5006.93	3955.48	3847.29	4671.57	3716.2	1651.0	3081.75	3639.7	3794.3	6426.31	1594.73	1551.09	1561.89	4639.29	2956.17	3372.43	11035.54	5403.7	3039.3	4769.75	2468.49	1733.13	703.28	29.06	145.02	29.91	934.76	1883.54	1519.15	1628.26	1896.65	3257.52	3060.45	1407.55	3103.19	1199.98	1066.48	1359.57	1359.57	15.45	1331.57	1896.65	51.35	193.01
NDUFS8	3564.78	1923.14	1508.65	1662.49	1286.18	5995.9	6121.9	6887.62	9279.58	10733.74	10296.45	10296.45	11909.94	6561.36	13033.07	8078.22	5147.73	7589.61	3847.29	4481.23	6037.61	3820.7	2796.65	5183.54	3212.66	2609.3	2240.11	8191.0	2682.69	2758.13	10659.59	4419.52	2468.49	3443.31	0.0	2520.38	0.75	1051.79	1594.73	1757.34	4671.57	3257.52	2319.15	3235.01	1639.59	5329.3	3690.52	1397.83	3847.29	1721.16	1844.76	2400.97	3039.3	1066.48	3372.43	3235.01	1407.55	1870.53
NFKBIL1	490.14	89.51	120.1	123.5	255.0	476.71	559.28	723.08	432.53	543.96	579.04	830.75	679.29	395.18	412.0	603.67	551.56	624.99	395.18	403.5	651.58	454.09	587.13	466.88	902.89	603.67	493.56	1417.35	447.82	339.14	293.07	493.56	281.09	232.94	0.0	476.71	0.6	153.34	82.87	99.43	389.72	356.05	267.73	376.41	387.02	493.56	743.43	164.42	432.53	251.48	151.22	466.88	189.02	124.37	176.29	432.53	158.79	161.02
NLRX1	201.25	199.85	62.12	103.69	13.32	336.79	303.44	336.79	277.2	507.46	363.56	275.28	166.73	371.22	819.3	447.82	457.25	500.46	178.77	136.19	171.45	120.94	109.66	209.84	301.33	123.5	78.89	157.68	106.63	147.06	518.15	162.14	289.02	180.02	0.0	265.87	0.1	39.79	329.84	119.26	108.14	189.02	143.01	244.57	226.54	248.0	332.14	117.6	339.14	249.73	166.73	169.07	153.34	114.36	181.28	197.09	139.07	170.25
NOC4L	432.53	218.79	93.35	172.65	312.0	718.08	748.61	532.74	603.67	1030.12	476.71	796.86	733.19	651.58	921.88	543.96	713.11	785.88	656.11	392.44	397.93	753.83	599.49	708.18	351.14	532.74	441.64	1685.71	497.0	579.04	612.11	412.0	339.14	299.25	0.0	483.38	0.58	46.84	66.65	47.5	579.04	305.55	262.2	309.83	318.57	1001.93	480.04	260.38	551.56	303.44	269.6	237.86	363.56	77.79	483.38	329.84	75.64	64.8
OGFOD3	738.29	314.17	325.29	279.14	151.22	825.0	780.44	1059.11	454.09	988.12	884.29	1313.23	1259.69	764.36	1819.35	1001.93	802.41	1331.57	688.78	698.41	575.03	595.34	497.0	1081.39	1151.06	500.46	332.14	1605.83	470.14	647.07	583.07	995.0	500.46	555.41	0.0	738.29	0.66	223.41	217.27	400.71	738.29	629.35	669.92	759.08	743.43	915.51	808.0	392.44	896.64	624.99	470.14	497.0	368.65	312.0	361.04	624.99	297.17	178.77
PAOX	154.42	49.21	38.95	40.64	40.93	231.32	297.17	248.0	444.72	273.37	312.0	258.57	373.81	307.69	432.53	229.72	231.32	246.28	148.09	221.86	325.29	414.87	341.51	316.37	198.47	98.04	384.34	283.05	208.38	329.84	171.45	256.78	318.57	521.76	0.0	154.42	0.16	39.79	50.63	59.13	47.5	90.14	149.12	167.9	76.17	356.05	199.85	67.59	193.01	66.18	53.95	115.16	98.73	52.82	73.03	132.44	49.56	71.0
PEX14	551.56	185.11	176.29	236.21	96.01	463.65	507.46	450.94	559.28	521.76	669.92	555.41	575.03	432.53	454.09	674.59	571.05	651.58	429.54	403.5	314.17	514.56	156.59	351.14	1183.45	441.64	629.35	703.28	555.41	529.06	780.44	961.07	708.18	493.56	303.44	423.61	295.11	124.37	142.01	133.36	305.55	381.68	1447.15	450.94	309.83	476.71	909.17	511.0	507.46	638.15	325.29	633.73	201.25	54.33	260.38	384.34	150.17	186.4
PGLS	1073.91	1417.35	633.73	693.58	988.12	2573.36	2032.85	2720.15	2835.7	2720.15	2915.45	4298.64	3303.0	2417.67	4010.71	3589.58	2875.3	4181.07	1844.76	848.22	1628.26	2133.97	1427.22	2720.15	2209.26	1447.15	759.08	2287.2	1745.2	1936.53	3039.3	2047.0	1015.93	1540.37	0.0	2287.2	0.47	480.04	674.59	764.36	934.76	2032.85	1794.29	2061.24	941.27	2555.58	3955.48	1015.93	2367.9	1407.55	1304.15	1331.57	3303.0	532.74	1088.92	2240.11	1111.82	525.39
PHPT1	1662.49	796.86	928.3	928.3	1378.57	5076.84	4512.4	4481.23	5672.41	5366.37	7032.37	6887.62	4802.93	5112.16	3820.7	5913.33	3491.39	5954.47	4038.61	7130.55	3280.18	2224.63	2520.38	4298.64	4639.29	3847.29	3467.27	7485.11	1733.13	1066.48	2645.74	1457.23	1015.93	718.08	1051.79	2434.5	878.17	872.1	688.78	1051.79	2591.27	3419.52	2400.97	5594.3	3395.89	4123.49	2090.03	1447.15	4639.29	1819.35	1313.23	1857.6	3372.43	493.56	1639.59	3847.29	327.56	571.05
