	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.W5X1.2326.SM.3GIL6	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.PX3G.0826.SM.48TZS	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH
MFN1	738.29	842.36	514.56	567.1	547.75	718.08	1199.98	642.59	603.67	1037.29	743.43	547.75	842.36	624.99	1250.98	753.83	1088.92	129.69	303.44	450.94	412.0	81.71	125.24	231.32	190.34	95.34	201.25	155.5	141.02	153.34	201.25	115.97	145.02	148.09	127.0	201.25	75.64	109.66	253.23	115.16	113.56	132.44	164.42	120.1	167.9	141.02	244.57	287.01	51.71	201.25	98.04	194.36	157.68
MIB1	1397.83	514.56	289.02	325.29	316.37	457.25	473.41	466.88	426.57	674.59	543.96	316.37	463.65	493.56	660.68	612.11	693.58	49.56	275.28	480.04	417.77	46.18	95.34	175.07	71.5	86.43	68.07	72.01	93.35	176.29	103.69	73.03	155.5	80.01	67.12	116.78	88.88	88.26	97.36	176.29	112.77	88.88	143.01	60.39	88.26	59.13	256.78	83.45	95.34	209.84	41.52	102.97	249.73
MSL3	323.03	532.74	476.71	500.46	438.59	543.96	624.99	571.05	551.56	775.05	708.18	438.59	599.49	547.75	656.11	543.96	836.53	176.29	444.72	309.83	320.8	114.36	149.12	303.44	153.34	220.32	262.2	255.0	102.97	217.27	209.84	111.21	262.2	175.07	156.59	273.37	193.01	187.71	271.48	244.57	185.11	215.77	256.78	242.88	146.03	170.25	307.69	229.72	98.04	291.04	170.25	202.66	164.42
NUP153	860.08	796.86	397.93	503.95	536.45	595.34	791.35	616.37	620.67	1088.92	679.29	536.45	813.63	559.28	848.22	579.04	1037.29	103.69	583.07	346.29	612.11	144.01	173.85	271.48	163.28	228.13	153.34	251.48	164.42	293.07	212.78	169.07	175.07	212.78	159.9	262.2	204.07	202.66	246.28	186.4	224.97	206.94	314.17	108.9	186.4	271.48	371.22	142.01	154.42	320.8	368.65	181.28	241.19
OSBPL8	1769.57	743.43	336.79	490.14	647.07	665.29	769.69	616.37	738.29	981.29	842.36	647.07	679.29	693.58	872.1	753.83	2935.74	57.49	363.56	318.57	387.02	26.86	152.28	226.54	105.89	86.43	42.41	155.5	84.04	220.32	141.02	83.45	164.42	93.35	84.63	166.73	127.89	121.79	193.01	119.26	140.04	82.29	199.85	102.97	107.38	127.0	199.85	150.17	129.69	262.2	183.82	180.02	232.94
PAPD4	1313.23	941.27	830.75	669.92	884.29	981.29	1127.35	819.3	896.64	1191.69	1030.12	884.29	1135.2	830.75	1359.57	723.08	1313.23	264.03	536.45	559.28	392.44	130.6	239.52	559.28	283.05	327.56	279.14	432.53	287.01	409.15	432.53	329.84	356.05	348.71	285.03	514.56	205.5	264.03	381.68	444.72	249.73	395.18	529.06	358.54	356.05	291.04	514.56	518.15	332.14	514.56	343.89	334.46	353.59
PARN	1073.91	748.61	723.08	836.53	808.0	728.11	842.36	753.83	688.78	866.07	753.83	808.0	896.64	679.29	947.83	981.29	981.29	256.78	363.56	493.56	473.41	260.38	420.68	414.87	246.28	397.93	346.29	339.14	209.84	291.04	232.94	264.03	441.64	343.89	262.2	420.68	211.31	211.31	406.31	426.57	325.29	301.33	295.11	336.79	279.14	244.57	429.54	305.55	221.86	265.87	199.85	387.02	320.8
PHIP	1096.5	543.96	244.57	381.68	299.25	547.75	587.13	435.55	503.95	872.1	620.67	299.25	688.78	493.56	769.69	529.06	780.44	22.26	211.31	180.02	231.32	9.63	77.79	85.22	54.72	29.7	24.11	95.34	40.07	93.35	70.01	24.28	49.21	43.32	40.64	87.03	22.92	33.78	115.16	63.0	28.45	64.34	78.34	32.13	78.89	54.72	114.36	55.1	14.45	94.01	27.64	62.56	61.68
PIKFYVE	483.38	239.52	162.14	204.07	231.32	253.23	348.71	226.54	246.28	351.14	305.55	231.32	206.94	236.21	279.14	285.03	329.84	42.41	142.01	178.77	187.71	28.86	61.25	94.01	109.66	37.59	108.14	63.0	66.65	96.68	59.13	54.72	89.51	74.58	47.5	81.71	38.12	75.64	89.51	121.79	75.11	79.45	74.58	73.54	57.89	52.08	117.6	98.73	26.47	176.29	47.84	71.0	110.43
POLK	503.95	384.34	301.33	318.57	285.03	389.72	490.14	341.51	381.68	620.67	435.55	285.03	457.25	339.14	540.19	314.17	866.07	63.89	208.38	283.05	146.03	18.29	155.5	141.02	105.89	42.71	92.05	166.73	71.5	161.02	138.1	117.6	94.67	102.25	48.52	131.51	39.22	111.21	134.3	154.42	84.04	105.15	87.65	138.1	115.97	127.89	147.06	236.21	32.13	209.84	67.59	84.63	163.28
PPP1R12A	1340.84	1037.29	493.56	753.83	540.19	1127.35	884.29	1111.82	1051.79	1457.23	1519.15	540.19	1023.0	921.88	1088.92	1250.98	2682.69	84.63	384.34	373.81	363.56	30.34	176.29	163.28	123.5	87.65	89.51	162.14	122.64	198.47	77.25	117.6	187.71	104.42	68.55	255.0	74.06	100.83	249.73	140.04	117.6	182.55	172.65	147.06	195.72	171.45	258.57	169.07	71.0	265.87	141.02	162.14	129.69
PPP3CB	1313.23	974.5	785.88	836.53	1183.45	915.51	1066.48	967.76	1001.93	1304.15	947.83	1183.45	961.07	921.88	1519.15	1066.48	3639.7	127.89	656.11	397.93	500.46	204.07	236.21	381.68	191.67	221.86	249.73	307.69	218.79	366.09	305.55	339.14	291.04	209.84	281.09	341.51	264.03	223.41	314.17	441.64	255.0	201.25	287.01	265.87	217.27	144.01	312.0	325.29	167.9	389.72	152.28	241.19	403.5
PTBP3	1709.26	836.53	543.96	457.25	693.58	665.29	1044.52	642.59	769.69	1233.75	878.17	693.58	785.88	775.05	733.19	669.92	896.64	65.72	583.07	507.46	802.41	57.49	152.28	277.2	94.01	108.14	63.89	149.12	177.53	356.05	148.09	78.89	154.42	108.9	125.24	143.01	115.16	86.43	204.07	208.38	153.34	78.89	239.52	185.11	204.07	141.02	208.38	177.53	104.42	248.0	159.9	228.13	162.14
PUM1	1685.71	1605.83	743.43	1096.5	1143.1	1467.37	1457.23	1183.45	1617.0	1685.71	1781.89	1143.1	1721.16	1457.23	1651.0	1498.22	1369.04	164.42	656.11	647.07	688.78	228.13	327.56	603.67	518.15	277.2	305.55	518.15	248.0	536.45	358.54	336.79	438.59	476.71	289.02	660.68	325.29	309.83	470.14	466.88	420.68	351.14	358.54	417.77	316.37	309.83	423.61	329.84	285.03	813.63	262.2	583.07	490.14
PUM2	2090.03	1794.29	1104.13	1313.23	1088.92	1685.71	1733.13	1457.23	1447.15	2193.99	1909.85	1088.92	1757.34	1594.73	1832.01	1745.2	3325.99	299.25	1216.75	819.3	1437.15	291.04	323.03	825.0	466.88	343.89	327.56	679.29	387.02	536.45	656.11	435.55	638.15	571.05	536.45	718.08	483.38	373.81	518.15	603.67	450.94	483.38	595.34	373.81	450.94	343.89	830.75	612.11	511.0	961.07	387.02	660.68	753.83
RAB11FIP2	358.54	275.28	109.66	236.21	228.13	265.87	325.29	204.07	255.0	395.18	309.83	228.13	256.78	224.97	348.71	241.19	753.83	28.45	115.97	90.77	97.36	13.42	61.25	74.06	39.79	36.01	33.3	55.89	39.22	67.12	27.05	41.52	96.01	49.91	49.91	80.57	23.59	55.49	43.02	52.45	42.41	61.68	51.71	35.0	38.67	29.27	75.11	79.45	22.1	64.8	15.0	41.81	50.27
RAB28	420.68	409.15	314.17	341.51	320.8	381.68	423.61	381.68	343.89	567.1	447.82	320.8	417.77	343.89	616.37	403.5	921.88	96.01	244.57	226.54	236.21	118.43	141.02	172.65	127.89	92.7	140.04	163.28	142.01	218.79	156.59	136.19	171.45	92.7	153.34	161.02	115.97	116.78	176.29	182.55	106.63	159.9	123.5	146.03	169.07	121.79	206.94	201.25	92.7	212.78	115.16	185.11	236.21
RAB3GAP1	967.76	802.41	612.11	688.78	703.28	813.63	748.61	759.08	733.19	928.3	909.17	703.28	902.89	848.22	1191.69	1096.5	1277.29	258.57	412.0	348.71	406.31	189.02	190.34	314.17	169.07	218.79	255.0	246.28	223.41	221.86	193.01	194.36	291.04	208.38	183.82	373.81	228.13	273.37	223.41	417.77	366.09	205.5	307.69	239.52	162.14	166.73	379.04	244.57	182.55	361.04	191.67	262.2	232.94
RASA2	381.68	384.34	149.12	208.38	156.59	334.46	305.55	279.14	275.28	514.56	353.59	156.59	381.68	239.52	493.56	316.37	432.53	24.11	140.04	106.63	97.36	18.43	75.64	91.41	34.02	32.13	39.5	81.71	40.07	89.51	60.82	40.07	81.14	29.7	54.33	69.03	56.28	57.49	95.34	67.59	34.02	91.41	48.52	51.35	67.12	53.57	99.43	60.39	36.01	99.43	84.04	81.14	59.97
REST	947.83	329.84	312.0	267.73	273.37	389.72	476.71	316.37	389.72	435.55	457.25	273.37	376.41	432.53	392.44	587.13	669.92	43.63	279.14	178.77	194.36	28.65	83.45	169.07	113.56	75.11	63.45	130.6	83.45	139.07	105.89	111.99	158.79	94.01	71.5	148.09	32.59	100.13	81.71	105.15	112.77	166.73	142.01	91.41	92.05	62.56	173.85	154.42	28.86	149.12	37.05	118.43	100.13
RIF1	1015.93	406.31	198.47	320.8	212.78	420.68	525.39	373.81	332.14	684.02	444.72	212.78	521.76	348.71	559.28	361.04	764.36	39.79	189.02	194.36	255.0	14.03	50.27	100.83	48.87	36.53	44.25	55.89	29.27	58.71	45.21	41.22	39.22	47.17	33.78	71.5	35.25	64.34	60.39	65.26	34.51	68.55	43.94	110.43	51.35	68.07	60.82	57.08	21.16	103.69	73.03	58.71	152.28
ROCK1	684.02	476.71	414.87	450.94	463.65	529.06	718.08	470.14	500.46	708.18	567.1	463.65	563.18	497.0	642.59	518.15	954.43	75.11	295.11	366.09	438.59	31.0	231.32	194.36	90.14	82.29	95.34	88.88	121.79	223.41	181.28	92.05	197.09	103.69	120.1	142.01	118.43	115.16	204.07	126.12	119.26	80.57	116.78	119.26	194.36	205.5	228.13	159.9	70.51	301.33	119.26	145.02	189.02
ROCK2	616.37	599.49	242.88	587.13	575.03	473.41	647.07	470.14	529.06	836.53	616.37	575.03	563.18	463.65	395.18	379.04	708.18	76.17	301.33	281.09	368.65	31.45	95.34	234.57	172.65	63.45	98.04	122.64	134.3	172.65	76.71	87.65	131.51	104.42	100.13	220.32	81.71	131.51	162.14	150.17	134.3	100.13	117.6	111.99	121.79	147.06	107.38	156.59	55.89	264.03	327.56	197.09	141.02
RSRC2	1191.69	1617.0	1794.29	1909.85	1359.57	2018.8	1697.45	1936.53	2047.0	2061.24	2434.5	1359.57	3124.78	1896.65	2400.97	2133.97	2303.12	808.0	1529.73	1023.0	1781.89	309.83	723.08	791.35	684.02	507.46	748.61	775.05	435.55	624.99	723.08	587.13	796.86	551.56	536.45	1143.1	698.41	647.07	679.29	825.0	414.87	759.08	547.75	473.41	629.35	753.83	902.89	961.07	490.14	1104.13	555.41	723.08	693.58
SENP7	507.46	307.69	186.4	260.38	231.32	406.31	417.77	341.51	269.6	679.29	414.87	231.32	438.59	348.71	603.67	571.05	836.53	35.5	220.32	126.12	177.53	15.91	43.02	99.43	69.52	29.7	65.26	147.06	72.01	73.54	70.01	52.45	64.8	63.45	74.58	97.36	31.0	63.89	111.21	75.11	64.34	82.87	144.01	53.57	51.71	50.27	134.3	116.78	18.84	144.01	44.89	87.65	82.87
SHPRH	521.76	269.6	107.38	206.94	131.51	239.52	273.37	204.07	236.21	429.54	264.03	131.51	301.33	187.71	305.55	329.84	309.83	9.7	98.73	56.28	96.01	5.23	33.78	30.34	22.59	16.15	20.71	39.22	18.03	33.06	34.75	32.59	19.97	15.11	16.51	50.98	27.84	16.75	35.0	28.86	21.16	43.02	34.51	25.35	58.71	47.5	44.89	35.5	7.22	43.32	6.73	22.75	22.59
SOCS5	514.56	543.96	323.03	426.57	470.14	547.75	500.46	591.22	543.96	796.86	571.05	470.14	583.07	493.56	525.39	507.46	1119.56	33.78	265.87	237.86	253.23	38.67	82.87	90.77	88.88	43.02	52.08	92.7	74.58	116.78	96.01	38.67	96.01	64.34	61.68	78.34	56.28	77.79	66.65	81.14	47.5	61.25	60.39	82.87	78.34	71.0	121.79	120.94	38.67	141.02	44.57	90.14	108.9
SP3	2485.67	1340.84	988.12	928.3	941.27	1407.55	1883.54	1388.16	1183.45	2047.0	1477.58	941.27	1498.22	1662.49	1572.76	1594.73	2816.11	191.67	1023.0	967.76	1167.14	155.5	307.69	511.0	395.18	384.34	318.57	417.77	316.37	713.11	486.75	187.71	447.82	384.34	327.56	397.93	277.2	293.07	457.25	358.54	301.33	406.31	698.41	387.02	403.5	256.78	928.3	371.22	277.2	813.63	156.59	624.99	674.59
SPOPL	1378.57	429.54	403.5	417.77	435.55	647.07	759.08	480.04	466.88	647.07	629.35	435.55	476.71	559.28	796.86	921.88	934.76	49.56	301.33	234.57	363.56	50.63	85.82	147.06	92.05	64.8	82.87	89.51	67.59	186.4	111.21	72.01	118.43	90.77	57.89	108.14	82.87	75.11	88.88	115.97	108.14	37.59	121.79	116.78	108.9	70.01	133.36	121.79	61.68	190.34	26.86	108.9	173.85
SRSF10	1388.16	1909.85	1397.83	1844.76	1250.98	1781.89	2119.22	1963.57	1769.57	3103.19	2075.59	1250.98	2664.15	1870.53	1909.85	1651.0	2573.36	295.11	1508.65	1427.22	1519.15	514.56	941.27	808.0	775.05	503.95	616.37	988.12	703.28	890.44	785.88	633.73	1191.69	674.59	638.15	878.17	493.56	713.11	836.53	954.43	703.28	764.36	842.36	872.1	830.75	909.17	1378.57	1104.13	483.38	1111.82	674.59	1151.06	1015.93
STAM2	819.3	435.55	366.09	435.55	426.57	486.75	624.99	500.46	438.59	624.99	567.1	426.57	486.75	551.56	651.58	854.13	890.44	85.82	279.14	293.07	303.44	49.91	137.14	155.5	116.78	99.43	151.22	151.22	73.03	158.79	171.45	104.42	162.14	124.37	111.99	171.45	59.97	101.54	139.07	170.25	121.79	144.01	129.69	134.3	155.5	171.45	205.5	150.17	59.13	178.77	62.56	163.28	133.36
STRN	497.0	368.65	229.72	262.2	289.02	339.14	447.82	283.05	334.46	470.14	429.54	289.02	435.55	327.56	429.54	346.29	591.22	42.41	145.02	120.94	172.65	29.06	88.88	97.36	53.57	38.12	48.87	120.94	60.82	90.14	61.68	68.55	73.03	94.67	104.42	95.34	74.06	63.89	98.73	96.68	46.84	90.14	107.38	57.49	77.79	87.65	87.65	82.87	38.95	105.15	113.56	108.14	75.64
STXBP3	1096.5	1044.52	656.11	854.13	791.35	1037.29	1135.2	981.29	860.08	1477.58	1151.06	791.35	1340.84	902.89	1277.29	1023.0	1674.06	202.66	454.09	579.04	543.96	153.34	343.89	420.68	171.45	251.48	221.86	406.31	197.09	420.68	279.14	217.27	651.58	417.77	236.21	417.77	191.67	212.78	669.92	414.87	253.23	194.36	318.57	376.41	356.05	341.51	647.07	389.72	214.27	518.15	271.48	341.51	409.15
TBL1XR1	2591.27	842.36	620.67	591.22	848.22	934.76	1427.22	836.53	902.89	1127.35	1135.2	848.22	915.51	1037.29	1662.49	1191.69	1639.59	89.51	507.46	1096.5	830.75	128.79	217.27	460.44	343.89	211.31	130.6	332.14	181.28	295.11	289.02	214.27	187.71	309.83	258.57	175.07	293.07	180.02	265.87	187.71	234.57	281.09	293.07	244.57	255.0	151.22	460.44	242.88	226.54	884.29	237.86	339.14	273.37
TCF12	1313.23	1322.37	947.83	819.3	860.08	988.12	1104.13	1037.29	1088.92	1407.55	1104.13	860.08	995.0	1066.48	1199.98	1250.98	2224.63	101.54	974.5	486.75	703.28	87.03	165.57	241.19	223.41	113.56	148.09	316.37	161.02	253.23	183.82	177.53	341.51	175.07	127.0	480.04	151.22	185.11	239.52	366.09	285.03	171.45	264.03	94.67	164.42	123.5	353.59	209.84	154.42	457.25	166.73	293.07	297.17
THRAP3	2193.99	1721.16	1216.75	1733.13	1896.65	2061.24	2104.58	1883.54	2004.85	2090.03	2104.58	1896.65	1977.24	2047.0	2178.83	2591.27	2004.85	429.54	995.0	1397.83	1331.57	571.05	403.5	988.12	921.88	603.67	688.78	902.89	511.0	684.02	890.44	547.75	713.11	878.17	587.13	674.59	769.69	624.99	669.92	603.67	728.11	748.61	860.08	384.34	909.17	764.36	796.86	738.29	466.88	974.5	954.43	759.08	703.28
TIA1	2047.0	1572.76	1175.27	1709.26	915.51	2335.28	2240.11	1721.16	1819.35	3212.66	2075.59	915.51	2537.92	1794.29	2502.97	2720.15	2075.59	283.05	1313.23	1015.93	981.29	108.14	307.69	607.87	583.07	226.54	373.81	866.07	420.68	463.65	759.08	414.87	435.55	599.49	325.29	802.41	204.07	441.64	703.28	438.59	237.86	583.07	529.06	551.56	616.37	334.46	753.83	941.27	149.12	1059.11	166.73	555.41	575.03
TLK1	890.44	802.41	575.03	559.28	540.19	813.63	884.29	688.78	703.28	967.76	961.07	540.19	825.0	780.44	890.44	967.76	1369.04	173.85	429.54	665.29	525.39	83.45	253.23	486.75	237.86	232.94	255.0	277.2	271.48	389.72	387.02	232.94	277.2	275.28	244.57	332.14	283.05	303.44	314.17	423.61	339.14	232.94	327.56	285.03	314.17	211.31	432.53	381.68	214.27	674.59	146.03	400.71	420.68
TRIM4	575.03	890.44	555.41	591.22	543.96	928.3	708.18	665.29	848.22	981.29	1037.29	543.96	1051.79	1008.9	1135.2	909.17	1697.45	366.09	406.31	435.55	420.68	185.11	255.0	228.13	336.79	312.0	307.69	314.17	265.87	206.94	312.0	209.84	412.0	336.79	291.04	323.03	206.94	368.65	356.05	323.03	258.57	366.09	457.25	220.32	195.72	303.44	389.72	269.6	124.37	361.04	100.13	332.14	277.2
TTR	1.55	0.0	0.0	0.0	0.0	1.23	0.0	1.93	0.0	0.87	0.85	0.0	0.0	0.0	0.66	3.03	0.0	462789.59	8598.28	1023.0	4298.64	244588.0	1093103.58	546551.29	716197.51	417089.23	1221310.69	971597.0	1589343.01	805764.22	978355.0	1556634.79	932018.1	1432396.03	741454.2	857631.47	2247670.86	2068278.89	857631.47	1442359.14	875652.15	1318073.06	1196176.45	649962.87	687022.54	1048575.0	1393227.06	2111737.85	958220.73	443937.41	585779.24	1556634.79	1775752.63
VPS13A	638.15	301.33	177.53	221.86	217.27	373.81	543.96	366.09	291.04	500.46	384.34	217.27	403.5	348.71	371.22	373.81	616.37	69.03	295.11	403.5	228.13	27.44	106.63	163.28	199.85	75.11	135.24	187.71	72.01	98.73	81.71	68.55	112.77	172.65	98.04	171.45	61.68	149.12	135.24	119.26	62.56	122.64	117.6	95.34	115.97	102.25	117.6	176.29	27.44	181.28	52.45	82.29	132.44
VPS13C	1487.87	728.11	432.53	536.45	480.04	698.41	743.43	603.67	543.96	872.1	791.35	480.04	791.35	599.49	748.61	780.44	1857.6	108.14	423.61	412.0	500.46	77.79	231.32	295.11	217.27	122.64	189.02	195.72	149.12	332.14	181.28	134.3	224.97	127.89	175.07	287.01	68.55	157.68	400.71	258.57	146.03	177.53	211.31	202.66	173.85	101.54	414.87	260.38	105.89	532.74	164.42	190.34	381.68
WDR47	305.55	226.54	175.07	202.66	224.97	193.01	305.55	211.31	234.57	303.44	220.32	224.97	260.38	211.31	258.57	323.03	470.14	23.25	69.52	88.26	87.65	19.25	33.78	41.81	28.65	19.68	23.76	37.05	33.06	40.93	34.75	13.22	53.19	28.45	24.11	40.64	20.56	37.32	41.22	50.63	21.94	33.78	36.27	15.91	35.76	35.0	35.0	55.49	7.82	42.41	19.82	27.44	38.67
WDR92	239.52	195.72	190.34	178.77	180.02	197.09	191.67	229.72	220.32	204.07	255.0	180.02	202.66	211.31	248.0	260.38	242.88	81.14	149.12	88.88	132.44	79.45	96.68	105.89	99.43	131.51	96.01	100.83	100.13	100.83	105.15	100.13	150.17	88.26	76.71	104.42	71.5	94.01	80.57	96.68	110.43	89.51	94.01	53.95	53.57	63.89	132.44	86.43	62.56	103.69	34.75	101.54	85.82
ZBTB1	624.99	684.02	447.82	532.74	483.38	748.61	842.36	651.58	728.11	1073.91	808.0	483.38	819.3	764.36	915.51	967.76	1030.12	90.77	466.88	503.95	361.04	59.13	244.57	236.21	181.28	140.04	193.01	269.6	146.03	220.32	156.59	206.94	237.86	118.43	126.12	285.03	89.51	275.28	241.19	183.82	121.79	297.17	180.02	152.28	299.25	183.82	273.37	279.14	147.06	249.73	135.24	237.86	234.57
ZBTB11	423.61	348.71	217.27	223.41	165.57	283.05	334.46	258.57	281.09	463.65	281.09	165.57	361.04	275.28	373.81	307.69	454.09	48.52	187.71	194.36	262.2	23.25	66.18	78.89	75.64	39.5	78.34	105.15	76.71	115.16	100.13	67.59	98.04	90.14	49.91	112.77	96.68	80.57	80.01	73.03	58.3	80.01	78.89	81.14	112.77	122.64	119.26	77.79	31.0	155.5	88.26	83.45	82.87
ZBTB41	2287.2	303.44	185.11	128.79	151.22	239.52	403.5	215.77	214.27	291.04	285.03	151.22	255.0	262.2	387.02	493.56	307.69	31.45	212.78	94.01	217.27	9.56	31.45	64.8	42.11	18.97	24.11	67.12	37.59	71.0	56.68	47.84	60.82	35.76	38.12	70.51	23.25	36.79	43.63	49.21	32.59	46.5	61.68	49.56	48.18	24.11	68.07	53.19	25.91	126.12	30.12	56.28	67.12
ZBTB6	457.25	224.97	147.06	115.16	170.25	193.01	273.37	171.45	148.09	221.86	241.19	170.25	220.32	220.32	256.78	231.32	612.11	14.78	159.9	145.02	157.68	28.45	27.44	44.57	46.18	34.02	46.84	53.19	28.45	48.87	41.22	37.32	73.54	70.01	31.45	63.0	16.15	50.63	21.16	42.71	36.01	40.36	32.36	26.28	27.05	24.63	63.0	33.06	10.0	102.97	13.22	45.85	84.04
ZFP90	323.03	514.56	258.57	387.02	283.05	521.76	536.45	490.14	457.25	713.11	591.22	283.05	476.71	503.95	669.92	633.73	954.43	55.1	175.07	180.02	115.16	82.29	106.63	91.41	92.7	81.71	102.25	130.6	100.83	54.72	83.45	88.26	120.1	72.52	99.43	127.0	39.22	103.69	105.15	116.78	133.36	232.94	90.77	114.36	75.11	34.51	193.01	89.51	50.27	127.0	15.11	149.12	71.5
ZFR	1709.26	1628.26	866.07	1127.35	1073.91	1331.57	1540.37	1167.14	1388.16	1819.35	1447.15	1073.91	1757.34	1277.29	1781.89	1551.09	2434.5	323.03	1015.93	1037.29	1051.79	148.09	473.41	583.07	343.89	267.73	297.17	387.02	301.33	651.58	423.61	283.05	698.41	361.04	295.11	463.65	264.03	507.46	327.56	397.93	358.54	341.51	371.22	379.04	490.14	334.46	518.15	412.0	409.15	629.35	339.14	389.72	616.37
ZNF146	1551.09	2090.03	1167.14	1551.09	1340.84	1662.49	2417.67	1639.59	1651.0	2434.5	2032.85	1340.84	2224.63	1605.83	2047.0	1769.57	3564.78	320.8	1551.09	1268.46	583.07	224.97	329.84	381.68	693.58	221.86	620.67	559.28	389.72	543.96	423.61	497.0	703.28	607.87	429.54	507.46	214.27	371.22	299.25	543.96	320.8	511.0	236.21	397.93	348.71	343.89	457.25	423.61	205.5	718.08	176.29	444.72	540.19
ZNF148	603.67	603.67	346.29	423.61	403.5	450.94	480.04	432.53	457.25	612.11	629.35	403.5	579.04	463.65	500.46	599.49	1242.34	48.87	295.11	291.04	258.57	34.26	94.01	181.28	109.66	63.89	99.43	111.99	110.43	182.55	152.28	63.45	141.02	75.11	108.14	140.04	85.22	107.38	134.3	157.68	90.77	87.03	105.89	124.37	95.34	71.0	163.28	102.25	36.79	197.09	44.25	111.21	169.07
ZNF253	285.03	336.79	161.02	151.22	167.9	232.94	409.15	201.25	229.72	348.71	353.59	167.9	363.56	334.46	368.65	289.02	368.65	42.71	244.57	251.48	114.36	13.32	66.65	34.02	54.33	28.45	72.01	90.14	40.64	53.95	63.45	58.71	67.59	61.25	71.5	86.43	33.06	37.85	40.07	31.9	61.68	117.6	46.5	63.0	32.36	54.72	121.79	82.29	19.82	104.42	11.38	150.17	80.01
ZNF441	262.2	124.37	103.69	147.06	117.6	176.29	267.73	129.69	119.26	208.38	194.36	117.6	244.57	198.47	241.19	256.78	376.41	27.05	99.43	72.01	37.05	2.84	13.03	49.21	24.81	27.84	60.82	39.5	28.24	22.92	30.56	27.05	46.18	43.63	25.91	27.44	14.24	39.22	22.75	56.68	24.11	72.01	57.49	27.64	31.9	17.64	57.89	44.57	8.58	50.98	4.94	27.44	32.59
ZNF510	363.56	256.78	149.12	151.22	169.07	231.32	277.2	195.72	198.47	244.57	303.44	169.07	265.87	258.57	234.57	264.03	351.14	23.59	146.03	113.56	170.25	12.83	48.87	68.07	42.71	26.1	24.46	77.79	26.1	46.84	50.27	56.68	49.56	57.49	31.0	77.25	21.32	26.28	66.18	34.26	45.85	102.25	44.57	30.56	34.51	36.27	64.34	76.71	38.12	57.89	18.97	64.34	31.9
ZNF627	813.63	414.87	267.73	289.02	295.11	444.72	733.19	423.61	379.04	514.56	503.95	295.11	507.46	457.25	543.96	454.09	483.38	90.77	327.56	218.79	195.72	52.08	90.77	106.63	162.14	131.51	132.44	138.1	115.16	98.73	107.38	70.51	107.38	109.66	57.08	142.01	94.67	133.36	81.71	117.6	77.25	173.85	107.38	108.9	94.67	56.68	154.42	87.65	63.89	198.47	28.86	120.94	170.25
ZNF639	633.73	928.3	466.88	536.45	595.34	642.59	961.07	684.02	669.92	1051.79	785.88	595.34	830.75	713.11	902.89	656.11	2573.36	171.45	567.1	540.19	591.22	139.07	205.5	323.03	161.02	251.48	191.67	309.83	208.38	363.56	273.37	255.0	291.04	312.0	269.6	256.78	198.47	211.31	236.21	353.59	156.59	173.85	277.2	248.0	281.09	269.6	291.04	253.23	144.01	414.87	186.4	343.89	356.05
