	TCGA.FD.A5BU.01A.31R.A26T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.AR.A5QQ.01A.11R.A28M.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CQ.7065.01A.11R.2081.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.K7.A6G5.01A.11R.A311.07	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.18.3417.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.YF7O.1926.SM.4W1YQ	GTEX.144GM.0826.SM.5O98R	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD
TDRD5	0.0	0.68	52.08	2.27	0.0	0.0	0.55	0.0	0.57	0.0	0.0	0.0	0.0	0.0	20.56	9.93	3.59	24.46	25.72	68.55	24.81	13.72	2.05	26.28	37.32	9.63	15.68	39.79	27.84	8.0	8.99	9.7	21.16	11.91	26.86	17.0	8.85	5.19	53.19	59.13	22.92	45.21	10.47	5.41	45.85	46.18	34.51	11.91
TMEM132D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	1.23	0.0	0.39	0.0	3.89	5.96	4.1	1.91	2.07	16.88	13.03	6.94	29.48	22.26	17.25	2.14	9.93	19.82	7.75	8.38	10.88	5.32	6.52	21.94	5.06	3.69	21.63	5.32	35.76	1.99	32.59	16.88	2.05	5.06	23.08	18.56	25.72	0.0
TTC17	518.15	403.5	336.79	358.54	547.75	463.65	429.54	775.05	480.04	500.46	612.11	0.0	457.25	264.03	1175.27	1104.13	1167.14	1322.37	1857.6	1313.23	1277.29	1037.29	1233.75	1295.13	1407.55	941.27	1295.13	1427.22	1225.22	1111.82	679.29	884.29	1104.13	1208.34	1350.18	1369.04	1340.84	842.36	1359.57	896.64	1135.2	988.12	941.27	748.61	1059.11	1304.15	1350.18	642.59
USP3	256.78	368.65	343.89	346.29	384.34	493.56	281.09	429.54	406.31	289.02	271.48	0.0	403.5	187.71	543.96	579.04	555.41	575.03	651.58	575.03	612.11	559.28	525.39	703.28	660.68	583.07	595.34	543.96	607.87	579.04	525.39	540.19	559.28	603.67	567.1	738.29	579.04	466.88	612.11	507.46	665.29	587.13	660.68	493.56	543.96	753.83	507.46	463.65
VAMP2	902.89	483.38	221.86	693.58	825.0	559.28	571.05	872.1	493.56	748.61	974.5	497.0	599.49	384.34	2367.9	2997.45	1832.01	2224.63	2855.44	2468.49	2816.11	2502.97	2018.8	2645.74	2351.53	2032.85	2434.5	2047.0	2537.92	2119.22	2047.0	2287.2	2271.4	2895.31	2915.45	2627.46	2816.11	2075.59	1936.53	2468.49	2645.74	2485.67	1159.07	1769.57	2434.5	2287.2	4010.71	1870.53
WDR37	111.21	145.02	33.3	52.08	67.12	90.14	61.68	169.07	63.45	68.55	131.51	0.0	144.01	64.8	218.79	193.01	121.79	277.2	212.78	173.85	178.77	163.28	223.41	318.57	285.03	177.53	198.47	142.01	236.21	167.9	75.64	130.6	177.53	242.88	197.09	237.86	178.77	139.07	202.66	109.66	170.25	159.9	78.89	154.42	158.79	228.13	167.9	98.04
WDR52	40.64	33.78	5.96	28.86	42.11	6.89	33.54	24.28	5.45	26.86	66.65	0.0	15.11	1.97	151.22	125.24	65.72	153.34	339.14	177.53	241.19	84.63	260.38	164.42	241.19	47.17	135.24	244.57	143.01	100.83	42.11	64.34	111.21	71.5	125.24	291.04	164.42	40.36	221.86	112.77	142.01	90.77	84.63	80.01	98.73	134.3	148.09	47.84
WDR96	1.95	9.48	2.14	4.28	3.5	1.01	5.63	7.46	6.31	7.28	0.0	0.0	6.89	0.66	28.24	33.06	18.16	40.64	28.86	42.41	80.57	18.43	156.59	48.18	34.51	40.36	32.59	22.59	27.05	27.84	21.16	12.64	23.25	28.24	26.67	50.27	23.93	25.35	42.71	12.93	49.91	38.67	19.68	11.38	30.56	39.79	20.56	13.32
WDSUB1	132.44	112.77	149.12	70.51	148.09	57.89	27.05	41.81	170.25	71.5	52.45	0.0	96.68	102.97	228.13	217.27	162.14	287.01	239.52	234.57	206.94	167.9	234.57	267.73	258.57	273.37	229.72	186.4	323.03	262.2	281.09	149.12	332.14	199.85	275.28	248.0	271.48	173.85	221.86	221.86	264.03	195.72	115.97	185.11	275.28	175.07	234.57	194.36
ZBTB37	20.56	9.63	10.08	14.67	13.52	22.43	7.88	11.04	10.63	22.43	17.13	18.56	22.1	4.1	38.4	45.85	29.7	38.12	48.87	39.22	32.36	28.86	58.71	66.18	48.87	18.7	35.0	32.82	50.63	42.11	25.17	24.28	48.52	46.5	46.84	46.5	37.85	22.26	54.72	30.34	44.25	24.46	30.34	28.04	40.64	71.0	43.02	16.15
ZDHHC17	105.15	83.45	93.35	99.43	115.16	136.19	63.89	138.1	78.89	41.22	120.94	0.0	116.78	66.18	161.02	228.13	159.9	318.57	353.59	273.37	249.73	181.28	368.65	373.81	293.07	162.14	293.07	260.38	332.14	248.0	246.28	187.71	343.89	258.57	283.05	414.87	299.25	162.14	351.14	223.41	307.69	229.72	166.73	241.19	260.38	395.18	242.88	151.22
ZNF254	53.19	55.1	39.22	73.03	31.22	62.12	7.69	52.08	5.23	17.0	50.98	0.0	31.45	10.24	166.73	146.03	175.07	217.27	180.02	198.47	139.07	129.69	312.0	221.86	166.73	224.97	167.9	157.68	232.94	212.78	232.94	130.6	283.05	201.25	175.07	148.09	181.28	117.6	224.97	176.29	209.84	212.78	176.29	145.02	127.89	246.28	159.9	114.36
ZNF397	100.83	166.73	47.5	112.77	48.52	53.95	51.35	55.49	118.43	80.57	150.17	0.0	55.49	105.89	232.94	262.2	212.78	353.59	426.57	307.69	265.87	164.42	376.41	312.0	323.03	218.79	285.03	267.73	358.54	287.01	248.0	177.53	264.03	287.01	291.04	307.69	281.09	171.45	318.57	218.79	297.17	249.73	220.32	190.34	251.48	260.38	297.17	181.28
ZNF431	158.79	146.03	70.01	112.77	137.14	84.63	67.59	130.6	205.5	9.06	82.29	0.0	49.21	12.83	202.66	150.17	102.97	190.34	206.94	171.45	241.19	120.1	334.46	193.01	176.29	167.9	189.02	204.07	229.72	206.94	236.21	115.97	228.13	185.11	220.32	305.55	163.28	113.56	281.09	146.03	242.88	139.07	147.06	150.17	130.6	190.34	175.07	100.83
ZNF445	41.81	36.53	27.05	38.95	26.1	40.36	37.85	31.0	13.22	14.03	30.12	0.0	21.16	4.9	61.25	122.64	78.89	120.1	117.6	109.66	102.97	87.03	128.79	136.19	118.43	87.65	118.43	84.04	146.03	100.83	42.71	78.89	84.04	129.69	126.12	115.16	109.66	72.52	148.09	102.97	113.56	76.71	80.57	82.29	97.36	132.44	98.73	80.57
ZNF493	15.34	37.59	16.03	23.42	19.11	21.94	2.36	24.11	23.42	8.06	50.27	43.63	3.08	2.81	175.07	140.04	131.51	187.71	234.57	194.36	180.02	109.66	271.48	236.21	218.79	136.19	166.73	182.55	199.85	158.79	158.79	103.69	206.94	173.85	178.77	191.67	178.77	140.04	221.86	121.79	166.73	180.02	141.02	94.01	115.97	183.82	164.42	77.79
ZNF549	48.52	45.21	32.59	15.8	22.43	35.5	24.99	57.49	4.58	5.59	10.16	0.0	24.46	3.76	91.41	99.43	77.25	121.79	118.43	105.15	98.73	83.45	156.59	119.26	108.9	79.45	88.26	101.54	110.43	94.01	73.03	77.25	106.63	105.15	105.15	74.58	104.42	72.01	111.21	72.01	126.12	95.34	78.34	77.79	115.97	157.68	91.41	72.01
ZNF605	59.13	31.0	16.27	42.71	39.5	26.1	19.25	39.5	21.47	31.9	55.89	0.0	27.84	3.29	150.17	108.14	81.71	142.01	187.71	113.56	113.56	67.59	189.02	140.04	108.9	85.22	115.16	102.25	125.24	97.36	72.01	77.79	100.13	99.43	97.36	109.66	131.51	78.34	180.02	85.82	109.66	84.04	47.84	59.55	97.36	164.42	120.1	57.08
ZNF665	50.27	29.06	22.26	32.82	31.9	20.26	1.75	9.7	1.19	0.0	0.54	0.0	21.94	2.32	73.03	94.01	107.38	132.44	141.02	136.19	128.79	116.78	164.42	128.79	102.97	77.79	124.37	78.89	152.28	163.28	134.3	92.7	101.54	137.14	148.09	122.64	106.63	64.34	158.79	120.94	180.02	108.14	102.97	85.82	105.15	138.1	108.14	59.13
ZNF700	89.51	98.04	39.22	98.04	88.88	61.68	48.52	91.41	123.5	95.34	115.97	0.0	46.5	73.03	172.65	148.09	81.14	228.13	226.54	177.53	248.0	118.43	226.54	193.01	182.55	147.06	191.67	173.85	176.29	152.28	186.4	71.5	242.88	127.0	172.65	248.0	220.32	79.45	177.53	106.63	199.85	159.9	155.5	124.37	172.65	183.82	180.02	73.54
ZNF766	151.22	142.01	71.5	108.14	112.77	103.69	130.6	144.01	82.87	48.18	81.71	0.0	120.1	45.21	187.71	260.38	260.38	260.38	234.57	260.38	256.78	204.07	379.04	314.17	231.32	285.03	241.19	183.82	291.04	232.94	215.77	201.25	271.48	239.52	228.13	193.01	273.37	218.79	253.23	228.13	260.38	223.41	260.38	215.77	183.82	277.2	175.07	226.54
ZNF91	66.18	134.3	83.45	119.26	94.67	90.14	11.47	111.21	139.07	45.21	130.6	0.0	34.26	15.45	435.55	358.54	325.29	497.0	521.76	450.94	414.87	356.05	674.59	466.88	395.18	299.25	441.64	432.53	536.45	361.04	305.55	283.05	483.38	392.44	473.41	379.04	426.57	332.14	493.56	291.04	339.14	414.87	262.2	242.88	361.04	507.46	432.53	277.2
