	TCGA.CZ.5455.01A.01R.1503.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.CJ.4644.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.CJ.4874.01A.01R.1305.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4174.01A.02R.1289.07	TCGA.BP.4160.01A.02R.1289.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.CZ.4863.01A.01R.1503.07	TCGA.CZ.5454.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.XOT4.1426.SM.4B65T	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
GTPBP2	647.07	363.56	414.87	555.41	633.73	363.56	529.06	371.22	486.75	1111.82	514.56	674.59	651.58	616.37	603.67	438.59	412.0	848.22	551.56	563.18	1350.18	2682.69	1183.45	1250.98	1175.27	1551.09	1685.71	1191.69	1709.26	587.13	1397.83	2193.99	890.44	753.83	2018.8	2133.97	1159.07	728.11	1088.92	1259.69	1135.2
HCFC1	327.56	246.28	277.2	368.65	540.19	248.0	161.02	127.89	463.65	591.22	429.54	507.46	312.0	242.88	316.37	255.0	463.65	379.04	234.57	269.6	543.96	435.55	490.14	679.29	547.75	1127.35	587.13	371.22	693.58	551.56	890.44	460.44	441.64	248.0	656.11	909.17	708.18	318.57	529.06	414.87	583.07
HIATL2	75.64	95.34	41.52	88.26	87.03	36.53	59.13	34.26	49.91	131.51	23.08	84.04	39.22	71.5	46.84	39.5	53.95	103.69	44.57	53.95	101.54	163.28	201.25	126.12	137.14	175.07	81.71	127.0	114.36	135.24	138.1	148.09	107.38	127.89	112.77	265.87	169.07	150.17	139.07	172.65	118.43
HIST1H2BJ	65.72	12.0	40.36	16.88	38.12	16.75	72.52	13.83	38.95	31.67	13.93	71.5	23.76	8.92	59.13	106.63	22.26	6.78	52.82	96.01	30.34	19.53	547.75	167.9	65.72	221.86	162.14	88.88	40.36	23.08	121.79	67.59	152.28	56.28	59.97	136.19	97.36	116.78	64.34	133.36	154.42
HLA-DRA	99333.0	104271.56	61571.56	134755.94	142439.51	80683.28	73221.53	128373.58	116501.39	152662.96	33922.56	97288.74	65990.84	38697.77	67846.12	104271.56	110983.6	93325.55	89523.81	154794.07	569761.05	606436.73	136637.07	269512.87	275175.93	341137.96	341137.96	466008.55	164758.26	233003.78	55107.99	668235.84	378516.38	345900.08	417089.23	123144.13	211455.3	1085552.95	273275.14	645473.24	327241.36
HTT	262.2	180.02	228.13	336.79	435.55	150.17	66.65	161.02	229.72	395.18	129.69	320.8	173.85	106.63	211.31	232.94	346.29	327.56	232.94	217.27	660.68	540.19	961.07	612.11	1059.11	1519.15	567.1	819.3	1104.13	1167.14	629.35	1059.11	1023.0	660.68	1044.52	1268.46	669.92	1151.06	620.67	708.18	559.28
IFRD2	525.39	785.88	775.05	547.75	490.14	612.11	563.18	376.41	748.61	587.13	830.75	733.19	1030.12	842.36	612.11	493.56	595.34	830.75	387.02	967.76	1322.37	1857.6	1151.06	1331.57	1498.22	1313.23	2335.28	1015.93	1551.09	866.07	1991.0	884.29	1268.46	503.95	1030.12	1175.27	1477.58	753.83	1151.06	967.76	1066.48
IL11	1.06	0.0	0.0	0.38	0.0	0.37	0.74	0.0	0.69	5.5	0.69	12.64	0.0	0.35	2.48	4.66	1.39	1.38	2.61	0.37	6.16	14.14	7.28	20.71	13.22	10.08	51.71	6.21	3.23	5.19	4.9	1.97	10.0	12.74	9.27	12.45	9.78	5.5	0.0	2.43	18.43
ITPR3	395.18	185.11	124.37	264.03	334.46	118.43	76.71	93.35	187.71	493.56	165.57	718.08	72.52	92.7	47.17	275.28	108.14	155.5	420.68	371.22	379.04	260.38	1639.59	309.83	759.08	1313.23	463.65	275.28	1896.65	2335.28	791.35	791.35	529.06	785.88	209.84	733.19	743.43	698.41	825.0	441.64	591.22
KDM5B	293.07	156.59	273.37	241.19	373.81	220.32	223.41	457.25	269.6	299.25	170.25	260.38	251.48	228.13	371.22	363.56	414.87	293.07	241.19	450.94	486.75	295.11	660.68	381.68	591.22	860.08	507.46	483.38	480.04	567.1	616.37	514.56	591.22	329.84	620.67	723.08	511.0	417.77	454.09	603.67	543.96
KIAA0556	152.28	52.82	108.9	120.94	191.67	75.11	86.43	39.22	146.03	147.06	79.45	190.34	115.16	77.79	215.77	122.64	140.04	199.85	96.01	118.43	457.25	159.9	206.94	154.42	181.28	232.94	110.43	209.84	353.59	320.8	187.71	400.71	796.86	339.14	224.97	169.07	124.37	193.01	151.22	215.77	220.32
KIF18A	36.79	37.05	43.63	31.0	26.86	21.63	20.56	26.47	17.9	43.32	26.1	37.05	16.51	9.13	23.42	25.91	17.9	36.79	16.39	22.92	22.92	50.63	64.34	25.91	24.46	63.45	73.54	6.41	32.59	40.07	80.57	32.36	40.93	75.64	61.68	52.82	51.71	12.27	53.95	33.3	18.97
KIF5B	1183.45	579.04	764.36	928.3	1127.35	753.83	395.18	842.36	733.19	954.43	607.87	981.29	674.59	529.06	854.13	974.5	1023.0	954.43	802.41	860.08	825.0	1369.04	1674.06	921.88	1561.89	1175.27	995.0	1407.55	1044.52	1651.0	1340.84	1073.91	1397.83	1159.07	1233.75	1721.16	2895.31	587.13	1277.29	1572.76	1242.34
KIFC2	75.11	85.82	102.97	127.89	46.18	71.0	180.02	50.63	105.89	211.31	105.89	214.27	156.59	178.77	161.02	117.6	77.25	241.19	78.34	55.1	153.34	156.59	384.34	134.3	148.09	796.86	346.29	172.65	507.46	146.03	283.05	234.57	170.25	171.45	493.56	665.29	85.82	221.86	186.4	138.1	178.77
KLF3	518.15	316.37	351.14	392.44	583.07	339.14	220.32	358.54	327.56	438.59	277.2	463.65	299.25	312.0	392.44	397.93	521.76	432.53	476.71	389.72	723.08	441.64	629.35	429.54	1151.06	836.53	1216.75	1628.26	511.0	796.86	775.05	595.34	1051.79	733.19	780.44	872.1	1175.27	819.3	808.0	1340.84	884.29
KLHL25	28.04	39.22	48.87	29.06	41.52	32.13	15.11	28.65	36.53	58.71	35.5	58.71	30.12	26.67	32.82	33.54	29.48	33.78	23.93	69.03	60.82	57.89	124.37	115.97	136.19	131.51	173.85	164.42	50.27	55.1	155.5	44.25	57.49	31.45	74.58	143.01	138.1	112.77	76.71	84.63	69.52
KRTAP5-1	0.39	2.12	0.0	0.0	5.82	0.75	0.0	0.0	2.76	13.32	0.0	3.56	2.97	5.06	1.81	2.56	0.0	0.73	0.0	0.74	17.9	16.63	87.03	12.27	22.43	121.79	17.13	10.31	17.51	25.91	33.06	12.64	12.83	6.67	21.01	65.26	14.35	3.56	10.39	6.46	34.02
LAMB3	104.42	15.11	21.78	65.26	41.81	59.55	30.78	435.55	58.3	165.57	205.5	92.05	55.49	22.59	316.37	38.4	82.29	46.84	275.28	400.71	1540.37	785.88	3467.27	698.41	1350.18	2417.67	2573.36	571.05	3847.29	4095.0	3665.02	1286.18	2816.11	2400.97	195.72	941.27	1794.29	743.43	2537.92	941.27	6561.36
LARP4B	441.64	244.57	277.2	389.72	536.45	269.6	187.71	204.07	426.57	525.39	221.86	450.94	297.17	251.48	301.33	336.79	454.09	460.44	316.37	429.54	884.29	954.43	1551.09	698.41	974.5	1540.37	860.08	748.61	1757.34	1561.89	1119.56	1059.11	1199.98	836.53	1135.2	1745.2	1407.55	854.13	1044.52	1191.69	909.17
LRRN1	1.35	0.67	1.31	1.06	1.39	0.68	0.71	6.67	1.31	3.89	1.66	15.45	0.95	0.32	0.34	2.07	1.35	2.97	2.51	1.69	40.93	84.63	142.01	23.93	78.89	67.12	5.32	15.22	18.43	86.43	283.05	16.63	307.69	125.24	4.98	81.14	40.64	5.96	38.95	31.22	31.45
MARK2	397.93	281.09	339.14	409.15	521.76	279.14	190.34	151.22	460.44	518.15	253.23	387.02	253.23	273.37	221.86	283.05	381.68	417.77	260.38	371.22	460.44	406.31	934.76	395.18	327.56	854.13	466.88	320.8	684.02	842.36	480.04	417.77	457.25	323.03	518.15	860.08	480.04	403.5	633.73	543.96	480.04
MAST2	124.37	167.9	119.26	169.07	201.25	99.43	87.65	124.37	113.56	223.41	105.89	185.11	90.77	81.14	105.15	108.14	157.68	194.36	115.16	98.04	285.03	379.04	457.25	323.03	281.09	612.11	253.23	329.84	387.02	251.48	379.04	493.56	205.5	111.21	447.82	435.55	279.14	229.72	293.07	463.65	251.48
MED25	567.1	525.39	497.0	444.72	802.41	480.04	379.04	229.72	819.3	674.59	444.72	819.3	507.46	583.07	444.72	332.14	651.58	651.58	503.95	583.07	1733.13	947.83	967.76	967.76	1023.0	1963.57	514.56	825.0	1561.89	1781.89	571.05	1467.37	2502.97	595.34	1051.79	1104.13	483.38	791.35	1059.11	759.08	1369.04
METTL22	146.03	93.35	228.13	223.41	116.78	162.14	285.03	180.02	106.63	241.19	236.21	201.25	206.94	170.25	271.48	159.9	125.24	229.72	249.73	120.94	426.57	490.14	547.75	571.05	381.68	532.74	438.59	366.09	497.0	414.87	432.53	559.28	309.83	387.02	674.59	674.59	318.57	486.75	432.53	336.79	332.14
MIIP	176.29	273.37	232.94	249.73	140.04	162.14	231.32	208.38	343.89	432.53	267.73	271.48	395.18	224.97	198.47	124.37	220.32	199.85	189.02	224.97	651.58	1561.89	409.15	967.76	336.79	567.1	595.34	403.5	753.83	291.04	417.77	733.19	291.04	332.14	1111.82	830.75	209.84	480.04	314.17	583.07	283.05
MLXIP	283.05	152.28	175.07	234.57	264.03	135.24	96.01	165.57	164.42	426.57	218.79	400.71	157.68	132.44	287.01	190.34	249.73	275.28	208.38	133.36	547.75	454.09	921.88	848.22	921.88	947.83	775.05	1015.93	728.11	947.83	934.76	624.99	708.18	435.55	460.44	878.17	1167.14	497.0	802.41	1242.34	674.59
MOGAT1	1.73	0.0	6.67	0.73	0.73	3.86	9.27	0.0	0.69	1.11	0.0	3.82	1.62	1.33	0.72	0.0	0.71	4.39	6.26	3.14	17.13	28.45	7.28	6.78	5.06	4.58	4.1	5.02	15.8	9.48	4.74	24.99	9.85	4.35	22.1	17.64	0.0	8.65	11.38	18.7	4.78
MROH1	110.43	63.89	60.82	121.79	120.1	67.59	52.45	28.86	91.41	215.77	50.27	161.02	98.04	71.0	81.71	79.45	86.43	142.01	83.45	41.22	239.52	307.69	466.88	318.57	249.73	460.44	189.02	209.84	866.07	376.41	279.14	417.77	358.54	229.72	351.14	525.39	204.07	348.71	209.84	279.14	249.73
MSANTD1	1.07	1.41	0.37	0.39	1.1	1.08	0.39	0.0	0.71	4.03	0.0	0.0	1.0	1.03	1.43	2.16	0.38	2.41	0.39	2.12	3.96	7.57	12.55	10.31	5.68	30.78	6.62	12.45	14.35	21.63	4.35	6.52	0.65	5.63	17.0	12.09	15.0	13.52	4.39	5.41	2.81
MSL1	854.13	555.41	587.13	733.19	878.17	460.44	547.75	785.88	511.0	1037.29	435.55	921.88	579.04	775.05	595.34	733.19	559.28	941.27	688.78	759.08	1498.22	1487.87	1685.71	1447.15	1407.55	1397.83	1175.27	981.29	2384.37	2875.3	1963.57	1286.18	1175.27	1286.18	2758.13	1674.06	1225.22	1151.06	1674.06	1407.55	1369.04
MTMR1	295.11	182.55	183.82	277.2	314.17	208.38	130.6	255.0	237.86	327.56	139.07	297.17	217.27	170.25	198.47	273.37	293.07	291.04	186.4	239.52	559.28	363.56	343.89	212.78	400.71	232.94	314.17	297.17	718.08	503.95	435.55	483.38	486.75	438.59	486.75	312.0	329.84	470.14	423.61	460.44	400.71
MTMR3	361.04	171.45	246.28	281.09	406.31	220.32	164.42	183.82	262.2	423.61	155.5	312.0	246.28	197.09	343.89	251.48	343.89	395.18	201.25	269.6	591.22	540.19	616.37	629.35	753.83	1119.56	633.73	785.88	796.86	599.49	1044.52	674.59	665.29	457.25	967.76	1183.45	703.28	599.49	703.28	802.41	595.34
MYH14	102.97	55.1	197.09	14.78	0.39	79.45	94.01	80.57	150.17	10.96	204.07	241.19	38.95	118.43	1.1	7.17	12.74	0.72	21.78	389.72	1857.6	830.75	3124.78	896.64	1350.18	3589.58	1286.18	361.04	4010.71	3018.3	1340.84	1757.34	3280.18	1519.15	454.09	1437.15	941.27	559.28	2816.11	1073.91	1617.0
MYO10	206.94	141.02	220.32	255.0	116.78	158.79	95.34	199.85	90.14	197.09	181.28	223.41	49.56	51.35	90.77	166.73	144.01	136.19	395.18	229.72	146.03	127.89	320.8	146.03	961.07	267.73	334.46	414.87	473.41	343.89	836.53	303.44	295.11	603.67	229.72	647.07	769.69	651.58	166.73	325.29	500.46
NBEAL2	229.72	141.02	124.37	299.25	275.28	112.77	158.79	142.01	167.9	759.08	152.28	265.87	376.41	142.01	142.01	115.97	214.27	511.0	157.68	182.55	723.08	738.29	3955.48	2976.74	2739.08	4512.4	2502.97	1369.04	1662.49	1651.0	2739.08	961.07	1143.1	830.75	1508.65	3768.09	2434.5	500.46	2956.17	3372.43	854.13
NICN1	176.29	96.01	134.3	159.9	177.53	120.1	147.06	69.03	185.11	275.28	111.99	232.94	130.6	159.9	92.7	162.14	158.79	199.85	108.9	127.89	211.31	125.24	551.56	190.34	232.94	429.54	144.01	423.61	351.14	384.34	221.86	674.59	228.13	356.05	297.17	486.75	177.53	470.14	262.2	303.44	231.32
NMT1	1167.14	848.22	1151.06	1143.1	1259.69	974.5	603.67	1259.69	890.44	1617.0	813.63	1388.16	802.41	665.29	1167.14	1023.0	1135.2	1233.75	713.11	1225.22	1167.14	1191.69	2485.67	1508.65	947.83	2417.67	1540.37	988.12	2032.85	1477.58	2018.8	1233.75	961.07	753.83	1447.15	2209.26	1519.15	1250.98	1757.34	1407.55	1617.0
NNAT	2.12	6.62	1.73	3.66	6.89	1.81	3.66	0.78	1.06	17.64	0.0	10.24	2.66	3.06	6.41	2.92	5.59	14.35	1.53	6.36	36.53	131.51	35.76	31.0	15.56	34.75	3.06	32.59	62.56	68.07	8.38	56.68	44.89	31.9	29.27	51.35	27.64	22.1	24.99	38.12	44.25
NOS1AP	1.35	7.0	5.87	13.93	1.04	3.41	3.86	7.4	6.89	14.14	3.66	20.26	5.63	2.27	14.56	5.54	7.69	1.99	6.84	3.72	19.68	26.47	32.59	6.01	62.56	30.34	26.67	16.63	50.27	104.42	45.85	33.06	124.37	49.21	14.03	49.91	62.12	41.22	61.25	25.72	53.57
NT5C2	967.76	414.87	514.56	780.44	866.07	525.39	599.49	738.29	384.34	860.08	343.89	703.28	503.95	426.57	583.07	599.49	624.99	813.63	563.18	759.08	1628.26	1096.5	1250.98	1044.52	1685.71	1769.57	547.75	2417.67	2193.99	1794.29	1437.15	2193.99	1963.57	2047.0	1572.76	2047.0	1151.06	1233.75	1447.15	1923.14	1259.69
NTF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	1.36	143.01	37.05	181.28	57.89	54.72	215.77	47.5	12.55	128.79	57.89	90.77	142.01	281.09	85.22	107.38	190.34	3.92	23.25	74.06	34.02	92.7
NUFIP2	423.61	229.72	295.11	318.57	540.19	228.13	127.0	397.93	291.04	490.14	151.22	368.65	215.77	262.2	267.73	403.5	318.57	379.04	197.09	323.03	389.72	718.08	854.13	529.06	571.05	934.76	551.56	571.05	603.67	718.08	860.08	536.45	547.75	341.51	665.29	753.83	808.0	438.59	563.18	679.29	559.28
NUMBL	64.8	46.84	42.11	58.71	62.56	35.5	51.35	68.55	47.84	169.07	66.18	112.77	72.52	44.25	68.55	57.08	54.72	99.43	55.89	74.58	595.34	281.09	476.71	429.54	395.18	660.68	371.22	967.76	301.33	283.05	518.15	493.56	305.55	95.34	381.68	493.56	307.69	251.48	423.61	450.94	470.14
NUP188	371.22	327.56	244.57	332.14	381.68	236.21	132.44	180.02	255.0	417.77	144.01	395.18	198.47	175.07	231.32	231.32	334.46	307.69	255.0	177.53	497.0	511.0	825.0	753.83	860.08	620.67	540.19	738.29	551.56	551.56	1127.35	503.95	500.46	403.5	567.1	934.76	503.95	460.44	753.83	579.04	490.14
OSBPL2	325.29	312.0	277.2	293.07	417.77	267.73	187.71	265.87	271.48	325.29	241.19	373.81	329.84	244.57	336.79	269.6	376.41	363.56	262.2	379.04	748.61	518.15	633.73	414.87	379.04	1225.22	314.17	429.54	791.35	616.37	775.05	728.11	607.87	318.57	928.3	511.0	371.22	638.15	503.95	379.04	547.75
PAPD7	232.94	157.68	167.9	429.54	228.13	158.79	181.28	175.07	185.11	351.14	183.82	409.15	205.5	206.94	264.03	258.57	220.32	303.44	144.01	150.17	503.95	444.72	1225.22	353.59	591.22	1015.93	607.87	532.74	638.15	819.3	728.11	679.29	536.45	341.51	603.67	802.41	728.11	647.07	642.59	629.35	435.55
PCMTD1	961.07	525.39	842.36	934.76	708.18	866.07	866.07	1015.93	480.04	854.13	395.18	669.92	713.11	665.29	1051.79	723.08	909.17	878.17	733.19	629.35	825.0	748.61	1617.0	708.18	1143.1	1111.82	507.46	1030.12	1059.11	1572.76	928.3	1066.48	928.3	1447.15	1151.06	1417.35	1175.27	902.89	967.76	1191.69	836.53
PCNXL3	239.52	211.31	297.17	305.55	444.72	187.71	164.42	155.5	387.02	536.45	297.17	403.5	376.41	221.86	271.48	231.32	346.29	368.65	119.26	356.05	529.06	406.31	483.38	603.67	409.15	633.73	620.67	493.56	493.56	511.0	743.43	583.07	353.59	312.0	571.05	595.34	409.15	381.68	414.87	299.25	414.87
PCSK7	429.54	351.14	400.71	507.46	571.05	318.57	224.97	392.44	397.93	1340.84	353.59	698.41	466.88	265.87	353.59	684.02	476.71	647.07	226.54	599.49	1066.48	1023.0	1331.57	1529.73	1583.71	1467.37	2133.97	2303.12	808.0	791.35	1295.13	1498.22	1104.13	674.59	1806.78	2119.22	1781.89	974.5	1199.98	1674.06	1199.98
PIGZ	10.79	47.17	60.82	20.26	11.47	21.47	27.05	23.42	10.55	31.0	23.59	59.97	27.64	40.64	14.03	7.94	31.67	48.52	14.89	66.65	96.01	65.72	82.29	109.66	141.02	93.35	33.54	41.52	98.73	157.68	68.07	169.07	186.4	197.09	88.88	153.34	50.63	144.01	127.0	57.08	152.28
PLCB3	194.36	149.12	151.22	185.11	165.57	129.69	124.37	56.68	198.47	253.23	180.02	220.32	144.01	163.28	115.16	85.22	176.29	215.77	173.85	159.9	255.0	454.09	480.04	511.0	269.6	486.75	309.83	169.07	348.71	312.0	348.71	454.09	180.02	314.17	529.06	620.67	366.09	102.25	358.54	301.33	229.72
PLCXD1	22.26	16.03	34.26	40.64	41.22	19.82	53.57	25.72	30.12	77.79	23.76	56.28	19.82	33.3	34.75	71.0	23.93	28.24	33.06	24.99	95.34	55.49	134.3	133.36	139.07	125.24	191.67	49.56	303.44	148.09	130.6	295.11	115.16	81.71	116.78	88.26	144.01	194.36	47.5	60.82	55.89
PLEKHG6	69.52	92.7	162.14	24.46	3.63	43.63	21.47	26.1	147.06	16.39	63.0	92.7	47.17	35.76	90.77	33.3	105.89	45.53	72.01	43.32	194.36	100.13	368.65	59.55	112.77	251.48	186.4	77.79	165.57	351.14	287.01	88.26	242.88	40.36	33.54	127.0	187.71	64.8	182.55	127.89	241.19
POLB	521.76	629.35	450.94	738.29	348.71	429.54	842.36	511.0	454.09	518.15	289.02	521.76	684.02	575.03	297.17	460.44	406.31	395.18	384.34	521.76	1059.11	921.88	961.07	947.83	1015.93	1350.18	1662.49	1277.29	387.02	775.05	802.41	486.75	684.02	575.03	1111.82	708.18	3124.78	525.39	723.08	791.35	1331.57
POLR3E	454.09	341.51	318.57	441.64	336.79	287.01	197.09	318.57	351.14	486.75	476.71	713.11	336.79	392.44	830.75	389.72	480.04	503.95	305.55	480.04	848.22	583.07	1119.56	476.71	854.13	836.53	860.08	974.5	651.58	941.27	819.3	819.3	813.63	348.71	796.86	748.61	819.3	1088.92	830.75	1127.35	1250.98
POU2F3	2.68	7.0	0.65	1.06	0.69	1.69	1.75	2.12	2.29	9.56	4.98	4.06	5.96	2.58	3.41	1.04	13.72	3.29	4.66	12.83	97.36	145.02	155.5	55.89	98.73	92.05	39.22	53.57	379.04	145.02	71.5	164.42	412.0	180.02	30.34	39.79	14.56	73.54	66.18	51.71	185.11
PRDM2	246.28	126.12	146.03	246.28	205.5	139.07	119.26	123.5	171.45	303.44	102.97	260.38	148.09	126.12	127.0	193.01	224.97	194.36	162.14	137.14	571.05	361.04	511.0	497.0	624.99	819.3	551.56	607.87	1081.39	961.07	775.05	848.22	532.74	423.61	753.83	620.67	470.14	642.59	669.92	633.73	656.11
PROSER1	215.77	145.02	199.85	289.02	366.09	186.4	149.12	120.94	258.57	318.57	162.14	348.71	189.02	205.5	171.45	186.4	231.32	229.72	129.69	202.66	368.65	346.29	441.64	511.0	417.77	368.65	420.68	728.11	612.11	435.55	432.53	435.55	647.07	620.67	819.3	293.07	348.71	909.17	384.34	417.77	497.0
PRSS21	5.82	5.15	5.32	7.51	2.86	0.0	19.68	11.55	4.7	1.46	2.73	59.97	6.73	0.67	5.23	2.84	17.0	4.06	3.32	0.0	1923.14	35609.13	244.57	30.56	262.2	1487.87	34.02	32.82	30.56	490.14	181.28	9025.81	2664.15	447.82	3395.89	521.76	55.89	1617.0	175.07	255.0	84.63
PRSS22	0.39	1.08	0.0	0.0	0.0	0.0	1.13	11.38	2.41	5.54	2.43	43.94	3.29	0.0	1.81	3.99	0.74	0.73	0.0	0.0	848.22	202.66	361.04	125.24	612.11	836.53	429.54	116.78	981.29	329.84	656.11	358.54	1870.53	323.03	110.43	260.38	209.84	138.1	463.65	85.82	1359.57
PSD3	23.25	9.27	10.39	24.99	15.56	14.67	6.11	59.97	4.74	32.82	7.82	40.93	17.25	4.66	8.71	17.38	20.11	15.8	15.8	14.89	189.02	186.4	104.42	116.78	108.14	202.66	158.79	132.44	146.03	151.22	92.05	181.28	295.11	137.14	180.02	232.94	127.89	57.08	113.56	164.42	251.48
PSME4	603.67	486.75	409.15	470.14	571.05	366.09	221.86	616.37	400.71	551.56	358.54	738.29	409.15	241.19	493.56	457.25	543.96	423.61	329.84	651.58	1183.45	1477.58	902.89	995.0	1369.04	1883.54	2133.97	698.41	813.63	902.89	1447.15	1322.37	1015.93	559.28	2255.7	1617.0	1457.23	1304.15	1191.69	1242.34	1001.93
PTBP3	698.41	476.71	493.56	529.06	785.88	543.96	406.31	909.17	470.14	595.34	228.13	624.99	281.09	412.0	483.38	532.74	624.99	638.15	616.37	638.15	679.29	1119.56	684.02	759.08	848.22	808.0	381.68	974.5	753.83	738.29	1096.5	669.92	1127.35	698.41	890.44	872.1	575.03	476.71	583.07	819.3	915.51
PTPLA	18.84	8.92	22.26	6.52	15.0	20.56	11.13	108.14	2.73	67.12	38.12	98.73	35.25	18.84	29.27	110.43	31.45	31.67	15.45	43.32	229.72	518.15	414.87	540.19	256.78	279.14	162.14	109.66	368.65	514.56	66.65	154.42	255.0	921.88	57.89	236.21	186.4	234.57	253.23	283.05	231.32
PXK	224.97	181.28	246.28	221.86	246.28	173.85	198.47	232.94	148.09	301.33	122.64	281.09	113.56	205.5	134.3	170.25	232.94	206.94	191.67	234.57	486.75	406.31	579.04	348.71	384.34	547.75	392.44	688.78	392.44	599.49	412.0	432.53	295.11	444.72	514.56	299.25	525.39	414.87	620.67	684.02	514.56
RAB4B-EGLN2	9.27	9.27	4.03	7.22	6.78	10.16	5.41	6.94	7.4	10.55	7.51	2.12	16.39	1.35	7.0	3.23	4.5	14.89	2.97	18.7	20.56	31.45	23.93	7.34	30.78	43.32	7.94	6.94	27.05	37.59	19.97	12.0	23.76	15.56	26.67	14.24	16.75	23.25	7.06	17.9	10.0
RAF1	921.88	612.11	796.86	796.86	819.3	753.83	642.59	764.36	616.37	1051.79	555.41	915.51	764.36	728.11	688.78	759.08	878.17	854.13	764.36	759.08	1781.89	1037.29	1417.35	1437.15	2018.8	1896.65	1447.15	1832.01	1991.0	1498.22	2434.5	1896.65	1651.0	1066.48	1963.57	1844.76	1551.09	1832.01	1457.23	1427.22	1769.57
RBM33	199.85	142.01	181.28	332.14	262.2	139.07	115.16	134.3	141.02	480.04	99.43	353.59	226.54	145.02	307.69	206.94	231.32	305.55	173.85	195.72	497.0	536.45	759.08	460.44	432.53	848.22	316.37	420.68	1183.45	1111.82	723.08	718.08	320.8	575.03	525.39	872.1	438.59	540.19	624.99	525.39	497.0
RNF168	151.22	91.41	90.14	128.79	198.47	95.34	47.84	66.18	94.01	154.42	100.13	170.25	71.5	54.72	93.35	105.15	118.43	122.64	133.36	136.19	320.8	226.54	480.04	239.52	301.33	748.61	242.88	265.87	420.68	438.59	497.0	426.57	156.59	175.07	314.17	511.0	802.41	305.55	389.72	603.67	241.19
RXRB	587.13	395.18	435.55	591.22	693.58	486.75	551.56	358.54	529.06	785.88	503.95	579.04	723.08	642.59	529.06	497.0	447.82	743.43	514.56	503.95	1066.48	660.68	1519.15	703.28	941.27	1417.35	1023.0	708.18	1183.45	1313.23	1467.37	1359.57	738.29	890.44	1457.23	1417.35	693.58	921.88	1096.5	947.83	860.08
SAMD12	46.84	19.97	16.15	27.25	38.12	19.97	13.12	28.65	30.78	60.39	16.75	80.01	18.97	21.16	16.88	52.45	41.52	48.87	13.12	44.57	111.99	56.28	146.03	33.06	120.1	137.14	13.62	211.31	289.02	441.64	122.64	206.94	239.52	115.97	151.22	265.87	51.71	139.07	138.1	116.78	253.23
SENP5	185.11	138.1	147.06	204.07	226.54	147.06	163.28	146.03	143.01	248.0	133.36	232.94	181.28	164.42	118.43	135.24	171.45	205.5	127.89	206.94	351.14	417.77	412.0	454.09	239.52	473.41	293.07	305.55	212.78	327.56	521.76	327.56	234.57	239.52	403.5	470.14	420.68	341.51	228.13	303.44	242.88
SETD2	334.46	114.36	165.57	287.01	351.14	156.59	121.79	99.43	181.28	329.84	132.44	316.37	150.17	129.69	146.03	187.71	289.02	295.11	189.02	208.38	368.65	312.0	791.35	379.04	373.81	921.88	490.14	351.14	587.13	802.41	518.15	514.56	395.18	500.46	397.93	599.49	698.41	400.71	480.04	587.13	470.14
SETD5	563.18	190.34	262.2	432.53	486.75	237.86	223.41	134.3	262.2	693.58	157.68	511.0	293.07	242.88	249.73	314.17	389.72	575.03	236.21	285.03	974.5	808.0	2119.22	854.13	1313.23	1923.14	1369.04	995.0	1225.22	1572.76	1977.24	1073.91	1313.23	679.29	1233.75	1896.65	1781.89	1044.52	1388.16	1745.2	1529.73
