	GTEX.13OVI.1126.SM.5KLZF	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.BP.4775.01A.01R.1289.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.A3.3343.01A.01R.0864.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CJ.6032.01A.11R.1672.07	TCGA.BP.5004.01A.01R.1334.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5712.01A.11R.1672.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.BP.4340.01A.01R.1289.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.5713.01A.11R.1672.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	TCGA.CJ.5680.11A.01R.1541.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.11UD2.0726.SM.5EQ69	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.145LU.0526.SM.5O9AT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.148VJ.0826.SM.5LU8V	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
CTDSP1	3212.66	4181.07	2777.33	4038.61	2976.74	4123.49	3614.55	3443.31	3794.3	5913.33	2720.15	3639.7	3103.19	2875.3	3190.46	3146.52	5366.37	3081.75	3168.41	2796.65	3212.66	3820.7	2796.65	4268.94	4671.57	3639.7	3690.52	3280.18	2417.67	2835.7	1832.01	1540.37	2591.27	3540.14	3491.39	1407.55	3614.55	2701.35	2835.7	3372.43	4937.99	1322.37	5219.6	1639.59	1977.24	1030.12	1794.29	3467.27	1457.23	3081.75	2875.3	813.63	2032.85	2271.4	1242.34	2555.58	2956.17	2224.63	3039.3	928.3	1233.75	3874.05	1340.84	1617.0	2701.35	4388.98	3349.13	3325.99	1651.0	1447.15	1467.37	819.3	2351.53	1617.0	1508.65	1183.45
DDC	2133.97	2133.97	2193.99	2384.37	961.07	3515.68	2895.31	2537.92	1498.22	5872.48	351.14	1605.83	2287.2	928.3	3349.13	1594.73	6250.56	1407.55	36.01	2434.5	4836.35	2502.97	4152.18	2485.67	4181.07	928.3	4639.29	1216.75	1378.57	2485.67	55.1	0.0	101.54	435.55	78.89	0.0	26.1	68.07	19.11	10.47	198.47	22.92	123.5	0.0	11.55	6.21	15.56	314.17	22.59	138.1	33.06	0.0	40.07	11.21	82.87	15.11	77.79	29.06	0.0	53.19	19.97	239.52	126.12	17.51	1304.15	33.06	51.71	414.87	122.64	0.0	14.78	27.64	15.34	31.67	21.32	4.46
DDIT4L	48.52	269.6	159.9	320.8	529.06	195.72	7.46	173.85	229.72	866.07	334.46	27.44	31.67	229.72	87.03	1662.49	1313.23	90.14	73.03	473.41	49.21	454.09	551.56	176.29	122.64	567.1	246.28	366.09	75.11	131.51	13.62	12.64	43.32	32.59	66.18	3.11	63.0	8.0	54.33	3.63	14.78	2.97	6.84	40.36	153.34	28.86	41.22	5.59	32.82	133.36	57.08	156.59	1.43	327.56	23.25	2.76	7.17	9.2	130.6	34.51	61.68	19.68	43.02	2.25	329.84	17.25	2.16	8.25	236.21	10.08	18.56	17.9	4.31	13.42	15.11	438.59
DDX1	1721.16	1896.65	1331.57	1551.09	1350.18	1628.26	1721.16	1457.23	1208.34	1870.53	1051.79	1427.22	1757.34	1191.69	1519.15	1467.37	1870.53	1508.65	866.07	1427.22	1111.82	1397.83	1583.71	1909.85	2047.0	1313.23	1427.22	1662.49	1331.57	1651.0	1159.07	525.39	878.17	941.27	708.18	620.67	718.08	1159.07	808.0	1023.0	995.0	579.04	1104.13	647.07	583.07	703.28	603.67	988.12	536.45	1832.01	1340.84	368.65	698.41	409.15	287.01	791.35	551.56	473.41	718.08	733.19	403.5	759.08	872.1	718.08	1844.76	473.41	616.37	1594.73	591.22	660.68	669.92	490.14	698.41	713.11	579.04	629.35
DERA	1369.04	2119.22	1508.65	1594.73	1870.53	1487.87	2209.26	2739.08	1437.15	1950.0	878.17	1388.16	1397.83	1268.46	988.12	1313.23	2075.59	2240.11	1066.48	2591.27	2303.12	1540.37	1331.57	1745.2	2417.67	1350.18	1857.6	1199.98	2451.44	1143.1	406.31	384.34	934.76	595.34	785.88	438.59	808.0	412.0	896.64	599.49	450.94	327.56	1175.27	373.81	368.65	149.12	518.15	703.28	389.72	1066.48	941.27	186.4	334.46	303.44	143.01	403.5	679.29	486.75	447.82	356.05	346.29	583.07	679.29	363.56	947.83	406.31	854.13	1216.75	351.14	563.18	379.04	195.72	954.43	551.56	435.55	624.99
DHDH	143.01	529.06	409.15	599.49	180.02	417.77	466.88	25.54	19.68	642.59	79.45	92.7	612.11	136.19	189.02	525.39	260.38	68.07	10.96	802.41	34.02	289.02	414.87	348.71	518.15	518.15	283.05	457.25	85.22	31.0	80.01	32.36	73.03	139.07	48.52	34.51	74.58	29.91	51.71	33.3	46.18	23.08	64.8	20.11	37.85	17.13	32.36	64.34	43.63	28.65	29.7	42.11	13.52	42.41	83.45	42.11	43.94	115.97	112.77	27.84	32.82	147.06	84.63	12.18	291.04	74.58	38.95	91.41	59.55	12.45	29.48	44.57	185.11	6.89	53.19	62.56
DHFR	277.2	454.09	457.25	275.28	269.6	759.08	356.05	384.34	157.68	265.87	273.37	242.88	480.04	226.54	283.05	633.73	486.75	303.44	195.72	138.1	511.0	438.59	967.76	363.56	251.48	336.79	473.41	358.54	432.53	262.2	114.36	127.89	226.54	262.2	141.02	72.01	142.01	214.27	172.65	239.52	194.36	82.87	143.01	62.12	152.28	96.01	138.1	201.25	102.97	220.32	189.02	92.7	68.07	133.36	55.1	163.28	85.22	133.36	141.02	66.18	79.45	186.4	122.64	116.78	441.64	141.02	78.34	279.14	193.01	128.79	76.71	87.03	80.01	80.57	93.35	77.79
DHTKD1	567.1	307.69	476.71	507.46	866.07	341.51	785.88	291.04	629.35	836.53	299.25	503.95	483.38	633.73	314.17	547.75	521.76	1208.34	269.6	748.61	753.83	301.33	521.76	813.63	748.61	599.49	599.49	490.14	532.74	497.0	84.63	67.12	97.36	173.85	138.1	80.57	97.36	155.5	172.65	151.22	175.07	31.9	190.34	62.12	172.65	100.13	115.97	275.28	40.93	180.02	172.65	79.45	58.3	88.26	71.0	169.07	117.6	62.12	59.97	42.11	56.28	145.02	96.01	104.42	201.25	88.88	85.22	197.09	110.43	87.65	91.41	24.99	151.22	80.57	69.52	127.0
DNAJB9	981.29	2384.37	1806.78	1923.14	2303.12	2178.83	2163.77	1617.0	1745.2	2367.9	1388.16	1331.57	1733.13	1674.06	988.12	902.89	2895.31	2434.5	1088.92	4836.35	1135.2	1127.35	1617.0	2032.85	1477.58	1583.71	1135.2	1832.01	1651.0	674.59	1059.11	928.3	595.34	339.14	563.18	1199.98	1216.75	363.56	854.13	567.1	551.56	1819.35	269.6	836.53	791.35	674.59	915.51	483.38	536.45	642.59	480.04	1051.79	647.07	647.07	656.11	450.94	426.57	775.05	848.22	954.43	638.15	228.13	796.86	1023.0	507.46	457.25	981.29	921.88	387.02	764.36	599.49	1561.89	743.43	884.29	651.58	1001.93
DNAJC1	872.1	1883.54	947.83	1350.18	1519.15	759.08	1883.54	1519.15	1242.34	2895.31	872.1	674.59	1457.23	1088.92	1295.13	1572.76	902.89	1437.15	698.41	1685.71	1030.12	1051.79	1583.71	1030.12	1583.71	1447.15	1030.12	1388.16	791.35	738.29	915.51	769.69	642.59	409.15	507.46	1359.57	454.09	540.19	587.13	403.5	647.07	1508.65	403.5	921.88	896.64	470.14	447.82	429.54	591.22	1183.45	490.14	503.95	860.08	412.0	1030.12	397.93	599.49	412.0	536.45	723.08	529.06	267.73	441.64	518.15	624.99	532.74	674.59	759.08	647.07	1023.0	796.86	1127.35	486.75	1037.29	665.29	536.45
DPH6	368.65	275.28	316.37	161.02	244.57	262.2	269.6	198.47	163.28	291.04	262.2	154.42	269.6	166.73	269.6	253.23	318.57	277.2	165.57	320.8	185.11	271.48	167.9	215.77	361.04	209.84	244.57	264.03	260.38	314.17	147.06	195.72	228.13	177.53	271.48	147.06	185.11	429.54	301.33	153.34	191.67	81.71	122.64	293.07	260.38	76.17	153.34	137.14	170.25	536.45	185.11	58.71	279.14	119.26	102.97	336.79	90.14	147.06	214.27	75.11	153.34	267.73	318.57	204.07	476.71	226.54	229.72	260.38	183.82	395.18	195.72	117.6	143.01	150.17	185.11	201.25
DPP4	1111.82	3235.01	3325.99	1745.2	2682.69	3190.46	2664.15	1819.35	1498.22	3212.66	1594.73	1561.89	2609.3	1073.91	921.88	3212.66	5255.91	1447.15	1225.22	1806.78	1651.0	2591.27	3982.99	6037.61	2555.58	2895.31	1572.76	3639.7	854.13	1769.57	429.54	183.82	195.72	1417.35	303.44	143.01	2075.59	104.42	2835.7	309.83	555.41	82.29	536.45	155.5	309.83	120.1	291.04	353.59	279.14	1498.22	84.04	104.42	59.97	89.51	91.41	909.17	1135.2	70.01	76.17	112.77	224.97	223.41	928.3	341.51	3794.3	224.97	232.94	791.35	316.37	397.93	49.91	101.54	3847.29	195.72	281.09	79.45
DUSP11	620.67	866.07	599.49	638.15	703.28	753.83	791.35	638.15	571.05	1023.0	435.55	693.58	591.22	536.45	607.87	555.41	775.05	620.67	406.31	1001.93	490.14	583.07	679.29	633.73	1023.0	536.45	595.34	532.74	536.45	486.75	178.77	264.03	343.89	547.75	361.04	260.38	371.22	444.72	633.73	507.46	547.75	177.53	353.59	239.52	262.2	414.87	323.03	599.49	205.5	718.08	660.68	155.5	289.02	356.05	102.25	460.44	231.32	255.0	264.03	215.77	248.0	265.87	420.68	438.59	679.29	236.21	395.18	674.59	253.23	211.31	253.23	246.28	283.05	253.23	214.27	368.65
ECI2	3060.45	2090.03	1923.14	2739.08	2645.74	1991.0	2018.8	1127.35	1923.14	2417.67	1008.9	1794.29	2104.58	2209.26	1457.23	2287.2	3395.89	2976.74	896.64	2956.17	2739.08	1936.53	2739.08	1662.49	2627.46	1757.34	2271.4	1977.24	2796.65	1794.29	476.71	229.72	947.83	713.11	1378.57	406.31	753.83	1159.07	518.15	1191.69	1143.1	186.4	1023.0	1350.18	629.35	299.25	791.35	2935.74	241.19	1674.06	1359.57	521.76	447.82	400.71	147.06	591.22	941.27	265.87	543.96	361.04	353.59	1111.82	1023.0	503.95	1605.83	438.59	466.88	1498.22	351.14	532.74	819.3	172.65	860.08	587.13	400.71	902.89
EHHADH	1651.0	1437.15	1369.04	1498.22	2555.58	3847.29	1733.13	555.41	1583.71	3039.3	674.59	1936.53	764.36	1151.06	1268.46	1208.34	4298.64	2133.97	260.38	1709.26	1159.07	1909.85	3235.01	3280.18	4328.55	1304.15	2739.08	1008.9	2777.33	1369.04	63.45	27.84	55.1	169.07	66.65	27.05	53.19	81.14	87.65	147.06	157.68	14.78	117.6	27.25	37.05	21.78	34.75	201.25	33.78	180.02	218.79	12.0	40.07	35.0	5.82	88.88	62.12	47.17	58.71	37.59	26.28	73.03	95.34	25.91	246.28	36.01	57.49	161.02	31.45	51.35	16.75	24.11	90.77	50.63	33.54	45.53
EMX1	890.44	277.2	221.86	176.29	94.67	327.56	218.79	460.44	173.85	371.22	36.79	239.52	191.67	237.86	486.75	348.71	447.82	159.9	38.12	84.63	332.14	208.38	251.48	158.79	633.73	182.55	271.48	63.0	417.77	497.0	12.93	0.0	1.64	0.95	0.93	0.26	0.0	0.0	0.0	0.0	0.0	2.92	1.73	2.34	0.91	0.18	0.0	21.01	0.29	2.63	0.0	0.26	0.27	0.0	0.0	0.0	23.93	16.75	0.0	0.0	13.22	0.0	0.0	0.0	0.25	0.0	3.63	0.0	0.0	0.0	0.0	0.23	0.38	0.0	1.99	9.63
FAHD1	1059.11	2417.67	1277.29	2956.17	1870.53	2104.58	3257.52	2303.12	1781.89	2875.3	836.53	1923.14	2777.33	1896.65	1508.65	2796.65	1662.49	2664.15	595.34	2133.97	1857.6	3419.52	2468.49	1662.49	3564.78	3690.52	1806.78	1508.65	2555.58	1340.84	236.21	265.87	273.37	397.93	356.05	126.12	341.51	368.65	297.17	339.14	363.56	96.68	387.02	199.85	201.25	140.04	159.9	287.01	159.9	343.89	460.44	187.71	186.4	140.04	107.38	255.0	224.97	162.14	256.78	90.77	119.26	285.03	241.19	194.36	497.0	187.71	191.67	454.09	162.14	172.65	186.4	171.45	169.07	185.11	161.02	145.02
FAM120A	1529.73	1733.13	1561.89	1870.53	2609.3	1832.01	1304.15	738.29	1628.26	2032.85	1870.53	1199.98	1561.89	1250.98	1037.29	1819.35	2701.35	2119.22	1175.27	1457.23	1437.15	1259.69	1199.98	1769.57	1242.34	1286.18	1313.23	1467.37	1498.22	1651.0	1639.59	1286.18	1350.18	988.12	785.88	1199.98	1199.98	1044.52	1388.16	1447.15	1066.48	785.88	1159.07	974.5	878.17	1059.11	934.76	1378.57	688.78	1151.06	1208.34	928.3	813.63	854.13	420.68	738.29	759.08	896.64	866.07	684.02	813.63	808.0	1508.65	995.0	1388.16	890.44	642.59	1498.22	947.83	921.88	567.1	1096.5	860.08	808.0	1151.06	753.83
FAM120AOS	890.44	2627.46	1359.57	2796.65	2502.97	1757.34	1233.75	796.86	1225.22	3124.78	1757.34	1225.22	2384.37	1127.35	1127.35	1447.15	5479.15	2956.17	1111.82	2451.44	1015.93	1135.2	1104.13	1551.09	1008.9	1175.27	1066.48	1191.69	1651.0	928.3	1159.07	753.83	928.3	1030.12	684.02	417.77	974.5	961.07	896.64	1427.22	1572.76	785.88	878.17	825.0	595.34	476.71	896.64	909.17	551.56	1519.15	1199.98	511.0	733.19	961.07	341.51	909.17	473.41	915.51	819.3	373.81	463.65	836.53	890.44	791.35	1216.75	571.05	543.96	2075.59	633.73	808.0	684.02	521.76	497.0	633.73	563.18	423.61
FAM134B	1844.76	2855.44	1639.59	890.44	2796.65	3901.01	1350.18	1561.89	808.0	1733.13	651.58	2032.85	1529.73	1008.9	1896.65	1583.71	4066.71	5751.61	860.08	1242.34	2018.8	1745.2	2240.11	1437.15	4481.23	769.69	2701.35	2178.83	1883.54	3212.66	154.42	72.01	457.25	543.96	490.14	723.08	2682.69	134.3	607.87	107.38	102.97	1242.34	223.41	320.8	603.67	119.26	125.24	127.0	438.59	571.05	327.56	351.14	151.22	129.69	409.15	111.21	813.63	423.61	131.51	497.0	1233.75	249.73	1208.34	314.17	314.17	536.45	371.22	218.79	339.14	262.2	332.14	819.3	460.44	1674.06	514.56	2417.67
FARSB	368.65	928.3	624.99	842.36	426.57	796.86	684.02	591.22	571.05	928.3	403.5	497.0	743.43	460.44	708.18	651.58	638.15	547.75	497.0	693.58	500.46	563.18	599.49	791.35	633.73	559.28	466.88	518.15	660.68	532.74	713.11	228.13	353.59	400.71	381.68	400.71	547.75	603.67	379.04	457.25	339.14	242.88	295.11	748.61	220.32	147.06	251.48	316.37	343.89	463.65	363.56	187.71	329.84	279.14	169.07	454.09	265.87	281.09	348.71	275.28	221.86	409.15	591.22	320.8	387.02	295.11	277.2	848.22	295.11	229.72	361.04	157.68	327.56	318.57	307.69	223.41
FBXO27	166.73	624.99	103.69	426.57	209.84	264.03	329.84	463.65	94.67	206.94	78.89	74.58	981.29	241.19	318.57	309.83	318.57	214.27	65.26	371.22	99.43	90.77	242.88	299.25	651.58	318.57	117.6	309.83	65.26	149.12	14.89	23.59	70.01	95.34	64.34	12.74	11.82	37.59	20.56	37.05	102.25	17.38	457.25	7.63	85.22	17.25	44.89	44.25	50.63	145.02	121.79	40.64	20.71	21.78	2.56	33.06	22.26	26.86	27.05	37.32	15.56	80.57	105.89	74.58	197.09	10.0	0.83	346.29	37.05	193.01	23.08	3.59	21.01	20.41	31.67	26.86
FBXO36	191.67	139.07	80.57	120.94	115.16	119.26	148.09	87.03	82.87	128.79	74.06	65.72	88.26	71.5	73.03	60.82	115.97	81.71	56.28	129.69	47.17	58.3	110.43	107.38	253.23	78.89	96.68	105.15	181.28	92.7	44.57	40.36	129.69	48.52	305.55	314.17	98.73	114.36	96.01	162.14	104.42	55.89	58.3	239.52	28.24	34.02	28.04	155.5	94.01	104.42	57.08	109.66	39.22	58.71	53.19	54.33	98.04	71.5	45.21	57.89	40.64	102.25	599.49	86.43	91.41	78.89	115.97	40.07	27.64	48.52	60.39	47.84	90.14	72.01	57.49	190.34
FRMPD1	13.83	24.46	7.82	15.11	3.86	20.71	34.51	4.94	5.96	20.41	1.81	1.04	7.88	2.32	13.03	3.44	17.25	6.52	0.39	0.65	18.29	19.53	19.53	4.06	27.25	15.68	23.08	4.35	6.16	13.52	3.69	3.08	10.71	3.99	9.41	3.26	19.25	2.94	0.77	4.28	27.64	2.01	1.93	1.22	3.92	0.0	6.26	1.35	1.35	9.2	14.35	7.75	2.61	9.93	1.28	0.67	1.33	2.76	3.69	3.89	1.83	28.86	9.56	4.31	1.93	6.06	3.14	8.58	1.89	3.2	1.27	0.0	1.43	1.85	4.24	4.28
FTCDNL1	59.55	47.17	116.78	54.72	61.25	108.14	36.79	35.5	64.8	42.41	67.59	43.94	61.25	31.9	40.07	34.02	100.13	92.7	12.93	48.18	71.5	58.71	81.71	131.51	77.25	26.67	26.86	21.78	89.51	26.1	44.89	17.38	102.25	105.89	96.01	17.64	81.71	70.51	37.05	33.78	42.11	23.08	11.13	25.35	58.3	7.11	10.47	63.89	12.93	54.33	4.62	24.46	46.18	38.12	10.08	24.63	40.36	21.32	30.12	17.38	13.22	82.87	133.36	10.96	145.02	47.84	13.52	60.82	35.76	43.32	88.88	32.13	55.1	51.35	48.87	80.57
GALNT11	4575.41	1378.57	1369.04	2627.46	6037.61	3901.01	2351.53	2224.63	2777.33	5112.16	2047.0	2209.26	4298.64	2004.85	1697.45	2367.9	5219.6	5006.93	1023.0	5041.77	1991.0	2367.9	5403.7	2591.27	3614.55	2032.85	2720.15	4836.35	3491.39	3103.19	518.15	651.58	825.0	981.29	759.08	256.78	813.63	1216.75	638.15	1159.07	902.89	285.03	775.05	127.0	473.41	260.38	575.03	1030.12	417.77	1437.15	1498.22	295.11	780.44	633.73	161.02	665.29	503.95	836.53	1183.45	156.59	208.38	1059.11	688.78	947.83	1304.15	559.28	221.86	1175.27	607.87	1322.37	277.2	224.97	743.43	412.0	728.11	381.68
GCSH	981.29	1044.52	796.86	1407.55	607.87	974.5	1143.1	967.76	1159.07	1388.16	409.15	842.36	1259.69	780.44	1059.11	1340.84	1159.07	1167.14	493.56	1457.23	1208.34	1923.14	2133.97	848.22	1250.98	921.88	1015.93	688.78	1051.79	954.43	679.29	161.02	301.33	267.73	262.2	226.54	329.84	392.44	409.15	271.48	387.02	205.5	251.48	397.93	187.71	126.12	220.32	343.89	136.19	463.65	265.87	60.39	332.14	204.07	136.19	231.32	110.43	173.85	226.54	92.7	165.57	260.38	297.17	127.89	348.71	237.86	95.34	669.92	140.04	170.25	511.0	135.24	241.19	201.25	206.94	211.31
GGT1	6337.83	9279.58	2520.38	8078.22	5872.48	7589.61	9215.48	7642.41	7433.4	17197.56	3540.14	6561.36	4481.23	6652.97	11424.74	2193.99	7537.18	5255.91	1242.34	9540.5	6983.79	5954.47	7857.29	7180.15	11909.94	10733.74	7331.05	5403.7	2997.45	3124.78	503.95	698.41	1977.24	4419.52	1498.22	802.41	1051.79	532.74	248.0	1159.07	961.07	587.13	1936.53	961.07	1008.9	91.41	1733.13	1111.82	486.75	802.41	967.76	1359.57	1498.22	231.32	303.44	603.67	1651.0	320.8	941.27	256.78	713.11	1001.93	1447.15	438.59	1617.0	995.0	536.45	1781.89	3614.55	1639.59	819.3	629.35	941.27	796.86	1044.52	316.37
GLYAT	3742.05	1583.71	1519.15	2682.69	2468.49	1923.14	5403.7	3349.13	2835.7	4639.29	896.64	2609.3	336.79	3257.52	2485.67	1909.85	3060.45	3146.52	693.58	4419.52	3515.68	3124.78	9279.58	3639.7	5954.47	2255.7	3690.52	1950.0	2104.58	3491.39	0.0	0.88	0.89	0.0	0.0	0.0	0.0	7.63	0.0	1.25	1.11	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	2.51	2.41	0.69	0.93	3.23	0.0	0.0	2.2	0.0	0.0	0.0	2.05	0.0	0.93	0.0	1.13	0.0	0.0	0.0	0.89	0.91	0.0	0.0	1.93	0.44	0.0	0.0
GLYATL1	2451.44	1806.78	1359.57	1268.46	2591.27	5292.48	2645.74	1277.29	1639.59	2701.35	642.59	2855.44	1883.54	2303.12	1628.26	1143.1	6294.04	4972.34	285.03	4836.35	684.02	1628.26	4239.45	5292.48	4066.71	674.59	3820.7	4066.71	3564.78	1183.45	0.0	7.34	3.38	2.14	0.0	17.13	0.0	24.63	7.34	2.71	8.19	0.19	4.5	1.5	1.25	2.76	0.16	4.66	0.54	0.0	0.78	1.27	0.0	0.0	3.38	2.2	0.91	0.21	7.75	0.48	97.36	0.0	0.52	4.06	14.14	1.23	16.39	0.0	0.14	0.0	0.0	0.0	8.25	2.84	0.58	0.0
GNPDA1	1378.57	1030.12	2004.85	1183.45	1639.59	2133.97	1397.83	693.58	1407.55	1477.58	1015.93	1447.15	1662.49	1008.9	866.07	934.76	981.29	1388.16	884.29	1037.29	2004.85	1175.27	1340.84	1369.04	1487.87	995.0	1268.46	1088.92	1225.22	1159.07	457.25	297.17	356.05	764.36	420.68	231.32	660.68	497.0	728.11	599.49	603.67	293.07	579.04	429.54	363.56	343.89	392.44	791.35	297.17	536.45	493.56	325.29	312.0	366.09	236.21	426.57	381.68	269.6	397.93	336.79	264.03	454.09	438.59	314.17	878.17	384.34	323.03	902.89	332.14	389.72	297.17	389.72	476.71	389.72	414.87	297.17
GPHN	395.18	182.55	358.54	277.2	229.72	583.07	209.84	147.06	297.17	532.74	201.25	248.0	312.0	162.14	429.54	334.46	409.15	150.17	175.07	305.55	295.11	392.44	220.32	169.07	420.68	264.03	529.06	244.57	305.55	796.86	325.29	197.09	249.73	198.47	392.44	167.9	571.05	120.1	273.37	273.37	323.03	371.22	351.14	152.28	438.59	127.0	124.37	231.32	336.79	423.61	173.85	172.65	193.01	178.77	320.8	112.77	376.41	150.17	262.2	120.1	113.56	348.71	417.77	212.78	226.54	285.03	144.01	348.71	279.14	135.24	262.2	103.69	674.59	267.73	185.11	336.79
GPR160	981.29	854.13	854.13	738.29	406.31	796.86	414.87	426.57	860.08	1008.9	476.71	974.5	177.53	629.35	454.09	825.0	902.89	543.96	151.22	813.63	723.08	500.46	1175.27	802.41	432.53	1023.0	748.61	384.34	947.83	941.27	571.05	450.94	384.34	532.74	507.46	738.29	1259.69	135.24	262.2	536.45	974.5	142.01	595.34	75.64	194.36	88.88	47.17	305.55	120.94	220.32	164.42	104.42	75.11	55.89	30.12	76.71	249.73	158.79	108.14	59.97	23.76	303.44	1923.14	92.7	1051.79	262.2	175.07	1447.15	155.5	100.13	31.45	58.3	295.11	75.64	127.0	183.82
GRHPR	4450.27	4512.4	2609.3	3982.99	2855.44	2816.11	2573.36	2468.49	4268.94	3491.39	2178.83	3443.31	2468.49	3303.0	2701.35	3212.66	3395.89	3060.45	1508.65	5711.87	4038.61	3639.7	4903.87	3690.52	3874.05	3419.52	3768.09	2796.65	3349.13	3372.43	2075.59	583.07	1487.87	2090.03	1519.15	981.29	1359.57	1674.06	2018.8	2104.58	2178.83	713.11	2591.27	1594.73	1417.35	743.43	1111.82	1963.57	1259.69	2573.36	1769.57	1167.14	1950.0	1286.18	842.36	2163.77	1143.1	1250.98	1498.22	1175.27	961.07	2555.58	1127.35	1259.69	1286.18	1417.35	693.58	2468.49	1551.09	1340.84	2047.0	967.76	1369.04	1447.15	1407.55	743.43
GSTZ1	1008.9	353.59	476.71	341.51	353.59	679.29	205.5	299.25	241.19	480.04	336.79	336.79	332.14	253.23	318.57	358.54	305.55	231.32	289.02	389.72	780.44	493.56	201.25	175.07	525.39	387.02	470.14	220.32	397.93	624.99	275.28	195.72	237.86	583.07	476.71	154.42	275.28	583.07	525.39	314.17	429.54	145.02	426.57	256.78	135.24	90.14	201.25	529.06	255.0	381.68	265.87	137.14	231.32	195.72	187.71	420.68	239.52	176.29	226.54	149.12	105.89	457.25	392.44	172.65	1030.12	277.2	190.34	830.75	132.44	212.78	131.51	92.7	518.15	220.32	205.5	341.51
HABP4	674.59	802.41	470.14	507.46	616.37	743.43	567.1	299.25	514.56	583.07	403.5	521.76	400.71	497.0	543.96	669.92	620.67	878.17	277.2	708.18	403.5	660.68	368.65	412.0	688.78	718.08	525.39	718.08	287.01	796.86	414.87	299.25	316.37	183.82	323.03	135.24	220.32	258.57	189.02	361.04	348.71	384.34	122.64	309.83	551.56	376.41	483.38	297.17	351.14	223.41	267.73	688.78	406.31	642.59	400.71	463.65	435.55	341.51	312.0	409.15	371.22	251.48	198.47	429.54	189.02	314.17	251.48	435.55	327.56	323.03	713.11	285.03	287.01	336.79	339.14	381.68
HADHA	4512.4	5872.48	4010.71	5995.9	4972.34	5995.9	5711.87	3564.78	4704.07	7749.1	2915.45	3419.52	4972.34	3794.3	3742.05	3955.48	6471.02	4358.66	2816.11	3901.01	4543.8	3443.31	7642.41	6516.03	10959.3	5872.48	4704.07	3614.55	4152.18	3847.29	2119.22	1745.2	2417.67	2090.03	2417.67	1369.04	2119.22	1378.57	2468.49	2255.7	2627.46	1651.0	3665.02	1286.18	1936.53	1225.22	1832.01	1697.45	1340.84	2400.97	1757.34	1551.09	1594.73	1551.09	1561.89	2032.85	1519.15	1225.22	2018.8	1340.84	1286.18	2468.49	1963.57	1540.37	3794.3	1769.57	1950.0	3257.52	1378.57	1781.89	2018.8	1233.75	2351.53	1991.0	2163.77	1794.29
