	TCGA.FV.A3R3.01A.11R.A22L.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.DD.AACN.01A.11R.A41C.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.DD.A1EC.01A.21R.A131.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.BC.A216.01A.11R.A155.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.13FTW.1126.SM.5J2NV	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	TCGA.D7.8578.01A.21R.2343.13	TCGA.BR.8286.01A.12R.2343.13	TCGA.BR.8682.01A.11R.2402.13	TCGA.F1.6874.01A.11R.1884.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.BR.8683.01A.11R.2402.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.MX.A663.01A.11R.A31P.31	TCGA.CD.8529.01A.11R.2343.13
MED22	169.07	212.78	214.27	358.54	156.59	251.48	409.15	221.86	293.07	316.37	381.68	323.03	256.78	199.85	318.57	305.55	269.6	127.0	89.51	63.89	127.89	170.25	114.36	121.79	142.01	44.89	84.04	77.79	87.65	94.01	117.6	140.04	92.05	118.43	121.79	69.52	94.01	74.06	86.43	140.04	204.07	202.66	92.05	68.07	26.47	93.35	379.04	470.14	518.15	381.68	543.96	454.09	441.64	473.41	642.59	412.0
MFSD6	165.57	223.41	228.13	215.77	148.09	158.79	384.34	201.25	162.14	283.05	525.39	224.97	234.57	218.79	258.57	136.19	211.31	8.32	95.34	46.18	81.71	24.99	26.67	66.18	115.97	80.57	39.5	56.68	28.45	37.59	11.91	84.63	60.82	48.52	124.37	9.27	44.25	30.34	23.08	44.25	170.25	97.36	26.67	90.14	14.14	72.52	934.76	743.43	813.63	1295.13	518.15	563.18	1457.23	656.11	409.15	633.73
MTF1	44.89	23.42	52.08	50.98	42.41	59.55	61.25	63.45	56.68	29.06	60.39	35.0	44.57	44.89	105.15	48.87	53.57	23.42	60.39	22.59	40.64	26.47	26.28	30.78	36.53	49.21	25.35	18.29	29.06	33.78	32.59	32.36	18.03	30.34	33.78	45.85	21.16	20.41	43.02	35.0	43.63	26.28	30.78	15.11	17.25	40.07	102.97	92.05	146.03	154.42	120.1	98.04	140.04	134.3	90.14	119.26
NDOR1	137.14	150.17	90.77	198.47	90.77	197.09	246.28	175.07	193.01	194.36	215.77	166.73	185.11	120.94	159.9	141.02	178.77	45.21	46.18	58.3	46.5	46.18	50.27	31.0	165.57	79.45	53.19	40.07	38.95	58.71	46.5	48.52	39.5	57.49	59.97	50.98	64.8	51.71	49.91	102.25	104.42	71.5	53.57	53.19	16.39	74.06	239.52	223.41	312.0	221.86	260.38	258.57	406.31	536.45	363.56	242.88
NELFA	373.81	571.05	381.68	540.19	551.56	571.05	651.58	353.59	543.96	555.41	738.29	507.46	647.07	480.04	607.87	376.41	397.93	249.73	99.43	275.28	163.28	327.56	264.03	262.2	293.07	148.09	320.8	387.02	249.73	206.94	307.69	329.84	389.72	497.0	145.02	244.57	348.71	327.56	223.41	444.72	249.73	256.78	305.55	329.84	118.43	205.5	575.03	688.78	679.29	669.92	633.73	669.92	842.36	860.08	775.05	802.41
NEURL1B	503.95	194.36	102.25	327.56	127.0	305.55	361.04	161.02	205.5	105.15	167.9	182.55	220.32	351.14	180.02	190.34	579.04	56.68	305.55	49.91	120.94	145.02	45.53	48.18	132.44	131.51	56.28	55.1	37.32	113.56	61.68	54.72	85.82	100.13	211.31	18.03	41.52	52.45	86.43	57.89	163.28	115.97	52.82	27.64	9.27	131.51	341.51	258.57	486.75	258.57	603.67	620.67	1175.27	312.0	373.81	358.54
NSD1	229.72	158.79	148.09	303.44	167.9	199.85	299.25	199.85	157.68	178.77	220.32	198.47	204.07	241.19	258.57	186.4	305.55	55.49	80.01	100.83	88.88	136.19	85.22	78.89	100.13	88.88	75.64	63.45	50.27	113.56	75.64	42.41	44.89	80.01	75.11	93.35	84.04	63.45	64.34	107.38	89.51	124.37	67.59	80.57	23.42	69.52	409.15	242.88	480.04	616.37	384.34	348.71	460.44	473.41	387.02	339.14
PAK4	733.19	599.49	409.15	587.13	444.72	813.63	1104.13	532.74	579.04	733.19	1051.79	583.07	473.41	718.08	988.12	583.07	988.12	291.04	244.57	373.81	220.32	346.29	426.57	409.15	551.56	244.57	412.0	738.29	320.8	346.29	447.82	518.15	521.76	547.75	318.57	361.04	400.71	476.71	551.56	808.0	620.67	909.17	423.61	429.54	221.86	178.77	1844.76	1477.58	967.76	1322.37	775.05	688.78	1037.29	1030.12	1304.15	1277.29
PCGF3	397.93	497.0	397.93	642.59	733.19	559.28	791.35	444.72	518.15	486.75	825.0	532.74	693.58	409.15	775.05	493.56	473.41	384.34	151.22	172.65	154.42	232.94	314.17	246.28	211.31	371.22	223.41	312.0	180.02	156.59	320.8	314.17	170.25	293.07	248.0	96.01	279.14	265.87	273.37	246.28	176.29	316.37	201.25	336.79	120.94	193.01	1037.29	551.56	1044.52	928.3	830.75	748.61	1286.18	629.35	708.18	780.44
PIAS3	237.86	435.55	293.07	400.71	303.44	435.55	638.15	336.79	320.8	511.0	769.69	463.65	293.07	514.56	271.48	356.05	435.55	77.79	65.72	68.55	100.83	126.12	100.13	68.07	221.86	76.71	114.36	113.56	57.08	99.43	94.01	67.12	77.79	125.24	104.42	56.28	212.78	84.63	93.35	102.97	211.31	124.37	88.26	95.34	28.24	108.9	995.0	679.29	688.78	791.35	1183.45	748.61	780.44	1096.5	738.29	1250.98
PIGG	543.96	567.1	575.03	708.18	764.36	728.11	813.63	629.35	738.29	785.88	1081.39	718.08	884.29	802.41	1268.46	575.03	728.11	283.05	277.2	353.59	234.57	503.95	518.15	363.56	447.82	343.89	309.83	587.13	251.48	223.41	289.02	371.22	624.99	698.41	307.69	400.71	414.87	543.96	339.14	563.18	454.09	629.35	314.17	376.41	215.77	454.09	872.1	703.28	890.44	854.13	796.86	1030.12	1304.15	896.64	842.36	674.59
PIGS	551.56	325.29	376.41	532.74	384.34	514.56	708.18	239.52	406.31	441.64	543.96	379.04	493.56	429.54	403.5	293.07	559.28	202.66	248.0	248.0	221.86	109.66	228.13	141.02	336.79	249.73	176.29	312.0	113.56	387.02	303.44	136.19	148.09	148.09	429.54	400.71	260.38	106.63	277.2	295.11	285.03	135.24	197.09	162.14	218.79	432.53	1508.65	1277.29	1135.2	1175.27	780.44	738.29	796.86	1467.37	819.3	1104.13
PIP5K1C	314.17	269.6	264.03	343.89	195.72	339.14	381.68	242.88	283.05	289.02	339.14	275.28	256.78	175.07	629.35	218.79	189.02	73.03	183.82	127.0	50.27	93.35	61.25	58.3	165.57	108.9	70.01	82.87	39.22	96.68	79.45	82.87	68.55	120.1	142.01	60.39	123.5	105.89	67.12	115.97	186.4	158.79	60.82	77.25	37.05	151.22	848.22	406.31	1023.0	587.13	1896.65	1104.13	854.13	738.29	1119.56	698.41
PLEKHA8	22.1	60.39	62.12	73.54	56.28	70.51	71.5	82.29	69.03	74.06	80.57	64.34	59.97	95.34	121.79	46.84	43.94	22.26	43.94	34.51	31.22	21.78	16.15	25.91	53.57	32.82	48.18	13.32	24.46	43.32	13.83	36.01	11.73	25.35	24.46	24.11	43.02	30.12	35.25	9.85	41.81	16.75	50.27	24.46	15.56	21.16	150.17	115.97	209.84	256.78	141.02	183.82	228.13	127.89	139.07	108.9
PLEKHM2	642.59	414.87	389.72	607.87	490.14	612.11	642.59	409.15	728.11	376.41	454.09	351.14	642.59	412.0	775.05	591.22	599.49	253.23	414.87	249.73	267.73	295.11	202.66	209.84	603.67	325.29	145.02	164.42	232.94	305.55	269.6	307.69	186.4	220.32	361.04	309.83	264.03	206.94	205.5	279.14	579.04	387.02	242.88	152.28	136.19	389.72	1008.9	728.11	836.53	733.19	902.89	813.63	808.0	703.28	896.64	866.07
PLXNA1	136.19	129.69	84.63	104.42	85.82	126.12	271.48	128.79	113.56	55.49	242.88	150.17	236.21	169.07	242.88	74.58	94.67	8.13	52.08	22.59	16.39	36.79	11.04	12.09	107.38	40.64	24.81	16.39	29.7	43.02	14.56	29.27	11.21	16.27	52.08	36.53	49.56	19.82	18.56	27.44	53.19	46.5	22.26	31.22	1.64	38.67	759.08	339.14	518.15	780.44	463.65	511.0	928.3	575.03	559.28	460.44
RALA	463.65	420.68	336.79	423.61	389.72	486.75	463.65	480.04	500.46	435.55	819.3	395.18	480.04	441.64	928.3	327.56	312.0	351.14	603.67	285.03	444.72	309.83	189.02	444.72	353.59	283.05	389.72	172.65	180.02	332.14	242.88	214.27	237.86	201.25	309.83	246.28	241.19	190.34	191.67	169.07	379.04	346.29	234.57	190.34	181.28	228.13	848.22	988.12	599.49	738.29	532.74	738.29	947.83	656.11	642.59	583.07
RNASEH1	307.69	185.11	224.97	234.57	218.79	220.32	248.0	341.51	228.13	224.97	507.46	246.28	265.87	246.28	267.73	279.14	214.27	90.77	236.21	137.14	262.2	96.68	101.54	88.88	289.02	195.72	108.14	72.01	141.02	171.45	111.99	128.79	59.97	111.21	189.02	117.6	125.24	100.83	99.43	111.99	181.28	127.89	148.09	115.97	96.01	186.4	343.89	327.56	353.59	314.17	412.0	371.22	395.18	363.56	395.18	384.34
RNF216	231.32	283.05	246.28	303.44	264.03	301.33	287.01	403.5	336.79	281.09	361.04	277.2	269.6	392.44	579.04	165.57	223.41	135.24	165.57	228.13	88.26	134.3	101.54	91.41	105.15	130.6	76.17	105.89	111.99	152.28	208.38	177.53	141.02	164.42	154.42	125.24	97.36	125.24	87.65	143.01	195.72	205.5	105.15	88.26	100.13	143.01	679.29	540.19	633.73	591.22	796.86	633.73	612.11	438.59	642.59	497.0
RNF4	571.05	540.19	718.08	796.86	713.11	579.04	813.63	728.11	785.88	373.81	1051.79	493.56	551.56	954.43	1340.84	587.13	536.45	189.02	486.75	214.27	536.45	231.32	336.79	249.73	420.68	341.51	293.07	273.37	220.32	297.17	376.41	303.44	353.59	329.84	409.15	293.07	318.57	267.73	244.57	423.61	493.56	466.88	171.45	237.86	146.03	417.77	825.0	1159.07	1051.79	1216.75	1088.92	854.13	1001.93	1216.75	890.44	1119.56
RUNDC1	79.45	115.16	115.97	136.19	97.36	138.1	228.13	104.42	122.64	127.0	256.78	103.69	120.94	154.42	162.14	107.38	116.78	19.82	68.55	55.1	53.95	69.52	45.85	44.25	96.01	56.28	61.68	46.5	30.78	70.01	55.89	67.12	43.32	46.18	96.01	25.54	78.89	63.45	55.49	45.21	119.26	72.01	55.49	71.5	26.67	74.06	329.84	341.51	486.75	305.55	336.79	283.05	358.54	348.71	242.88	669.92
SCAF1	470.14	616.37	679.29	688.78	723.08	748.61	890.44	808.0	796.86	703.28	995.0	753.83	532.74	830.75	802.41	728.11	547.75	334.46	251.48	417.77	271.48	293.07	325.29	265.87	703.28	318.57	406.31	316.37	246.28	529.06	432.53	607.87	406.31	363.56	476.71	348.71	473.41	389.72	414.87	483.38	514.56	329.84	529.06	363.56	273.37	320.8	1551.09	1331.57	703.28	728.11	884.29	902.89	1096.5	909.17	1175.27	785.88
SERAC1	111.21	118.43	93.35	114.36	55.1	67.59	139.07	55.49	74.06	127.0	64.34	92.05	166.73	58.3	142.01	63.89	78.89	43.32	52.82	53.57	48.52	49.91	22.59	86.43	58.71	36.27	52.45	44.89	29.48	84.63	39.5	31.45	33.3	32.82	63.45	26.28	54.72	52.08	47.17	21.32	119.26	49.21	25.17	34.75	15.91	59.13	100.83	173.85	208.38	151.22	137.14	137.14	143.01	102.25	125.24	72.52
SLC26A2	71.5	39.22	71.0	75.11	52.08	45.85	154.42	41.81	38.95	53.57	35.25	34.02	45.53	62.56	60.39	92.05	173.85	10.71	28.86	10.96	17.77	13.93	4.46	11.3	35.0	13.32	20.41	6.11	8.65	15.68	23.25	13.83	4.43	17.51	14.24	8.51	22.1	7.88	16.75	12.83	26.1	15.45	9.7	5.23	2.01	11.04	98.04	58.71	202.66	154.42	123.5	71.5	163.28	463.65	157.68	141.02
SLC35E1	559.28	503.95	921.88	595.34	409.15	447.82	909.17	543.96	642.59	529.06	647.07	595.34	728.11	1111.82	915.51	400.71	587.13	299.25	248.0	281.09	361.04	327.56	346.29	470.14	264.03	279.14	287.01	221.86	291.04	334.46	463.65	325.29	403.5	327.56	299.25	214.27	353.59	307.69	256.78	400.71	414.87	316.37	212.78	220.32	202.66	373.81	1322.37	1304.15	1081.39	1340.84	1208.34	1096.5	1191.69	1745.2	813.63	1417.35
SLC7A6	57.89	66.18	70.51	129.69	76.71	145.02	133.36	135.24	131.51	56.68	249.73	44.25	69.03	113.56	265.87	88.26	68.07	11.73	39.79	16.15	48.87	10.71	11.82	10.16	113.56	48.52	27.84	9.93	15.91	6.11	6.41	13.22	7.82	23.93	50.98	18.84	46.5	27.84	20.86	20.11	40.64	29.7	17.25	18.16	5.82	40.07	334.46	363.56	493.56	323.03	595.34	417.77	974.5	483.38	392.44	409.15
SNX13	217.27	175.07	220.32	198.47	264.03	212.78	183.82	264.03	173.85	199.85	248.0	180.02	154.42	334.46	480.04	220.32	199.85	93.35	217.27	102.97	178.77	124.37	78.34	205.5	153.34	141.02	133.36	133.36	171.45	166.73	129.69	83.45	92.7	135.24	143.01	71.5	166.73	158.79	128.79	101.54	133.36	167.9	70.51	118.43	107.38	173.85	376.41	426.57	457.25	647.07	376.41	551.56	612.11	366.09	346.29	358.54
SOCS7	35.0	24.99	36.53	65.72	27.44	47.84	84.63	55.89	55.1	50.27	79.45	50.63	94.01	72.52	128.79	29.27	38.67	7.69	35.0	5.87	17.13	4.06	11.13	1.11	30.12	29.91	2.73	7.82	4.66	6.89	8.45	2.84	8.78	13.83	11.91	8.92	10.0	2.94	6.16	17.64	15.91	9.27	2.14	25.17	2.58	22.43	150.17	134.3	301.33	181.28	162.14	148.09	209.84	162.14	95.34	248.0
SOGA1	65.26	52.45	82.29	98.73	40.07	68.07	176.29	48.52	42.41	52.08	98.73	59.97	83.45	150.17	66.18	62.12	124.37	5.82	24.11	12.64	6.01	10.47	8.19	4.35	29.48	22.92	15.45	12.93	4.17	15.45	4.31	8.25	11.73	45.53	31.22	2.76	10.63	13.22	9.93	9.7	39.5	39.22	5.23	11.13	3.66	13.52	435.55	154.42	403.5	139.07	540.19	320.8	624.99	244.57	309.83	281.09
SPTY2D1	105.15	104.42	111.99	224.97	156.59	177.53	214.27	151.22	156.59	170.25	248.0	159.9	152.28	114.36	232.94	133.36	131.51	92.7	145.02	89.51	122.64	81.71	78.34	113.56	169.07	85.82	137.14	69.03	77.25	129.69	108.14	85.82	79.45	96.01	126.12	211.31	129.69	98.73	79.45	84.04	111.21	89.51	73.54	75.11	80.57	93.35	221.86	351.14	277.2	397.93	246.28	262.2	417.77	403.5	303.44	417.77
SRPK2	329.84	363.56	332.14	409.15	389.72	332.14	403.5	476.71	307.69	366.09	356.05	346.29	307.69	463.65	493.56	260.38	253.23	127.0	186.4	214.27	199.85	150.17	128.79	137.14	239.52	242.88	275.28	224.97	178.77	181.28	127.0	127.89	137.14	153.34	183.82	148.09	166.73	214.27	135.24	86.43	202.66	287.01	143.01	197.09	124.37	220.32	543.96	395.18	575.03	435.55	486.75	503.95	490.14	426.57	480.04	587.13
STRBP	201.25	215.77	206.94	334.46	167.9	194.36	532.74	312.0	237.86	371.22	314.17	460.44	384.34	197.09	327.56	108.9	262.2	148.09	151.22	180.02	122.64	265.87	92.7	90.77	229.72	123.5	127.0	84.04	167.9	209.84	135.24	92.05	251.48	275.28	137.14	102.97	173.85	92.05	142.01	118.43	135.24	107.38	100.83	183.82	74.58	95.34	239.52	273.37	547.75	441.64	366.09	325.29	403.5	309.83	409.15	366.09
STRN4	941.27	872.1	825.0	1066.48	703.28	1066.48	1295.13	808.0	1175.27	1127.35	1191.69	915.51	791.35	819.3	1259.69	708.18	1066.48	260.38	366.09	423.61	249.73	460.44	420.68	332.14	420.68	368.65	329.84	559.28	269.6	301.33	368.65	417.77	412.0	432.53	384.34	373.81	540.19	376.41	348.71	591.22	813.63	551.56	429.54	460.44	199.85	346.29	2209.26	1628.26	1378.57	1540.37	1313.23	1008.9	1651.0	1407.55	1697.45	1143.1
SUN1	872.1	1242.34	1001.93	1407.55	1697.45	1628.26	1417.35	1208.34	1242.34	1340.84	2555.58	1242.34	1250.98	1594.73	1561.89	1757.34	1127.35	624.99	417.77	612.11	379.04	1008.9	698.41	743.43	525.39	579.04	660.68	981.29	483.38	532.74	921.88	473.41	591.22	921.88	854.13	718.08	647.07	1119.56	656.11	961.07	551.56	633.73	723.08	830.75	403.5	567.1	1617.0	2591.27	3103.19	2976.74	2682.69	2032.85	4123.49	1437.15	1781.89	1697.45
TAF6	575.03	961.07	397.93	579.04	599.49	921.88	866.07	884.29	785.88	616.37	842.36	703.28	775.05	616.37	1259.69	728.11	813.63	205.5	312.0	305.55	285.03	346.29	189.02	181.28	656.11	309.83	271.48	214.27	260.38	454.09	256.78	316.37	249.73	283.05	287.01	244.57	387.02	371.22	346.29	329.84	400.71	239.52	400.71	258.57	134.3	253.23	1594.73	1268.46	947.83	1369.04	1104.13	947.83	954.43	1143.1	1340.84	1331.57
TBC1D14	507.46	323.03	387.02	490.14	351.14	460.44	808.0	444.72	651.58	336.79	764.36	543.96	633.73	780.44	1051.79	224.97	536.45	209.84	228.13	236.21	432.53	466.88	271.48	297.17	358.54	244.57	111.21	316.37	435.55	180.02	836.53	279.14	281.09	214.27	316.37	441.64	339.14	164.42	202.66	511.0	279.14	169.07	127.0	189.02	128.79	177.53	1081.39	575.03	1594.73	988.12	902.89	928.3	1104.13	995.0	708.18	674.59
TBL2	493.56	802.41	587.13	723.08	460.44	559.28	483.38	825.0	759.08	693.58	728.11	738.29	612.11	738.29	1605.83	563.18	463.65	314.17	500.46	271.48	521.76	323.03	379.04	384.34	251.48	406.31	387.02	253.23	305.55	376.41	423.61	371.22	312.0	343.89	366.09	395.18	327.56	258.57	277.2	373.81	444.72	271.48	414.87	343.89	166.73	543.96	1143.1	988.12	728.11	1427.22	540.19	764.36	1073.91	813.63	656.11	928.3
TMEM184B	493.56	543.96	384.34	660.68	423.61	493.56	1111.82	457.25	476.71	555.41	1477.58	684.02	718.08	301.33	497.0	480.04	361.04	180.02	323.03	221.86	164.42	172.65	103.69	106.63	255.0	185.11	149.12	69.52	108.14	164.42	128.79	181.28	120.94	126.12	241.19	88.26	283.05	198.47	112.77	87.03	384.34	241.19	182.55	133.36	65.72	193.01	1447.15	1769.57	1151.06	1447.15	1369.04	1088.92	1304.15	1369.04	1175.27	1733.13
TMEM206	76.71	93.35	121.79	124.37	104.42	79.45	209.84	100.83	84.63	159.9	118.43	53.57	169.07	89.51	253.23	56.68	80.57	25.72	48.52	51.71	55.1	19.97	19.82	14.56	73.03	18.29	28.04	13.42	20.71	57.08	9.63	28.24	15.56	28.24	35.0	18.43	23.08	28.86	30.12	14.89	59.97	43.94	22.75	40.64	15.22	16.63	167.9	205.5	127.89	153.34	137.14	119.26	117.6	173.85	90.77	158.79
TMEM248	1233.75	1111.82	995.0	1191.69	1135.2	1159.07	988.12	1295.13	1135.2	1135.2	1369.04	1015.93	830.75	1519.15	2434.5	909.17	961.07	656.11	890.44	813.63	967.76	693.58	698.41	1051.79	563.18	753.83	884.29	607.87	660.68	1175.27	928.3	780.44	769.69	819.3	941.27	733.19	921.88	753.83	866.07	708.18	860.08	928.3	587.13	796.86	878.17	896.64	3901.01	4481.23	3257.52	3515.68	2468.49	2855.44	3690.52	2645.74	1844.76	2645.74
TRAF1	69.52	64.34	64.34	180.02	77.79	197.09	155.5	123.5	173.85	102.97	201.25	100.83	94.67	106.63	180.02	117.6	115.16	47.17	10.55	91.41	9.2	93.35	77.25	48.18	111.99	15.11	56.68	61.68	56.28	26.28	39.79	63.0	55.49	105.15	24.63	84.04	77.79	85.82	56.28	82.87	40.07	37.85	92.7	74.06	35.25	18.43	159.9	100.83	205.5	256.78	236.21	199.85	246.28	206.94	169.07	236.21
TRRAP	150.17	162.14	131.51	244.57	154.42	205.5	244.57	190.34	175.07	149.12	201.25	166.73	180.02	199.85	309.83	166.73	170.25	107.38	78.34	63.89	70.51	94.67	77.79	59.97	155.5	108.14	64.34	65.72	63.0	205.5	65.72	60.39	78.89	84.63	162.14	80.57	94.67	83.45	74.06	86.43	81.71	71.5	39.5	74.06	37.32	144.01	511.0	264.03	503.95	616.37	356.05	371.22	607.87	486.75	450.94	397.93
TTF2	74.58	86.43	52.82	121.79	80.01	59.97	109.66	83.45	135.24	136.19	150.17	52.08	103.69	119.26	175.07	100.13	206.94	30.78	120.94	41.52	73.03	25.72	35.25	40.07	214.27	86.43	39.5	28.04	28.86	47.5	23.93	25.35	35.0	34.26	36.01	49.91	43.63	56.28	41.22	35.76	36.79	37.85	78.34	37.05	30.12	42.11	291.04	559.28	341.51	669.92	244.57	301.33	339.14	441.64	376.41	444.72
UBE3C	470.14	412.0	551.56	543.96	599.49	612.11	532.74	808.0	599.49	466.88	854.13	336.79	476.71	921.88	1304.15	555.41	612.11	356.05	579.04	255.0	698.41	356.05	262.2	521.76	457.25	521.76	291.04	253.23	332.14	454.09	490.14	307.69	273.37	265.87	507.46	339.14	358.54	269.6	318.57	204.07	466.88	277.2	228.13	241.19	336.79	450.94	947.83	981.29	1250.98	1685.71	775.05	860.08	1583.71	813.63	819.3	629.35
UHRF1BP1	131.51	53.19	68.07	82.29	90.14	76.71	133.36	57.49	73.54	107.38	112.77	116.78	111.21	114.36	147.06	55.49	81.71	20.56	68.07	42.11	54.33	45.53	29.7	33.3	50.63	49.91	20.41	21.47	22.92	45.85	28.45	32.13	14.14	27.64	51.71	28.86	40.36	31.9	24.11	36.53	37.59	40.07	44.57	38.67	14.24	47.84	105.15	126.12	156.59	186.4	148.09	127.0	228.13	165.57	145.02	140.04
URB1	111.21	87.03	109.66	115.16	75.64	127.89	127.0	92.05	68.07	85.82	127.0	96.01	108.14	189.02	237.86	95.34	79.45	42.11	49.56	34.75	68.07	46.18	39.22	59.97	105.15	50.98	58.3	26.67	58.71	73.54	65.72	40.93	37.59	52.82	70.01	58.71	63.45	40.36	37.85	63.45	74.06	49.56	31.22	41.52	28.04	64.8	126.12	194.36	205.5	253.23	224.97	183.82	205.5	358.54	234.57	170.25
WDR37	120.1	94.67	146.03	169.07	82.87	159.9	147.06	105.15	139.07	95.34	154.42	146.03	128.79	217.27	242.88	127.89	143.01	121.79	69.52	57.89	44.89	94.01	108.9	136.19	111.99	60.39	59.13	145.02	108.14	59.13	122.64	56.28	109.66	138.1	65.72	101.54	102.25	71.5	87.03	144.01	92.05	72.52	85.82	64.34	32.82	88.26	265.87	312.0	329.84	193.01	201.25	303.44	218.79	237.86	204.07	146.03
YEATS2	154.42	155.5	102.25	237.86	122.64	146.03	323.03	106.63	177.53	190.34	237.86	147.06	232.94	125.24	151.22	92.05	164.42	96.68	59.13	26.86	47.17	66.18	46.84	31.67	105.89	37.05	44.25	40.93	40.93	43.02	28.24	40.36	33.54	66.65	82.87	20.86	63.89	72.01	37.85	90.14	124.37	69.03	36.79	52.08	12.36	34.51	336.79	246.28	373.81	373.81	387.02	323.03	490.14	450.94	450.94	389.72
YKT6	780.44	866.07	591.22	802.41	890.44	660.68	591.22	928.3	1175.27	679.29	1350.18	733.19	796.86	718.08	1936.53	753.83	684.02	212.78	579.04	283.05	503.95	327.56	406.31	389.72	679.29	423.61	348.71	178.77	329.84	305.55	341.51	305.55	217.27	258.57	457.25	368.65	334.46	175.07	224.97	356.05	791.35	373.81	293.07	248.0	115.97	376.41	2255.7	1950.0	1508.65	1909.85	1037.29	1331.57	1963.57	1769.57	1617.0	1498.22
YWHAG	1529.73	1350.18	1208.34	1397.83	1233.75	1417.35	1030.12	1745.2	1628.26	1639.59	1721.16	1242.34	1369.04	2209.26	4328.55	1233.75	1096.5	713.11	1350.18	890.44	1127.35	842.36	684.02	1096.5	941.27	915.51	1001.93	518.15	723.08	860.08	836.53	890.44	551.56	642.59	1143.1	848.22	872.1	540.19	559.28	536.45	1437.15	947.83	698.41	723.08	738.29	698.41	1832.01	1487.87	1674.06	2555.58	1508.65	1159.07	2573.36	2133.97	1277.29	1359.57
ZCCHC4	49.56	102.97	78.89	114.36	63.45	130.6	100.83	121.79	118.43	82.87	148.09	130.6	133.36	125.24	129.69	82.87	138.1	59.13	40.93	70.51	73.54	63.0	42.71	59.55	129.69	47.84	53.57	67.59	39.5	76.17	53.95	39.79	61.25	102.25	65.26	48.52	84.04	100.83	90.77	107.38	62.56	86.43	56.28	60.82	31.45	62.56	90.14	114.36	172.65	125.24	131.51	113.56	127.89	141.02	108.14	102.25
ZFYVE26	102.97	117.6	77.79	128.79	98.73	155.5	137.14	152.28	99.43	90.77	143.01	120.94	187.71	94.67	155.5	153.34	112.77	33.3	44.89	55.89	52.82	77.79	45.21	44.57	96.68	76.71	41.81	43.32	46.5	56.68	53.95	29.48	31.22	73.54	71.5	26.67	51.35	58.71	34.02	55.89	86.43	37.85	60.82	42.71	20.56	102.25	323.03	162.14	289.02	356.05	242.88	251.48	318.57	264.03	336.79	224.97
ZMIZ2	432.53	947.83	684.02	1023.0	836.53	1417.35	860.08	1001.93	1127.35	1242.34	1991.0	1023.0	947.83	921.88	1467.37	1111.82	902.89	371.22	103.69	289.02	144.01	460.44	954.43	518.15	497.0	334.46	348.71	759.08	334.46	269.6	551.56	314.17	633.73	669.92	379.04	420.68	529.06	521.76	373.81	819.3	412.0	368.65	432.53	444.72	164.42	336.79	2075.59	3168.41	2400.97	2664.15	1963.57	2271.4	2645.74	1540.37	1870.53	1605.83
ZNF12	170.25	187.71	185.11	239.52	205.5	226.54	223.41	271.48	204.07	209.84	403.5	171.45	175.07	177.53	201.25	164.42	305.55	194.36	69.03	80.01	60.82	214.27	173.85	195.72	167.9	85.82	121.79	102.25	85.22	101.54	248.0	134.3	120.94	208.38	97.36	56.28	131.51	116.78	166.73	193.01	173.85	148.09	96.01	90.14	69.52	112.77	389.72	334.46	454.09	376.41	387.02	426.57	447.82	299.25	346.29	351.14
