	GTEX.11ONC.1426.SM.5N9F4	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.ZAB4.0826.SM.5LU9D	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.R53T.0526.SM.3GADL	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
MIEF1	101.54	190.34	209.84	151.22	182.55	103.69	103.69	145.02	135.24	181.28	136.19	159.9	170.25	223.41	157.68	151.22	150.17	127.89	142.01	145.02	224.97	173.85	353.59	309.83	221.86	329.84	334.46	291.04	281.09	264.03	232.94	234.57	185.11	316.37	251.48	239.52	236.21	301.33	271.48	253.23	341.51	320.8	323.03	299.25	264.03	305.55	255.0	215.77	202.66	212.78	343.89	361.04	217.27	343.89	332.14	279.14	371.22	205.5	190.34	348.71	202.66	305.55	341.51	297.17	339.14	244.57	275.28	353.59	363.56	429.54	185.11	379.04	305.55	242.88	239.52	283.05	312.0	441.64	314.17	215.77	211.31	256.78	273.37	277.2	299.25
MSANTD4	194.36	24.46	11.91	88.88	147.06	153.34	132.44	116.78	74.06	152.28	153.34	115.97	123.5	167.9	84.63	125.24	107.38	115.16	96.68	127.89	143.01	127.0	341.51	285.03	138.1	275.28	277.2	271.48	191.67	242.88	269.6	171.45	197.09	237.86	236.21	197.09	182.55	232.94	291.04	201.25	197.09	262.2	224.97	251.48	339.14	323.03	218.79	146.03	177.53	193.01	246.28	334.46	169.07	314.17	241.19	269.6	299.25	244.57	224.97	389.72	166.73	185.11	275.28	182.55	277.2	224.97	277.2	244.57	212.78	289.02	187.71	289.02	287.01	217.27	281.09	232.94	279.14	320.8	327.56	202.66	185.11	183.82	180.02	217.27	265.87
MSL2	136.19	125.24	106.63	119.26	182.55	226.54	186.4	169.07	105.15	143.01	170.25	156.59	180.02	224.97	154.42	181.28	172.65	183.82	163.28	167.9	312.0	180.02	387.02	351.14	201.25	400.71	309.83	381.68	256.78	373.81	229.72	191.67	155.5	303.44	341.51	232.94	307.69	400.71	279.14	260.38	351.14	237.86	299.25	318.57	293.07	507.46	285.03	190.34	194.36	191.67	518.15	351.14	194.36	447.82	320.8	376.41	351.14	279.14	206.94	708.18	178.77	265.87	323.03	346.29	384.34	244.57	275.28	303.44	395.18	423.61	287.01	366.09	358.54	226.54	301.33	325.29	353.59	555.41	318.57	316.37	291.04	229.72	371.22	205.5	426.57
MTF1	55.89	25.72	24.81	39.79	52.82	50.63	45.53	38.67	33.78	41.22	36.79	46.84	43.32	49.91	31.45	33.78	30.56	44.25	35.25	48.87	62.56	55.1	98.73	137.14	52.08	79.45	88.88	87.65	115.16	94.01	104.42	47.17	80.01	87.65	87.03	69.03	65.72	104.42	92.7	69.03	99.43	101.54	140.04	98.73	89.51	129.69	102.25	58.3	94.67	53.19	119.26	122.64	72.52	109.66	107.38	117.6	135.24	64.34	66.18	171.45	62.12	96.01	87.03	83.45	102.25	70.51	96.68	128.79	96.68	126.12	81.71	150.17	82.29	75.11	86.43	98.73	88.88	136.19	132.44	72.52	67.59	66.65	77.79	96.68	92.05
NOP9	161.02	170.25	178.77	199.85	215.77	186.4	163.28	149.12	169.07	177.53	226.54	182.55	194.36	226.54	189.02	182.55	156.59	162.14	166.73	202.66	239.52	191.67	303.44	279.14	170.25	271.48	316.37	316.37	256.78	291.04	204.07	241.19	217.27	246.28	239.52	208.38	267.73	307.69	244.57	249.73	353.59	316.37	269.6	281.09	343.89	327.56	264.03	193.01	224.97	224.97	366.09	363.56	269.6	269.6	320.8	305.55	281.09	229.72	249.73	343.89	231.32	249.73	285.03	249.73	371.22	181.28	316.37	348.71	303.44	353.59	262.2	343.89	267.73	232.94	295.11	281.09	275.28	400.71	301.33	258.57	234.57	236.21	251.48	265.87	289.02
PEX12	35.76	93.35	59.55	72.52	81.71	98.04	95.34	87.65	73.03	130.6	170.25	92.05	82.87	118.43	67.12	108.9	63.89	61.25	80.57	115.97	119.26	97.36	316.37	237.86	118.43	199.85	201.25	183.82	226.54	154.42	204.07	108.9	124.37	165.57	158.79	171.45	121.79	187.71	218.79	172.65	239.52	214.27	199.85	208.38	199.85	242.88	195.72	136.19	148.09	96.01	275.28	285.03	171.45	291.04	142.01	241.19	214.27	181.28	157.68	314.17	111.99	183.82	177.53	237.86	267.73	193.01	229.72	190.34	157.68	186.4	131.51	172.65	229.72	156.59	206.94	283.05	234.57	195.72	195.72	185.11	149.12	144.01	194.36	181.28	229.72
PLEKHA3	107.38	43.63	80.57	229.72	275.28	283.05	275.28	178.77	142.01	191.67	273.37	217.27	186.4	329.84	211.31	180.02	155.5	163.28	161.02	215.77	293.07	229.72	353.59	500.46	273.37	381.68	414.87	299.25	521.76	376.41	599.49	339.14	309.83	426.57	368.65	368.65	279.14	226.54	314.17	212.78	353.59	275.28	454.09	312.0	387.02	466.88	447.82	363.56	493.56	258.57	438.59	551.56	336.79	420.68	348.71	353.59	414.87	287.01	186.4	409.15	307.69	521.76	490.14	387.02	343.89	218.79	376.41	400.71	551.56	412.0	414.87	575.03	368.65	309.83	412.0	299.25	291.04	384.34	507.46	271.48	224.97	361.04	303.44	406.31	376.41
POLR1B	82.87	136.19	93.35	115.16	164.42	134.3	147.06	135.24	107.38	205.5	158.79	118.43	150.17	201.25	165.57	141.02	105.15	115.97	114.36	135.24	204.07	156.59	373.81	277.2	133.36	249.73	242.88	356.05	244.57	244.57	226.54	157.68	178.77	221.86	293.07	262.2	214.27	273.37	283.05	273.37	332.14	289.02	267.73	269.6	299.25	339.14	214.27	185.11	171.45	145.02	339.14	409.15	348.71	366.09	327.56	281.09	346.29	215.77	221.86	376.41	146.03	249.73	251.48	285.03	403.5	242.88	260.38	249.73	234.57	363.56	159.9	339.14	339.14	231.32	234.57	267.73	271.48	447.82	289.02	199.85	212.78	164.42	224.97	307.69	289.02
POMK	15.8	8.78	0.75	6.21	17.0	11.21	7.28	6.06	5.5	5.02	14.45	6.06	7.17	24.99	6.36	14.67	8.45	9.06	13.03	7.94	22.43	11.91	31.67	50.98	12.36	21.16	37.59	42.11	34.75	31.67	17.51	33.78	21.01	52.82	35.76	27.44	23.76	37.05	16.03	5.41	59.13	54.33	35.25	22.26	32.36	93.35	15.91	11.21	27.05	40.36	59.55	20.41	20.56	47.17	51.35	26.47	38.95	15.34	20.41	127.0	7.34	15.68	34.26	12.36	57.89	13.83	31.22	29.91	16.15	58.71	34.75	25.35	21.01	20.56	16.15	47.5	35.76	42.71	23.76	24.63	24.46	12.18	12.09	40.36	33.06
PRKAR2A	175.07	190.34	95.34	157.68	234.57	224.97	239.52	172.65	136.19	180.02	186.4	141.02	229.72	264.03	172.65	202.66	176.29	147.06	157.68	164.42	249.73	218.79	503.95	417.77	208.38	414.87	309.83	332.14	325.29	307.69	423.61	161.02	279.14	397.93	283.05	239.52	301.33	318.57	460.44	309.83	361.04	384.34	314.17	406.31	384.34	346.29	234.57	223.41	232.94	237.86	450.94	387.02	414.87	384.34	291.04	277.2	403.5	237.86	279.14	426.57	205.5	256.78	395.18	260.38	387.02	368.65	339.14	371.22	332.14	429.54	281.09	529.06	376.41	320.8	371.22	358.54	341.51	470.14	417.77	220.32	287.01	295.11	309.83	414.87	412.0
RBBP5	87.65	114.36	92.05	135.24	149.12	145.02	167.9	127.89	109.66	117.6	118.43	107.38	136.19	171.45	105.89	136.19	105.89	121.79	117.6	115.16	189.02	167.9	241.19	301.33	127.0	199.85	183.82	214.27	224.97	197.09	199.85	114.36	214.27	147.06	180.02	159.9	158.79	197.09	218.79	156.59	182.55	158.79	214.27	202.66	194.36	246.28	171.45	127.0	173.85	133.36	258.57	228.13	198.47	291.04	191.67	246.28	186.4	153.34	150.17	332.14	140.04	180.02	180.02	197.09	256.78	172.65	211.31	204.07	177.53	244.57	161.02	246.28	190.34	125.24	195.72	199.85	211.31	256.78	195.72	181.28	208.38	157.68	167.9	215.77	206.94
RGP1	156.59	58.71	105.15	186.4	255.0	191.67	170.25	154.42	169.07	211.31	191.67	199.85	234.57	248.0	161.02	180.02	177.53	189.02	152.28	194.36	248.0	212.78	414.87	336.79	194.36	358.54	387.02	454.09	336.79	395.18	287.01	366.09	303.44	381.68	320.8	239.52	332.14	426.57	312.0	273.37	483.38	441.64	303.44	329.84	457.25	500.46	320.8	277.2	256.78	307.69	507.46	483.38	295.11	381.68	403.5	361.04	417.77	264.03	341.51	480.04	246.28	295.11	454.09	249.73	429.54	209.84	423.61	447.82	438.59	651.58	320.8	567.1	412.0	218.79	441.64	356.05	353.59	490.14	480.04	291.04	265.87	312.0	285.03	361.04	387.02
RNF185	748.61	616.37	595.34	647.07	708.18	460.44	497.0	674.59	679.29	713.11	599.49	780.44	665.29	902.89	629.35	902.89	674.59	780.44	575.03	620.67	842.36	713.11	1359.57	1397.83	825.0	1304.15	1183.45	1151.06	1001.93	854.13	947.83	808.0	674.59	1143.1	854.13	866.07	995.0	995.0	1208.34	1242.34	1369.04	890.44	872.1	1331.57	1044.52	1369.04	934.76	902.89	878.17	620.67	1111.82	1008.9	1037.29	1304.15	866.07	1081.39	1135.2	890.44	934.76	1286.18	796.86	941.27	1378.57	1183.45	1096.5	1304.15	1051.79	1159.07	1242.34	1073.91	733.19	1233.75	1295.13	1167.14	1304.15	941.27	1417.35	961.07	1183.45	1295.13	825.0	954.43	1199.98	878.17	1030.12
RNF20	256.78	197.09	172.65	277.2	309.83	316.37	305.55	277.2	212.78	289.02	320.8	237.86	293.07	336.79	249.73	265.87	246.28	211.31	291.04	314.17	444.72	334.46	703.28	759.08	275.28	476.71	420.68	435.55	603.67	486.75	551.56	497.0	409.15	406.31	511.0	400.71	361.04	543.96	529.06	387.02	612.11	493.56	543.96	551.56	536.45	759.08	547.75	368.65	450.94	327.56	825.0	454.09	470.14	780.44	473.41	579.04	473.41	447.82	376.41	764.36	384.34	470.14	497.0	529.06	555.41	356.05	532.74	612.11	532.74	703.28	435.55	616.37	511.0	332.14	490.14	543.96	656.11	656.11	555.41	473.41	532.74	392.44	551.56	547.75	638.15
RNF41	497.0	162.14	341.51	547.75	476.71	441.64	417.77	387.02	371.22	356.05	483.38	457.25	409.15	559.28	435.55	381.68	423.61	414.87	420.68	483.38	507.46	460.44	656.11	825.0	486.75	616.37	928.3	674.59	860.08	543.96	830.75	642.59	638.15	802.41	698.41	555.41	521.76	713.11	753.83	583.07	703.28	651.58	748.61	651.58	738.29	921.88	679.29	525.39	684.02	642.59	808.0	848.22	603.67	723.08	733.19	775.05	693.58	447.82	450.94	915.51	651.58	759.08	884.29	723.08	896.64	638.15	728.11	915.51	902.89	995.0	759.08	934.76	684.02	567.1	669.92	728.11	629.35	825.0	728.11	591.22	507.46	703.28	540.19	791.35	629.35
RPA1	575.03	463.65	406.31	981.29	1001.93	836.53	842.36	708.18	674.59	842.36	934.76	854.13	981.29	890.44	941.27	698.41	785.88	665.29	836.53	825.0	1208.34	842.36	1519.15	1529.73	688.78	1167.14	1477.58	1199.98	1529.73	1066.48	1088.92	769.69	842.36	1529.73	947.83	961.07	1104.13	1457.23	1183.45	995.0	1331.57	1304.15	1096.5	1286.18	1259.69	1519.15	1111.82	934.76	1088.92	884.29	1605.83	1119.56	1250.98	1313.23	1208.34	1369.04	1498.22	848.22	954.43	1167.14	1008.9	1127.35	1369.04	1295.13	1498.22	1159.07	1001.93	1457.23	1508.65	1923.14	1081.39	1529.73	1350.18	1081.39	1529.73	1295.13	1427.22	1572.76	1304.15	1066.48	1167.14	1175.27	1216.75	1199.98	1583.71
RPL7L1	392.44	698.41	620.67	688.78	909.17	902.89	921.88	830.75	638.15	842.36	813.63	759.08	791.35	941.27	684.02	854.13	718.08	698.41	718.08	728.11	1044.52	954.43	1467.37	1359.57	902.89	1127.35	1151.06	1183.45	1119.56	1242.34	1143.1	1135.2	1199.98	1175.27	1096.5	941.27	934.76	1066.48	1151.06	1001.93	1295.13	1143.1	1088.92	1175.27	1088.92	1225.22	872.1	921.88	961.07	915.51	1437.15	1487.87	1183.45	1313.23	1135.2	1277.29	1295.13	1023.0	961.07	1417.35	947.83	1081.39	1304.15	1088.92	1359.57	1044.52	1081.39	1268.46	1295.13	1498.22	1081.39	1487.87	1233.75	947.83	1143.1	1151.06	1233.75	1561.89	1183.45	995.0	1030.12	1088.92	1008.9	1135.2	1191.69
RRP1B	169.07	100.13	111.99	170.25	143.01	145.02	171.45	177.53	151.22	115.97	171.45	127.0	140.04	145.02	185.11	144.01	178.77	136.19	185.11	186.4	148.09	154.42	256.78	220.32	106.63	197.09	198.47	186.4	167.9	181.28	169.07	134.3	129.69	181.28	202.66	169.07	165.57	214.27	197.09	215.77	209.84	183.82	204.07	190.34	226.54	229.72	198.47	132.44	136.19	124.37	239.52	262.2	170.25	228.13	248.0	229.72	224.97	176.29	164.42	309.83	148.09	163.28	209.84	220.32	242.88	149.12	208.38	205.5	204.07	265.87	169.07	239.52	198.47	144.01	173.85	193.01	232.94	220.32	231.32	212.78	175.07	169.07	199.85	195.72	211.31
SF3A1	866.07	466.88	616.37	1001.93	1030.12	830.75	633.73	830.75	728.11	808.0	1175.27	902.89	860.08	1008.9	884.29	738.29	713.11	703.28	743.43	921.88	1447.15	1216.75	2591.27	1950.0	1073.91	1322.37	2351.53	1529.73	2855.44	1662.49	1674.06	1794.29	1313.23	2119.22	1745.2	1191.69	1350.18	1991.0	1477.58	1119.56	2351.53	1769.57	1857.6	2032.85	1991.0	2796.65	2451.44	1378.57	1923.14	1096.5	3081.75	1844.76	1721.16	1769.57	1844.76	1794.29	1991.0	1135.2	1250.98	1896.65	1551.09	1651.0	2240.11	1369.04	2796.65	1066.48	1651.0	2335.28	2193.99	2976.74	2335.28	2351.53	1457.23	1059.11	1674.06	1883.54	1369.04	1870.53	1806.78	1225.22	1769.57	1313.23	1508.65	1977.24	1896.65
SMC1A	234.57	204.07	139.07	169.07	181.28	152.28	127.0	153.34	109.66	182.55	181.28	176.29	190.34	232.94	169.07	145.02	140.04	165.57	124.37	138.1	198.47	194.36	785.88	476.71	132.44	334.46	493.56	525.39	503.95	285.03	376.41	239.52	287.01	679.29	293.07	305.55	412.0	432.53	351.14	368.65	728.11	551.56	392.44	329.84	679.29	551.56	271.48	209.84	447.82	248.0	802.41	733.19	361.04	454.09	525.39	476.71	947.83	279.14	256.78	802.41	493.56	244.57	438.59	316.37	555.41	175.07	555.41	718.08	633.73	974.5	309.83	656.11	703.28	214.27	450.94	540.19	583.07	808.0	555.41	336.79	336.79	281.09	255.0	457.25	698.41
SMC3	297.17	239.52	187.71	314.17	368.65	395.18	384.34	334.46	327.56	264.03	363.56	316.37	314.17	379.04	361.04	341.51	334.46	346.29	341.51	323.03	476.71	323.03	567.1	612.11	341.51	543.96	493.56	547.75	518.15	536.45	490.14	323.03	406.31	579.04	575.03	406.31	460.44	514.56	555.41	412.0	583.07	486.75	514.56	579.04	603.67	647.07	466.88	329.84	403.5	334.46	607.87	507.46	441.64	708.18	525.39	547.75	575.03	376.41	381.68	813.63	426.57	438.59	532.74	521.76	579.04	397.93	551.56	567.1	633.73	595.34	460.44	684.02	525.39	432.53	551.56	529.06	555.41	612.11	551.56	483.38	514.56	417.77	500.46	463.65	624.99
SMG8	32.36	47.17	54.72	77.25	111.99	82.29	74.06	78.89	52.82	70.51	120.1	73.54	81.71	103.69	69.52	74.58	81.71	47.84	63.45	75.64	115.97	80.57	193.01	177.53	119.26	150.17	181.28	151.22	92.7	146.03	111.21	103.69	100.83	171.45	134.3	132.44	138.1	164.42	181.28	138.1	156.59	181.28	139.07	195.72	205.5	237.86	175.07	123.5	94.67	96.01	214.27	237.86	125.24	255.0	157.68	214.27	206.94	106.63	125.24	237.86	90.14	152.28	172.65	193.01	177.53	150.17	170.25	182.55	193.01	258.57	83.45	205.5	193.01	161.02	189.02	206.94	193.01	201.25	186.4	161.02	100.83	123.5	162.14	99.43	195.72
SPTY2D1	123.5	75.64	88.26	108.9	101.54	109.66	96.01	102.25	84.04	101.54	112.77	120.94	80.01	126.12	70.51	98.04	83.45	90.14	92.05	85.82	140.04	104.42	341.51	316.37	121.79	193.01	246.28	215.77	164.42	181.28	205.5	173.85	181.28	242.88	170.25	136.19	152.28	187.71	291.04	190.34	191.67	244.57	181.28	201.25	234.57	251.48	157.68	101.54	206.94	194.36	320.8	312.0	190.34	327.56	249.73	239.52	273.37	169.07	164.42	356.05	167.9	172.65	191.67	204.07	253.23	198.47	237.86	295.11	218.79	273.37	209.84	466.88	273.37	180.02	212.78	204.07	218.79	363.56	277.2	163.28	180.02	152.28	172.65	221.86	215.77
TADA2B	229.72	237.86	151.22	205.5	279.14	285.03	348.71	295.11	215.77	208.38	287.01	232.94	295.11	283.05	204.07	273.37	221.86	239.52	229.72	223.41	327.56	277.2	435.55	444.72	264.03	371.22	376.41	363.56	341.51	297.17	361.04	265.87	264.03	395.18	316.37	323.03	297.17	441.64	387.02	295.11	403.5	339.14	400.71	432.53	351.14	518.15	341.51	267.73	341.51	301.33	476.71	387.02	400.71	463.65	438.59	486.75	429.54	279.14	279.14	500.46	273.37	381.68	397.93	384.34	420.68	325.29	343.89	450.94	460.44	483.38	248.0	450.94	392.44	353.59	395.18	406.31	423.61	435.55	414.87	316.37	353.59	403.5	334.46	368.65	371.22
TEX261	825.0	607.87	309.83	819.3	1259.69	1135.2	1159.07	764.36	713.11	1175.27	1175.27	848.22	1081.39	1268.46	624.99	1175.27	902.89	1127.35	703.28	848.22	1519.15	1242.34	2240.11	1628.26	1340.84	1605.83	1721.16	1662.49	2004.85	1199.98	1950.0	1167.14	1159.07	1896.65	1572.76	1427.22	1487.87	1498.22	1697.45	1378.57	1806.78	1950.0	1639.59	1923.14	1674.06	1936.53	1832.01	1487.87	1639.59	1313.23	1832.01	1794.29	1733.13	1870.53	1806.78	1757.34	1709.26	1030.12	1225.22	2018.8	1216.75	1594.73	1832.01	1819.35	1950.0	1583.71	1733.13	2090.03	1757.34	2032.85	1388.16	2193.99	1857.6	1242.34	1832.01	1883.54	1745.2	1977.24	1662.49	1388.16	1183.45	1540.37	1651.0	1963.57	1883.54
TFAM	129.69	172.65	198.47	223.41	239.52	220.32	256.78	236.21	218.79	205.5	293.07	242.88	248.0	318.57	232.94	212.78	177.53	162.14	204.07	212.78	295.11	242.88	551.56	612.11	281.09	540.19	525.39	486.75	444.72	309.83	409.15	307.69	373.81	470.14	409.15	336.79	351.14	363.56	514.56	327.56	476.71	507.46	493.56	447.82	476.71	486.75	307.69	323.03	307.69	363.56	473.41	555.41	432.53	507.46	490.14	507.46	669.92	423.61	346.29	532.74	303.44	420.68	616.37	376.41	514.56	454.09	540.19	518.15	476.71	529.06	373.81	612.11	551.56	332.14	438.59	395.18	536.45	693.58	660.68	353.59	343.89	368.65	379.04	473.41	420.68
TG	24.28	1.39	22.75	267651.2	822695.06	857631.47	706337.4	531605.79	107203.06	794671.01	887875.81	736332.6	794671.01	992012.34	88905.42	932018.1	197294.7	411347.03	146444.06	233003.78	1147449.11	906531.99	1364554.84	2068278.89	1085552.95	1452391.55	2247670.86	2126426.15	1751305.3	1503610.06	2375828.71	2111737.85	1611529.43	1611529.43	1308968.45	1622738.51	1493223.86	1739208.14	1634025.56	1131651.83	1838374.44	1997825.68	1535204.12	1984025.69	1997825.68	1085552.95	1984025.69	2986448.72	1567462.05	1472666.19	2025714.3	1318073.06	2425749.94	1139523.1	1402917.72	1318073.06	1929772.37	1299926.74	1943195.01	375901.76	1048575.0	1622738.51	1727194.55	1589343.01	1355129.16	2636147.11	2263304.65	1775752.63	2111737.85	919186.72	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	1085552.95	2263304.65	1282030.25	1535204.12	2672946.37	1864037.21	1634025.56	1402917.72
TIRAP	88.26	87.03	112.77	80.01	89.51	104.42	94.01	70.51	58.3	73.03	132.44	66.18	72.01	112.77	69.03	94.01	77.25	57.89	78.34	107.38	119.26	96.68	155.5	120.94	99.43	145.02	149.12	128.79	131.51	143.01	124.37	84.04	82.87	139.07	145.02	116.78	140.04	189.02	122.64	108.14	189.02	158.79	147.06	153.34	144.01	178.77	133.36	100.83	125.24	85.22	181.28	144.01	99.43	136.19	150.17	186.4	127.89	113.56	120.94	206.94	114.36	140.04	154.42	143.01	144.01	134.3	155.5	185.11	154.42	197.09	95.34	155.5	180.02	111.99	167.9	125.24	156.59	154.42	164.42	134.3	127.0	129.69	127.0	131.51	140.04
TMEM183A	518.15	521.76	457.25	665.29	769.69	775.05	785.88	733.19	679.29	703.28	769.69	698.41	703.28	769.69	791.35	791.35	718.08	674.59	713.11	612.11	733.19	748.61	1037.29	1111.82	921.88	1051.79	915.51	1030.12	890.44	902.89	1225.22	836.53	866.07	1111.82	1051.79	921.88	830.75	915.51	1037.29	902.89	981.29	974.5	1030.12	890.44	1023.0	1151.06	941.27	967.76	988.12	860.08	1001.93	1023.0	1015.93	1015.93	1044.52	947.83	967.76	733.19	796.86	1135.2	759.08	1044.52	1044.52	1066.48	995.0	878.17	928.3	1088.92	1037.29	1088.92	764.36	1001.93	1001.93	860.08	1008.9	921.88	1111.82	896.64	1175.27	836.53	796.86	954.43	928.3	941.27	961.07
TMPPE	4.39	4.06	2.25	6.62	9.63	8.65	8.45	6.62	8.71	7.57	4.82	4.46	7.06	8.51	8.78	5.36	5.82	7.57	7.57	6.73	6.84	7.0	14.14	12.45	8.06	16.75	19.53	29.48	21.94	18.56	9.34	9.2	8.78	19.82	13.03	10.31	17.25	22.1	20.71	14.14	20.86	15.8	10.63	13.52	24.11	31.22	5.92	9.93	6.16	20.26	21.32	23.08	14.78	16.03	20.86	19.97	23.25	15.8	16.27	33.54	4.43	7.94	17.38	9.48	13.62	10.88	23.59	19.25	18.16	20.71	13.42	27.44	15.56	10.16	25.35	15.34	18.29	26.28	24.11	13.62	13.83	11.64	10.39	13.32	20.71
TNPO3	208.38	149.12	165.57	172.65	381.68	279.14	346.29	239.52	215.77	264.03	400.71	197.09	198.47	351.14	212.78	297.17	246.28	217.27	234.57	260.38	368.65	285.03	525.39	460.44	220.32	444.72	457.25	476.71	483.38	441.64	463.65	423.61	314.17	476.71	579.04	309.83	395.18	432.53	540.19	343.89	665.29	363.56	341.51	525.39	514.56	599.49	441.64	318.57	309.83	420.68	620.67	483.38	336.79	521.76	441.64	409.15	511.0	312.0	414.87	651.58	387.02	387.02	457.25	460.44	559.28	265.87	483.38	603.67	514.56	563.18	397.93	612.11	620.67	329.84	493.56	406.31	587.13	532.74	457.25	403.5	348.71	348.71	397.93	397.93	503.95
TSPYL1	507.46	536.45	334.46	1037.29	1369.04	1397.83	1295.13	791.35	785.88	909.17	842.36	1044.52	1508.65	1183.45	988.12	848.22	836.53	738.29	808.0	713.11	1457.23	1143.1	2573.36	2075.59	1119.56	1709.26	1963.57	1674.06	1467.37	1639.59	1304.15	1498.22	1191.69	1651.0	1369.04	1059.11	1225.22	1388.16	1605.83	1359.57	1781.89	1628.26	1437.15	1991.0	1685.71	1883.54	995.0	1051.79	1044.52	1359.57	2335.28	1794.29	1617.0	2400.97	1447.15	1697.45	1757.34	1259.69	1304.15	2271.4	1191.69	1322.37	1721.16	1340.84	2384.37	1781.89	1551.09	1572.76	1806.78	2451.44	1467.37	2209.26	1662.49	1457.23	1662.49	1977.24	1487.87	2224.63	1733.13	1304.15	1617.0	1508.65	1551.09	1457.23	1769.57
UBIAD1	127.89	177.53	113.56	157.68	115.16	132.44	136.19	128.79	108.9	134.3	119.26	149.12	131.51	140.04	108.14	123.5	120.94	127.89	155.5	153.34	162.14	137.14	265.87	220.32	183.82	215.77	242.88	202.66	239.52	172.65	194.36	140.04	169.07	236.21	183.82	166.73	183.82	236.21	195.72	191.67	234.57	220.32	228.13	212.78	206.94	244.57	221.86	158.79	180.02	102.97	255.0	295.11	221.86	267.73	256.78	271.48	269.6	157.68	181.28	277.2	140.04	212.78	239.52	211.31	269.6	205.5	205.5	255.0	281.09	318.57	180.02	267.73	204.07	191.67	182.55	218.79	251.48	273.37	237.86	212.78	205.5	158.79	204.07	221.86	217.27
