	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.L5.A4OX.01A.21R.A28J.31	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZVZP.0926.SM.5GIDB	GTEX.ZYFG.1626.SM.5GZYY	GTEX.ZLFU.0926.SM.5P9F8	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.13RTJ.2226.SM.5S2Q1	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HU.8610.01A.22R.2402.13	TCGA.BR.8060.01A.11R.2343.13	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8680.01A.11R.2402.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.D7.A4YY.01A.11R.A251.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.BR.8483.01A.31R.2402.13
KIF17	23.42	8.19	19.11	24.46	29.27	102.25	82.29	72.52	136.19	80.01	72.01	69.52	42.71	157.68	35.25	177.53	102.97	146.03	50.27	84.04	110.43	89.51	116.78	96.01	115.16	95.34	66.65	78.34	62.56	0.0	0.27	57.08	66.65	25.72	15.8	8.51	43.02	4.54	39.22	15.56
KLHL14	0.0	0.0	2.39	0.0	0.73	373.81	155.5	127.0	139.07	660.68	218.79	476.71	232.94	551.56	226.54	318.57	684.02	100.83	269.6	256.78	327.56	237.86	205.5	327.56	175.07	135.24	156.59	226.54	175.07	0.0	0.08	1.41	2.32	6.84	0.0	1.48	30.78	0.41	8.25	0.0
LAMTOR5	2573.36	2502.97	2816.11	3124.78	2875.3	6607.01	6337.83	8901.53	8901.53	8718.32	6164.49	7803.01	6607.01	7130.55	7966.99	7130.55	8479.89	9279.58	7857.29	6037.61	6381.92	6207.38	9025.81	6607.01	7857.29	6164.49	10512.82	6164.49	6745.86	0.0	0.99	3928.15	5633.22	2956.17	3928.15	3443.31	3589.58	4388.98	3820.7	4388.98
LEPROT	438.59	414.87	511.0	813.63	1159.07	2915.45	1936.53	2319.15	2303.12	3419.52	2701.35	3060.45	2758.13	2573.36	3081.75	2997.45	3081.75	2434.5	2335.28	2609.3	3325.99	2555.58	2193.99	3515.68	1909.85	2178.83	2335.28	2163.77	2032.85	1359.57	1104.13	896.64	878.17	947.83	432.53	563.18	1001.93	825.0	890.44	514.56
LMBRD1	718.08	285.03	450.94	417.77	346.29	2855.44	2224.63	2417.67	2997.45	4639.29	2573.36	3060.45	2758.13	2591.27	2240.11	3257.52	3928.15	2855.44	3443.31	3146.52	3168.41	2664.15	3039.3	2739.08	2682.69	2417.67	2520.38	2163.77	2163.77	775.05	176.29	890.44	540.19	1104.13	376.41	825.0	587.13	642.59	693.58	866.07
LOH12CR2	0.91	5.77	3.38	3.17	6.78	181.28	69.03	81.14	116.78	180.02	73.03	76.17	64.8	189.02	67.59	72.01	218.79	58.71	82.29	110.43	117.6	80.57	127.0	94.01	62.56	56.28	64.34	89.51	74.58	0.0	0.0	13.12	45.85	17.25	9.34	19.82	15.68	10.39	26.86	18.7
LRRIQ3	0.95	4.74	2.89	2.27	2.01	100.83	27.44	51.71	56.28	90.77	21.01	57.49	28.04	127.89	24.46	74.06	118.43	30.12	60.82	69.03	87.65	36.79	40.36	45.21	45.53	38.95	70.51	47.17	53.57	0.0	0.0	18.97	18.7	4.78	11.04	14.89	41.22	10.47	6.89	23.08
MDH1B	2.46	13.42	7.11	2.84	5.11	105.15	78.89	100.83	85.22	206.94	53.95	98.73	96.01	228.13	194.36	69.03	253.23	45.85	100.83	102.97	113.56	63.0	78.34	87.03	85.82	75.11	71.0	86.43	34.51	0.0	0.0	18.97	53.95	3.47	4.03	10.63	22.1	11.21	12.0	17.0
MED29	536.45	473.41	371.22	599.49	384.34	1191.69	988.12	1242.34	1225.22	1066.48	878.17	947.83	878.17	1001.93	915.51	967.76	1044.52	981.29	674.59	1008.9	1081.39	981.29	1044.52	1044.52	995.0	1059.11	1111.82	1073.91	1111.82	0.0	0.57	457.25	651.58	551.56	387.02	373.81	775.05	381.68	591.22	511.0
MED7	170.25	146.03	180.02	133.36	140.04	543.96	438.59	409.15	612.11	490.14	289.02	429.54	409.15	633.73	480.04	291.04	591.22	412.0	503.95	503.95	363.56	476.71	563.18	447.82	483.38	387.02	275.28	291.04	301.33	0.0	0.27	142.01	258.57	209.84	320.8	103.69	90.14	332.14	255.0	154.42
MEF2BNB	353.59	460.44	514.56	253.23	361.04	1059.11	819.3	802.41	981.29	1119.56	688.78	743.43	753.83	902.89	819.3	713.11	878.17	909.17	514.56	688.78	607.87	941.27	633.73	723.08	769.69	698.41	616.37	785.88	890.44	387.02	212.78	476.71	265.87	295.11	299.25	232.94	241.19	366.09	426.57	490.14
METTL20	8.19	11.04	20.86	7.88	18.56	94.01	107.38	133.36	96.68	133.36	148.09	127.0	105.89	127.0	193.01	113.56	139.07	76.17	144.01	121.79	148.09	99.43	131.51	129.69	98.73	127.0	154.42	134.3	126.12	0.0	0.09	43.02	39.5	58.3	18.56	26.1	58.71	45.85	49.56	18.03
METTL9	1225.22	733.19	1208.34	1487.87	954.43	3443.31	2367.9	3491.39	3212.66	4328.55	1844.76	2119.22	2468.49	3325.99	2664.15	3280.18	4512.4	3257.52	3982.99	3235.01	3665.02	2627.46	3060.45	2855.44	2855.44	2485.67	3589.58	3325.99	2739.08	0.0	0.74	1540.37	1127.35	1208.34	1437.15	1721.16	1594.73	947.83	1359.57	1216.75
MICU2	612.11	842.36	638.15	191.67	466.88	2163.77	1427.22	1685.71	1991.0	2520.38	1096.5	1806.78	1427.22	1583.71	1697.45	1936.53	2163.77	1594.73	2319.15	1806.78	1950.0	1551.09	2032.85	1794.29	1757.34	1457.23	1388.16	1427.22	1340.84	0.0	0.59	559.28	1127.35	954.43	896.64	866.07	693.58	860.08	819.3	1242.34
MORN2	320.8	343.89	429.54	406.31	253.23	961.07	1313.23	1519.15	1457.23	2627.46	825.0	1477.58	808.0	1437.15	1437.15	1119.56	2720.15	1519.15	1697.45	1487.87	1605.83	1242.34	1806.78	1359.57	2485.67	1044.52	1295.13	1388.16	1001.93	0.0	0.0	480.04	483.38	186.4	518.15	281.09	309.83	351.14	279.14	780.44
MORN4	24.81	22.75	87.65	69.03	43.94	698.41	400.71	591.22	830.75	1167.14	325.29	493.56	934.76	954.43	607.87	470.14	981.29	387.02	703.28	583.07	698.41	457.25	665.29	507.46	532.74	543.96	559.28	769.69	500.46	0.0	0.25	71.5	123.5	92.7	61.68	80.01	75.11	118.43	144.01	95.34
MPC1	595.34	414.87	796.86	228.13	363.56	11112.3	5183.54	9279.58	11664.82	17558.94	2976.74	5366.37	4419.52	11909.94	7180.15	6164.49	14971.21	5329.3	11345.82	8022.41	9740.98	6207.38	12244.81	5913.33	9673.69	7331.05	7230.1	9088.59	5831.91	0.0	0.75	688.78	1628.26	819.3	423.61	503.95	567.1	1104.13	878.17	1096.5
MRPL43	1331.57	1628.26	1359.57	1447.15	1487.87	3039.3	2148.82	2875.3	3212.66	3794.3	2119.22	2319.15	2816.11	2935.74	2400.97	2119.22	2875.3	2935.74	2303.12	2090.03	2384.37	2287.2	2915.45	2720.15	2997.45	2485.67	2609.3	2537.92	2664.15	0.0	0.58	1551.09	2061.24	1583.71	1674.06	1508.65	1508.65	1457.23	1498.22	1427.22
MTMR10	239.52	191.67	371.22	88.26	162.14	1242.34	679.29	748.61	921.88	1407.55	896.64	1242.34	934.76	1697.45	1709.26	1051.79	1605.83	563.18	1313.23	1467.37	1322.37	813.63	1073.91	1208.34	819.3	1088.92	1023.0	1096.5	808.0	0.0	0.58	346.29	279.14	466.88	143.01	500.46	332.14	429.54	414.87	146.03
MYOM2	5.54	147.06	44.89	12.93	109.66	329.84	155.5	507.46	323.03	555.41	376.41	195.72	273.37	571.05	356.05	332.14	392.44	267.73	358.54	279.14	281.09	154.42	289.02	420.68	334.46	379.04	703.28	387.02	514.56	0.0	0.21	36.79	56.68	19.82	25.35	67.59	31.67	108.9	81.71	77.25
MYOZ1	10.24	5.96	15.45	4.35	1.06	64.8	103.69	141.02	139.07	341.51	96.68	186.4	157.68	98.04	142.01	124.37	275.28	134.3	67.59	111.21	115.97	55.89	124.37	101.54	110.43	141.02	81.14	111.99	89.51	0.0	0.13	18.97	3.99	6.94	4.46	1.39	39.5	3.11	3.63	0.0
NAAA	199.85	316.37	234.57	43.94	269.6	1628.26	796.86	2148.82	1199.98	2997.45	1359.57	1023.0	1674.06	1794.29	808.0	1561.89	1540.37	995.0	947.83	1909.85	1594.73	616.37	1561.89	961.07	1806.78	1540.37	974.5	1709.26	1216.75	0.0	0.55	525.39	358.54	748.61	269.6	205.5	373.81	412.0	371.22	332.14
NGFRAP1	796.86	395.18	521.76	5183.54	1059.11	10883.59	8538.88	8778.97	11504.21	23009.42	7537.18	7857.29	6426.31	11189.6	6426.31	7130.55	14765.09	6699.25	7642.41	8305.36	9088.59	8247.98	10296.45	8840.04	9740.98	8191.0	5954.47	9876.98	8778.97	0.0	1.0	483.38	2835.7	674.59	2502.97	633.73	1388.16	518.15	974.5	460.44
NME5	0.71	9.93	4.5	0.0	0.64	444.72	420.68	470.14	587.13	1044.52	244.57	909.17	525.39	974.5	339.14	486.75	1427.22	309.83	603.67	473.41	497.0	447.82	624.99	432.53	567.1	412.0	420.68	397.93	260.38	0.0	0.05	28.24	44.25	18.29	9.13	8.38	32.36	10.88	36.27	62.56
NPHP1	18.56	23.59	21.01	42.11	16.63	185.11	191.67	234.57	260.38	281.09	195.72	246.28	251.48	341.51	134.3	175.07	403.5	236.21	220.32	229.72	251.48	239.52	189.02	237.86	223.41	185.11	176.29	164.42	194.36	0.0	0.03	96.68	162.14	57.49	78.34	61.25	96.68	57.08	81.71	113.56
NRL	14.67	27.25	22.43	14.14	13.12	128.79	148.09	130.6	81.14	112.77	144.01	97.36	57.89	167.9	83.45	144.01	161.02	217.27	76.17	85.82	139.07	130.6	94.67	120.94	93.35	108.14	88.88	84.04	104.42	0.0	0.0	20.26	60.82	43.02	25.91	16.15	17.38	21.63	27.64	30.56
NTN4	167.9	75.11	86.43	83.45	159.9	4607.24	3639.7	2351.53	3794.3	9606.86	2485.67	7857.29	3820.7	7589.61	4607.24	6652.97	9279.58	1936.53	3146.52	3742.05	3768.09	3742.05	3690.52	4607.24	2319.15	2502.97	3235.01	2240.11	2664.15	0.0	0.27	435.55	193.01	540.19	26.67	62.12	327.56	444.72	679.29	249.73
NTRK2	54.33	74.06	27.64	5.5	19.53	1733.13	1304.15	981.29	878.17	10659.59	915.51	2855.44	1167.14	3235.01	1519.15	1639.59	5633.22	366.09	1819.35	1540.37	1331.57	860.08	1378.57	1662.49	1259.69	1044.52	915.51	2133.97	1331.57	0.0	0.33	7.28	26.47	52.82	19.97	102.25	28.04	9.34	46.18	106.63
NUDT6	29.7	41.22	67.12	12.64	40.36	514.56	307.69	490.14	503.95	591.22	353.59	412.0	297.17	532.74	423.61	363.56	616.37	241.19	483.38	341.51	429.54	327.56	336.79	318.57	417.77	389.72	497.0	409.15	305.55	0.0	0.07	56.68	81.71	75.11	150.17	39.5	69.03	178.77	87.03	41.52
NUDT7	38.95	91.41	154.42	10.79	76.17	1023.0	511.0	738.29	848.22	1250.98	281.09	579.04	441.64	974.5	529.06	486.75	1250.98	403.5	819.3	579.04	802.41	642.59	1008.9	633.73	547.75	521.76	460.44	642.59	575.03	0.0	0.06	75.11	195.72	131.51	81.14	124.37	108.9	28.65	148.09	166.73
OLFM3	0.0	0.0	0.0	0.96	0.0	1.43	1.55	19.39	26.67	6.41	0.0	7.63	10.16	6.52	14.78	5.82	23.08	5.41	3.23	55.89	65.26	2.05	28.45	5.63	28.45	77.25	21.01	19.11	18.97	0.0	0.0	0.0	5.19	1.53	0.0	0.24	0.0	0.0	0.35	0.33
OSBPL9	463.65	423.61	555.41	511.0	279.14	3235.01	1769.57	2255.7	2758.13	3372.43	1769.57	2090.03	1781.89	3467.27	1883.54	2047.0	3639.7	1697.45	2335.28	2645.74	3303.0	1781.89	2777.33	2816.11	2319.15	2148.82	1936.53	2537.92	1950.0	0.0	0.41	1143.1	1819.35	830.75	1104.13	616.37	1208.34	866.07	988.12	748.61
PANK1	29.06	155.5	147.06	24.28	32.82	651.58	303.44	921.88	532.74	1015.93	392.44	802.41	460.44	825.0	583.07	791.35	1286.18	236.21	921.88	909.17	785.88	358.54	435.55	642.59	633.73	540.19	1015.93	854.13	493.56	0.0	0.0	248.0	103.69	708.18	312.0	395.18	177.53	57.89	120.94	82.87
PARK2	2.12	0.87	5.36	0.39	0.85	547.75	206.94	483.38	454.09	1051.79	191.67	291.04	182.55	872.1	299.25	334.46	1208.34	262.2	395.18	429.54	559.28	212.78	351.14	242.88	226.54	387.02	373.81	503.95	341.51	0.0	0.12	7.06	31.0	43.32	3.5	7.94	18.56	7.69	68.07	12.93
PDE1A	18.03	7.94	20.86	1.81	15.68	3820.7	2720.15	2609.3	2835.7	21320.18	1427.22	4210.15	1572.76	13586.57	3039.3	2895.31	15607.02	2119.22	2664.15	3018.3	3443.31	2573.36	2555.58	3794.3	2555.58	2004.85	1437.15	2682.69	1685.71	0.0	0.34	17.64	171.45	153.34	12.09	60.82	61.25	37.05	183.82	46.84
PEX11G	29.91	121.79	67.12	73.54	38.4	454.09	301.33	353.59	264.03	503.95	289.02	320.8	291.04	406.31	400.71	185.11	457.25	275.28	120.94	186.4	262.2	291.04	208.38	202.66	309.83	299.25	476.71	316.37	279.14	0.0	0.0	78.34	28.45	98.73	65.72	40.93	159.9	115.16	132.44	205.5
PEX7	102.97	63.45	115.16	150.17	100.83	529.06	358.54	447.82	361.04	728.11	361.04	454.09	353.59	301.33	423.61	555.41	532.74	511.0	486.75	493.56	551.56	450.94	511.0	441.64	379.04	435.55	358.54	466.88	376.41	0.0	0.01	215.77	353.59	195.72	115.97	283.05	180.02	351.14	153.34	202.66
PIGV	116.78	218.79	195.72	205.5	204.07	500.46	444.72	417.77	454.09	612.11	490.14	579.04	460.44	703.28	420.68	414.87	633.73	366.09	698.41	629.35	454.09	486.75	476.71	647.07	518.15	412.0	591.22	624.99	438.59	0.0	0.0	186.4	142.01	361.04	264.03	147.06	473.41	273.37	412.0	232.94
PLCL1	7.51	1.22	16.51	3.2	13.72	1073.91	703.28	1037.29	878.17	2468.49	358.54	1322.37	483.38	2090.03	759.08	1498.22	3212.66	493.56	1208.34	1088.92	1340.84	647.07	961.07	1250.98	947.83	981.29	1001.93	1721.16	915.51	0.0	0.06	38.95	35.25	100.13	4.54	12.83	37.32	11.3	81.14	10.16
PLCXD2	11.55	3.96	4.94	34.02	46.84	1896.65	1427.22	1806.78	1870.53	11909.94	563.18	1322.37	669.92	3847.29	1015.93	1295.13	9151.82	1096.5	1583.71	1369.04	2520.38	1709.26	1896.65	1242.34	1427.22	1225.22	947.83	1359.57	1331.57	0.0	0.27	236.21	438.59	85.82	16.15	19.97	51.35	41.52	120.1	71.0
PREPL	361.04	432.53	454.09	133.36	191.67	1709.26	1322.37	1519.15	1313.23	2240.11	1135.2	1950.0	1242.34	1832.01	1467.37	1733.13	2468.49	1051.79	2133.97	1697.45	1757.34	1508.65	1745.2	1896.65	1407.55	1378.57	1477.58	1572.76	1477.58	0.0	0.48	698.41	759.08	802.41	500.46	599.49	616.37	928.3	620.67	543.96
PRKD1	13.12	7.11	16.03	5.87	14.24	521.76	429.54	518.15	384.34	802.41	395.18	674.59	493.56	769.69	547.75	486.75	669.92	384.34	507.46	603.67	616.37	329.84	384.34	629.35	480.04	656.11	400.71	651.58	397.93	0.0	0.46	33.06	83.45	104.42	26.67	35.0	42.71	52.45	85.82	36.53
PXMP2	297.17	299.25	444.72	255.0	327.56	1628.26	934.76	2018.8	1073.91	2645.74	1030.12	1331.57	981.29	1794.29	1447.15	825.0	2119.22	860.08	2061.24	1304.15	1225.22	1081.39	1447.15	1030.12	1437.15	1250.98	2485.67	2287.2	1540.37	0.0	0.06	540.19	514.56	490.14	866.07	1111.82	866.07	780.44	507.46	536.45
RCBTB2	123.5	88.88	139.07	126.12	155.5	587.13	454.09	397.93	493.56	1037.29	703.28	579.04	808.0	974.5	420.68	607.87	981.29	521.76	633.73	555.41	703.28	563.18	563.18	738.29	426.57	356.05	368.65	379.04	500.46	0.0	0.27	165.57	232.94	309.83	79.45	123.5	218.79	133.36	202.66	157.68
RGS6	3.26	1.11	15.0	0.58	24.99	99.43	71.0	64.8	102.25	291.04	10.47	40.07	10.88	104.42	74.58	19.82	130.6	112.77	41.52	152.28	41.52	24.28	98.73	40.64	77.25	94.01	57.08	140.04	56.68	0.0	0.22	13.42	21.16	14.03	1.31	0.39	1.71	0.0	18.56	1.25
RNLS	27.05	5.87	10.63	125.24	96.68	595.34	454.09	607.87	529.06	796.86	417.77	651.58	392.44	579.04	480.04	540.19	718.08	551.56	647.07	559.28	612.11	620.67	503.95	551.56	583.07	460.44	616.37	500.46	525.39	0.0	0.29	12.0	51.35	63.45	6.06	14.56	33.78	37.32	61.25	24.63
RP11-766F14.2	0.0	0.69	0.0	0.21	0.0	57.49	49.91	63.45	27.25	75.11	23.93	49.21	23.08	52.45	24.11	19.82	50.63	13.93	43.94	90.77	77.79	64.8	62.12	46.18	42.11	22.1	19.11	47.84	108.9	0.0	0.0	0.0	33.3	12.0	0.82	0.82	0.0	0.0	2.43	0.0
SEC14L6	0.39	0.0	0.53	1.33	0.44	684.02	473.41	327.56	343.89	1242.34	312.0	1119.56	139.07	579.04	218.79	423.61	1397.83	571.05	334.46	343.89	358.54	529.06	283.05	620.67	336.79	234.57	149.12	283.05	327.56	0.0	0.0	1.6	4.98	9.85	1.01	2.71	2.86	1.57	5.54	56.68
SIRT3	181.28	299.25	348.71	234.57	149.12	915.51	595.34	819.3	633.73	1015.93	665.29	629.35	764.36	1159.07	915.51	450.94	947.83	579.04	629.35	830.75	780.44	679.29	555.41	759.08	748.61	703.28	633.73	813.63	616.37	0.0	0.35	320.8	336.79	373.81	318.57	255.0	363.56	291.04	351.14	507.46
SLC12A1	0.0	0.56	0.0	0.0	0.0	47642.77	19082.0	46019.85	23986.58	290865.98	36106.23	59474.18	35363.15	193234.41	98646.85	45386.27	241220.67	12764.83	61571.56	48643.87	47642.77	37121.34	32994.92	49322.93	46339.95	39510.91	30151.71	47974.16	34396.12	0.0	0.07	0.0	0.26	0.67	0.8	3.47	0.0	0.0	2.27	0.0
SLC16A12	1.06	0.48	2.68	0.84	0.0	1745.2	1208.34	1662.49	1051.79	3639.7	2004.85	3103.19	2609.3	3235.01	1259.69	896.64	3847.29	1015.93	2434.5	2133.97	1583.71	1407.55	1498.22	1977.24	1883.54	1733.13	1870.53	2148.82	1519.15	0.0	0.21	1.08	17.64	6.11	2.46	113.56	5.19	1.06	6.94	1.73
SLC25A30	73.54	97.36	90.14	244.57	198.47	674.59	624.99	1088.92	684.02	1191.69	387.02	896.64	547.75	954.43	995.0	2240.11	1208.34	476.71	1199.98	1225.22	836.53	785.88	764.36	1008.9	791.35	743.43	902.89	1008.9	748.61	0.0	0.27	132.44	182.55	241.19	70.01	164.42	124.37	163.28	199.85	181.28
SOX6	13.32	47.5	28.04	13.52	113.56	241.19	133.36	249.73	155.5	318.57	181.28	256.78	193.01	341.51	351.14	575.03	624.99	62.12	273.37	251.48	435.55	249.73	157.68	327.56	169.07	267.73	251.48	389.72	241.19	0.0	0.29	63.45	97.36	177.53	4.74	77.79	42.11	19.39	31.45	29.7
SPATA24	44.57	70.01	87.03	64.8	62.56	339.14	320.8	412.0	327.56	521.76	220.32	260.38	217.27	234.57	248.0	224.97	511.0	332.14	269.6	325.29	287.01	265.87	403.5	279.14	363.56	334.46	332.14	441.64	265.87	0.0	0.08	44.89	226.54	128.79	60.39	40.93	39.5	94.67	93.35	33.54
SPG20OS	6.26	3.26	0.0	2.43	8.0	19.25	55.89	28.86	23.08	14.03	9.41	56.28	98.73	60.39	29.48	25.35	93.35	14.14	22.92	10.47	17.51	6.94	47.17	17.0	25.91	27.44	19.82	35.0	16.27	0.0	0.17	0.0	2.97	3.82	0.0	2.14	0.0	1.87	7.0	4.94
STK16	435.55	638.15	490.14	466.88	480.04	1378.57	909.17	1051.79	1088.92	1378.57	1191.69	974.5	1268.46	1233.75	1331.57	708.18	1397.83	928.3	1037.29	981.29	1081.39	1111.82	941.27	1008.9	1159.07	896.64	1073.91	1096.5	872.1	0.0	0.46	848.22	728.11	575.03	713.11	486.75	802.41	890.44	743.43	974.5
SULT1A1	74.06	231.32	122.64	14.56	43.02	1015.93	563.18	1529.73	1331.57	981.29	435.55	915.51	1508.65	2090.03	961.07	802.41	1605.83	693.58	483.38	1417.35	1572.76	1044.52	1111.82	669.92	974.5	1662.49	967.76	1259.69	1104.13	0.0	0.35	190.34	172.65	384.34	262.2	260.38	551.56	323.03	764.36	444.72
TCAIM	289.02	236.21	291.04	123.5	232.94	981.29	591.22	791.35	1081.39	1167.14	412.0	723.08	536.45	1096.5	872.1	842.36	1151.06	708.18	896.64	954.43	1143.1	656.11	981.29	1151.06	836.53	693.58	775.05	995.0	684.02	0.0	0.45	307.69	303.44	412.0	571.05	400.71	417.77	273.37	457.25	262.2
TCTN1	356.05	262.2	220.32	173.85	151.22	921.88	1151.06	1233.75	1304.15	1794.29	854.13	1073.91	981.29	2502.97	1540.37	1088.92	2090.03	1081.39	1051.79	1066.48	1081.39	748.61	1199.98	1008.9	1277.29	1183.45	1111.82	884.29	866.07	0.0	0.39	316.37	808.0	255.0	406.31	237.86	688.78	314.17	457.25	540.19
TDRP	47.5	21.63	37.85	37.85	279.14	791.35	551.56	612.11	486.75	629.35	295.11	376.41	262.2	909.17	543.96	473.41	1407.55	295.11	409.15	698.41	529.06	703.28	629.35	607.87	339.14	325.29	231.32	339.14	693.58	0.0	0.57	31.9	42.41	53.19	13.12	16.75	30.34	28.45	88.26	32.82
TEX9	19.82	63.0	46.5	40.64	45.53	346.29	211.31	191.67	204.07	285.03	206.94	327.56	146.03	366.09	229.72	246.28	733.19	143.01	241.19	221.86	323.03	236.21	307.69	363.56	177.53	164.42	165.57	177.53	186.4	0.0	0.0	33.06	94.01	120.1	68.07	78.89	102.97	201.25	114.36	71.0
TLN2	129.69	159.9	223.41	85.82	120.94	1268.46	647.07	638.15	759.08	1199.98	909.17	1119.56	1088.92	1733.13	884.29	842.36	1277.29	351.14	854.13	830.75	981.29	813.63	638.15	1023.0	854.13	819.3	1896.65	1277.29	1378.57	0.0	0.34	151.22	55.49	299.25	211.31	136.19	389.72	256.78	299.25	102.25
TMEM17	32.13	40.64	53.57	43.32	34.51	193.01	117.6	124.37	144.01	202.66	88.88	153.34	114.36	205.5	163.28	185.11	258.57	78.89	134.3	161.02	177.53	128.79	142.01	169.07	119.26	118.43	102.25	105.89	100.13	0.0	0.0	101.54	57.89	33.54	28.04	70.01	60.39	31.22	44.25	99.43
TMEM222	830.75	884.29	688.78	651.58	842.36	1457.23	1199.98	1191.69	1340.84	1745.2	1277.29	1044.52	1397.83	1572.76	1605.83	866.07	1457.23	1233.75	928.3	1044.52	1081.39	1119.56	1111.82	1023.0	1277.29	1304.15	1135.2	1199.98	1096.5	0.0	0.39	486.75	540.19	642.59	563.18	748.61	642.59	559.28	813.63	759.08
TMEM232	6.62	2.03	3.2	2.76	4.58	149.12	155.5	183.82	133.36	223.41	96.01	122.64	66.65	173.85	150.17	242.88	409.15	99.43	164.42	204.07	176.29	145.02	137.14	157.68	139.07	124.37	128.79	117.6	137.14	0.0	0.0	2.56	16.03	27.64	9.27	8.58	11.64	15.22	36.01	8.92
TOM1L1	543.96	733.19	395.18	316.37	529.06	2976.74	1781.89	2104.58	2351.53	3039.3	1594.73	2163.77	1051.79	2255.7	1721.16	2627.46	2701.35	2367.9	2163.77	2434.5	2875.3	1769.57	2287.2	2627.46	1697.45	2075.59	2119.22	2018.8	1936.53	0.0	0.3	825.0	915.51	1066.48	1143.1	796.86	1350.18	796.86	748.61	947.83
TRAM1L1	1.38	4.54	1.04	0.89	20.11	417.77	251.48	236.21	307.69	587.13	172.65	620.67	232.94	674.59	253.23	153.34	854.13	131.51	323.03	356.05	438.59	329.84	283.05	412.0	289.02	244.57	182.55	307.69	221.86	0.0	0.0	3.79	71.0	17.13	16.39	6.16	10.63	11.21	20.86	6.57
TRIM55	0.0	0.0	0.31	7.57	0.68	111.21	251.48	163.28	116.78	371.22	96.01	376.41	130.6	228.13	303.44	65.26	447.82	45.21	115.97	136.19	211.31	414.87	111.99	249.73	218.79	142.01	165.57	176.29	226.54	0.0	0.0	0.73	1.01	10.96	0.0	0.0	1.19	0.0	2.51	0.15
TSPAN33	105.89	202.66	81.14	25.54	197.09	6381.92	3039.3	4010.71	4010.71	14561.8	1844.76	3103.19	3690.52	6935.54	7180.15	3665.02	15607.02	1225.22	5791.62	5872.48	5751.61	3768.09	5791.62	3467.27	6983.79	3716.2	5479.15	6250.56	5076.84	0.0	0.55	423.61	307.69	348.71	50.27	148.09	285.03	141.02	334.46	463.65
TSTD1	1096.5	896.64	796.86	928.3	417.77	4123.49	4066.71	4639.29	5751.61	7537.18	2240.11	2997.45	2367.9	4937.99	3349.13	2271.4	5006.93	4869.99	2591.27	2720.15	3443.31	3372.43	3716.2	3146.52	4181.07	3395.89	3564.78	4268.94	3103.19	0.0	0.35	1199.98	2119.22	1159.07	1806.78	825.0	624.99	2609.3	934.76	3443.31
TYRP1	1.97	0.96	2.86	0.83	1.77	988.12	301.33	1044.52	616.37	2090.03	108.9	244.57	113.56	988.12	679.29	1259.69	1359.57	132.44	426.57	825.0	842.36	202.66	547.75	400.71	915.51	884.29	1127.35	1350.18	323.03	0.0	0.13	0.59	29.06	93.35	17.13	7.28	8.92	10.63	67.59	75.64
UFSP2	281.09	239.52	255.0	457.25	493.56	1551.09	947.83	1167.14	1096.5	1651.0	909.17	1073.91	748.61	1208.34	1199.98	1008.9	1457.23	1044.52	1350.18	1322.37	1407.55	967.76	1233.75	1081.39	1015.93	890.44	1044.52	1023.0	896.64	0.0	0.23	242.88	420.68	441.64	217.27	293.07	271.48	426.57	514.56	297.17
UMOD	0.0	0.0	0.0	0.0	0.0	303217.87	602247.76	443937.41	363097.14	3178687.03	284880.02	1318073.06	327241.36	789181.81	1070607.81	565825.41	1299926.74	378516.38	585779.24	434801.29	431797.89	345900.08	422911.59	636586.81	502929.67	381149.17	345900.08	641014.63	391864.76	0.0	0.0	2.1	0.0	0.0	0.0	1.79	0.0	0.0	0.0	0.0
VEPH1	1.77	27.64	6.11	2.81	11.82	1447.15	728.11	1015.93	1088.92	2816.11	612.11	1051.79	493.56	2335.28	1044.52	1167.14	2895.31	291.04	1286.18	1096.5	1697.45	1081.39	1073.91	1167.14	660.68	802.41	830.75	1304.15	1015.93	0.0	0.0	332.14	18.03	10.96	12.74	95.34	39.22	10.71	82.29	14.78
