	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.11OF3.2326.SM.5GU73	GTEX.WEY5.0926.SM.4LMI4	TCGA.CQ.6222.01A.11R.1915.07	TCGA.DQ.5625.01A.01R.1873.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.CD.A489.01A.11R.A24K.31	GTEX.XBEW.1826.SM.4RTWX	GTEX.145MO.2226.SM.5Q5BN
TRIM54	4543.8	4.1	4.9	1561.89	486.75	0.0	3280.18	4450.27	4419.52	1119.56	3742.05	3395.89	3874.05	13306.94	9.48	89.51	105.89	0.57
TRIM72	1001.93	2.03	0.83	368.65	141.02	0.0	769.69	647.07	1268.46	206.94	884.29	2018.8	1508.65	3124.78	3.38	1.45	6.78	4.54
TTN	15392.14	15.8	6.52	1963.57	454.09	2.07	4450.27	3372.43	8598.28	1561.89	5791.62	6121.9	5219.6	10440.2	65.26	18.97	10.0	3.08
TXLNB	5366.37	75.64	7.06	525.39	295.11	0.67	1304.15	1111.82	2777.33	536.45	2075.59	1896.65	591.22	5403.7	38.12	21.01	17.9	27.64
UCP3	4575.41	104.42	27.44	599.49	232.94	16.51	493.56	753.83	2133.97	361.04	1225.22	842.36	693.58	423.61	50.63	35.76	29.06	11.3
UNC45B	3665.02	1.36	1.68	438.59	190.34	0.0	1183.45	1427.22	2875.3	363.56	2956.17	1662.49	3395.89	1662.49	45.53	2.39	21.63	13.83
VGLL2	1991.0	0.0	0.0	98.04	33.54	0.0	183.82	403.5	358.54	97.36	297.17	325.29	76.17	1561.89	0.0	0.0	1.22	0.0
XIRP1	22072.07	7.11	2.27	1378.57	466.88	0.56	1977.24	12160.22	6207.38	808.0	3168.41	4038.61	447.82	7966.99	14.03	0.93	12.0	0.07
XIRP2	48307.85	2.68	1.48	5147.73	2895.31	0.0	4769.75	4481.23	15824.9	3467.27	7180.15	47642.77	5441.3	45386.27	1.0	2.39	5.45	0.31
YIPF7	1359.57	4.9	0.0	134.3	53.57	1.22	267.73	536.45	753.83	112.77	329.84	679.29	587.13	759.08	0.0	0.0	0.0	4.1
