	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.AZ.4323.01A.21R.1839.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.52.7809.01A.21R.2125.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.AF.2687.01A.02R.1736.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.ZYY3.1726.SM.5EGH3
TEX22	1.3	27.05	7.06	36.27	1.68	3.66	21.01	7.63	2.92	2.05	3.35	11.64	18.97	1.04	1.66	0.0	0.27	22.59	5.32	10.47	0.41	1.48	0.04	0.67	0.16	3.17	0.0	1.64
THAP6	152.28	251.48	368.65	483.38	163.28	248.0	206.94	209.84	205.5	120.94	301.33	244.57	180.02	167.9	52.45	0.0	0.09	287.01	301.33	271.48	78.89	81.14	46.5	104.42	117.6	97.36	67.12	53.57
THAP7	323.03	902.89	764.36	934.76	599.49	532.74	620.67	651.58	387.02	759.08	1304.15	759.08	698.41	571.05	363.56	0.0	0.45	1023.0	612.11	647.07	351.14	177.53	281.09	518.15	346.29	457.25	323.03	226.54
TMA16	441.64	559.28	595.34	351.14	316.37	547.75	447.82	285.03	260.38	339.14	463.65	543.96	909.17	217.27	162.14	0.0	0.08	368.65	813.63	647.07	567.1	343.89	237.86	262.2	285.03	262.2	287.01	132.44
TMEM216	309.83	518.15	674.59	423.61	346.29	395.18	529.06	403.5	289.02	358.54	703.28	624.99	460.44	275.28	72.52	0.0	0.03	1001.93	848.22	733.19	351.14	82.29	167.9	258.57	81.71	140.04	125.24	197.09
TMEM44	109.66	186.4	323.03	954.43	262.2	162.14	738.29	521.76	269.6	414.87	447.82	438.59	193.01	154.42	107.38	0.0	0.77	1059.11	785.88	260.38	48.87	66.18	79.45	143.01	70.01	55.89	64.34	178.77
TPR	813.63	1331.57	1551.09	529.06	866.07	1073.91	1350.18	1350.18	796.86	753.83	1167.14	1286.18	1183.45	583.07	567.1	780.44	53.19	1331.57	1313.23	848.22	363.56	536.45	665.29	651.58	612.11	447.82	529.06	291.04
TRAIP	101.54	297.17	273.37	325.29	53.95	106.63	312.0	162.14	63.0	133.36	486.75	954.43	432.53	105.89	46.18	0.0	0.04	258.57	297.17	299.25	53.95	120.94	57.89	90.14	94.67	46.5	94.67	32.36
TRIM27	490.14	1304.15	830.75	1143.1	551.56	567.1	733.19	915.51	332.14	493.56	860.08	974.5	679.29	463.65	256.78	0.0	0.73	1594.73	1233.75	1508.65	293.07	211.31	466.88	371.22	265.87	287.01	232.94	507.46
TRIM37	171.45	295.11	305.55	470.14	244.57	334.46	293.07	368.65	218.79	232.94	511.0	420.68	366.09	187.71	98.73	0.0	0.53	397.93	283.05	316.37	246.28	209.84	149.12	175.07	142.01	206.94	229.72	85.22
TTC30A	18.03	67.12	91.41	52.45	31.0	43.94	74.06	50.27	31.45	32.13	50.98	92.7	23.08	18.43	42.11	0.0	0.0	143.01	133.36	63.89	35.25	7.88	12.09	47.5	13.62	33.78	5.68	4.62
TTC30B	47.17	101.54	109.66	87.65	39.5	48.18	98.04	61.25	42.71	35.0	70.01	112.77	34.26	32.13	39.22	0.0	0.0	149.12	141.02	78.89	65.72	43.02	19.39	64.34	48.87	60.39	30.12	19.11
UBXN2B	95.34	312.0	389.72	220.32	137.14	265.87	271.48	312.0	151.22	157.68	249.73	329.84	384.34	113.56	71.0	193.01	152.28	229.72	376.41	275.28	251.48	76.71	57.89	157.68	67.12	108.9	63.45	273.37
UNC50	414.87	1023.0	1037.29	1104.13	629.35	651.58	860.08	759.08	629.35	738.29	974.5	1175.27	738.29	656.11	547.75	0.0	0.39	1639.59	1208.34	1277.29	651.58	438.59	358.54	684.02	525.39	571.05	620.67	368.65
URB1	118.43	231.32	301.33	277.2	232.94	249.73	211.31	314.17	150.17	189.02	327.56	224.97	251.48	202.66	70.01	0.0	0.37	166.73	61.25	185.11	109.66	76.17	182.55	137.14	120.94	91.41	80.57	47.17
UTP20	55.1	170.25	173.85	228.13	116.78	173.85	140.04	187.71	89.51	105.15	249.73	153.34	218.79	70.51	26.67	0.0	0.17	173.85	134.3	164.42	68.07	52.08	50.63	112.77	58.71	102.25	55.49	18.03
UTP23	82.87	470.14	305.55	334.46	195.72	387.02	381.68	376.41	151.22	264.03	400.71	361.04	669.92	187.71	50.27	0.0	0.56	559.28	356.05	371.22	228.13	122.64	289.02	234.57	147.06	81.14	130.6	191.67
UVRAG	49.91	379.04	260.38	361.04	171.45	264.03	450.94	353.59	87.03	121.79	327.56	320.8	269.6	120.94	136.19	0.0	0.6	633.73	239.52	403.5	117.6	112.77	60.82	82.29	80.01	69.03	87.03	125.24
VAMP4	181.28	299.25	381.68	318.57	267.73	279.14	387.02	305.55	291.04	214.27	234.57	187.71	307.69	273.37	303.44	0.0	0.56	363.56	186.4	301.33	297.17	176.29	123.5	112.77	211.31	123.5	170.25	156.59
WDR5	295.11	928.3	854.13	842.36	738.29	753.83	854.13	647.07	563.18	674.59	842.36	679.29	698.41	518.15	236.21	0.0	0.65	866.07	1225.22	728.11	339.14	514.56	813.63	376.41	466.88	368.65	361.04	206.94
YAF2	202.66	575.03	295.11	262.2	287.01	356.05	423.61	412.0	246.28	189.02	353.59	497.0	571.05	283.05	316.37	0.0	0.57	414.87	387.02	559.28	297.17	124.37	144.01	293.07	191.67	145.02	253.23	214.27
ZBTB9	175.07	208.38	248.0	287.01	128.79	116.78	111.99	138.1	84.04	114.36	295.11	334.46	224.97	111.21	40.64	108.14	129.69	221.86	202.66	283.05	97.36	64.8	107.38	99.43	90.77	109.66	63.89	52.45
ZKSCAN5	55.49	147.06	169.07	120.1	88.26	112.77	111.99	125.24	83.45	78.34	156.59	134.3	121.79	71.0	44.89	0.0	0.14	209.84	146.03	159.9	86.43	54.72	45.21	91.41	76.17	59.97	68.07	31.22
ZNF12	256.78	356.05	447.82	503.95	299.25	336.79	387.02	387.02	318.57	309.83	395.18	454.09	379.04	303.44	159.9	0.0	0.65	483.38	403.5	384.34	248.0	172.65	120.94	371.22	185.11	239.52	183.82	221.86
ZNF200	84.04	307.69	234.57	144.01	87.03	86.43	136.19	146.03	61.25	90.14	191.67	221.86	223.41	77.25	78.34	0.0	0.0	343.89	191.67	197.09	105.15	59.55	76.17	100.13	121.79	70.01	90.14	34.51
ZNF26	94.01	392.44	318.57	59.13	115.16	146.03	206.94	209.84	69.03	96.68	353.59	224.97	309.83	88.88	40.64	0.0	0.4	323.03	244.57	277.2	38.12	55.1	57.08	85.22	68.07	40.36	44.25	29.91
ZNF322	72.01	212.78	228.13	373.81	114.36	140.04	158.79	167.9	116.78	94.67	256.78	191.67	185.11	119.26	71.5	0.0	0.71	454.09	202.66	301.33	173.85	42.11	67.12	105.89	55.49	78.34	24.28	52.82
ZNF512	33.78	872.1	890.44	343.89	318.57	327.56	595.34	633.73	287.01	220.32	738.29	967.76	483.38	265.87	90.14	0.0	0.72	1639.59	555.41	563.18	112.77	92.7	80.57	208.38	71.0	73.03	75.11	409.15
ZNF623	149.12	325.29	260.38	147.06	183.82	206.94	285.03	283.05	163.28	182.55	287.01	236.21	262.2	163.28	70.01	0.0	0.39	329.84	305.55	289.02	109.66	97.36	116.78	125.24	66.65	98.04	51.35	46.5
ZNF644	248.0	417.77	591.22	397.93	291.04	435.55	379.04	447.82	287.01	329.84	305.55	454.09	525.39	260.38	341.51	0.0	0.46	583.07	642.59	447.82	297.17	159.9	221.86	289.02	232.94	256.78	218.79	214.27
ZNF689	43.32	151.22	119.26	139.07	93.35	66.65	101.54	129.69	30.78	57.89	185.11	113.56	157.68	45.21	16.51	0.0	0.04	107.38	126.12	189.02	92.7	31.67	25.35	96.01	55.49	85.22	49.56	44.57
ZNF792	15.22	100.83	55.1	49.56	30.78	27.44	41.22	71.0	23.93	26.86	80.57	63.0	56.68	22.59	15.11	0.0	0.39	193.01	100.83	53.57	15.34	6.01	8.99	16.51	7.0	13.72	4.31	19.39
ZSCAN21	82.29	224.97	336.79	135.24	144.01	234.57	205.5	246.28	86.43	65.26	361.04	267.73	180.02	111.99	38.12	0.0	0.16	343.89	260.38	323.03	64.34	40.64	55.89	120.1	75.64	70.01	48.52	49.91
ZSCAN25	98.04	217.27	301.33	181.28	162.14	195.72	248.0	182.55	142.01	127.0	221.86	172.65	226.54	134.3	68.55	0.0	0.0	379.04	248.0	224.97	121.79	105.15	73.03	135.24	163.28	124.37	78.89	53.19
ZSCAN32	117.6	444.72	351.14	265.87	217.27	228.13	303.44	283.05	172.65	166.73	307.69	329.84	348.71	209.84	133.36	0.0	0.0	262.2	275.28	343.89	211.31	111.21	172.65	111.99	229.72	153.34	158.79	75.64
