	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZZPU.0626.SM.5E43T	GTEX.11P81.1926.SM.5BC53	GTEX.13QIC.2326.SM.5LU5N	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZQUD.0426.SM.57WFR	GTEX.ZVP2.1326.SM.57WCE	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.14E6E.0726.SM.5S2R3	GTEX.ZE9C.1126.SM.4WWBD	GTEX.WRHK.0526.SM.4MVOF	GTEX.R55C.0826.SM.48FCL	GTEX.XOTO.2126.SM.4B64U	GTEX.111CU.0726.SM.5GZYD	GTEX.146FQ.1026.SM.5LU8I	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.13D11.1926.SM.5IFGB	GTEX.REY6.1326.SM.48FDO	GTEX.11NSD.1126.SM.5N9BQ	GTEX.ZPU1.1426.SM.4WWFU	GTEX.1399R.0826.SM.5IJEL	GTEX.139T6.0626.SM.5IFF9	GTEX.WQUQ.1626.SM.4OOSH	GTEX.S95S.0426.SM.4B64I	GTEX.W5WG.1626.SM.4LMKG	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.11GSP.1826.SM.5N9DQ	GTEX.11P81.0826.SM.5P9GR	GTEX.139YR.1726.SM.5IFFK	GTEX.ZDYS.0826.SM.4WWCR	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.13FLV.1126.SM.5J2NO	GTEX.XQ3S.1126.SM.4BOPK	GTEX.YEC3.2526.SM.4YCDN	GTEX.VUSG.1226.SM.4KKZF	GTEX.13QBU.1026.SM.5LU3R	GTEX.OXRN.1726.SM.3NM9B	GTEX.P4PQ.0626.SM.3NMCU	GTEX.U3ZH.1026.SM.4DXUZ	GTEX.OIZG.1026.SM.3LK5X	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.OIZI.1426.SM.3NB1T	GTEX.1399S.1326.SM.5P9GH	GTEX.12ZZX.1326.SM.5DUWI	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.7103.11A.01R.2016.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
COX11	1936.53	915.51	567.1	813.63	802.41	860.08	1119.56	1104.13	915.51	947.83	909.17	974.5	1030.12	1143.1	791.35	934.76	967.76	217.27	490.14	403.5	447.82	591.22	356.05	599.49	543.96	363.56	454.09	327.56	332.14	511.0	376.41	514.56	579.04	507.46	343.89	775.05	363.56	493.56	368.65	497.0	438.59	665.29	543.96	371.22	518.15	785.88	435.55	363.56	555.41	567.1	412.0	669.92	470.14	616.37	500.46	514.56	563.18	486.75	381.68	500.46	441.64	836.53	543.96	417.77	392.44	432.53	518.15	454.09	551.56	277.2	532.74	665.29	444.72	454.09	312.0	503.95	764.36	759.08	420.68	368.65	563.18	400.71	409.15	547.75	669.92	460.44	507.46	497.0	379.04	366.09	361.04	343.89	273.37	429.54	273.37	334.46	450.94
COX18	262.2	356.05	346.29	223.41	269.6	229.72	325.29	256.78	236.21	224.97	271.48	325.29	249.73	217.27	208.38	249.73	327.56	53.57	112.77	87.03	92.7	115.97	87.03	91.41	61.68	65.26	112.77	100.83	90.14	102.97	107.38	104.42	102.97	98.73	100.83	150.17	107.38	101.54	89.51	148.09	87.03	138.1	68.55	59.55	142.01	253.23	115.97	101.54	120.1	120.1	121.79	212.78	116.78	182.55	130.6	86.43	141.02	105.15	82.87	123.5	120.1	248.0	75.11	66.18	73.03	85.82	151.22	98.73	126.12	63.0	138.1	156.59	86.43	96.68	61.25	93.35	182.55	212.78	87.65	38.4	124.37	122.64	95.34	151.22	228.13	176.29	147.06	197.09	162.14	147.06	242.88	105.89	78.34	124.37	132.44	111.99	134.3
CSTF1	753.83	941.27	1963.57	551.56	559.28	587.13	616.37	728.11	575.03	583.07	595.34	587.13	647.07	624.99	591.22	674.59	551.56	341.51	447.82	432.53	412.0	305.55	273.37	540.19	289.02	426.57	420.68	441.64	371.22	361.04	579.04	371.22	346.29	403.5	358.54	444.72	381.68	403.5	273.37	525.39	258.57	483.38	356.05	178.77	480.04	521.76	441.64	379.04	483.38	314.17	460.44	395.18	376.41	476.71	414.87	341.51	400.71	400.71	202.66	514.56	395.18	463.65	403.5	158.79	135.24	309.83	547.75	325.29	409.15	241.19	476.71	599.49	379.04	389.72	153.34	473.41	684.02	536.45	346.29	197.09	353.59	444.72	265.87	476.71	423.61	532.74	521.76	473.41	423.61	518.15	511.0	381.68	293.07	483.38	435.55	353.59	536.45
CTDSPL2	723.08	612.11	567.1	480.04	447.82	567.1	665.29	808.0	490.14	612.11	518.15	629.35	616.37	599.49	463.65	555.41	571.05	137.14	193.01	205.5	193.01	229.72	96.68	299.25	205.5	158.79	309.83	305.55	159.9	201.25	195.72	275.28	281.09	158.79	149.12	267.73	139.07	105.15	167.9	307.69	105.15	221.86	104.42	128.79	170.25	356.05	178.77	228.13	223.41	209.84	144.01	239.52	156.59	248.0	130.6	116.78	199.85	163.28	88.26	218.79	170.25	232.94	220.32	226.54	197.09	88.88	177.53	111.21	191.67	113.56	175.07	303.44	131.51	108.9	126.12	135.24	277.2	351.14	124.37	165.57	255.0	283.05	136.19	303.44	351.14	318.57	285.03	209.84	281.09	180.02	167.9	165.57	90.77	142.01	156.59	176.29	114.36
CUL2	748.61	909.17	854.13	693.58	647.07	579.04	748.61	738.29	660.68	616.37	551.56	669.92	791.35	915.51	802.41	651.58	674.59	314.17	363.56	406.31	403.5	429.54	312.0	457.25	429.54	291.04	532.74	543.96	363.56	400.71	351.14	703.28	679.29	366.09	283.05	409.15	329.84	332.14	244.57	563.18	214.27	387.02	318.57	182.55	387.02	493.56	429.54	438.59	525.39	507.46	497.0	493.56	389.72	450.94	373.81	351.14	454.09	348.71	183.82	423.61	457.25	447.82	480.04	177.53	194.36	201.25	483.38	262.2	373.81	161.02	490.14	507.46	291.04	320.8	163.28	356.05	693.58	463.65	297.17	236.21	518.15	368.65	387.02	457.25	518.15	500.46	476.71	567.1	429.54	417.77	780.44	698.41	679.29	438.59	647.07	406.31	713.11
CUL5	438.59	414.87	420.68	466.88	379.04	466.88	447.82	514.56	463.65	409.15	409.15	460.44	476.71	457.25	381.68	444.72	346.29	104.42	159.9	208.38	185.11	171.45	120.94	228.13	214.27	131.51	228.13	186.4	180.02	166.73	132.44	176.29	136.19	186.4	211.31	320.8	177.53	161.02	157.68	249.73	139.07	289.02	167.9	187.71	209.84	336.79	236.21	220.32	251.48	208.38	211.31	277.2	185.11	281.09	159.9	138.1	205.5	183.82	102.25	253.23	224.97	323.03	224.97	163.28	199.85	194.36	279.14	130.6	242.88	111.99	214.27	277.2	127.89	156.59	115.16	159.9	318.57	412.0	124.37	108.9	291.04	197.09	175.07	260.38	229.72	244.57	244.57	293.07	208.38	185.11	303.44	346.29	157.68	151.22	305.55	161.02	246.28
CWF19L2	366.09	204.07	269.6	409.15	285.03	373.81	299.25	473.41	334.46	429.54	392.44	438.59	397.93	620.67	441.64	543.96	450.94	88.88	117.6	105.89	87.03	152.28	79.45	204.07	119.26	85.22	215.77	116.78	94.67	122.64	111.21	103.69	82.87	115.16	93.35	183.82	139.07	127.89	100.13	172.65	68.07	165.57	103.69	92.7	149.12	249.73	117.6	127.0	193.01	117.6	131.51	183.82	157.68	131.51	146.03	76.71	164.42	115.16	84.63	211.31	130.6	181.28	180.02	115.97	103.69	102.97	183.82	77.79	130.6	86.43	144.01	171.45	94.01	102.97	76.17	156.59	215.77	208.38	100.83	78.89	158.79	128.79	88.88	165.57	139.07	178.77	146.03	140.04	154.42	152.28	162.14	94.67	92.7	124.37	94.01	144.01	119.26
DBR1	356.05	262.2	406.31	339.14	275.28	314.17	251.48	325.29	281.09	323.03	269.6	309.83	305.55	343.89	339.14	343.89	267.73	88.26	221.86	197.09	229.72	232.94	154.42	237.86	320.8	218.79	220.32	318.57	183.82	212.78	256.78	251.48	412.0	217.27	129.69	246.28	195.72	156.59	121.79	239.52	145.02	215.77	148.09	70.51	301.33	291.04	171.45	157.68	277.2	151.22	204.07	221.86	191.67	211.31	208.38	191.67	209.84	177.53	71.0	231.32	217.27	209.84	229.72	20.56	37.59	149.12	234.57	110.43	265.87	73.54	199.85	237.86	155.5	182.55	72.52	176.29	341.51	265.87	172.65	42.71	164.42	171.45	134.3	198.47	201.25	183.82	244.57	236.21	156.59	190.34	193.01	100.83	72.01	205.5	138.1	161.02	95.34
DBT	202.66	194.36	267.73	285.03	171.45	269.6	295.11	332.14	279.14	325.29	249.73	291.04	217.27	241.19	314.17	253.23	309.83	127.89	72.01	75.64	54.72	44.57	36.53	96.01	33.3	50.98	109.66	93.35	78.89	62.56	47.84	53.57	56.68	70.51	84.04	248.0	129.69	134.3	134.3	269.6	93.35	220.32	152.28	57.49	215.77	248.0	181.28	215.77	289.02	93.35	187.71	191.67	183.82	251.48	128.79	127.0	208.38	128.79	61.68	253.23	201.25	283.05	209.84	128.79	70.01	74.06	316.37	100.13	151.22	73.54	231.32	246.28	105.15	133.36	53.57	145.02	241.19	356.05	109.66	112.77	154.42	149.12	73.03	149.12	228.13	239.52	201.25	171.45	159.9	128.79	217.27	190.34	153.34	206.94	159.9	118.43	144.01
DCK	503.95	633.73	738.29	376.41	713.11	363.56	435.55	447.82	381.68	329.84	299.25	406.31	511.0	368.65	368.65	591.22	521.76	285.03	253.23	201.25	195.72	460.44	124.37	234.57	234.57	185.11	312.0	332.14	164.42	221.86	314.17	318.57	283.05	234.57	175.07	336.79	201.25	167.9	162.14	332.14	208.38	366.09	191.67	150.17	269.6	470.14	264.03	202.66	314.17	125.24	237.86	343.89	267.73	351.14	265.87	135.24	265.87	224.97	144.01	303.44	256.78	289.02	309.83	226.54	148.09	104.42	281.09	132.44	262.2	148.09	301.33	301.33	201.25	154.42	119.26	208.38	595.34	373.81	189.02	197.09	348.71	171.45	182.55	351.14	454.09	202.66	309.83	368.65	226.54	201.25	603.67	384.34	214.27	265.87	232.94	285.03	285.03
DCLRE1A	185.11	236.21	221.86	137.14	146.03	186.4	271.48	218.79	144.01	182.55	163.28	163.28	152.28	193.01	189.02	201.25	182.55	131.51	93.35	54.72	34.51	53.95	46.18	85.22	57.89	31.67	84.04	78.89	57.89	53.19	56.68	62.56	81.14	57.08	43.63	88.26	51.71	48.52	60.39	105.89	50.63	76.17	46.5	18.29	99.43	115.97	79.45	52.82	87.65	57.08	91.41	87.03	74.58	72.01	72.01	70.01	102.25	58.71	24.63	98.73	85.82	102.25	96.68	15.68	13.32	46.84	98.04	43.32	52.45	28.86	106.63	124.37	58.3	52.45	49.56	74.58	146.03	104.42	49.21	29.7	65.72	64.8	32.36	65.72	65.72	105.15	92.05	89.51	71.5	75.64	107.38	36.01	34.75	87.65	40.36	49.56	46.84
DHFRL1	195.72	154.42	170.25	182.55	154.42	189.02	143.01	197.09	147.06	202.66	183.82	202.66	195.72	289.02	224.97	171.45	208.38	28.45	52.08	32.13	34.26	45.85	21.32	54.33	28.04	26.47	55.1	60.39	37.59	39.5	46.18	63.89	82.87	32.59	27.44	78.89	36.53	40.64	33.3	69.03	29.7	56.68	39.5	17.9	69.52	89.51	53.19	40.93	76.17	43.32	45.21	59.97	75.11	55.1	40.36	38.4	56.68	31.22	14.89	65.26	64.34	60.39	42.71	8.71	12.09	30.56	75.11	23.93	36.01	16.15	58.3	52.45	40.93	30.78	16.39	32.13	54.33	88.26	32.13	10.63	65.72	48.52	26.28	50.27	23.25	81.14	93.35	49.56	50.27	57.08	53.19	44.89	10.79	68.07	26.47	40.36	26.1
DHTKD1	264.03	361.04	529.06	242.88	339.14	414.87	483.38	271.48	305.55	336.79	368.65	336.79	209.84	260.38	316.37	253.23	239.52	447.82	106.63	154.42	133.36	154.42	100.83	159.9	134.3	119.26	193.01	249.73	115.97	118.43	166.73	105.89	249.73	135.24	169.07	305.55	147.06	217.27	147.06	307.69	127.0	260.38	156.59	134.3	389.72	368.65	186.4	206.94	255.0	159.9	187.71	283.05	159.9	358.54	195.72	187.71	258.57	187.71	206.94	236.21	231.32	329.84	251.48	146.03	115.97	105.15	291.04	172.65	241.19	128.79	273.37	232.94	169.07	161.02	115.16	164.42	500.46	281.09	189.02	182.55	262.2	246.28	132.44	209.84	134.3	231.32	236.21	212.78	220.32	241.19	187.71	159.9	87.03	139.07	191.67	127.89	128.79
DHX40	2417.67	974.5	1417.35	941.27	947.83	1104.13	1427.22	1313.23	954.43	1313.23	1051.79	1088.92	1135.2	1295.13	1199.98	1605.83	1662.49	363.56	336.79	332.14	244.57	142.01	170.25	450.94	253.23	218.79	571.05	392.44	336.79	277.2	244.57	346.29	389.72	256.78	301.33	497.0	371.22	400.71	273.37	514.56	186.4	543.96	329.84	236.21	466.88	514.56	384.34	563.18	563.18	289.02	325.29	486.75	384.34	555.41	249.73	264.03	373.81	271.48	171.45	429.54	435.55	511.0	381.68	361.04	281.09	119.26	387.02	287.01	447.82	186.4	417.77	429.54	248.0	325.29	167.9	363.56	587.13	591.22	303.44	414.87	511.0	420.68	271.48	540.19	441.64	466.88	500.46	395.18	353.59	343.89	575.03	363.56	204.07	366.09	353.59	260.38	361.04
EPC2	559.28	438.59	591.22	708.18	551.56	688.78	579.04	967.76	665.29	688.78	684.02	775.05	785.88	896.64	769.69	679.29	842.36	78.34	275.28	215.77	153.34	208.38	206.94	327.56	215.77	153.34	264.03	318.57	169.07	153.34	224.97	228.13	244.57	217.27	178.77	299.25	180.02	149.12	180.02	234.57	161.02	269.6	156.59	157.68	217.27	289.02	267.73	242.88	246.28	214.27	194.36	264.03	226.54	234.57	190.34	123.5	186.4	186.4	107.38	248.0	186.4	241.19	214.27	144.01	163.28	167.9	231.32	158.79	232.94	152.28	202.66	256.78	165.57	154.42	189.02	198.47	256.78	325.29	132.44	131.51	297.17	242.88	123.5	215.77	183.82	320.8	241.19	265.87	260.38	199.85	242.88	187.71	88.26	262.2	164.42	195.72	177.53
ERCC6L2	547.75	351.14	447.82	579.04	483.38	587.13	679.29	693.58	525.39	500.46	607.87	743.43	532.74	480.04	376.41	703.28	753.83	119.26	197.09	229.72	162.14	146.03	108.14	305.55	234.57	139.07	231.32	212.78	195.72	173.85	124.37	212.78	165.57	246.28	155.5	295.11	220.32	169.07	151.22	336.79	102.97	295.11	244.57	114.36	334.46	384.34	241.19	348.71	277.2	307.69	241.19	381.68	293.07	323.03	241.19	156.59	217.27	215.77	69.52	353.59	218.79	346.29	255.0	139.07	109.66	148.09	305.55	152.28	246.28	109.66	211.31	373.81	231.32	181.28	125.24	217.27	226.54	392.44	164.42	143.01	409.15	234.57	145.02	241.19	158.79	275.28	303.44	265.87	312.0	190.34	239.52	260.38	128.79	283.05	133.36	156.59	135.24
ERCC8	255.0	267.73	147.06	198.47	145.02	223.41	232.94	199.85	189.02	224.97	191.67	172.65	208.38	232.94	163.28	208.38	229.72	90.77	90.14	94.67	76.17	90.14	78.89	82.29	82.87	93.35	109.66	115.97	79.45	61.25	84.63	100.83	122.64	84.04	76.17	98.73	74.06	70.01	78.89	141.02	84.04	108.9	74.06	86.43	120.1	186.4	108.14	71.0	107.38	124.37	120.94	114.36	77.25	154.42	96.01	54.33	105.15	79.45	77.25	117.6	97.36	163.28	101.54	81.71	75.11	84.04	127.89	85.82	114.36	65.72	91.41	146.03	100.83	82.29	53.19	97.36	144.01	147.06	81.71	86.43	122.64	88.26	98.04	90.77	149.12	86.43	118.43	106.63	99.43	114.36	295.11	98.04	68.07	118.43	57.89	94.67	93.35
ERLIN2	934.76	961.07	947.83	974.5	642.59	1023.0	1191.69	909.17	896.64	1277.29	1135.2	1066.48	825.0	2018.8	1104.13	1572.76	2148.82	368.65	248.0	287.01	246.28	232.94	220.32	251.48	155.5	234.57	426.57	281.09	239.52	255.0	309.83	223.41	218.79	246.28	281.09	579.04	237.86	218.79	343.89	563.18	273.37	348.71	237.86	162.14	426.57	718.08	420.68	486.75	466.88	301.33	460.44	551.56	514.56	559.28	368.65	269.6	571.05	327.56	236.21	638.15	379.04	647.07	336.79	231.32	201.25	291.04	444.72	271.48	348.71	189.02	616.37	743.43	339.14	289.02	323.03	441.64	403.5	748.61	260.38	271.48	486.75	473.41	231.32	406.31	438.59	579.04	521.76	441.64	417.77	379.04	327.56	265.87	187.71	450.94	204.07	339.14	105.15
FAF2	753.83	1119.56	813.63	647.07	620.67	748.61	802.41	780.44	579.04	656.11	642.59	660.68	808.0	842.36	669.92	599.49	612.11	460.44	503.95	435.55	551.56	483.38	423.61	532.74	503.95	429.54	460.44	543.96	400.71	438.59	358.54	511.0	583.07	470.14	348.71	500.46	438.59	444.72	412.0	555.41	381.68	563.18	432.53	417.77	470.14	536.45	525.39	555.41	595.34	493.56	514.56	521.76	432.53	540.19	460.44	444.72	571.05	457.25	329.84	543.96	490.14	518.15	503.95	237.86	334.46	414.87	540.19	389.72	500.46	361.04	587.13	583.07	423.61	423.61	406.31	361.04	579.04	633.73	483.38	348.71	571.05	466.88	384.34	470.14	343.89	547.75	500.46	551.56	536.45	463.65	543.96	540.19	371.22	587.13	616.37	688.78	612.11
FAM168A	616.37	518.15	583.07	813.63	703.28	651.58	591.22	679.29	713.11	802.41	638.15	708.18	647.07	713.11	954.43	693.58	896.64	94.01	127.89	205.5	129.69	178.77	98.04	211.31	97.36	209.84	169.07	183.82	133.36	162.14	87.03	187.71	536.45	226.54	159.9	287.01	173.85	193.01	162.14	241.19	145.02	198.47	221.86	120.94	318.57	289.02	157.68	199.85	248.0	178.77	215.77	249.73	241.19	265.87	157.68	228.13	208.38	191.67	153.34	214.27	256.78	178.77	193.01	114.36	175.07	129.69	258.57	189.02	177.53	162.14	231.32	281.09	223.41	176.29	97.36	156.59	271.48	255.0	143.01	156.59	187.71	169.07	116.78	150.17	58.3	231.32	273.37	202.66	185.11	131.51	110.43	77.25	81.14	137.14	92.05	129.69	43.02
FAM175A	237.86	293.07	441.64	329.84	228.13	339.14	343.89	493.56	320.8	358.54	316.37	361.04	373.81	314.17	384.34	395.18	320.8	69.52	68.07	95.34	64.34	47.5	54.72	88.88	56.28	53.57	118.43	67.12	87.65	72.01	69.03	67.59	59.13	132.44	109.66	231.32	67.12	100.13	84.04	109.66	59.55	177.53	53.95	32.82	118.43	169.07	145.02	150.17	180.02	81.71	90.77	154.42	90.77	125.24	81.14	73.03	107.38	75.11	50.63	129.69	56.28	137.14	100.13	74.06	71.0	44.57	124.37	55.1	105.15	41.81	142.01	148.09	79.45	88.26	59.55	81.71	92.05	251.48	62.56	42.41	124.37	126.12	42.41	117.6	244.57	127.0	158.79	113.56	115.97	80.01	262.2	145.02	45.21	115.16	74.06	120.1	77.79
FAM73A	305.55	297.17	248.0	366.09	224.97	376.41	633.73	450.94	358.54	432.53	361.04	460.44	420.68	579.04	563.18	563.18	563.18	78.34	56.28	56.68	56.28	54.33	36.79	90.14	58.3	50.63	96.68	75.11	47.17	53.19	43.63	61.25	75.64	55.89	40.93	145.02	56.28	43.02	45.21	143.01	44.25	92.05	59.97	35.0	108.9	132.44	81.14	93.35	104.42	56.68	55.49	90.14	84.04	134.3	56.28	59.97	77.25	50.27	22.26	98.04	74.58	152.28	86.43	58.71	49.91	34.02	99.43	48.87	86.43	29.48	85.82	94.67	51.71	53.57	33.54	50.63	123.5	172.65	54.72	67.12	102.97	69.52	50.98	80.01	63.45	111.99	86.43	113.56	69.03	60.82	79.45	50.63	36.79	77.25	40.93	51.71	29.91
FBXL3	1313.23	1059.11	921.88	1662.49	921.88	1757.34	1159.07	1605.83	1378.57	1447.15	1167.14	1191.69	1794.29	1199.98	2133.97	1359.57	1388.16	332.14	633.73	583.07	435.55	403.5	329.84	612.11	536.45	400.71	638.15	529.06	579.04	476.71	351.14	595.34	409.15	607.87	591.22	866.07	476.71	591.22	525.39	669.92	366.09	947.83	518.15	236.21	713.11	759.08	802.41	674.59	713.11	583.07	525.39	713.11	599.49	684.02	483.38	400.71	665.29	607.87	187.71	638.15	518.15	656.11	748.61	493.56	395.18	217.27	743.43	525.39	713.11	336.79	684.02	808.0	454.09	497.0	318.57	490.14	713.11	909.17	397.93	291.04	759.08	575.03	426.57	718.08	988.12	669.92	647.07	616.37	612.11	555.41	842.36	563.18	371.22	563.18	500.46	447.82	591.22
FBXO38	981.29	718.08	591.22	587.13	540.19	507.46	967.76	733.19	551.56	595.34	599.49	713.11	656.11	693.58	753.83	669.92	791.35	525.39	348.71	336.79	329.84	267.73	316.37	480.04	392.44	318.57	379.04	358.54	312.0	307.69	265.87	351.14	275.28	426.57	384.34	514.56	379.04	409.15	381.68	426.57	273.37	490.14	361.04	277.2	432.53	483.38	429.54	473.41	503.95	486.75	507.46	497.0	400.71	470.14	381.68	417.77	373.81	403.5	194.36	450.94	435.55	460.44	575.03	242.88	158.79	255.0	483.38	371.22	454.09	231.32	444.72	529.06	309.83	389.72	239.52	441.64	490.14	514.56	363.56	336.79	426.57	301.33	258.57	332.14	236.21	366.09	281.09	406.31	409.15	316.37	237.86	231.32	176.29	417.77	264.03	305.55	251.48
FCF1	1304.15	1487.87	1175.27	1175.27	988.12	1359.57	1030.12	1437.15	1233.75	1313.23	1143.1	1159.07	1359.57	1909.85	1397.83	1437.15	1286.18	497.0	493.56	656.11	612.11	1081.39	587.13	660.68	400.71	656.11	1015.93	656.11	591.22	703.28	825.0	612.11	947.83	616.37	500.46	660.68	563.18	547.75	518.15	928.3	511.0	656.11	507.46	341.51	764.36	813.63	559.28	703.28	854.13	503.95	738.29	713.11	642.59	909.17	587.13	403.5	738.29	532.74	348.71	796.86	647.07	941.27	669.92	460.44	366.09	432.53	934.76	423.61	651.58	348.71	728.11	842.36	444.72	470.14	432.53	638.15	1199.98	1096.5	551.56	460.44	703.28	703.28	567.1	759.08	713.11	902.89	802.41	872.1	728.11	733.19	1143.1	988.12	638.15	796.86	651.58	909.17	825.0
FNDC3A	669.92	808.0	713.11	934.76	698.41	896.64	688.78	1037.29	909.17	854.13	728.11	796.86	974.5	1208.34	866.07	995.0	1119.56	41.22	248.0	212.78	166.73	86.43	105.15	211.31	281.09	133.36	239.52	189.02	129.69	152.28	97.36	275.28	129.69	130.6	111.99	463.65	162.14	199.85	173.85	256.78	181.28	264.03	199.85	166.73	269.6	409.15	249.73	239.52	277.2	291.04	287.01	339.14	229.72	312.0	162.14	166.73	228.13	198.47	105.89	293.07	256.78	332.14	236.21	214.27	180.02	108.9	273.37	142.01	241.19	121.79	258.57	384.34	151.22	142.01	125.24	147.06	406.31	476.71	128.79	251.48	251.48	211.31	130.6	220.32	132.44	336.79	231.32	271.48	271.48	159.9	202.66	95.34	102.97	182.55	112.77	134.3	72.52
FPGT	384.34	540.19	490.14	460.44	316.37	379.04	441.64	373.81	389.72	420.68	309.83	412.0	490.14	420.68	389.72	441.64	353.59	202.66	195.72	156.59	137.14	182.55	144.01	211.31	114.36	142.01	189.02	175.07	202.66	172.65	173.85	171.45	181.28	146.03	149.12	201.25	177.53	126.12	169.07	221.86	169.07	152.28	162.14	64.8	267.73	346.29	231.32	236.21	271.48	214.27	241.19	226.54	204.07	241.19	164.42	129.69	212.78	172.65	53.95	217.27	187.71	285.03	217.27	105.89	38.67	134.3	242.88	109.66	147.06	101.54	265.87	217.27	127.89	146.03	103.69	198.47	236.21	373.81	120.94	130.6	220.32	186.4	123.5	271.48	423.61	285.03	285.03	285.03	265.87	232.94	307.69	206.94	141.02	309.83	209.84	126.12	102.97
FRS2	473.41	660.68	551.56	603.67	341.51	647.07	2417.67	733.19	563.18	603.67	842.36	723.08	583.07	1001.93	607.87	616.37	1030.12	115.16	148.09	175.07	134.3	131.51	99.43	246.28	178.77	113.56	197.09	187.71	135.24	125.24	134.3	133.36	148.09	146.03	131.51	217.27	125.24	89.51	113.56	177.53	136.19	167.9	107.38	108.14	193.01	218.79	191.67	167.9	135.24	140.04	147.06	234.57	148.09	157.68	95.34	94.01	137.14	145.02	65.26	163.28	156.59	183.82	158.79	90.14	127.0	73.54	195.72	90.14	173.85	80.57	148.09	211.31	111.99	115.97	92.05	111.99	220.32	237.86	74.58	112.77	265.87	178.77	111.21	208.38	211.31	265.87	189.02	234.57	205.5	128.79	269.6	232.94	75.11	209.84	78.89	133.36	64.8
FTO	1135.2	1059.11	1111.82	2816.11	1427.22	1388.16	1073.91	2287.2	1757.34	3982.99	2609.3	2090.03	1977.24	2701.35	1870.53	1819.35	3303.0	209.84	223.41	379.04	361.04	218.79	291.04	500.46	161.02	450.94	642.59	447.82	293.07	273.37	301.33	341.51	813.63	346.29	320.8	444.72	314.17	373.81	178.77	420.68	138.1	409.15	297.17	231.32	457.25	616.37	295.11	423.61	438.59	297.17	323.03	483.38	371.22	397.93	256.78	279.14	329.84	267.73	281.09	420.68	361.04	466.88	277.2	381.68	356.05	173.85	371.22	293.07	368.65	142.01	409.15	507.46	242.88	228.13	153.34	258.57	567.1	435.55	275.28	356.05	547.75	323.03	279.14	397.93	170.25	414.87	497.0	371.22	312.0	279.14	536.45	320.8	267.73	371.22	232.94	269.6	159.9
