	TCGA.DK.AA6W.01A.12R.A39I.07	TCGA.LL.A441.01A.11R.A24H.07	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CC.A7IE.01A.21R.A38B.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.BC.4072.01B.11R.A155.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.56.8083.01A.11R.2247.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.85.A510.01A.11R.A26W.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.43.7656.01A.11R.2125.07	TCGA.AF.2687.01A.02R.1736.07	TCGA.N6.A4VG.01A.31R.A28V.07
MCM7	6294.04	3690.52	1844.76	3060.45	3847.29	1417.35	2895.31	1340.84	1870.53	2682.69	1561.89	2976.74	1662.49	1794.29	2855.44	1769.57	941.27	1757.34	366.09	283.05	320.8	842.36	305.55	457.25	450.94	563.18	316.37	738.29	271.48	341.51	271.48	1175.27	500.46	395.18	412.0	497.0	559.28	555.41	351.14	473.41	521.76	603.67	743.43	616.37	466.88	381.68	341.51	848.22	819.3	161.02	571.05	314.17	3372.43	2720.15	9540.5	7642.41	4038.61	7130.55	5112.16	3982.99	4512.4
METTL3	1159.07	1104.13	785.88	1407.55	1104.13	624.99	718.08	713.11	1143.1	1832.01	693.58	571.05	836.53	633.73	629.35	1023.0	860.08	563.18	253.23	275.28	341.51	351.14	346.29	336.79	412.0	379.04	221.86	532.74	327.56	423.61	277.2	400.71	285.03	234.57	287.01	327.56	493.56	287.01	348.71	486.75	395.18	463.65	486.75	351.14	277.2	403.5	358.54	432.53	532.74	142.01	366.09	251.48	1104.13	967.76	1088.92	1191.69	2468.49	1119.56	679.29	1304.15	1119.56
MITD1	1639.59	896.64	1008.9	1135.2	1304.15	764.36	947.83	587.13	728.11	1159.07	791.35	848.22	629.35	878.17	896.64	825.0	616.37	642.59	293.07	334.46	381.68	688.78	356.05	283.05	356.05	547.75	368.65	651.58	295.11	651.58	301.33	392.44	246.28	307.69	466.88	343.89	511.0	249.73	295.11	395.18	379.04	511.0	460.44	314.17	314.17	332.14	295.11	620.67	536.45	162.14	567.1	366.09	1044.52	693.58	785.88	1191.69	1015.93	1111.82	748.61	1183.45	909.17
MPHOSPH6	796.86	748.61	400.71	764.36	738.29	373.81	293.07	236.21	412.0	723.08	409.15	651.58	438.59	808.0	525.39	514.56	339.14	299.25	228.13	186.4	220.32	309.83	127.89	185.11	223.41	275.28	343.89	107.38	146.03	234.57	289.02	146.03	212.78	159.9	131.51	139.07	165.57	72.01	123.5	249.73	88.26	130.6	128.79	529.06	295.11	201.25	156.59	195.72	166.73	133.36	209.84	206.94	748.61	669.92	693.58	620.67	1127.35	1225.22	1096.5	1044.52	718.08
MYCBP	684.02	642.59	551.56	559.28	733.19	371.22	392.44	371.22	629.35	759.08	343.89	366.09	521.76	1008.9	633.73	384.34	403.5	379.04	190.34	262.2	341.51	346.29	195.72	256.78	136.19	332.14	341.51	244.57	234.57	234.57	283.05	147.06	316.37	204.07	312.0	148.09	185.11	223.41	137.14	228.13	153.34	199.85	145.02	435.55	256.78	221.86	183.82	400.71	297.17	239.52	156.59	199.85	995.0	316.37	575.03	518.15	759.08	633.73	381.68	599.49	665.29
NAE1	988.12	1268.46	974.5	1191.69	1175.27	802.41	866.07	476.71	1015.93	825.0	947.83	647.07	1073.91	660.68	813.63	780.44	579.04	743.43	363.56	387.02	591.22	438.59	420.68	400.71	563.18	547.75	480.04	441.64	351.14	384.34	575.03	361.04	387.02	271.48	358.54	518.15	450.94	178.77	348.71	587.13	397.93	473.41	412.0	444.72	397.93	361.04	389.72	579.04	397.93	175.07	595.34	346.29	988.12	1073.91	1216.75	1119.56	1745.2	1628.26	2255.7	1685.71	1651.0
NBEAL2	656.11	1143.1	1008.9	1594.73	1487.87	647.07	417.77	842.36	466.88	660.68	559.28	612.11	438.59	423.61	624.99	1151.06	629.35	414.87	120.94	63.89	199.85	154.42	120.1	96.68	325.29	248.0	109.66	205.5	104.42	251.48	176.29	202.66	53.19	57.08	170.25	148.09	251.48	202.66	139.07	358.54	154.42	348.71	251.48	301.33	153.34	204.07	194.36	151.22	182.55	55.49	262.2	35.5	1651.0	693.58	769.69	688.78	1199.98	1175.27	2018.8	1233.75	1250.98
NDC1	748.61	293.07	177.53	305.55	376.41	215.77	172.65	142.01	132.44	450.94	232.94	223.41	202.66	387.02	392.44	176.29	224.97	137.14	129.69	96.68	69.03	92.7	85.22	89.51	65.72	114.36	122.64	75.11	86.43	55.1	107.38	64.34	107.38	88.26	82.87	80.57	115.97	77.79	79.45	92.7	53.19	93.35	74.06	68.07	99.43	84.63	59.13	117.6	84.04	84.04	80.57	99.43	525.39	651.58	305.55	384.34	295.11	497.0	708.18	325.29	616.37
NECAP2	1378.57	1417.35	1037.29	1216.75	1135.2	693.58	872.1	1051.79	529.06	1081.39	1159.07	1023.0	808.0	1617.0	728.11	1135.2	813.63	780.44	633.73	624.99	629.35	947.83	457.25	567.1	536.45	802.41	713.11	753.83	463.65	603.67	759.08	543.96	460.44	376.41	785.88	595.34	665.29	493.56	679.29	591.22	624.99	759.08	575.03	1015.93	775.05	693.58	480.04	638.15	529.06	373.81	567.1	529.06	1447.15	1216.75	928.3	1030.12	1304.15	1151.06	1583.71	954.43	1277.29
NSMAF	567.1	476.71	223.41	624.99	532.74	214.27	215.77	295.11	281.09	215.77	189.02	226.54	142.01	152.28	189.02	256.78	291.04	239.52	83.45	41.81	65.26	86.43	83.45	120.1	95.34	129.69	104.42	59.97	32.59	88.88	110.43	63.0	31.45	132.44	64.8	52.82	154.42	58.3	79.45	193.01	63.0	58.3	83.45	94.01	51.71	92.05	116.78	165.57	136.19	14.67	103.69	62.12	379.04	463.65	532.74	417.77	532.74	514.56	633.73	587.13	327.56
NUP93	1745.2	1088.92	890.44	1369.04	1295.13	633.73	764.36	389.72	567.1	1073.91	669.92	571.05	693.58	688.78	1167.14	954.43	420.68	503.95	271.48	187.71	389.72	547.75	307.69	320.8	96.68	403.5	293.07	273.37	155.5	211.31	373.81	97.36	181.28	113.56	151.22	187.71	202.66	193.01	255.0	265.87	277.2	406.31	228.13	473.41	220.32	248.0	277.2	228.13	255.0	136.19	223.41	141.02	1340.84	2468.49	1313.23	1277.29	1529.73	2133.97	1963.57	1674.06	2417.67
NXT1	698.41	748.61	587.13	896.64	579.04	435.55	842.36	473.41	500.46	708.18	483.38	275.28	665.29	599.49	703.28	633.73	371.22	361.04	158.79	166.73	255.0	146.03	285.03	153.34	146.03	241.19	157.68	117.6	165.57	172.65	373.81	127.89	159.9	229.72	236.21	142.01	148.09	389.72	158.79	260.38	186.4	190.34	167.9	460.44	189.02	307.69	327.56	163.28	201.25	242.88	194.36	162.14	525.39	842.36	660.68	825.0	909.17	466.88	743.43	1066.48	684.02
OFD1	536.45	693.58	669.92	785.88	753.83	713.11	503.95	457.25	400.71	438.59	376.41	703.28	395.18	497.0	329.84	796.86	426.57	303.44	94.01	237.86	206.94	318.57	305.55	351.14	299.25	283.05	289.02	470.14	187.71	275.28	206.94	293.07	100.83	224.97	122.64	204.07	389.72	172.65	202.66	363.56	218.79	432.53	265.87	191.67	301.33	206.94	220.32	275.28	299.25	75.11	224.97	178.77	638.15	616.37	1127.35	1242.34	1015.93	718.08	708.18	748.61	466.88
PDCL3	1605.83	616.37	579.04	941.27	1127.35	450.94	476.71	334.46	441.64	775.05	612.11	612.11	525.39	791.35	262.2	325.29	348.71	323.03	205.5	221.86	197.09	190.34	146.03	159.9	104.42	217.27	232.94	148.09	150.17	97.36	271.48	88.26	186.4	169.07	204.07	202.66	221.86	253.23	183.82	190.34	195.72	198.47	108.14	228.13	214.27	145.02	241.19	277.2	178.77	166.73	211.31	214.27	934.76	693.58	679.29	1233.75	1250.98	1044.52	1183.45	1151.06	567.1
PIAS3	1519.15	1135.2	444.72	1447.15	1674.06	129.69	226.54	435.55	638.15	713.11	301.33	255.0	150.17	334.46	262.2	603.67	334.46	150.17	96.01	77.79	68.55	126.12	65.72	95.34	129.69	201.25	68.07	158.79	46.84	128.79	114.36	113.56	57.08	94.01	67.12	77.79	125.24	56.28	109.66	115.16	93.35	144.01	102.97	124.37	88.26	95.34	68.07	154.42	117.6	28.24	109.66	82.29	860.08	1208.34	1651.0	1794.29	915.51	743.43	848.22	1051.79	1397.83
PIF1	493.56	187.71	87.03	633.73	713.11	102.25	120.1	29.06	221.86	318.57	88.88	105.89	73.54	59.97	120.1	110.43	121.79	43.94	2.41	4.82	7.82	15.0	8.19	7.17	5.41	23.25	6.16	18.56	2.07	9.78	9.13	7.0	5.92	1.68	7.34	4.46	9.7	0.09	0.66	17.51	7.46	16.27	8.06	30.34	14.89	8.65	1.6	12.0	5.73	2.12	11.38	0.82	497.0	332.14	420.68	457.25	660.68	785.88	551.56	299.25	447.82
PLCG1	1844.76	2895.31	703.28	2018.8	1769.57	454.09	583.07	934.76	1175.27	1277.29	503.95	656.11	769.69	414.87	954.43	1030.12	947.83	1583.71	153.34	57.49	198.47	220.32	183.82	149.12	226.54	447.82	91.41	241.19	195.72	279.14	264.03	279.14	154.42	151.22	164.42	185.11	285.03	173.85	211.31	351.14	155.5	406.31	229.72	299.25	125.24	255.0	291.04	334.46	379.04	93.35	236.21	232.94	1651.0	1388.16	2875.3	1340.84	2720.15	3212.66	2739.08	2417.67	4671.57
PPP1R8	1191.69	647.07	466.88	884.29	748.61	384.34	371.22	563.18	497.0	525.39	563.18	555.41	381.68	713.11	341.51	620.67	463.65	785.88	368.65	299.25	312.0	295.11	231.32	248.0	223.41	397.93	323.03	281.09	301.33	217.27	329.84	264.03	320.8	303.44	260.38	264.03	246.28	351.14	275.28	260.38	327.56	291.04	244.57	392.44	291.04	277.2	303.44	361.04	291.04	218.79	260.38	312.0	884.29	1088.92	866.07	775.05	884.29	1340.84	1104.13	775.05	1191.69
PPT1	2956.17	2018.8	1111.82	2061.24	1991.0	1023.0	890.44	825.0	660.68	1709.26	1233.75	1008.9	591.22	1870.53	1819.35	1529.73	954.43	813.63	473.41	248.0	616.37	341.51	169.07	291.04	166.73	559.28	202.66	353.59	307.69	356.05	429.54	142.01	429.54	153.34	329.84	209.84	258.57	170.25	470.14	299.25	414.87	395.18	224.97	595.34	423.61	353.59	275.28	547.75	361.04	176.29	228.13	204.07	2555.58	1769.57	3060.45	1628.26	1540.37	2287.2	1844.76	2434.5	1991.0
PRR3	503.95	358.54	329.84	878.17	417.77	371.22	490.14	303.44	368.65	934.76	236.21	204.07	343.89	241.19	540.19	297.17	155.5	339.14	64.34	101.54	89.51	155.5	202.66	153.34	231.32	108.14	109.66	209.84	139.07	220.32	74.58	217.27	112.77	105.89	120.94	136.19	163.28	127.0	150.17	127.89	158.79	152.28	220.32	111.21	90.77	143.01	127.0	148.09	161.02	33.06	183.82	148.09	285.03	688.78	497.0	1051.79	412.0	708.18	312.0	480.04	1001.93
RBBP4	5076.84	2319.15	2796.65	2701.35	2004.85	665.29	1388.16	1551.09	1519.15	2255.7	2224.63	1936.53	934.76	2451.44	961.07	1936.53	1467.37	2573.36	733.19	607.87	665.29	684.02	447.82	470.14	808.0	878.17	638.15	638.15	693.58	460.44	954.43	483.38	825.0	703.28	748.61	466.88	703.28	607.87	607.87	764.36	775.05	764.36	555.41	764.36	713.11	567.1	571.05	1111.82	728.11	595.34	842.36	669.92	5147.73	3443.31	3349.13	5711.87	4869.99	4095.0	4328.55	1991.0	3901.01
RBM28	1001.93	808.0	486.75	808.0	656.11	651.58	503.95	392.44	279.14	825.0	599.49	346.29	275.28	483.38	463.65	753.83	346.29	318.57	149.12	172.65	231.32	212.78	149.12	246.28	206.94	221.86	176.29	205.5	146.03	285.03	248.0	334.46	157.68	136.19	145.02	209.84	301.33	172.65	190.34	356.05	142.01	176.29	158.79	277.2	102.25	271.48	327.56	223.41	285.03	112.77	218.79	151.22	595.34	836.53	921.88	647.07	759.08	1388.16	988.12	1540.37	647.07
RBMX	7749.1	3395.89	2895.31	5913.33	3564.78	2240.11	2915.45	1936.53	1605.83	3212.66	2627.46	1950.0	1909.85	2193.99	2193.99	2417.67	2075.59	2319.15	902.89	511.0	1268.46	866.07	759.08	796.86	825.0	1175.27	743.43	1143.1	947.83	921.88	1159.07	830.75	878.17	733.19	708.18	607.87	1605.83	1199.98	941.27	1119.56	1111.82	1417.35	1104.13	1259.69	769.69	896.64	1066.48	1583.71	1127.35	295.11	974.5	1059.11	4671.57	5183.54	3190.46	4903.87	4704.07	6471.02	4937.99	4328.55	5329.3
RCC2	5403.7	1819.35	1268.46	1745.2	1709.26	718.08	656.11	547.75	791.35	1709.26	660.68	543.96	490.14	1037.29	688.78	1407.55	514.56	775.05	105.15	71.5	158.79	476.71	256.78	281.09	547.75	376.41	204.07	221.86	114.36	231.32	127.0	170.25	155.5	423.61	193.01	181.28	141.02	117.6	118.43	239.52	136.19	273.37	314.17	283.05	224.97	258.57	202.66	289.02	228.13	51.35	265.87	115.16	2400.97	3081.75	1757.34	2319.15	2645.74	3639.7	4736.79	1594.73	3168.41
RFWD3	514.56	368.65	275.28	429.54	389.72	84.04	116.78	119.26	189.02	260.38	128.79	191.67	98.04	132.44	171.45	158.79	148.09	116.78	70.51	51.35	60.39	33.78	26.67	59.55	40.36	103.69	42.71	79.45	53.57	47.84	50.98	60.39	38.67	34.26	28.86	35.5	69.03	49.56	50.63	59.55	82.29	77.79	81.14	115.16	25.35	53.57	59.13	82.87	66.65	27.05	69.03	65.26	444.72	567.1	341.51	651.58	389.72	514.56	567.1	414.87	603.67
RNF44	669.92	1551.09	708.18	1378.57	1540.37	503.95	902.89	547.75	525.39	684.02	457.25	486.75	373.81	379.04	660.68	497.0	555.41	708.18	143.01	124.37	191.67	269.6	145.02	285.03	323.03	217.27	164.42	316.37	82.29	262.2	161.02	332.14	144.01	193.01	187.71	215.77	289.02	217.27	137.14	183.82	182.55	343.89	287.01	152.28	289.02	248.0	166.73	295.11	204.07	142.01	236.21	120.94	842.36	503.95	1081.39	1208.34	890.44	1015.93	1233.75	713.11	2004.85
RNPS1	6792.79	4543.8	3212.66	6516.03	4210.15	1909.85	3039.3	2502.97	2573.36	3982.99	1697.45	2163.77	1991.0	2485.67	2303.12	3124.78	1519.15	1936.53	928.3	934.76	1104.13	1159.07	1088.92	1242.34	1104.13	1572.76	1088.92	1388.16	967.76	1167.14	1407.55	1268.46	878.17	775.05	1216.75	769.69	1540.37	1023.0	988.12	1477.58	1111.82	1151.06	1417.35	1498.22	1159.07	974.5	1457.23	1059.11	1143.1	629.35	1191.69	1044.52	3419.52	7130.55	3081.75	4543.8	6887.62	7280.4	3395.89	5112.16	7382.04
RPA2	1508.65	860.08	620.67	1159.07	988.12	432.53	567.1	638.15	638.15	988.12	748.61	995.0	599.49	1208.34	555.41	718.08	587.13	507.46	466.88	514.56	529.06	363.56	318.57	234.57	246.28	339.14	420.68	295.11	503.95	232.94	412.0	232.94	603.67	511.0	295.11	281.09	341.51	309.83	295.11	460.44	366.09	356.05	273.37	397.93	356.05	483.38	283.05	423.61	305.55	231.32	441.64	277.2	1151.06	1208.34	1417.35	1191.69	1175.27	1745.2	1191.69	1023.0	981.29
SART3	1096.5	785.88	414.87	1143.1	808.0	406.31	438.59	460.44	684.02	872.1	476.71	460.44	353.59	525.39	412.0	595.34	616.37	583.07	199.85	185.11	171.45	211.31	169.07	301.33	279.14	234.57	180.02	246.28	167.9	199.85	255.0	291.04	141.02	177.53	180.02	173.85	237.86	146.03	204.07	281.09	236.21	273.37	246.28	265.87	197.09	231.32	293.07	224.97	275.28	82.87	307.69	170.25	1051.79	1259.69	713.11	791.35	1030.12	1059.11	902.89	764.36	1208.34
SFPQ	8778.97	5711.87	5329.3	9474.59	6887.62	3235.01	3901.01	3820.7	5076.84	7642.41	4010.71	4038.61	3395.89	5913.33	5555.65	5403.7	4210.15	4268.94	1111.82	1733.13	4010.71	2555.58	3564.78	3257.52	2816.11	2682.69	2240.11	3372.43	2075.59	3443.31	2875.3	3081.75	1551.09	2255.7	2178.83	1745.2	3303.0	2468.49	2777.33	3280.18	2645.74	3820.7	3146.52	2468.49	2287.2	3419.52	3614.55	3589.58	3639.7	1066.48	3491.39	2645.74	10440.2	7589.61	10225.32	8134.41	9344.14	12415.75	8778.97	6887.62	9740.98
SLC7A6OS	277.2	454.09	208.38	332.14	327.56	104.42	148.09	114.36	162.14	194.36	194.36	242.88	90.77	189.02	148.09	231.32	93.35	138.1	68.07	94.67	77.25	57.49	62.12	67.12	86.43	119.26	80.57	125.24	75.11	65.72	73.54	61.68	41.52	51.71	74.06	59.55	60.82	71.5	93.35	84.04	98.73	103.69	134.3	70.51	58.3	56.28	74.06	106.63	97.36	21.47	88.26	45.85	242.88	307.69	267.73	251.48	275.28	309.83	368.65	339.14	293.07
SMARCAL1	567.1	395.18	395.18	346.29	332.14	279.14	327.56	237.86	277.2	395.18	289.02	239.52	208.38	249.73	255.0	289.02	181.28	214.27	125.24	142.01	154.42	154.42	56.68	138.1	99.43	164.42	120.1	155.5	100.83	116.78	154.42	96.68	120.94	100.13	164.42	173.85	95.34	112.77	147.06	113.56	148.09	124.37	70.51	130.6	172.65	124.37	88.88	169.07	98.73	78.89	158.79	127.89	363.56	441.64	323.03	392.44	291.04	480.04	336.79	426.57	343.89
SNRNP40	2075.59	748.61	607.87	1073.91	1030.12	629.35	579.04	540.19	486.75	1331.57	825.0	543.96	665.29	1096.5	629.35	753.83	518.15	693.58	392.44	154.42	414.87	307.69	237.86	409.15	256.78	323.03	323.03	303.44	343.89	316.37	563.18	303.44	277.2	277.2	287.01	244.57	332.14	202.66	267.73	409.15	400.71	341.51	281.09	514.56	307.69	438.59	432.53	329.84	470.14	139.07	251.48	246.28	1096.5	1397.83	1183.45	1457.23	1175.27	1437.15	1519.15	1051.79	1350.18
SOGA1	220.32	275.28	103.69	518.15	205.5	100.13	38.67	68.07	154.42	69.03	27.44	118.43	53.19	53.19	46.84	171.45	93.35	68.55	10.71	5.82	12.64	10.47	9.34	13.93	8.32	37.85	4.35	41.52	8.13	14.35	15.45	12.93	4.17	4.31	8.25	11.73	45.53	2.76	12.27	16.88	9.93	23.25	9.7	39.22	5.23	11.13	10.16	16.63	28.65	3.66	13.62	9.7	293.07	291.04	295.11	244.57	177.53	493.56	389.72	251.48	426.57
SRI	4869.99	5403.7	2645.74	1551.09	3257.52	1674.06	878.17	1030.12	2209.26	3372.43	2682.69	1417.35	1781.89	2915.45	1508.65	1467.37	967.76	796.86	759.08	463.65	1870.53	595.34	358.54	890.44	334.46	679.29	346.29	480.04	638.15	579.04	974.5	334.46	309.83	241.19	249.73	163.28	769.69	384.34	438.59	642.59	1286.18	616.37	273.37	2047.0	575.03	909.17	432.53	1167.14	312.0	878.17	444.72	518.15	3060.45	3491.39	6699.25	2997.45	3639.7	4358.66	2591.27	2303.12	3794.3
SRSF1	6381.92	3257.52	2255.7	5183.54	5041.77	2018.8	2351.53	1794.29	2502.97	3081.75	1923.14	2758.13	1781.89	2287.2	2303.12	2935.74	2119.22	1721.16	1111.82	1286.18	1233.75	1159.07	1628.26	1167.14	1437.15	1583.71	1350.18	1378.57	1081.39	1242.34	1208.34	1286.18	1111.82	896.64	890.44	961.07	1651.0	878.17	1037.29	1447.15	1286.18	1832.01	1183.45	1407.55	1051.79	1143.1	1397.83	1870.53	1540.37	551.56	1508.65	1216.75	3515.68	4239.45	3928.15	4358.66	4388.98	4210.15	4210.15	4869.99	3257.52
THOC5	860.08	728.11	669.92	1467.37	1407.55	723.08	500.46	395.18	575.03	1350.18	954.43	536.45	591.22	480.04	981.29	599.49	521.76	878.17	229.72	251.48	214.27	283.05	193.01	239.52	246.28	197.09	293.07	384.34	163.28	389.72	229.72	289.02	258.57	138.1	255.0	351.14	146.03	186.4	224.97	351.14	217.27	363.56	327.56	297.17	255.0	348.71	314.17	178.77	373.81	111.99	237.86	204.07	514.56	1628.26	921.88	1030.12	848.22	486.75	1135.2	1304.15	1769.57
TICRR	208.38	56.28	32.59	105.15	536.45	45.53	42.71	5.87	66.65	104.42	47.84	48.52	56.28	31.9	63.0	54.33	44.57	45.53	1.04	0.01	2.56	2.03	0.52	1.64	0.0	3.99	1.0	3.79	0.0	2.46	1.66	1.58	0.69	0.0	0.6	1.0	1.17	1.91	0.16	9.06	0.36	4.58	2.29	16.27	1.62	5.15	4.35	3.72	0.88	0.0	1.97	0.8	180.02	248.0	208.38	269.6	187.71	371.22	242.88	105.89	165.57
TMC6	928.3	2319.15	1286.18	2061.24	1059.11	902.89	536.45	723.08	218.79	559.28	518.15	928.3	339.14	1242.34	348.71	1639.59	583.07	457.25	106.63	53.19	429.54	217.27	204.07	144.01	134.3	444.72	85.82	175.07	150.17	164.42	197.09	171.45	95.34	61.25	231.32	152.28	148.09	96.68	72.01	336.79	241.19	395.18	318.57	339.14	353.59	323.03	229.72	327.56	113.56	85.22	299.25	44.89	1757.34	1242.34	2004.85	1191.69	688.78	629.35	1340.84	866.07	1662.49
TMEM44	283.05	323.03	599.49	186.4	438.59	297.17	141.02	241.19	149.12	291.04	109.66	211.31	193.01	285.03	236.21	295.11	131.51	177.53	90.14	64.34	102.25	121.79	62.12	34.02	43.32	102.97	46.18	301.33	88.26	90.14	60.82	123.5	41.81	33.06	31.45	88.26	99.43	75.11	121.79	54.72	124.37	78.34	96.68	283.05	69.03	71.5	91.41	46.84	123.5	27.64	103.69	44.89	414.87	412.0	540.19	1059.11	878.17	785.88	406.31	260.38	316.37
TP53BP1	551.56	307.69	260.38	723.08	543.96	169.07	153.34	215.77	165.57	255.0	277.2	197.09	98.73	267.73	172.65	318.57	190.34	204.07	76.17	76.71	85.82	81.14	34.51	110.43	136.19	126.12	67.59	114.36	44.57	97.36	95.34	91.41	47.84	34.26	102.97	72.52	108.9	74.06	73.54	99.43	100.83	133.36	85.82	141.02	61.25	113.56	74.58	131.51	120.1	31.45	67.12	53.57	555.41	688.78	356.05	656.11	651.58	802.41	551.56	514.56	616.37
TRIP13	1313.23	339.14	129.69	521.76	567.1	237.86	214.27	44.25	181.28	651.58	255.0	126.12	373.81	109.66	147.06	237.86	47.17	58.3	1.99	3.5	8.32	39.22	1.93	11.3	3.5	7.17	4.98	28.65	0.59	11.55	18.7	3.17	3.32	3.47	4.5	2.32	25.72	2.56	8.45	7.88	3.63	0.16	7.69	32.13	4.86	10.39	5.63	4.86	6.94	1.5	11.64	6.78	497.0	1304.15	1277.29	1111.82	1991.0	543.96	647.07	441.64	808.0
TTF1	376.41	258.57	197.09	860.08	392.44	191.67	191.67	199.85	190.34	733.19	111.21	191.67	159.9	246.28	154.42	181.28	122.64	144.01	82.87	85.82	120.94	164.42	113.56	92.7	89.51	162.14	109.66	194.36	98.73	201.25	97.36	123.5	100.83	122.64	116.78	92.05	154.42	88.26	99.43	141.02	100.83	120.94	226.54	206.94	81.14	94.67	146.03	71.5	153.34	77.25	99.43	100.83	329.84	384.34	244.57	656.11	389.72	447.82	281.09	264.03	438.59
TTLL1	110.43	178.77	209.84	127.0	83.45	63.0	82.87	126.12	87.65	59.97	108.14	68.07	88.88	116.78	197.09	161.02	115.16	86.43	26.67	31.9	47.5	65.72	43.94	25.35	28.86	59.55	32.59	67.12	22.26	37.05	61.68	19.25	55.89	30.78	48.87	39.79	44.57	12.36	47.84	47.17	62.12	41.81	26.67	47.17	39.22	28.45	18.16	40.36	31.9	22.1	33.06	25.35	171.45	214.27	204.07	145.02	185.11	110.43	147.06	122.64	224.97
TULP3	392.44	679.29	373.81	1059.11	529.06	212.78	211.31	224.97	314.17	387.02	244.57	351.14	155.5	214.27	198.47	503.95	204.07	209.84	77.25	96.68	74.06	95.34	39.22	100.83	107.38	136.19	73.03	121.79	47.84	104.42	130.6	103.69	51.71	47.84	75.64	107.38	114.36	82.29	68.55	69.52	119.26	87.03	89.51	138.1	71.0	60.39	59.97	138.1	80.01	52.45	120.1	49.91	603.67	595.34	780.44	514.56	314.17	587.13	595.34	612.11	718.08
UBE2I	3491.39	3349.13	2303.12	2956.17	2485.67	1508.65	2701.35	1519.15	2163.77	2645.74	1437.15	2119.22	1340.84	2351.53	2133.97	2451.44	1044.52	1427.22	647.07	791.35	780.44	688.78	753.83	915.51	579.04	1167.14	473.41	836.53	748.61	723.08	961.07	819.3	555.41	409.15	638.15	497.0	647.07	723.08	738.29	872.1	603.67	872.1	599.49	1277.29	591.22	718.08	753.83	896.64	941.27	376.41	872.1	633.73	2627.46	2895.31	1896.65	2777.33	4066.71	3742.05	2875.3	3349.13	3928.15
UPF3B	525.39	325.29	314.17	656.11	444.72	223.41	241.19	144.01	214.27	426.57	373.81	318.57	159.9	309.83	277.2	414.87	180.02	165.57	52.82	69.03	76.71	117.6	60.39	90.14	96.01	124.37	98.73	102.25	52.82	123.5	89.51	123.5	71.5	75.64	73.54	66.18	100.13	54.33	91.41	88.26	92.05	99.43	66.18	104.42	45.53	85.22	97.36	112.77	137.14	67.12	105.15	95.34	633.73	447.82	244.57	733.19	612.11	743.43	1159.07	567.1	403.5
USP11	1417.35	1111.82	629.35	2758.13	1519.15	769.69	759.08	808.0	486.75	1340.84	688.78	759.08	473.41	460.44	417.77	603.67	791.35	808.0	281.09	164.42	307.69	170.25	217.27	329.84	303.44	409.15	162.14	343.89	212.78	379.04	305.55	309.83	232.94	194.36	295.11	470.14	361.04	242.88	244.57	343.89	283.05	299.25	232.94	457.25	215.77	320.8	500.46	241.19	339.14	199.85	291.04	237.86	1088.92	2997.45	1628.26	2193.99	1096.5	2573.36	1088.92	1407.55	1259.69
