	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.C5.A2LZ.01A.11R.A213.07	GTEX.13OVG.1426.SM.5K7VP	TCGA.CR.7369.01A.11R.2132.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CN.4740.01A.01R.1436.07	GTEX.1313W.0926.SM.5EQ56
KIF4A	15.68	1.66	4.39	32.82	2.61	2.2	1.46	46.84	7.22	11.47	9.34	2.46	49.91	0.38	1.87	0.74	3.72	14.14	6.11	84.04	19.97	75.64	27.64	13.72	30.34	8.06	14.45	1.62	16.15	164.42	178.77	500.46	242.88	231.32	21.94	318.57	112.77	199.85	392.44	228.13	143.01	265.87	291.04	327.56	264.03	5.5
KIFC1	24.28	10.16	14.56	108.9	3.96	8.51	4.66	110.43	18.43	25.54	20.86	10.39	69.52	10.79	12.18	6.73	7.75	28.65	10.79	105.89	45.21	105.89	17.51	6.11	57.08	8.45	29.48	25.35	45.53	595.34	728.11	1685.71	688.78	1001.93	49.21	450.94	281.09	447.82	473.41	842.36	305.55	713.11	351.14	819.3	301.33	46.5
LMNB1	131.51	29.06	47.17	218.79	42.71	44.57	38.4	258.57	73.54	84.63	70.51	84.04	346.29	32.13	82.87	31.9	73.03	132.44	66.18	389.72	185.11	348.71	236.21	143.01	110.43	34.51	503.95	172.65	208.38	1030.12	785.88	3372.43	1583.71	1467.37	271.48	2075.59	351.14	500.46	1857.6	954.43	764.36	1674.06	599.49	1378.57	941.27	291.04
MELK	24.81	1.68	5.63	59.55	16.03	9.27	13.32	83.45	13.72	23.42	17.25	5.41	48.18	4.03	10.55	1.13	21.78	28.86	4.03	111.21	39.5	146.03	55.1	53.57	65.72	20.71	26.67	13.52	49.21	438.59	954.43	808.0	909.17	563.18	57.49	583.07	334.46	486.75	665.29	612.11	307.69	587.13	460.44	860.08	336.79	36.01
MKI67	17.13	3.56	4.66	94.01	3.26	7.57	3.59	126.12	19.25	43.02	17.25	6.41	68.07	6.62	6.21	2.92	18.56	29.7	27.84	204.07	45.53	193.01	34.51	13.22	112.77	20.56	31.9	10.96	65.72	387.02	264.03	902.89	540.19	860.08	44.25	420.68	269.6	483.38	1127.35	954.43	529.06	753.83	536.45	669.92	441.64	30.78
MLF1IP	105.15	48.87	50.63	175.07	45.53	64.8	52.45	70.51	49.56	39.22	92.05	38.4	144.01	46.5	40.36	29.48	115.97	52.45	71.0	414.87	193.01	111.99	122.64	46.18	36.01	61.68	46.5	64.34	153.34	1295.13	457.25	2609.3	921.88	1447.15	114.36	981.29	177.53	656.11	1081.39	684.02	177.53	1030.12	483.38	620.67	536.45	45.21
MND1	16.75	4.06	18.56	62.56	2.66	7.11	4.5	37.85	15.45	16.88	8.78	16.63	24.63	4.43	6.84	9.93	27.25	22.75	17.25	57.08	48.52	63.45	6.78	17.0	39.5	13.52	17.25	37.32	58.71	228.13	141.02	688.78	208.38	277.2	24.28	156.59	147.06	194.36	209.84	231.32	75.11	172.65	126.12	232.94	176.29	11.47
MTFR2	14.03	13.12	8.13	25.72	11.91	8.25	9.06	24.81	7.75	17.0	6.89	6.21	19.39	7.28	2.48	2.48	16.63	5.96	22.43	10.47	9.13	41.52	20.56	20.86	31.9	23.42	6.26	10.39	37.05	127.89	234.57	234.57	172.65	154.42	36.53	185.11	103.69	110.43	190.34	190.34	46.18	93.35	81.71	161.02	64.34	92.05
MYBL2	31.67	6.52	26.67	176.29	5.77	5.32	5.68	117.6	22.59	22.59	17.77	12.18	260.38	8.51	9.56	6.57	20.71	73.54	67.59	353.59	23.08	234.57	45.53	8.45	45.85	21.94	18.16	17.51	194.36	896.64	1081.39	1832.01	1540.37	1183.45	62.56	1096.5	802.41	748.61	1369.04	3928.15	934.76	2468.49	532.74	2335.28	878.17	29.27
NCAPG	22.92	4.35	11.21	55.89	8.65	11.47	8.85	85.22	26.28	25.35	12.45	10.31	66.65	7.57	9.06	3.41	8.0	38.95	21.16	102.25	41.81	115.97	37.05	10.16	53.95	15.0	7.94	29.91	23.59	146.03	242.88	802.41	291.04	202.66	25.91	201.25	194.36	249.73	285.03	426.57	149.12	293.07	137.14	237.86	384.34	19.11
NCAPH	33.78	4.94	17.9	202.66	7.11	18.7	7.0	38.95	19.25	33.3	19.97	15.91	40.07	14.14	11.82	6.36	13.03	25.72	20.86	161.02	26.86	69.03	14.89	15.22	32.82	6.41	13.32	43.32	68.55	371.22	457.25	780.44	363.56	389.72	47.84	412.0	239.52	334.46	802.41	974.5	397.93	473.41	92.7	674.59	423.61	13.03
NDC80	25.91	5.92	8.71	63.89	9.7	5.36	5.02	90.77	15.34	27.84	28.04	11.04	43.63	8.65	4.31	6.26	16.15	21.78	8.92	98.73	31.0	94.01	45.53	16.51	31.67	3.92	27.44	19.39	19.39	486.75	260.38	967.76	819.3	624.99	42.71	323.03	178.77	318.57	497.0	403.5	96.01	397.93	132.44	403.5	181.28	22.43
NEIL3	2.01	0.0	1.17	8.99	0.35	1.08	0.0	8.58	5.59	1.35	1.87	0.39	9.85	0.78	0.73	0.0	0.0	12.0	3.99	24.46	9.56	24.46	1.75	2.63	6.46	2.71	1.68	3.69	12.45	111.99	47.84	149.12	228.13	124.37	0.0	90.77	26.28	57.08	103.69	132.44	54.72	91.41	48.18	135.24	75.11	5.32
NEK2	11.21	3.2	6.16	43.63	1.38	1.0	0.0	58.71	14.89	5.92	6.57	3.14	128.79	0.0	5.06	2.14	10.55	12.36	6.89	67.59	32.36	112.77	14.89	0.0	37.32	10.24	0.0	7.75	239.52	583.07	599.49	1008.9	559.28	591.22	58.3	297.17	128.79	267.73	529.06	642.59	165.57	444.72	117.6	497.0	353.59	3.96
NUSAP1	62.56	11.64	29.91	159.9	16.88	22.75	13.52	309.83	54.33	61.25	36.27	58.71	220.32	15.0	15.0	25.54	32.36	41.52	42.41	490.14	93.35	612.11	68.55	27.84	204.07	21.16	53.57	32.59	78.89	1977.24	733.19	4152.18	1417.35	2739.08	142.01	1551.09	389.72	718.08	1757.34	1066.48	791.35	2240.11	684.02	1639.59	1250.98	132.44
OIP5	16.39	9.41	8.71	36.53	7.46	7.69	1.97	18.29	12.55	14.45	4.74	11.55	42.71	5.41	9.41	6.31	33.06	13.32	9.13	40.07	18.43	32.36	14.35	10.31	16.63	6.57	11.04	19.68	10.47	599.49	154.42	551.56	353.59	559.28	31.9	226.54	115.16	148.09	229.72	127.89	93.35	267.73	187.71	314.17	229.72	29.91
ORC1	6.78	2.53	3.0	25.17	2.03	2.01	1.62	15.8	8.45	8.99	4.03	4.82	20.11	2.16	5.59	2.05	5.92	4.06	3.56	77.25	16.03	18.03	4.21	6.26	4.28	12.45	5.23	12.93	27.25	229.72	156.59	289.02	341.51	248.0	31.0	273.37	50.27	109.66	293.07	161.02	109.66	264.03	74.58	264.03	116.78	9.2
PARPBP	42.71	23.93	20.56	40.07	36.01	17.38	22.92	62.12	32.82	31.9	30.34	31.9	56.28	27.05	23.59	16.27	78.34	16.03	51.35	116.78	96.68	36.01	24.63	38.95	12.64	50.98	13.12	31.0	64.8	146.03	185.11	366.09	132.44	199.85	75.11	136.19	118.43	107.38	185.11	104.42	75.64	115.16	96.68	180.02	121.79	18.7
PBK	12.93	3.89	4.66	40.36	0.31	3.2	6.11	68.07	10.24	11.3	16.15	6.41	68.07	3.08	3.99	5.5	8.58	10.63	10.08	68.07	20.41	31.22	16.88	12.74	66.65	9.56	0.0	0.0	77.79	353.59	136.19	423.61	460.44	323.03	43.02	124.37	144.01	318.57	316.37	244.57	242.88	264.03	195.72	366.09	128.79	5.45
PCNA	1259.69	909.17	764.36	1685.71	825.0	866.07	629.35	1369.04	1044.52	884.29	848.22	961.07	1583.71	718.08	753.83	684.02	1883.54	1191.69	1359.57	2287.2	1359.57	1259.69	1208.34	713.11	836.53	679.29	1066.48	1104.13	1651.0	9344.14	8191.0	11909.94	9025.81	9151.82	1457.23	4736.79	4181.07	2777.33	6294.04	4450.27	1857.6	8963.45	4419.52	4575.41	3589.58	624.99
PKMYT1	49.21	13.03	11.82	181.28	1.62	5.87	6.67	118.43	26.67	38.12	41.22	3.96	190.34	8.45	13.42	56.28	14.89	39.22	13.62	71.0	21.01	87.03	24.28	26.1	82.87	8.85	77.79	61.25	114.36	559.28	1378.57	1909.85	988.12	1044.52	100.13	928.3	738.29	813.63	1015.93	928.3	607.87	842.36	1135.2	2119.22	543.96	62.12
PLK1	33.78	14.67	25.54	162.14	8.78	20.86	15.8	127.89	25.72	40.93	16.88	14.03	135.24	20.41	20.11	13.32	22.26	84.63	44.57	94.67	59.55	497.0	108.9	56.28	180.02	57.49	51.35	23.42	26.1	759.08	1088.92	1721.16	1286.18	1096.5	169.07	1023.0	759.08	738.29	1487.87	1359.57	825.0	1199.98	941.27	1617.0	866.07	40.07
POLE2	49.91	19.82	20.26	59.97	31.0	30.12	11.73	47.5	29.06	19.53	23.25	29.7	46.84	24.11	19.97	19.97	37.32	30.12	34.26	103.69	59.55	25.72	42.41	59.55	5.73	43.02	117.6	60.82	48.87	371.22	400.71	571.05	279.14	486.75	57.49	314.17	223.41	218.79	279.14	191.67	312.0	301.33	218.79	334.46	206.94	14.35
POLQ	2.46	0.0	2.07	9.93	2.32	3.44	1.91	10.71	3.32	3.17	1.17	2.14	16.03	2.48	1.95	1.95	3.03	3.47	3.11	35.76	18.7	12.27	27.64	6.01	5.41	0.54	1.51	1.62	17.38	85.82	96.68	226.54	84.04	229.72	4.78	110.43	43.94	61.25	119.26	99.43	78.89	249.73	25.35	97.36	42.11	3.38
PRC1	127.89	64.34	83.45	256.78	101.54	95.34	74.58	381.68	120.94	141.02	171.45	137.14	299.25	72.52	64.8	69.03	70.01	77.79	65.72	343.89	202.66	166.73	18.43	39.22	204.07	94.01	120.94	101.54	204.07	2777.33	1268.46	3901.01	2193.99	3349.13	305.55	1819.35	954.43	2255.7	2335.28	1991.0	872.1	2502.97	1250.98	3280.18	1617.0	155.5
PTTG1	190.34	78.34	40.36	423.61	36.53	55.89	27.84	435.55	71.5	111.21	86.43	37.32	215.77	39.79	42.11	45.85	84.63	24.81	75.11	429.54	176.29	656.11	175.07	40.93	152.28	8.45	132.44	293.07	159.9	2682.69	2417.67	9409.14	4123.49	3820.7	297.17	1674.06	4869.99	3847.29	3146.52	2485.67	1457.23	2701.35	1745.2	3491.39	2047.0	463.65
RACGAP1	165.57	108.14	155.5	173.85	130.6	111.21	87.65	305.55	151.22	170.25	161.02	127.89	309.83	96.01	149.12	112.77	208.38	529.06	108.9	551.56	438.59	651.58	220.32	123.5	150.17	231.32	134.3	258.57	214.27	713.11	579.04	1745.2	909.17	1081.39	139.07	1175.27	486.75	860.08	1605.83	1030.12	878.17	1167.14	854.13	1304.15	1104.13	99.43
RAD51	72.52	11.73	18.03	113.56	18.03	19.25	17.51	92.05	32.36	43.94	45.21	17.38	50.27	20.86	21.16	7.82	54.72	28.24	37.32	120.1	67.12	129.69	35.76	25.72	57.49	140.04	7.0	27.44	78.89	454.09	483.38	708.18	490.14	301.33	77.25	426.57	205.5	624.99	532.74	454.09	229.72	293.07	267.73	384.34	309.83	50.27
RAD51AP1	46.18	13.62	15.8	83.45	27.05	30.78	13.93	94.67	29.48	63.45	31.0	33.06	78.89	23.59	17.64	16.51	45.53	25.54	17.25	211.31	45.85	151.22	68.07	13.03	33.54	8.51	39.22	88.26	99.43	358.54	435.55	842.36	435.55	470.14	52.08	447.82	208.38	237.86	392.44	129.69	232.94	400.71	61.25	366.09	180.02	33.78
RMI2	66.18	12.18	37.85	121.79	10.63	17.13	18.7	87.65	50.63	17.9	38.12	55.49	267.73	34.26	19.39	23.93	87.65	56.28	23.42	140.04	63.0	102.97	75.64	8.32	56.28	52.08	24.81	102.25	115.16	1277.29	1044.52	2976.74	1111.82	1540.37	127.89	872.1	356.05	447.82	909.17	591.22	470.14	1417.35	638.15	1628.26	423.61	67.59
RNASEH2A	320.8	368.65	142.01	540.19	128.79	155.5	133.36	420.68	195.72	206.94	181.28	193.01	346.29	154.42	170.25	239.52	277.2	228.13	190.34	432.53	444.72	201.25	536.45	166.73	135.24	75.11	155.5	583.07	283.05	1806.78	1639.59	2720.15	2627.46	1674.06	336.79	1437.15	1498.22	698.41	1617.0	1674.06	575.03	1551.09	708.18	1977.24	1268.46	162.14
RRM2	89.51	11.13	15.34	277.2	4.78	11.55	5.41	242.88	57.08	56.68	58.71	11.73	116.78	7.4	19.53	8.85	38.67	87.03	65.72	420.68	50.63	460.44	120.94	23.42	120.94	13.12	73.03	27.64	127.0	981.29	1417.35	3325.99	2287.2	2855.44	141.02	1909.85	633.73	1457.23	2895.31	2720.15	1073.91	1794.29	1651.0	2956.17	2163.77	52.82
SAPCD2	5.28	0.67	5.41	105.89	0.75	0.36	1.13	37.05	10.08	7.82	2.73	10.79	40.64	1.64	5.06	0.0	25.91	18.84	3.63	59.55	35.25	38.67	11.91	2.86	18.84	2.43	6.89	11.3	69.03	249.73	158.79	674.59	115.97	251.48	23.42	532.74	81.71	100.83	629.35	486.75	312.0	269.6	728.11	327.56	234.57	13.22
SGOL1	6.78	2.01	3.2	24.63	4.5	1.85	1.85	18.7	3.66	8.51	2.27	2.48	40.93	1.6	12.36	1.51	11.82	8.85	12.09	47.5	13.42	27.05	6.89	1.31	18.84	5.87	0.0	3.89	13.83	100.83	182.55	293.07	162.14	177.53	15.91	87.65	62.12	116.78	92.7	120.94	36.53	167.9	49.56	88.88	61.68	15.8
SHCBP1	31.45	13.72	5.96	68.07	6.01	10.16	12.09	90.14	11.13	17.25	15.91	7.46	30.56	8.45	4.03	2.84	45.21	12.18	5.68	64.8	10.96	60.82	45.21	10.0	34.75	10.08	3.99	13.62	23.93	201.25	167.9	387.02	358.54	237.86	38.95	226.54	202.66	283.05	316.37	264.03	173.85	191.67	226.54	162.14	249.73	31.45
SKA1	8.85	1.69	2.03	19.25	8.65	3.0	0.38	24.99	4.9	8.58	6.06	2.94	16.75	2.43	1.91	1.53	3.23	2.14	13.42	40.64	14.89	49.56	15.11	0.64	15.22	3.99	2.78	0.0	16.88	126.12	155.5	348.71	353.59	189.02	16.63	187.71	85.82	197.09	126.12	260.38	55.89	229.72	66.65	307.69	85.82	10.0
SKA3	9.85	4.66	4.78	35.5	5.23	2.92	5.92	26.47	10.08	5.77	7.17	3.69	29.06	2.36	2.23	2.61	5.82	13.12	22.59	57.08	31.22	41.22	9.93	2.97	23.76	0.0	12.45	0.0	17.9	122.64	142.01	414.87	220.32	249.73	23.59	182.55	128.79	183.82	186.4	170.25	81.71	127.0	102.97	195.72	101.54	9.48
SPAG5	44.25	45.53	56.28	183.82	58.71	39.5	32.36	132.44	72.01	49.21	60.82	49.21	98.73	63.89	77.25	30.56	80.57	42.71	24.81	146.03	65.72	176.29	241.19	67.59	84.63	15.34	24.99	61.68	80.57	1242.34	728.11	1757.34	693.58	1051.79	139.07	591.22	409.15	703.28	743.43	1030.12	426.57	684.02	339.14	703.28	547.75	101.54
SPC24	19.53	24.46	14.35	90.77	7.94	6.67	15.91	80.01	15.34	17.64	15.45	4.86	42.71	9.7	9.2	15.45	18.29	24.28	33.54	95.34	19.82	97.36	16.88	10.79	46.18	24.28	26.47	9.34	32.13	198.47	150.17	743.43	277.2	226.54	58.71	149.12	191.67	215.77	373.81	397.93	117.6	327.56	165.57	376.41	112.77	43.63
SPC25	24.63	8.51	13.42	49.21	13.72	8.65	0.0	65.26	15.22	13.93	14.24	10.96	47.84	2.41	1.11	7.69	10.08	3.23	16.88	53.95	29.27	62.56	15.91	10.0	27.84	0.0	6.78	18.56	44.25	265.87	251.48	376.41	358.54	339.14	128.79	223.41	110.43	229.72	271.48	256.78	82.87	149.12	117.6	361.04	149.12	19.68
TACC3	167.9	97.36	72.52	450.94	46.84	57.08	102.25	283.05	88.26	163.28	126.12	66.18	173.85	79.45	104.42	94.67	71.0	291.04	136.19	323.03	129.69	435.55	258.57	142.01	264.03	156.59	130.6	166.73	157.68	743.43	796.86	2537.92	1183.45	733.19	173.85	620.67	599.49	1066.48	836.53	769.69	688.78	1143.1	669.92	633.73	954.43	175.07
TK1	101.54	50.98	38.4	466.88	21.78	22.1	38.12	299.25	66.65	70.51	48.87	28.65	248.0	23.42	49.21	18.7	52.08	49.91	73.03	251.48	78.34	493.56	81.14	57.89	149.12	48.52	95.34	73.54	246.28	2895.31	2240.11	3874.05	2303.12	3768.09	325.29	2104.58	1697.45	1709.26	4123.49	2796.65	2319.15	2255.7	2739.08	7230.1	1685.71	148.09
TPX2	49.91	23.59	47.17	120.1	22.26	34.26	33.54	148.09	41.81	40.36	54.72	21.16	165.57	18.56	23.42	13.72	50.63	98.73	39.79	392.44	68.07	332.14	96.01	41.22	212.78	29.27	31.67	26.28	70.01	961.07	974.5	1529.73	1183.45	954.43	85.22	1059.11	791.35	802.41	1519.15	1721.16	915.51	1477.58	981.29	1051.79	1008.9	30.12
TROAP	13.42	1.16	6.52	137.14	4.5	6.41	4.06	116.78	11.3	25.72	13.72	14.14	50.98	17.0	14.14	3.72	6.41	11.38	15.56	146.03	32.59	193.01	26.86	15.8	87.03	7.46	7.69	14.67	31.67	848.22	947.83	1781.89	536.45	947.83	59.55	684.02	915.51	624.99	854.13	947.83	753.83	651.58	346.29	988.12	575.03	27.84
TTK	11.3	5.41	6.89	33.06	8.71	4.13	5.63	45.85	10.55	6.89	6.11	8.78	40.64	2.43	9.48	2.68	11.73	12.83	8.85	63.45	33.78	76.17	35.5	14.45	39.22	5.5	6.62	7.11	14.45	209.84	291.04	555.41	265.87	420.68	23.42	346.29	150.17	237.86	412.0	231.32	96.01	329.84	146.03	327.56	209.84	8.19
TYMS	237.86	117.6	49.91	551.56	48.87	71.5	43.94	444.72	142.01	127.89	190.34	141.02	273.37	81.71	114.36	48.18	83.45	221.86	110.43	902.89	150.17	785.88	96.68	35.0	244.57	67.12	104.42	131.51	277.2	2178.83	1651.0	4152.18	3716.2	1870.53	325.29	1216.75	403.5	753.83	718.08	961.07	343.89	1199.98	457.25	2682.69	579.04	176.29
UBE2C	76.71	11.55	41.22	297.17	15.91	16.75	8.99	295.11	56.28	43.63	41.52	16.27	329.84	2.43	16.39	17.13	7.75	25.91	50.27	444.72	114.36	842.36	151.22	19.11	208.38	26.28	37.59	51.71	146.03	2133.97	2935.74	4123.49	3235.01	3443.31	185.11	1757.34	3124.78	2335.28	3168.41	4298.64	1551.09	2004.85	1583.71	3349.13	2018.8	132.44
UBE2T	99.43	44.25	51.35	172.65	35.5	36.01	41.52	126.12	62.56	53.57	52.45	35.25	285.03	29.7	41.22	25.72	92.05	55.89	87.65	248.0	117.6	221.86	251.48	100.13	175.07	159.9	45.21	82.87	175.07	1561.89	2555.58	2287.2	1540.37	1508.65	110.43	629.35	466.88	642.59	567.1	2319.15	299.25	728.11	289.02	890.44	703.28	78.34
WDR62	3.79	3.03	3.14	23.42	0.91	3.32	4.13	16.03	6.21	12.27	7.46	3.69	12.45	3.56	3.79	4.21	4.13	5.28	0.92	27.64	4.7	13.52	6.84	4.1	31.0	2.41	131.51	10.88	16.27	186.4	105.15	371.22	77.25	108.9	17.77	96.01	48.52	55.1	84.63	128.79	74.06	150.17	89.51	138.1	91.41	12.83
ZWINT	111.99	26.86	29.27	285.03	47.5	40.07	51.71	211.31	76.17	85.82	69.03	63.0	371.22	37.59	36.27	46.84	164.42	53.19	68.07	392.44	149.12	299.25	106.63	81.71	122.64	104.42	72.52	40.93	239.52	1519.15	848.22	3874.05	1909.85	2133.97	231.32	819.3	679.29	1216.75	1674.06	1651.0	775.05	1313.23	490.14	1639.59	1127.35	88.88
