	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3
COPE	981.29	1059.11	1457.23	0.91	9151.82	7130.55	7130.55	6935.54	5555.65	10154.69	7032.37	8963.45	3874.05	3768.09	1832.01	3716.2	2915.45	6121.9	4481.23	3257.52	4802.93	5403.7	6294.04	3928.15	4481.23	2682.69	4607.24	3540.14	3257.52	4388.98	5041.77	3419.52	6745.86	4937.99	4123.49	5831.91	4239.45	5403.7	4972.34	6983.79	5366.37	2956.17	3874.05	5872.48	2573.36	7749.1	4972.34	6516.03	2976.74	6294.04	7230.1	4481.23	4736.79	6426.31	4869.99	6294.04	4358.66	5041.77	9088.59	5112.16	6037.61	2351.53	4066.71	5183.54	5633.22	3742.05	4736.79
COPS6	1487.87	1561.89	1605.83	928.3	3349.13	3665.02	3614.55	3639.7	5831.91	4152.18	3146.52	6792.79	2119.22	2224.63	2609.3	2520.38	2537.92	3212.66	3103.19	1721.16	2720.15	2739.08	3257.52	1963.57	2468.49	2555.58	2271.4	2573.36	2178.83	2468.49	2855.44	1477.58	3639.7	2627.46	2645.74	2835.7	2835.7	2319.15	2915.45	3103.19	2915.45	2047.0	2148.82	3212.66	2485.67	3235.01	2664.15	3280.18	2537.92	3212.66	3325.99	2520.38	2555.58	3190.46	2682.69	3716.2	2090.03	2520.38	3325.99	2485.67	3212.66	2061.24	1781.89	2915.45	2997.45	2004.85	3589.58
CYHR1	612.11	368.65	457.25	559.28	1883.54	2018.8	1923.14	748.61	2163.77	2417.67	1674.06	2004.85	1427.22	1295.13	909.17	1008.9	1081.39	1819.35	1216.75	1175.27	1304.15	1388.16	1477.58	974.5	1487.87	934.76	1066.48	1216.75	1216.75	1674.06	1519.15	967.76	1135.2	1378.57	1277.29	1208.34	1883.54	1397.83	1369.04	1208.34	1447.15	1191.69	1151.06	1191.69	1119.56	1340.84	1259.69	1286.18	995.0	1417.35	1233.75	1340.84	1096.5	1477.58	1242.34	1388.16	974.5	1151.06	1242.34	1286.18	1447.15	1477.58	759.08	1151.06	1844.76	1437.15	1883.54
DCTN1	1857.6	1936.53	1350.18	0.71	3039.3	2682.69	3847.29	3212.66	2573.36	3235.01	3589.58	2777.33	2004.85	2193.99	1417.35	1697.45	1674.06	1896.65	1844.76	1819.35	2133.97	2400.97	2609.3	2875.3	1806.78	1447.15	1832.01	1508.65	1963.57	2047.0	2133.97	1313.23	2287.2	2758.13	2303.12	2224.63	2520.38	2090.03	2956.17	2468.49	2591.27	1909.85	1674.06	2271.4	1242.34	3190.46	1923.14	2701.35	1832.01	2367.9	2255.7	1733.13	1781.89	2061.24	2335.28	2047.0	1950.0	1594.73	2075.59	2240.11	2319.15	2255.7	1359.57	1991.0	2303.12	1447.15	2720.15
DEXI	457.25	395.18	373.81	0.71	1199.98	1331.57	1304.15	1277.29	1721.16	1340.84	934.76	1909.85	808.0	769.69	738.29	674.59	633.73	1143.1	825.0	813.63	909.17	819.3	915.51	624.99	802.41	420.68	738.29	733.19	651.58	842.36	854.13	896.64	1030.12	981.29	819.3	890.44	1044.52	708.18	1066.48	995.0	848.22	669.92	703.28	954.43	599.49	599.49	854.13	1096.5	511.0	1037.29	738.29	902.89	842.36	1001.93	743.43	928.3	813.63	603.67	808.0	698.41	1119.56	988.12	490.14	1119.56	1030.12	884.29	1023.0
DHRS13	142.01	73.03	147.06	0.52	303.44	177.53	273.37	293.07	460.44	348.71	255.0	293.07	124.37	117.6	123.5	144.01	70.01	191.67	173.85	78.34	106.63	141.02	102.97	100.13	155.5	72.52	93.35	148.09	92.7	147.06	198.47	195.72	87.03	145.02	72.01	110.43	237.86	111.21	198.47	133.36	151.22	73.54	79.45	146.03	90.77	106.63	122.64	137.14	121.79	187.71	201.25	105.15	102.25	195.72	110.43	167.9	83.45	177.53	232.94	92.05	109.66	108.9	104.42	105.15	208.38	114.36	157.68
DNAJC1	473.41	540.19	665.29	0.73	1073.91	941.27	988.12	1519.15	1088.92	1066.48	1111.82	941.27	651.58	642.59	703.28	808.0	612.11	718.08	1175.27	463.65	902.89	947.83	902.89	595.34	1135.2	555.41	395.18	753.83	796.86	733.19	808.0	854.13	769.69	1023.0	854.13	728.11	743.43	753.83	764.36	753.83	866.07	872.1	660.68	890.44	759.08	1088.92	728.11	825.0	551.56	813.63	941.27	708.18	872.1	1208.34	890.44	647.07	669.92	796.86	769.69	866.07	1037.29	536.45	397.93	830.75	830.75	842.36	854.13
DNAJC30	173.85	182.55	140.04	0.0	368.65	400.71	400.71	438.59	1096.5	669.92	497.0	1331.57	343.89	279.14	267.73	293.07	318.57	480.04	432.53	237.86	400.71	371.22	463.65	329.84	334.46	312.0	356.05	236.21	309.83	444.72	417.77	251.48	409.15	438.59	420.68	414.87	389.72	371.22	435.55	486.75	366.09	312.0	231.32	438.59	275.28	384.34	444.72	406.31	236.21	497.0	392.44	417.77	420.68	397.93	341.51	441.64	332.14	309.83	414.87	457.25	441.64	301.33	329.84	417.77	334.46	264.03	426.57
DNAJC4	1295.13	947.83	346.29	0.77	3212.66	2796.65	2573.36	2351.53	2178.83	4095.0	2956.17	3349.13	2061.24	1794.29	1529.73	1143.1	1991.0	2777.33	1963.57	1350.18	1697.45	1806.78	2133.97	1977.24	2032.85	1119.56	1806.78	1407.55	1883.54	2075.59	1757.34	1437.15	2417.67	2224.63	1639.59	1950.0	3124.78	2758.13	2287.2	1605.83	2303.12	1447.15	1605.83	1662.49	1561.89	2777.33	1617.0	1540.37	1662.49	2193.99	2287.2	1216.75	1487.87	1639.59	2303.12	2271.4	1277.29	1605.83	2271.4	1909.85	2047.0	2104.58	1477.58	1936.53	2485.67	2061.24	2835.7
DYNC1H1	3190.46	3103.19	2485.67	1.2	5076.84	3794.3	4210.15	4450.27	4704.07	5403.7	4010.71	4066.71	3325.99	3665.02	3639.7	3820.7	3665.02	4769.75	3768.09	2682.69	3847.29	3794.3	4066.71	3742.05	3690.52	2956.17	2796.65	3515.68	3168.41	3847.29	4607.24	3325.99	4358.66	3874.05	3564.78	3515.68	4481.23	3874.05	4268.94	3443.31	3928.15	3103.19	3349.13	3742.05	2895.31	3540.14	3540.14	4038.61	3146.52	3212.66	3955.48	3419.52	3564.78	3614.55	3280.18	3325.99	3690.52	3564.78	3716.2	3742.05	3168.41	3742.05	3018.3	3419.52	4239.45	3349.13	3768.09
ECI1	567.1	341.51	629.35	0.83	8363.13	5219.6	5219.6	8718.32	6652.97	7280.4	5403.7	9025.81	3124.78	3039.3	1697.45	2271.4	1487.87	6471.02	3665.02	1909.85	4512.4	4095.0	3716.2	3515.68	3665.02	1794.29	4268.94	2645.74	2335.28	5006.93	5183.54	2777.33	5441.3	4268.94	3443.31	4639.29	3419.52	4358.66	3665.02	4512.4	5751.61	2119.22	2739.08	5255.91	1832.01	7230.1	3847.29	4736.79	1745.2	6207.38	5672.41	4268.94	3901.01	5995.9	3146.52	6652.97	2609.3	4736.79	6652.97	5751.61	7857.29	1551.09	2287.2	4671.57	6745.86	2609.3	5183.54
EMC8	356.05	339.14	277.2	0.69	547.75	660.68	567.1	620.67	656.11	616.37	595.34	1066.48	379.04	395.18	332.14	325.29	381.68	432.53	384.34	567.1	543.96	473.41	417.77	397.93	426.57	303.44	353.59	287.01	293.07	507.46	438.59	314.17	567.1	409.15	435.55	457.25	334.46	343.89	507.46	563.18	287.01	273.37	384.34	599.49	395.18	518.15	483.38	579.04	400.71	493.56	490.14	532.74	371.22	507.46	460.44	575.03	473.41	379.04	473.41	450.94	473.41	234.57	429.54	480.04	400.71	332.14	400.71
EMC9	167.9	153.34	237.86	0.78	825.0	1551.09	967.76	1313.23	1529.73	1806.78	591.22	1051.79	624.99	540.19	220.32	426.57	346.29	674.59	500.46	860.08	490.14	503.95	547.75	358.54	567.1	470.14	536.45	376.41	587.13	633.73	532.74	703.28	587.13	612.11	444.72	507.46	503.95	656.11	665.29	665.29	255.0	327.56	412.0	638.15	267.73	575.03	346.29	848.22	543.96	753.83	769.69	547.75	438.59	708.18	603.67	1001.93	450.94	525.39	884.29	423.61	368.65	285.03	395.18	698.41	764.36	529.06	647.07
ENDOG	121.79	100.13	105.89	0.16	934.76	728.11	547.75	669.92	511.0	665.29	599.49	1037.29	122.64	242.88	211.31	260.38	94.01	356.05	218.79	177.53	379.04	460.44	241.19	242.88	379.04	93.35	155.5	291.04	237.86	476.71	525.39	118.43	567.1	387.02	363.56	473.41	291.04	197.09	376.41	633.73	164.42	180.02	167.9	775.05	153.34	693.58	351.14	525.39	183.82	723.08	532.74	334.46	432.53	796.86	289.02	764.36	309.83	376.41	703.28	285.03	665.29	96.68	136.19	500.46	312.0	152.28	295.11
EPN1	432.53	414.87	651.58	802.41	2384.37	1697.45	1883.54	2400.97	1883.54	2739.08	1883.54	2240.11	1350.18	1572.76	503.95	1111.82	872.1	1769.57	1477.58	1073.91	1447.15	1477.58	1923.14	1073.91	1572.76	674.59	1594.73	928.3	1135.2	1674.06	1572.76	1199.98	1519.15	1674.06	1216.75	1407.55	2047.0	1662.49	1437.15	1519.15	1617.0	1044.52	1242.34	1628.26	842.36	1508.65	1529.73	1639.59	775.05	1508.65	1322.37	1397.83	1369.04	1909.85	1242.34	1498.22	1159.07	1151.06	1870.53	1378.57	1685.71	1286.18	1295.13	1519.15	1628.26	1081.39	1832.01
ERI3	921.88	954.43	860.08	0.72	1674.06	1286.18	1781.89	1191.69	1350.18	1628.26	1397.83	1662.49	1208.34	1143.1	1088.92	1331.57	1167.14	1617.0	1295.13	813.63	1277.29	1268.46	1457.23	1044.52	1233.75	1359.57	928.3	1519.15	1081.39	1304.15	1242.34	620.67	1508.65	1477.58	1127.35	1427.22	1447.15	1286.18	1277.29	1628.26	1583.71	884.29	1159.07	1540.37	1225.22	1304.15	1322.37	1477.58	1059.11	1662.49	1286.18	1340.84	1242.34	1561.89	1350.18	1844.76	1199.98	1295.13	1745.2	1159.07	1572.76	884.29	1233.75	1417.35	1477.58	1051.79	1350.18
FAM173A	78.89	55.1	228.13	0.55	1175.27	1639.59	1175.27	1923.14	1427.22	1437.15	1437.15	2018.8	376.41	480.04	47.5	248.0	295.11	909.17	432.53	293.07	616.37	759.08	656.11	575.03	575.03	149.12	395.18	432.53	307.69	684.02	511.0	224.97	629.35	780.44	638.15	624.99	575.03	423.61	497.0	738.29	409.15	412.0	336.79	830.75	193.01	1059.11	514.56	679.29	389.72	1216.75	848.22	525.39	406.31	890.44	595.34	1088.92	332.14	457.25	1242.34	480.04	909.17	248.0	327.56	599.49	575.03	363.56	743.43
FAM58A	283.05	351.14	191.67	0.49	934.76	693.58	753.83	656.11	579.04	915.51	679.29	1111.82	348.71	420.68	361.04	409.15	334.46	616.37	540.19	255.0	518.15	559.28	525.39	432.53	575.03	265.87	358.54	444.72	389.72	536.45	547.75	281.09	629.35	612.11	497.0	555.41	500.46	420.68	500.46	674.59	466.88	343.89	339.14	624.99	273.37	616.37	591.22	587.13	273.37	819.3	669.92	497.0	463.65	698.41	412.0	703.28	525.39	518.15	785.88	642.59	647.07	291.04	339.14	500.46	607.87	397.93	529.06
FAM96B	1233.75	1369.04	1350.18	0.99	4802.93	7180.15	5594.3	3742.05	6164.49	6381.92	4903.87	9740.98	2720.15	2485.67	2351.53	2047.0	2367.9	5555.65	3928.15	3982.99	3349.13	2682.69	5041.77	3124.78	4639.29	1745.2	3419.52	2720.15	2319.15	3395.89	2915.45	3372.43	4358.66	2855.44	2976.74	3303.0	3690.52	4639.29	3614.55	4450.27	4450.27	1936.53	2758.13	3564.78	2609.3	5041.77	2758.13	3874.05	3081.75	3515.68	3303.0	4181.07	2682.69	3820.7	4152.18	4736.79	2682.69	2303.12	3491.39	3146.52	4239.45	2682.69	2400.97	3124.78	4328.55	4239.45	3716.2
FASTK	547.75	426.57	392.44	0.74	2119.22	2193.99	1950.0	1794.29	3349.13	2997.45	1745.2	4152.18	1605.83	1397.83	802.41	1277.29	1175.27	1674.06	1096.5	780.44	1378.57	1583.71	1519.15	1733.13	1233.75	1066.48	1044.52	1159.07	1143.1	1844.76	1639.59	603.67	1883.54	1437.15	1183.45	1417.35	1685.71	1498.22	1617.0	2004.85	1605.83	1437.15	1457.23	1378.57	941.27	2537.92	1369.04	1498.22	1407.55	1936.53	1936.53	1457.23	1104.13	1359.57	1417.35	2502.97	947.83	1685.71	1639.59	1331.57	1519.15	1359.57	1143.1	1397.83	1594.73	1059.11	2075.59
FIS1	1199.98	1359.57	2367.9	0.96	9740.98	9025.81	10659.59	7433.4	14867.79	7695.57	7966.99	20881.4	5403.7	4972.34	3928.15	4671.57	4903.87	8901.53	6935.54	4903.87	6983.79	6294.04	8078.22	4328.55	7695.57	4869.99	7433.4	6207.38	4836.35	7230.1	6792.79	4575.41	7537.18	6652.97	6207.38	6207.38	7803.01	8598.28	6037.61	8247.98	7695.57	4607.24	4704.07	7749.1	4769.75	6983.79	6935.54	7589.61	3874.05	7857.29	6207.38	7537.18	6561.36	8134.41	5791.62	7911.95	5403.7	5711.87	9151.82	6652.97	8840.04	4903.87	4869.99	6207.38	8963.45	7130.55	7280.4
GADD45GIP1	183.82	180.02	878.17	0.74	3982.99	4736.79	3614.55	4639.29	3212.66	4181.07	3742.05	4388.98	1359.57	1467.37	808.0	1044.52	1250.98	3081.75	1733.13	1304.15	1313.23	2090.03	2032.85	1417.35	2119.22	909.17	1467.37	1388.16	1572.76	2451.44	1909.85	1369.04	2417.67	2255.7	1963.57	2209.26	2061.24	2555.58	2075.59	3146.52	2047.0	1359.57	1417.35	3146.52	896.64	3540.14	1857.6	3018.3	1119.56	3212.66	2417.67	1883.54	1651.0	3515.68	1923.14	3124.78	1304.15	1697.45	3665.02	1757.34	3303.0	1037.29	1088.92	1963.57	2287.2	1628.26	2451.44
GNB2	2004.85	2485.67	3540.14	1.28	6983.79	7803.01	8363.13	7382.04	10585.95	8078.22	5403.7	11909.94	4181.07	4450.27	2682.69	4095.0	3349.13	5147.73	4903.87	5041.77	5995.9	5112.16	5441.3	4358.66	4388.98	2895.31	4512.4	3235.01	3639.7	4937.99	4639.29	4802.93	5872.48	5112.16	4639.29	5147.73	4010.71	5112.16	5403.7	5403.7	5219.6	3419.52	4937.99	5633.22	3419.52	5711.87	4869.99	6426.31	3443.31	5555.65	5183.54	4736.79	5329.3	6935.54	4736.79	5831.91	5594.3	4152.18	5555.65	4769.75	6426.31	3820.7	4639.29	4836.35	5913.33	4450.27	4512.4
GSDMD	466.88	384.34	902.89	146.03	2400.97	2573.36	2573.36	1015.93	2119.22	2351.53	1857.6	2255.7	1529.73	1540.37	1051.79	1250.98	1447.15	1733.13	1378.57	1015.93	1208.34	1639.59	1617.0	1322.37	1378.57	813.63	1191.69	1119.56	1268.46	1923.14	1551.09	1167.14	1662.49	1909.85	1268.46	1477.58	1950.0	1844.76	2335.28	1857.6	2090.03	1437.15	1519.15	1304.15	1051.79	1977.24	1167.14	2090.03	1175.27	1909.85	1561.89	1268.46	1081.39	2032.85	1639.59	2004.85	1233.75	1350.18	2018.8	1059.11	1697.45	2193.99	1073.91	1467.37	2032.85	1286.18	1909.85
HAGH	204.07	221.86	543.96	381.68	1819.35	2148.82	1769.57	1685.71	3060.45	2255.7	1991.0	4607.24	1030.12	961.07	514.56	915.51	769.69	1378.57	813.63	921.88	1457.23	1662.49	1295.13	1467.37	1594.73	599.49	1437.15	836.53	974.5	1909.85	2148.82	884.29	1427.22	1208.34	1651.0	1457.23	1268.46	1498.22	1378.57	1572.76	934.76	1242.34	988.12	1594.73	819.3	1583.71	1662.49	1605.83	796.86	1437.15	1417.35	1519.15	1498.22	1781.89	1331.57	1397.83	1030.12	1104.13	1529.73	1651.0	1721.16	878.17	775.05	1233.75	1397.83	1233.75	1225.22
HRAS	287.01	226.54	486.75	1.13	2384.37	2018.8	2163.77	974.5	1304.15	1936.53	1769.57	1397.83	759.08	775.05	500.46	463.65	748.61	1088.92	769.69	1313.23	1104.13	1127.35	743.43	967.76	718.08	438.59	674.59	473.41	884.29	928.3	688.78	571.05	1088.92	988.12	974.5	753.83	1088.92	1104.13	878.17	1143.1	1008.9	463.65	1008.9	842.36	579.04	2224.63	723.08	1167.14	1135.2	1225.22	896.64	1208.34	718.08	1259.69	941.27	1127.35	860.08	921.88	1216.75	878.17	1242.34	567.1	595.34	954.43	1096.5	1044.52	1051.79
HSPBP1	217.27	205.5	387.02	1378.57	1369.04	1427.22	1277.29	1437.15	860.08	1388.16	1081.39	1378.57	633.73	665.29	275.28	536.45	483.38	1159.07	819.3	476.71	796.86	830.75	1183.45	674.59	842.36	429.54	529.06	591.22	486.75	1001.93	759.08	511.0	1001.93	954.43	718.08	934.76	1015.93	909.17	813.63	1111.82	961.07	514.56	595.34	1015.93	571.05	1044.52	769.69	1096.5	525.39	848.22	813.63	698.41	738.29	1143.1	723.08	1037.29	665.29	599.49	1073.91	718.08	1059.11	521.76	571.05	738.29	854.13	521.76	902.89
ICT1	551.56	551.56	473.41	0.0	753.83	836.53	842.36	872.1	1044.52	748.61	733.19	974.5	454.09	525.39	559.28	571.05	441.64	665.29	587.13	205.5	708.18	638.15	575.03	500.46	575.03	616.37	346.29	743.43	529.06	603.67	463.65	275.28	728.11	733.19	848.22	769.69	563.18	486.75	693.58	785.88	728.11	579.04	514.56	819.3	679.29	748.61	603.67	571.05	381.68	866.07	775.05	647.07	571.05	819.3	500.46	825.0	483.38	493.56	842.36	679.29	723.08	379.04	426.57	780.44	579.04	490.14	620.67
IMP3	743.43	669.92	529.06	0.0	521.76	1175.27	1143.1	1378.57	988.12	884.29	1277.29	1225.22	866.07	819.3	713.11	669.92	780.44	954.43	988.12	753.83	1199.98	1088.92	902.89	718.08	802.41	688.78	559.28	878.17	684.02	1088.92	1044.52	638.15	1015.93	947.83	974.5	1175.27	878.17	728.11	1143.1	1477.58	723.08	688.78	684.02	1388.16	674.59	1037.29	1088.92	1167.14	486.75	1167.14	1104.13	1135.2	928.3	1467.37	708.18	1322.37	808.0	848.22	1111.82	1127.35	1467.37	591.22	543.96	1268.46	708.18	607.87	1037.29
IRF2BP1	164.42	135.24	191.67	0.21	503.95	599.49	529.06	684.02	473.41	669.92	563.18	633.73	358.54	366.09	177.53	420.68	307.69	497.0	571.05	309.83	450.94	406.31	438.59	279.14	373.81	271.48	403.5	423.61	343.89	638.15	460.44	363.56	403.5	612.11	432.53	490.14	591.22	325.29	629.35	540.19	444.72	297.17	264.03	551.56	392.44	392.44	463.65	587.13	299.25	567.1	368.65	540.19	432.53	693.58	460.44	529.06	397.93	406.31	473.41	414.87	759.08	277.2	400.71	476.71	400.71	379.04	563.18
ISCA2	587.13	616.37	733.19	0.4	1457.23	1991.0	1662.49	2018.8	1709.26	1857.6	1457.23	1397.83	866.07	915.51	1277.29	928.3	1175.27	1498.22	1359.57	1001.93	1250.98	967.76	1340.84	866.07	1378.57	1313.23	860.08	1242.34	1001.93	1001.93	1030.12	842.36	1295.13	1059.11	1044.52	1498.22	915.51	1225.22	1167.14	1233.75	1199.98	1081.39	802.41	1104.13	1259.69	1143.1	1023.0	1233.75	723.08	1819.35	1143.1	1119.56	1023.0	1350.18	974.5	1721.16	947.83	1322.37	1561.89	1322.37	1437.15	974.5	830.75	1151.06	1437.15	1242.34	1059.11
ISOC2	384.34	371.22	665.29	0.34	3124.78	2209.26	2645.74	2537.92	1685.71	3395.89	2148.82	2193.99	961.07	1044.52	406.31	1037.29	1088.92	2104.58	1277.29	708.18	1183.45	2335.28	1617.0	1350.18	1437.15	587.13	1059.11	1457.23	536.45	1286.18	1397.83	802.41	3325.99	995.0	1662.49	2335.28	1015.93	1104.13	1819.35	2451.44	1832.01	759.08	1277.29	2178.83	961.07	2287.2	1151.06	2609.3	669.92	2645.74	2816.11	1167.14	1143.1	2701.35	1286.18	3742.05	1369.04	2351.53	3742.05	1427.22	2997.45	607.87	796.86	2032.85	1662.49	1191.69	1183.45
JTB	2271.4	2591.27	1487.87	1.17	4388.98	4671.57	5366.37	5329.3	3794.3	4869.99	4358.66	5872.48	2935.74	3235.01	3190.46	2835.7	2816.11	5147.73	4152.18	3325.99	3690.52	3589.58	4239.45	3146.52	4388.98	2609.3	3794.3	3257.52	2956.17	3794.3	3665.02	4704.07	3768.09	3443.31	3103.19	3874.05	4607.24	4298.64	3955.48	5183.54	3690.52	2816.11	3168.41	4152.18	3190.46	3540.14	3515.68	4239.45	2701.35	5006.93	4298.64	3742.05	3303.0	4972.34	3589.58	6037.61	3212.66	3467.27	5366.37	3303.0	5995.9	3349.13	2796.65	3716.2	4575.41	3982.99	4123.49
LAGE3	246.28	212.78	218.79	0.28	493.56	896.64	842.36	361.04	521.76	457.25	567.1	444.72	242.88	253.23	180.02	208.38	260.38	547.75	358.54	178.77	228.13	231.32	444.72	204.07	395.18	152.28	205.5	269.6	145.02	361.04	420.68	143.01	325.29	417.77	309.83	346.29	486.75	363.56	381.68	476.71	291.04	137.14	220.32	518.15	205.5	318.57	299.25	409.15	183.82	470.14	432.53	348.71	409.15	575.03	336.79	551.56	197.09	234.57	389.72	149.12	503.95	224.97	181.28	262.2	336.79	175.07	435.55
LAMTOR2	555.41	616.37	1304.15	0.53	3257.52	3081.75	2835.7	2720.15	2451.44	2720.15	2240.11	3325.99	1378.57	1340.84	967.76	961.07	1191.69	2209.26	1769.57	830.75	1427.22	1350.18	1709.26	1685.71	1709.26	947.83	896.64	2032.85	1119.56	1806.78	1487.87	703.28	1896.65	1991.0	1721.16	1685.71	1697.45	1806.78	1806.78	1936.53	1757.34	1340.84	1277.29	1896.65	1199.98	2335.28	1417.35	2018.8	1015.93	2193.99	2018.8	1857.6	1331.57	2555.58	1529.73	2178.83	1167.14	1350.18	2434.5	1605.83	2875.3	1088.92	728.11	1617.0	2047.0	1529.73	1781.89
LAMTOR4	1008.9	1081.39	1832.01	1.08	6516.03	6037.61	7331.05	5872.48	8718.32	6607.01	5076.84	12589.08	3690.52	3443.31	2701.35	1991.0	3928.15	6935.54	5112.16	2682.69	4328.55	4010.71	5219.6	3103.19	5872.48	2682.69	2502.97	3639.7	2935.74	3982.99	3820.7	2061.24	4836.35	4450.27	3665.02	4802.93	6037.61	6840.04	3955.48	5594.3	5995.9	2739.08	3081.75	5006.93	2720.15	5441.3	3742.05	5041.77	2645.74	5555.65	4543.8	4769.75	3103.19	5831.91	3955.48	5517.27	3039.3	2758.13	6983.79	4607.24	6037.61	3928.15	3103.19	4152.18	6426.31	3982.99	5555.65
LRWD1	112.77	85.82	190.34	0.17	514.56	521.76	414.87	334.46	738.29	500.46	414.87	703.28	229.72	255.0	152.28	170.25	255.0	303.44	228.13	248.0	285.03	323.03	264.03	189.02	303.44	194.36	149.12	256.78	205.5	277.2	267.73	142.01	281.09	256.78	223.41	275.28	327.56	234.57	279.14	327.56	217.27	187.71	241.19	293.07	181.28	343.89	269.6	358.54	180.02	265.87	299.25	267.73	297.17	283.05	409.15	318.57	258.57	223.41	249.73	258.57	414.87	198.47	189.02	265.87	253.23	312.0	312.0
LSM10	450.94	555.41	540.19	0.54	1857.6	1407.55	1977.24	1844.76	1119.56	1427.22	1794.29	1250.98	743.43	723.08	525.39	733.19	620.67	1651.0	1159.07	638.15	1135.2	974.5	1066.48	872.1	1331.57	543.96	688.78	915.51	612.11	1151.06	954.43	830.75	1216.75	961.07	988.12	1081.39	1104.13	934.76	1143.1	1437.15	941.27	723.08	642.59	1350.18	656.11	1277.29	1059.11	1467.37	532.74	1259.69	1277.29	1119.56	819.3	1208.34	743.43	1350.18	860.08	961.07	1540.37	1001.93	1268.46	738.29	525.39	1127.35	1369.04	947.83	1073.91
LSM4	995.0	1059.11	1350.18	0.85	4481.23	4152.18	3768.09	4450.27	3639.7	4869.99	3901.01	7081.29	1819.35	1806.78	1487.87	1950.0	1639.59	3395.89	2645.74	1277.29	2287.2	2335.28	2875.3	2148.82	2720.15	1388.16	1721.16	1769.57	1378.57	2271.4	1950.0	1268.46	3039.3	2682.69	1963.57	2468.49	2075.59	2417.67	2335.28	2875.3	2417.67	1794.29	1745.2	2777.33	1651.0	3146.52	2271.4	2956.17	1322.37	3303.0	2915.45	2240.11	1923.14	3349.13	2255.7	3564.78	1806.78	2555.58	3325.99	2520.38	3103.19	1378.57	1477.58	2502.97	2956.17	1617.0	2451.44
