	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.YEC4.0826.SM.5P9FV	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.YEC3.0826.SM.4WWFP	GTEX.V955.0426.SM.3GAEL	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
ZBTB1	113.56	194.36	195.72	224.97	162.14	118.43	71.0	0.0	0.27	420.68	543.96	638.15	551.56	460.44	497.0	426.57	679.29	392.44	346.29	775.05	684.02	423.61	368.65	483.38	1001.93	438.59	476.71
ZKSCAN5	49.56	48.52	34.26	53.57	48.52	37.32	19.82	0.0	0.14	127.0	141.02	133.36	125.24	110.43	138.1	105.15	197.09	131.51	122.64	185.11	166.73	136.19	111.99	102.97	140.04	130.6	115.16
ZNF136	18.56	43.32	33.3	72.01	30.56	28.65	49.91	0.0	0.32	181.28	215.77	253.23	194.36	181.28	217.27	202.66	193.01	167.9	139.07	297.17	195.72	159.9	120.94	217.27	221.86	173.85	128.79
ZNF234	15.68	16.63	9.85	31.45	21.94	19.97	11.64	0.0	0.29	100.13	141.02	122.64	78.34	89.51	90.77	156.59	84.63	92.7	83.45	152.28	118.43	53.95	77.25	120.1	199.85	108.9	87.03
ZNF397	80.57	87.03	74.58	132.44	96.01	68.07	36.79	0.0	0.52	307.69	363.56	429.54	253.23	316.37	384.34	256.78	414.87	314.17	269.6	457.25	493.56	175.07	201.25	420.68	511.0	339.14	241.19
ZNF471	8.25	15.91	7.94	24.46	9.27	2.27	3.26	0.0	0.49	105.89	141.02	205.5	124.37	107.38	191.67	169.07	144.01	158.79	111.21	202.66	217.27	74.06	61.25	125.24	493.56	140.04	111.21
ZNF528	26.67	65.72	27.25	75.64	35.5	10.08	8.99	0.0	0.77	371.22	507.46	587.13	395.18	336.79	438.59	476.71	403.5	397.93	244.57	708.18	665.29	234.57	211.31	500.46	775.05	447.82	339.14
ZNF544	312.0	242.88	71.0	189.02	146.03	214.27	37.05	0.0	0.42	633.73	409.15	624.99	423.61	423.61	583.07	447.82	587.13	420.68	379.04	665.29	507.46	361.04	435.55	432.53	669.92	575.03	441.64
ZNF561	103.69	223.41	121.79	241.19	110.43	161.02	102.25	0.0	0.0	316.37	353.59	325.29	447.82	334.46	356.05	540.19	698.41	532.74	281.09	738.29	493.56	392.44	353.59	466.88	941.27	334.46	441.64
ZNF565	25.35	39.79	52.08	35.25	31.9	23.42	32.59	0.0	0.33	57.08	90.14	57.89	81.71	62.56	100.83	81.71	76.17	61.25	103.69	147.06	88.26	49.21	70.01	66.18	80.57	66.18	45.85
ZNF594	6.73	5.54	2.97	19.53	11.04	2.92	3.29	0.0	0.12	118.43	140.04	180.02	129.69	52.45	132.44	85.82	125.24	132.44	78.34	154.42	202.66	101.54	65.72	124.37	320.8	129.69	104.42
ZNF737	2.34	7.0	7.22	28.45	6.67	0.85	0.0	0.0	0.36	341.51	503.95	693.58	941.27	327.56	525.39	368.65	909.17	457.25	403.5	830.75	748.61	363.56	242.88	638.15	1143.1	299.25	426.57
ZNF776	38.67	107.38	38.4	71.5	40.93	39.5	33.3	0.0	0.16	191.67	198.47	267.73	318.57	130.6	249.73	253.23	237.86	220.32	129.69	323.03	285.03	223.41	137.14	204.07	503.95	171.45	228.13
