	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.EP.A26S.01A.11R.A16W.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.ZTPG.1426.SM.51MT3	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.RU72.1426.SM.46MUF	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.11WQK.2926.SM.5EQKT	GTEX.11NUK.2426.SM.5BC4U
NFYC	854.13	665.29	780.44	1183.45	1250.98	1111.82	656.11	733.19	769.69	420.68	587.13	616.37	825.0	500.46	674.59	563.18	575.03	624.99	660.68	723.08	884.29	902.89	819.3	884.29	1001.93	638.15	872.1	476.71	688.78	1277.29	909.17	934.76	819.3	1313.23	902.89	301.33	698.41	947.83	723.08	1081.39	1277.29	669.92	915.51	836.53	624.99	1030.12	642.59	497.0	1183.45	1151.06	1167.14	764.36	890.44	819.3	854.13	836.53	902.89	1023.0	336.79	974.5	476.71	1088.92	802.41	543.96	555.41	0.0	0.4	400.71	366.09	571.05
NICN1	148.09	64.34	53.19	43.63	221.86	258.57	90.14	126.12	126.12	130.6	111.99	119.26	173.85	143.01	139.07	164.42	156.59	96.01	115.16	199.85	223.41	211.31	165.57	187.71	297.17	116.78	223.41	111.99	193.01	339.14	215.77	186.4	159.9	241.19	191.67	44.89	224.97	205.5	172.65	229.72	295.11	145.02	177.53	277.2	214.27	249.73	120.1	77.25	249.73	251.48	356.05	130.6	208.38	204.07	204.07	145.02	299.25	234.57	61.25	258.57	97.36	193.01	209.84	60.39	155.5	0.0	0.52	29.91	43.94	116.78
NIT1	1832.01	1023.0	1008.9	872.1	2555.58	2664.15	1487.87	1388.16	1605.83	1216.75	1572.76	1388.16	1733.13	1397.83	1923.14	1277.29	1457.23	1111.82	1519.15	2061.24	1709.26	1857.6	1225.22	1896.65	2148.82	1051.79	1529.73	1529.73	1519.15	3146.52	2400.97	2061.24	1628.26	2502.97	1721.16	460.44	2303.12	1397.83	1883.54	2739.08	2520.38	1340.84	2193.99	2591.27	1794.29	2090.03	813.63	1259.69	2758.13	2701.35	3212.66	1477.58	2119.22	1781.89	2075.59	1617.0	2816.11	2434.5	688.78	2104.58	1369.04	2104.58	2004.85	796.86	1498.22	0.0	0.77	521.76	733.19	547.75
OSGEPL1	98.04	23.93	18.16	48.52	175.07	120.94	44.25	92.7	74.06	32.36	61.68	39.79	113.56	74.58	88.26	65.72	59.97	70.51	100.13	136.19	112.77	137.14	105.15	100.83	118.43	60.82	103.69	42.41	120.1	170.25	134.3	125.24	108.9	120.1	142.01	20.41	131.51	96.68	84.63	76.71	165.57	112.77	82.29	108.9	101.54	119.26	53.95	68.55	166.73	141.02	139.07	100.13	93.35	103.69	100.13	59.55	116.78	147.06	29.06	166.73	30.34	113.56	140.04	61.25	58.71	0.0	0.0	81.14	19.11	19.53
PATZ1	473.41	134.3	114.36	37.05	599.49	493.56	341.51	432.53	291.04	206.94	244.57	255.0	423.61	220.32	285.03	249.73	269.6	373.81	299.25	316.37	493.56	500.46	521.76	420.68	633.73	137.14	444.72	265.87	346.29	819.3	559.28	473.41	389.72	454.09	389.72	121.79	414.87	497.0	417.77	540.19	486.75	429.54	490.14	638.15	417.77	536.45	153.34	206.94	493.56	703.28	830.75	366.09	366.09	450.94	363.56	301.33	444.72	420.68	271.48	368.65	291.04	575.03	633.73	115.16	226.54	0.0	0.28	135.24	85.22	87.03
PGAP2	536.45	543.96	595.34	400.71	934.76	1159.07	466.88	503.95	603.67	444.72	571.05	438.59	507.46	567.1	599.49	420.68	429.54	463.65	563.18	629.35	684.02	819.3	872.1	808.0	1159.07	351.14	718.08	460.44	693.58	1143.1	830.75	866.07	633.73	1001.93	860.08	242.88	642.59	651.58	733.19	1030.12	941.27	571.05	629.35	1015.93	890.44	854.13	447.82	470.14	830.75	981.29	1304.15	540.19	723.08	934.76	808.0	490.14	802.41	954.43	327.56	842.36	406.31	796.86	825.0	379.04	616.37	0.0	0.21	381.68	285.03	346.29
PHF7	115.97	49.21	50.27	47.84	312.0	204.07	114.36	111.21	105.89	55.1	63.0	74.58	123.5	83.45	102.97	98.73	144.01	98.73	89.51	92.05	253.23	55.1	148.09	123.5	131.51	56.28	149.12	60.39	92.7	293.07	312.0	389.72	83.45	153.34	86.43	40.36	158.79	147.06	163.28	228.13	283.05	120.94	154.42	267.73	96.01	283.05	31.67	47.5	127.0	228.13	356.05	157.68	78.89	186.4	110.43	124.37	166.73	186.4	63.0	154.42	49.21	181.28	381.68	93.35	106.63	0.0	0.15	48.87	55.49	55.89
PPOX	269.6	162.14	63.0	119.26	486.75	563.18	262.2	191.67	206.94	176.29	148.09	194.36	251.48	236.21	183.82	175.07	239.52	214.27	223.41	307.69	249.73	397.93	318.57	295.11	339.14	193.01	287.01	150.17	256.78	518.15	246.28	525.39	229.72	379.04	314.17	89.51	255.0	182.55	312.0	387.02	343.89	281.09	260.38	251.48	314.17	320.8	120.1	170.25	273.37	316.37	429.54	208.38	277.2	228.13	258.57	189.02	381.68	336.79	96.68	309.83	157.68	351.14	293.07	251.48	244.57	0.0	0.39	166.73	57.08	74.06
PPP1R3E	140.04	53.95	39.5	29.27	334.46	202.66	108.14	183.82	154.42	88.26	66.65	105.89	162.14	140.04	178.77	80.57	205.5	108.14	120.1	144.01	231.32	197.09	246.28	234.57	303.44	95.34	224.97	103.69	180.02	466.88	232.94	339.14	163.28	208.38	191.67	45.85	289.02	191.67	140.04	258.57	426.57	242.88	183.82	206.94	208.38	303.44	73.03	124.37	297.17	309.83	373.81	132.44	140.04	226.54	156.59	115.16	220.32	234.57	62.12	223.41	107.38	267.73	289.02	41.81	124.37	0.0	0.58	67.59	11.73	48.87
PRICKLE4	115.16	41.22	50.98	23.08	234.57	173.85	47.17	89.51	98.04	66.65	52.82	77.25	112.77	61.68	102.25	64.34	101.54	53.57	72.52	104.42	102.97	152.28	73.03	127.89	187.71	38.95	131.51	83.45	71.0	236.21	124.37	195.72	84.04	173.85	107.38	33.78	134.3	81.14	130.6	131.51	208.38	110.43	154.42	142.01	167.9	154.42	64.34	57.89	137.14	187.71	150.17	90.77	145.02	129.69	114.36	131.51	155.5	226.54	36.01	163.28	97.36	156.59	173.85	21.16	55.1	0.0	0.73	24.81	25.17	44.25
PRKAB2	532.74	237.86	116.78	155.5	836.53	1096.5	135.24	182.55	297.17	246.28	295.11	197.09	289.02	231.32	536.45	105.15	147.06	287.01	244.57	595.34	348.71	620.67	511.0	1059.11	607.87	279.14	775.05	215.77	334.46	748.61	529.06	748.61	507.46	759.08	688.78	35.5	679.29	842.36	209.84	603.67	629.35	205.5	379.04	743.43	454.09	476.71	161.02	197.09	493.56	775.05	607.87	201.25	547.75	381.68	514.56	348.71	830.75	591.22	64.34	1030.12	88.26	607.87	536.45	92.05	220.32	0.0	0.61	83.45	68.07	85.82
PRPSAP1	1769.57	743.43	1008.9	896.64	2090.03	2956.17	1208.34	1037.29	1081.39	954.43	1096.5	603.67	1143.1	1286.18	1350.18	842.36	1008.9	1340.84	1023.0	1143.1	1388.16	1199.98	1225.22	2591.27	2682.69	1340.84	2739.08	679.29	1167.14	2627.46	1896.65	2119.22	1832.01	1605.83	1417.35	525.39	1037.29	2664.15	1340.84	1870.53	2591.27	1397.83	1950.0	1447.15	1199.98	2777.33	738.29	902.89	2133.97	2664.15	2627.46	1369.04	1081.39	1427.22	2573.36	1183.45	1857.6	2119.22	336.79	2875.3	854.13	1685.71	1896.65	575.03	559.28	0.0	0.1	708.18	995.0	490.14
RNF43	78.89	139.07	88.26	143.01	1378.57	1721.16	41.22	111.99	33.3	14.78	28.65	8.51	147.06	37.59	30.34	21.01	38.67	23.76	115.97	109.66	241.19	228.13	157.68	158.79	297.17	14.24	223.41	9.34	80.01	301.33	384.34	281.09	152.28	271.48	142.01	2.63	283.05	256.78	78.89	262.2	327.56	69.03	273.37	221.86	147.06	214.27	5.11	57.08	232.94	223.41	363.56	124.37	246.28	72.01	146.03	53.19	221.86	220.32	17.38	258.57	14.89	389.72	283.05	2.81	51.35	0.0	0.04	33.54	77.25	73.03
RP4-583P15.15	122.64	11.82	7.57	13.93	305.55	204.07	80.01	130.6	137.14	75.11	107.38	49.56	103.69	113.56	147.06	52.45	76.71	57.49	58.71	127.0	236.21	231.32	403.5	231.32	470.14	39.79	379.04	43.32	166.73	490.14	406.31	389.72	275.28	289.02	199.85	15.8	320.8	215.77	146.03	197.09	323.03	127.89	351.14	543.96	206.94	406.31	59.97	75.64	267.73	341.51	473.41	71.5	432.53	264.03	190.34	111.21	234.57	316.37	52.45	289.02	67.59	426.57	412.0	36.27	25.72	0.0	0.75	15.56	20.71	6.46
RSAD1	738.29	199.85	129.69	102.25	1059.11	1143.1	518.15	620.67	723.08	511.0	603.67	656.11	470.14	684.02	638.15	540.19	620.67	551.56	603.67	665.29	866.07	836.53	1191.69	947.83	1340.84	633.73	764.36	514.56	974.5	1023.0	890.44	753.83	674.59	1001.93	769.69	480.04	866.07	624.99	629.35	1088.92	1111.82	1111.82	571.05	1295.13	698.41	1167.14	518.15	563.18	723.08	1119.56	1001.93	486.75	575.03	723.08	738.29	463.65	713.11	1030.12	497.0	928.3	312.0	802.41	718.08	607.87	607.87	0.0	0.91	119.26	267.73	181.28
SEMA4G	583.07	35.0	23.42	8.71	1008.9	1427.22	429.54	414.87	503.95	348.71	518.15	258.57	389.72	379.04	674.59	463.65	500.46	395.18	547.75	693.58	775.05	651.58	791.35	848.22	1073.91	146.03	896.64	551.56	295.11	1844.76	1685.71	1183.45	633.73	1088.92	679.29	138.1	1015.93	503.95	1250.98	1051.79	1001.93	486.75	909.17	1135.2	483.38	981.29	57.89	307.69	1216.75	1111.82	1832.01	358.54	1407.55	878.17	571.05	305.55	802.41	915.51	175.07	1407.55	289.02	1277.29	872.1	69.52	444.72	0.0	0.32	3.53	65.72	221.86
SETDB2	122.64	56.68	64.34	31.67	131.51	115.97	54.72	63.89	50.98	48.52	46.5	29.7	67.59	56.68	73.54	58.3	61.25	56.28	64.34	67.59	84.63	101.54	84.04	94.01	120.1	53.95	85.22	43.02	53.19	154.42	104.42	127.89	64.8	141.02	85.82	28.45	100.13	139.07	52.82	127.0	162.14	100.13	99.43	64.34	53.19	96.01	46.18	57.89	86.43	177.53	131.51	117.6	78.34	67.59	84.04	43.63	131.51	123.5	18.03	141.02	20.71	115.97	99.43	50.63	57.08	0.0	0.19	29.06	19.97	55.49
SLC2A4RG	2895.31	1674.06	775.05	878.17	4639.29	4639.29	2451.44	2895.31	4903.87	1487.87	2451.44	1628.26	2645.74	2224.63	3039.3	1081.39	2816.11	2061.24	2319.15	3039.3	4836.35	3928.15	5183.54	4639.29	4328.55	748.61	4181.07	2451.44	3515.68	6792.79	6699.25	6471.02	4181.07	7230.1	3716.2	607.87	5076.84	2758.13	3124.78	5366.37	4802.93	3103.19	5594.3	7749.1	2997.45	6426.31	785.88	1697.45	4903.87	5913.33	7433.4	2758.13	4450.27	3768.09	4038.61	3168.41	4152.18	5366.37	1806.78	4802.93	3146.52	5913.33	5183.54	583.07	1769.57	0.0	0.83	1111.82	575.03	748.61
SMO	409.15	48.18	129.69	50.98	1191.69	866.07	202.66	379.04	205.5	112.77	206.94	92.05	339.14	299.25	269.6	111.99	142.01	149.12	176.29	206.94	438.59	507.46	808.0	848.22	1135.2	50.98	450.94	167.9	224.97	854.13	1111.82	890.44	518.15	802.41	567.1	61.25	392.44	414.87	466.88	921.88	1259.69	397.93	575.03	802.41	343.89	974.5	175.07	114.36	532.74	884.29	941.27	438.59	642.59	329.84	454.09	221.86	579.04	629.35	78.34	769.69	187.71	825.0	1225.22	58.71	166.73	0.0	0.54	41.81	40.36	35.76
SPATA25	66.65	6.46	1.2	2.01	93.35	152.28	0.0	39.79	14.67	33.78	14.56	21.47	11.21	10.47	13.22	25.72	8.58	9.34	5.19	25.54	31.0	17.0	16.39	21.32	50.98	11.38	17.38	18.16	16.39	57.89	39.5	50.98	19.68	52.82	34.02	1.95	25.72	29.7	33.78	22.92	47.17	39.22	42.41	62.56	25.54	42.11	5.77	3.47	53.95	40.93	65.26	11.64	29.7	36.01	33.54	37.05	56.28	37.32	4.7	36.27	2.97	30.56	35.76	17.0	7.4	0.0	0.53	0.0	0.0	1.68
SPDYE3	57.89	29.27	21.01	21.32	91.41	156.59	36.53	51.35	56.68	46.5	38.12	45.21	55.89	50.63	63.89	46.84	47.17	35.76	49.56	79.45	53.19	83.45	100.83	65.72	75.64	23.59	120.1	42.11	65.72	63.45	108.14	48.52	63.45	48.18	70.51	35.25	96.68	53.57	51.35	82.29	92.7	80.57	88.26	102.97	77.79	107.38	16.75	47.5	86.43	132.44	108.9	46.84	94.67	70.51	78.89	45.85	82.29	67.12	40.93	107.38	37.32	52.45	96.68	67.59	56.68	0.0	0.0	13.62	25.17	33.54
SPHK2	414.87	52.08	78.89	104.42	486.75	500.46	316.37	363.56	287.01	148.09	198.47	176.29	348.71	305.55	334.46	205.5	295.11	205.5	220.32	295.11	493.56	591.22	417.77	432.53	547.75	107.38	669.92	162.14	242.88	909.17	866.07	738.29	457.25	660.68	379.04	70.51	651.58	275.28	406.31	616.37	536.45	346.29	587.13	713.11	358.54	521.76	109.66	279.14	507.46	743.43	967.76	299.25	540.19	389.72	480.04	232.94	563.18	647.07	80.01	796.86	163.28	698.41	543.96	165.57	221.86	0.0	0.16	67.59	81.14	62.56
STX1B	34.51	7.82	7.69	7.11	59.13	88.26	20.41	55.89	59.97	39.79	40.36	29.91	37.32	37.85	48.87	30.12	24.81	31.9	46.5	102.25	34.02	94.01	110.43	59.13	141.02	8.19	114.36	26.67	52.82	157.68	87.03	92.05	22.1	81.14	105.15	9.48	65.26	100.13	73.03	135.24	117.6	26.1	56.28	87.03	98.04	86.43	13.32	46.18	119.26	71.5	285.03	29.06	33.3	86.43	47.84	23.59	124.37	88.88	9.2	71.0	38.67	62.56	61.25	8.38	40.07	27.64	99.43	5.54	20.11	19.11
TADA1	376.41	100.13	77.79	102.97	728.11	616.37	178.77	376.41	260.38	156.59	190.34	166.73	400.71	191.67	301.33	171.45	150.17	199.85	291.04	384.34	420.68	460.44	371.22	397.93	409.15	173.85	551.56	146.03	229.72	571.05	536.45	486.75	507.46	503.95	409.15	88.26	460.44	450.94	262.2	423.61	603.67	301.33	511.0	493.56	299.25	638.15	115.97	152.28	536.45	642.59	483.38	248.0	490.14	361.04	318.57	226.54	470.14	587.13	113.56	791.35	96.01	698.41	583.07	110.43	177.53	0.0	0.52	162.14	108.9	151.22
TMEM150C	327.56	7.06	38.12	8.78	629.35	698.41	231.32	194.36	208.38	158.79	180.02	86.43	224.97	111.99	228.13	148.09	183.82	258.57	143.01	239.52	275.28	346.29	285.03	336.79	563.18	65.26	285.03	119.26	126.12	941.27	808.0	470.14	265.87	521.76	242.88	34.02	353.59	718.08	239.52	376.41	1119.56	236.21	392.44	158.79	197.09	269.6	23.25	50.98	490.14	466.88	595.34	244.57	305.55	403.5	368.65	149.12	269.6	325.29	10.88	414.87	104.42	896.64	514.56	48.52	52.45	21.32	108.14	8.32	15.11	51.35
TMEM169	6.46	0.38	12.18	1.58	63.89	80.01	4.66	15.11	6.62	6.31	8.19	1.57	22.43	5.87	17.0	5.54	7.17	3.79	9.06	14.89	24.99	35.5	22.43	11.13	34.51	4.1	21.78	4.13	14.45	21.78	48.18	36.01	14.45	24.28	20.71	2.92	27.25	10.63	24.99	20.41	16.75	14.35	46.84	34.26	16.75	31.45	10.16	2.92	23.42	42.41	32.82	5.82	37.59	13.62	29.06	13.83	44.25	51.35	3.53	49.91	3.03	33.3	66.65	5.87	5.06	0.0	0.0	2.18	0.62	1.81
TOM1L1	1175.27	316.37	540.19	457.25	1857.6	3168.41	796.86	825.0	743.43	981.29	974.5	669.92	902.89	808.0	1498.22	902.89	688.78	872.1	878.17	1073.91	1359.57	1008.9	665.29	1001.93	1151.06	473.41	1639.59	808.0	595.34	1844.76	1487.87	1096.5	1457.23	1685.71	1477.58	563.18	1583.71	1331.57	769.69	1191.69	1697.45	974.5	836.53	1540.37	961.07	1651.0	629.35	612.11	1936.53	1467.37	1304.15	1233.75	1135.2	1447.15	808.0	723.08	1359.57	1617.0	320.8	1844.76	473.41	1583.71	1594.73	366.09	417.77	0.0	0.3	348.71	878.17	1794.29
TTC18	51.35	1.91	1.36	10.55	132.44	151.22	7.82	21.94	33.06	19.53	20.26	37.32	34.51	33.3	20.86	20.86	39.22	17.77	23.08	46.84	118.43	58.3	77.25	63.0	111.99	17.38	66.65	24.46	50.98	135.24	60.39	92.05	44.89	48.18	50.27	5.28	67.59	40.93	61.25	96.01	101.54	55.49	17.25	94.01	58.71	96.01	34.75	46.84	81.71	54.72	149.12	44.89	50.98	80.57	55.89	60.82	55.89	64.8	15.11	58.71	45.21	73.03	78.89	17.51	32.82	0.0	0.22	5.11	1.64	6.41
TTC31	620.67	180.02	167.9	177.53	738.29	1950.0	327.56	395.18	379.04	262.2	262.2	218.79	409.15	307.69	303.44	301.33	332.14	293.07	285.03	493.56	423.61	769.69	603.67	543.96	934.76	253.23	638.15	314.17	389.72	896.64	738.29	595.34	497.0	842.36	490.14	187.71	679.29	559.28	438.59	679.29	708.18	497.0	426.57	878.17	633.73	785.88	237.86	236.21	575.03	909.17	902.89	373.81	738.29	536.45	612.11	341.51	665.29	860.08	161.02	791.35	206.94	688.78	842.36	303.44	329.84	0.0	0.57	142.01	63.0	173.85
USP30	389.72	96.01	156.59	181.28	420.68	368.65	171.45	299.25	242.88	154.42	194.36	121.79	339.14	260.38	201.25	140.04	258.57	161.02	249.73	366.09	291.04	457.25	409.15	497.0	571.05	224.97	450.94	193.01	256.78	599.49	400.71	444.72	339.14	693.58	341.51	91.41	412.0	429.54	299.25	599.49	387.02	228.13	314.17	693.58	305.55	540.19	135.24	176.29	336.79	420.68	688.78	169.07	206.94	346.29	353.59	287.01	395.18	674.59	69.52	624.99	142.01	525.39	595.34	92.7	251.48	0.0	0.21	106.63	166.73	106.63
USP40	490.14	291.04	229.72	441.64	612.11	842.36	329.84	450.94	381.68	314.17	283.05	332.14	327.56	420.68	406.31	466.88	366.09	325.29	470.14	511.0	327.56	718.08	587.13	633.73	713.11	295.11	624.99	275.28	409.15	825.0	476.71	708.18	366.09	723.08	748.61	229.72	507.46	503.95	547.75	665.29	698.41	334.46	373.81	514.56	563.18	669.92	262.2	381.68	529.06	620.67	825.0	470.14	414.87	583.07	518.15	387.02	599.49	624.99	209.84	819.3	256.78	579.04	486.75	320.8	525.39	0.0	0.67	175.07	67.12	356.05
WDR65	74.58	1.69	1.75	1.99	63.0	72.52	15.8	60.82	22.26	12.55	16.15	1.01	31.0	46.18	42.41	11.13	35.76	24.99	18.29	68.07	48.52	89.51	229.72	85.82	149.12	11.91	165.57	9.13	28.45	182.55	57.89	93.35	49.91	204.07	70.01	5.68	35.25	142.01	52.45	108.14	147.06	34.51	36.53	96.01	65.72	59.13	5.23	14.89	123.5	131.51	187.71	13.42	74.58	84.04	70.51	56.28	72.01	125.24	4.98	131.51	15.45	158.79	158.79	0.0	12.36	0.0	0.0	0.55	0.0	6.01
ZKSCAN1	665.29	163.28	166.73	172.65	1037.29	607.87	190.34	460.44	194.36	255.0	217.27	159.9	325.29	283.05	336.79	198.47	224.97	384.34	329.84	389.72	395.18	674.59	514.56	660.68	884.29	182.55	693.58	325.29	406.31	974.5	511.0	819.3	389.72	1044.52	540.19	155.5	423.61	738.29	414.87	693.58	1088.92	486.75	356.05	476.71	403.5	679.29	199.85	226.54	583.07	738.29	934.76	305.55	412.0	511.0	540.19	417.77	620.67	759.08	129.69	723.08	143.01	1001.93	616.37	228.13	182.55	206.94	466.88	59.13	255.0	283.05
ZMAT1	180.02	2.14	4.28	1.45	204.07	169.07	41.22	85.22	77.25	48.52	30.78	88.26	82.29	46.5	68.55	59.55	66.65	26.28	80.57	94.67	77.25	198.47	140.04	146.03	152.28	37.85	102.97	43.02	152.28	271.48	115.16	181.28	92.7	206.94	96.68	9.56	125.24	189.02	95.34	198.47	373.81	110.43	46.18	191.67	114.36	194.36	39.5	69.03	167.9	226.54	299.25	108.9	75.11	229.72	135.24	69.52	166.73	169.07	38.4	220.32	84.63	126.12	198.47	18.16	71.5	0.0	0.65	1.58	0.0	17.64
ZNF362	181.28	161.02	120.94	87.65	208.38	197.09	157.68	98.73	112.77	85.22	70.51	61.25	149.12	94.01	109.66	115.97	112.77	130.6	114.36	124.37	144.01	297.17	244.57	193.01	234.57	88.88	152.28	81.14	186.4	343.89	194.36	224.97	161.02	246.28	162.14	47.84	231.32	234.57	180.02	236.21	277.2	132.44	138.1	236.21	155.5	283.05	72.01	69.52	246.28	277.2	285.03	162.14	177.53	173.85	178.77	115.16	205.5	267.73	50.27	201.25	136.19	237.86	183.82	64.34	102.25	0.0	0.27	53.57	34.02	121.79
ZNF491	14.35	2.1	4.98	3.32	23.42	36.01	5.02	13.72	6.01	5.59	3.47	5.96	7.57	12.27	12.93	4.54	4.46	3.89	6.31	14.89	20.71	17.51	19.39	13.32	18.03	3.69	9.7	3.23	17.13	46.5	23.08	24.63	15.0	20.71	13.83	0.44	21.47	11.21	7.94	22.92	23.42	8.99	9.34	17.25	11.38	13.72	3.2	6.31	29.7	18.29	25.35	8.65	15.8	21.32	12.55	16.88	18.16	12.0	0.37	17.77	3.32	18.97	21.47	4.24	8.45	0.0	0.15	1.16	3.35	2.53
ZNF563	120.1	29.91	21.32	28.86	232.94	409.15	73.54	105.15	101.54	61.25	28.24	55.49	114.36	44.25	90.14	40.07	40.36	76.17	49.56	68.55	185.11	143.01	193.01	48.52	122.64	31.0	232.94	16.63	53.57	127.89	209.84	323.03	70.01	387.02	39.5	20.11	144.01	114.36	103.69	143.01	80.01	67.59	96.68	181.28	78.34	325.29	20.41	42.11	50.27	223.41	172.65	93.35	185.11	151.22	162.14	115.16	336.79	295.11	27.25	172.65	17.0	256.78	218.79	49.91	22.75	0.0	0.23	4.62	22.92	12.93
ZNF572	10.31	13.12	4.39	5.73	36.79	41.81	5.32	11.55	4.5	2.81	4.5	3.53	8.38	3.5	7.69	4.98	1.99	7.0	3.86	18.56	6.41	23.08	11.21	6.73	15.56	4.86	13.83	5.77	8.92	23.59	16.27	17.77	6.78	18.16	9.34	3.76	13.52	14.89	8.78	14.56	19.53	14.78	4.82	21.94	7.06	21.01	6.06	1.27	24.11	14.67	37.59	6.78	5.45	16.03	5.68	2.25	33.06	9.06	2.23	35.25	1.89	18.56	25.17	3.26	6.01	0.0	0.04	21.94	0.54	0.04
ZNF599	53.95	47.17	31.67	27.25	86.43	111.99	59.13	57.89	62.56	45.53	39.79	23.08	78.34	57.49	87.03	29.27	81.14	65.72	50.27	106.63	62.56	94.01	100.13	65.72	82.87	30.78	86.43	54.72	71.5	169.07	102.25	145.02	76.71	97.36	107.38	14.78	108.14	95.34	94.01	127.89	133.36	84.04	80.57	96.68	78.34	116.78	34.51	31.67	122.64	108.14	132.44	48.52	74.58	115.97	64.8	52.08	105.89	68.07	21.94	104.42	18.29	97.36	121.79	41.22	23.25	0.0	0.35	62.12	26.47	14.14
ZNF76	379.04	301.33	123.5	173.85	507.46	679.29	305.55	309.83	341.51	291.04	241.19	307.69	239.52	297.17	351.14	234.57	285.03	223.41	255.0	297.17	351.14	395.18	353.59	503.95	607.87	229.72	395.18	356.05	395.18	713.11	332.14	543.96	295.11	543.96	316.37	189.02	373.81	379.04	297.17	486.75	525.39	371.22	323.03	447.82	483.38	503.95	176.29	267.73	412.0	521.76	595.34	301.33	281.09	384.34	457.25	371.22	603.67	599.49	195.72	457.25	262.2	438.59	312.0	171.45	320.8	0.0	0.78	239.52	185.11	154.42
ZNF775	108.14	90.14	100.13	50.63	961.07	813.63	108.14	109.66	98.04	59.55	37.85	38.12	128.79	75.11	45.53	53.57	181.28	59.55	81.71	93.35	135.24	248.0	205.5	121.79	312.0	117.6	170.25	94.67	100.83	320.8	224.97	229.72	125.24	285.03	167.9	28.86	138.1	297.17	205.5	264.03	323.03	148.09	291.04	214.27	141.02	249.73	89.51	64.8	175.07	246.28	373.81	118.43	341.51	150.17	226.54	98.04	149.12	265.87	36.79	241.19	61.68	246.28	152.28	80.01	82.29	0.0	0.22	26.28	23.08	138.1
