	GTEX.1211K.1326.SM.5FQV2	TCGA.A3.3373.01A.02R.1420.07	TCGA.BP.4959.01A.01R.1334.07	TCGA.BP.4963.01A.01R.1334.07	TCGA.BP.4325.01A.02R.1289.07	TCGA.BP.4766.01A.01R.1289.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.93.7348.01A.21R.2039.07	TCGA.J2.A4AD.01A.11R.A24H.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X3Y1.0626.SM.3P5YS	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P
TBX4	0.72	3.59	0.75	6.41	1.36	2.63	0.74	71.5	104.42	1651.0	473.41	854.13	258.57	1639.59	295.11	525.39	1159.07	633.73	1477.58	341.51	438.59	511.0	339.14
TCTE1	1.51	1.46	0.77	4.31	2.73	1.66	4.1	24.28	12.0	223.41	145.02	414.87	107.38	242.88	289.02	246.28	239.52	518.15	432.53	161.02	343.89	381.68	165.57
TCTEX1D1	29.7	13.62	7.28	23.76	14.24	8.71	26.86	29.7	27.05	149.12	236.21	503.95	127.89	353.59	316.37	384.34	242.88	642.59	1104.13	279.14	688.78	438.59	236.21
TCTEX1D4	21.32	3.32	4.58	14.89	4.86	15.34	9.06	30.56	35.25	400.71	100.13	384.34	42.41	193.01	157.68	177.53	139.07	503.95	395.18	189.02	463.65	353.59	297.17
TEKT1	0.0	0.0	0.37	0.0	0.0	0.0	0.0	147.06	67.12	1806.78	1073.91	2271.4	915.51	2047.0	1572.76	1540.37	2133.97	3928.15	2609.3	1662.49	4123.49	2417.67	915.51
TEKT4	0.0	0.37	0.38	3.92	0.35	0.0	1.11	38.67	12.74	112.77	139.07	218.79	68.07	149.12	161.02	169.07	181.28	343.89	301.33	167.9	204.07	214.27	103.69
TEX26	1.39	0.74	0.0	0.0	0.0	0.0	0.0	15.45	8.99	34.75	40.93	118.43	18.16	36.79	34.51	77.79	45.53	137.14	135.24	19.68	51.71	47.5	62.12
TMEM190	0.0	0.0	0.0	0.0	0.0	0.0	1.97	387.02	155.5	1331.57	2627.46	1378.57	3614.55	4481.23	4268.94	5831.91	5329.3	12160.22	6652.97	4836.35	11745.96	5403.7	412.0
TMEM212	0.45	0.72	0.0	0.36	0.34	0.33	0.0	40.36	19.82	90.14	220.32	253.23	88.88	127.0	285.03	305.55	244.57	480.04	476.71	170.25	432.53	518.15	135.24
TP53AIP1	1.1	0.73	1.13	1.79	1.69	1.64	1.48	5.87	12.64	109.66	18.03	500.46	0.66	14.35	802.41	6.84	15.56	2367.9	476.71	72.52	529.06	85.82	81.14
TSPAN19	2.34	17.77	0.0	1.77	0.0	0.0	8.06	107.38	56.28	896.64	373.81	1159.07	575.03	1529.73	493.56	426.57	909.17	753.83	3564.78	629.35	2319.15	1001.93	361.04
TTC16	1.35	4.03	4.58	18.29	17.77	2.01	40.64	26.86	20.11	105.89	71.5	169.07	56.68	169.07	194.36	151.22	108.9	403.5	314.17	105.15	194.36	194.36	88.26
TTC29	1.62	0.73	1.13	2.86	0.0	0.0	0.0	53.95	23.76	423.61	244.57	412.0	271.48	490.14	384.34	366.09	343.89	521.76	769.69	312.0	1208.34	521.76	144.01
USP44	39.22	4.66	2.25	5.32	1.36	1.31	5.5	47.84	80.01	58.71	264.03	78.34	57.49	37.05	156.59	387.02	182.55	175.07	102.97	83.45	126.12	85.22	220.32
VGLL2	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.82	0.0	0.0	0.0	0.0	0.74	0.0	1.16	0.39	0.37	2.25	1.33	1.17	0.0	1.17	0.0
VWA3B	1.28	1.41	0.72	2.1	0.99	1.28	1.07	102.25	44.57	684.02	466.88	718.08	348.71	559.28	651.58	813.63	660.68	1551.09	848.22	599.49	1883.54	624.99	547.75
WDR16	9.34	10.08	4.5	10.31	12.18	10.47	20.26	100.13	68.07	796.86	607.87	1119.56	529.06	921.88	884.29	796.86	961.07	1757.34	1832.01	651.58	1733.13	1417.35	607.87
WDR38	0.0	2.16	5.19	1.07	2.03	0.0	3.32	115.97	54.72	1183.45	884.29	1721.16	591.22	1015.93	1447.15	1216.75	921.88	3395.89	2018.8	1143.1	1896.65	1721.16	902.89
WDR63	0.0	6.46	5.19	2.84	1.69	13.32	10.63	29.27	24.81	218.79	158.79	237.86	159.9	201.25	159.9	273.37	178.77	392.44	353.59	234.57	607.87	435.55	151.22
WDR96	6.31	23.25	13.22	36.79	50.98	21.78	68.07	129.69	137.14	603.67	547.75	1167.14	368.65	718.08	884.29	947.83	796.86	1909.85	1909.85	567.1	1819.35	1286.18	693.58
WNT3A	0.0	0.37	0.0	0.72	1.03	0.33	2.97	15.45	12.27	50.98	651.58	204.07	91.41	97.36	6.26	163.28	167.9	228.13	595.34	156.59	108.9	703.28	126.12
ZBBX	0.0	5.45	3.41	4.31	3.08	6.26	0.39	151.22	69.52	447.82	334.46	571.05	287.01	733.19	536.45	460.44	397.93	928.3	1781.89	400.71	1199.98	559.28	336.79
