	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.144GN.0426.SM.5O9AP	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.XBEC.1026.SM.4QASM	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.XMD2.1026.SM.4WWE8	GTEX.13O61.0726.SM.5J2MD	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.S33H.0626.SM.2XCBJ	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.13QJC.0526.SM.5RQKB	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.11NUK.0826.SM.5HL4U	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.UPK5.1126.SM.3GAEJ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1399U.0826.SM.5KM1P	GTEX.QEG4.0526.SM.48TZD	GTEX.13FHO.1026.SM.5KM1Q	GTEX.WYVS.0526.SM.3NM9W	TCGA.43.5670.11A.01R.2125.07
NUS1	447.82	497.0	866.07	414.87	723.08	954.43	802.41	490.14	579.04	336.79	441.64	336.79	409.15	909.17	796.86	500.46	229.72	435.55	669.92	368.65	947.83	651.58	457.25	961.07	325.29	325.29	295.11	536.45	540.19	503.95	633.73	381.68	395.18	896.64	460.44	660.68	435.55	363.56	547.75	395.18	543.96	559.28	759.08	476.71	426.57	348.71	563.18	447.82	830.75	836.53	647.07	698.41	473.41	248.0	287.01	698.41	529.06
OGFOD1	351.14	423.61	748.61	373.81	363.56	723.08	819.3	470.14	543.96	299.25	258.57	237.86	361.04	656.11	764.36	323.03	287.01	532.74	733.19	409.15	872.1	759.08	579.04	902.89	295.11	435.55	325.29	579.04	633.73	497.0	629.35	466.88	353.59	896.64	343.89	688.78	476.71	395.18	679.29	486.75	493.56	486.75	890.44	435.55	525.39	426.57	444.72	507.46	708.18	836.53	819.3	688.78	325.29	293.07	368.65	684.02	571.05
ORMDL2	536.45	1583.71	2875.3	1250.98	1081.39	2319.15	2400.97	1628.26	1963.57	1331.57	791.35	842.36	1870.53	2148.82	1304.15	1259.69	769.69	2090.03	2895.31	1191.69	2485.67	2384.37	1359.57	2417.67	961.07	1781.89	954.43	2224.63	2875.3	2303.12	1963.57	909.17	1709.26	1963.57	934.76	1923.14	1819.35	995.0	2104.58	2104.58	1378.57	2061.24	2148.82	2193.99	2018.8	1331.57	1685.71	1467.37	2573.36	2739.08	2895.31	3325.99	1508.65	785.88	1037.29	2193.99	1359.57
PAK1IP1	72.01	175.07	454.09	221.86	239.52	591.22	387.02	285.03	293.07	152.28	97.36	101.54	208.38	392.44	329.84	94.01	90.77	281.09	373.81	204.07	426.57	273.37	255.0	457.25	121.79	212.78	70.01	303.44	356.05	314.17	289.02	116.78	255.0	547.75	189.02	299.25	299.25	116.78	447.82	258.57	195.72	236.21	473.41	253.23	289.02	159.9	271.48	189.02	536.45	511.0	420.68	463.65	211.31	85.82	110.43	351.14	241.19
PCBP1	7642.41	6561.36	11267.44	4268.94	10296.45	7695.57	10225.32	13968.57	8658.09	4010.71	4152.18	4388.98	7331.05	15180.22	11664.82	5112.16	4210.15	8840.04	9740.98	3540.14	12943.04	8305.36	5041.77	10585.95	4419.52	5255.91	3794.3	11504.21	9540.5	7642.41	7695.57	8078.22	5403.7	12415.75	4671.57	6935.54	7280.4	4802.93	9279.58	8247.98	6426.31	6561.36	9279.58	5872.48	8598.28	5751.61	5913.33	5255.91	10154.69	12076.21	7803.01	10084.54	4671.57	5872.48	5219.6	8134.41	6337.83
PDCD11	118.43	195.72	353.59	285.03	239.52	525.39	379.04	206.94	262.2	264.03	155.5	153.34	244.57	507.46	346.29	205.5	157.68	253.23	426.57	279.14	435.55	320.8	303.44	336.79	173.85	293.07	171.45	299.25	470.14	314.17	314.17	143.01	291.04	796.86	255.0	417.77	248.0	162.14	591.22	305.55	214.27	214.27	441.64	305.55	267.73	193.01	232.94	195.72	476.71	551.56	441.64	521.76	249.73	151.22	211.31	406.31	303.44
PDIA4	1427.22	1216.75	4903.87	1331.57	995.0	2915.45	4575.41	1111.82	1697.45	1304.15	1023.0	1286.18	941.27	3190.46	3982.99	2224.63	1233.75	1447.15	2664.15	1572.76	5041.77	3060.45	1662.49	2520.38	1277.29	1001.93	1208.34	2018.8	4639.29	1551.09	2133.97	1208.34	1167.14	1794.29	1135.2	3372.43	974.5	1023.0	2367.9	2224.63	2319.15	1551.09	3212.66	1350.18	1651.0	1331.57	1225.22	1605.83	3716.2	4328.55	3874.05	4937.99	860.08	1001.93	1135.2	4038.61	1721.16
PDIA6	2777.33	2047.0	8718.32	2255.7	1936.53	5913.33	8078.22	2271.4	3614.55	1806.78	2303.12	2520.38	2104.58	6983.79	6840.04	3190.46	2816.11	3168.41	5219.6	2451.44	8718.32	6337.83	2303.12	5517.27	2133.97	2209.26	2555.58	3372.43	7857.29	3303.0	4268.94	2739.08	2555.58	3874.05	1844.76	5555.65	2682.69	1936.53	4010.71	4268.94	3257.52	3467.27	6607.01	2451.44	3168.41	2555.58	2209.26	3168.41	6699.25	6792.79	9088.59	8658.09	1721.16	1991.0	2224.63	7537.18	3257.52
PFAS	44.25	176.29	312.0	135.24	105.15	423.61	279.14	121.79	182.55	208.38	87.65	129.69	127.0	323.03	236.21	135.24	151.22	262.2	320.8	209.84	356.05	255.0	234.57	312.0	111.99	199.85	101.54	217.27	414.87	224.97	180.02	109.66	167.9	450.94	154.42	299.25	151.22	171.45	376.41	236.21	144.01	173.85	303.44	228.13	255.0	177.53	189.02	162.14	361.04	332.14	329.84	438.59	199.85	88.88	147.06	334.46	246.28
PIGW	52.45	81.71	239.52	112.77	105.89	221.86	187.71	181.28	91.41	115.16	111.21	72.52	75.64	239.52	165.57	74.06	64.34	180.02	256.78	109.66	244.57	198.47	182.55	318.57	54.33	142.01	64.8	166.73	156.59	171.45	153.34	66.18	149.12	426.57	80.01	170.25	129.69	88.26	223.41	95.34	109.66	150.17	201.25	190.34	153.34	71.0	87.03	106.63	275.28	279.14	295.11	260.38	149.12	47.17	80.01	178.77	163.28
POLR1B	96.01	90.14	237.86	154.42	122.64	202.66	241.19	204.07	248.0	171.45	70.51	78.34	169.07	220.32	181.28	93.35	75.11	194.36	211.31	190.34	320.8	229.72	177.53	341.51	82.29	249.73	48.52	178.77	269.6	249.73	241.19	84.04	229.72	454.09	134.3	334.46	182.55	85.22	232.94	170.25	121.79	157.68	299.25	224.97	264.03	132.44	147.06	155.5	283.05	293.07	343.89	327.56	199.85	81.14	109.66	246.28	167.9
POLR1C	346.29	454.09	688.78	587.13	665.29	981.29	723.08	547.75	540.19	551.56	366.09	417.77	473.41	753.83	674.59	423.61	205.5	555.41	718.08	571.05	651.58	503.95	599.49	764.36	351.14	480.04	149.12	674.59	733.19	669.92	563.18	226.54	638.15	1151.06	693.58	688.78	629.35	289.02	947.83	599.49	409.15	450.94	764.36	563.18	698.41	348.71	587.13	420.68	981.29	954.43	890.44	961.07	470.14	239.52	316.37	872.1	738.29
POLR3D	299.25	205.5	454.09	246.28	249.73	473.41	353.59	241.19	361.04	214.27	224.97	178.77	237.86	389.72	511.0	289.02	155.5	327.56	361.04	244.57	579.04	283.05	293.07	490.14	218.79	212.78	201.25	395.18	368.65	283.05	256.78	178.77	186.4	563.18	283.05	332.14	271.48	161.02	466.88	373.81	180.02	251.48	503.95	202.66	281.09	281.09	249.73	185.11	318.57	599.49	490.14	450.94	211.31	176.29	255.0	500.46	295.11
POP1	14.67	36.01	117.6	28.24	44.89	95.34	80.01	27.64	58.3	49.56	21.78	31.9	37.59	52.08	69.52	20.26	21.32	56.28	83.45	56.68	63.0	64.8	45.85	84.63	33.06	52.45	26.86	31.9	90.14	54.72	75.64	18.56	45.21	152.28	31.0	93.35	44.89	31.45	73.03	33.06	40.64	48.18	91.41	85.22	71.0	22.59	24.63	39.79	109.66	133.36	56.68	126.12	33.54	23.25	23.42	82.87	63.0
PSMA4	1111.82	3419.52	5366.37	2075.59	2032.85	5751.61	5076.84	2796.65	3124.78	2018.8	2018.8	1819.35	2739.08	3515.68	3039.3	2645.74	1662.49	3212.66	2935.74	2032.85	4736.79	3146.52	2555.58	5219.6	1286.18	2591.27	2004.85	2434.5	3901.01	4903.87	3018.3	1883.54	2104.58	3901.01	2148.82	2193.99	2178.83	2502.97	5183.54	2720.15	3716.2	4903.87	3614.55	2956.17	3168.41	1378.57	3349.13	2351.53	6294.04	4903.87	10084.54	3794.3	2976.74	1437.15	2956.17	7032.37	2502.97
PSMC2	713.11	1832.01	3589.58	974.5	1119.56	2682.69	3589.58	1685.71	1617.0	1127.35	928.3	947.83	1322.37	1605.83	2018.8	1183.45	1216.75	1844.76	2303.12	1508.65	2367.9	1991.0	1651.0	2417.67	848.22	1487.87	1437.15	1662.49	2384.37	2104.58	1769.57	1286.18	1594.73	2956.17	785.88	1936.53	1437.15	1407.55	2367.9	1605.83	1508.65	2178.83	2573.36	1977.24	1781.89	884.29	1477.58	1844.76	3540.14	3190.46	3280.18	3257.52	1498.22	802.41	1111.82	2739.08	1674.06
PSMC4	351.14	1709.26	2997.45	988.12	2018.8	3515.68	2875.3	1674.06	1322.37	1183.45	587.13	947.83	1378.57	3467.27	2090.03	1151.06	679.29	1806.78	3018.3	1096.5	2119.22	1819.35	1467.37	2104.58	802.41	981.29	753.83	1757.34	2591.27	1757.34	1617.0	884.29	1135.2	5041.77	718.08	2018.8	1250.98	1015.93	2468.49	1857.6	1572.76	1498.22	2209.26	1498.22	1697.45	1044.52	1008.9	1233.75	3820.7	3540.14	3395.89	4123.49	1159.07	555.41	780.44	2520.38	1508.65
PSMD14	262.2	703.28	1794.29	521.76	555.41	1794.29	1721.16	616.37	713.11	571.05	348.71	389.72	571.05	1487.87	1073.91	525.39	432.53	967.76	1369.04	591.22	1216.75	1216.75	718.08	1529.73	279.14	642.59	507.46	791.35	1259.69	988.12	967.76	507.46	665.29	1561.89	435.55	878.17	638.15	521.76	1143.1	813.63	954.43	1023.0	1583.71	633.73	728.11	567.1	660.68	928.3	2018.8	1651.0	1540.37	1583.71	571.05	334.46	441.64	1605.83	733.19
PSME3	616.37	1183.45	2627.46	878.17	1447.15	2537.92	2502.97	1322.37	1447.15	1037.29	738.29	612.11	1167.14	2956.17	1674.06	947.83	579.04	1331.57	2335.28	1073.91	2075.59	2032.85	1313.23	2664.15	647.07	1051.79	775.05	1572.76	2485.67	1857.6	1806.78	947.83	1286.18	3665.02	684.02	1806.78	1651.0	808.0	2075.59	1378.57	1350.18	1551.09	2400.97	1388.16	1529.73	848.22	1096.5	1508.65	3081.75	2627.46	2367.9	2609.3	1151.06	647.07	890.44	2287.2	1651.0
PTRH2	260.38	387.02	909.17	234.57	571.05	860.08	796.86	599.49	503.95	287.01	198.47	229.72	387.02	848.22	543.96	279.14	190.34	514.56	718.08	363.56	633.73	503.95	376.41	759.08	289.02	384.34	223.41	473.41	802.41	620.67	460.44	275.28	356.05	1331.57	271.48	454.09	426.57	244.57	775.05	476.71	587.13	476.71	684.02	470.14	511.0	190.34	371.22	285.03	902.89	1037.29	902.89	981.29	392.44	197.09	191.67	764.36	463.65
PUS3	202.66	121.79	336.79	140.04	175.07	281.09	255.0	212.78	232.94	102.97	169.07	90.14	172.65	127.0	262.2	102.97	72.52	180.02	191.67	161.02	264.03	193.01	167.9	293.07	133.36	156.59	65.72	176.29	198.47	194.36	186.4	95.34	127.0	373.81	182.55	187.71	135.24	87.03	299.25	120.94	105.15	180.02	275.28	153.34	194.36	137.14	156.59	122.64	258.57	283.05	297.17	329.84	142.01	77.25	163.28	194.36	180.02
RAB10	1467.37	981.29	4388.98	1051.79	1781.89	2468.49	2976.74	1286.18	2047.0	954.43	819.3	674.59	974.5	2875.3	2287.2	723.08	703.28	1340.84	3081.75	1208.34	2434.5	2935.74	1551.09	4419.52	575.03	1286.18	909.17	1662.49	2997.45	1529.73	1685.71	884.29	915.51	1950.0	743.43	1936.53	1286.18	1191.69	1950.0	1685.71	1628.26	1977.24	4671.57	1088.92	1183.45	1151.06	1508.65	1651.0	2816.11	4152.18	2434.5	2367.9	633.73	647.07	890.44	2434.5	1594.73
RPL7L1	718.08	733.19	1277.29	1030.12	713.11	1250.98	1233.75	1051.79	1015.93	974.5	718.08	595.34	1008.9	1088.92	1277.29	753.83	473.41	1111.82	1350.18	1081.39	1437.15	1233.75	1088.92	1457.23	780.44	921.88	373.81	1088.92	1417.35	1295.13	1259.69	733.19	909.17	2163.77	1008.9	1378.57	1066.48	703.28	1268.46	902.89	748.61	1051.79	1295.13	1037.29	1216.75	769.69	1001.93	1023.0	1628.26	1594.73	1233.75	1508.65	848.22	638.15	674.59	1295.13	1088.92
RRP15	44.25	114.36	414.87	163.28	208.38	441.64	332.14	209.84	255.0	88.88	63.89	92.05	176.29	339.14	226.54	68.55	84.04	215.77	316.37	167.9	307.69	279.14	253.23	348.71	127.0	164.42	61.25	269.6	244.57	237.86	295.11	118.43	211.31	563.18	155.5	202.66	180.02	185.11	381.68	217.27	186.4	198.47	368.65	119.26	221.86	164.42	223.41	215.77	400.71	379.04	132.44	332.14	169.07	140.04	111.99	220.32	221.86
SAR1B	679.29	587.13	1268.46	525.39	830.75	988.12	1733.13	684.02	866.07	507.46	325.29	260.38	470.14	1199.98	878.17	447.82	249.73	629.35	1225.22	651.58	1233.75	1151.06	529.06	1216.75	291.04	718.08	547.75	954.43	1286.18	698.41	780.44	327.56	500.46	1127.35	368.65	780.44	426.57	320.8	947.83	785.88	708.18	819.3	1447.15	813.63	669.92	543.96	567.1	684.02	1081.39	1127.35	1233.75	1023.0	540.19	366.09	267.73	1044.52	743.43
SCGB1A1	1273174.62	3336720.86	485798.0	845824.19	2581895.97	66449.85	554180.87	1813064.98	1212874.47	2141216.62	14163.58	3178687.03	2343119.96	2068278.89	834179.46	1093103.58	54727.32	1131651.83	711250.37	3156730.23	4903.87	721179.07	985160.01	971597.0	2691538.19	3178687.03	87075.75	1556634.79	472513.8	3091765.64	1229805.58	828417.36	3968052.37	1155430.26	3134925.09	1290947.48	1212874.47	565825.41	998912.34	2082664.91	2825352.59	1012856.65	32315.87	2691538.19	1943195.01	998912.34	1005860.33	3070409.25	811368.76	938500.81	875652.15	2645.74	1374046.07	1572.76	30151.71	419990.32	389157.95
SCO1	180.02	332.14	444.72	301.33	356.05	753.83	454.09	251.48	395.18	273.37	212.78	212.78	325.29	412.0	503.95	277.2	239.52	314.17	376.41	301.33	543.96	460.44	389.72	444.72	220.32	277.2	228.13	376.41	420.68	438.59	361.04	325.29	303.44	525.39	339.14	318.57	228.13	356.05	616.37	363.56	438.59	412.0	423.61	281.09	299.25	279.14	397.93	325.29	567.1	490.14	500.46	466.88	236.21	242.88	325.29	591.22	351.14
SDAD1	212.78	289.02	525.39	361.04	395.18	674.59	500.46	460.44	460.44	281.09	244.57	244.57	297.17	543.96	547.75	281.09	236.21	435.55	555.41	384.34	684.02	514.56	463.65	928.3	295.11	368.65	212.78	571.05	543.96	563.18	493.56	283.05	447.82	769.69	343.89	483.38	353.59	279.14	555.41	420.68	281.09	395.18	642.59	559.28	503.95	348.71	395.18	361.04	624.99	563.18	540.19	540.19	332.14	234.57	293.07	444.72	480.04
SDF2L1	511.0	595.34	2645.74	579.04	543.96	2075.59	2367.9	723.08	842.36	587.13	551.56	587.13	563.18	1437.15	2240.11	1059.11	559.28	941.27	902.89	743.43	1111.82	1159.07	688.78	624.99	532.74	567.1	412.0	688.78	928.3	708.18	1225.22	543.96	575.03	1397.83	575.03	1757.34	753.83	400.71	1111.82	974.5	854.13	860.08	1794.29	493.56	1015.93	447.82	616.37	599.49	2224.63	2502.97	974.5	2520.38	575.03	400.71	708.18	2090.03	647.07
SEPHS2	651.58	866.07	1583.71	708.18	728.11	974.5	1628.26	1378.57	1340.84	878.17	543.96	318.57	967.76	854.13	1277.29	665.29	395.18	1159.07	1551.09	1015.93	1322.37	1561.89	1199.98	1331.57	480.04	1037.29	356.05	1304.15	1143.1	1191.69	1183.45	607.87	967.76	1551.09	591.22	1208.34	1378.57	698.41	1175.27	1111.82	902.89	1561.89	2303.12	947.83	1378.57	624.99	1096.5	1159.07	1427.22	1508.65	1151.06	1721.16	941.27	400.71	616.37	1183.45	896.64
SERBP1	3146.52	2367.9	4903.87	2178.83	3955.48	5831.91	4543.8	2468.49	2271.4	1561.89	1651.0	2032.85	1896.65	4736.79	4481.23	2645.74	1561.89	2075.59	3874.05	2468.49	4903.87	3443.31	3349.13	3928.15	2224.63	1909.85	1594.73	3280.18	3589.58	2875.3	2451.44	2351.53	1883.54	5112.16	2061.24	2739.08	2061.24	2090.03	4543.8	2682.69	2555.58	2796.65	3716.2	1674.06	2555.58	2148.82	2645.74	2935.74	5517.27	4736.79	4328.55	3955.48	1662.49	1733.13	2133.97	5672.41	2758.13
SET	4095.0	3212.66	5147.73	3146.52	4268.94	6652.97	5219.6	3190.46	3716.2	1628.26	2956.17	2835.7	2502.97	7749.1	5441.3	2997.45	2701.35	3060.45	6079.61	2485.67	6471.02	4671.57	3794.3	9876.98	3146.52	2104.58	2224.63	4268.94	4123.49	4038.61	3235.01	4010.71	2384.37	8134.41	2451.44	4239.45	2976.74	2555.58	5041.77	3395.89	3874.05	2915.45	5555.65	3081.75	3467.27	2777.33	3768.09	3768.09	5672.41	5479.15	8479.89	4388.98	1977.24	2400.97	2935.74	5633.22	3982.99
SLC33A1	299.25	277.2	921.88	217.27	258.57	525.39	728.11	371.22	454.09	281.09	271.48	239.52	189.02	708.18	688.78	307.69	271.48	435.55	591.22	318.57	1111.82	559.28	454.09	769.69	279.14	220.32	387.02	540.19	358.54	327.56	438.59	253.23	218.79	444.72	301.33	536.45	239.52	301.33	406.31	251.48	327.56	348.71	660.68	260.38	348.71	297.17	318.57	343.89	454.09	860.08	387.02	660.68	231.32	249.73	190.34	543.96	363.56
SLC35B1	656.11	1135.2	2090.03	1051.79	961.07	1781.89	1709.26	1250.98	1191.69	1015.93	848.22	954.43	1216.75	2400.97	1583.71	848.22	743.43	1457.23	1832.01	1151.06	1709.26	1662.49	1417.35	1781.89	954.43	1015.93	703.28	1295.13	1674.06	1519.15	1561.89	780.44	988.12	2384.37	860.08	2224.63	1208.34	860.08	1487.87	1037.29	1286.18	1259.69	1844.76	1242.34	1437.15	842.36	1081.39	1216.75	2133.97	2303.12	1697.45	2609.3	1119.56	738.29	825.0	1508.65	1159.07
SLC52A2	373.81	612.11	1350.18	450.94	303.44	1909.85	1467.37	921.88	775.05	802.41	633.73	450.94	854.13	1594.73	1277.29	620.67	486.75	896.64	1781.89	647.07	981.29	1096.5	813.63	974.5	414.87	591.22	460.44	791.35	1447.15	909.17	988.12	543.96	466.88	2075.59	412.0	1111.82	836.53	423.61	1295.13	1008.9	559.28	928.3	1175.27	595.34	1143.1	454.09	647.07	543.96	1561.89	1639.59	848.22	2163.77	780.44	273.37	559.28	1417.35	599.49
SLC5A6	269.6	116.78	447.82	156.59	175.07	532.74	420.68	351.14	327.56	241.19	146.03	201.25	220.32	612.11	633.73	195.72	100.83	341.51	470.14	389.72	603.67	273.37	260.38	348.71	171.45	260.38	120.94	500.46	500.46	242.88	307.69	148.09	232.94	967.76	190.34	555.41	312.0	120.94	567.1	253.23	155.5	185.11	567.1	253.23	417.77	221.86	206.94	159.9	551.56	764.36	521.76	743.43	237.86	132.44	186.4	384.34	275.28
SNRPD1	684.02	1277.29	2032.85	830.75	1066.48	3768.09	2133.97	995.0	1175.27	688.78	518.15	679.29	633.73	2240.11	1819.35	723.08	441.64	1119.56	1529.73	616.37	2163.77	1331.57	1295.13	2209.26	490.14	1073.91	267.73	1073.91	1498.22	1073.91	1359.57	603.67	693.58	2367.9	928.3	1159.07	995.0	651.58	2018.8	1225.22	1159.07	967.76	1697.45	1250.98	1529.73	620.67	1037.29	974.5	2758.13	2468.49	4937.99	1359.57	775.05	389.72	493.56	2255.7	1023.0
SRP72	656.11	928.3	2090.03	878.17	1407.55	2090.03	1757.34	1151.06	1277.29	629.35	718.08	703.28	890.44	2537.92	1331.57	854.13	665.29	1183.45	1923.14	1030.12	1794.29	1508.65	1427.22	2682.69	713.11	915.51	638.15	1583.71	1519.15	1508.65	1605.83	934.76	915.51	3372.43	902.89	1583.71	1135.2	651.58	1594.73	954.43	1151.06	1322.37	1991.0	1259.69	1191.69	1096.5	836.53	1119.56	2148.82	2075.59	1697.45	2018.8	854.13	567.1	902.89	1870.53	1208.34
SRPRB	532.74	493.56	1540.37	511.0	603.67	1605.83	1594.73	808.0	728.11	540.19	366.09	423.61	497.0	1991.0	1268.46	693.58	518.15	890.44	1733.13	629.35	1498.22	1183.45	679.29	1322.37	371.22	624.99	426.57	974.5	1477.58	836.53	921.88	483.38	651.58	2104.58	463.65	1417.35	543.96	316.37	1151.06	954.43	665.29	693.58	1397.83	674.59	819.3	599.49	518.15	547.75	1359.57	1757.34	1286.18	2287.2	406.31	343.89	438.59	1350.18	780.44
SSR1	1199.98	915.51	3540.14	1059.11	1066.48	2664.15	3146.52	1277.29	1628.26	934.76	842.36	954.43	1151.06	3257.52	2956.17	995.0	1023.0	1277.29	2701.35	1127.35	4210.15	2645.74	1467.37	3190.46	988.12	1030.12	785.88	1844.76	2682.69	1721.16	1950.0	1388.16	769.69	2573.36	1127.35	2417.67	1183.45	1051.79	1883.54	1508.65	1605.83	1832.01	2758.13	1295.13	1313.23	1322.37	1340.84	1572.76	3280.18	3303.0	3325.99	3515.68	902.89	1081.39	1242.34	2816.11	1583.71
SSR3	2915.45	1870.53	5831.91	1437.15	1794.29	4972.34	5112.16	2468.49	2573.36	1662.49	1350.18	1487.87	1572.76	5403.7	3955.48	2178.83	1407.55	2351.53	5292.48	2271.4	4972.34	3768.09	2163.77	4869.99	1628.26	2032.85	2178.83	3419.52	4450.27	2004.85	2720.15	1605.83	1529.73	3060.45	1745.2	3564.78	2047.0	1936.53	3443.31	2956.17	2468.49	2935.74	4512.4	1991.0	2468.49	1781.89	2004.85	1745.2	4903.87	5112.16	4095.0	6887.62	1769.57	1304.15	1508.65	5041.77	2287.2
SYNCRIP	616.37	607.87	2004.85	738.29	981.29	1936.53	2119.22	764.36	1151.06	780.44	775.05	620.67	791.35	1519.15	1896.65	575.03	540.19	902.89	1896.65	866.07	2796.65	1639.59	1199.98	2609.3	616.37	728.11	426.57	1331.57	1769.57	1572.76	1313.23	830.75	830.75	3212.66	780.44	1519.15	796.86	684.02	1883.54	1088.92	967.76	1233.75	1844.76	860.08	1037.29	915.51	1001.93	1081.39	2090.03	1844.76	2209.26	2193.99	780.44	642.59	769.69	2303.12	1199.98
TARS	769.69	813.63	2178.83	540.19	1233.75	2303.12	2193.99	1225.22	1286.18	368.65	665.29	567.1	941.27	2319.15	1662.49	728.11	555.41	1350.18	1870.53	483.38	3060.45	2255.7	688.78	3372.43	890.44	718.08	476.71	2104.58	1639.59	1407.55	796.86	620.67	665.29	2609.3	688.78	1340.84	620.67	595.34	2047.0	2047.0	1081.39	902.89	3467.27	848.22	954.43	842.36	848.22	748.61	1477.58	2303.12	2133.97	2520.38	642.59	684.02	616.37	1757.34	1135.2
TFG	1295.13	1037.29	2591.27	1304.15	2351.53	3665.02	2701.35	1277.29	1119.56	941.27	759.08	1001.93	1467.37	2855.44	3060.45	866.07	915.51	1143.1	1806.78	1015.93	4972.34	1628.26	1322.37	3081.75	915.51	902.89	1015.93	1733.13	1437.15	1583.71	1639.59	738.29	1199.98	2895.31	1127.35	1477.58	1111.82	808.0	2875.3	1350.18	2018.8	1286.18	1769.57	1639.59	1225.22	1295.13	1259.69	1233.75	2090.03	1991.0	4239.45	2163.77	713.11	974.5	1225.22	2555.58	1628.26
TIMM17A	406.31	830.75	1519.15	507.46	890.44	2400.97	1331.57	780.44	718.08	551.56	490.14	414.87	674.59	1540.37	1096.5	748.61	371.22	836.53	1191.69	684.02	1417.35	1044.52	718.08	1066.48	373.81	669.92	507.46	836.53	1313.23	896.64	791.35	480.04	665.29	1870.53	529.06	1066.48	587.13	521.76	1191.69	733.19	780.44	860.08	1037.29	693.58	748.61	543.96	718.08	660.68	1721.16	1407.55	1651.0	1685.71	612.11	353.59	460.44	1769.57	743.43
TMED10	2451.44	5076.84	11909.94	3124.78	3589.58	5791.62	9808.75	3515.68	3235.01	2777.33	1697.45	3060.45	2061.24	8191.0	4671.57	3716.2	2485.67	3349.13	9151.82	4298.64	8963.45	7081.29	5633.22	5112.16	3060.45	2976.74	3515.68	5076.84	6516.03	3820.7	6079.61	2875.3	3235.01	4836.35	2119.22	6337.83	3794.3	3515.68	4038.61	4543.8	6516.03	4869.99	6935.54	3639.7	3443.31	2935.74	3257.52	7537.18	10585.95	7803.01	4869.99	7280.4	3443.31	2451.44	2627.46	5633.22	4736.79
TMED5	1073.91	1044.52	2047.0	348.71	1561.89	1437.15	1277.29	1159.07	1066.48	521.76	612.11	366.09	703.28	1331.57	2720.15	764.36	348.71	775.05	1477.58	543.96	2193.99	1844.76	785.88	2224.63	414.87	599.49	656.11	1183.45	1111.82	1111.82	1304.15	902.89	674.59	1819.35	507.46	1151.06	1175.27	587.13	785.88	665.29	872.1	1417.35	1447.15	507.46	698.41	947.83	1104.13	813.63	1023.0	1583.71	1119.56	1167.14	1030.12	406.31	555.41	1216.75	1001.93
TMED7	493.56	743.43	1487.87	723.08	1651.0	1397.83	1340.84	954.43	825.0	483.38	547.75	890.44	599.49	2018.8	1350.18	708.18	703.28	836.53	1216.75	486.75	2032.85	1322.37	934.76	1819.35	830.75	595.34	769.69	1477.58	890.44	934.76	1119.56	878.17	738.29	1721.16	718.08	1199.98	660.68	651.58	902.89	759.08	1561.89	854.13	1242.34	813.63	660.68	995.0	848.22	934.76	1388.16	1359.57	1208.34	1322.37	555.41	642.59	785.88	1199.98	967.76
TMEM185B	152.28	215.77	660.68	253.23	334.46	463.65	486.75	379.04	447.82	236.21	147.06	150.17	275.28	444.72	384.34	122.64	221.86	426.57	583.07	325.29	567.1	507.46	339.14	616.37	195.72	303.44	120.94	466.88	483.38	547.75	403.5	113.56	285.03	813.63	214.27	457.25	366.09	205.5	624.99	423.61	221.86	363.56	591.22	412.0	497.0	287.01	279.14	325.29	514.56	521.76	525.39	665.29	281.09	146.03	175.07	414.87	351.14
