	TCGA.AZ.6605.11A.01R.1839.07	GTEX.1399R.2226.SM.5P9JB	GTEX.Y8LW.1226.SM.4WWDP	GTEX.14E6E.1526.SM.5RQIG	GTEX.ZPIC.2626.SM.57WE2	GTEX.W5WG.2426.SM.4LMI6	GTEX.13PL7.2426.SM.5J2N3	GTEX.ZPCL.1626.SM.57WGC	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.BR.A4J9.01A.12R.A251.31	GTEX.P4PQ.1526.SM.3NMCK	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG
FAM89A	88.26	30.12	60.39	28.45	34.51	43.02	29.06	39.22	65.26	155.5	94.01	26.67	27.64	273.37	176.29	236.21	73.54	121.79	166.73	24.63	80.01	119.26	66.18	52.45	84.04	55.1	128.79
FGF2	555.41	6.73	170.25	8.13	163.28	19.39	141.02	197.09	483.38	490.14	0.83	2.71	10.16	351.14	309.83	483.38	295.11	262.2	348.71	267.73	248.0	379.04	215.77	249.73	450.94	199.85	318.57
FJX1	45.21	2.51	27.05	0.71	16.39	6.46	12.09	20.86	71.0	186.4	37.05	36.01	22.75	153.34	74.06	55.89	49.56	64.34	229.72	35.0	96.68	69.03	57.49	47.17	72.52	113.56	73.54
FSTL3	1175.27	99.43	521.76	81.71	314.17	114.36	579.04	341.51	4639.29	2351.53	94.67	395.18	269.6	2664.15	1167.14	1639.59	872.1	1936.53	1359.57	536.45	1051.79	620.67	1936.53	684.02	708.18	921.88	902.89
GAN	56.68	23.25	27.84	35.25	53.19	37.32	54.33	50.63	71.5	87.65	10.08	8.19	13.62	88.26	57.49	103.69	38.12	132.44	82.29	39.79	29.27	24.11	52.08	51.35	65.72	80.57	67.59
GUCY1A2	19.82	0.65	5.19	1.08	5.02	1.33	3.41	3.99	25.54	18.7	2.27	1.36	5.02	27.25	24.11	20.56	9.13	17.77	15.0	5.82	28.24	7.34	17.0	14.24	11.21	11.73	7.94
HDGFRP3	1286.18	32.36	698.41	23.25	764.36	83.45	366.09	684.02	866.07	1769.57	8.85	205.5	525.39	1909.85	1242.34	1572.76	1378.57	1175.27	2163.77	1111.82	967.76	1529.73	1259.69	1008.9	1313.23	1081.39	1073.91
HIVEP2	173.85	25.17	98.04	35.5	98.73	51.35	51.71	76.17	256.78	780.44	15.91	27.05	45.85	297.17	155.5	291.04	139.07	287.01	381.68	172.65	325.29	190.34	228.13	175.07	214.27	301.33	190.34
IGFBPL1	7.17	0.0	8.13	0.0	5.11	6.36	1.75	1.79	9.56	82.29	0.0	0.32	3.2	126.12	48.87	71.5	6.62	68.07	61.68	9.2	187.71	54.72	438.59	33.78	38.12	21.63	77.25
KCNJ8	1295.13	11.73	204.07	15.56	178.77	22.92	107.38	152.28	1605.83	860.08	56.28	15.91	31.45	954.43	769.69	638.15	518.15	198.47	579.04	343.89	656.11	684.02	444.72	480.04	591.22	429.54	406.31
KCNK2	23.25	1.53	3.82	2.97	5.96	3.63	2.68	9.63	8.65	80.01	0.0	0.4	1.75	127.0	115.97	35.0	17.0	17.0	3.92	3.69	27.44	15.22	9.78	2.89	14.35	39.79	10.71
KCTD20	1008.9	171.45	518.15	186.4	540.19	241.19	334.46	500.46	842.36	1594.73	432.53	220.32	381.68	860.08	587.13	860.08	684.02	595.34	1044.52	674.59	1111.82	825.0	842.36	723.08	785.88	988.12	928.3
KIRREL	660.68	21.78	224.97	13.83	279.14	52.08	180.02	181.28	607.87	866.07	9.2	11.38	41.81	995.0	733.19	591.22	373.81	571.05	466.88	283.05	591.22	323.03	624.99	406.31	392.44	346.29	466.88
