	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
EIF3M	8191.0	6121.9	9215.48	6561.36	5517.27	10808.41	7433.4	6745.86	8022.41	9808.75	6652.97	7130.55	5913.33	9876.98	11504.21	5219.6	4972.34	6121.9	7911.95	4972.34	4298.64	6037.61	7589.61	4937.99	6840.04	5517.27	4181.07	4358.66	5517.27	5041.77	5751.61	5633.22	4607.24	5112.16	5517.27	6699.25	4639.29	5594.3	6561.36	5711.87	3901.01	5594.3	7130.55	7180.15	5633.22	4543.8	6294.04	5555.65	7032.37	5112.16	5751.61	4937.99	5831.91	4298.64	6652.97	4836.35	5831.91	4543.8	4836.35	4736.79	6652.97	5041.77	5672.41
EMC2	1709.26	1030.12	2855.44	1277.29	1111.82	2224.63	1477.58	1286.18	1295.13	1359.57	1167.14	1295.13	1508.65	1628.26	2287.2	854.13	890.44	995.0	1378.57	842.36	860.08	1111.82	1467.37	718.08	1295.13	1369.04	1037.29	866.07	1199.98	909.17	1183.45	1143.1	995.0	1135.2	967.76	1159.07	947.83	1051.79	1135.2	1259.69	718.08	1030.12	1617.0	1551.09	872.1	890.44	1191.69	947.83	1119.56	974.5	1073.91	1037.29	1081.39	1059.11	1225.22	921.88	1044.52	1096.5	1111.82	1044.52	1088.92	872.1	1199.98
ENOPH1	890.44	674.59	1233.75	802.41	842.36	2935.74	896.64	764.36	884.29	1008.9	1015.93	693.58	981.29	759.08	1088.92	684.02	860.08	848.22	854.13	551.56	493.56	796.86	866.07	483.38	796.86	698.41	525.39	435.55	688.78	532.74	547.75	860.08	543.96	579.04	555.41	693.58	620.67	563.18	656.11	656.11	339.14	595.34	842.36	896.64	432.53	567.1	860.08	571.05	854.13	642.59	629.35	571.05	674.59	547.75	547.75	603.67	620.67	665.29	567.1	571.05	703.28	543.96	728.11
F11R	3982.99	3146.52	3146.52	3039.3	2319.15	2627.46	3395.89	3395.89	2319.15	2400.97	2061.24	2591.27	2303.12	1950.0	2255.7	1477.58	688.78	2061.24	1963.57	2400.97	1259.69	2004.85	1769.57	2816.11	1259.69	1923.14	1286.18	1806.78	1605.83	1697.45	1259.69	1457.23	1936.53	1286.18	1769.57	1551.09	2240.11	2004.85	1806.78	1250.98	1467.37	1427.22	2240.11	1628.26	1216.75	1407.55	1909.85	1628.26	1757.34	1477.58	1639.59	1936.53	2240.11	1757.34	2351.53	1359.57	1437.15	2104.58	1225.22	1745.2	1896.65	1923.14	2502.97
FBXO22	1088.92	796.86	890.44	785.88	679.29	1175.27	896.64	688.78	780.44	896.64	723.08	567.1	733.19	476.71	493.56	351.14	476.71	525.39	470.14	332.14	334.46	414.87	679.29	269.6	366.09	483.38	289.02	417.77	447.82	303.44	387.02	417.77	400.71	371.22	320.8	283.05	397.93	403.5	366.09	412.0	241.19	373.81	392.44	293.07	258.57	368.65	454.09	395.18	312.0	312.0	409.15	314.17	287.01	444.72	376.41	395.18	400.71	329.84	379.04	460.44	466.88	275.28	514.56
FKBP3	2997.45	2351.53	3491.39	1781.89	2255.7	2468.49	2061.24	1617.0	1870.53	1844.76	2319.15	1498.22	1529.73	1437.15	1870.53	1594.73	1457.23	1417.35	1498.22	1151.06	1015.93	1250.98	1417.35	941.27	1628.26	1685.71	1030.12	1023.0	1487.87	1119.56	1242.34	1340.84	1159.07	1135.2	1359.57	1477.58	1295.13	1250.98	1519.15	1437.15	1143.1	1143.1	2047.0	1487.87	947.83	1427.22	1447.15	974.5	1757.34	1427.22	1313.23	915.51	866.07	1242.34	1051.79	1350.18	1030.12	1135.2	1059.11	1467.37	1639.59	1605.83	1378.57
FYTTD1	1250.98	1037.29	1250.98	1286.18	1605.83	1359.57	878.17	1369.04	1477.58	1397.83	1250.98	1467.37	2319.15	1561.89	1991.0	547.75	376.41	647.07	1073.91	693.58	633.73	796.86	1159.07	525.39	896.64	967.76	612.11	559.28	825.0	540.19	647.07	902.89	688.78	656.11	518.15	571.05	813.63	780.44	612.11	854.13	356.05	780.44	1250.98	961.07	612.11	679.29	738.29	647.07	808.0	567.1	769.69	769.69	656.11	791.35	1059.11	490.14	599.49	563.18	743.43	808.0	759.08	583.07	884.29
GDI2	6652.97	4095.0	6037.61	5147.73	5255.91	6037.61	4298.64	4972.34	5403.7	5403.7	4450.27	4123.49	4419.52	4972.34	6887.62	1896.65	2287.2	2816.11	2915.45	2816.11	2627.46	2835.7	2701.35	1561.89	2664.15	3235.01	2384.37	2090.03	2956.17	2555.58	3443.31	2645.74	2664.15	2468.49	2520.38	2502.97	2271.4	2915.45	2645.74	2739.08	1709.26	2935.74	3168.41	3794.3	2271.4	2468.49	2520.38	2434.5	2976.74	2468.49	3257.52	2240.11	2502.97	2004.85	3639.7	2591.27	2720.15	2163.77	2434.5	2032.85	2739.08	2224.63	2701.35
GGPS1	3443.31	2178.83	2075.59	2303.12	1662.49	3794.3	2627.46	2061.24	2434.5	2163.77	1457.23	1127.35	1467.37	1540.37	2664.15	514.56	733.19	954.43	1037.29	698.41	555.41	802.41	1037.29	497.0	738.29	1015.93	559.28	571.05	808.0	688.78	595.34	902.89	713.11	540.19	775.05	780.44	802.41	796.86	808.0	830.75	486.75	669.92	1175.27	1143.1	518.15	703.28	890.44	669.92	988.12	791.35	693.58	567.1	693.58	748.61	684.02	764.36	791.35	500.46	669.92	713.11	921.88	728.11	808.0
GLUD1	2367.9	3467.27	1909.85	3303.0	3982.99	1781.89	4268.94	3060.45	2720.15	4066.71	3515.68	3467.27	3081.75	4802.93	9025.81	921.88	748.61	2796.65	2537.92	1832.01	1639.59	2434.5	1977.24	2335.28	2133.97	3467.27	2090.03	1519.15	2061.24	1628.26	1498.22	1781.89	1388.16	1844.76	1331.57	1295.13	1674.06	2240.11	2163.77	2537.92	1259.69	1819.35	3235.01	2367.9	1662.49	1757.34	2384.37	1709.26	2664.15	1674.06	1369.04	1844.76	2271.4	2018.8	2209.26	1388.16	1721.16	2816.11	1583.71	1757.34	1950.0	1350.18	2468.49
GNAI3	1498.22	1023.0	1487.87	1250.98	1313.23	1870.53	1066.48	1313.23	1498.22	713.11	1651.0	1233.75	1096.5	1651.0	1674.06	423.61	318.57	660.68	785.88	669.92	620.67	620.67	698.41	281.09	591.22	791.35	518.15	454.09	733.19	540.19	612.11	688.78	603.67	624.99	497.0	511.0	638.15	616.37	583.07	703.28	376.41	698.41	819.3	753.83	490.14	607.87	616.37	607.87	703.28	620.67	629.35	525.39	679.29	620.67	921.88	551.56	665.29	540.19	624.99	587.13	521.76	521.76	669.92
GNB1	4869.99	4123.49	3491.39	4869.99	4769.75	4736.79	4038.61	4937.99	5329.3	4123.49	5255.91	5041.77	4937.99	4869.99	4607.24	2367.9	2047.0	3874.05	3982.99	3716.2	3639.7	3589.58	4123.49	2303.12	3847.29	3955.48	3372.43	2664.15	3614.55	3372.43	3443.31	4575.41	3467.27	2875.3	3081.75	3491.39	4066.71	4066.71	3742.05	3768.09	1923.14	3768.09	3303.0	3419.52	2997.45	3515.68	4152.18	3280.18	4010.71	3168.41	2976.74	3212.66	3540.14	2935.74	4038.61	3018.3	3103.19	3039.3	3280.18	2997.45	3395.89	3060.45	3614.55
GNPNAT1	1628.26	599.49	1697.45	688.78	961.07	796.86	660.68	536.45	1151.06	476.71	693.58	571.05	674.59	603.67	2627.46	100.83	165.57	264.03	232.94	167.9	128.79	142.01	122.64	35.25	212.78	197.09	127.89	108.14	177.53	141.02	144.01	127.89	129.69	121.79	123.5	108.9	111.99	202.66	185.11	229.72	103.69	172.65	206.94	169.07	128.79	229.72	116.78	139.07	297.17	127.89	166.73	121.79	100.13	120.94	267.73	170.25	125.24	128.79	138.1	88.26	127.89	155.5	119.26
GOLPH3	3742.05	2645.74	2384.37	2417.67	2591.27	2739.08	2240.11	2119.22	2047.0	1936.53	2434.5	1896.65	2915.45	2645.74	4210.15	728.11	1199.98	1216.75	1487.87	1199.98	1151.06	1437.15	1447.15	921.88	1167.14	1819.35	995.0	1059.11	1457.23	1096.5	1023.0	1277.29	1159.07	995.0	941.27	1119.56	1250.98	1208.34	961.07	1216.75	764.36	1378.57	1529.73	1519.15	1066.48	1073.91	1183.45	1388.16	1250.98	1417.35	1143.1	1127.35	1350.18	1259.69	1427.22	1167.14	1350.18	1143.1	1268.46	1183.45	1135.2	1023.0	1175.27
GTPBP10	591.22	466.88	536.45	283.05	473.41	718.08	529.06	559.28	728.11	511.0	450.94	583.07	607.87	567.1	1081.39	206.94	258.57	343.89	323.03	273.37	206.94	185.11	307.69	262.2	228.13	351.14	277.2	239.52	312.0	157.68	273.37	303.44	275.28	241.19	269.6	334.46	255.0	299.25	291.04	269.6	279.14	202.66	444.72	397.93	195.72	229.72	277.2	234.57	351.14	255.0	201.25	258.57	271.48	239.52	234.57	223.41	262.2	283.05	264.03	281.09	253.23	291.04	228.13
H2AFZ	8247.98	6561.36	9808.75	5913.33	4239.45	13872.08	4038.61	4239.45	5913.33	5995.9	4836.35	3742.05	4671.57	3742.05	3372.43	2367.9	2537.92	3168.41	3467.27	3820.7	3280.18	2796.65	3614.55	2032.85	3467.27	3467.27	2319.15	2645.74	3039.3	3540.14	3103.19	2701.35	2537.92	2701.35	2384.37	3168.41	2537.92	2739.08	2468.49	3589.58	2148.82	4239.45	2520.38	2627.46	2335.28	2777.33	2645.74	3146.52	2796.65	4512.4	3614.55	3614.55	2915.45	2367.9	2555.58	3982.99	3419.52	3212.66	3564.78	2018.8	3768.09	2502.97	2573.36
HAUS2	674.59	341.51	511.0	409.15	368.65	981.29	339.14	334.46	417.77	320.8	312.0	450.94	473.41	679.29	532.74	143.01	90.14	220.32	299.25	197.09	201.25	229.72	214.27	169.07	177.53	303.44	193.01	204.07	193.01	224.97	145.02	279.14	181.28	178.77	166.73	175.07	229.72	180.02	287.01	234.57	142.01	212.78	309.83	323.03	158.79	164.42	253.23	194.36	217.27	187.71	199.85	202.66	228.13	229.72	255.0	176.29	220.32	163.28	209.84	154.42	246.28	175.07	211.31
HDAC2	2502.97	1745.2	2319.15	1639.59	2004.85	2915.45	854.13	2047.0	2163.77	1857.6	1250.98	2384.37	2417.67	2335.28	1923.14	764.36	466.88	1175.27	1388.16	1143.1	1259.69	1277.29	1259.69	1183.45	1322.37	1447.15	1037.29	1030.12	1119.56	1073.91	1350.18	1127.35	1183.45	1359.57	854.13	890.44	1051.79	1313.23	1088.92	1583.71	808.0	1407.55	1572.76	2075.59	1081.39	954.43	1008.9	1143.1	1295.13	1015.93	1286.18	1119.56	1216.75	1259.69	1388.16	1088.92	995.0	954.43	1183.45	1167.14	1081.39	1111.82	1417.35
HINT3	633.73	525.39	473.41	518.15	620.67	583.07	334.46	575.03	559.28	616.37	312.0	896.64	813.63	825.0	981.29	241.19	122.64	587.13	669.92	409.15	409.15	529.06	647.07	373.81	525.39	470.14	299.25	299.25	525.39	291.04	323.03	563.18	441.64	312.0	397.93	447.82	463.65	476.71	679.29	473.41	281.09	368.65	733.19	587.13	327.56	312.0	616.37	395.18	507.46	395.18	441.64	412.0	406.31	429.54	521.76	363.56	358.54	309.83	397.93	400.71	397.93	381.68	567.1
IER3IP1	2075.59	2090.03	1832.01	1769.57	1923.14	2384.37	1819.35	1561.89	1697.45	2004.85	1359.57	1447.15	1605.83	1674.06	1806.78	1208.34	1037.29	1233.75	1225.22	866.07	836.53	1225.22	1359.57	796.86	1199.98	1199.98	819.3	620.67	1233.75	688.78	934.76	1151.06	808.0	947.83	703.28	842.36	878.17	896.64	1008.9	1096.5	638.15	1051.79	1378.57	1143.1	665.29	974.5	1199.98	860.08	967.76	1167.14	1119.56	748.61	934.76	878.17	902.89	1073.91	1066.48	813.63	878.17	872.1	1286.18	878.17	1127.35
IFNAR1	1467.37	988.12	1498.22	1286.18	1437.15	1757.34	785.88	967.76	928.3	941.27	884.29	1467.37	1331.57	1721.16	1467.37	423.61	429.54	896.64	1023.0	567.1	532.74	753.83	872.1	642.59	738.29	1030.12	511.0	463.65	665.29	414.87	412.0	961.07	616.37	429.54	583.07	629.35	713.11	638.15	825.0	723.08	412.0	525.39	995.0	954.43	397.93	429.54	785.88	511.0	860.08	447.82	525.39	563.18	733.19	567.1	860.08	571.05	547.75	483.38	563.18	532.74	728.11	507.46	934.76
IL13RA1	1991.0	2032.85	3716.2	1870.53	2148.82	1457.23	1407.55	2047.0	2417.67	2240.11	1519.15	2240.11	1674.06	2224.63	3515.68	624.99	490.14	708.18	718.08	703.28	536.45	616.37	830.75	796.86	571.05	759.08	571.05	547.75	624.99	679.29	521.76	780.44	660.68	651.58	567.1	656.11	796.86	620.67	713.11	785.88	559.28	669.92	884.29	1051.79	536.45	463.65	703.28	567.1	748.61	463.65	620.67	638.15	860.08	457.25	1143.1	420.68	483.38	563.18	612.11	591.22	679.29	518.15	693.58
IPO11	769.69	551.56	638.15	466.88	536.45	567.1	473.41	532.74	575.03	395.18	466.88	591.22	603.67	878.17	583.07	269.6	204.07	368.65	334.46	267.73	255.0	332.14	389.72	136.19	273.37	444.72	226.54	301.33	392.44	253.23	256.78	406.31	281.09	289.02	293.07	244.57	339.14	400.71	318.57	429.54	237.86	293.07	389.72	483.38	283.05	275.28	368.65	224.97	591.22	277.2	334.46	212.78	206.94	260.38	351.14	237.86	256.78	239.52	264.03	283.05	271.48	305.55	303.44
KIAA0586	429.54	239.52	299.25	275.28	249.73	371.22	215.77	246.28	426.57	387.02	291.04	323.03	293.07	318.57	299.25	156.59	144.01	128.79	149.12	130.6	155.5	135.24	145.02	107.38	181.28	221.86	148.09	165.57	178.77	150.17	163.28	155.5	158.79	149.12	194.36	150.17	173.85	185.11	125.24	185.11	153.34	159.9	180.02	224.97	145.02	171.45	142.01	133.36	183.82	130.6	170.25	163.28	145.02	182.55	204.07	119.26	142.01	177.53	149.12	147.06	189.02	148.09	130.6
KIF2A	616.37	397.93	336.79	371.22	366.09	547.75	329.84	457.25	497.0	503.95	309.83	563.18	624.99	409.15	255.0	101.54	39.79	167.9	312.0	183.82	218.79	223.41	348.71	228.13	279.14	551.56	145.02	153.34	211.31	212.78	189.02	171.45	224.97	224.97	105.89	131.51	164.42	246.28	253.23	264.03	87.03	234.57	373.81	514.56	125.24	116.78	138.1	152.28	209.84	111.21	312.0	242.88	172.65	193.01	414.87	85.82	172.65	199.85	348.71	121.79	146.03	152.28	277.2
KIF3B	743.43	536.45	808.0	728.11	607.87	507.46	521.76	708.18	764.36	780.44	555.41	607.87	825.0	567.1	708.18	229.72	275.28	688.78	723.08	423.61	384.34	642.59	733.19	336.79	518.15	540.19	316.37	403.5	490.14	332.14	351.14	656.11	536.45	395.18	521.76	480.04	651.58	616.37	775.05	540.19	262.2	417.77	728.11	642.59	447.82	406.31	688.78	466.88	563.18	293.07	339.14	457.25	426.57	432.53	547.75	332.14	409.15	392.44	435.55	438.59	444.72	400.71	679.29
KIF5B	2287.2	1417.35	2739.08	2075.59	1617.0	2255.7	1183.45	1757.34	1628.26	1639.59	1397.83	2303.12	2739.08	2520.38	2997.45	571.05	511.0	909.17	974.5	813.63	759.08	947.83	1151.06	669.92	1233.75	1073.91	647.07	728.11	1066.48	540.19	624.99	1037.29	860.08	723.08	521.76	587.13	698.41	808.0	825.0	759.08	412.0	825.0	1519.15	1295.13	620.67	759.08	941.27	791.35	830.75	500.46	708.18	825.0	884.29	842.36	1143.1	525.39	638.15	759.08	825.0	656.11	1023.0	583.07	1051.79
KPNA4	759.08	480.04	780.44	497.0	591.22	791.35	463.65	551.56	620.67	518.15	536.45	607.87	579.04	954.43	780.44	189.02	157.68	314.17	417.77	351.14	305.55	366.09	412.0	237.86	384.34	624.99	258.57	269.6	363.56	303.44	206.94	301.33	299.25	273.37	224.97	255.0	403.5	348.71	301.33	379.04	217.27	312.0	555.41	540.19	224.97	251.48	277.2	358.54	325.29	281.09	376.41	277.2	353.59	273.37	490.14	217.27	339.14	287.01	301.33	299.25	316.37	285.03	336.79
LRIF1	529.06	368.65	490.14	470.14	591.22	480.04	466.88	279.14	414.87	224.97	928.3	348.71	536.45	532.74	447.82	161.02	197.09	253.23	301.33	194.36	172.65	209.84	242.88	73.54	176.29	291.04	175.07	208.38	318.57	220.32	146.03	244.57	221.86	224.97	199.85	127.0	165.57	226.54	220.32	258.57	127.0	182.55	318.57	299.25	221.86	199.85	241.19	223.41	253.23	194.36	226.54	212.78	242.88	144.01	214.27	190.34	204.07	256.78	212.78	147.06	157.68	173.85	201.25
LRIG1	2434.5	1844.76	1066.48	3060.45	2104.58	825.0	4123.49	3190.46	2537.92	5076.84	2061.24	2956.17	2178.83	2816.11	2739.08	295.11	387.02	1088.92	1143.1	466.88	780.44	1359.57	896.64	1685.71	743.43	1143.1	785.88	563.18	583.07	1159.07	480.04	1037.29	624.99	633.73	1388.16	1295.13	1104.13	1015.93	860.08	1417.35	1081.39	693.58	1111.82	915.51	896.64	417.77	703.28	825.0	1427.22	406.31	473.41	718.08	1023.0	1030.12	703.28	406.31	941.27	974.5	536.45	1081.39	728.11	967.76	769.69
LYPLA1	1806.78	1781.89	3395.89	2367.9	3716.2	5594.3	1605.83	1023.0	1594.73	1143.1	1605.83	1551.09	2915.45	1651.0	5441.3	332.14	264.03	591.22	743.43	493.56	612.11	497.0	769.69	283.05	559.28	1233.75	503.95	376.41	629.35	579.04	575.03	579.04	486.75	647.07	384.34	490.14	483.38	591.22	633.73	616.37	348.71	532.74	1023.0	808.0	339.14	507.46	616.37	476.71	764.36	599.49	486.75	332.14	420.68	438.59	595.34	429.54	463.65	441.64	571.05	571.05	483.38	384.34	599.49
METTL18	536.45	480.04	540.19	518.15	289.02	368.65	269.6	563.18	503.95	507.46	381.68	336.79	366.09	221.86	287.01	151.22	127.0	249.73	287.01	101.54	206.94	129.69	187.71	116.78	187.71	417.77	177.53	111.99	218.79	211.31	205.5	231.32	258.57	198.47	211.31	249.73	181.28	269.6	177.53	341.51	131.51	251.48	371.22	320.8	199.85	195.72	175.07	221.86	251.48	241.19	226.54	195.72	220.32	153.34	265.87	229.72	197.09	271.48	214.27	224.97	242.88	221.86	140.04
MKI67IP	1857.6	1104.13	2178.83	1175.27	1295.13	2451.44	1407.55	1467.37	1832.01	1477.58	1498.22	1250.98	1233.75	1923.14	1467.37	733.19	629.35	733.19	607.87	698.41	529.06	555.41	656.11	612.11	723.08	738.29	406.31	583.07	547.75	460.44	679.29	728.11	698.41	775.05	759.08	764.36	591.22	660.68	490.14	854.13	547.75	921.88	896.64	1044.52	525.39	486.75	551.56	624.99	1216.75	718.08	791.35	532.74	753.83	473.41	928.3	651.58	616.37	647.07	738.29	693.58	651.58	624.99	684.02
MLH1	896.64	733.19	791.35	684.02	941.27	1023.0	791.35	647.07	587.13	819.3	748.61	684.02	500.46	708.18	1096.5	470.14	684.02	890.44	713.11	563.18	647.07	688.78	703.28	547.75	633.73	780.44	583.07	665.29	660.68	612.11	769.69	612.11	684.02	607.87	591.22	551.56	579.04	665.29	698.41	624.99	497.0	638.15	909.17	848.22	575.03	599.49	708.18	579.04	651.58	595.34	679.29	575.03	591.22	607.87	693.58	540.19	521.76	665.29	620.67	624.99	599.49	583.07	693.58
MOB1A	2777.33	1277.29	1950.0	1832.01	1844.76	3168.41	1167.14	1378.57	1806.78	954.43	1605.83	1883.54	1651.0	2061.24	1883.54	463.65	507.46	743.43	1111.82	728.11	791.35	825.0	1119.56	563.18	728.11	1242.34	624.99	567.1	954.43	571.05	698.41	802.41	769.69	802.41	490.14	642.59	684.02	988.12	728.11	848.22	599.49	748.61	1183.45	848.22	660.68	583.07	603.67	753.83	808.0	780.44	988.12	599.49	743.43	669.92	1191.69	728.11	769.69	713.11	848.22	656.11	718.08	629.35	825.0
MRPL1	642.59	536.45	563.18	447.82	497.0	753.83	476.71	543.96	713.11	543.96	518.15	616.37	540.19	733.19	651.58	351.14	314.17	356.05	429.54	339.14	403.5	463.65	414.87	185.11	351.14	476.71	366.09	366.09	341.51	339.14	420.68	457.25	376.41	389.72	307.69	412.0	379.04	361.04	409.15	441.64	309.83	346.29	432.53	563.18	395.18	470.14	361.04	258.57	361.04	473.41	373.81	371.22	379.04	384.34	371.22	323.03	389.72	379.04	417.77	432.53	265.87	389.72	470.14
MRPL30	1015.93	718.08	318.57	753.83	633.73	624.99	470.14	616.37	785.88	323.03	500.46	463.65	656.11	483.38	679.29	106.63	164.42	293.07	228.13	61.68	82.87	125.24	267.73	101.54	150.17	101.54	232.94	30.34	55.89	35.25	167.9	67.12	183.82	85.22	135.24	163.28	113.56	94.67	149.12	78.34	121.79	153.34	175.07	141.02	92.05	180.02	137.14	65.26	43.32	82.29	84.04	131.51	92.7	123.5	169.07	110.43	130.6	118.43	64.8	131.51	151.22	120.94	285.03
MRPL42	2061.24	1388.16	2178.83	1277.29	1304.15	2816.11	1378.57	1159.07	1519.15	1340.84	1896.65	1088.92	1008.9	1437.15	2351.53	521.76	514.56	866.07	1208.34	660.68	595.34	928.3	1037.29	679.29	728.11	1225.22	603.67	738.29	954.43	500.46	638.15	769.69	599.49	708.18	575.03	928.3	753.83	884.29	688.78	753.83	463.65	647.07	1259.69	967.76	460.44	638.15	738.29	633.73	848.22	769.69	733.19	493.56	529.06	656.11	718.08	693.58	753.83	518.15	775.05	733.19	642.59	567.1	748.61
MRPL45	1001.93	974.5	1023.0	902.89	954.43	1104.13	1135.2	1044.52	1151.06	1242.34	1540.37	2303.12	1199.98	1073.91	1651.0	860.08	476.71	819.3	860.08	567.1	599.49	878.17	854.13	543.96	665.29	1037.29	571.05	728.11	748.61	713.11	660.68	743.43	748.61	698.41	836.53	819.3	748.61	796.86	830.75	974.5	599.49	723.08	921.88	1051.79	813.63	529.06	808.0	753.83	825.0	796.86	607.87	693.58	759.08	642.59	785.88	669.92	738.29	684.02	738.29	674.59	708.18	743.43	753.83
MTERF	283.05	212.78	262.2	180.02	234.57	269.6	231.32	226.54	289.02	309.83	351.14	260.38	312.0	295.11	226.54	150.17	143.01	180.02	239.52	194.36	135.24	125.24	163.28	95.34	143.01	287.01	163.28	123.5	186.4	156.59	147.06	172.65	158.79	165.57	183.82	161.02	201.25	182.55	172.65	208.38	170.25	157.68	299.25	356.05	164.42	144.01	228.13	147.06	303.44	153.34	186.4	189.02	182.55	102.97	194.36	132.44	166.73	159.9	205.5	130.6	137.14	175.07	178.77
MYNN	417.77	353.59	334.46	432.53	429.54	307.69	336.79	420.68	379.04	356.05	343.89	500.46	587.13	591.22	351.14	157.68	107.38	269.6	320.8	236.21	251.48	194.36	293.07	176.29	177.53	403.5	224.97	275.28	279.14	275.28	285.03	251.48	209.84	289.02	244.57	195.72	277.2	264.03	241.19	303.44	223.41	289.02	395.18	392.44	312.0	195.72	253.23	242.88	249.73	221.86	287.01	260.38	273.37	279.14	339.14	218.79	279.14	285.03	277.2	234.57	170.25	202.66	244.57
NAA15	559.28	293.07	521.76	353.59	579.04	819.3	329.84	444.72	679.29	444.72	463.65	450.94	656.11	521.76	587.13	90.77	111.99	223.41	223.41	181.28	163.28	185.11	232.94	161.02	229.72	267.73	125.24	155.5	204.07	159.9	159.9	194.36	159.9	167.9	156.59	145.02	183.82	231.32	132.44	201.25	147.06	186.4	307.69	269.6	125.24	164.42	187.71	167.9	204.07	149.12	194.36	152.28	177.53	162.14	287.01	128.79	141.02	153.34	167.9	217.27	148.09	127.0	218.79
NEDD1	595.34	412.0	423.61	376.41	463.65	679.29	381.68	403.5	470.14	423.61	371.22	486.75	403.5	575.03	764.36	90.14	99.43	176.29	281.09	135.24	146.03	182.55	214.27	91.41	178.77	426.57	115.97	126.12	205.5	208.38	141.02	190.34	182.55	201.25	129.69	108.14	173.85	183.82	166.73	214.27	121.79	135.24	318.57	332.14	143.01	96.01	152.28	155.5	172.65	145.02	193.01	148.09	180.02	191.67	218.79	126.12	126.12	189.02	164.42	163.28	144.01	135.24	231.32
NLN	651.58	403.5	438.59	277.2	373.81	660.68	412.0	397.93	624.99	460.44	329.84	368.65	571.05	307.69	450.94	59.97	65.26	190.34	183.82	187.71	166.73	140.04	130.6	126.12	107.38	260.38	209.84	82.87	239.52	186.4	361.04	127.89	267.73	167.9	84.04	72.52	85.22	153.34	126.12	198.47	101.54	226.54	134.3	309.83	73.03	244.57	161.02	176.29	153.34	149.12	242.88	139.07	226.54	147.06	275.28	100.83	204.07	215.77	206.94	89.51	112.77	65.72	171.45
NOA1	346.29	255.0	289.02	256.78	265.87	532.74	277.2	323.03	368.65	429.54	323.03	343.89	371.22	303.44	297.17	281.09	226.54	256.78	258.57	206.94	185.11	248.0	287.01	204.07	217.27	295.11	198.47	242.88	204.07	269.6	208.38	258.57	246.28	244.57	406.31	363.56	234.57	251.48	231.32	289.02	228.13	246.28	253.23	256.78	223.41	165.57	273.37	218.79	312.0	226.54	190.34	229.72	255.0	206.94	198.47	205.5	258.57	190.34	199.85	189.02	221.86	251.48	264.03
