	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.E8.A2JQ.11A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
DIO2	0.0	0.24	909.17	1733.13	1304.15	1059.11	540.19	1745.2	1529.73	400.71	2133.97	3491.39	713.11	825.0	236.21	748.61	1733.13	848.22	753.83	470.14	3665.02	540.19	547.75	486.75	947.83	1242.34	967.76	1733.13	878.17	1685.71	1250.98	1304.15	6207.38	483.38	1008.9	122.64	1268.46	1159.07	1322.37	1417.35	555.41	1457.23	1437.15	713.11	1023.0	1697.45	703.28	152.28	2537.92	14163.58	8538.88	2915.45	6426.31	21468.49	1477.58	13492.72	2178.83	2075.59	4358.66	4481.23	5403.7	1313.23	7589.61	4671.57	19618.49	4736.79	1477.58	3372.43	16496.96	6381.92	1417.35	6471.02	3690.52	7081.29	6337.83	1617.0	12076.21	3395.89	15075.35	5403.7	9673.69	14361.31	11992.79	4152.18	14461.21	12329.98	23492.92	10154.69	3372.43	5183.54	12943.04	1268.46	5594.3	3467.27	1030.12	7130.55	14867.79	1991.0	909.17	5441.3	3820.7	1295.13	748.61	2720.15	4481.23	1104.13	14262.1	2148.82	9808.75	2090.03	3874.05	1111.82	7331.05	8658.09	8363.13
DNAAF2	0.0	0.04	140.04	148.09	120.1	142.01	128.79	117.6	101.54	134.3	134.3	132.44	124.37	138.1	119.26	134.3	116.78	141.02	133.36	120.1	81.14	111.99	111.21	104.42	109.66	118.43	126.12	140.04	88.88	111.99	163.28	106.63	102.97	113.56	116.78	104.42	111.99	112.77	107.38	127.89	111.99	136.19	129.69	115.97	115.16	111.99	126.12	106.63	102.97	139.07	155.5	166.73	146.03	186.4	162.14	133.36	147.06	131.51	109.66	182.55	130.6	111.21	108.14	135.24	180.02	157.68	122.64	176.29	145.02	136.19	159.9	120.1	108.14	127.89	128.79	94.67	101.54	127.0	150.17	144.01	100.83	169.07	149.12	169.07	143.01	199.85	186.4	164.42	136.19	170.25	159.9	148.09	122.64	148.09	136.19	195.72	145.02	139.07	144.01	169.07	146.03	159.9	127.89	139.07	161.02	133.36	155.5	171.45	129.69	127.89	134.3	126.12	151.22	125.24	129.69
DNAH2	0.0	0.0	0.74	3.82	0.73	4.54	0.45	1.71	0.95	2.27	0.8	1.5	1.45	1.33	1.33	1.33	4.39	3.23	3.35	0.44	1.6	2.86	1.11	0.39	3.29	3.53	10.24	0.72	0.41	1.1	1.73	2.01	11.47	2.03	2.14	2.53	0.0	2.32	1.46	6.52	2.92	1.11	0.0	0.0	1.85	0.79	3.0	3.2	1.97	2.36	1.85	20.41	12.93	2.89	0.39	5.96	2.46	3.69	10.63	6.94	2.78	13.12	6.16	3.26	6.52	1.73	5.68	8.99	7.69	13.62	3.41	7.0	9.27	13.62	16.88	13.03	6.41	3.35	1.07	7.11	4.03	4.31	4.21	5.92	5.77	7.11	5.36	3.0	1.19	14.78	4.58	5.28	7.34	0.71	3.69	4.03	9.93	5.82	6.73	15.0	7.88	2.84	4.13	3.47	4.06	4.5	4.58	6.36	1.99	1.95	0.3	4.54	3.86	5.54	6.26
DNALI1	0.0	0.39	532.74	529.06	199.85	921.88	500.46	954.43	457.25	166.73	708.18	409.15	780.44	830.75	368.65	624.99	463.65	723.08	336.79	358.54	397.93	583.07	191.67	293.07	698.41	255.0	633.73	759.08	571.05	633.73	540.19	514.56	305.55	791.35	713.11	189.02	65.72	387.02	748.61	470.14	536.45	764.36	241.19	283.05	718.08	656.11	432.53	339.14	638.15	1407.55	1268.46	1259.69	1088.92	1073.91	743.43	1769.57	954.43	743.43	1832.01	2796.65	842.36	961.07	1143.1	429.54	642.59	414.87	1044.52	490.14	1457.23	1378.57	1066.48	1250.98	1066.48	2367.9	1697.45	1617.0	1551.09	473.41	379.04	2976.74	1721.16	1081.39	1313.23	1030.12	2664.15	915.51	3742.05	1529.73	551.56	1781.89	785.88	1350.18	2303.12	1151.06	947.83	356.05	2384.37	1008.9	647.07	2061.24	693.58	521.76	460.44	1674.06	1044.52	1030.12	796.86	813.63	1883.54	511.0	647.07	748.61	2777.33	1594.73	723.08
DPP6	0.0	0.0	27.44	47.5	1.36	14.03	2.25	82.29	10.31	2.46	44.25	8.65	29.06	4.31	2.07	2.07	71.0	89.51	3.63	73.54	1.06	7.17	14.89	0.96	111.99	3.53	14.67	22.1	23.76	28.45	96.68	52.82	5.15	38.12	98.04	1.46	2.39	11.91	87.03	4.39	8.32	68.07	24.99	1.41	6.16	29.48	43.32	13.42	361.04	595.34	1208.34	808.0	106.63	1037.29	3639.7	866.07	1963.57	808.0	1159.07	796.86	1561.89	2335.28	351.14	1923.14	1167.14	299.25	1037.29	543.96	591.22	620.67	1081.39	277.2	647.07	194.36	525.39	698.41	1030.12	154.42	341.51	555.41	86.43	624.99	332.14	2119.22	63.89	3325.99	780.44	285.03	145.02	242.88	54.72	3955.48	403.5	432.53	848.22	301.33	728.11	2796.65	1561.89	1066.48	1313.23	371.22	2061.24	2502.97	1096.5	3395.89	2520.38	1991.0	151.22	50.63	173.85	29.7	432.53	239.52	271.48
DTD2	186.4	119.26	180.02	244.57	166.73	153.34	109.66	124.37	113.56	138.1	182.55	166.73	156.59	126.12	109.66	102.97	221.86	153.34	130.6	156.59	119.26	132.44	139.07	122.64	185.11	175.07	125.24	134.3	113.56	150.17	183.82	142.01	167.9	143.01	180.02	84.63	120.1	128.79	155.5	143.01	118.43	218.79	148.09	143.01	149.12	178.77	134.3	98.04	202.66	215.77	301.33	183.82	214.27	318.57	316.37	279.14	167.9	223.41	217.27	180.02	361.04	198.47	249.73	209.84	204.07	251.48	255.0	195.72	323.03	220.32	181.28	275.28	176.29	211.31	181.28	159.9	249.73	157.68	260.38	285.03	231.32	255.0	299.25	316.37	215.77	226.54	242.88	283.05	220.32	253.23	251.48	265.87	320.8	201.25	232.94	229.72	237.86	199.85	167.9	181.28	228.13	287.01	221.86	214.27	221.86	295.11	325.29	218.79	198.47	251.48	154.42	226.54	205.5	303.44	299.25
DYNLL2	587.13	64.34	791.35	896.64	890.44	1023.0	633.73	902.89	961.07	830.75	961.07	1096.5	1023.0	647.07	713.11	743.43	1015.93	785.88	656.11	954.43	1119.56	854.13	848.22	624.99	819.3	941.27	836.53	651.58	738.29	981.29	796.86	988.12	1286.18	785.88	1225.22	543.96	753.83	723.08	878.17	633.73	633.73	1250.98	819.3	884.29	1250.98	1023.0	813.63	733.19	1081.39	1628.26	1498.22	1104.13	1806.78	1819.35	1216.75	1662.49	1322.37	1199.98	1594.73	1119.56	1617.0	1233.75	1175.27	1023.0	1794.29	1167.14	1135.2	1250.98	1322.37	1508.65	1304.15	1487.87	1340.84	1540.37	1233.75	947.83	1304.15	1277.29	1697.45	1242.34	1662.49	1397.83	1199.98	1388.16	1304.15	1832.01	1208.34	1350.18	1277.29	1417.35	1359.57	1191.69	1250.98	1191.69	1199.98	1477.58	1250.98	1295.13	1331.57	1359.57	1295.13	1259.69	1008.9	1378.57	1183.45	1295.13	1183.45	1208.34	1143.1	1350.18	1104.13	1216.75	1331.57	1639.59	1721.16
DZIP1L	0.0	0.49	31.67	48.18	20.41	149.12	22.92	87.65	74.06	21.78	88.88	18.84	55.49	27.05	34.26	26.28	47.84	74.58	45.21	47.84	34.02	87.03	22.59	16.88	82.29	28.65	85.22	22.1	26.47	69.03	37.85	34.02	17.13	104.42	63.89	21.32	23.25	51.35	76.71	44.89	46.84	67.12	26.1	17.9	41.81	48.87	42.41	31.45	53.57	73.54	73.03	87.65	127.89	59.97	93.35	48.87	98.04	89.51	50.27	119.26	55.49	33.54	85.82	40.93	71.5	42.41	124.37	48.87	73.03	84.04	120.94	71.0	56.68	102.97	137.14	40.07	95.34	109.66	33.78	30.78	77.25	57.49	103.69	68.55	134.3	84.04	50.63	116.78	63.45	72.01	45.85	83.45	115.16	129.69	68.07	140.04	69.03	56.68	68.55	102.97	63.89	115.97	69.52	98.04	66.18	120.94	54.33	199.85	99.43	39.22	49.56	34.02	126.12	39.22	68.07
ECHDC3	0.0	0.54	307.69	264.03	368.65	412.0	457.25	483.38	281.09	503.95	466.88	733.19	511.0	395.18	470.14	269.6	547.75	460.44	164.42	206.94	293.07	638.15	356.05	438.59	318.57	379.04	633.73	547.75	438.59	525.39	287.01	486.75	764.36	438.59	460.44	251.48	320.8	237.86	708.18	397.93	358.54	473.41	214.27	341.51	178.77	518.15	273.37	555.41	346.29	1008.9	693.58	241.19	995.0	738.29	791.35	595.34	1208.34	902.89	890.44	246.28	954.43	1216.75	540.19	802.41	435.55	825.0	470.14	878.17	620.67	1008.9	525.39	718.08	616.37	473.41	532.74	915.51	723.08	638.15	490.14	669.92	981.29	571.05	921.88	1015.93	466.88	764.36	563.18	825.0	490.14	521.76	463.65	915.51	764.36	447.82	915.51	733.19	688.78	802.41	995.0	497.0	521.76	802.41	802.41	1135.2	836.53	1051.79	988.12	769.69	507.46	759.08	529.06	713.11	490.14	688.78	679.29
EDARADD	0.0	0.13	29.48	57.49	2.68	15.91	22.1	56.28	11.91	2.43	46.5	13.72	13.32	9.06	7.34	8.92	36.53	48.52	41.81	24.11	30.56	20.56	16.15	4.21	54.33	18.29	13.93	13.12	6.31	13.12	16.03	25.91	37.05	35.0	56.68	6.78	2.12	40.36	64.8	28.65	7.63	38.95	12.36	7.63	60.39	33.3	32.13	14.45	108.14	323.03	239.52	128.79	164.42	186.4	156.59	186.4	118.43	209.84	323.03	75.11	258.57	63.89	209.84	202.66	262.2	96.01	84.63	109.66	279.14	226.54	139.07	197.09	202.66	329.84	57.49	101.54	157.68	118.43	426.57	161.02	169.07	262.2	258.57	117.6	136.19	226.54	214.27	493.56	139.07	334.46	159.9	211.31	153.34	90.14	67.59	159.9	129.69	242.88	97.36	60.39	111.21	137.14	95.34	134.3	176.29	198.47	83.45	117.6	50.63	63.89	146.03	138.1	176.29	136.19	249.73
EFCAB2	0.0	0.57	470.14	339.14	454.09	441.64	540.19	480.04	363.56	373.81	620.67	381.68	607.87	490.14	255.0	503.95	450.94	309.83	221.86	547.75	363.56	295.11	444.72	346.29	503.95	353.59	507.46	281.09	473.41	612.11	599.49	395.18	514.56	543.96	309.83	309.83	271.48	303.44	656.11	343.89	435.55	314.17	356.05	384.34	277.2	356.05	688.78	301.33	480.04	638.15	748.61	775.05	738.29	384.34	679.29	780.44	1001.93	808.0	1044.52	1037.29	981.29	435.55	583.07	698.41	836.53	587.13	363.56	693.58	764.36	642.59	660.68	1023.0	738.29	703.28	728.11	656.11	785.88	909.17	547.75	497.0	967.76	493.56	361.04	551.56	825.0	441.64	1477.58	571.05	497.0	941.27	921.88	1015.93	708.18	466.88	748.61	769.69	688.78	688.78	483.38	688.78	612.11	679.29	693.58	366.09	221.86	878.17	1015.93	733.19	1159.07	559.28	289.02	647.07	703.28	1216.75	902.89
ELMO1	0.0	0.59	356.05	995.0	241.19	1268.46	318.57	748.61	842.36	255.0	1030.12	514.56	1769.57	921.88	183.82	295.11	743.43	583.07	470.14	353.59	775.05	796.86	303.44	236.21	1277.29	202.66	791.35	624.99	237.86	921.88	780.44	483.38	1950.0	1268.46	1135.2	195.72	260.38	314.17	947.83	356.05	521.76	995.0	279.14	262.2	688.78	866.07	460.44	392.44	1529.73	718.08	5441.3	3039.3	5954.47	1023.0	2627.46	2271.4	5147.73	4836.35	3146.52	22380.2	3146.52	2451.44	1757.34	8718.32	6294.04	3235.01	3794.3	2303.12	2319.15	400.71	2758.13	5041.77	753.83	6294.04	2335.28	2271.4	909.17	3847.29	7749.1	5672.41	2319.15	1304.15	2047.0	1066.48	1832.01	1088.92	1233.75	3372.43	2609.3	3639.7	974.5	1896.65	934.76	1561.89	1331.57	890.44	1175.27	4268.94	2193.99	1662.49	2502.97	1628.26	1685.71	1883.54	2777.33	2209.26	8191.0	981.29	2468.49	1233.75	1662.49	842.36	825.0	2335.28	2816.11
EPHA5	0.0	0.0	0.0	0.0	0.0	0.4	0.16	0.14	0.0	0.0	8.85	0.0	0.91	0.13	0.13	0.0	1.53	0.14	0.0	0.16	0.47	0.16	0.66	0.0	8.06	0.14	0.37	0.13	0.6	0.0	0.0	0.62	0.19	0.64	0.67	0.69	0.0	0.39	6.94	0.13	18.7	0.0	2.46	0.0	25.91	0.41	2.48	0.49	12.0	9.56	14.35	27.25	27.44	58.71	58.3	4.5	23.59	135.24	119.26	84.04	47.84	7.0	22.43	22.59	45.85	74.58	12.27	41.81	38.12	12.74	96.68	24.99	21.47	6.41	13.72	12.09	16.27	65.72	87.03	22.1	58.3	42.71	52.45	37.59	20.41	62.12	157.68	100.13	42.71	69.52	22.26	36.79	23.42	41.52	29.91	34.75	7.51	4.31	77.25	103.69	25.72	82.29	8.25	79.45	27.64	24.28	1.99	7.34	18.56	17.25	66.18	21.47	17.38	37.59	17.0
EPHA6	0.0	0.17	6.06	7.46	8.06	3.72	10.55	15.8	1.33	3.06	6.62	2.56	4.31	7.69	8.85	6.11	4.1	4.13	4.58	4.62	2.43	0.83	4.82	2.14	13.12	6.41	4.21	2.94	6.89	5.82	17.77	6.36	8.71	1.3	5.96	0.82	61.25	10.71	7.51	12.93	1.81	3.0	13.42	7.06	4.78	9.41	4.74	5.68	5.96	46.18	23.25	20.86	32.82	53.19	47.84	36.53	29.06	25.72	68.55	50.63	46.84	14.56	29.48	35.5	22.92	17.25	56.28	18.03	38.4	48.87	16.51	30.34	26.28	33.54	14.45	13.03	34.75	19.97	18.43	27.64	46.84	92.05	38.67	25.91	28.45	49.91	127.0	59.55	12.0	72.01	52.82	24.99	16.88	25.54	30.78	21.63	46.5	29.48	42.71	54.72	20.26	28.04	9.56	28.24	11.3	20.26	34.02	48.52	34.75	2.58	13.12	7.34	29.48	81.14	26.47
EPHB1	0.0	0.22	16.88	37.85	10.24	78.89	13.03	27.84	52.08	40.93	65.26	122.64	27.64	25.17	13.72	37.59	26.67	85.22	21.47	41.52	96.01	29.7	39.79	32.13	89.51	19.53	34.02	46.5	12.74	38.67	34.26	80.01	31.45	19.53	87.03	10.24	61.68	36.53	38.4	13.62	9.93	42.71	31.67	12.36	40.07	56.68	41.81	15.11	150.17	902.89	287.01	379.04	708.18	559.28	138.1	624.99	109.66	175.07	256.78	334.46	356.05	91.41	669.92	120.1	429.54	123.5	291.04	141.02	395.18	336.79	309.83	397.93	738.29	511.0	603.67	246.28	540.19	37.05	497.0	157.68	529.06	409.15	480.04	145.02	371.22	555.41	529.06	460.44	69.03	447.82	514.56	187.71	525.39	108.14	157.68	206.94	176.29	163.28	111.99	343.89	114.36	232.94	47.17	120.1	110.43	248.0	312.0	237.86	231.32	109.66	76.17	63.89	684.02	540.19	669.92
ESD	0.0	0.4	2047.0	2796.65	1437.15	2502.97	2645.74	2148.82	2758.13	2758.13	2777.33	2976.74	2573.36	2400.97	2090.03	2133.97	2976.74	2627.46	2148.82	3018.3	1844.76	2682.69	2133.97	1991.0	2287.2	1697.45	2193.99	2468.49	2664.15	2855.44	2915.45	2816.11	2855.44	2627.46	2555.58	2255.7	2609.3	1806.78	2855.44	2018.8	2303.12	3124.78	1794.29	2104.58	2739.08	2335.28	2645.74	1127.35	2739.08	2875.3	3928.15	3742.05	3928.15	4181.07	4038.61	3372.43	3901.01	3716.2	4066.71	2758.13	3372.43	3955.48	3018.3	3303.0	2777.33	4937.99	4450.27	3690.52	3467.27	4388.98	3589.58	3146.52	2835.7	3018.3	2555.58	3303.0	2720.15	2956.17	3039.3	3982.99	4066.71	4639.29	3820.7	4328.55	2895.31	3847.29	6381.92	3614.55	3443.31	4268.94	2935.74	4268.94	4298.64	3081.75	4639.29	3614.55	3018.3	3614.55	4388.98	2796.65	4152.18	4450.27	4419.52	4639.29	4358.66	4010.71	3665.02	3212.66	2997.45	3325.99	3742.05	2777.33	3190.46	3395.89	2915.45
EYA2	0.0	0.48	102.25	395.18	23.93	126.12	161.02	187.71	162.14	111.21	262.2	98.04	50.98	145.02	119.26	151.22	251.48	195.72	176.29	52.45	106.63	54.72	56.68	28.65	379.04	57.49	123.5	191.67	169.07	122.64	275.28	244.57	205.5	239.52	281.09	56.68	105.89	75.11	153.34	77.25	346.29	432.53	77.79	194.36	67.12	96.68	181.28	170.25	540.19	1286.18	723.08	205.5	358.54	796.86	1051.79	267.73	187.71	497.0	1059.11	1183.45	412.0	353.59	571.05	420.68	629.35	351.14	660.68	616.37	384.34	848.22	241.19	896.64	866.07	591.22	463.65	693.58	743.43	336.79	665.29	547.75	753.83	2209.26	896.64	708.18	1073.91	1081.39	656.11	1191.69	334.46	332.14	693.58	275.28	173.85	629.35	629.35	647.07	830.75	902.89	412.0	921.88	368.65	339.14	400.71	307.69	438.59	854.13	450.94	249.73	1066.48	785.88	334.46	470.14	620.67	507.46	379.04
FAM173B	0.0	0.0	251.48	248.0	215.77	271.48	201.25	193.01	178.77	165.57	231.32	366.09	178.77	231.32	189.02	316.37	253.23	273.37	224.97	293.07	265.87	176.29	269.6	195.72	265.87	231.32	244.57	249.73	237.86	283.05	237.86	231.32	191.67	246.28	236.21	138.1	187.71	289.02	295.11	215.77	241.19	232.94	249.73	248.0	348.71	223.41	231.32	155.5	260.38	239.52	429.54	281.09	318.57	397.93	420.68	231.32	332.14	435.55	435.55	351.14	395.18	281.09	373.81	307.69	291.04	503.95	379.04	314.17	256.78	403.5	389.72	358.54	277.2	256.78	293.07	241.19	285.03	253.23	351.14	256.78	320.8	480.04	283.05	457.25	353.59	480.04	400.71	291.04	320.8	426.57	293.07	371.22	395.18	341.51	450.94	466.88	264.03	346.29	353.59	358.54	291.04	400.71	348.71	289.02	381.68	403.5	507.46	334.46	312.0	260.38	277.2	305.55	316.37	346.29	368.65
FAM220A	0.0	0.25	214.27	327.56	327.56	244.57	303.44	205.5	169.07	198.47	260.38	244.57	212.78	232.94	242.88	193.01	258.57	293.07	228.13	265.87	182.55	246.28	204.07	176.29	293.07	175.07	323.03	187.71	212.78	283.05	248.0	277.2	234.57	199.85	264.03	161.02	189.02	183.82	260.38	229.72	166.73	256.78	214.27	217.27	248.0	232.94	232.94	224.97	376.41	460.44	397.93	514.56	543.96	638.15	368.65	547.75	343.89	297.17	514.56	332.14	497.0	366.09	518.15	336.79	575.03	435.55	341.51	241.19	532.74	387.02	309.83	387.02	389.72	507.46	346.29	307.69	381.68	323.03	476.71	417.77	417.77	432.53	497.0	289.02	384.34	426.57	480.04	583.07	239.52	532.74	389.72	325.29	532.74	307.69	332.14	312.0	463.65	323.03	307.69	406.31	295.11	387.02	289.02	376.41	353.59	293.07	371.22	325.29	376.41	366.09	389.72	327.56	450.94	463.65	563.18
FBXL3	0.0	0.31	624.99	1111.82	426.57	679.29	638.15	698.41	497.0	525.39	819.3	633.73	620.67	591.22	503.95	587.13	872.1	819.3	669.92	854.13	444.72	616.37	660.68	536.45	688.78	802.41	500.46	373.81	507.46	728.11	796.86	629.35	669.92	583.07	785.88	381.68	384.34	595.34	1191.69	476.71	514.56	872.1	703.28	679.29	1059.11	748.61	595.34	285.03	915.51	830.75	1437.15	1378.57	934.76	1378.57	1733.13	813.63	1457.23	1369.04	1081.39	836.53	1268.46	1407.55	775.05	1066.48	1175.27	1540.37	1397.83	921.88	860.08	1104.13	1540.37	981.29	775.05	995.0	890.44	647.07	878.17	647.07	1096.5	759.08	884.29	1073.91	1051.79	1508.65	860.08	1331.57	1605.83	988.12	947.83	1073.91	796.86	1617.0	1159.07	1233.75	1508.65	1250.98	896.64	1259.69	1407.55	1023.0	1540.37	1883.54	1340.84	1407.55	1151.06	1322.37	1447.15	1733.13	947.83	836.53	961.07	587.13	941.27	1059.11	1088.92
FBXL5	0.0	0.72	1111.82	2351.53	1167.14	1674.06	1127.35	1936.53	1167.14	1199.98	1498.22	1183.45	1572.76	1331.57	974.5	1008.9	2367.9	1697.45	1183.45	1467.37	1529.73	1628.26	1208.34	1044.52	1388.16	1340.84	1286.18	1073.91	1096.5	1457.23	1467.37	1331.57	738.29	1583.71	1721.16	1313.23	616.37	1191.69	1857.6	1322.37	1322.37	2178.83	1417.35	1519.15	1781.89	1540.37	1407.55	759.08	1745.2	1977.24	3081.75	2163.77	2520.38	3257.52	2758.13	2193.99	2075.59	2032.85	2367.9	1883.54	3443.31	2163.77	1508.65	1721.16	2591.27	2417.67	2434.5	2148.82	2119.22	2209.26	2224.63	2032.85	1709.26	1844.76	1388.16	1397.83	1883.54	1322.37	2384.37	1674.06	2351.53	2627.46	2573.36	2537.92	1628.26	2591.27	3325.99	2163.77	1977.24	2240.11	1991.0	2777.33	2485.67	2032.85	2555.58	2537.92	1427.22	1909.85	1896.65	1977.24	2682.69	2895.31	2163.77	2178.83	2816.11	2400.97	2777.33	2502.97	2047.0	1819.35	1427.22	1081.39	2061.24	2739.08	2816.11
FGFR2	0.0	0.08	743.43	830.75	616.37	463.65	603.67	361.04	197.09	314.17	543.96	202.66	271.48	327.56	470.14	532.74	563.18	647.07	480.04	791.35	121.79	212.78	447.82	447.82	521.76	780.44	232.94	202.66	642.59	476.71	748.61	688.78	197.09	441.64	579.04	158.79	281.09	536.45	915.51	293.07	293.07	507.46	769.69	718.08	802.41	444.72	536.45	125.24	1044.52	1806.78	1199.98	2627.46	1286.18	2271.4	2739.08	1697.45	1242.34	1268.46	1896.65	2061.24	1662.49	599.49	961.07	1073.91	1757.34	842.36	1313.23	463.65	1030.12	1628.26	928.3	1250.98	1551.09	2255.7	1769.57	620.67	1340.84	473.41	1417.35	738.29	1498.22	1369.04	1721.16	1551.09	1286.18	1457.23	1819.35	2537.92	595.34	1832.01	961.07	1651.0	1477.58	1175.27	1104.13	728.11	1369.04	1417.35	1467.37	1286.18	612.11	1991.0	1397.83	981.29	909.17	2701.35	896.64	1477.58	723.08	688.78	780.44	540.19	1540.37	1498.22	1733.13
