	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A2PM.01A.11R.A18M.07	TCGA.A6.2685.11A.01R.A32Z.07	TCGA.AA.3534.11A.01R.A32Z.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.UPIC.1726.SM.4IHKG	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.13PL7.2526.SM.5IFGR	GTEX.XMK1.1726.SM.4B64Z	GTEX.TKQ2.1326.SM.4DXT9	GTEX.RM2N.0926.SM.48FD1	GTEX.ZTSS.1126.SM.5985O	GTEX.PX3G.1426.SM.48U1J	GTEX.Q2AH.1226.SM.48TZL	GTEX.12C56.0626.SM.5EGGC	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A4A2.01A.31R.A260.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
SLC51A	543.96	204.07	236.21	1605.83	500.46	547.75	1583.71	1015.93	1159.07	4268.94	1066.48	3639.7	1923.14	2104.58	854.13	2367.9	1417.35	140.04	98.04	158.79	197.09	155.5	172.65	165.57	158.79	0.0	0.59	87.03	536.45	199.85	287.01	170.25	287.01
SLC6A19	0.0	0.0	81.14	201.25	17.64	343.89	172.65	373.81	1216.75	796.86	176.29	674.59	1088.92	688.78	1015.93	109.66	265.87	4.31	8.06	0.0	0.0	0.0	0.0	8.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLFN12L	23.93	0.47	22.1	14.14	17.64	21.78	31.45	64.34	56.68	38.95	38.4	30.56	22.43	24.99	43.32	59.97	63.0	13.42	32.36	2.58	4.9	21.32	3.76	19.82	10.16	0.0	0.41	0.16	7.57	7.28	6.31	2.12	0.0
SLFN14	0.0	0.0	0.56	0.6	1.87	1.01	0.22	1.14	1.5	6.11	0.45	0.73	4.54	2.2	1.0	3.92	3.53	0.27	1.14	0.0	0.18	1.33	0.0	0.23	1.11	0.0	0.26	0.13	0.0	0.71	0.0	0.15	0.0
SMAP2	305.55	295.11	583.07	764.36	1119.56	813.63	1015.93	921.88	1721.16	1519.15	665.29	483.38	1697.45	1008.9	579.04	2178.83	2384.37	555.41	759.08	329.84	339.14	403.5	343.89	376.41	438.59	0.0	0.42	651.58	332.14	591.22	269.6	444.72	493.56
SMPD3	67.12	2.78	583.07	397.93	532.74	780.44	1135.2	1437.15	1008.9	1151.06	1008.9	1030.12	1175.27	693.58	674.59	915.51	1066.48	19.11	99.43	3.06	9.93	17.51	35.0	24.81	61.25	0.0	0.27	25.91	25.35	69.03	4.06	177.53	41.22
SOWAHA	38.4	4.82	154.42	177.53	285.03	251.48	743.43	647.07	381.68	684.02	521.76	638.15	825.0	521.76	351.14	483.38	587.13	0.68	4.1	0.0	0.0	0.11	1.0	0.57	2.63	0.0	0.06	1.68	0.0	5.82	1.08	3.89	0.0
SP140	21.78	8.92	41.22	106.63	130.6	100.83	358.54	371.22	348.71	275.28	191.67	199.85	262.2	111.21	231.32	291.04	297.17	31.0	102.97	13.52	16.75	46.18	14.24	25.91	63.89	0.0	0.39	12.55	7.88	22.43	31.0	11.82	0.83
SPIRE2	167.9	111.21	775.05	642.59	486.75	941.27	1991.0	1216.75	1159.07	1594.73	1088.92	1208.34	1467.37	981.29	967.76	1397.83	1617.0	57.89	251.48	14.24	44.25	47.84	47.84	77.79	41.52	0.0	0.43	17.25	15.8	41.81	10.31	25.72	21.47
SSTR3	0.0	0.0	7.4	9.06	5.63	3.69	12.55	15.68	20.56	3.23	18.7	13.32	7.75	2.48	6.73	15.68	8.13	0.3	2.12	0.02	0.01	0.06	0.09	0.26	0.83	0.0	0.05	0.0	0.0	0.0	2.23	0.27	0.0
STAT4	48.52	5.36	59.55	67.12	46.18	56.68	128.79	116.78	159.9	102.97	128.79	81.14	146.03	75.64	87.03	108.9	100.13	37.85	96.68	30.78	29.91	76.71	25.17	36.53	42.41	0.0	0.34	3.0	12.0	7.75	20.11	5.87	9.78
STXBP2	3901.01	1745.2	2682.69	2367.9	2061.24	3395.89	5183.54	4903.87	4607.24	5006.93	4268.94	4543.8	4836.35	3665.02	2935.74	4543.8	4298.64	1757.34	2895.31	1096.5	426.57	688.78	1883.54	1709.26	2400.97	3820.7	1104.13	915.51	1037.29	1561.89	1208.34	1286.18	1111.82
SYNE3	9.85	10.71	27.84	40.93	50.98	28.04	42.41	51.71	28.86	32.82	39.22	48.87	50.27	47.17	24.46	21.32	24.63	28.65	34.02	10.24	23.08	12.27	6.16	18.97	17.51	0.0	0.36	18.16	22.75	19.25	12.27	16.75	6.36
TAGAP	28.24	10.88	57.49	79.45	136.19	253.23	279.14	190.34	258.57	217.27	163.28	133.36	197.09	133.36	217.27	371.22	503.95	38.95	72.52	8.32	13.62	32.36	15.0	48.52	43.63	0.0	0.21	58.3	21.94	52.08	84.63	17.13	3.17
TBC1D10C	180.02	4.24	145.02	303.44	295.11	267.73	915.51	791.35	483.38	514.56	435.55	521.76	638.15	312.0	620.67	802.41	819.3	94.67	195.72	14.56	24.81	90.14	60.39	69.03	152.28	0.0	0.46	24.11	13.42	52.08	190.34	12.74	14.14
THEMIS	13.62	0.28	23.59	14.03	18.97	19.68	43.94	70.01	62.12	41.81	34.75	28.04	28.65	27.25	21.16	53.57	27.84	5.45	7.63	0.37	2.1	9.41	1.87	2.58	5.54	0.0	0.06	2.53	2.81	31.0	9.48	1.71	3.26
TIFAB	10.16	0.24	10.88	17.38	9.2	11.3	36.01	59.97	53.57	13.52	86.43	43.94	22.92	8.92	63.89	38.67	23.08	5.59	9.48	0.2	2.63	6.36	5.06	6.78	6.06	0.0	0.0	3.44	53.95	10.71	64.8	5.32	2.23
TMC4	8718.32	361.04	1073.91	2664.15	2875.3	3212.66	6887.62	7230.1	6121.9	6887.62	5441.3	6037.61	5831.91	4095.0	3928.15	5366.37	6699.25	384.34	629.35	23.08	90.14	239.52	346.29	325.29	115.16	954.43	211.31	209.84	60.39	373.81	78.89	387.02	40.36
TMEM156	28.86	1.04	15.56	61.25	59.55	40.93	218.79	150.17	176.29	212.78	88.88	97.36	145.02	88.26	106.63	189.02	167.9	7.57	46.18	0.95	2.01	6.78	8.19	8.45	15.11	0.0	0.37	19.97	0.99	14.35	21.16	5.73	0.0
TXNDC11	476.71	36.79	1233.75	1286.18	1143.1	1268.46	2434.5	1832.01	2384.37	1781.89	2148.82	1572.76	1498.22	1369.04	1583.71	1991.0	1561.89	514.56	665.29	567.1	441.64	543.96	466.88	651.58	543.96	0.0	0.78	555.41	473.41	638.15	872.1	583.07	466.88
UBASH3A	39.5	0.34	28.45	30.56	26.86	37.32	94.67	115.97	57.49	45.21	73.03	65.72	82.29	32.13	48.18	146.03	86.43	11.82	29.7	0.91	1.71	15.22	7.28	9.93	13.83	0.0	0.11	1.17	10.55	10.39	26.67	3.92	9.85
VAV1	150.17	5.92	115.97	198.47	199.85	205.5	454.09	507.46	466.88	389.72	511.0	373.81	299.25	218.79	376.41	532.74	460.44	87.03	148.09	24.11	48.52	66.18	93.35	112.77	120.94	0.0	0.56	135.24	38.67	77.79	98.73	22.59	25.17
VSIG10	791.35	105.15	693.58	947.83	713.11	638.15	1104.13	1015.93	974.5	1208.34	915.51	988.12	1417.35	981.29	1030.12	954.43	1119.56	429.54	381.68	34.75	164.42	260.38	514.56	348.71	620.67	299.25	819.3	373.81	684.02	500.46	607.87	651.58	738.29
WAS	30.12	15.0	165.57	307.69	351.14	376.41	802.41	728.11	848.22	713.11	698.41	551.56	575.03	403.5	435.55	1304.15	813.63	152.28	301.33	56.28	80.01	124.37	107.38	128.79	182.55	0.0	0.66	241.19	31.22	100.83	85.22	45.85	33.3
ZAP70	108.14	3.96	129.69	162.14	229.72	166.73	587.13	500.46	269.6	287.01	291.04	277.2	389.72	215.77	314.17	497.0	463.65	53.19	134.3	8.92	12.27	77.25	28.65	61.68	69.52	0.0	0.65	2.36	35.5	28.45	102.25	18.29	6.94
ZNF831	2.81	0.0	5.68	10.55	22.92	6.16	19.25	24.46	17.38	19.68	7.82	9.56	44.89	18.97	12.27	27.84	39.79	3.86	9.34	0.0	0.41	4.24	1.06	1.85	4.94	0.0	0.18	0.01	3.96	4.98	3.0	0.95	1.07
