	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	GTEX.1399R.1226.SM.5P9GF	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13YAN.0926.SM.5O9C3	GTEX.ZAB5.0726.SM.5P9JG	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.139YR.1226.SM.5IFEU	GTEX.13FHO.0926.SM.5N9EW	GTEX.WYVS.0326.SM.3NM9V	GTEX.13U4I.0526.SM.5LU59	GTEX.132AR.1126.SM.5P9GA	GTEX.QMRM.0726.SM.2I5G8	GTEX.11LCK.0526.SM.5A5M9	GTEX.11TT1.1126.SM.5P9GV	GTEX.Y8E4.0126.SM.4VBQ2	TCGA.BK.A13B.01A.51R.A22K.07
KLHL3	15.0	183.82	21.47	56.68	119.26	60.82	55.1	24.99	50.27	44.25	68.55	34.26	45.53	49.21	105.15	100.13	23.76	69.03	85.82	61.25	65.26	91.41	72.01	177.53	167.9	381.68	152.28	212.78	177.53	255.0	289.02	220.32	366.09	123.5	205.5	303.44	208.38	521.76	15.45
KPNA5	31.67	248.0	72.52	82.29	20.26	74.58	88.26	134.3	157.68	115.16	152.28	145.02	148.09	221.86	149.12	117.6	100.83	148.09	120.1	125.24	119.26	108.14	152.28	180.02	279.14	234.57	215.77	336.79	206.94	181.28	202.66	336.79	253.23	163.28	236.21	237.86	165.57	389.72	68.07
KSR1	74.58	1594.73	395.18	571.05	64.8	0.96	223.41	193.01	153.34	267.73	423.61	325.29	269.6	389.72	249.73	320.8	309.83	285.03	307.69	177.53	339.14	536.45	587.13	1183.45	813.63	2193.99	878.17	713.11	1628.26	1378.57	1073.91	1529.73	3257.52	1081.39	1277.29	1001.93	1023.0	1030.12	55.1
L1TD1	2.56	2.07	0.73	9.2	1.77	0.01	0.64	2.48	0.6	1.14	4.35	1.1	1.07	1.1	1.03	1.1	0.61	5.11	1.04	2.63	2.01	1.07	0.0	6.57	15.0	8.19	4.98	12.55	13.12	18.29	7.63	15.91	19.11	3.99	16.15	19.39	2.53	13.12	0.0
LAMA2	43.32	703.28	59.55	18.97	95.34	0.71	13.72	10.88	31.67	18.97	108.9	16.75	22.26	52.45	11.91	100.83	93.35	19.11	34.51	34.51	154.42	87.65	215.77	126.12	177.53	426.57	603.67	134.3	88.26	447.82	318.57	314.17	329.84	128.79	248.0	521.76	348.71	122.64	7.51
LDHAL6A	0.31	0.72	1.07	1.1	0.28	0.0	0.74	0.0	0.69	0.0	1.06	1.38	0.69	2.05	0.35	0.38	0.72	2.14	0.0	0.71	0.36	0.37	1.39	2.63	5.54	4.58	5.02	10.16	3.29	9.48	0.53	8.65	4.78	1.23	9.78	3.5	2.23	14.14	0.0
LILRB4	108.14	293.07	507.46	54.72	239.52	234.57	123.5	100.83	59.97	59.13	128.79	84.63	74.06	16.63	67.59	71.0	318.57	48.52	120.94	60.82	49.56	65.26	187.71	208.38	152.28	316.37	171.45	138.1	320.8	599.49	563.18	348.71	583.07	444.72	131.51	73.54	55.89	176.29	202.66
LMOD1	54.33	1313.23	98.73	199.85	53.95	0.49	27.64	128.79	92.05	133.36	204.07	111.21	74.06	69.52	72.01	66.18	28.86	87.03	43.02	74.58	287.01	69.03	287.01	748.61	836.53	3146.52	1883.54	1447.15	547.75	764.36	312.0	785.88	759.08	406.31	808.0	2367.9	954.43	896.64	21.47
MMRN1	16.75	480.04	7.17	86.43	134.3	0.27	35.5	14.45	37.32	18.56	214.27	51.35	121.79	24.28	38.67	57.89	16.75	53.95	32.59	42.41	52.45	21.78	50.98	463.65	507.46	1322.37	1322.37	239.52	438.59	2384.37	480.04	353.59	599.49	540.19	567.1	872.1	713.11	435.55	45.85
MT1F	447.82	1721.16	2720.15	2502.97	147462.67	0.19	1277.29	902.89	397.93	1104.13	5292.48	1167.14	1088.92	616.37	397.93	647.07	358.54	432.53	723.08	651.58	2468.49	1225.22	1936.53	11267.44	9673.69	8421.31	1605.83	80683.28	1639.59	70727.3	2720.15	3190.46	13681.08	5147.73	31215.04	5831.91	559.28	3349.13	457.25
NEGR1	29.06	90.14	8.0	1.87	8.45	0.27	14.24	31.45	16.51	10.47	38.67	5.82	13.12	35.25	7.34	30.78	13.52	15.8	21.47	22.26	24.81	14.89	52.45	41.81	83.45	406.31	223.41	83.45	30.78	244.57	96.01	130.6	120.1	31.67	332.14	299.25	56.28	142.01	2.76
OMD	12.0	480.04	1.08	1.83	3.53	0.14	1.11	8.58	4.66	4.5	112.77	1.55	6.11	57.08	1.07	23.93	14.14	27.44	34.26	22.59	51.35	3.14	106.63	47.5	155.5	934.76	163.28	124.37	85.22	228.13	361.04	236.21	493.56	3.76	231.32	332.14	33.78	74.06	0.96
PDGFRA	96.68	2758.13	120.94	31.0	111.99	228.13	23.25	24.63	16.88	60.82	190.34	87.03	53.57	153.34	94.01	177.53	32.59	55.89	29.91	197.09	63.0	23.76	220.32	299.25	521.76	559.28	825.0	129.69	217.27	1073.91	620.67	325.29	547.75	420.68	571.05	723.08	642.59	148.09	13.03
PLCXD3	2.07	69.03	4.35	14.35	6.57	0.17	2.01	29.7	4.5	5.23	22.1	4.21	14.45	4.62	9.06	10.96	2.89	16.63	5.23	9.63	4.03	19.11	22.92	44.89	17.9	71.5	103.69	30.78	27.84	87.03	73.03	53.95	57.89	52.45	17.0	40.07	17.51	16.15	0.42
PLEKHH1	142.01	3212.66	154.42	105.89	29.7	0.52	1159.07	1127.35	1066.48	928.3	2032.85	1407.55	1081.39	1487.87	1447.15	988.12	620.67	1135.2	688.78	1023.0	1674.06	866.07	2075.59	3491.39	5006.93	3103.19	2319.15	4736.79	3443.31	2935.74	3716.2	4607.24	5006.93	1397.83	6337.83	4328.55	3665.02	1427.22	152.28
PLEKHO2	258.57	358.54	575.03	713.11	289.02	0.57	497.0	616.37	470.14	808.0	954.43	1111.82	470.14	571.05	497.0	872.1	511.0	1030.12	633.73	603.67	723.08	507.46	703.28	1051.79	1044.52	1216.75	791.35	890.44	1051.79	1487.87	961.07	1388.16	1340.84	890.44	2271.4	967.76	1397.83	616.37	223.41
PLSCR4	66.65	371.22	267.73	334.46	1259.69	142.01	249.73	172.65	232.94	178.77	466.88	199.85	209.84	297.17	146.03	289.02	157.68	283.05	167.9	248.0	295.11	144.01	379.04	728.11	1081.39	1437.15	780.44	629.35	738.29	1896.65	1594.73	1277.29	1397.83	1051.79	780.44	743.43	642.59	1015.93	22.92
PODN	159.9	2520.38	329.84	94.01	152.28	1037.29	15.45	62.12	26.47	43.94	265.87	56.28	47.17	180.02	33.78	98.73	26.67	38.95	101.54	88.88	239.52	33.3	236.21	389.72	514.56	4123.49	872.1	902.89	860.08	1457.23	1216.75	466.88	1794.29	341.51	1242.34	1991.0	156.59	327.56	10.63
PRTG	90.77	18.29	1.81	22.1	0.28	0.09	31.67	42.71	48.18	59.55	82.87	36.79	27.44	66.65	58.3	29.48	30.78	63.45	38.67	34.75	43.63	61.68	74.06	119.26	256.78	343.89	218.79	665.29	107.38	218.79	187.71	220.32	253.23	176.29	271.48	476.71	172.65	226.54	2.94
PTCH1	18.43	2915.45	95.34	96.01	38.4	0.29	105.15	92.7	147.06	126.12	132.44	127.0	87.65	209.84	115.97	173.85	62.12	151.22	108.14	124.37	117.6	52.45	173.85	110.43	217.27	406.31	209.84	208.38	181.28	189.02	142.01	244.57	348.71	191.67	195.72	287.01	164.42	177.53	93.35
RAB3IL1	90.77	2119.22	109.66	117.6	454.09	206.94	62.56	123.5	89.51	57.49	128.79	83.45	57.49	67.59	56.68	74.58	118.43	42.11	72.01	96.68	169.07	133.36	135.24	143.01	356.05	529.06	251.48	94.01	332.14	356.05	476.71	291.04	540.19	493.56	400.71	368.65	361.04	255.0	66.65
RALGAPA1	343.89	368.65	197.09	249.73	95.34	0.78	293.07	295.11	339.14	368.65	384.34	341.51	307.69	417.77	332.14	371.22	291.04	412.0	285.03	265.87	299.25	334.46	403.5	412.0	607.87	571.05	540.19	563.18	457.25	466.88	497.0	819.3	567.1	480.04	493.56	559.28	426.57	587.13	264.03
RASGRP4	8.58	24.11	28.24	43.63	40.64	0.45	19.11	15.11	10.63	12.36	20.86	27.05	18.7	13.32	15.8	9.2	23.08	6.16	10.0	10.0	15.34	8.92	26.86	21.63	33.06	29.91	17.38	8.92	19.39	45.85	31.0	20.86	50.63	19.82	23.42	21.63	7.11	14.03	5.73
RASSF9	9.06	25.91	43.02	57.89	10.0	0.28	3.08	10.31	7.88	7.22	31.45	7.0	5.19	19.25	3.41	8.92	4.24	3.11	9.2	12.18	15.11	3.23	26.67	72.52	88.88	301.33	106.63	193.01	206.94	139.07	214.27	84.63	237.86	122.64	88.88	55.89	53.57	255.0	0.61
RERE	525.39	1605.83	775.05	1001.93	426.57	0.8	934.76	961.07	1295.13	1151.06	1199.98	1437.15	1059.11	1628.26	1151.06	1529.73	607.87	1151.06	884.29	1467.37	1313.23	878.17	1457.23	1477.58	1617.0	1457.23	1427.22	1216.75	1583.71	2004.85	1487.87	1119.56	1745.2	1870.53	1167.14	1331.57	974.5	1268.46	490.14
RP11-146D12.2	5.63	6.26	2.97	0.78	3.96	0.31	8.78	1.22	8.25	2.97	5.23	5.19	4.7	10.96	4.9	11.47	2.1	3.41	0.0	4.03	3.89	2.43	11.13	13.72	51.71	23.08	4.17	24.99	38.4	32.59	47.84	39.22	54.33	87.03	27.44	10.47	9.7	62.12	2.97
RSPO3	33.3	10.47	86.43	15.68	78.89	0.29	3.35	11.91	11.47	16.27	24.81	10.63	3.14	11.04	1.39	5.41	7.06	12.64	8.58	6.57	23.93	6.84	25.72	40.36	17.64	224.97	95.34	55.49	101.54	244.57	116.78	53.95	149.12	42.41	62.12	25.91	37.59	212.78	11.82
RYR2	1.36	12.74	3.99	6.26	9.34	0.57	1.87	6.11	3.72	3.38	40.07	6.21	5.54	5.19	2.53	4.39	1.51	3.08	2.01	16.88	18.56	2.36	33.54	69.52	74.06	444.72	155.5	503.95	429.54	480.04	137.14	97.36	226.54	256.78	232.94	121.79	172.65	860.08	2.36
SCARA5	9.63	190.34	0.73	0.38	120.94	186.4	0.0	7.22	2.1	2.68	47.84	1.2	0.0	22.59	2.48	3.5	7.69	1.73	8.78	5.19	23.93	1.19	21.78	142.01	41.52	3395.89	733.19	197.09	406.31	759.08	500.46	165.57	941.27	141.02	1037.29	1104.13	175.07	45.85	1.5
SCG3	0.0	0.0	0.0	3.32	2.05	0.02	1.19	0.42	1.1	1.93	1.51	2.94	5.41	0.8	1.38	1.16	3.35	0.49	1.73	2.2	1.73	0.44	43.02	8.32	16.75	10.39	12.18	11.91	6.06	15.8	12.36	6.73	17.0	13.72	7.75	12.45	6.52	2.53	1.07
SEMA3D	2.16	94.01	0.0	3.96	2.46	0.21	0.62	2.29	2.89	3.32	77.79	12.27	8.25	5.73	0.59	3.5	7.4	21.32	2.03	3.99	17.25	2.89	50.27	194.36	123.5	928.3	318.57	1757.34	395.18	785.88	47.5	896.64	312.0	22.75	2682.69	1081.39	244.57	93.35	0.79
SLAMF8	88.88	228.13	202.66	63.0	114.36	0.0	118.43	72.52	35.76	84.04	215.77	79.45	88.26	34.26	62.56	59.55	150.17	42.71	96.01	67.59	45.53	49.56	249.73	151.22	131.51	236.21	293.07	74.06	229.72	633.73	264.03	251.48	366.09	450.94	175.07	88.88	42.71	157.68	85.22
SLC17A7	11.21	20.26	1.83	7.46	4.03	0.36	0.0	8.85	2.48	4.94	10.31	3.0	6.31	8.99	3.69	7.82	0.0	2.14	6.16	10.55	15.8	5.11	13.93	39.79	15.45	163.28	13.22	29.06	66.18	45.53	43.63	34.75	65.72	31.67	44.89	35.76	21.01	37.32	0.68
SLC35D2	420.68	1015.93	392.44	813.63	1111.82	0.52	536.45	486.75	447.82	525.39	723.08	603.67	348.71	351.14	366.09	483.38	529.06	483.38	486.75	497.0	591.22	571.05	518.15	902.89	878.17	995.0	738.29	802.41	808.0	866.07	866.07	1001.93	1135.2	878.17	708.18	1044.52	743.43	974.5	693.58
SLCO2B1	187.71	967.76	429.54	231.32	16383.0	0.55	128.79	251.48	137.14	253.23	460.44	178.77	202.66	154.42	260.38	194.36	237.86	144.01	171.45	201.25	127.0	186.4	543.96	339.14	616.37	638.15	417.77	260.38	583.07	1073.91	748.61	353.59	743.43	368.65	450.94	629.35	281.09	287.01	150.17
SMAD9	10.96	414.87	10.31	82.29	10.55	0.29	158.79	67.59	59.97	153.34	366.09	255.0	113.56	130.6	87.65	135.24	122.64	265.87	76.17	193.01	109.66	185.11	262.2	447.82	872.1	438.59	273.37	1697.45	483.38	934.76	854.13	878.17	688.78	915.51	860.08	591.22	285.03	291.04	69.03
SMCP	0.0	3.14	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.0	0.0	0.0	0.61	0.58	0.47	0.83	0.61	3.96	0.73	0.0	0.0	0.0
SMYD4	68.55	131.51	102.97	119.26	57.49	132.44	94.01	92.7	100.13	115.16	185.11	126.12	105.15	120.94	129.69	110.43	105.89	116.78	114.36	99.43	106.63	102.25	131.51	214.27	214.27	223.41	209.84	178.77	249.73	199.85	217.27	205.5	205.5	218.79	273.37	291.04	176.29	162.14	58.3
SNAI1	224.97	287.01	198.47	1909.85	47.5	0.37	55.49	76.71	59.55	112.77	159.9	140.04	81.14	208.38	74.58	76.71	140.04	110.43	127.0	78.34	532.74	46.18	133.36	532.74	395.18	356.05	228.13	187.71	256.78	226.54	403.5	1199.98	470.14	890.44	269.6	202.66	616.37	117.6	61.25
SVEP1	40.07	117.6	78.34	76.71	73.03	0.6	2.03	25.54	26.67	12.0	92.05	6.21	20.41	28.24	6.94	15.8	5.68	9.85	12.09	24.99	55.89	7.17	68.07	60.39	327.56	1259.69	120.94	146.03	246.28	346.29	420.68	285.03	629.35	109.66	595.34	432.53	74.06	223.41	9.48
TBC1D2B	376.41	1572.76	287.01	476.71	500.46	0.61	426.57	444.72	332.14	543.96	486.75	480.04	389.72	514.56	275.28	444.72	656.11	490.14	470.14	473.41	406.31	231.32	547.75	638.15	547.75	642.59	395.18	435.55	703.28	450.94	514.56	629.35	872.1	441.64	579.04	624.99	417.77	476.71	171.45
TBX18	11.47	4.06	6.16	10.31	0.39	0.37	2.27	14.14	5.02	5.32	11.91	8.0	22.1	15.0	6.46	19.39	4.03	5.92	6.01	10.16	11.3	6.16	15.68	22.26	20.56	120.1	35.25	24.81	16.51	35.76	33.06	26.86	43.02	32.82	17.38	80.01	13.12	24.81	3.32
TCEB3CL	0.0	0.27	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.44	0.0	2.18	2.16	0.0	0.33	3.03	2.81	3.06	0.99	1.39	0.14	3.38	0.67	0.0
TEKT3	5.59	151.22	2.97	5.28	5.41	0.01	4.5	14.24	10.63	8.71	21.78	17.51	6.78	13.42	6.57	9.63	1.64	4.94	8.71	9.85	12.18	3.89	20.86	22.92	25.35	51.71	15.56	31.0	40.64	31.45	36.01	48.18	79.45	20.71	34.26	32.13	31.45	34.02	7.17
TGFB3	665.29	2047.0	98.73	493.56	73.54	0.0	96.01	161.02	190.34	144.01	312.0	157.68	279.14	381.68	183.82	384.34	165.57	164.42	260.38	381.68	591.22	124.37	559.28	414.87	473.41	555.41	223.41	144.01	423.61	587.13	775.05	409.15	921.88	305.55	234.57	231.32	265.87	162.14	131.51
TMEM235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	2.05	0.27	0.89	0.83	0.25	0.59	0.26	2.84	2.2	0.44	2.76	0.42	2.39	1.27	0.0
TNXB	88.26	4972.34	78.89	392.44	201.25	0.6	121.79	376.41	256.78	186.4	450.94	132.44	215.77	563.18	181.28	336.79	85.82	119.26	397.93	281.09	624.99	148.09	518.15	518.15	1250.98	1950.0	808.0	329.84	1662.49	688.78	3103.19	1088.92	1313.23	1233.75	1685.71	1111.82	703.28	785.88	21.94
TRAM2	169.07	307.69	199.85	389.72	197.09	0.67	113.56	103.69	146.03	142.01	241.19	236.21	136.19	209.84	169.07	173.85	237.86	151.22	109.66	206.94	224.97	109.66	271.48	312.0	334.46	575.03	532.74	371.22	848.22	470.14	429.54	403.5	563.18	514.56	633.73	507.46	624.99	239.52	90.14
TRIM66	45.53	52.82	120.1	34.51	34.51	0.51	42.41	43.02	44.89	40.64	80.01	61.68	24.11	67.12	80.57	85.82	47.17	38.95	41.52	37.32	61.25	78.34	103.69	147.06	176.29	201.25	62.12	85.82	84.63	105.89	106.63	190.34	173.85	141.02	154.42	185.11	57.49	232.94	14.67
TUB	6.62	356.05	4.82	18.97	8.85	0.46	61.25	26.86	121.79	66.18	122.64	69.03	65.26	133.36	221.86	124.37	71.5	116.78	63.45	87.65	100.83	102.97	109.66	157.68	151.22	791.35	130.6	412.0	283.05	348.71	205.5	209.84	406.31	142.01	214.27	221.86	149.12	329.84	1.48
USP49	27.05	53.95	35.0	22.26	6.67	0.54	23.93	33.78	30.34	27.64	71.0	37.32	31.67	41.52	32.13	37.05	25.72	37.59	19.53	32.82	32.59	33.3	53.95	84.04	154.42	141.02	88.88	265.87	147.06	97.36	141.02	142.01	149.12	46.84	145.02	228.13	73.54	88.88	23.59
VIT	3.32	78.34	0.0	25.91	0.36	0.24	0.0	4.31	0.0	1.97	25.72	0.0	0.0	6.57	3.35	1.38	0.0	0.0	4.86	4.03	20.11	0.0	1.95	52.82	63.45	429.54	283.05	154.42	36.01	98.04	143.01	44.89	154.42	20.41	86.43	591.22	52.08	15.91	3.23
WASF3	58.71	100.83	61.25	74.06	275.28	73.54	120.94	78.89	96.68	87.65	165.57	99.43	117.6	120.1	107.38	82.87	98.73	100.83	105.89	83.45	74.06	105.89	114.36	169.07	283.05	595.34	529.06	866.07	202.66	896.64	170.25	244.57	275.28	400.71	463.65	713.11	251.48	470.14	59.13
ZC3H6	59.55	81.14	54.33	68.55	15.22	0.11	69.52	50.27	89.51	87.65	118.43	91.41	66.18	146.03	74.06	96.68	55.89	127.89	79.45	79.45	98.73	64.34	111.21	101.54	153.34	126.12	84.63	123.5	98.73	108.14	121.79	134.3	117.6	105.15	91.41	120.1	82.87	152.28	34.02
ZKSCAN7	12.93	72.52	59.97	38.95	15.45	0.15	33.06	20.11	37.32	44.57	68.07	46.18	40.93	55.49	61.68	48.18	20.86	23.59	28.65	51.71	36.79	40.36	61.68	92.05	94.67	128.79	58.3	122.64	94.01	98.04	112.77	61.25	96.68	150.17	106.63	112.77	84.04	130.6	2.32
ZNF280D	480.04	890.44	400.71	397.93	236.21	0.27	395.18	438.59	521.76	406.31	551.56	476.71	466.88	583.07	511.0	514.56	231.32	363.56	412.0	447.82	426.57	414.87	493.56	599.49	693.58	872.1	483.38	684.02	718.08	551.56	703.28	836.53	723.08	775.05	540.19	642.59	525.39	753.83	312.0
ZNF423	23.59	323.03	23.59	82.87	23.93	0.19	19.82	44.57	42.11	56.28	37.85	52.45	46.84	57.08	58.71	61.68	15.8	32.13	42.11	86.43	65.72	52.45	84.63	105.15	80.01	214.27	81.14	49.56	136.19	120.94	170.25	98.73	182.55	101.54	175.07	68.55	87.65	74.06	7.82
ZNF451	197.09	400.71	285.03	190.34	96.01	175.07	287.01	236.21	269.6	275.28	295.11	323.03	325.29	493.56	297.17	348.71	251.48	353.59	237.86	256.78	215.77	262.2	301.33	339.14	529.06	400.71	336.79	500.46	316.37	384.34	438.59	493.56	441.64	249.73	406.31	353.59	269.6	444.72	132.44
ZNF521	98.04	170.25	22.43	113.56	13.03	0.31	12.93	66.18	114.36	69.03	132.44	43.32	60.82	94.01	79.45	89.51	29.27	62.12	57.08	154.42	165.57	21.63	112.77	182.55	336.79	387.02	190.34	130.6	295.11	400.71	423.61	194.36	525.39	170.25	105.89	221.86	73.54	237.86	18.43
ZNF804B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	7.63	0.21	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.21	3.29	0.0	7.11	46.5	125.24	229.72	120.94	195.72	79.45	860.08	41.52	87.65	171.45	54.72	166.73	68.55	38.95	3.06	0.0
ZSCAN5A	150.17	166.73	88.26	189.02	86.43	0.16	130.6	158.79	143.01	105.89	130.6	113.56	120.1	165.57	157.68	80.01	94.67	80.01	115.97	142.01	149.12	139.07	120.1	183.82	180.02	151.22	336.79	199.85	134.3	157.68	221.86	226.54	275.28	176.29	256.78	258.57	221.86	194.36	74.58
ZXDC	332.14	511.0	289.02	211.31	176.29	0.23	269.6	262.2	232.94	320.8	301.33	305.55	212.78	426.57	379.04	334.46	260.38	320.8	283.05	273.37	260.38	341.51	379.04	403.5	466.88	507.46	503.95	420.68	414.87	426.57	429.54	454.09	497.0	400.71	511.0	483.38	373.81	529.06	158.79
