	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DW.5561.01A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.EM.A2OV.01A.11R.A206.07	TCGA.FY.A3TY.11A.12R.A22U.07	GTEX.W5X1.0426.SM.3GILB	GTEX.11NSD.0126.SM.5987F	GTEX.13U4I.0526.SM.5LU59	GTEX.12WSD.0926.SM.5GCNL	GTEX.13112.0326.SM.5P9IW
TNRC6B	81.71	95.34	63.89	83.45	65.72	47.17	15.91	127.0	88.88	8.19	139.07	44.57	64.8	31.9	141.02	141.02	208.38	165.57	172.65	220.32	190.34
TTBK2	46.18	65.72	64.8	52.08	52.45	73.54	34.75	70.01	56.28	10.0	94.67	16.27	32.36	12.64	82.29	132.44	130.6	93.35	125.24	117.6	104.42
TTC21B	59.55	62.56	150.17	55.89	77.25	84.04	88.26	77.25	114.36	34.51	285.03	38.95	0.0	24.11	194.36	186.4	157.68	157.68	189.02	180.02	234.57
TTC34	8.45	6.78	20.86	3.59	8.0	27.25	1.16	1.93	15.56	0.43	19.25	2.1	0.0	0.0	19.68	62.12	121.79	35.5	50.98	107.38	62.56
TUBGCP4	180.02	234.57	277.2	177.53	320.8	208.38	89.51	251.48	264.03	100.83	327.56	175.07	148.09	41.81	334.46	379.04	409.15	371.22	358.54	395.18	348.71
VIPAS39	283.05	303.44	299.25	201.25	295.11	275.28	209.84	314.17	285.03	217.27	325.29	223.41	0.0	447.82	332.14	312.0	497.0	334.46	423.61	346.29	406.31
WDR17	10.55	8.78	149.12	74.06	11.91	47.5	38.4	19.11	16.51	7.63	77.79	1.58	0.0	0.0	24.63	94.67	212.78	102.25	75.11	199.85	122.64
ZC3H6	62.12	48.52	86.43	65.72	67.59	41.22	50.27	70.51	43.94	17.13	105.89	7.4	0.0	13.72	83.45	147.06	205.5	96.01	117.6	156.59	165.57
ZDHHC17	158.79	139.07	239.52	49.91	193.01	220.32	70.51	133.36	190.34	23.93	470.14	70.01	0.0	66.18	301.33	603.67	775.05	450.94	532.74	669.92	476.71
ZMYM2	400.71	214.27	555.41	209.84	441.64	480.04	115.16	214.27	258.57	95.34	808.0	155.5	0.0	161.02	624.99	1143.1	1340.84	825.0	866.07	954.43	896.64
ZNF605	126.12	143.01	111.99	52.82	116.78	103.69	48.18	102.25	110.43	32.36	180.02	25.91	0.0	3.29	211.31	275.28	303.44	221.86	217.27	224.97	221.86
ZSCAN23	6.11	3.96	34.02	0.0	5.73	0.0	0.71	5.77	10.79	0.0	45.53	3.72	0.0	0.0	25.72	56.28	94.01	72.01	72.01	138.1	89.51
