	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
SMC5	387.02	106.63	507.46	373.81	412.0	185.11	177.53	178.77	189.02	85.22	314.17	172.65	143.01	214.27	171.45	221.86	232.94	256.78	93.35	88.88	511.0	154.42	136.19	195.72	151.22	177.53	167.9	265.87	447.82	334.46	171.45	397.93	244.57	99.43	169.07	397.93	185.11	181.28	106.63	170.25	426.57	242.88	202.66
SNX19	909.17	389.72	909.17	954.43	825.0	698.41	642.59	563.18	660.68	309.83	665.29	417.77	718.08	647.07	551.56	432.53	571.05	848.22	303.44	438.59	1023.0	341.51	251.48	441.64	612.11	412.0	511.0	848.22	802.41	1286.18	518.15	921.88	723.08	450.94	684.02	967.76	571.05	703.28	511.0	503.95	836.53	642.59	493.56
SPTLC1	1037.29	470.14	1359.57	1023.0	1059.11	866.07	733.19	547.75	665.29	307.69	1088.92	486.75	595.34	718.08	703.28	591.22	1044.52	1572.76	256.78	358.54	1259.69	466.88	457.25	878.17	769.69	529.06	703.28	941.27	1208.34	1088.92	647.07	995.0	698.41	429.54	595.34	909.17	633.73	748.61	583.07	555.41	1277.29	647.07	780.44
STAG1	285.03	72.52	389.72	341.51	323.03	148.09	176.29	164.42	228.13	59.55	231.32	127.0	139.07	171.45	211.31	159.9	246.28	305.55	78.89	89.51	423.61	113.56	136.19	201.25	164.42	120.94	169.07	231.32	341.51	264.03	151.22	281.09	198.47	118.43	209.84	291.04	152.28	145.02	131.51	144.01	356.05	220.32	157.68
STX17	497.0	142.01	555.41	435.55	412.0	228.13	205.5	208.38	301.33	86.43	387.02	224.97	208.38	318.57	264.03	172.65	299.25	616.37	147.06	110.43	551.56	150.17	165.57	242.88	253.23	155.5	273.37	325.29	567.1	500.46	202.66	384.34	283.05	156.59	273.37	403.5	201.25	295.11	181.28	197.09	366.09	289.02	149.12
TACR1	42.71	5.11	24.63	47.5	22.1	3.06	10.71	4.31	12.18	1.48	16.27	22.43	7.82	14.89	14.89	7.94	29.91	22.59	1.71	8.65	38.4	32.59	9.13	7.63	41.22	22.92	10.39	32.82	63.89	16.51	13.72	13.62	36.27	2.58	9.41	36.53	11.73	14.89	12.64	5.87	64.34	48.18	10.55
TAF1B	148.09	88.26	201.25	205.5	260.38	123.5	138.1	185.11	137.14	56.68	232.94	148.09	115.97	186.4	164.42	116.78	217.27	197.09	108.9	114.36	242.88	105.89	122.64	144.01	253.23	90.14	154.42	175.07	327.56	279.14	131.51	273.37	190.34	121.79	156.59	159.9	139.07	195.72	122.64	105.89	279.14	242.88	154.42
TAOK1	353.59	66.18	363.56	341.51	356.05	149.12	146.03	137.14	194.36	84.04	237.86	108.9	145.02	189.02	144.01	135.24	251.48	299.25	89.51	87.65	493.56	110.43	108.14	166.73	138.1	109.66	154.42	273.37	312.0	336.79	143.01	327.56	194.36	92.7	161.02	334.46	135.24	182.55	128.79	111.21	309.83	181.28	122.64
TAX1BP1	2835.7	1651.0	2956.17	3639.7	3190.46	1794.29	1733.13	2255.7	2119.22	1023.0	2271.4	2075.59	1709.26	2451.44	2133.97	1781.89	2739.08	3589.58	1295.13	1519.15	2855.44	1832.01	2104.58	2287.2	2384.37	1519.15	2287.2	2520.38	3372.43	2915.45	1417.35	2701.35	2417.67	1617.0	2104.58	2664.15	2133.97	2209.26	2104.58	1909.85	2573.36	2148.82	1963.57
TJP2	947.83	409.15	830.75	1183.45	713.11	583.07	532.74	532.74	836.53	73.54	988.12	579.04	457.25	656.11	769.69	567.1	693.58	915.51	156.59	361.04	1096.5	423.61	447.82	403.5	412.0	514.56	376.41	738.29	1259.69	791.35	595.34	693.58	460.44	400.71	785.88	896.64	371.22	698.41	500.46	507.46	941.27	638.15	603.67
TMEM167B	961.07	599.49	1059.11	915.51	890.44	674.59	555.41	595.34	665.29	371.22	836.53	540.19	595.34	842.36	718.08	669.92	995.0	1487.87	336.79	450.94	836.53	500.46	603.67	743.43	703.28	532.74	728.11	915.51	791.35	1023.0	575.03	1167.14	753.83	555.41	591.22	769.69	785.88	728.11	583.07	514.56	1008.9	819.3	764.36
TMEM168	480.04	224.97	743.43	563.18	728.11	441.64	323.03	343.89	429.54	191.67	441.64	242.88	547.75	447.82	351.14	269.6	392.44	708.18	209.84	220.32	647.07	318.57	181.28	514.56	447.82	262.2	361.04	463.65	1008.9	629.35	297.17	438.59	647.07	265.87	450.94	521.76	802.41	457.25	277.2	289.02	486.75	392.44	351.14
UBQLN1	1794.29	836.53	2061.24	1487.87	1857.6	1199.98	1096.5	1073.91	1313.23	819.3	1651.0	872.1	1233.75	1313.23	1015.93	995.0	1427.22	2319.15	785.88	748.61	1896.65	928.3	1159.07	1233.75	1073.91	866.07	1127.35	1572.76	2047.0	1806.78	1015.93	1605.83	1286.18	909.17	1081.39	1745.2	1008.9	1175.27	1104.13	988.12	1508.65	1259.69	1059.11
USP13	236.21	76.71	134.3	199.85	191.67	97.36	70.01	113.56	103.69	58.71	154.42	85.22	84.63	112.77	68.07	75.64	108.14	253.23	84.04	71.0	172.65	89.51	67.59	101.54	100.13	84.04	96.68	156.59	114.36	202.66	71.5	139.07	70.51	67.12	90.77	153.34	81.71	143.01	88.88	65.26	164.42	102.97	71.5
USP28	283.05	116.78	363.56	215.77	327.56	125.24	180.02	283.05	356.05	96.68	307.69	166.73	186.4	264.03	165.57	113.56	221.86	381.68	70.51	169.07	361.04	120.1	108.14	152.28	275.28	153.34	209.84	255.0	412.0	356.05	139.07	239.52	221.86	139.07	221.86	397.93	223.41	173.85	161.02	195.72	368.65	220.32	182.55
USP37	99.43	7.46	145.02	102.25	136.19	46.5	27.64	21.32	55.49	5.06	88.26	29.48	29.06	62.12	41.22	35.5	65.26	68.55	18.43	14.56	187.71	17.38	14.45	46.84	31.9	21.32	35.0	78.89	118.43	119.26	41.52	94.01	48.52	16.03	44.25	143.01	30.34	45.85	19.53	28.86	115.97	59.97	32.59
VEZT	890.44	473.41	1447.15	1081.39	1561.89	607.87	490.14	660.68	743.43	332.14	802.41	947.83	571.05	830.75	583.07	567.1	728.11	1870.53	406.31	454.09	1199.98	607.87	612.11	915.51	1104.13	454.09	728.11	759.08	684.02	1304.15	480.04	825.0	688.78	567.1	595.34	1605.83	693.58	718.08	579.04	514.56	902.89	769.69	444.72
VPRBP	547.75	234.57	624.99	624.99	595.34	351.14	305.55	312.0	420.68	262.2	463.65	285.03	327.56	429.54	376.41	256.78	500.46	536.45	214.27	211.31	708.18	224.97	291.04	406.31	316.37	209.84	341.51	518.15	607.87	616.37	283.05	432.53	454.09	237.86	412.0	514.56	336.79	316.37	281.09	305.55	525.39	363.56	287.01
WDR20	366.09	265.87	392.44	356.05	420.68	312.0	320.8	318.57	343.89	215.77	368.65	253.23	299.25	423.61	283.05	318.57	336.79	511.0	218.79	260.38	423.61	258.57	271.48	358.54	376.41	253.23	339.14	356.05	323.03	389.72	287.01	351.14	444.72	265.87	318.57	395.18	368.65	387.02	297.17	346.29	368.65	279.14	287.01
WDR44	201.25	56.68	251.48	136.19	253.23	131.51	111.21	120.1	129.69	38.12	177.53	74.58	94.67	189.02	91.41	90.14	155.5	248.0	50.27	64.34	215.77	81.14	80.57	140.04	167.9	79.45	120.1	141.02	223.41	239.52	81.14	173.85	173.85	73.54	90.14	193.01	109.66	128.79	80.57	94.67	198.47	150.17	115.97
WDR82	1073.91	503.95	1111.82	1030.12	1127.35	559.28	813.63	743.43	878.17	511.0	1059.11	555.41	842.36	708.18	503.95	497.0	967.76	1127.35	470.14	575.03	1561.89	540.19	651.58	813.63	934.76	591.22	785.88	902.89	1023.0	974.5	567.1	1066.48	802.41	493.56	775.05	1199.98	743.43	698.41	616.37	583.07	1313.23	1015.93	896.64
ZBTB11	244.57	81.71	265.87	239.52	293.07	146.03	127.0	139.07	165.57	70.01	205.5	105.15	120.1	163.28	128.79	148.09	202.66	295.11	85.22	89.51	353.59	100.83	108.14	157.68	143.01	114.36	159.9	201.25	297.17	204.07	118.43	220.32	195.72	112.77	135.24	279.14	159.9	140.04	84.04	120.1	212.78	144.01	139.07
ZC3HAV1L	50.98	1.04	48.87	56.68	53.57	25.72	21.01	9.63	43.02	5.11	49.21	17.13	16.03	15.22	32.82	10.55	25.72	34.02	0.0	5.19	71.0	9.41	11.04	14.24	23.76	13.52	23.42	29.27	62.56	29.7	18.16	39.5	16.39	9.63	33.78	50.27	25.72	17.38	9.27	11.73	57.08	24.63	8.25
ZDHHC20	693.58	49.21	890.44	595.34	928.3	199.85	155.5	151.22	368.65	20.56	563.18	208.38	226.54	392.44	248.0	162.14	371.22	669.92	21.78	35.25	1135.2	95.34	100.13	327.56	177.53	92.7	264.03	679.29	836.53	854.13	199.85	583.07	289.02	104.42	392.44	525.39	182.55	295.11	111.21	112.77	748.61	343.89	206.94
ZHX1	575.03	283.05	647.07	497.0	708.18	353.59	351.14	336.79	409.15	242.88	444.72	307.69	327.56	387.02	356.05	441.64	607.87	995.0	281.09	218.79	1447.15	237.86	281.09	265.87	363.56	246.28	389.72	651.58	607.87	529.06	279.14	638.15	323.03	301.33	299.25	796.86	314.17	341.51	312.0	295.11	587.13	395.18	358.54
ZNF221	40.93	6.31	51.35	38.4	28.45	13.52	14.67	13.93	14.89	6.73	19.82	9.27	8.99	16.39	10.88	6.06	13.52	23.93	6.06	9.48	21.01	4.7	2.56	9.48	15.11	6.94	8.06	35.25	44.89	38.67	12.27	28.86	22.26	7.63	13.03	32.13	12.36	8.65	8.92	7.82	32.36	20.11	4.62
ZNF256	68.55	39.5	97.36	92.05	112.77	55.1	66.65	64.8	87.65	43.32	76.71	52.82	50.27	74.06	66.65	63.89	70.51	82.87	64.34	62.12	148.09	75.11	61.68	60.82	75.11	87.65	79.45	84.63	102.97	70.01	55.1	88.88	92.05	46.84	75.64	135.24	88.88	65.26	59.97	64.34	104.42	105.15	65.26
ZNF398	147.06	130.6	161.02	220.32	205.5	118.43	142.01	154.42	153.34	71.0	173.85	82.87	135.24	164.42	119.26	115.97	135.24	143.01	107.38	112.77	260.38	84.63	116.78	153.34	124.37	119.26	83.45	125.24	234.57	177.53	119.26	186.4	165.57	106.63	133.36	190.34	134.3	138.1	117.6	109.66	175.07	142.01	143.01
ZNF440	221.86	89.51	229.72	171.45	231.32	128.79	109.66	127.89	123.5	43.94	353.59	91.41	114.36	234.57	182.55	128.79	119.26	209.84	97.36	67.59	483.38	83.45	183.82	144.01	143.01	94.67	161.02	189.02	255.0	265.87	129.69	221.86	202.66	70.01	161.02	305.55	177.53	158.79	111.99	120.1	234.57	156.59	99.43
ZNF555	67.59	41.22	78.89	55.49	87.03	27.64	33.78	41.22	55.49	16.39	57.89	19.82	33.3	38.12	39.5	40.93	50.98	65.72	23.08	43.94	125.24	35.0	22.59	55.89	34.51	47.5	44.25	71.0	76.17	59.55	34.26	77.79	58.71	28.65	50.27	108.14	47.17	34.26	36.53	41.81	94.01	84.04	41.81
ZNF639	743.43	429.54	723.08	738.29	866.07	543.96	591.22	595.34	591.22	463.65	587.13	417.77	567.1	497.0	497.0	547.75	796.86	1519.15	406.31	371.22	1225.22	493.56	579.04	587.13	567.1	500.46	567.1	723.08	688.78	764.36	409.15	941.27	603.67	438.59	500.46	890.44	587.13	599.49	466.88	483.38	723.08	579.04	595.34
ZNF852	80.01	17.9	81.71	92.7	63.45	32.82	38.4	33.78	70.01	19.82	67.12	44.25	31.45	53.19	46.18	45.53	37.32	32.82	15.91	24.63	170.25	34.26	27.84	35.0	38.95	29.27	49.56	49.91	82.87	68.07	38.95	75.11	49.56	27.05	67.59	105.15	28.45	34.26	22.43	32.82	55.1	49.56	35.5
ZNF860	55.1	11.73	115.97	36.53	96.01	14.78	29.91	24.63	37.05	21.01	49.21	8.71	53.19	40.93	23.08	14.03	35.0	138.1	6.52	17.0	194.36	20.86	13.62	47.84	20.56	22.75	35.25	30.78	62.56	33.54	26.28	71.0	26.67	18.56	31.22	62.56	43.02	33.3	32.82	28.24	46.5	33.54	27.05
ZSCAN23	51.71	1.07	60.39	60.39	50.27	12.64	8.78	8.25	70.51	3.0	53.95	14.14	10.79	22.75	31.22	25.72	36.79	75.11	3.72	2.1	55.49	7.34	6.62	15.22	18.16	11.38	59.13	41.22	83.45	41.52	25.72	21.63	46.5	17.51	44.25	71.0	14.03	22.1	5.92	17.13	27.44	42.71	6.67
