	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.C8.A26X.01A.31R.A16F.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.D8.A27P.01A.11R.A16F.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.11EMC.2026.SM.5A5JV	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.13NYC.2626.SM.5K7VN
ZFP91	356.05	457.25	307.69	466.88	607.87	988.12	813.63	708.18	665.29	1001.93	547.75	1066.48	836.53	414.87	791.35	547.75	518.15	384.34	698.41	854.13	884.29	836.53	848.22	503.95	536.45	571.05	150.17	226.54	190.34	197.09	228.13	242.88	547.75
ZFYVE20	127.0	182.55	155.5	132.44	283.05	291.04	271.48	273.37	141.02	420.68	142.01	232.94	212.78	191.67	130.6	271.48	115.97	148.09	420.68	277.2	346.29	559.28	444.72	395.18	412.0	123.5	72.52	61.68	68.07	89.51	88.26	95.34	220.32
ZMYM4	129.69	277.2	417.77	305.55	536.45	674.59	688.78	571.05	297.17	1540.37	307.69	571.05	511.0	289.02	262.2	529.06	463.65	320.8	743.43	620.67	785.88	988.12	1001.93	595.34	612.11	341.51	73.03	59.97	110.43	91.41	85.82	157.68	176.29
ZMYM6	104.42	138.1	150.17	120.94	221.86	248.0	241.19	209.84	120.94	273.37	152.28	206.94	178.77	157.68	104.42	172.65	182.55	156.59	297.17	208.38	237.86	329.84	246.28	214.27	217.27	161.02	122.64	50.27	57.89	82.87	67.59	86.43	114.36
ZNF134	59.97	175.07	165.57	170.25	480.04	371.22	348.71	287.01	164.42	368.65	218.79	346.29	180.02	150.17	98.73	384.34	136.19	323.03	444.72	341.51	384.34	660.68	521.76	208.38	224.97	163.28	13.03	9.2	33.78	70.51	56.68	44.57	115.16
ZNF180	50.27	82.29	102.25	49.56	190.34	140.04	195.72	167.9	89.51	197.09	89.51	165.57	108.9	85.82	31.22	189.02	61.25	137.14	371.22	155.5	237.86	373.81	293.07	208.38	186.4	201.25	44.57	27.25	29.06	31.9	36.53	23.42	64.8
ZNF197	42.11	204.07	239.52	218.79	226.54	214.27	295.11	242.88	102.97	346.29	155.5	309.83	273.37	146.03	94.01	279.14	220.32	186.4	450.94	277.2	346.29	466.88	420.68	295.11	246.28	157.68	78.89	57.49	42.11	92.05	96.01	111.99	129.69
ZNF24	148.09	287.01	507.46	353.59	420.68	633.73	1096.5	884.29	353.59	1583.71	603.67	981.29	447.82	387.02	229.72	612.11	500.46	423.61	1044.52	693.58	1023.0	1781.89	1467.37	624.99	591.22	607.87	186.4	189.02	197.09	171.45	236.21	140.04	305.55
ZNF304	61.68	104.42	152.28	96.68	260.38	197.09	237.86	214.27	107.38	277.2	114.36	185.11	170.25	109.66	54.72	287.01	140.04	147.06	417.77	273.37	297.17	409.15	409.15	186.4	211.31	167.9	9.93	8.38	12.27	38.67	35.25	17.0	50.98
ZNF320	178.77	193.01	231.32	90.77	567.1	514.56	363.56	271.48	167.9	438.59	256.78	511.0	262.2	236.21	76.71	336.79	361.04	167.9	536.45	301.33	441.64	688.78	775.05	423.61	450.94	119.26	12.93	3.53	7.51	8.0	36.53	41.81	181.28
ZNF322	40.36	98.73	125.24	94.67	253.23	279.14	412.0	260.38	153.34	314.17	152.28	312.0	303.44	154.42	81.14	231.32	220.32	127.89	483.38	358.54	435.55	417.77	460.44	271.48	246.28	194.36	50.27	30.78	32.59	94.67	44.57	30.12	111.99
ZNF415	28.24	105.89	295.11	50.27	334.46	297.17	287.01	193.01	60.39	271.48	169.07	264.03	173.85	133.36	66.18	351.14	262.2	293.07	376.41	291.04	336.79	656.11	529.06	351.14	358.54	221.86	5.28	5.15	7.88	6.21	4.86	28.45	37.59
ZNF417	42.11	102.25	115.97	66.18	309.83	334.46	204.07	190.34	71.5	212.78	102.25	366.09	127.89	82.29	52.82	182.55	97.36	135.24	429.54	163.28	231.32	358.54	392.44	156.59	224.97	88.88	17.0	23.59	12.64	27.25	35.0	22.1	31.45
ZNF445	31.22	56.68	73.03	44.89	176.29	139.07	182.55	108.14	43.32	223.41	60.82	164.42	127.0	69.03	42.71	121.79	67.12	71.0	285.03	132.44	202.66	220.32	232.94	214.27	199.85	55.49	32.36	28.65	14.03	27.25	35.5	37.85	67.59
ZNF45	32.82	98.04	90.77	64.34	316.37	190.34	291.04	241.19	96.68	371.22	146.03	289.02	181.28	115.97	26.47	191.67	119.26	161.02	444.72	218.79	323.03	432.53	435.55	336.79	289.02	143.01	29.48	11.04	21.47	32.36	40.93	32.13	103.69
ZNF451	123.5	171.45	201.25	173.85	389.72	348.71	403.5	339.14	175.07	376.41	249.73	356.05	323.03	242.88	173.85	249.73	204.07	177.53	878.17	381.68	463.65	587.13	493.56	318.57	395.18	251.48	88.26	120.1	97.36	166.73	81.14	92.7	186.4
ZNF528	68.07	171.45	269.6	100.13	791.35	563.18	395.18	417.77	107.38	579.04	228.13	536.45	154.42	108.14	131.51	262.2	334.46	178.77	642.59	426.57	511.0	703.28	1088.92	583.07	435.55	146.03	9.27	14.03	26.67	75.64	92.7	37.32	147.06
ZNF587	73.03	176.29	312.0	87.65	1540.37	503.95	379.04	674.59	169.07	723.08	463.65	607.87	406.31	190.34	156.59	432.53	187.71	457.25	1023.0	309.83	612.11	1119.56	647.07	348.71	723.08	301.33	25.17	54.33	36.53	41.52	41.52	71.5	39.5
ZNF621	18.43	79.45	88.88	64.8	177.53	180.02	234.57	185.11	43.94	127.0	77.25	255.0	108.14	98.04	53.95	255.0	114.36	86.43	275.28	226.54	234.57	256.78	329.84	211.31	180.02	73.54	31.45	26.47	14.56	19.39	16.75	20.71	59.97
ZNF641	42.71	117.6	112.77	112.77	273.37	244.57	275.28	232.94	156.59	265.87	156.59	229.72	198.47	157.68	119.26	156.59	165.57	82.29	251.48	251.48	289.02	295.11	423.61	223.41	267.73	217.27	81.71	74.06	47.5	47.5	61.25	59.97	95.34
ZNF70	14.78	31.67	15.11	17.25	65.26	54.72	62.12	40.64	27.25	35.76	19.11	52.08	103.69	40.07	17.25	25.91	29.48	23.59	60.39	39.22	66.18	103.69	109.66	48.18	46.18	17.9	7.75	5.36	3.26	2.78	9.06	4.98	19.25
ZNF776	48.87	153.34	202.66	138.1	420.68	246.28	318.57	229.72	136.19	384.34	170.25	253.23	162.14	127.89	87.65	283.05	226.54	295.11	532.74	303.44	384.34	514.56	536.45	273.37	371.22	264.03	15.34	40.36	38.67	35.25	37.05	25.35	136.19
ZNF827	14.35	163.28	149.12	86.43	351.14	246.28	301.33	285.03	76.17	343.89	154.42	218.79	423.61	170.25	43.02	237.86	141.02	172.65	265.87	236.21	309.83	423.61	521.76	303.44	267.73	99.43	1.58	2.39	1.14	4.98	2.25	3.53	35.25
ZZZ3	166.73	293.07	327.56	303.44	417.77	332.14	890.44	536.45	329.84	1015.93	521.76	371.22	366.09	356.05	273.37	379.04	387.02	253.23	941.27	454.09	825.0	1023.0	1175.27	819.3	599.49	521.76	165.57	105.89	154.42	140.04	173.85	242.88	403.5
