	GTEX.SNMC.0826.SM.4DM66	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.E2.A1L9.01A.11R.A13Q.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.D8.A1Y1.01A.21R.A14M.07	TCGA.BH.A0B0.01A.21R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.A8.A06Q.01A.11R.A034.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.B6.A0RN.01A.12R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.C8.A12T.01A.11R.A115.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.E2.A1IN.01A.11R.A13Q.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	GTEX.S4UY.1426.SM.4AD6Y	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.78.8648.01A.11R.2403.07	TCGA.44.6774.01A.21R.1858.07	TCGA.38.4625.01A.01R.1206.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.BR.6705.01A.12R.1884.13	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4QV.01A.11R.A28V.07	GTEX.YJ8O.1126.SM.5P9IS	GTEX.T2IS.2226.SM.4DM65
NPR1	154.42	884.29	119.26	60.82	31.45	6.01	138.1	11.73	231.32	249.73	84.63	78.34	40.36	397.93	151.22	14.35	26.86	11.3	26.47	55.89	52.82	9.34	297.17	171.45	23.08	155.5	86.43	38.67	44.89	26.86	32.36	17.77	100.13	59.55	47.84	152.28	34.51	59.13	87.03	79.45	47.17	32.36	123.5	38.12	400.71	171.45	42.11	51.71	486.75	241.19	1044.52	1044.52	1388.16	583.07	244.57	64.34	107.38	77.79	70.01	242.88	145.02	0.0	107.38	693.58	764.36	258.57	185.11	567.1	246.28
NPR2	248.0	463.65	444.72	239.52	128.79	48.87	267.73	77.79	339.14	299.25	127.0	281.09	209.84	248.0	444.72	94.01	117.6	57.89	165.57	185.11	119.26	28.24	305.55	251.48	64.8	279.14	205.5	332.14	153.34	145.02	255.0	71.5	237.86	152.28	146.03	289.02	153.34	426.57	239.52	438.59	202.66	204.07	260.38	178.77	281.09	279.14	102.97	206.94	450.94	316.37	283.05	688.78	860.08	503.95	466.88	212.78	571.05	339.14	206.94	361.04	363.56	0.0	358.54	575.03	420.68	400.71	728.11	1104.13	7749.1
PSD	217.27	95.34	981.29	26.28	10.08	21.94	65.72	33.3	201.25	108.14	12.18	41.81	13.93	62.12	62.56	8.0	22.26	7.75	38.67	64.34	69.03	27.84	97.36	40.36	15.68	124.37	70.51	37.05	34.26	22.75	38.4	15.0	30.56	36.27	50.27	94.67	65.26	180.02	42.41	40.07	57.89	40.93	55.89	16.75	224.97	88.88	63.0	26.1	450.94	73.54	253.23	1498.22	1628.26	236.21	205.5	142.01	111.21	173.85	49.91	166.73	156.59	0.0	133.36	813.63	764.36	87.65	559.28	1709.26	3564.78
RASGRP2	98.04	406.31	180.02	52.08	30.12	8.78	70.01	6.62	100.13	96.01	24.63	115.16	76.17	162.14	104.42	38.12	18.56	14.45	85.82	56.68	93.35	15.45	125.24	59.97	39.22	158.79	177.53	51.35	52.45	23.93	60.39	11.04	87.65	38.4	40.93	112.77	56.68	166.73	120.94	87.03	58.3	66.18	133.36	65.26	111.99	81.71	40.07	81.71	77.79	283.05	186.4	316.37	258.57	525.39	307.69	80.57	80.57	64.8	76.17	314.17	163.28	0.0	96.01	320.8	414.87	371.22	209.84	616.37	1008.9
RASL12	466.88	224.97	890.44	92.7	61.68	24.99	187.71	23.25	305.55	208.38	55.1	124.37	38.95	88.26	303.44	23.76	52.45	19.82	55.89	87.03	54.72	11.04	273.37	109.66	33.3	239.52	126.12	57.08	54.72	29.48	67.12	47.84	108.9	153.34	82.87	153.34	69.52	234.57	108.9	234.57	115.16	92.7	220.32	87.65	246.28	182.55	81.14	84.04	414.87	275.28	264.03	2537.92	1191.69	473.41	305.55	151.22	113.56	180.02	217.27	244.57	283.05	0.0	299.25	1096.5	684.02	332.14	231.32	521.76	4095.0
RGS3	1167.14	1745.2	1250.98	1216.75	674.59	796.86	890.44	563.18	1467.37	854.13	660.68	915.51	848.22	1088.92	1233.75	547.75	753.83	376.41	633.73	1066.48	825.0	277.2	1487.87	759.08	414.87	2104.58	775.05	486.75	543.96	713.11	466.88	269.6	616.37	674.59	503.95	1594.73	928.3	1709.26	759.08	1023.0	713.11	603.67	1685.71	830.75	1286.18	1709.26	660.68	460.44	656.11	1806.78	1081.39	1066.48	988.12	1745.2	1769.57	1936.53	2701.35	1322.37	1143.1	1769.57	2047.0	0.0	1498.22	1977.24	2075.59	1044.52	2682.69	698.41	1794.29
RHOJ	595.34	633.73	307.69	201.25	100.83	67.59	384.34	29.7	518.15	339.14	251.48	154.42	86.43	167.9	466.88	64.34	112.77	71.5	133.36	190.34	148.09	29.27	332.14	231.32	68.07	435.55	182.55	134.3	113.56	50.27	166.73	121.79	141.02	312.0	141.02	256.78	110.43	555.41	191.67	191.67	91.41	157.68	221.86	100.83	466.88	224.97	113.56	191.67	684.02	543.96	738.29	395.18	563.18	1104.13	525.39	239.52	241.19	232.94	186.4	368.65	279.14	54.72	303.44	536.45	813.63	435.55	202.66	1628.26	1008.9
RNF166	305.55	444.72	283.05	164.42	98.73	68.07	172.65	85.22	275.28	217.27	74.06	217.27	206.94	239.52	170.25	144.01	142.01	71.5	185.11	275.28	167.9	95.34	273.37	158.79	120.1	403.5	379.04	232.94	151.22	167.9	201.25	57.49	122.64	204.07	172.65	264.03	178.77	392.44	205.5	165.57	163.28	145.02	224.97	152.28	277.2	281.09	167.9	141.02	532.74	275.28	258.57	466.88	332.14	587.13	559.28	303.44	325.29	224.97	198.47	921.88	381.68	0.0	314.17	521.76	620.67	1073.91	521.76	511.0	447.82
ROBO4	457.25	470.14	178.77	169.07	77.25	59.97	379.04	27.64	260.38	341.51	135.24	190.34	112.77	381.68	318.57	70.51	105.89	52.45	121.79	119.26	320.8	15.91	320.8	231.32	78.89	480.04	165.57	134.3	98.73	74.58	79.45	89.51	130.6	180.02	104.42	221.86	158.79	177.53	190.34	155.5	136.19	85.82	358.54	142.01	368.65	269.6	140.04	119.26	142.01	536.45	381.68	493.56	723.08	890.44	633.73	209.84	170.25	171.45	209.84	389.72	293.07	0.0	140.04	753.83	1135.2	368.65	169.07	1143.1	417.77
SCARF1	208.38	277.2	96.68	82.29	43.63	27.44	104.42	22.1	133.36	134.3	44.57	68.55	55.89	96.01	96.68	41.81	44.89	21.01	98.04	84.04	54.33	14.03	158.79	82.87	31.0	182.55	108.9	50.63	40.64	52.08	73.03	23.59	67.59	80.57	70.51	149.12	52.08	176.29	88.88	63.89	83.45	50.98	129.69	48.87	175.07	127.0	48.87	46.18	106.63	217.27	147.06	397.93	376.41	563.18	395.18	117.6	128.79	92.05	122.64	351.14	205.5	0.0	170.25	318.57	366.09	334.46	92.7	368.65	299.25
SEMA5B	287.01	54.33	57.08	29.48	41.52	24.28	59.97	25.54	17.64	39.79	22.92	62.56	27.25	65.26	109.66	17.9	35.0	17.9	16.51	27.44	29.7	4.31	78.34	29.48	15.68	98.73	65.72	35.25	18.84	21.63	15.0	6.73	30.56	40.64	38.12	31.9	14.67	34.51	18.03	120.1	28.04	33.06	131.51	29.91	46.18	99.43	21.78	39.22	92.05	73.03	42.71	108.9	22.75	175.07	90.14	59.97	253.23	100.83	51.35	106.63	100.13	0.0	137.14	217.27	113.56	376.41	587.13	204.07	209.84
SH2D3C	236.21	379.04	209.84	228.13	66.65	48.52	356.05	27.44	358.54	329.84	94.01	201.25	104.42	289.02	305.55	83.45	104.42	56.68	164.42	156.59	171.45	20.56	262.2	244.57	68.55	420.68	283.05	146.03	105.89	92.7	107.38	57.49	126.12	224.97	115.97	264.03	134.3	275.28	185.11	229.72	112.77	123.5	327.56	155.5	356.05	295.11	107.38	128.79	204.07	616.37	301.33	575.03	728.11	669.92	403.5	267.73	180.02	206.94	232.94	490.14	348.71	0.0	195.72	532.74	974.5	348.71	226.54	830.75	733.19
SHANK3	215.77	307.69	151.22	82.29	49.21	39.79	144.01	18.56	273.37	164.42	53.19	68.07	37.32	140.04	134.3	25.35	33.3	21.16	81.71	100.83	91.41	25.91	172.65	155.5	30.78	314.17	71.5	56.28	40.36	40.64	63.45	18.43	52.45	103.69	70.51	147.06	52.08	115.97	99.43	59.97	55.89	50.27	96.01	53.95	332.14	150.17	97.36	73.03	182.55	191.67	224.97	329.84	414.87	890.44	381.68	107.38	100.13	99.43	206.94	400.71	246.28	0.0	170.25	603.67	1088.92	583.07	208.38	444.72	346.29
STAB1	1617.0	10084.54	1794.29	1008.9	289.02	414.87	723.08	142.01	1183.45	967.76	540.19	1037.29	1199.98	1096.5	1023.0	403.5	1015.93	163.28	612.11	529.06	409.15	144.01	2178.83	529.06	287.01	2047.0	1551.09	555.41	285.03	1322.37	738.29	336.79	1119.56	836.53	454.09	802.41	813.63	4419.52	674.59	1183.45	1066.48	764.36	2119.22	529.06	1709.26	1208.34	293.07	348.71	1378.57	1295.13	1819.35	1572.76	1340.84	4239.45	3564.78	1051.79	2935.74	808.0	728.11	4419.52	3419.52	0.0	1896.65	2682.69	2075.59	3564.78	1639.59	1721.16	1295.13
STARD9	42.71	35.5	82.29	30.78	37.85	10.96	53.95	16.27	96.68	55.49	22.26	13.12	25.35	46.18	48.87	12.45	18.97	6.78	24.81	24.99	28.45	16.03	94.67	43.02	18.97	42.71	34.26	34.51	12.74	10.0	52.08	8.92	31.22	41.81	32.13	59.97	18.84	61.68	40.93	27.64	38.12	41.81	30.78	20.71	107.38	57.08	10.88	23.42	101.54	55.89	68.55	94.01	211.31	224.97	117.6	43.94	46.5	41.52	25.17	61.68	38.95	0.0	66.65	115.97	197.09	125.24	87.03	221.86	92.05
SYDE1	129.69	417.77	743.43	215.77	194.36	132.44	327.56	444.72	248.0	249.73	111.21	293.07	226.54	209.84	417.77	104.42	130.6	42.11	193.01	234.57	212.78	39.22	277.2	204.07	59.97	483.38	198.47	299.25	157.68	140.04	156.59	73.03	262.2	180.02	164.42	406.31	295.11	791.35	234.57	379.04	214.27	167.9	409.15	206.94	305.55	267.73	202.66	182.55	575.03	379.04	379.04	713.11	1044.52	1313.23	813.63	503.95	693.58	660.68	346.29	368.65	441.64	0.0	412.0	785.88	934.76	507.46	559.28	356.05	1081.39
TBXA2R	28.24	131.51	84.04	41.22	31.0	13.72	63.0	31.45	38.67	46.5	23.08	48.87	27.25	41.52	84.63	21.32	18.56	14.56	27.64	35.25	19.68	29.48	36.27	46.18	15.8	75.64	23.08	23.93	21.63	19.53	19.68	18.56	47.17	32.36	17.9	44.89	37.59	59.13	21.16	62.12	40.36	26.28	76.17	30.78	37.85	27.05	28.04	36.01	126.12	81.71	37.05	281.09	150.17	190.34	141.02	50.63	103.69	65.26	41.22	77.79	107.38	0.0	46.18	224.97	228.13	62.56	33.06	116.78	104.42
TGFB1	1519.15	1540.37	1870.53	1104.13	532.74	279.14	1457.23	559.28	698.41	1407.55	607.87	1135.2	808.0	842.36	1233.75	529.06	595.34	189.02	921.88	802.41	1268.46	75.11	848.22	785.88	249.73	2004.85	961.07	909.17	480.04	1037.29	764.36	718.08	836.53	878.17	633.73	1359.57	1030.12	2004.85	1059.11	1242.34	902.89	629.35	1167.14	723.08	884.29	909.17	995.0	587.13	1651.0	1651.0	368.65	3955.48	2178.83	1709.26	1519.15	3901.01	3928.15	2739.08	1561.89	2193.99	2502.97	435.55	2047.0	2796.65	3103.19	1583.71	1662.49	1359.57	1159.07
TIE1	928.3	1015.93	406.31	275.28	182.55	29.27	473.41	37.32	483.38	633.73	136.19	293.07	115.97	387.02	540.19	78.34	134.3	70.01	211.31	224.97	171.45	33.3	460.44	376.41	72.01	878.17	327.56	185.11	169.07	161.02	173.85	60.82	241.19	389.72	199.85	444.72	199.85	277.2	279.14	346.29	155.5	190.34	387.02	215.77	748.61	466.88	171.45	228.13	387.02	1051.79	563.18	450.94	878.17	1909.85	974.5	414.87	423.61	301.33	406.31	1030.12	708.18	0.0	275.28	665.29	1883.54	813.63	291.04	1832.01	743.43
USHBP1	93.35	80.57	78.34	19.68	5.54	2.27	40.93	5.82	94.01	58.3	9.7	19.53	17.77	42.11	63.45	4.62	8.71	4.5	26.67	23.25	72.01	3.47	75.64	64.34	7.63	103.69	21.63	17.13	31.45	13.72	18.03	6.41	14.14	26.67	33.3	48.52	16.27	38.95	42.41	41.52	17.25	18.43	37.59	18.29	100.13	58.3	14.56	22.75	40.64	148.09	149.12	118.43	226.54	177.53	120.94	29.7	33.06	20.56	15.56	104.42	49.56	0.0	16.03	85.22	193.01	176.29	81.14	684.02	217.27
YPEL4	90.14	127.0	63.45	14.03	5.11	8.13	21.32	15.91	53.19	55.1	16.27	17.64	14.24	30.78	44.25	11.73	7.17	4.06	14.56	21.32	31.67	1.55	80.57	12.27	5.32	24.28	39.79	27.84	14.14	14.35	28.04	4.5	19.68	26.67	14.24	26.47	17.38	42.11	36.01	45.21	23.76	26.28	28.04	12.55	48.87	37.85	12.64	11.47	52.45	35.5	62.56	166.73	141.02	38.67	50.27	77.25	43.32	39.79	24.46	118.43	33.78	31.45	51.71	64.8	72.52	194.36	46.5	246.28	28.65
ZBTB47	264.03	514.56	748.61	154.42	103.69	47.17	231.32	94.67	371.22	248.0	77.25	173.85	150.17	201.25	289.02	28.45	124.37	37.59	191.67	253.23	293.07	78.34	423.61	253.23	99.43	379.04	164.42	356.05	177.53	157.68	212.78	41.81	260.38	211.31	154.42	363.56	195.72	341.51	255.0	255.0	251.48	152.28	241.19	220.32	414.87	205.5	145.02	185.11	171.45	267.73	435.55	848.22	1397.83	995.0	406.31	567.1	293.07	305.55	217.27	239.52	327.56	106.63	258.57	559.28	769.69	514.56	381.68	603.67	791.35
