	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.VS.A9V2.01A.11R.A42T.07	TCGA.MY.A5BF.01A.11R.A26T.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.LP.A5U3.01A.11R.A28H.07	TCGA.JX.A3Q0.01A.11R.A32Y.07	TCGA.C5.A1BK.01B.11R.A13Y.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTZ.0526.SM.5IJCW	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.SIU8.0926.SM.5SI87	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
MSRB3	76.71	14.89	40.93	28.86	43.02	16.63	5.96	15.68	15.0	22.92	28.45	497.0	318.57	1199.98	1519.15	228.13	703.28	1119.56	599.49	2061.24	947.83	473.41	791.35	150.17	511.0	1674.06
MXRA8	967.76	265.87	444.72	466.88	173.85	167.9	127.89	208.38	102.25	348.71	507.46	2061.24	583.07	19082.0	4575.41	2682.69	1936.53	9279.58	1583.71	3060.45	3257.52	521.76	3168.41	2997.45	1175.27	2400.97
NACAD	18.56	4.43	3.79	5.28	9.63	3.06	1.28	4.7	2.66	5.28	7.11	49.21	15.0	28.45	141.02	88.88	161.02	128.79	40.36	156.59	115.16	30.56	46.84	16.03	61.68	82.29
NAP1L3	13.32	0.97	5.82	8.99	1.77	1.81	1.1	3.92	1.69	1.83	9.2	13.12	7.94	59.97	104.42	87.03	6.84	27.25	1.13	18.29	50.63	17.38	9.7	4.5	9.78	12.27
NDN	76.71	26.28	69.03	73.03	23.08	19.53	19.82	20.11	26.67	34.26	74.58	463.65	173.85	1295.13	1991.0	1242.34	264.03	947.83	123.5	591.22	674.59	231.32	624.99	197.09	180.02	500.46
NEGR1	3.96	4.1	9.27	13.22	6.36	0.57	2.46	2.12	2.25	3.82	16.27	114.36	58.3	161.02	194.36	122.64	135.24	165.57	49.21	389.72	143.01	124.37	125.24	50.27	102.25	177.53
NID2	211.31	60.82	66.18	53.95	42.11	46.84	30.12	50.98	20.56	43.02	53.95	214.27	103.69	514.56	819.3	177.53	323.03	896.64	118.43	102.97	312.0	156.59	161.02	90.77	246.28	279.14
NKD1	13.72	2.86	11.64	3.23	4.17	2.48	2.86	6.16	1.35	8.06	4.74	22.43	18.16	4.78	269.6	106.63	66.18	52.82	47.17	37.59	24.81	14.14	22.75	50.98	32.82	40.64
NOX4	72.52	17.9	36.79	23.93	35.25	19.39	10.0	12.09	12.0	20.41	40.07	24.46	11.04	1295.13	105.15	68.07	38.12	20.71	31.67	8.85	25.91	25.35	9.27	67.12	40.64	25.91
OGN	13.22	2.51	5.59	7.63	0.58	0.27	0.53	1.2	3.38	1.17	7.06	830.75	1950.0	1909.85	1583.71	921.88	703.28	1674.06	128.79	842.36	2240.11	187.71	156.59	141.02	738.29	1628.26
OLFML1	55.1	6.62	35.5	32.13	10.39	10.96	6.21	12.93	8.19	16.15	38.12	540.19	256.78	511.0	1870.53	665.29	514.56	928.3	397.93	1151.06	848.22	295.11	954.43	251.48	551.56	780.44
OLFML2B	579.04	158.79	248.0	130.6	93.35	154.42	71.0	119.26	74.58	78.89	150.17	234.57	42.11	1295.13	748.61	514.56	185.11	500.46	187.71	389.72	466.88	99.43	135.24	698.41	262.2	389.72
OLFML3	493.56	166.73	525.39	150.17	102.97	173.85	237.86	106.63	139.07	435.55	329.84	1617.0	587.13	4010.71	3982.99	4095.0	1127.35	2682.69	1508.65	2720.15	2591.27	921.88	2627.46	1073.91	1508.65	2104.58
P4HA3	37.32	5.41	53.95	10.55	7.4	7.0	3.56	6.21	20.11	17.51	29.06	32.82	18.84	234.57	44.25	38.67	33.06	74.58	18.16	19.25	27.05	16.03	25.54	34.02	23.42	43.94
PABPC5	0.0	0.0	1.81	2.18	0.0	0.59	0.0	1.31	0.36	0.0	1.01	18.97	11.55	25.72	45.21	36.79	6.89	35.25	1.66	28.24	37.32	7.34	16.15	6.57	19.97	18.03
PCDH18	22.59	3.53	25.72	24.28	14.78	6.84	1.73	11.38	6.78	16.15	10.39	39.79	14.03	94.01	348.71	96.01	82.87	189.02	154.42	54.33	105.89	59.55	42.71	40.36	127.0	98.73
PCDHGA11	2.63	4.35	2.36	2.14	0.48	1.55	1.04	3.5	0.78	1.5	1.51	10.39	6.94	8.51	57.08	13.72	9.85	15.22	2.43	46.18	12.93	24.81	6.31	6.89	14.14	23.93
PCDHGA12	12.36	4.7	7.51	8.38	2.2	2.25	0.53	5.36	2.73	4.58	7.28	41.81	84.04	228.13	275.28	70.51	78.89	291.04	105.89	417.77	54.33	49.56	95.34	297.17	195.72	177.53
PCOLCE	1119.56	312.0	563.18	775.05	258.57	198.47	220.32	277.2	209.84	212.78	813.63	1540.37	769.69	7230.1	2664.15	3443.31	1313.23	6207.38	928.3	2224.63	2434.5	674.59	2090.03	890.44	1104.13	2520.38
PDGFRB	555.41	116.78	320.8	429.54	118.43	120.94	60.39	162.14	74.06	169.07	348.71	1572.76	283.05	2178.83	3794.3	1721.16	2367.9	4388.98	2502.97	2875.3	2075.59	444.72	2351.53	4010.71	1350.18	2271.4
PDGFRL	109.66	41.22	50.27	58.3	37.59	8.45	7.94	12.93	6.62	31.0	69.52	309.83	426.57	988.12	187.71	339.14	164.42	518.15	86.43	108.9	791.35	139.07	94.01	138.1	323.03	348.71
PDZRN3	43.63	15.56	57.49	30.34	127.89	12.83	12.09	24.46	11.13	16.39	20.41	435.55	53.95	563.18	1059.11	480.04	197.09	450.94	157.68	293.07	307.69	86.43	575.03	105.89	128.79	201.25
PEAK1	45.21	42.11	98.73	101.54	63.0	27.84	41.22	85.82	57.08	63.0	75.64	540.19	305.55	283.05	693.58	457.25	1066.48	884.29	748.61	693.58	775.05	500.46	507.46	426.57	660.68	866.07
PLA2G5	24.81	3.17	5.96	3.82	3.69	0.68	0.0	2.89	0.0	3.17	4.94	56.68	19.53	665.29	532.74	497.0	85.22	291.04	27.25	117.6	135.24	47.5	277.2	90.14	49.21	71.0
PLXDC2	890.44	77.79	351.14	127.0	77.79	182.55	167.9	133.36	120.94	121.79	163.28	802.41	1242.34	2720.15	1340.84	414.87	988.12	1651.0	669.92	1769.57	1059.11	559.28	1733.13	718.08	860.08	2090.03
PMP22	583.07	307.69	373.81	287.01	248.0	208.38	301.33	226.54	156.59	212.78	346.29	4512.4	1639.59	3742.05	9151.82	2956.17	5076.84	7130.55	1781.89	7331.05	3467.27	2451.44	5555.65	2133.97	4450.27	3540.14
POSTN	1832.01	256.78	176.29	463.65	81.71	206.94	39.79	158.79	27.25	64.34	267.73	836.53	348.71	10512.82	1066.48	2104.58	325.29	4152.18	246.28	738.29	1745.2	579.04	1175.27	1844.76	1259.69	1397.83
PPAPDC3	9.85	2.86	7.82	4.74	1.5	4.03	2.78	3.89	2.63	2.53	3.23	24.99	2.68	95.34	98.04	84.63	17.77	69.03	9.78	29.48	52.45	9.13	16.75	46.5	20.86	15.22
PPT1	1745.2	1159.07	1991.0	1794.29	1151.06	1605.83	1277.29	1378.57	1594.73	1605.83	1457.23	4358.66	4239.45	4358.66	2224.63	2417.67	1870.53	1697.45	1119.56	4123.49	3639.7	4268.94	3982.99	3982.99	2384.37	5594.3
PRKAR2B	57.08	15.11	36.01	52.45	38.12	12.45	9.93	20.71	25.54	13.42	37.32	176.29	82.29	336.79	361.04	339.14	75.64	409.15	88.88	291.04	120.94	66.65	194.36	878.17	97.36	358.54
PRKG1	11.73	2.86	8.25	9.48	6.41	3.99	1.16	2.73	3.41	5.02	8.45	217.27	58.3	285.03	379.04	100.83	199.85	426.57	157.68	269.6	166.73	88.88	248.0	98.04	144.01	236.21
PRRX1	147.06	35.5	163.28	126.12	351.14	45.21	31.67	58.71	38.12	71.5	139.07	595.34	1104.13	1697.45	633.73	366.09	620.67	1286.18	191.67	624.99	860.08	417.77	525.39	368.65	511.0	748.61
PTGER3	6.57	2.23	8.25	9.2	2.23	1.38	0.49	1.64	0.51	4.06	15.45	43.63	202.66	81.71	30.56	28.45	121.79	64.34	6.67	23.93	57.49	17.13	27.84	4.13	59.13	82.29
PXDN	170.25	38.67	320.8	85.22	53.95	56.68	16.88	72.52	14.56	46.5	45.85	226.54	156.59	341.51	392.44	99.43	796.86	1407.55	2468.49	802.41	299.25	426.57	540.19	164.42	866.07	1135.2
RAB3IL1	166.73	52.45	96.68	57.89	43.94	34.26	43.02	105.15	20.26	56.68	43.94	122.64	159.9	287.01	195.72	215.77	182.55	503.95	162.14	169.07	161.02	62.12	209.84	50.98	132.44	130.6
RBPJ	529.06	450.94	426.57	497.0	540.19	480.04	651.58	441.64	395.18	371.22	679.29	1397.83	1242.34	2502.97	1030.12	2061.24	1551.09	1857.6	1397.83	1322.37	2351.53	1769.57	2935.74	2502.97	1044.52	2004.85
RCN3	748.61	148.09	249.73	234.57	127.89	95.34	112.77	154.42	54.72	173.85	336.79	153.34	295.11	2417.67	532.74	708.18	234.57	1051.79	208.38	400.71	271.48	88.26	368.65	271.48	206.94	624.99
RELN	1.0	2.81	0.21	0.49	0.0	0.0	0.0	0.0	0.69	1.03	0.78	7.94	17.77	138.1	194.36	38.95	40.64	414.87	10.55	47.5	74.06	28.86	16.63	41.81	25.35	193.01
REM1	21.78	2.56	12.0	28.86	4.1	6.06	1.11	14.03	2.71	7.75	27.84	46.5	17.13	134.3	297.17	162.14	64.34	178.77	54.72	89.51	167.9	42.11	123.5	49.91	39.22	103.69
RUNX2	57.08	43.94	106.63	44.25	25.91	18.43	24.11	131.51	80.57	19.25	38.4	106.63	59.13	1015.93	75.11	642.59	107.38	146.03	44.57	114.36	124.37	189.02	144.01	305.55	77.25	143.01
SCARF2	46.84	8.92	36.27	23.76	11.3	18.03	8.71	7.17	9.78	23.59	20.56	232.94	62.56	733.19	325.29	242.88	312.0	947.83	400.71	559.28	236.21	175.07	312.0	205.5	406.31	356.05
SDK1	26.47	10.55	7.63	27.25	131.51	3.66	37.05	11.73	8.38	5.19	35.25	133.36	13.22	1508.65	141.02	92.05	122.64	301.33	53.95	202.66	45.21	127.0	114.36	39.79	29.48	57.08
SEMA3D	5.23	40.64	0.77	1.87	0.51	0.0	0.21	0.0	2.43	0.0	0.26	56.28	18.29	109.66	320.8	63.45	82.87	521.76	18.16	358.54	253.23	48.18	84.04	59.55	42.71	228.13
SERPINF1	2976.74	420.68	1709.26	1628.26	866.07	2720.15	551.56	624.99	1096.5	785.88	2104.58	3794.3	2835.7	28132.47	2895.31	12502.12	4298.64	10512.82	1407.55	6561.36	5594.3	3146.52	3639.7	5006.93	1030.12	5219.6
SGTB	40.07	29.91	33.3	32.36	57.89	25.72	33.78	33.54	24.28	34.02	28.24	69.52	94.67	159.9	133.36	76.71	186.4	133.36	190.34	140.04	92.05	85.22	189.02	81.14	161.02	138.1
SLC24A2	0.99	0.32	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.75	0.13	0.78	29.48	0.79	16.51	0.13	0.11	0.0	0.0	0.85	0.0	0.75	0.18	0.0	0.16
SLC43A1	73.03	39.79	36.27	44.57	22.26	28.65	13.22	43.94	12.0	23.59	42.71	236.21	25.17	884.29	255.0	540.19	86.43	293.07	54.33	56.28	197.09	35.5	136.19	457.25	66.18	88.88
SLC6A6	197.09	157.68	161.02	223.41	105.89	126.12	105.15	293.07	185.11	182.55	142.01	1508.65	1417.35	620.67	514.56	733.19	1721.16	674.59	866.07	1183.45	1259.69	1551.09	2133.97	688.78	1066.48	1111.82
SNED1	42.11	4.13	25.54	27.05	29.91	8.0	11.55	16.15	9.63	13.42	15.45	638.15	54.72	490.14	258.57	934.76	314.17	909.17	36.27	303.44	376.41	127.89	287.01	651.58	169.07	273.37
SOCS5	69.52	73.03	103.69	97.36	191.67	70.01	171.45	118.43	106.63	69.52	85.22	199.85	376.41	366.09	293.07	253.23	182.55	256.78	153.34	177.53	194.36	151.22	148.09	142.01	152.28	177.53
SPECC1L	153.34	161.02	212.78	189.02	147.06	113.56	146.03	358.54	183.82	161.02	153.34	309.83	177.53	258.57	1088.92	616.37	295.11	412.0	121.79	218.79	403.5	151.22	271.48	329.84	248.0	267.73
ST6GAL2	11.04	0.33	5.92	7.63	0.51	0.67	0.95	0.0	0.99	0.8	6.26	11.73	8.25	7.69	22.26	12.74	25.72	9.27	2.01	3.92	23.59	3.14	1.14	8.65	2.89	5.11
STON1	17.13	24.81	28.04	18.43	37.59	156.59	7.88	7.75	101.54	11.73	21.01	223.41	103.69	571.05	183.82	143.01	90.77	583.07	59.55	447.82	208.38	113.56	281.09	231.32	155.5	152.28
SULF1	559.28	153.34	295.11	212.78	127.89	209.84	36.27	157.68	117.6	157.68	273.37	426.57	2335.28	8840.04	728.11	486.75	332.14	642.59	150.17	896.64	356.05	229.72	348.71	251.48	366.09	620.67
TGFB3	204.07	123.5	295.11	255.0	66.65	62.56	51.35	123.5	86.43	53.19	112.77	624.99	1477.58	507.46	1008.9	228.13	909.17	1769.57	2537.92	1745.2	1127.35	915.51	902.89	318.57	974.5	1832.01
THY1	1583.71	209.84	688.78	441.64	198.47	285.03	109.66	291.04	108.9	287.01	470.14	1059.11	1477.58	4607.24	1498.22	2739.08	764.36	2816.11	1340.84	1733.13	1225.22	414.87	1437.15	995.0	860.08	2400.97
TIMP2	1407.55	379.04	1268.46	684.02	379.04	612.11	303.44	559.28	236.21	457.25	571.05	6887.62	5329.3	15607.02	12076.21	5791.62	8901.53	19082.0	3982.99	23656.34	11584.24	3018.3	8022.41	9409.14	11504.21	16157.44
TMEM119	187.71	13.93	59.97	71.5	18.56	21.78	3.06	27.44	10.24	34.75	113.56	616.37	429.54	2520.38	2090.03	2758.13	507.46	1896.65	384.34	1359.57	1896.65	665.29	3794.3	665.29	269.6	591.22
UNC5C	5.23	0.65	1.06	2.03	0.44	1.2	0.69	1.45	0.42	0.78	3.03	56.68	11.73	110.43	193.01	98.04	49.91	80.57	90.14	53.95	45.53	17.0	66.65	22.1	79.45	67.59
VCAN	389.72	62.12	127.0	115.97	46.84	64.8	18.97	64.34	25.17	55.49	103.69	753.83	447.82	2367.9	423.61	125.24	934.76	1378.57	808.0	1359.57	358.54	423.61	1277.29	190.34	1529.73	2032.85
ZBTB10	13.52	3.23	25.91	12.36	27.44	2.36	6.21	4.54	4.7	4.74	6.52	127.89	116.78	201.25	287.01	115.16	563.18	397.93	251.48	450.94	253.23	190.34	258.57	151.22	260.38	293.07
ZCCHC24	62.56	19.25	53.19	73.03	24.81	32.82	26.1	37.05	34.51	33.54	49.21	684.02	325.29	669.92	579.04	753.83	387.02	1757.34	193.01	967.76	723.08	177.53	974.5	293.07	536.45	511.0
ZCCHC5	0.33	0.0	0.74	0.39	0.0	0.0	0.34	0.0	0.0	0.39	0.39	0.49	0.0	5.28	5.02	4.1	3.11	1.68	2.29	4.43	3.59	1.73	0.0	0.0	0.47	3.86
ZDHHC15	0.35	0.96	1.08	2.36	2.58	0.0	0.43	0.0	2.46	0.47	1.14	39.79	11.13	54.72	116.78	63.89	8.45	112.77	6.41	20.11	112.77	22.75	26.86	13.83	38.4	56.68
ZEB1	59.97	33.06	48.52	52.82	31.9	14.14	15.22	36.01	17.13	20.26	47.84	351.14	314.17	368.65	830.75	358.54	753.83	669.92	1023.0	607.87	336.79	353.59	599.49	376.41	684.02	842.36
ZFHX3	33.3	13.93	25.72	45.53	21.47	9.2	30.34	22.75	31.22	32.59	15.45	137.14	57.49	85.22	148.09	178.77	100.83	121.79	41.81	223.41	163.28	87.03	90.14	171.45	80.57	220.32
ZNF154	8.51	0.97	10.55	14.67	1.43	5.82	3.66	9.85	5.41	4.54	10.88	31.22	14.35	44.89	102.25	214.27	22.75	32.82	20.41	74.58	26.86	15.91	53.19	27.25	16.75	44.57
ZNF423	14.78	2.25	7.28	10.0	0.95	2.86	1.48	7.4	2.48	4.66	7.06	96.68	63.45	31.22	176.29	97.36	87.65	253.23	70.51	148.09	143.01	32.82	49.21	50.27	164.42	152.28
ZNF469	13.03	7.82	7.0	5.96	1.25	4.54	2.51	6.78	2.34	6.01	8.06	9.63	3.96	42.11	5.45	49.91	1.75	12.55	2.53	8.65	7.88	9.7	5.82	4.46	2.92	8.65
ZNF521	17.0	11.64	22.43	13.22	3.92	2.34	2.71	10.08	3.76	6.01	7.46	224.97	45.85	248.0	457.25	329.84	75.64	255.0	48.52	96.01	665.29	24.81	201.25	42.41	104.42	149.12
ZNF728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	6.57	3.86	3.26	1.0	1.53	3.47	0.67	3.53	1.33	0.0	2.32	1.71	0.65	1.66
