	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.S4P3.1326.SM.4AD6V	TCGA.B8.5552.11A.01R.1672.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.VP.AA1N.01A.31R.A41O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5745.01A.11R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
COMMD4	1066.48	1250.98	1183.45	921.88	860.08	1208.34	1487.87	2240.11	1769.57	1295.13	1594.73	928.3	1331.57	2758.13	2061.24	2047.0	988.12	2178.83	1104.13	2090.03	1685.71	1427.22	2193.99	1208.34	1674.06	1923.14	2004.85	1794.29	2417.67	1721.16	2061.24	2119.22	2163.77	2573.36	1806.78	1697.45	1242.34	2777.33	1674.06	878.17	2224.63	1697.45	1781.89	2090.03	2075.59	1508.65	1923.14	1674.06	1617.0	1135.2	1081.39	1250.98	2148.82	2701.35	1167.14	1963.57	3491.39	1295.13	1051.79	1709.26	2627.46	1639.59	1870.53	2367.9	2468.49	1721.16	2075.59	1127.35	1242.34	1457.23	1662.49	1651.0	1769.57	1674.06	1242.34	1359.57	775.05	2240.11	1617.0	1008.9	1340.84	1709.26	1359.57	2004.85	1127.35	1806.78	1167.14	2555.58	1685.71	1216.75	1594.73	2032.85	1250.98	1427.22	3146.52	1923.14	2178.83	2367.9	1844.76	1477.58	2178.83	1498.22	1662.49	2555.58	2319.15	2627.46	2032.85	1572.76	1781.89	2061.24	2224.63	1427.22	2255.7	2319.15
COX7B	2271.4	2004.85	2287.2	1977.24	1883.54	2502.97	2720.15	6840.04	3212.66	2956.17	4298.64	2367.9	2400.97	7130.55	3419.52	3280.18	2609.3	4123.49	2178.83	5791.62	4210.15	2895.31	5147.73	2451.44	2367.9	4543.8	3515.68	5517.27	3820.7	2835.7	3794.3	4450.27	3168.41	4298.64	3639.7	3820.7	2855.44	6983.79	3212.66	2573.36	5517.27	3081.75	3540.14	3589.58	3515.68	4239.45	3146.52	2855.44	3690.52	3847.29	3982.99	3303.0	5555.65	5441.3	2555.58	3124.78	5872.48	2720.15	2319.15	4769.75	6745.86	9279.58	3847.29	4736.79	3395.89	3395.89	4903.87	1950.0	2895.31	3280.18	3372.43	2777.33	3443.31	2485.67	2351.53	3103.19	3467.27	3168.41	4802.93	2682.69	3146.52	2255.7	2434.5	4298.64	1936.53	2875.3	1721.16	5872.48	3564.78	2701.35	4010.71	4512.4	2537.92	2335.28	4972.34	3443.31	4419.52	2875.3	3928.15	2915.45	3395.89	3794.3	3103.19	4869.99	3081.75	4123.49	4066.71	3955.48	3103.19	3395.89	3614.55	2758.13	4010.71	4388.98
DGCR6L	866.07	1081.39	1015.93	759.08	567.1	1427.22	1498.22	2701.35	1819.35	1037.29	1963.57	872.1	1388.16	2739.08	2555.58	2018.8	1088.92	1936.53	1286.18	2956.17	1617.0	1340.84	2520.38	1183.45	2537.92	2627.46	2090.03	2119.22	2351.53	2004.85	2645.74	2303.12	2835.7	2816.11	1745.2	1936.53	1277.29	2417.67	1870.53	587.13	2319.15	2193.99	1844.76	2209.26	2627.46	1594.73	2178.83	1697.45	1991.0	1628.26	1487.87	1794.29	2758.13	3103.19	1313.23	1870.53	2816.11	1583.71	1059.11	1819.35	3257.52	1733.13	1870.53	2075.59	2645.74	1844.76	2018.8	1286.18	1417.35	1594.73	1721.16	2018.8	2351.53	1709.26	1143.1	1529.73	1572.76	2875.3	1572.76	1044.52	1340.84	1806.78	1259.69	1697.45	1208.34	2075.59	1487.87	3349.13	1950.0	1216.75	1697.45	2417.67	1857.6	1388.16	3124.78	2133.97	2148.82	2976.74	2163.77	1467.37	2451.44	2178.83	2018.8	2739.08	2451.44	3039.3	1674.06	1896.65	2032.85	2434.5	2758.13	1806.78	2682.69	2956.17
DNAJB11	1709.26	1508.65	1572.76	1340.84	2133.97	1572.76	2591.27	3982.99	3190.46	2209.26	2119.22	1487.87	1963.57	3235.01	3874.05	2816.11	1870.53	2468.49	2193.99	3515.68	2855.44	2148.82	3614.55	1950.0	2451.44	2935.74	2816.11	3491.39	2682.69	2255.7	2384.37	2796.65	2384.37	4575.41	1936.53	3280.18	1896.65	4358.66	2835.7	1617.0	3103.19	3039.3	2645.74	2997.45	3039.3	4010.71	2520.38	2485.67	2520.38	1794.29	3124.78	1963.57	3491.39	3639.7	1540.37	2119.22	3639.7	2047.0	1721.16	3212.66	2935.74	3039.3	3081.75	2537.92	3168.41	2956.17	3614.55	1896.65	2061.24	2367.9	2178.83	1950.0	2075.59	2193.99	2047.0	2417.67	2367.9	2875.3	3419.52	1397.83	2163.77	1883.54	2061.24	2720.15	1639.59	2434.5	2047.0	4512.4	2915.45	2816.11	2090.03	3018.3	2178.83	1721.16	3491.39	2303.12	3589.58	2335.28	2997.45	1794.29	2682.69	2777.33	1857.6	3212.66	2451.44	2935.74	2935.74	2148.82	2758.13	2335.28	3212.66	2032.85	2777.33	3768.09
DPM3	1199.98	1397.83	1350.18	753.83	1008.9	2351.53	3540.14	5633.22	3742.05	2090.03	3060.45	1870.53	2417.67	7180.15	6079.61	4066.71	1769.57	3874.05	2104.58	5954.47	3467.27	2935.74	6164.49	1721.16	3742.05	3564.78	4181.07	6250.56	4450.27	3103.19	3395.89	4210.15	4736.79	5872.48	4038.61	5006.93	2271.4	5954.47	3280.18	1709.26	4038.61	3349.13	4123.49	4066.71	4802.93	3901.01	3060.45	3564.78	3665.02	2367.9	3212.66	2591.27	5711.87	6079.61	2335.28	3690.52	5594.3	2875.3	1857.6	4575.41	10959.3	4388.98	3325.99	4328.55	5672.41	3665.02	4298.64	2209.26	2209.26	3303.0	2855.44	3928.15	3742.05	3212.66	2319.15	2855.44	3467.27	3716.2	4769.75	1617.0	2104.58	3303.0	2303.12	4802.93	2193.99	3794.3	2367.9	6983.79	4512.4	2148.82	3515.68	4450.27	3103.19	3443.31	5555.65	3515.68	5913.33	4181.07	4639.29	2573.36	4152.18	5441.3	3716.2	5255.91	5147.73	4671.57	4512.4	4181.07	3716.2	4481.23	5672.41	3372.43	4239.45	6337.83
EIF6	1781.89	1991.0	2032.85	1936.53	1991.0	2148.82	2758.13	3540.14	2591.27	1697.45	2224.63	1950.0	2367.9	3443.31	2816.11	3349.13	1628.26	2855.44	1923.14	3190.46	2104.58	2178.83	3081.75	2224.63	3280.18	3257.52	2915.45	2240.11	3124.78	2645.74	3190.46	2796.65	3349.13	4450.27	2555.58	2451.44	2193.99	3280.18	2682.69	1709.26	1487.87	3146.52	2468.49	2555.58	2664.15	2133.97	3060.45	2468.49	2875.3	2287.2	2271.4	2417.67	3515.68	3589.58	2209.26	2468.49	3515.68	1745.2	1721.16	2720.15	2133.97	2319.15	3190.46	3060.45	3325.99	2287.2	2777.33	1991.0	1991.0	2209.26	3690.52	3124.78	3212.66	2645.74	1991.0	2209.26	2148.82	3349.13	2451.44	1857.6	2061.24	2434.5	2090.03	2367.9	1369.04	2701.35	2209.26	3235.01	2835.7	1909.85	2351.53	3168.41	2075.59	2061.24	2895.31	3419.52	2875.3	2701.35	3467.27	2417.67	3325.99	2645.74	2796.65	3190.46	2148.82	3716.2	2664.15	2956.17	2796.65	3039.3	3665.02	2434.5	3443.31	4181.07
ELOF1	961.07	1437.15	1111.82	1096.5	753.83	1617.0	2004.85	2935.74	1977.24	1286.18	2090.03	1350.18	1674.06	3212.66	2855.44	2148.82	1233.75	2271.4	1639.59	3103.19	1844.76	1487.87	2816.11	1467.37	2609.3	2915.45	2032.85	2502.97	2255.7	1977.24	2133.97	2104.58	2720.15	3168.41	1757.34	1819.35	1508.65	3794.3	2303.12	1407.55	2255.7	2434.5	2090.03	2004.85	2104.58	1540.37	2271.4	1883.54	1909.85	2224.63	1447.15	1628.26	2976.74	2816.11	1127.35	1857.6	2895.31	1733.13	1322.37	2119.22	2956.17	1697.45	2271.4	2573.36	2485.67	1896.65	2163.77	1757.34	1709.26	2004.85	1594.73	2163.77	2335.28	1745.2	1508.65	1628.26	1709.26	2645.74	1794.29	1277.29	1487.87	1832.01	1697.45	2287.2	1378.57	1950.0	1605.83	3039.3	2032.85	1397.83	1757.34	2018.8	1781.89	1832.01	3081.75	2047.0	2178.83	2468.49	2682.69	1674.06	2537.92	2400.97	2018.8	2417.67	2335.28	2485.67	2271.4	1639.59	1844.76	2193.99	2855.44	1529.73	2224.63	2739.08
EMC4	2271.4	2255.7	2451.44	1806.78	2502.97	2075.59	2335.28	2895.31	2739.08	2434.5	2537.92	2384.37	2271.4	3639.7	3190.46	2255.7	2451.44	3039.3	2047.0	3235.01	2417.67	2537.92	3168.41	2367.9	2148.82	2855.44	2485.67	2997.45	2609.3	2384.37	2739.08	2537.92	2816.11	2976.74	2816.11	2739.08	2209.26	3419.52	2664.15	1991.0	2537.92	2627.46	2335.28	2875.3	2758.13	2701.35	2609.3	2271.4	2319.15	1977.24	2976.74	2434.5	2855.44	3018.3	2417.67	2537.92	3212.66	2417.67	2335.28	2645.74	4038.61	2417.67	2720.15	3060.45	2645.74	2875.3	2777.33	2335.28	2287.2	2451.44	2796.65	2573.36	2240.11	2090.03	2104.58	2573.36	2335.28	2520.38	2335.28	2090.03	2451.44	2303.12	2240.11	3491.39	2075.59	2468.49	2255.7	3190.46	2502.97	2400.97	2537.92	2915.45	2537.92	2255.7	2935.74	2875.3	2895.31	3060.45	3124.78	2384.37	2520.38	3257.52	2485.67	3168.41	2119.22	2645.74	2895.31	2976.74	3018.3	2502.97	3081.75	2739.08	2875.3	3639.7
ETV2	11.04	21.63	21.78	27.44	15.0	59.13	43.94	87.03	58.71	16.75	115.97	22.26	58.3	138.1	71.5	20.41	16.51	70.51	57.49	69.03	25.17	35.76	83.45	20.71	118.43	64.34	46.5	112.77	79.45	80.01	83.45	61.25	68.55	111.21	40.36	72.01	16.88	68.07	82.29	19.11	83.45	69.03	48.52	77.79	136.19	53.57	50.63	53.95	53.95	53.19	31.67	52.08	102.97	91.41	23.76	36.79	144.01	34.51	29.27	44.89	92.05	44.25	68.55	115.97	77.25	58.3	65.72	47.17	25.54	60.39	45.21	35.5	104.42	50.98	30.34	46.5	30.34	92.05	42.71	19.11	16.75	36.01	23.76	125.24	13.52	44.25	29.06	105.89	72.52	33.54	43.32	72.01	68.55	43.32	80.57	41.52	138.1	43.32	50.27	22.43	61.25	68.07	89.51	79.45	59.13	87.65	35.76	48.87	55.49	57.08	80.57	42.11	34.02	75.64
EXOSC7	698.41	928.3	860.08	909.17	759.08	688.78	825.0	1259.69	1111.82	954.43	934.76	748.61	769.69	878.17	921.88	988.12	733.19	1183.45	764.36	954.43	1037.29	878.17	1322.37	947.83	878.17	1143.1	1225.22	967.76	1023.0	860.08	1081.39	1030.12	981.29	1191.69	934.76	819.3	995.0	1417.35	830.75	429.54	1059.11	974.5	872.1	1023.0	866.07	941.27	921.88	819.3	1023.0	624.99	961.07	890.44	1151.06	1199.98	723.08	1073.91	1350.18	890.44	780.44	1191.69	1183.45	1096.5	1008.9	1498.22	1127.35	1023.0	1015.93	674.59	796.86	967.76	854.13	890.44	848.22	921.88	819.3	967.76	1135.2	934.76	909.17	813.63	884.29	825.0	698.41	928.3	684.02	921.88	825.0	1023.0	1151.06	842.36	1066.48	1417.35	836.53	860.08	1378.57	934.76	1159.07	974.5	928.3	764.36	1111.82	583.07	1001.93	1066.48	1023.0	1066.48	1096.5	1044.52	947.83	1295.13	921.88	808.0	1331.57	1199.98
FAM173A	239.52	271.48	198.47	253.23	228.13	379.04	503.95	1015.93	555.41	197.09	733.19	323.03	466.88	825.0	738.29	616.37	267.73	579.04	426.57	819.3	607.87	432.53	1111.82	325.29	665.29	866.07	555.41	723.08	642.59	633.73	703.28	775.05	785.88	915.51	607.87	616.37	264.03	842.36	785.88	368.65	708.18	624.99	551.56	848.22	808.0	493.56	718.08	733.19	616.37	454.09	285.03	397.93	947.83	1259.69	384.34	660.68	915.51	412.0	323.03	532.74	1111.82	708.18	775.05	878.17	1030.12	521.76	764.36	395.18	441.64	529.06	466.88	457.25	791.35	748.61	341.51	363.56	307.69	860.08	599.49	212.78	260.38	447.82	348.71	703.28	293.07	620.67	435.55	1199.98	438.59	358.54	470.14	796.86	559.28	366.09	1216.75	708.18	1044.52	915.51	674.59	353.59	647.07	836.53	656.11	974.5	947.83	866.07	684.02	603.67	400.71	679.29	728.11	470.14	376.41	780.44
FAM50A	974.5	872.1	738.29	836.53	796.86	1427.22	1857.6	2976.74	1896.65	1519.15	1950.0	1208.34	1529.73	3716.2	2119.22	2303.12	1350.18	2018.8	1508.65	2133.97	2255.7	1605.83	2835.7	1457.23	1950.0	3168.41	2758.13	2119.22	2240.11	1794.29	3124.78	3060.45	2209.26	2417.67	2075.59	2287.2	1268.46	3690.52	2032.85	1088.92	2627.46	2163.77	2004.85	2645.74	2720.15	1540.37	1628.26	2075.59	1674.06	1127.35	1369.04	1359.57	3901.01	3018.3	1519.15	1936.53	3540.14	1963.57	1359.57	2739.08	2303.12	2163.77	2895.31	2520.38	2537.92	2018.8	2451.44	1529.73	1551.09	1923.14	1745.2	1883.54	2537.92	2209.26	1378.57	1991.0	1709.26	2434.5	2209.26	1417.35	1572.76	1594.73	1407.55	2720.15	1242.34	2434.5	1662.49	3235.01	1950.0	1369.04	1977.24	2816.11	1936.53	1427.22	3614.55	1991.0	2796.65	2032.85	2119.22	1447.15	2367.9	2777.33	1806.78	2303.12	3665.02	3443.31	2627.46	1639.59	1427.22	2367.9	2104.58	1498.22	2271.4	1963.57
FDX1L	297.17	339.14	334.46	348.71	358.54	420.68	575.03	1073.91	674.59	305.55	587.13	327.56	532.74	1651.0	674.59	607.87	314.17	607.87	525.39	967.76	525.39	432.53	819.3	397.93	928.3	1037.29	629.35	733.19	656.11	579.04	830.75	921.88	723.08	1167.14	603.67	521.76	493.56	878.17	591.22	285.03	575.03	529.06	679.29	629.35	688.78	503.95	476.71	543.96	684.02	559.28	397.93	583.07	1037.29	941.27	291.04	529.06	842.36	414.87	327.56	490.14	1051.79	503.95	796.86	796.86	825.0	460.44	612.11	486.75	368.65	480.04	486.75	575.03	713.11	473.41	500.46	363.56	325.29	866.07	480.04	348.71	466.88	500.46	426.57	579.04	336.79	579.04	371.22	1044.52	543.96	379.04	480.04	633.73	521.76	361.04	1216.75	518.15	620.67	679.29	571.05	420.68	825.0	738.29	802.41	665.29	665.29	934.76	674.59	567.1	514.56	629.35	813.63	540.19	796.86	941.27
GADD45GIP1	909.17	981.29	884.29	954.43	878.17	1651.0	2032.85	4181.07	2303.12	1477.58	2119.22	1378.57	1794.29	4736.79	2935.74	2835.7	1331.57	2555.58	1519.15	2997.45	2537.92	1628.26	3639.7	1529.73	2739.08	3349.13	2451.44	2591.27	3540.14	2255.7	3443.31	3349.13	2796.65	4607.24	2627.46	1991.0	1397.83	3901.01	2555.58	1487.87	3639.7	2573.36	2193.99	3419.52	3303.0	2502.97	2163.77	1963.57	2537.92	1427.22	2178.83	1936.53	3589.58	4388.98	1340.84	2319.15	5147.73	1844.76	1407.55	3081.75	4123.49	2451.44	2537.92	2956.17	3665.02	2271.4	2739.08	1605.83	1781.89	2224.63	2240.11	2271.4	3146.52	2163.77	1674.06	1977.24	1909.85	3124.78	2701.35	1447.15	1662.49	1977.24	1540.37	2816.11	1540.37	2502.97	1605.83	4704.07	2627.46	1594.73	1950.0	2915.45	2287.2	1781.89	4769.75	2573.36	2976.74	3280.18	2935.74	1844.76	2875.3	2895.31	2591.27	2915.45	2609.3	3540.14	2976.74	2240.11	1977.24	2537.92	2682.69	1857.6	2915.45	3103.19
HAX1	1857.6	1909.85	1977.24	1819.35	1417.35	1870.53	2090.03	3235.01	2351.53	1733.13	2367.9	1844.76	2004.85	3235.01	2915.45	2287.2	1757.34	2434.5	1870.53	2739.08	1844.76	1832.01	2573.36	1781.89	2537.92	2555.58	2835.7	3103.19	2816.11	2303.12	2400.97	2133.97	2895.31	3146.52	2255.7	2148.82	2075.59	3124.78	2119.22	1857.6	2209.26	2591.27	2224.63	2384.37	2537.92	2271.4	2148.82	2061.24	2351.53	2434.5	2178.83	2417.67	2367.9	2645.74	1781.89	2163.77	3190.46	2240.11	1583.71	2047.0	3742.05	2255.7	2400.97	2520.38	2255.7	2240.11	2384.37	1991.0	1950.0	2178.83	2163.77	2367.9	2400.97	1819.35	2133.97	1950.0	1388.16	2193.99	2163.77	1857.6	1991.0	1977.24	2119.22	2303.12	1639.59	2319.15	1794.29	2816.11	2255.7	1709.26	2224.63	2520.38	2451.44	1769.57	2796.65	2303.12	2224.63	2777.33	2485.67	2193.99	2956.17	1950.0	2573.36	2895.31	2004.85	2627.46	2434.5	2855.44	2720.15	3124.78	2875.3	2303.12	3039.3	3212.66
HRAS	909.17	860.08	819.3	532.74	486.75	1175.27	1572.76	2701.35	1498.22	902.89	1508.65	848.22	1208.34	3614.55	1896.65	1977.24	860.08	1674.06	1159.07	2627.46	1583.71	1313.23	2351.53	961.07	1733.13	2287.2	2061.24	2061.24	1936.53	1819.35	2032.85	2335.28	1721.16	2591.27	1617.0	2047.0	1143.1	2417.67	1331.57	981.29	2075.59	1437.15	1662.49	1794.29	1794.29	1313.23	1674.06	1977.24	1407.55	1191.69	1242.34	1051.79	4181.07	2591.27	1143.1	1769.57	2061.24	1467.37	1037.29	1745.2	2537.92	1806.78	2018.8	2075.59	1991.0	1378.57	1844.76	1397.83	928.3	1331.57	1331.57	1477.58	1540.37	1572.76	1199.98	1378.57	2061.24	2271.4	1350.18	1059.11	1088.92	1216.75	1081.39	2061.24	802.41	1540.37	974.5	3280.18	1295.13	728.11	1350.18	1143.1	1378.57	1073.91	2935.74	1551.09	2915.45	1909.85	2104.58	1199.98	1832.01	2451.44	1397.83	2240.11	2417.67	2520.38	1628.26	1216.75	1359.57	1909.85	2104.58	1250.98	1745.2	1977.24
HSD17B10	1331.57	1572.76	1583.71	1259.69	1447.15	2018.8	2255.7	3768.09	2816.11	1733.13	2434.5	1769.57	2319.15	4268.94	3103.19	2645.74	1529.73	2664.15	1883.54	3372.43	2163.77	1745.2	3124.78	1857.6	2777.33	2875.3	2664.15	2537.92	3124.78	2555.58	2573.36	2645.74	2645.74	4210.15	2502.97	2240.11	1594.73	4095.0	2609.3	1487.87	3103.19	3039.3	2090.03	2758.13	2645.74	3018.3	2591.27	2061.24	3018.3	2119.22	2163.77	2434.5	3325.99	4095.0	1870.53	1950.0	3419.52	2303.12	1605.83	2796.65	3467.27	2335.28	2537.92	2502.97	2895.31	2417.67	2367.9	2163.77	2133.97	2682.69	2351.53	2319.15	2895.31	2119.22	1572.76	1977.24	1781.89	2739.08	2895.31	2119.22	1628.26	2090.03	1674.06	2627.46	1350.18	2739.08	1733.13	3928.15	3081.75	1769.57	2287.2	3168.41	2555.58	2148.82	2875.3	2720.15	2739.08	2104.58	3639.7	2303.12	2997.45	2915.45	2664.15	3081.75	2075.59	3168.41	2956.17	2193.99	2133.97	2664.15	2682.69	1819.35	2555.58	2895.31
JTB	2400.97	2384.37	2224.63	2956.17	1487.87	3820.7	4388.98	6079.61	4210.15	3540.14	4298.64	3190.46	3443.31	5995.9	4769.75	4972.34	2956.17	4972.34	2835.7	5329.3	4066.71	3540.14	4836.35	3039.3	4903.87	5006.93	4639.29	5219.6	5041.77	4543.8	4639.29	4869.99	5076.84	6607.01	4358.66	4836.35	3614.55	5633.22	3982.99	4095.0	3768.09	4836.35	6079.61	4937.99	5831.91	4481.23	4450.27	4298.64	4671.57	4704.07	4268.94	3820.7	5255.91	7130.55	2997.45	4671.57	7130.55	3280.18	2976.74	4095.0	6294.04	4239.45	5183.54	5041.77	4937.99	4038.61	5711.87	3955.48	3325.99	3349.13	3874.05	4450.27	5633.22	5041.77	4066.71	3665.02	4802.93	4704.07	4575.41	2664.15	3901.01	3768.09	3847.29	4639.29	2956.17	4543.8	3124.78	6337.83	4239.45	3665.02	3665.02	5872.48	4210.15	4639.29	5633.22	4575.41	6164.49	4639.29	5076.84	3768.09	4869.99	5006.93	5183.54	5329.3	6294.04	5633.22	4481.23	5112.16	4388.98	4481.23	4736.79	4123.49	4607.24	5913.33
KLK3	1.79	255.0	139.07	38.67	0.0	772940.66	881742.8	1345768.59	1005860.33	573724.06	1116072.03	350728.68	593956.43	535303.41	1212874.47	845824.19	459592.86	887875.81	585779.24	1163466.92	1116072.03	691801.16	834179.46	440870.9	925580.18	751804.53	751804.53	985160.01	649962.87	1063212.58	731246.37	800198.39	1055868.42	623486.02	767601.56	906531.99	489177.0	447025.24	711250.37	691801.16	1255646.43	1187913.85	1093103.58	1139523.1	919186.72	746611.43	805764.22	1100706.72	881742.8	906531.99	1327240.99	731246.37	887875.81	1147449.11	585779.24	925580.18	978355.0	443937.41	394590.4	751804.53	1412675.8	906531.99	1238359.56	1327240.99	731246.37	800198.39	1196176.45	851707.37	542775.98	736332.6	985160.01	839981.65	869603.57	845824.19	805764.22	696613.03	919186.72	851707.37	789181.81	381149.17	767601.56	482442.34	589853.66	1063212.58	378516.38	736332.6	716197.51	1212874.47	1238359.56	654483.73	649962.87	985160.01	751804.53	845824.19	672883.8	1048575.0	1345768.59	938500.81	828417.36	711250.37	589853.66	767601.56	1472666.19	1229805.58	1019901.63	828417.36	800198.39	805764.22	894051.48	1019901.63	925580.18	794671.01	985160.01	1063212.58
KRTCAP2	4358.66	4181.07	4298.64	4239.45	3212.66	4152.18	5041.77	9673.69	5751.61	4450.27	5255.91	3690.52	4181.07	11664.82	7749.1	5995.9	3955.48	6079.61	3639.7	8134.41	4095.0	4038.61	8022.41	4038.61	6426.31	7911.95	5329.3	8598.28	6250.56	5555.65	5255.91	6381.92	7695.57	7911.95	4937.99	5672.41	4010.71	13399.51	5441.3	3467.27	6121.9	6471.02	5112.16	6887.62	6381.92	4419.52	5292.48	5366.37	5219.6	5711.87	5913.33	4512.4	7485.11	7485.11	3982.99	4543.8	9088.59	3928.15	3124.78	6745.86	11504.21	5041.77	5479.15	5791.62	6887.62	5517.27	6381.92	3928.15	4388.98	5913.33	4903.87	5441.3	5954.47	4388.98	4152.18	4066.71	5112.16	6699.25	5479.15	3349.13	4358.66	4123.49	3955.48	7081.29	3467.27	6037.61	4123.49	10154.69	5292.48	3820.7	4972.34	7803.01	4575.41	4512.4	9409.14	6121.9	7749.1	8191.0	8134.41	4298.64	5633.22	6561.36	5076.84	7331.05	6840.04	6607.01	6983.79	5041.77	5076.84	5255.91	7749.1	4639.29	5441.3	8191.0
