	TCGA.KN.8433.01A.11R.2315.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.G9.6356.11A.01R.1789.07	GTEX.132NY.2826.SM.5P9G2
CSGALNACT2	69.03	63.0	0.0	0.64	103.69	151.22	204.07	490.14	483.38	151.22	366.09	148.09	327.56	244.57	195.72	239.52	293.07	279.14	320.8	249.73	271.48	314.17	181.28	195.72	198.47	137.14	389.72	194.36	157.68	368.65	223.41	246.28	218.79	176.29	373.81	346.29	128.79	124.37	190.34	346.29	126.12	124.37	209.84	232.94	255.0	194.36	339.14	260.38	180.02	287.01	279.14	178.77	289.02	150.17	204.07	277.2	239.52	135.24	127.0	279.14	332.14	113.56	237.86	144.01	209.84	269.6	224.97	166.73	133.36	149.12	156.59	163.28	123.5	96.68	131.51
CTC-487M23.8	10.88	10.16	0.0	0.0	59.55	44.89	5.41	23.25	57.89	43.32	50.27	6.89	38.4	66.18	149.12	3.08	59.13	90.77	49.56	34.75	62.12	11.3	2.51	70.01	23.42	16.39	22.1	0.0	3.86	13.52	18.43	73.54	9.06	18.56	73.54	54.72	27.64	26.67	17.77	64.34	32.82	31.22	53.57	22.26	13.72	173.85	56.28	0.0	18.56	3.86	2.89	16.15	27.44	18.16	3.89	75.64	24.11	24.81	20.86	18.43	65.72	61.68	23.08	32.59	46.5	33.54	12.27	113.56	5.36	32.36	11.73	13.52	9.93	22.75	37.59
CXorf23	54.33	10.71	0.0	0.46	88.88	95.34	135.24	277.2	191.67	94.67	269.6	118.43	166.73	156.59	107.38	128.79	124.37	170.25	171.45	198.47	137.14	190.34	75.11	198.47	117.6	107.38	248.0	137.14	102.25	199.85	105.15	123.5	120.1	102.25	164.42	125.24	79.45	80.57	94.67	211.31	99.43	94.67	107.38	93.35	119.26	167.9	172.65	218.79	173.85	182.55	98.04	98.73	346.29	117.6	133.36	201.25	164.42	125.24	149.12	214.27	187.71	104.42	115.16	122.64	113.56	170.25	96.01	142.01	74.58	117.6	82.87	114.36	115.16	112.77	88.26
DCAF13	208.38	127.89	0.0	0.0	476.71	435.55	332.14	599.49	603.67	555.41	703.28	414.87	514.56	532.74	441.64	332.14	441.64	921.88	595.34	444.72	607.87	587.13	358.54	532.74	547.75	271.48	941.27	376.41	529.06	579.04	536.45	457.25	454.09	334.46	693.58	607.87	429.54	392.44	429.54	660.68	536.45	275.28	525.39	460.44	476.71	473.41	563.18	529.06	612.11	896.64	698.41	363.56	764.36	336.79	381.68	620.67	493.56	483.38	599.49	595.34	738.29	312.0	583.07	314.17	460.44	595.34	277.2	463.65	387.02	334.46	320.8	275.28	343.89	366.09	201.25
DDX59	248.0	94.01	0.0	0.21	287.01	327.56	285.03	571.05	429.54	429.54	332.14	262.2	514.56	423.61	327.56	303.44	327.56	351.14	429.54	325.29	356.05	387.02	249.73	358.54	368.65	244.57	432.53	291.04	253.23	309.83	293.07	387.02	417.77	244.57	381.68	397.93	262.2	297.17	368.65	397.93	320.8	236.21	320.8	379.04	412.0	346.29	463.65	376.41	384.34	423.61	332.14	295.11	384.34	325.29	332.14	392.44	320.8	361.04	371.22	318.57	376.41	318.57	343.89	297.17	353.59	339.14	209.84	325.29	262.2	473.41	281.09	249.73	262.2	339.14	307.69
DHX15	1023.0	406.31	0.0	0.89	1685.71	1242.34	1175.27	2119.22	2271.4	1583.71	1857.6	1066.48	2178.83	1639.59	1378.57	1313.23	1639.59	2367.9	1794.29	2178.83	1857.6	1991.0	1295.13	1883.54	1806.78	974.5	1639.59	1427.22	1322.37	2163.77	1819.35	1508.65	1769.57	1199.98	2133.97	1685.71	1529.73	1208.34	1457.23	2193.99	1923.14	902.89	1594.73	1295.13	1583.71	1605.83	1674.06	1832.01	1781.89	1950.0	1617.0	1225.22	1651.0	1583.71	1519.15	2193.99	1561.89	1388.16	1794.29	1991.0	2468.49	1322.37	1208.34	1151.06	1551.09	2061.24	1059.11	1167.14	1233.75	1350.18	967.76	1159.07	1143.1	1304.15	753.83
DIP2B	50.98	77.79	0.0	0.71	85.82	208.38	176.29	249.73	441.64	110.43	473.41	152.28	438.59	283.05	152.28	127.89	253.23	314.17	248.0	265.87	244.57	417.77	141.02	295.11	204.07	151.22	447.82	111.99	194.36	305.55	237.86	173.85	118.43	162.14	217.27	220.32	128.79	157.68	101.54	403.5	115.16	112.77	201.25	130.6	145.02	201.25	236.21	417.77	343.89	212.78	221.86	150.17	262.2	115.16	154.42	432.53	228.13	104.42	236.21	361.04	368.65	118.43	297.17	139.07	164.42	271.48	209.84	176.29	72.52	152.28	116.78	126.12	131.51	137.14	98.73
EMC2	708.18	299.25	0.0	0.83	934.76	961.07	718.08	1487.87	1096.5	1242.34	1127.35	743.43	896.64	1096.5	1015.93	728.11	866.07	1233.75	1119.56	967.76	866.07	1044.52	775.05	967.76	981.29	607.87	1199.98	878.17	665.29	1250.98	902.89	961.07	1008.9	825.0	1143.1	1268.46	587.13	703.28	934.76	1059.11	1447.15	656.11	808.0	872.1	1001.93	1066.48	1286.18	995.0	954.43	1498.22	1397.83	780.44	1628.26	802.41	967.76	995.0	995.0	902.89	1127.35	1044.52	1191.69	743.43	1030.12	872.1	967.76	988.12	738.29	785.88	954.43	890.44	669.92	684.02	703.28	642.59	514.56
EML4	99.43	307.69	0.0	0.06	190.34	460.44	316.37	536.45	536.45	269.6	775.05	327.56	607.87	493.56	334.46	215.77	457.25	612.11	486.75	397.93	656.11	728.11	265.87	607.87	450.94	242.88	486.75	249.73	366.09	651.58	381.68	299.25	279.14	325.29	486.75	438.59	392.44	334.46	251.48	785.88	154.42	249.73	309.83	199.85	339.14	441.64	397.93	529.06	507.46	412.0	406.31	291.04	253.23	297.17	447.82	563.18	400.71	167.9	423.61	703.28	728.11	248.0	327.56	271.48	237.86	575.03	287.01	332.14	267.73	237.86	239.52	221.86	291.04	291.04	218.79
EPB41L4B	136.19	591.22	0.0	0.0	332.14	543.96	223.41	819.3	571.05	981.29	583.07	329.84	909.17	435.55	301.33	395.18	397.93	457.25	620.67	444.72	429.54	540.19	316.37	426.57	579.04	161.02	1216.75	559.28	255.0	400.71	665.29	567.1	316.37	285.03	525.39	624.99	195.72	275.28	351.14	708.18	435.55	241.19	387.02	281.09	476.71	1127.35	514.56	674.59	607.87	819.3	848.22	1001.93	909.17	409.15	525.39	830.75	373.81	273.37	409.15	497.0	373.81	256.78	563.18	307.69	571.05	503.95	253.23	848.22	466.88	325.29	214.27	189.02	351.14	476.71	642.59
ERGIC2	318.57	237.86	0.0	0.49	1794.29	1662.49	1896.65	2739.08	2502.97	1498.22	2537.92	2384.37	2739.08	2090.03	1529.73	2240.11	1594.73	2591.27	2255.7	1883.54	1467.37	2956.17	1721.16	1769.57	2047.0	1819.35	2178.83	1832.01	2209.26	2367.9	1806.78	1936.53	2520.38	2133.97	3039.3	2835.7	1359.57	1617.0	1674.06	1417.35	2178.83	1487.87	1583.71	1340.84	1896.65	1331.57	2915.45	2240.11	2018.8	2148.82	2178.83	1277.29	2163.77	1963.57	1977.24	2502.97	2555.58	1572.76	1733.13	2720.15	2796.65	1313.23	1769.57	2163.77	1733.13	2591.27	1769.57	1991.0	1857.6	2004.85	2004.85	1617.0	2133.97	1674.06	1369.04
EYA3	82.87	55.89	128.79	376.41	194.36	211.31	180.02	358.54	267.73	389.72	239.52	177.53	198.47	262.2	223.41	202.66	256.78	281.09	246.28	305.55	221.86	264.03	189.02	244.57	348.71	205.5	454.09	198.47	198.47	343.89	264.03	229.72	185.11	202.66	309.83	264.03	148.09	149.12	128.79	327.56	162.14	116.78	209.84	271.48	258.57	414.87	316.37	212.78	273.37	175.07	363.56	201.25	275.28	178.77	267.73	264.03	199.85	164.42	295.11	234.57	271.48	163.28	325.29	265.87	177.53	316.37	214.27	186.4	202.66	209.84	142.01	176.29	126.12	215.77	142.01
FAM151B	11.21	8.78	0.0	0.16	29.06	22.1	26.1	44.57	44.57	21.47	44.25	26.67	50.63	46.18	32.13	32.13	65.72	49.21	29.7	57.49	29.48	50.27	25.35	36.79	34.26	17.0	66.65	31.9	24.11	60.39	36.53	33.78	36.01	23.76	30.34	43.32	33.54	27.25	24.63	39.79	33.54	24.28	26.67	57.08	32.59	74.58	33.3	47.5	50.63	53.57	34.26	33.78	98.04	43.63	26.28	46.18	41.81	30.34	32.36	37.32	36.53	20.41	41.52	20.11	36.01	43.63	33.06	27.05	23.42	21.32	17.0	26.28	25.17	28.04	55.89
FBXO11	183.82	119.26	0.0	0.73	346.29	555.41	460.44	830.75	928.3	406.31	836.53	447.82	759.08	607.87	497.0	463.65	540.19	624.99	616.37	665.29	728.11	759.08	417.77	660.68	463.65	447.82	718.08	334.46	432.53	688.78	575.03	463.65	480.04	438.59	595.34	684.02	356.05	450.94	397.93	819.3	267.73	426.57	493.56	540.19	460.44	921.88	759.08	633.73	511.0	547.75	500.46	441.64	543.96	432.53	525.39	808.0	748.61	314.17	476.71	693.58	728.11	417.77	503.95	454.09	466.88	612.11	463.65	514.56	409.15	466.88	473.41	466.88	435.55	511.0	371.22
FKTN	44.89	17.38	102.25	53.19	75.64	118.43	104.42	318.57	258.57	151.22	246.28	100.83	248.0	127.89	96.01	103.69	108.9	217.27	122.64	156.59	157.68	251.48	132.44	183.82	144.01	100.83	532.74	115.97	100.13	215.77	130.6	147.06	107.38	104.42	128.79	169.07	55.89	88.88	79.45	253.23	96.68	69.03	132.44	90.77	123.5	248.0	177.53	289.02	189.02	162.14	201.25	112.77	139.07	109.66	127.89	242.88	187.71	73.54	147.06	226.54	215.77	81.71	143.01	97.36	80.01	246.28	94.67	155.5	79.45	133.36	74.06	87.65	75.64	77.79	87.65
FLJ20373	82.87	43.63	0.0	0.4	118.43	136.19	98.04	182.55	150.17	105.89	181.28	171.45	152.28	158.79	128.79	131.51	215.77	131.51	197.09	144.01	163.28	193.01	101.54	134.3	96.01	84.63	178.77	151.22	127.89	111.21	93.35	101.54	138.1	114.36	199.85	137.14	145.02	117.6	77.79	181.28	126.12	110.43	173.85	231.32	162.14	158.79	275.28	137.14	129.69	148.09	110.43	147.06	173.85	120.94	130.6	158.79	137.14	117.6	128.79	148.09	134.3	157.68	154.42	128.79	149.12	129.69	126.12	134.3	114.36	113.56	152.28	89.51	106.63	92.7	82.29
FSD1L	21.94	4.06	0.0	0.31	25.35	20.41	18.56	46.84	45.85	28.24	58.71	16.63	71.0	21.16	20.71	34.02	17.25	47.84	34.51	32.82	46.5	73.54	29.06	36.27	28.86	11.55	56.68	15.8	15.45	45.53	12.64	16.03	33.06	18.03	36.01	19.97	16.88	16.88	28.86	66.65	24.99	22.59	35.25	18.84	14.67	61.68	51.35	84.04	41.81	35.76	16.39	26.47	6.57	31.9	34.26	64.34	45.53	28.86	15.91	41.81	41.22	21.78	21.94	26.28	7.63	35.76	23.59	46.84	19.25	21.01	21.94	32.36	15.0	9.2	18.84
GABPB1	106.63	80.01	0.0	0.19	175.07	281.09	229.72	426.57	457.25	204.07	361.04	281.09	412.0	297.17	234.57	264.03	293.07	423.61	353.59	295.11	289.02	420.68	211.31	327.56	277.2	187.71	395.18	208.38	285.03	348.71	283.05	220.32	231.32	199.85	303.44	314.17	193.01	232.94	180.02	406.31	241.19	208.38	244.57	260.38	242.88	336.79	376.41	389.72	358.54	325.29	262.2	195.72	371.22	189.02	244.57	457.25	301.33	153.34	264.03	353.59	426.57	197.09	265.87	177.53	217.27	291.04	195.72	218.79	202.66	197.09	191.67	140.04	211.31	204.07	148.09
GALNT3	79.45	11.64	0.0	0.27	848.22	1191.69	928.3	2739.08	2875.3	2018.8	1551.09	1561.89	3419.52	1023.0	769.69	612.11	743.43	1378.57	1651.0	1551.09	753.83	2335.28	1268.46	1467.37	2133.97	642.59	2935.74	1685.71	1378.57	708.18	2645.74	981.29	1477.58	796.86	995.0	1583.71	698.41	909.17	1135.2	1023.0	1313.23	514.56	1322.37	708.18	988.12	2075.59	1508.65	1806.78	1651.0	995.0	1268.46	1639.59	1561.89	1286.18	961.07	1583.71	1191.69	1233.75	1159.07	1397.83	1551.09	336.79	1457.23	928.3	2104.58	1977.24	624.99	2417.67	373.81	529.06	723.08	555.41	1111.82	961.07	825.0
GART	555.41	334.46	0.0	0.69	669.92	366.09	514.56	759.08	813.63	808.0	947.83	536.45	780.44	808.0	713.11	450.94	878.17	1008.9	674.59	808.0	921.88	921.88	633.73	1008.9	848.22	432.53	642.59	543.96	723.08	1023.0	775.05	688.78	607.87	651.58	954.43	713.11	603.67	521.76	559.28	878.17	612.11	438.59	830.75	603.67	612.11	1844.76	909.17	878.17	884.29	896.64	890.44	698.41	688.78	521.76	651.58	995.0	728.11	591.22	878.17	890.44	934.76	486.75	684.02	490.14	525.39	974.5	518.15	660.68	435.55	540.19	444.72	444.72	518.15	476.71	366.09
GCA	327.56	126.12	0.0	0.16	454.09	603.67	460.44	669.92	587.13	612.11	656.11	336.79	633.73	514.56	518.15	536.45	332.14	624.99	656.11	457.25	660.68	642.59	450.94	571.05	575.03	361.04	698.41	511.0	444.72	872.1	414.87	476.71	583.07	379.04	624.99	743.43	368.65	395.18	312.0	872.1	536.45	343.89	599.49	277.2	547.75	403.5	866.07	665.29	579.04	902.89	518.15	567.1	567.1	403.5	384.34	743.43	493.56	293.07	703.28	647.07	543.96	348.71	563.18	420.68	341.51	591.22	343.89	567.1	397.93	395.18	295.11	287.01	447.82	341.51	450.94
GDPD1	48.87	5.28	0.0	0.06	103.69	84.63	53.95	341.51	204.07	99.43	271.48	55.89	295.11	134.3	101.54	80.01	507.46	312.0	571.05	102.25	161.02	183.82	67.12	90.77	108.14	60.39	432.53	126.12	260.38	253.23	176.29	145.02	134.3	87.03	145.02	129.69	142.01	87.03	81.71	287.01	125.24	37.32	316.37	147.06	102.97	395.18	117.6	206.94	244.57	281.09	221.86	163.28	490.14	173.85	84.04	151.22	78.34	198.47	100.83	167.9	325.29	66.65	275.28	79.45	351.14	199.85	64.8	138.1	90.14	38.95	25.17	29.91	65.26	61.68	50.98
GK	236.21	258.57	0.0	0.35	62.56	99.43	51.35	127.0	185.11	57.89	119.26	71.5	228.13	121.79	76.71	78.34	76.17	122.64	94.67	117.6	89.51	125.24	68.07	84.04	82.87	71.0	95.34	58.3	43.94	154.42	90.77	58.3	56.28	76.71	58.71	80.01	53.95	80.57	43.02	111.99	67.59	49.56	76.17	92.05	54.33	87.65	141.02	130.6	101.54	153.34	74.06	80.57	88.26	54.33	49.21	116.78	105.89	52.45	82.29	107.38	82.87	57.89	64.34	59.13	72.01	90.14	51.35	93.35	72.52	71.0	48.18	54.33	42.11	82.29	51.35
HAT1	194.36	229.72	0.0	0.61	503.95	1159.07	928.3	1295.13	1583.71	974.5	1242.34	1059.11	1551.09	1051.79	967.76	915.51	1233.75	1467.37	1268.46	1111.82	1088.92	1250.98	896.64	1096.5	1073.91	713.11	1268.46	1037.29	1096.5	1304.15	1259.69	1030.12	1066.48	872.1	1561.89	1378.57	1313.23	1001.93	866.07	1417.35	1044.52	718.08	1044.52	1119.56	1008.9	1030.12	1159.07	1242.34	1304.15	1369.04	981.29	836.53	1540.37	802.41	836.53	1313.23	1225.22	860.08	1199.98	1286.18	1151.06	698.41	974.5	860.08	902.89	1191.69	698.41	954.43	1066.48	934.76	872.1	866.07	1037.29	909.17	529.06
HAUS6	26.86	15.91	0.0	0.57	40.36	75.64	75.64	162.14	156.59	60.39	156.59	70.51	214.27	118.43	69.03	76.17	102.97	155.5	111.21	93.35	121.79	154.42	73.54	110.43	78.89	68.07	180.02	62.56	64.34	132.44	72.01	66.65	108.9	67.12	98.04	111.21	53.95	66.18	53.19	178.77	55.49	61.68	92.7	72.52	80.01	141.02	140.04	144.01	103.69	98.04	90.14	73.54	89.51	73.03	65.26	165.57	120.94	58.71	102.97	147.06	194.36	66.18	84.63	70.01	74.58	124.37	73.03	89.51	54.72	91.41	68.55	66.18	64.8	64.8	66.18
HELB	2.36	4.98	0.0	0.2	2.36	9.06	11.55	30.12	18.84	8.65	31.45	14.24	22.75	26.28	13.62	11.04	9.2	39.79	11.21	38.67	23.59	32.13	14.56	37.32	13.42	6.89	82.87	24.63	5.28	28.24	27.25	10.0	6.78	4.31	15.68	10.0	4.13	8.0	3.89	30.78	1.45	5.19	9.93	15.34	10.55	16.63	13.42	19.97	20.41	16.51	20.86	8.78	8.85	9.85	6.67	26.47	24.46	6.94	10.24	22.92	43.94	4.82	5.73	7.57	2.81	32.59	13.93	15.45	2.94	15.56	6.57	18.84	8.58	11.21	14.14
HNF4G	0.0	39.5	0.0	0.01	6.57	4.28	16.51	101.54	13.62	16.27	32.82	9.48	27.44	14.24	13.72	12.27	35.76	141.02	34.26	24.28	10.08	50.98	22.26	24.99	26.86	6.31	131.51	23.25	9.06	57.89	19.25	32.13	14.89	12.36	53.57	21.94	5.06	10.96	27.64	15.56	63.89	4.5	9.85	3.72	18.97	71.5	105.89	18.16	14.89	77.79	51.71	23.08	33.54	13.03	27.05	31.9	33.54	18.29	11.21	34.26	82.29	18.56	2.51	11.3	15.22	34.75	19.11	34.51	9.06	17.51	1.91	19.53	17.38	29.91	24.46
HNRNPA2B1	4972.34	5403.7	0.0	1.53	14163.58	12329.98	10440.2	15715.58	14561.8	13492.72	12329.98	10959.3	11827.67	12502.12	13586.57	12502.12	14361.31	13399.51	14765.09	14361.31	16496.96	15075.35	9474.59	14065.74	14163.58	10512.82	14461.21	14163.58	11992.79	18178.19	13968.57	13399.51	10733.74	10296.45	13399.51	13033.07	12853.63	12589.08	10368.08	15607.02	14765.09	9215.48	13399.51	11992.79	15934.98	20881.4	17317.18	13123.73	13492.72	15715.58	11664.82	9876.98	15824.9	11584.24	16045.82	14163.58	13215.02	13306.94	11992.79	12853.63	13968.57	12329.98	12329.98	10225.32	14663.09	13033.07	8479.89	9945.68	9876.98	11345.82	9945.68	9740.98	9088.59	12764.83	5913.33
IFNAR1	392.44	285.03	0.0	0.42	638.15	813.63	629.35	1073.91	1447.15	679.29	1477.58	860.08	1487.87	842.36	620.67	733.19	860.08	1151.06	915.51	896.64	764.36	1216.75	660.68	961.07	718.08	536.45	718.08	591.22	708.18	813.63	753.83	713.11	718.08	642.59	909.17	947.83	785.88	698.41	703.28	1427.22	432.53	620.67	555.41	723.08	521.76	738.29	825.0	1208.34	884.29	974.5	896.64	733.19	769.69	638.15	518.15	1498.22	1242.34	559.28	723.08	1561.89	1119.56	486.75	860.08	543.96	559.28	1199.98	713.11	688.78	633.73	599.49	587.13	679.29	708.18	620.67	579.04
IFNGR2	275.28	406.31	0.0	0.77	1427.22	2835.7	2018.8	2287.2	2758.13	1073.91	2502.97	2434.5	2664.15	3018.3	2032.85	1639.59	1508.65	2104.58	2335.28	2148.82	2816.11	2255.7	1467.37	2555.58	1662.49	1870.53	1159.07	1331.57	1359.57	2502.97	1498.22	1340.84	1340.84	1697.45	1832.01	1685.71	2335.28	2664.15	1498.22	2816.11	2061.24	2133.97	1709.26	1617.0	1832.01	1639.59	1963.57	2193.99	1977.24	2555.58	1721.16	1628.26	1909.85	1359.57	1781.89	3190.46	2287.2	1806.78	2240.11	2502.97	2303.12	1936.53	1628.26	1819.35	1991.0	2032.85	1639.59	1936.53	1697.45	2163.77	1769.57	1745.2	1991.0	1936.53	1857.6
IMPA1	206.94	156.59	0.0	0.27	212.78	249.73	217.27	866.07	507.46	339.14	591.22	291.04	457.25	387.02	309.83	244.57	371.22	1605.83	567.1	339.14	303.44	457.25	269.6	283.05	403.5	241.19	1175.27	299.25	232.94	483.38	336.79	426.57	366.09	273.37	567.1	518.15	190.34	218.79	423.61	444.72	521.76	181.28	384.34	366.09	397.93	406.31	497.0	226.54	327.56	775.05	638.15	384.34	656.11	275.28	387.02	384.34	507.46	295.11	251.48	392.44	450.94	249.73	397.93	287.01	381.68	555.41	212.78	417.77	287.01	271.48	248.0	185.11	258.57	202.66	205.5
ING3	126.12	36.53	0.0	0.35	139.07	224.97	158.79	341.51	376.41	156.59	309.83	177.53	334.46	273.37	153.34	154.42	283.05	395.18	723.08	297.17	256.78	339.14	113.56	258.57	177.53	140.04	854.13	155.5	189.02	376.41	205.5	182.55	172.65	118.43	167.9	145.02	136.19	132.44	124.37	279.14	153.34	155.5	215.77	169.07	221.86	198.47	260.38	316.37	271.48	237.86	217.27	131.51	218.79	129.69	159.9	389.72	220.32	120.1	186.4	283.05	403.5	177.53	167.9	145.02	212.78	258.57	182.55	169.07	127.0	249.73	143.01	108.9	161.02	177.53	94.67
INIP	117.6	90.14	214.27	86.43	277.2	339.14	262.2	444.72	450.94	348.71	379.04	251.48	423.61	264.03	269.6	332.14	256.78	323.03	320.8	289.02	371.22	373.81	285.03	358.54	325.29	285.03	473.41	217.27	309.83	503.95	289.02	323.03	297.17	262.2	358.54	426.57	202.66	246.28	166.73	406.31	249.73	248.0	285.03	256.78	366.09	525.39	361.04	426.57	287.01	384.34	373.81	223.41	400.71	256.78	258.57	361.04	426.57	206.94	291.04	356.05	406.31	214.27	316.37	195.72	334.46	368.65	262.2	283.05	312.0	275.28	223.41	223.41	373.81	269.6	309.83
JHDM1D	62.12	24.81	0.0	0.49	51.35	103.69	89.51	217.27	191.67	89.51	232.94	96.68	211.31	128.79	100.83	86.43	131.51	273.37	149.12	141.02	138.1	232.94	71.5	164.42	105.89	81.14	332.14	109.66	88.88	241.19	145.02	147.06	73.54	80.57	201.25	152.28	56.28	94.67	67.12	242.88	54.72	80.01	88.26	80.01	81.71	224.97	197.09	206.94	139.07	150.17	157.68	89.51	170.25	91.41	134.3	285.03	161.02	68.55	163.28	190.34	267.73	94.67	129.69	81.14	161.02	152.28	134.3	120.1	95.34	84.04	89.51	89.51	57.08	96.68	53.57
KIN	217.27	81.14	0.0	0.02	314.17	262.2	215.77	409.15	241.19	229.72	287.01	275.28	334.46	262.2	283.05	275.28	236.21	297.17	336.79	267.73	323.03	305.55	224.97	283.05	223.41	209.84	251.48	262.2	199.85	376.41	289.02	241.19	277.2	191.67	323.03	312.0	256.78	241.19	236.21	368.65	281.09	201.25	265.87	279.14	358.54	249.73	392.44	305.55	297.17	336.79	255.0	224.97	279.14	231.32	297.17	332.14	289.02	206.94	325.29	297.17	279.14	289.02	275.28	232.94	356.05	301.33	194.36	198.47	289.02	293.07	260.38	214.27	297.17	325.29	163.28
KLK3	112.77	0.0	0.0	0.0	1345768.59	1005860.33	731246.37	573724.06	311742.51	1116072.03	350728.68	1212874.47	459592.86	619179.28	887875.81	1163466.92	1116072.03	378516.38	751804.53	691801.16	472513.8	440870.9	925580.18	447025.24	1063212.58	1055868.42	691801.16	1255646.43	1187913.85	706337.4	1093103.58	1139523.1	919186.72	672883.8	746611.43	1327240.99	1147449.11	772940.66	978355.0	394590.4	1412675.8	822695.06	1238359.56	1327240.99	1196176.45	397335.0	485798.0	542775.98	736332.6	800198.39	985160.01	869603.57	919186.72	851707.37	762299.34	381149.17	767601.56	1212874.47	1238359.56	654483.73	320506.81	672883.8	1048575.0	736332.6	1345768.59	711250.37	585779.24	1472666.19	1229805.58	1019901.63	925580.18	834179.46	1063212.58	696613.03	273275.14
KRR1	224.97	82.87	941.27	295.11	325.29	547.75	403.5	1208.34	954.43	473.41	759.08	371.22	896.64	543.96	567.1	420.68	629.35	769.69	591.22	536.45	738.29	921.88	348.71	733.19	555.41	400.71	878.17	397.93	490.14	718.08	540.19	395.18	473.41	305.55	591.22	595.34	346.29	406.31	429.54	733.19	447.82	379.04	444.72	1447.15	579.04	620.67	684.02	802.41	684.02	536.45	518.15	339.14	612.11	366.09	406.31	884.29	775.05	457.25	529.06	842.36	1199.98	432.53	500.46	429.54	543.96	642.59	438.59	384.34	361.04	518.15	389.72	327.56	406.31	567.1	214.27
LAP3	1001.93	1757.34	0.0	0.39	1225.22	1268.46	1191.69	1437.15	1322.37	1167.14	1417.35	1066.48	1936.53	1594.73	1498.22	1030.12	1397.83	1477.58	1159.07	1467.37	1781.89	1594.73	1183.45	1259.69	1870.53	1037.29	1159.07	1191.69	1159.07	2520.38	1199.98	1417.35	1304.15	1369.04	1397.83	1651.0	1250.98	890.44	974.5	1529.73	1119.56	878.17	1233.75	1277.29	1628.26	1540.37	1369.04	866.07	1175.27	1697.45	1651.0	1051.79	1674.06	1175.27	1583.71	1388.16	1268.46	921.88	1322.37	1216.75	1427.22	796.86	1104.13	1199.98	1066.48	1508.65	1111.82	1369.04	1225.22	921.88	967.76	1111.82	1015.93	1037.29	1030.12
