	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.E2.A15M.01A.11R.A12D.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.AC.A23C.01A.12R.A169.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A0E9.01B.11R.A115.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.G4.6586.01A.11R.1774.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.D7.6820.01A.11R.1884.13	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	TCGA.AJ.A3BG.01A.11R.A19W.07
MYEF2	25.91	239.52	511.0	356.05	587.13	500.46	323.03	351.14	395.18	255.0	346.29	674.59	336.79	620.67	476.71	607.87	0.0	0.16	169.07	603.67	46.84	77.25	15.68	198.47	540.19	155.5	14.56	44.25	15.68	2.94	11.47	5.87	4.66	0.0	20.86	40.64	33.78	20.26	43.32	43.63	297.17	26.86	327.56	24.81	80.01	6.36	85.82	75.64	232.94
MYNN	206.94	698.41	511.0	381.68	417.77	536.45	379.04	325.29	444.72	536.45	329.84	429.54	373.81	536.45	493.56	587.13	135.24	295.11	170.25	273.37	127.89	173.85	124.37	275.28	295.11	180.02	441.64	223.41	177.53	120.94	125.24	71.0	155.5	0.0	164.42	162.14	277.2	129.69	209.84	137.14	253.23	164.42	255.0	217.27	157.68	136.19	146.03	237.86	137.14
NAT1	723.08	5147.73	16045.82	7331.05	4328.55	2796.65	6699.25	7382.04	2468.49	15934.98	7749.1	13492.72	1806.78	7589.61	4639.29	4575.41	57.89	156.59	186.4	312.0	397.93	191.67	33.78	61.25	124.37	24.63	214.27	73.54	197.09	61.68	100.13	151.22	60.39	0.0	73.03	147.06	95.34	45.53	361.04	223.41	167.9	441.64	155.5	165.57	180.02	75.11	220.32	157.68	94.01
NCOA2	107.38	1030.12	599.49	514.56	389.72	759.08	547.75	381.68	525.39	567.1	518.15	567.1	651.58	878.17	511.0	612.11	688.78	358.54	181.28	287.01	84.63	154.42	87.65	220.32	323.03	166.73	161.02	242.88	264.03	114.36	248.0	165.57	275.28	195.72	267.73	273.37	476.71	258.57	187.71	226.54	281.09	220.32	325.29	470.14	104.42	120.1	291.04	194.36	53.95
NCOA3	249.73	679.29	583.07	708.18	551.56	748.61	583.07	329.84	1313.23	281.09	389.72	373.81	457.25	890.44	444.72	547.75	532.74	229.72	170.25	397.93	123.5	224.97	111.99	414.87	343.89	209.84	320.8	423.61	368.65	72.01	113.56	74.06	18.03	299.25	414.87	403.5	361.04	194.36	329.84	273.37	507.46	232.94	579.04	457.25	237.86	305.55	351.14	303.44	136.19
NFATC3	141.02	426.57	503.95	521.76	366.09	299.25	417.77	381.68	395.18	450.94	406.31	381.68	384.34	511.0	351.14	384.34	115.16	92.05	135.24	264.03	90.14	195.72	125.24	221.86	339.14	231.32	297.17	182.55	239.52	71.0	130.6	82.29	58.71	0.0	138.1	295.11	285.03	111.99	171.45	224.97	193.01	183.82	348.71	291.04	92.05	180.02	251.48	190.34	92.05
NIN	142.01	928.3	620.67	559.28	346.29	703.28	607.87	417.77	595.34	616.37	327.56	275.28	490.14	353.59	599.49	417.77	237.86	232.94	156.59	285.03	88.88	273.37	119.26	121.79	269.6	169.07	154.42	214.27	159.9	144.01	85.82	20.41	65.26	0.0	194.36	244.57	244.57	127.89	120.1	215.77	287.01	178.77	307.69	152.28	108.9	97.36	171.45	109.66	137.14
NRIP1	118.43	1870.53	1088.92	967.76	1340.84	1662.49	665.29	651.58	974.5	197.09	1151.06	591.22	1023.0	941.27	708.18	1073.91	514.56	791.35	785.88	1151.06	122.64	163.28	75.11	231.32	183.82	93.35	175.07	275.28	182.55	46.18	67.12	37.59	423.61	0.0	381.68	463.65	500.46	59.55	239.52	251.48	211.31	190.34	201.25	392.44	60.39	100.83	147.06	114.36	57.08
NTN4	679.29	878.17	3614.55	775.05	1340.84	1936.53	1709.26	2303.12	2018.8	10808.41	2997.45	3039.3	3443.31	2956.17	2627.46	2075.59	229.72	224.97	3794.3	2485.67	154.42	152.28	29.27	56.68	67.12	55.49	70.51	293.07	258.57	46.84	76.71	123.5	155.5	0.0	607.87	463.65	954.43	329.84	323.03	759.08	141.02	265.87	341.51	173.85	629.35	57.89	896.64	934.76	67.12
OCRL	194.36	483.38	802.41	543.96	392.44	629.35	591.22	429.54	540.19	312.0	493.56	392.44	420.68	507.46	830.75	603.67	186.4	251.48	260.38	325.29	429.54	199.85	175.07	460.44	454.09	412.0	441.64	277.2	493.56	149.12	127.0	102.97	81.71	0.0	186.4	258.57	189.02	96.68	291.04	295.11	381.68	195.72	299.25	373.81	199.85	236.21	271.48	287.01	180.02
PAPOLG	121.79	327.56	297.17	264.03	432.53	332.14	381.68	249.73	299.25	277.2	242.88	177.53	249.73	218.79	264.03	249.73	163.28	118.43	163.28	194.36	74.06	117.6	70.51	173.85	163.28	115.16	181.28	153.34	118.43	46.18	40.07	25.17	42.11	136.19	125.24	109.66	130.6	108.14	117.6	178.77	201.25	281.09	221.86	237.86	81.14	111.21	109.66	129.69	60.82
PLEKHF2	226.54	1572.76	1617.0	1350.18	1437.15	1733.13	928.3	836.53	2209.26	1286.18	1127.35	1794.29	1447.15	1870.53	1119.56	941.27	269.6	490.14	262.2	341.51	105.15	169.07	135.24	212.78	285.03	127.89	114.36	255.0	175.07	153.34	212.78	96.68	133.36	0.0	379.04	514.56	392.44	400.71	220.32	251.48	291.04	206.94	412.0	392.44	185.11	139.07	283.05	260.38	134.3
PRCP	1498.22	1963.57	6607.01	2255.7	4010.71	1001.93	3540.14	2701.35	2758.13	3372.43	3235.01	2178.83	2451.44	2032.85	2915.45	2119.22	1844.76	3103.19	2997.45	2367.9	660.68	1037.29	346.29	599.49	624.99	1001.93	1119.56	1295.13	1561.89	1697.45	909.17	1757.34	571.05	0.0	1111.82	1242.34	1923.14	872.1	480.04	1417.35	961.07	836.53	1096.5	2468.49	748.61	733.19	941.27	915.51	934.76
PSMD10	995.0	1233.75	1407.55	1359.57	1583.71	1037.29	1427.22	1304.15	1286.18	1340.84	1259.69	1498.22	1151.06	1359.57	1216.75	1250.98	981.29	1551.09	921.88	1159.07	890.44	791.35	665.29	1073.91	1015.93	947.83	1225.22	928.3	764.36	392.44	563.18	312.0	260.38	1498.22	660.68	842.36	934.76	490.14	909.17	587.13	1857.6	493.56	802.41	728.11	941.27	629.35	698.41	647.07	753.83
PUM2	497.0	1583.71	1674.06	1561.89	1605.83	2090.03	1286.18	1457.23	1757.34	1896.65	1467.37	1447.15	1477.58	1417.35	1674.06	1733.13	1199.98	1216.75	872.1	1183.45	559.28	748.61	559.28	954.43	981.29	703.28	743.43	723.08	656.11	299.25	417.77	291.04	260.38	0.0	860.08	595.34	967.76	559.28	521.76	647.07	1081.39	629.35	1159.07	1159.07	521.76	642.59	555.41	493.56	361.04
RABEP1	204.07	2018.8	2468.49	884.29	1397.83	1857.6	2133.97	3018.3	941.27	2956.17	2997.45	1769.57	1909.85	1467.37	1583.71	3081.75	173.85	211.31	420.68	575.03	441.64	384.34	332.14	218.79	265.87	248.0	463.65	267.73	253.23	150.17	187.71	134.3	229.72	291.04	305.55	309.83	438.59	339.14	281.09	339.14	353.59	236.21	371.22	708.18	277.2	281.09	307.69	332.14	228.13
RAP2C	371.22	693.58	961.07	2485.67	723.08	1437.15	1259.69	1051.79	1313.23	764.36	559.28	629.35	723.08	1477.58	759.08	679.29	258.57	279.14	277.2	228.13	293.07	371.22	406.31	486.75	587.13	325.29	599.49	612.11	532.74	356.05	353.59	248.0	246.28	656.11	368.65	346.29	447.82	157.68	417.77	329.84	466.88	423.61	536.45	384.34	283.05	231.32	414.87	397.93	99.43
RAPGEF6	23.42	624.99	358.54	289.02	220.32	703.28	273.37	209.84	212.78	175.07	206.94	155.5	258.57	171.45	169.07	253.23	62.56	87.65	49.21	107.38	56.28	76.71	41.81	73.54	114.36	50.27	94.01	112.77	74.58	33.06	43.94	14.14	31.45	38.67	75.11	90.77	85.82	39.5	83.45	97.36	90.14	101.54	148.09	150.17	43.02	59.13	66.18	63.45	29.06
REST	100.13	1233.75	480.04	397.93	392.44	947.83	341.51	412.0	497.0	612.11	473.41	493.56	417.77	426.57	348.71	476.71	271.48	228.13	186.4	253.23	105.15	201.25	91.41	152.28	201.25	84.04	150.17	181.28	136.19	43.63	64.8	28.65	57.49	0.0	275.28	348.71	258.57	129.69	228.13	271.48	275.28	178.77	223.41	348.71	129.69	152.28	193.01	173.85	85.82
RNF13	684.02	3372.43	1991.0	1963.57	1794.29	2240.11	1883.54	1617.0	1331.57	1745.2	1369.04	1437.15	1594.73	1135.2	1447.15	1697.45	1059.11	1447.15	1159.07	1457.23	583.07	780.44	563.18	1242.34	708.18	571.05	660.68	703.28	723.08	432.53	713.11	389.72	540.19	0.0	1030.12	1583.71	1651.0	409.15	620.67	1175.27	854.13	860.08	1250.98	684.02	698.41	490.14	587.13	780.44	551.56
SLC24A1	80.01	236.21	358.54	221.86	336.79	248.0	161.02	271.48	435.55	303.44	271.48	285.03	406.31	208.38	332.14	329.84	161.02	190.34	273.37	325.29	76.71	105.15	101.54	100.83	99.43	71.0	111.21	89.51	73.03	71.5	52.08	54.72	56.28	102.25	153.34	103.69	133.36	84.04	187.71	108.14	226.54	88.88	165.57	209.84	86.43	64.34	82.29	133.36	56.68
SLFN5	175.07	988.12	638.15	665.29	878.17	1594.73	825.0	229.72	1030.12	521.76	348.71	226.54	785.88	547.75	262.2	1044.52	656.11	159.9	713.11	1030.12	123.5	343.89	53.19	242.88	368.65	195.72	221.86	185.11	303.44	26.86	27.05	13.22	17.64	0.0	674.59	884.29	361.04	110.43	353.59	180.02	289.02	215.77	371.22	599.49	137.14	356.05	215.77	122.64	78.34
SMEK2	521.76	1991.0	1233.75	1378.57	1721.16	1651.0	1561.89	1199.98	1304.15	1233.75	1051.79	1295.13	1159.07	1051.79	1295.13	1183.45	567.1	884.29	525.39	1127.35	463.65	595.34	432.53	878.17	947.83	571.05	967.76	708.18	603.67	279.14	403.5	171.45	271.48	0.0	748.61	928.3	854.13	612.11	866.07	703.28	967.76	1216.75	1127.35	1073.91	483.38	733.19	454.09	514.56	307.69
SOS2	189.02	638.15	559.28	497.0	603.67	612.11	460.44	397.93	567.1	698.41	457.25	363.56	486.75	400.71	476.71	579.04	178.77	170.25	277.2	363.56	163.28	173.85	116.78	309.83	327.56	177.53	234.57	244.57	232.94	82.87	75.11	63.45	87.03	0.0	356.05	368.65	603.67	144.01	208.38	265.87	373.81	217.27	249.73	303.44	150.17	136.19	218.79	214.27	88.88
SPAST	163.28	412.0	242.88	262.2	332.14	432.53	226.54	191.67	267.73	264.03	185.11	205.5	232.94	209.84	194.36	253.23	215.77	158.79	159.9	217.27	109.66	133.36	88.26	239.52	175.07	94.67	208.38	178.77	143.01	59.13	79.45	52.45	44.25	0.0	182.55	124.37	142.01	90.77	145.02	133.36	209.84	128.79	231.32	232.94	69.52	113.56	74.06	88.88	82.29
SPIN1	521.76	2032.85	2119.22	1447.15	1857.6	2163.77	1259.69	1605.83	1322.37	1427.22	1844.76	1350.18	1721.16	1388.16	1832.01	2047.0	483.38	723.08	2573.36	3325.99	470.14	518.15	348.71	743.43	995.0	547.75	540.19	603.67	547.75	71.5	144.01	183.82	76.71	0.0	660.68	785.88	819.3	412.0	361.04	890.44	860.08	612.11	511.0	941.27	457.25	583.07	417.77	379.04	323.03
SS18	323.03	1457.23	1540.37	1477.58	1437.15	1757.34	1111.82	1250.98	1540.37	1447.15	1175.27	1167.14	1378.57	1295.13	1551.09	1909.85	587.13	1233.75	1167.14	1477.58	395.18	915.51	532.74	854.13	733.19	444.72	830.75	830.75	878.17	287.01	363.56	332.14	854.13	738.29	1216.75	1030.12	1008.9	591.22	813.63	890.44	1143.1	748.61	1151.06	1001.93	665.29	674.59	665.29	769.69	551.56
STRBP	351.14	764.36	1313.23	1277.29	941.27	961.07	813.63	1066.48	1331.57	665.29	1008.9	1001.93	748.61	981.29	1030.12	785.88	1051.79	733.19	346.29	769.69	660.68	159.9	239.52	507.46	532.74	543.96	426.57	366.09	197.09	70.01	140.04	71.5	88.26	206.94	500.46	392.44	438.59	217.27	285.03	287.01	503.95	356.05	791.35	518.15	195.72	327.56	312.0	303.44	297.17
TAOK1	117.6	1119.56	543.96	470.14	483.38	1721.16	406.31	412.0	591.22	511.0	409.15	432.53	457.25	624.99	420.68	733.19	208.38	171.45	239.52	242.88	130.6	193.01	118.43	305.55	239.52	112.77	209.84	320.8	241.19	59.55	69.03	28.65	76.71	148.09	202.66	285.03	275.28	102.25	264.03	236.21	303.44	190.34	305.55	334.46	103.69	236.21	155.5	165.57	70.01
TBC1D9	215.77	4268.94	3168.41	4298.64	3540.14	4639.29	1250.98	5041.77	2367.9	6164.49	5183.54	6607.01	2645.74	3257.52	2047.0	4736.79	142.01	414.87	902.89	988.12	26.28	60.39	11.04	87.03	69.03	19.39	44.25	99.43	93.35	25.35	152.28	72.01	8.65	0.0	253.23	476.71	226.54	199.85	223.41	277.2	101.54	171.45	202.66	132.44	141.02	72.52	217.27	208.38	226.54
TBCK	127.0	909.17	336.79	379.04	575.03	1008.9	353.59	351.14	563.18	551.56	346.29	693.58	438.59	395.18	379.04	500.46	231.32	220.32	473.41	500.46	193.01	232.94	88.26	199.85	521.76	241.19	244.57	341.51	214.27	97.36	122.64	107.38	23.42	0.0	271.48	133.36	223.41	140.04	232.94	299.25	327.56	193.01	201.25	842.36	181.28	122.64	234.57	237.86	137.14
THAP6	102.25	454.09	379.04	339.14	371.22	384.34	249.73	264.03	275.28	379.04	348.71	334.46	373.81	255.0	226.54	525.39	152.28	169.07	170.25	246.28	145.02	185.11	133.36	156.59	267.73	120.94	182.55	172.65	148.09	116.78	101.54	40.64	37.59	0.0	150.17	214.27	228.13	127.0	173.85	194.36	246.28	295.11	150.17	209.84	111.21	84.63	146.03	175.07	108.9
TMCC1	463.65	1225.22	599.49	583.07	503.95	947.83	555.41	775.05	669.92	1151.06	607.87	684.02	688.78	669.92	738.29	470.14	1015.93	591.22	483.38	884.29	289.02	316.37	180.02	384.34	346.29	295.11	211.31	395.18	314.17	53.95	221.86	177.53	144.01	281.09	521.76	624.99	511.0	165.57	260.38	450.94	366.09	186.4	273.37	329.84	231.32	171.45	229.72	178.77	248.0
TMEM150C	181.28	423.61	1008.9	155.5	123.5	878.17	713.11	368.65	954.43	417.77	563.18	934.76	293.07	1551.09	854.13	1794.29	195.72	974.5	723.08	1199.98	232.94	68.07	11.13	107.38	66.65	105.89	77.25	44.25	70.01	85.82	133.36	117.6	10.88	21.32	242.88	303.44	473.41	444.72	125.24	74.06	178.77	33.06	166.73	277.2	71.0	19.53	309.83	52.08	8.06
TMEM25	684.02	237.86	1191.69	603.67	470.14	353.59	511.0	1001.93	934.76	1127.35	1605.83	813.63	928.3	497.0	1519.15	769.69	159.9	153.34	878.17	808.0	33.78	68.55	24.46	232.94	181.28	223.41	122.64	99.43	106.63	176.29	32.36	239.52	38.12	0.0	314.17	237.86	260.38	183.82	195.72	94.67	318.57	98.73	154.42	128.79	212.78	141.02	211.31	242.88	21.32
TP53INP1	94.01	1529.73	1183.45	698.41	1923.14	1073.91	1008.9	808.0	1191.69	974.5	713.11	759.08	1030.12	647.07	753.83	1008.9	171.45	170.25	575.03	348.71	49.91	180.02	60.39	118.43	136.19	91.41	177.53	117.6	157.68	262.2	1540.37	525.39	642.59	0.0	217.27	379.04	134.3	150.17	115.16	226.54	115.16	128.79	198.47	226.54	88.26	76.71	217.27	285.03	71.0
TRIM34	182.55	178.77	299.25	291.04	147.06	289.02	285.03	279.14	251.48	329.84	309.83	305.55	291.04	176.29	198.47	221.86	450.94	94.01	314.17	291.04	77.25	95.34	42.71	164.42	55.49	18.03	45.21	115.97	98.04	20.56	42.71	42.71	7.82	0.0	145.02	144.01	289.02	58.71	88.88	54.72	119.26	96.68	156.59	97.36	87.03	3.47	228.13	193.01	49.56
TTC14	269.6	1540.37	1277.29	460.44	583.07	693.58	698.41	551.56	497.0	435.55	483.38	693.58	607.87	890.44	660.68	848.22	102.25	173.85	559.28	417.77	185.11	392.44	301.33	500.46	647.07	231.32	688.78	728.11	249.73	86.43	273.37	55.49	123.5	0.0	285.03	171.45	255.0	281.09	733.19	497.0	237.86	265.87	629.35	102.25	293.07	177.53	381.68	209.84	129.69
TXNDC16	41.81	432.53	307.69	256.78	211.31	426.57	450.94	220.32	743.43	366.09	215.77	228.13	239.52	273.37	314.17	366.09	59.13	107.38	221.86	237.86	98.04	51.35	49.56	66.65	93.35	19.53	71.0	43.32	60.82	40.93	44.25	29.91	20.26	0.0	92.05	78.34	133.36	34.26	92.7	90.77	186.4	47.84	86.43	127.89	40.07	76.17	102.97	93.35	49.91
UBE3A	251.48	1143.1	1191.69	1135.2	1583.71	1697.45	1191.69	1037.29	1477.58	1096.5	1081.39	1583.71	1073.91	1359.57	1030.12	1313.23	551.56	718.08	483.38	802.41	312.0	476.71	406.31	551.56	629.35	493.56	1008.9	567.1	493.56	255.0	312.0	134.3	264.03	417.77	559.28	591.22	748.61	305.55	759.08	525.39	808.0	583.07	813.63	785.88	253.23	450.94	318.57	353.59	346.29
UBR2	123.5	775.05	429.54	409.15	397.93	769.69	497.0	392.44	463.65	521.76	454.09	454.09	444.72	457.25	392.44	490.14	162.14	193.01	173.85	265.87	172.65	279.14	199.85	226.54	395.18	195.72	293.07	249.73	525.39	99.43	136.19	121.79	110.43	173.85	223.41	384.34	384.34	295.11	201.25	201.25	291.04	884.29	376.41	264.03	146.03	221.86	248.0	218.79	109.66
UBTD2	195.72	555.41	669.92	791.35	819.3	551.56	860.08	547.75	764.36	813.63	791.35	543.96	728.11	791.35	514.56	679.29	224.97	285.03	432.53	638.15	182.55	291.04	177.53	211.31	346.29	151.22	273.37	341.51	190.34	116.78	167.9	113.56	77.25	109.66	248.0	246.28	256.78	104.42	180.02	312.0	202.66	224.97	307.69	334.46	237.86	320.8	281.09	187.71	234.57
UHMK1	305.55	2417.67	1519.15	1561.89	1674.06	3280.18	1191.69	1199.98	947.83	1819.35	819.3	1950.0	872.1	1457.23	1322.37	1277.29	314.17	295.11	373.81	669.92	293.07	397.93	246.28	403.5	819.3	265.87	379.04	395.18	403.5	221.86	289.02	228.13	232.94	532.74	473.41	323.03	503.95	237.86	1143.1	325.29	579.04	353.59	444.72	500.46	264.03	426.57	316.37	281.09	142.01
USP51	4.13	64.34	96.01	41.52	75.11	72.52	34.75	63.0	31.45	37.85	51.35	47.84	45.85	39.79	92.7	65.72	2.51	19.97	48.18	183.82	2.23	7.22	1.35	6.21	3.99	2.86	6.94	5.06	7.17	25.91	7.51	2.51	3.17	0.0	4.54	7.17	35.0	4.13	2.14	22.1	17.25	3.86	17.0	3.66	9.34	1.89	14.89	13.22	0.82
UTP23	153.34	450.94	616.37	733.19	473.41	384.34	679.29	400.71	723.08	426.57	450.94	389.72	555.41	642.59	348.71	579.04	82.87	132.44	224.97	153.34	201.25	242.88	119.26	249.73	303.44	260.38	389.72	226.54	204.07	67.12	199.85	50.27	149.12	0.0	199.85	234.57	258.57	305.55	414.87	273.37	289.02	297.17	256.78	285.03	190.34	249.73	226.54	218.79	92.05
VAMP7	312.0	366.09	507.46	376.41	514.56	346.29	620.67	417.77	476.71	389.72	450.94	423.61	457.25	476.71	351.14	457.25	409.15	346.29	262.2	351.14	186.4	218.79	151.22	239.52	271.48	202.66	358.54	246.28	204.07	400.71	356.05	228.13	121.79	0.0	275.28	373.81	297.17	96.68	277.2	295.11	279.14	256.78	334.46	329.84	307.69	244.57	191.67	182.55	137.14
VAV3	16.27	1757.34	2935.74	954.43	4010.71	2075.59	1073.91	3491.39	2178.83	4298.64	2835.7	1617.0	2720.15	1991.0	1437.15	1572.76	2032.85	2335.28	143.01	450.94	198.47	8.65	23.25	406.31	31.9	0.19	34.75	49.56	110.43	17.51	9.56	13.62	8.85	0.0	285.03	155.5	289.02	366.09	101.54	119.26	420.68	470.14	493.56	53.19	21.94	10.47	120.94	98.04	1378.57
VBP1	961.07	1073.91	1359.57	1407.55	1757.34	974.5	1781.89	1030.12	1119.56	1111.82	1143.1	1605.83	1104.13	1127.35	1127.35	1008.9	679.29	759.08	536.45	633.73	878.17	902.89	753.83	954.43	825.0	995.0	1259.69	854.13	620.67	688.78	500.46	237.86	251.48	0.0	567.1	902.89	579.04	318.57	848.22	420.68	1008.9	555.41	860.08	493.56	540.19	563.18	476.71	420.68	748.61
VCPIP1	47.84	674.59	285.03	241.19	234.57	532.74	260.38	195.72	229.72	166.73	197.09	187.71	267.73	171.45	153.34	281.09	73.03	84.63	92.7	120.94	57.49	90.14	58.3	90.77	125.24	71.0	88.88	96.01	94.67	38.4	64.8	30.56	115.16	0.0	137.14	118.43	106.63	78.89	104.42	119.26	135.24	114.36	149.12	156.59	80.57	62.56	84.63	81.71	33.78
VN1R1	1.51	64.8	40.07	19.82	11.64	32.36	43.02	40.36	16.63	18.03	23.42	42.41	10.88	26.47	63.89	46.84	7.17	23.08	10.63	49.21	1.64	8.51	3.11	16.63	25.72	4.39	1.57	17.77	11.3	1.64	8.65	0.0	0.32	0.0	6.89	1.99	18.43	2.73	24.63	17.77	8.06	3.63	15.8	4.17	10.08	6.78	14.67	6.06	2.61
VPS13B	65.26	693.58	624.99	591.22	457.25	764.36	466.88	323.03	480.04	305.55	329.84	409.15	412.0	423.61	389.72	457.25	84.63	191.67	260.38	234.57	111.21	206.94	106.63	246.28	262.2	195.72	194.36	226.54	258.57	97.36	161.02	54.33	77.25	0.0	136.19	126.12	205.5	221.86	204.07	264.03	199.85	205.5	251.48	460.44	105.89	129.69	129.69	166.73	67.12
VPS41	301.33	1111.82	1175.27	1519.15	866.07	825.0	1225.22	651.58	1066.48	974.5	854.13	1008.9	909.17	1397.83	890.44	1242.34	353.59	327.56	435.55	555.41	336.79	432.53	242.88	738.29	500.46	361.04	287.01	567.1	679.29	229.72	249.73	201.25	71.0	379.04	356.05	473.41	603.67	273.37	432.53	665.29	518.15	532.74	785.88	638.15	329.84	303.44	327.56	400.71	406.31
WWP1	547.75	1594.73	2935.74	3280.18	1733.13	2555.58	2895.31	1819.35	2400.97	2485.67	2303.12	2255.7	2240.11	1519.15	1628.26	2855.44	679.29	915.51	420.68	480.04	490.14	336.79	332.14	403.5	447.82	211.31	555.41	384.34	353.59	483.38	796.86	521.76	373.81	0.0	483.38	796.86	738.29	567.1	599.49	507.46	466.88	583.07	684.02	1295.13	447.82	579.04	432.53	444.72	256.78
YTHDF3	169.07	1437.15	1073.91	995.0	967.76	1259.69	791.35	796.86	1639.59	842.36	848.22	848.22	1066.48	1073.91	718.08	988.12	307.69	348.71	500.46	514.56	269.6	353.59	258.57	429.54	567.1	361.04	438.59	476.71	466.88	215.77	363.56	275.28	435.55	0.0	595.34	414.87	563.18	536.45	432.53	660.68	547.75	629.35	591.22	808.0	316.37	368.65	371.22	366.09	208.38
ZBTB33	102.25	733.19	603.67	454.09	441.64	708.18	612.11	414.87	540.19	429.54	381.68	373.81	507.46	579.04	476.71	500.46	397.93	327.56	232.94	256.78	194.36	129.69	90.77	156.59	135.24	117.6	251.48	133.36	100.83	67.12	223.41	87.03	97.36	0.0	420.68	190.34	229.72	102.97	182.55	167.9	285.03	176.29	258.57	297.17	145.02	195.72	127.0	143.01	86.43
ZBTB6	86.43	470.14	336.79	293.07	323.03	457.25	214.27	241.19	387.02	236.21	198.47	301.33	231.32	189.02	205.5	273.37	94.01	119.26	115.97	153.34	80.01	89.51	55.89	100.83	143.01	63.89	129.69	120.1	98.04	14.78	31.22	28.45	47.84	0.0	107.38	87.03	114.36	49.21	75.64	110.43	147.06	123.5	126.12	120.94	51.71	94.01	75.11	86.43	42.11
ZMYM4	215.77	1030.12	713.11	836.53	688.78	1111.82	651.58	466.88	896.64	947.83	713.11	902.89	808.0	612.11	579.04	848.22	199.85	343.89	579.04	848.22	291.04	291.04	208.38	325.29	323.03	241.19	234.57	241.19	249.73	59.97	94.67	49.91	43.94	0.0	358.54	587.13	540.19	195.72	368.65	343.89	540.19	356.05	341.51	543.96	180.02	237.86	209.84	287.01	191.67
ZMYND11	426.57	1286.18	1295.13	1950.0	1242.34	1250.98	1051.79	1304.15	1388.16	1583.71	1651.0	3018.3	1745.2	1551.09	1733.13	1628.26	215.77	540.19	974.5	1268.46	454.09	647.07	318.57	647.07	796.86	1044.52	387.02	363.56	429.54	164.42	287.01	220.32	189.02	0.0	688.78	748.61	1037.29	447.82	733.19	473.41	733.19	450.94	660.68	884.29	417.77	327.56	414.87	540.19	356.05
ZNF148	117.6	1001.93	780.44	486.75	395.18	603.67	435.55	460.44	583.07	775.05	483.38	521.76	470.14	759.08	563.18	480.04	165.57	124.37	155.5	371.22	78.89	136.19	72.52	237.86	248.0	177.53	166.73	175.07	187.71	48.87	85.22	34.26	39.22	0.0	181.28	214.27	368.65	141.02	220.32	178.77	237.86	215.77	287.01	269.6	111.21	133.36	180.02	159.9	89.51
ZNF24	152.28	1605.83	1159.07	902.89	1001.93	1936.53	728.11	647.07	1322.37	1447.15	974.5	7537.18	1151.06	819.3	967.76	1709.26	220.32	199.85	403.5	466.88	218.79	356.05	234.57	246.28	249.73	181.28	279.14	260.38	256.78	189.02	234.57	148.09	264.03	0.0	444.72	423.61	409.15	457.25	353.59	312.0	525.39	417.77	486.75	483.38	215.77	356.05	325.29	327.56	218.79
ZNF260	111.99	612.11	325.29	283.05	316.37	551.56	283.05	273.37	316.37	314.17	341.51	167.9	358.54	301.33	403.5	409.15	120.94	100.83	141.02	228.13	108.9	89.51	78.34	82.87	100.13	68.07	23.59	99.43	108.14	21.16	57.89	10.79	21.63	53.95	108.9	136.19	221.86	52.82	61.68	152.28	86.43	81.71	95.34	158.79	67.12	50.27	69.52	115.97	72.52
