	TCGA.AZ.6605.11A.01R.1839.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.ZPCL.1826.SM.57WF1	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YEC3.2426.SM.5IFJR	GTEX.13QBU.1826.SM.5IJG3	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.WYVS.0826.SM.4RTXB	GTEX.13G51.1026.SM.5K7YQ	GTEX.QESD.0726.SM.4R1KQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.A3.3313.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.145LU.1326.SM.5LU9N	GTEX.12WSM.0726.SM.5GCOW	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.13NZB.0626.SM.5IFH6	GTEX.ZVT4.0626.SM.5E45T	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8487.01A.11R.2402.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.BR.8588.01A.11R.2402.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
CNN1	887875.81	579.04	728.11	463.65	10084.54	432.53	19082.0	7180.15	26248.46	15607.02	616.37	366.09	7911.95	1242.34	42054.3	37121.34	35118.87	87075.75	63302.6	59063.35	48307.85	33224.42	39237.98	28525.2	125.24	178.77	320.8	98.04	76.17	1806.78	366.09	351.14	1819.35	176.29	341.51	122.64	656.11	921.88	44.25	80.57	532.74	37.32	58.3	144.01	343.89	41.81	96.68	50.27	76.17	135.24	2004.85	24.11	90.14	599.49	44.89	19.39	119.26	17558.94	205.5	57051.4	184082.4	7966.99	6561.36	6652.97	60723.88	65082.31	1001.93	131071.0	95286.54	88291.3	1081.39	40904.3	5366.37	102.97	1051.79	110.43
CRYBG3	1119.56	162.14	164.42	205.5	381.68	172.65	480.04	307.69	435.55	441.64	142.01	126.12	150.17	212.78	316.37	336.79	536.45	358.54	283.05	339.14	532.74	400.71	373.81	395.18	392.44	511.0	269.6	559.28	181.28	718.08	547.75	197.09	104.42	102.25	447.82	228.13	242.88	201.25	35.76	100.13	62.56	101.54	20.56	61.68	115.16	42.71	55.1	76.17	69.52	111.99	67.59	43.32	129.69	53.19	70.01	169.07	73.54	255.0	327.56	444.72	514.56	397.93	334.46	307.69	493.56	529.06	164.42	1088.92	961.07	825.0	178.77	384.34	237.86	320.8	583.07	242.88
CSRP1	1645391.11	4210.15	4639.29	3212.66	14163.58	3395.89	23492.92	12943.04	26614.89	21172.91	3742.05	3349.13	10585.95	5711.87	48643.87	30785.28	41763.8	72213.45	56657.31	71219.26	37639.55	33224.42	39785.74	31870.96	1950.0	4671.57	4937.99	3060.45	3589.58	4575.41	2835.7	2417.67	5219.6	1721.16	2855.44	3665.02	6037.61	4903.87	1844.76	450.94	842.36	1617.0	1437.15	2664.15	4836.35	1407.55	2816.11	2119.22	3349.13	5954.47	4575.41	1721.16	2061.24	9279.58	1844.76	1191.69	4419.52	15934.98	2701.35	45386.27	144427.91	7857.29	10014.87	9876.98	58655.36	66449.85	3690.52	107203.06	87681.42	98646.85	4358.66	25005.23	8191.0	4512.4	4903.87	10883.59
DAND5	808.0	6.73	3.99	3.35	13.12	1.45	14.24	7.94	13.62	20.11	1.51	2.32	7.75	5.02	77.79	24.46	0.91	27.05	44.25	8.99	18.03	20.11	28.45	3.41	0.46	3.86	132.44	0.96	10.47	0.0	4.86	2.81	1.71	9.27	1.79	0.45	2.01	0.0	0.41	1.07	0.0	0.66	3.35	0.29	0.0	0.0	0.97	0.97	2.07	0.0	1.08	1.0	0.97	0.0	0.0	0.0	1.2	1.2	1.46	26.47	29.7	8.19	7.4	6.31	10.31	16.27	5.59	63.89	66.65	72.01	6.26	1.85	3.38	23.93	8.13	118.43
DDR2	2627.46	100.13	186.4	180.02	368.65	102.25	441.64	273.37	555.41	447.82	100.13	60.39	141.02	420.68	1008.9	1127.35	693.58	1378.57	947.83	2018.8	1044.52	1023.0	1437.15	1594.73	33.06	12.55	21.63	21.78	32.82	31.22	89.51	199.85	186.4	1066.48	75.11	126.12	180.02	190.34	6.78	22.1	18.56	43.32	15.68	32.36	117.6	14.78	58.71	19.39	99.43	25.72	122.64	37.59	58.71	65.26	25.35	123.5	67.12	915.51	61.68	616.37	2520.38	221.86	536.45	441.64	1359.57	1674.06	102.25	1467.37	1378.57	1963.57	99.43	934.76	285.03	92.05	450.94	111.99
DMPK	34396.12	406.31	595.34	529.06	1051.79	460.44	1322.37	1127.35	2032.85	1950.0	514.56	460.44	629.35	547.75	10368.08	6164.49	4066.71	6840.04	8840.04	5954.47	5183.54	7382.04	5633.22	4607.24	85.82	884.29	466.88	599.49	147.06	848.22	1135.2	256.78	1225.22	279.14	532.74	273.37	607.87	212.78	403.5	126.12	86.43	106.63	151.22	120.94	314.17	170.25	220.32	87.03	204.07	232.94	348.71	291.04	264.03	191.67	190.34	70.01	217.27	1457.23	575.03	2875.3	6607.01	1183.45	1340.84	575.03	4769.75	4239.45	454.09	4802.93	5479.15	6037.61	620.67	2400.97	915.51	647.07	332.14	392.44
DPT	18689.27	275.28	915.51	403.5	1963.57	208.38	1832.01	1498.22	2335.28	3257.52	241.19	127.0	2047.0	941.27	9606.86	11664.82	6887.62	3146.52	12076.21	2434.5	14163.58	15392.14	17437.64	10368.08	5.73	0.47	71.0	6.52	22.59	748.61	0.0	5.06	19.97	110.43	15.68	82.29	341.51	180.02	0.78	8.38	52.45	189.02	1030.12	208.38	591.22	232.94	384.34	275.28	674.59	1001.93	2739.08	2104.58	153.34	1340.84	297.17	153.34	2018.8	842.36	45.53	444.72	928.3	206.94	403.5	232.94	466.88	1757.34	1.68	3901.01	4388.98	6121.9	329.84	7803.01	1721.16	20.26	373.81	6.16
DPYSL3	10659.59	229.72	275.28	228.13	660.68	244.57	866.07	497.0	1427.22	878.17	251.48	170.25	551.56	466.88	3794.3	4181.07	7081.29	8191.0	4903.87	6561.36	4802.93	4671.57	4639.29	3349.13	94.67	17.51	81.14	64.34	29.91	303.44	130.6	426.57	412.0	197.09	206.94	241.19	412.0	267.73	39.5	68.55	48.87	71.0	24.63	45.21	142.01	20.86	29.91	27.64	51.71	49.21	346.29	83.45	29.27	73.03	30.12	13.83	79.45	2682.69	269.6	4358.66	11189.6	825.0	1191.69	1832.01	6037.61	6840.04	507.46	4419.52	5555.65	5954.47	255.0	1709.26	599.49	764.36	2796.65	180.02
DPYSL5	58.71	3.76	6.67	3.5	7.88	2.68	5.23	5.45	4.28	7.57	3.14	0.73	3.53	9.93	0.79	0.38	2.01	17.25	3.72	2.84	2.1	4.06	11.04	1.69	0.44	0.47	0.0	0.46	0.0	0.0	0.48	0.0	0.84	27.44	2.18	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.39	1.0	0.99	0.28	0.0	0.0	0.34	0.29	0.0	0.23	0.32	0.27	1.22	4.39	0.38	15.68	5.32	0.87	4.28	1.99	40.64	29.91	0.78	26.47	26.86	12.09	0.53	4.24	0.0	0.0	0.87	0.89
EFS	674.59	52.45	71.5	50.98	82.87	42.71	92.7	117.6	140.04	146.03	38.4	25.91	69.03	73.54	1127.35	967.76	476.71	432.53	1313.23	223.41	1199.98	521.76	1561.89	587.13	11.38	2.01	12.45	6.31	10.71	22.75	41.52	49.21	46.84	20.11	32.13	49.21	94.01	69.03	8.13	4.66	4.28	12.36	15.0	11.21	38.67	26.28	19.11	6.41	43.02	35.5	61.25	29.48	32.59	14.67	15.91	3.59	33.3	109.66	26.1	202.66	183.82	35.76	112.77	72.01	249.73	285.03	32.82	429.54	423.61	397.93	98.04	412.0	139.07	170.25	158.79	38.12
EMILIN3	392.44	6.57	8.13	4.94	19.25	7.34	35.0	20.41	36.27	33.78	8.25	7.28	23.76	6.84	59.55	62.56	41.52	38.12	145.02	16.63	81.71	42.41	142.01	104.42	0.93	0.51	4.31	1.46	0.84	2.16	1.0	8.51	1.73	1.31	6.73	8.13	19.82	20.41	2.03	0.0	2.07	4.35	10.39	5.23	8.92	1.41	10.31	2.05	25.35	11.13	4.24	19.97	2.05	11.64	7.46	0.0	29.7	13.83	4.24	69.52	23.42	9.41	53.95	5.73	31.45	52.45	7.28	82.87	96.01	111.99	12.0	65.26	18.84	71.0	13.93	51.35
FBXL22	9540.5	13.52	22.26	14.03	212.78	21.01	137.14	100.13	271.48	281.09	16.03	14.56	88.26	50.98	616.37	201.25	90.14	1127.35	866.07	194.36	293.07	255.0	426.57	112.77	4.39	15.11	13.83	26.47	3.59	6.36	38.67	12.36	16.63	4.13	52.45	19.25	28.45	17.13	27.64	8.58	6.84	2.76	7.17	3.86	0.0	9.13	4.06	4.98	5.5	4.98	21.32	3.44	0.0	2.81	1.81	0.0	3.5	173.85	13.62	607.87	1733.13	130.6	183.82	92.05	547.75	791.35	23.25	915.51	1651.0	1359.57	16.03	249.73	71.5	31.67	45.53	5.32
FIGF	229.72	15.34	33.78	22.92	28.65	23.42	44.25	52.08	42.11	38.4	21.32	14.24	36.53	54.72	470.14	764.36	318.57	336.79	480.04	120.1	708.18	647.07	629.35	486.75	2.73	5.87	5.23	5.73	2.07	7.11	3.96	15.0	44.89	6.41	16.03	31.9	73.54	21.16	7.22	45.21	8.06	52.82	11.64	36.27	80.01	13.12	24.46	9.06	28.04	18.97	29.27	24.99	31.45	19.68	75.11	0.21	96.68	25.91	3.44	9.7	20.26	27.84	14.78	34.51	40.07	63.89	3.69	205.5	336.79	339.14	10.96	229.72	134.3	6.41	8.51	12.09
FLNA	1634025.56	5366.37	6699.25	4869.99	23009.42	4358.66	34158.52	21919.61	39510.91	43537.38	5147.73	3419.52	16843.62	9474.59	244588.0	233003.78	202841.44	171754.88	313910.86	191899.64	251464.33	296977.71	177811.84	169390.27	1487.87	1769.57	3589.58	2451.44	1508.65	10154.69	4419.52	11909.94	12853.63	6745.86	3614.55	3303.0	5633.22	4388.98	4123.49	1286.18	1662.49	988.12	1151.06	2090.03	6652.97	753.83	1397.83	884.29	2485.67	6699.25	4481.23	2240.11	2997.45	6745.86	1594.73	1151.06	1685.71	50011.46	3847.29	92040.7	258533.99	15180.22	28328.16	24832.5	182810.84	195931.88	9876.98	220434.95	204252.32	242898.5	7180.15	67846.12	19214.73	6294.04	16843.62	7911.95
FLNC	95949.32	54.72	92.05	78.34	738.29	59.55	1331.57	647.07	2956.17	1498.22	66.18	43.02	703.28	145.02	3665.02	2976.74	2664.15	8658.09	5255.91	8305.36	6121.9	3589.58	3564.78	2032.85	12.18	3.92	18.97	16.15	6.57	59.13	18.03	10.39	50.27	178.77	31.9	52.08	52.82	92.7	255.0	42.11	5.19	5.36	7.4	4.46	49.21	9.48	8.71	1.19	3.59	9.2	283.05	8.38	3.26	872.1	38.12	0.0	6.11	3467.27	23.08	5076.84	25354.3	967.76	571.05	1066.48	11267.44	12502.12	65.72	12589.08	8778.97	11664.82	102.97	2119.22	366.09	7.63	84.63	63.89
FLRT1	343.89	11.47	31.22	8.58	23.59	12.27	37.32	43.02	25.72	31.67	8.99	18.84	15.56	21.47	63.0	80.01	85.82	34.26	162.14	18.56	98.04	56.28	158.79	67.12	0.87	0.93	3.69	6.94	22.59	91.41	3.79	0.91	3.72	16.15	4.31	39.79	31.9	64.34	3.86	2.61	2.41	1.46	1.93	2.14	3.41	5.68	1.27	1.03	3.32	6.67	5.87	6.01	11.13	2.78	8.78	0.0	5.5	30.12	2.78	34.02	104.42	16.51	18.29	9.41	60.82	105.15	21.16	182.55	249.73	156.59	10.31	24.28	21.47	21.16	0.99	19.25
FMN2	392.44	10.39	7.22	3.29	47.5	7.17	90.14	24.63	92.7	73.54	7.06	6.31	48.18	13.12	12.09	15.34	5.41	32.82	20.26	3.41	9.41	4.24	21.01	29.48	0.91	7.22	7.06	64.34	2.43	165.57	21.32	0.0	4.66	3.38	68.55	156.59	187.71	101.54	0.0	0.0	0.0	0.73	0.0	4.78	0.0	0.0	0.0	3.53	0.04	3.89	0.62	0.0	4.46	0.0	0.01	0.0	0.06	14.56	1.95	49.56	114.36	10.88	13.72	13.72	48.87	71.0	10.63	56.28	121.79	92.05	9.2	21.94	3.89	0.0	5.59	0.0
FNDC9	53.57	3.11	3.23	4.24	6.41	2.73	8.0	7.06	3.56	12.74	3.14	1.89	2.14	3.5	2.25	0.0	6.78	1.57	6.94	6.78	17.25	5.19	0.0	2.36	0.91	0.48	1.41	1.43	1.22	2.84	0.97	2.34	2.97	3.38	2.66	0.91	5.02	2.23	0.0	0.0	2.56	0.0	0.43	1.16	0.23	0.68	1.11	0.35	3.32	0.0	2.01	0.0	0.0	0.89	0.72	0.0	1.13	2.81	0.0	12.55	4.35	1.73	0.0	1.64	6.11	2.58	0.33	13.83	12.09	15.22	1.25	1.17	0.0	0.0	0.73	0.75
FOXD3	197.09	4.28	3.89	6.41	15.34	6.46	13.62	26.86	17.51	14.78	7.0	6.21	21.32	14.78	86.43	109.66	127.89	79.45	166.73	29.48	191.67	169.07	251.48	83.45	0.0	0.0	0.48	0.0	0.84	1.73	0.0	0.0	0.44	0.44	0.0	0.45	6.16	5.06	0.0	0.0	0.0	0.0	1.68	0.83	7.17	4.78	1.73	0.13	2.61	1.85	4.46	1.13	4.13	2.43	0.0	1.07	2.71	16.75	0.0	34.02	37.85	5.41	9.2	4.82	43.02	48.87	1.89	92.05	115.16	111.21	11.73	29.7	3.66	0.0	3.92	1.91
FOXF1	3690.52	156.59	234.57	123.5	665.29	177.53	1030.12	514.56	961.07	703.28	202.66	156.59	341.51	231.32	1250.98	1508.65	3018.3	1313.23	1313.23	1757.34	1397.83	1977.24	1519.15	1183.45	58.3	13.62	40.93	75.64	19.97	432.53	61.68	157.68	55.89	26.67	31.0	18.29	60.82	64.8	9.63	11.73	8.92	96.68	38.4	99.43	371.22	20.86	63.0	19.53	83.45	57.08	86.43	46.84	132.44	126.12	111.21	25.17	145.02	723.08	103.69	1295.13	2148.82	414.87	759.08	775.05	2384.37	2367.9	191.67	3955.48	4575.41	4066.71	165.57	2720.15	277.2	104.42	72.01	98.73
FOXF2	3325.99	148.09	194.36	163.28	769.69	183.82	981.29	412.0	836.53	723.08	137.14	135.24	242.88	239.52	2468.49	1594.73	780.44	1806.78	2224.63	1388.16	1477.58	2047.0	1896.65	1295.13	2.71	1.46	3.32	1.91	1.23	8.19	7.34	13.12	11.91	7.63	5.77	2.68	2.53	2.25	5.96	6.36	2.86	8.19	6.36	0.35	12.36	0.32	2.07	0.0	0.41	6.57	0.39	0.32	0.31	1.79	0.0	0.0	0.46	466.88	29.7	785.88	1208.34	194.36	271.48	194.36	967.76	1030.12	118.43	2075.59	2816.11	2682.69	297.17	1991.0	273.37	5.73	66.18	16.03
FRRS1L	92.7	1.87	1.14	2.61	7.34	2.14	6.11	6.78	12.93	12.55	1.89	1.45	3.06	4.31	18.43	22.75	43.32	94.01	78.89	36.53	12.0	20.56	39.79	14.14	0.0	0.0	0.46	4.66	0.0	0.0	0.96	0.0	0.0	0.83	1.3	0.88	2.94	0.88	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.07	1.31	0.0	1.25	0.0	0.0	0.0	0.0	1.01	0.0	31.22	0.43	86.43	165.57	18.84	38.4	11.64	106.63	116.78	3.86	166.73	239.52	201.25	1.95	46.84	11.55	12.93	1.45	16.27
FZD7	2520.38	69.52	57.49	57.08	346.29	80.57	612.11	186.4	486.75	518.15	55.89	59.13	202.66	127.89	728.11	514.56	285.03	1104.13	507.46	819.3	555.41	718.08	669.92	348.71	64.34	318.57	15.56	49.56	11.38	199.85	703.28	44.25	149.12	38.4	113.56	186.4	336.79	178.77	12.36	29.48	5.28	14.67	6.21	15.91	20.71	7.69	10.88	6.01	15.22	64.8	42.71	67.12	11.82	28.45	16.15	18.97	20.26	438.59	96.68	260.38	813.63	118.43	180.02	183.82	463.65	583.07	435.55	429.54	629.35	490.14	65.26	353.59	260.38	33.78	314.17	61.25
GAS7	1023.0	125.24	144.01	124.37	189.02	100.83	206.94	255.0	262.2	211.31	105.15	62.56	156.59	346.29	928.3	1447.15	1127.35	718.08	1225.22	301.33	1350.18	1030.12	1794.29	1199.98	9.48	37.85	33.3	42.41	23.93	79.45	8.32	39.22	251.48	43.94	36.53	30.34	52.82	34.26	20.26	12.27	11.64	17.0	12.27	3.99	63.89	8.99	2.84	1.38	16.75	18.16	25.91	17.51	37.59	28.45	10.39	33.3	23.93	441.64	49.56	289.02	403.5	163.28	120.94	307.69	409.15	896.64	42.11	802.41	802.41	921.88	92.7	466.88	134.3	84.63	260.38	38.95
GLIPR2	3874.05	884.29	915.51	934.76	836.53	660.68	921.88	1073.91	1794.29	1277.29	860.08	656.11	1233.75	813.63	2018.8	1199.98	2271.4	1617.0	1639.59	1617.0	1639.59	1628.26	1781.89	1073.91	61.68	38.67	127.89	123.5	48.87	149.12	141.02	403.5	1051.79	211.31	253.23	69.03	126.12	116.78	397.93	84.04	71.0	73.03	69.52	43.32	81.14	66.18	52.08	60.39	78.34	156.59	130.6	93.35	102.97	100.13	30.78	62.12	68.55	642.59	171.45	884.29	1806.78	297.17	289.02	575.03	1044.52	1286.18	133.36	1950.0	1844.76	1685.71	178.77	693.58	283.05	198.47	599.49	289.02
GPM6B	1407.55	67.12	74.58	94.67	135.24	65.26	151.22	154.42	128.79	150.17	74.06	49.56	151.22	134.3	759.08	1857.6	1819.35	603.67	1477.58	532.74	1008.9	525.39	1781.89	848.22	7.57	6.21	12.55	17.38	12.09	118.43	16.39	16.15	41.22	16.39	43.32	80.01	134.3	161.02	94.01	3.0	3.2	6.06	5.23	15.34	15.11	13.62	5.19	2.81	12.0	20.11	28.65	11.91	23.08	26.67	5.23	2.97	8.71	94.01	11.21	244.57	432.53	63.45	84.63	80.01	303.44	476.71	25.17	1127.35	1242.34	1175.27	85.22	273.37	127.89	35.5	93.35	46.84
GPR22	18.97	0.36	1.51	0.0	1.41	0.69	0.0	0.82	2.32	2.43	0.74	0.0	3.38	0.34	0.0	2.43	1.22	2.53	6.84	0.83	1.28	0.47	6.84	1.3	0.0	0.0	0.0	0.0	0.0	2.73	0.46	0.44	2.1	0.83	0.42	2.61	0.0	1.28	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	5.96	8.06	15.11	1.41	1.93	0.96	3.96	7.11	0.0	11.38	50.98	12.09	0.0	0.0	1.36	0.0	0.0	0.0
GPR26	115.16	0.0	0.0	0.27	1.69	0.0	2.05	0.07	1.04	1.69	0.05	0.04	0.03	0.6	8.25	6.57	3.08	5.06	4.03	2.78	4.43	1.04	4.35	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	4.21	18.16	3.08	0.59	0.0	3.86	8.0	0.0	8.65	9.48	7.69	0.0	0.45	0.0	0.0	0.0	0.0
GPRASP1	961.07	46.18	47.84	58.3	77.25	58.3	171.45	94.67	169.07	131.51	31.0	37.85	52.08	54.33	258.57	301.33	497.0	450.94	493.56	351.14	389.72	214.27	346.29	241.19	15.34	6.84	35.5	117.6	19.68	111.21	38.95	55.1	126.12	62.12	53.57	221.86	187.71	166.73	34.26	11.64	5.73	15.8	24.63	33.3	72.01	32.13	38.4	13.32	38.4	26.67	100.83	35.5	34.02	23.42	44.25	10.0	25.17	142.01	13.32	277.2	521.76	73.03	125.24	78.89	406.31	432.53	55.1	500.46	587.13	540.19	24.99	170.25	56.28	329.84	163.28	112.77
HAND2	8840.04	63.89	93.35	85.22	599.49	55.89	454.09	267.73	791.35	1096.5	78.89	63.0	186.4	136.19	836.53	896.64	890.44	1081.39	915.51	764.36	579.04	563.18	780.44	1073.91	0.0	0.0	1.46	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	1.38	1.55	9.48	0.0	1.73	10.08	108.14	176.29	426.57	1685.71	28.65	153.34	10.71	679.29	423.61	232.94	223.41	275.28	166.73	223.41	7.46	599.49	780.44	26.67	1757.34	3928.15	438.59	583.07	249.73	2367.9	2915.45	155.5	3901.01	6426.31	5831.91	76.17	1350.18	111.21	27.25	86.43	10.79
HMCN2	4210.15	164.42	198.47	323.03	351.14	167.9	295.11	348.71	599.49	791.35	211.31	161.02	332.14	397.93	2133.97	2451.44	3564.78	1096.5	1806.78	1651.0	3190.46	1963.57	1066.48	1073.91	9.48	8.25	2.86	6.67	13.03	57.89	8.32	13.62	28.45	32.13	51.71	53.95	25.72	55.49	14.78	9.93	10.47	24.81	41.52	90.14	78.34	39.5	379.04	297.17	62.12	26.28	854.13	21.94	18.84	65.26	75.64	17.38	255.0	521.76	23.42	253.23	974.5	133.36	161.02	547.75	325.29	1191.69	47.5	450.94	603.67	1135.2	88.88	470.14	327.56	2.41	40.64	18.84
HSPA2	6561.36	384.34	366.09	155.5	954.43	211.31	1651.0	483.38	1685.71	1233.75	242.88	316.37	921.88	332.14	2163.77	1066.48	629.35	2287.2	1066.48	4388.98	866.07	1225.22	688.78	571.05	842.36	1806.78	1151.06	128.79	583.07	1721.16	438.59	117.6	134.3	934.76	1745.2	1639.59	941.27	2255.7	113.56	295.11	77.25	127.89	46.84	85.82	237.86	24.46	74.58	23.08	26.1	69.52	48.52	73.54	58.71	77.79	88.26	54.72	34.75	316.37	21.01	543.96	1073.91	229.72	366.09	329.84	860.08	825.0	33.54	2004.85	2701.35	2468.49	325.29	1119.56	500.46	119.26	156.59	400.71
HSPB7	13492.72	75.64	137.14	135.24	813.63	69.03	764.36	346.29	1674.06	1127.35	59.97	32.36	285.03	180.02	8901.53	3124.78	1977.24	6652.97	4639.29	2485.67	3103.19	4769.75	3081.75	2090.03	406.31	1037.29	392.44	229.72	376.41	1051.79	981.29	16.27	175.07	42.71	656.11	206.94	175.07	218.79	30.34	3.2	16.75	11.47	26.1	18.56	61.68	16.27	23.25	6.94	4.86	25.35	162.14	13.52	11.3	138.1	56.28	2.86	22.59	1757.34	37.05	4736.79	14163.58	1151.06	1242.34	483.38	5006.93	5219.6	244.57	9279.58	7966.99	7589.61	159.9	2047.0	1216.75	775.05	158.79	3589.58
INPP5A	5147.73	447.82	438.59	473.41	878.17	429.54	769.69	591.22	1030.12	825.0	429.54	426.57	460.44	599.49	1936.53	1225.22	928.3	2193.99	1721.16	1427.22	1216.75	1437.15	1519.15	1529.73	273.37	275.28	297.17	180.02	336.79	366.09	368.65	432.53	387.02	242.88	291.04	329.84	470.14	417.77	414.87	303.44	309.83	201.25	379.04	351.14	177.53	215.77	199.85	376.41	269.6	348.71	297.17	303.44	242.88	305.55	363.56	97.36	361.04	723.08	305.55	1001.93	1909.85	412.0	536.45	447.82	1250.98	1477.58	249.73	1857.6	2061.24	2061.24	441.64	902.89	612.11	507.46	334.46	316.37
ITGB1BP2	1183.45	20.26	18.97	16.03	33.06	19.53	59.13	34.51	92.05	98.73	10.96	10.08	52.08	18.03	371.22	173.85	132.44	480.04	327.56	180.02	229.72	195.72	175.07	123.5	6.41	1.01	37.05	2.43	0.44	22.92	15.22	5.23	52.82	14.14	10.31	18.97	13.22	17.64	4.46	14.35	10.39	3.14	11.3	20.26	17.9	18.03	26.67	10.88	3.76	13.62	47.84	14.67	45.85	32.82	22.1	29.06	17.25	49.56	22.92	162.14	346.29	50.63	55.49	28.24	165.57	185.11	8.32	361.04	429.54	423.61	33.78	71.0	29.48	12.0	25.35	47.84
JAM3	4181.07	147.06	172.65	132.44	403.5	157.68	368.65	273.37	579.04	607.87	127.89	108.14	253.23	256.78	1331.57	1151.06	954.43	1757.34	1388.16	1104.13	1561.89	1378.57	1397.83	1037.29	77.25	53.57	105.15	209.84	103.69	1037.29	262.2	1059.11	441.64	199.85	366.09	291.04	366.09	387.02	38.67	70.51	80.57	53.95	48.18	42.11	114.36	29.48	53.19	25.54	49.56	51.35	112.77	72.01	38.95	76.71	48.52	30.34	64.8	651.58	102.25	866.07	1733.13	297.17	486.75	403.5	1313.23	1583.71	140.04	2104.58	2061.24	2520.38	199.85	1295.13	384.34	366.09	583.07	299.25
JPH2	7537.18	24.81	42.71	26.86	309.83	22.92	348.71	187.71	571.05	387.02	27.44	27.44	187.71	76.71	2777.33	1407.55	616.37	2451.44	2417.67	1467.37	1498.22	1819.35	1467.37	921.88	7.28	373.81	638.15	26.1	4.94	69.52	84.04	67.12	76.17	25.91	25.72	24.11	42.41	48.87	214.27	1.33	4.43	1.58	2.07	1.73	9.48	1.23	0.84	4.31	2.39	9.63	19.39	4.46	2.03	14.78	3.17	0.43	3.08	525.39	7.75	819.3	2133.97	144.01	376.41	169.07	1572.76	1721.16	55.89	1977.24	1844.76	2090.03	54.33	738.29	223.41	58.3	18.97	115.16
KCNA1	269.6	0.21	0.77	0.0	8.78	1.79	8.06	5.06	11.82	12.64	0.22	0.0	1.75	0.21	0.47	10.0	4.06	10.0	1.71	0.0	0.0	4.5	19.11	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	2.94	0.0	0.43	1.48	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.34	0.0	5.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.13	0.0	46.5	796.86	11.82	0.77	1.11	68.55	151.22	0.0	743.43	1015.93	620.67	15.68	24.81	5.82	0.0	19.97	0.0
