	TCGA.67.3770.01A.01R.0946.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.97.8171.01A.11R.2287.07	TCGA.49.6742.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.12WSN.0626.SM.5BC61	GTEX.R55G.0826.SM.2TC5U	GTEX.WFON.0426.SM.3GIL4	GTEX.ZTPG.0926.SM.5O99H	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W	TCGA.22.5483.11A.11R.1820.07	TCGA.22.4593.11A.01R.1820.07	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EM.A3OB.01A.11R.A220.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FY.A3R6.01A.11R.A220.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.E8.A44M.01A.21R.A23W.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.FE.A22Z.01A.11R.A16R.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
COQ10A	198.47	358.54	164.42	155.5	343.89	248.0	165.57	176.29	212.78	229.72	287.01	384.34	229.72	239.52	318.57	281.09	195.72	133.36	241.19	256.78	217.27	285.03	414.87	90.77	325.29	366.09	255.0	170.25	237.86	237.86	221.86	204.07	132.44	229.72	190.34	137.14	376.41	273.37	264.03	320.8	329.84	341.51	299.25	285.03	190.34	275.28	273.37	262.2	343.89	371.22	202.66	356.05	217.27	327.56	384.34	283.05	246.28	281.09	305.55	214.27	260.38	295.11	314.17	318.57	258.57	346.29	351.14	181.28	587.13	353.59	381.68	271.48	281.09	329.84	343.89	185.11	420.68	265.87	486.75	305.55	299.25	289.02	312.0	339.14	318.57	260.38	293.07	253.23	343.89	190.34	267.73	273.37	264.03	358.54	211.31	271.48	387.02	483.38	262.2	231.32	397.93	262.2	209.84	305.55	258.57	353.59	301.33	325.29	167.9	299.25	417.77	351.14	237.86	224.97	267.73	346.29	329.84	327.56	353.59	307.69	305.55	460.44	339.14	224.97	316.37	241.19	224.97	181.28	241.19	178.77	220.32	403.5	281.09	204.07	275.28	318.57	120.94	334.46	289.02	224.97	232.94	287.01	215.77	320.8	265.87	368.65	305.55	275.28	204.07	356.05	400.71	493.56	183.82	387.02	371.22	379.04	289.02	223.41	429.54	348.71	155.5	205.5	332.14	371.22	514.56	329.84	279.14	211.31	361.04	334.46	295.11	381.68	228.13	267.73	387.02	289.02	351.14	237.86	236.21	224.97	417.77	329.84	320.8
CSAD	616.37	693.58	423.61	392.44	1081.39	854.13	287.01	1073.91	182.55	244.57	152.28	165.57	112.77	132.44	170.25	167.9	69.52	312.0	140.04	101.54	105.89	105.15	173.85	120.94	104.42	260.38	185.11	94.67	189.02	145.02	76.71	447.82	65.26	191.67	141.02	141.02	1561.89	791.35	450.94	1322.37	947.83	1674.06	1662.49	909.17	234.57	483.38	961.07	463.65	1447.15	1447.15	242.88	1350.18	974.5	1322.37	947.83	1066.48	866.07	813.63	866.07	432.53	633.73	947.83	909.17	813.63	1268.46	1781.89	890.44	540.19	1340.84	693.58	921.88	1233.75	703.28	1167.14	599.49	698.41	1304.15	444.72	1583.71	283.05	463.65	1037.29	981.29	785.88	802.41	1096.5	612.11	1208.34	1447.15	525.39	1143.1	785.88	289.02	1487.87	194.36	583.07	1096.5	1508.65	555.41	361.04	1143.1	1199.98	493.56	748.61	351.14	629.35	854.13	785.88	368.65	866.07	1757.34	1081.39	244.57	674.59	708.18	679.29	1304.15	1250.98	1001.93	525.39	1340.84	1111.82	1733.13	698.41	1088.92	723.08	603.67	490.14	819.3	295.11	242.88	1250.98	1119.56	529.06	460.44	819.3	198.47	813.63	703.28	470.14	872.1	1216.75	599.49	2119.22	656.11	1066.48	1183.45	775.05	808.0	743.43	902.89	988.12	279.14	1896.65	1350.18	2133.97	633.73	389.72	1175.27	819.3	361.04	629.35	780.44	941.27	1175.27	1015.93	884.29	412.0	988.12	1407.55	1096.5	1208.34	341.51	441.64	981.29	780.44	733.19	884.29	406.31	1023.0	738.29	764.36	718.08
CTC-360G5.1	3.66	7.46	0.0	4.86	17.77	7.57	3.82	9.56	5.68	12.74	7.34	22.75	1.48	7.82	7.51	6.26	2.2	4.86	7.34	4.82	2.78	7.0	1.79	0.2	2.25	5.32	8.58	5.77	2.2	2.01	9.06	0.0	1.45	2.27	1.3	3.03	29.27	14.24	9.34	19.97	42.11	22.43	38.12	35.0	4.58	8.85	15.68	13.72	50.27	24.28	13.93	15.0	26.67	31.22	48.87	48.87	16.75	22.59	25.91	7.34	15.34	19.53	10.08	13.42	5.06	55.89	17.13	9.34	15.8	10.79	52.08	15.91	8.92	17.25	16.63	16.51	82.87	15.45	54.72	10.0	8.65	17.25	17.0	6.36	14.78	36.79	25.54	27.44	24.28	7.69	47.5	24.81	5.32	31.22	7.63	5.68	28.24	26.86	10.08	5.73	52.08	9.06	6.84	10.08	15.22	19.97	30.78	9.41	17.13	26.67	33.54	29.48	5.68	22.75	10.63	29.27	50.98	20.26	21.78	7.46	40.36	42.41	37.05	15.11	14.67	23.42	8.85	12.55	8.13	16.27	2.97	28.45	16.27	11.47	3.86	19.68	0.0	18.84	13.22	11.82	14.67	8.85	4.24	21.16	28.45	44.57	25.72	16.27	13.03	16.39	31.45	15.22	7.4	101.54	40.64	27.84	20.56	9.13	24.99	10.16	4.06	32.59	15.68	28.65	27.84	24.11	18.7	5.73	15.91	29.91	31.22	23.76	5.32	15.45	27.84	16.63	14.78	13.72	8.78	14.14	16.88	17.38	24.99
D2HGDH	379.04	289.02	551.56	366.09	1073.91	902.89	376.41	1437.15	281.09	170.25	457.25	251.48	234.57	341.51	379.04	220.32	124.37	260.38	211.31	162.14	147.06	348.71	275.28	70.01	490.14	450.94	217.27	339.14	193.01	379.04	81.71	447.82	112.77	334.46	339.14	191.67	1008.9	624.99	514.56	872.1	967.76	1008.9	915.51	878.17	521.76	616.37	733.19	674.59	679.29	1001.93	384.34	1498.22	587.13	808.0	1088.92	1030.12	395.18	693.58	703.28	432.53	575.03	656.11	974.5	447.82	785.88	1733.13	733.19	420.68	1191.69	656.11	872.1	1104.13	591.22	974.5	674.59	1037.29	813.63	366.09	1119.56	603.67	656.11	842.36	1044.52	567.1	748.61	947.83	624.99	748.61	878.17	555.41	624.99	525.39	476.71	1001.93	267.73	656.11	595.34	743.43	470.14	830.75	1259.69	718.08	514.56	769.69	438.59	819.3	928.3	830.75	231.32	651.58	934.76	878.17	241.19	808.0	571.05	813.63	559.28	1073.91	780.44	642.59	981.29	1233.75	825.0	559.28	1001.93	660.68	769.69	507.46	366.09	476.71	295.11	848.22	748.61	426.57	417.77	738.29	194.36	902.89	591.22	723.08	1008.9	1051.79	457.25	934.76	470.14	753.83	723.08	748.61	1008.9	785.88	808.0	928.3	400.71	1437.15	1096.5	1111.82	660.68	507.46	759.08	723.08	381.68	587.13	995.0	1259.69	1519.15	921.88	733.19	521.76	764.36	1073.91	483.38	802.41	403.5	447.82	1250.98	674.59	327.56	460.44	423.61	684.02	759.08	620.67	521.76
DFNB59	72.01	23.76	25.35	18.97	36.53	27.25	23.76	63.0	30.34	16.39	34.26	32.13	25.72	17.0	24.81	21.32	4.39	30.78	15.11	29.48	14.78	14.56	27.25	17.9	31.9	57.08	32.59	15.0	23.93	26.1	127.89	35.25	7.11	27.84	21.16	11.21	89.51	48.87	30.56	55.89	94.67	90.14	64.34	74.58	49.21	49.91	107.38	41.52	77.79	68.07	29.7	55.49	62.12	57.49	69.03	92.7	53.57	55.49	47.5	56.68	62.56	58.71	44.57	140.04	45.21	130.6	48.87	46.18	47.84	45.53	106.63	54.33	53.95	51.35	28.24	53.19	49.21	35.25	44.57	41.22	26.67	109.66	32.59	63.89	55.1	71.5	52.45	73.03	128.79	25.17	72.01	68.07	25.72	111.99	24.11	36.27	55.49	108.9	37.05	12.18	43.32	146.03	34.51	28.04	28.04	57.49	67.12	84.63	114.36	50.27	99.43	76.71	33.3	42.11	40.07	38.67	90.14	48.18	55.49	29.06	113.56	76.17	85.82	51.35	87.03	56.68	38.95	37.85	45.53	46.5	37.85	49.91	71.5	32.36	45.53	53.95	6.36	55.89	72.52	44.25	39.22	56.68	80.01	122.64	36.27	102.25	81.71	39.79	59.13	57.49	70.01	27.25	11.64	123.5	82.87	150.17	101.54	19.68	61.25	25.72	47.17	66.18	83.45	52.82	67.59	73.54	42.41	18.43	74.58	92.05	53.95	105.15	50.63	27.84	51.35	92.05	78.89	73.54	43.02	59.97	38.95	48.18	76.71
DPH7	309.83	514.56	368.65	587.13	529.06	343.89	376.41	1225.22	253.23	232.94	158.79	224.97	178.77	348.71	277.2	223.41	269.6	234.57	189.02	232.94	140.04	164.42	309.83	287.01	249.73	236.21	283.05	305.55	228.13	198.47	253.23	226.54	248.0	339.14	239.52	269.6	1001.93	854.13	514.56	884.29	808.0	872.1	941.27	713.11	563.18	612.11	638.15	547.75	698.41	1044.52	397.93	866.07	688.78	796.86	796.86	728.11	607.87	669.92	500.46	470.14	543.96	518.15	733.19	633.73	660.68	1104.13	514.56	470.14	791.35	684.02	825.0	1030.12	607.87	802.41	571.05	647.07	954.43	283.05	921.88	599.49	543.96	842.36	738.29	540.19	825.0	791.35	651.58	902.89	1044.52	493.56	647.07	642.59	518.15	974.5	327.56	607.87	796.86	1088.92	486.75	470.14	785.88	555.41	470.14	703.28	559.28	616.37	624.99	642.59	486.75	665.29	1023.0	890.44	432.53	571.05	624.99	743.43	813.63	698.41	866.07	525.39	988.12	934.76	1119.56	693.58	813.63	503.95	547.75	551.56	490.14	463.65	521.76	769.69	890.44	738.29	555.41	624.99	256.78	743.43	684.02	525.39	743.43	698.41	514.56	866.07	591.22	896.64	660.68	698.41	723.08	642.59	688.78	567.1	470.14	1167.14	896.64	1233.75	642.59	438.59	738.29	536.45	387.02	638.15	665.29	825.0	872.1	921.88	660.68	486.75	808.0	941.27	688.78	796.86	441.64	551.56	733.19	633.73	728.11	642.59	529.06	775.05	693.58	860.08	759.08
DXO	480.04	633.73	486.75	441.64	796.86	277.2	329.84	785.88	277.2	142.01	154.42	346.29	228.13	265.87	320.8	242.88	237.86	197.09	244.57	211.31	108.9	133.36	262.2	172.65	181.28	320.8	220.32	258.57	171.45	118.43	332.14	281.09	183.82	251.48	223.41	236.21	703.28	629.35	543.96	656.11	780.44	713.11	684.02	780.44	503.95	591.22	579.04	551.56	647.07	769.69	555.41	698.41	599.49	674.59	638.15	660.68	503.95	587.13	514.56	457.25	511.0	521.76	660.68	567.1	620.67	703.28	493.56	555.41	759.08	620.67	785.88	674.59	651.58	642.59	583.07	713.11	785.88	647.07	796.86	511.0	603.67	693.58	633.73	651.58	583.07	647.07	612.11	718.08	713.11	341.51	679.29	559.28	486.75	728.11	723.08	441.64	651.58	848.22	271.48	551.56	808.0	507.46	660.68	514.56	432.53	480.04	698.41	559.28	599.49	684.02	764.36	693.58	480.04	466.88	483.38	567.1	854.13	629.35	669.92	493.56	693.58	674.59	703.28	616.37	665.29	529.06	567.1	521.76	497.0	334.46	400.71	698.41	738.29	624.99	620.67	555.41	368.65	674.59	571.05	490.14	693.58	607.87	358.54	723.08	651.58	791.35	607.87	571.05	559.28	674.59	642.59	693.58	486.75	775.05	813.63	791.35	624.99	412.0	753.83	547.75	371.22	547.75	599.49	651.58	836.53	698.41	591.22	497.0	688.78	825.0	684.02	698.41	389.72	656.11	583.07	575.03	738.29	665.29	389.72	669.92	703.28	791.35	603.67
ENTHD2	343.89	309.83	194.36	275.28	536.45	376.41	244.57	463.65	183.82	124.37	220.32	208.38	208.38	226.54	214.27	204.07	100.13	267.73	220.32	173.85	205.5	159.9	167.9	132.44	307.69	231.32	206.94	171.45	194.36	346.29	142.01	101.54	126.12	312.0	178.77	162.14	753.83	521.76	389.72	769.69	1104.13	1044.52	796.86	532.74	403.5	371.22	373.81	429.54	688.78	1030.12	339.14	587.13	543.96	775.05	612.11	616.37	412.0	483.38	438.59	343.89	460.44	412.0	595.34	429.54	392.44	890.44	318.57	400.71	616.37	403.5	603.67	698.41	412.0	759.08	397.93	429.54	743.43	256.78	674.59	384.34	303.44	633.73	525.39	403.5	400.71	599.49	583.07	624.99	872.1	397.93	450.94	497.0	368.65	595.34	202.66	441.64	802.41	1015.93	295.11	242.88	679.29	529.06	441.64	381.68	363.56	587.13	432.53	563.18	237.86	551.56	872.1	698.41	303.44	503.95	529.06	521.76	599.49	500.46	785.88	312.0	642.59	941.27	860.08	454.09	642.59	466.88	438.59	395.18	441.64	334.46	267.73	511.0	915.51	309.83	265.87	381.68	242.88	563.18	332.14	379.04	500.46	543.96	297.17	733.19	387.02	679.29	529.06	450.94	529.06	420.68	620.67	466.88	353.59	1111.82	753.83	1096.5	493.56	299.25	665.29	429.54	314.17	470.14	460.44	490.14	738.29	796.86	607.87	353.59	551.56	748.61	466.88	674.59	327.56	466.88	612.11	607.87	563.18	511.0	358.54	842.36	353.59	603.67	429.54
EPOR	182.55	277.2	92.7	191.67	253.23	267.73	105.15	204.07	170.25	194.36	187.71	279.14	115.97	221.86	155.5	125.24	108.9	161.02	70.51	119.26	191.67	105.15	147.06	120.1	114.36	260.38	226.54	45.85	79.45	231.32	198.47	239.52	161.02	110.43	171.45	165.57	3716.2	1277.29	1304.15	2104.58	2997.45	2591.27	3716.2	2335.28	540.19	974.5	1674.06	708.18	2485.67	3443.31	642.59	1857.6	1359.57	2758.13	3325.99	2209.26	1304.15	1605.83	1498.22	780.44	1096.5	1250.98	2384.37	1651.0	2271.4	3540.14	1617.0	1001.93	2090.03	1685.71	2682.69	2240.11	1250.98	3039.3	1437.15	1331.57	3589.58	1051.79	3768.09	679.29	1572.76	1870.53	2796.65	1617.0	1250.98	2384.37	1572.76	2502.97	2875.3	1127.35	1896.65	1519.15	708.18	3280.18	409.15	981.29	2075.59	2895.31	830.75	728.11	4010.71	1561.89	1175.27	1369.04	785.88	1250.98	1832.01	1583.71	599.49	2119.22	4268.94	2915.45	718.08	1313.23	1437.15	2609.3	3443.31	1844.76	2335.28	860.08	3081.75	3280.18	4481.23	1487.87	2047.0	1529.73	1073.91	1119.56	1111.82	583.07	540.19	2351.53	2855.44	1051.79	884.29	2319.15	738.29	1781.89	1175.27	1313.23	2004.85	2090.03	674.59	3190.46	1183.45	3190.46	1883.54	1407.55	2032.85	1794.29	2434.5	2163.77	624.99	5633.22	3467.27	3874.05	1277.29	791.35	2148.82	1572.76	579.04	1883.54	1733.13	1950.0	3742.05	2720.15	2209.26	854.13	1769.57	3146.52	2178.83	2018.8	514.56	915.51	3419.52	2004.85	2163.77	1322.37	854.13	1857.6	1909.85	2224.63	1259.69
ERMARD	878.17	334.46	379.04	444.72	463.65	500.46	518.15	559.28	358.54	312.0	426.57	457.25	336.79	511.0	454.09	500.46	151.22	457.25	457.25	417.77	301.33	392.44	476.71	269.6	444.72	674.59	470.14	392.44	438.59	563.18	460.44	387.02	191.67	295.11	237.86	358.54	595.34	532.74	389.72	583.07	500.46	688.78	708.18	698.41	414.87	473.41	514.56	470.14	532.74	738.29	409.15	525.39	607.87	748.61	674.59	693.58	507.46	638.15	536.45	450.94	507.46	379.04	532.74	486.75	543.96	723.08	470.14	470.14	483.38	603.67	693.58	607.87	493.56	651.58	420.68	395.18	559.28	476.71	723.08	473.41	271.48	708.18	551.56	559.28	555.41	679.29	529.06	525.39	620.67	371.22	583.07	669.92	389.72	642.59	348.71	497.0	587.13	674.59	366.09	368.65	583.07	603.67	599.49	387.02	368.65	514.56	497.0	583.07	406.31	476.71	665.29	733.19	316.37	567.1	438.59	684.02	728.11	457.25	703.28	447.82	603.67	638.15	638.15	450.94	575.03	381.68	466.88	503.95	429.54	295.11	297.17	642.59	656.11	536.45	420.68	567.1	228.13	503.95	748.61	460.44	486.75	559.28	301.33	571.05	483.38	860.08	525.39	503.95	480.04	476.71	483.38	480.04	368.65	947.83	819.3	759.08	518.15	384.34	638.15	480.04	356.05	559.28	529.06	559.28	551.56	486.75	603.67	417.77	684.02	718.08	536.45	486.75	381.68	447.82	629.35	511.0	457.25	551.56	414.87	638.15	363.56	723.08	607.87
FAM160A2	486.75	486.75	486.75	493.56	688.78	417.77	514.56	718.08	444.72	387.02	287.01	896.64	532.74	674.59	1127.35	769.69	291.04	559.28	457.25	379.04	551.56	339.14	642.59	540.19	400.71	669.92	674.59	460.44	507.46	713.11	500.46	476.71	267.73	497.0	426.57	371.22	1159.07	1073.91	647.07	1151.06	1051.79	1340.84	1119.56	1073.91	819.3	591.22	836.53	860.08	1051.79	1498.22	629.35	1250.98	981.29	1159.07	988.12	1127.35	915.51	915.51	934.76	703.28	813.63	934.76	1066.48	738.29	934.76	1583.71	669.92	698.41	1037.29	825.0	1304.15	1127.35	1037.29	1183.45	842.36	819.3	1030.12	759.08	1015.93	713.11	579.04	1191.69	921.88	769.69	934.76	1313.23	974.5	988.12	1331.57	708.18	884.29	728.11	497.0	1340.84	412.0	791.35	1030.12	1208.34	543.96	500.46	1199.98	1088.92	890.44	769.69	660.68	854.13	1073.91	825.0	620.67	866.07	1233.75	1073.91	525.39	872.1	878.17	988.12	1322.37	967.76	1044.52	743.43	1143.1	1295.13	1268.46	866.07	967.76	802.41	642.59	684.02	748.61	738.29	521.76	1015.93	1175.27	842.36	540.19	878.17	616.37	884.29	890.44	638.15	860.08	988.12	753.83	1977.24	819.3	1322.37	1088.92	842.36	934.76	647.07	1111.82	902.89	633.73	1963.57	1088.92	1437.15	974.5	497.0	1111.82	866.07	591.22	703.28	775.05	1159.07	1322.37	1088.92	934.76	860.08	1008.9	1259.69	928.3	1088.92	647.07	830.75	1015.93	1066.48	1044.52	860.08	642.59	1199.98	713.11	928.3	819.3
FAM186A	0.8	12.0	1.73	3.59	12.18	3.86	3.76	6.06	2.23	0.04	1.85	2.23	1.99	4.43	1.58	1.66	0.03	2.68	2.58	3.14	0.0	1.77	1.39	0.3	1.46	6.36	1.19	1.06	0.31	0.01	0.01	1.62	1.39	3.44	0.0	0.47	7.11	2.23	2.16	5.19	4.54	7.28	4.28	3.2	3.06	4.35	2.48	2.92	2.56	4.9	0.84	3.11	3.89	3.41	8.25	3.99	3.06	4.86	3.76	1.28	2.14	1.58	5.68	2.27	3.96	10.96	1.99	2.63	3.32	3.79	2.29	4.39	3.38	7.28	3.14	5.06	6.62	1.6	2.81	5.11	1.93	6.26	3.69	2.89	4.5	7.63	4.62	3.06	5.28	1.69	5.32	1.64	2.25	3.32	4.31	1.71	3.59	10.55	2.89	2.46	4.31	1.22	3.14	1.3	1.83	0.82	1.17	4.58	3.5	3.38	5.77	5.41	2.14	3.56	2.12	1.5	5.36	1.62	5.45	1.62	5.82	7.4	2.58	3.63	4.46	1.75	4.54	1.17	0.8	1.91	0.83	2.43	8.32	2.32	1.57	2.89	0.0	2.71	1.97	2.14	2.29	2.03	2.76	9.56	2.81	4.9	2.73	4.66	3.79	1.95	2.1	6.46	1.28	5.73	7.22	12.74	3.41	1.23	8.92	3.2	0.4	2.48	3.38	7.22	7.28	3.47	3.41	0.84	7.06	3.44	5.54	4.58	1.77	2.46	4.17	4.62	4.62	4.46	2.32	5.19	2.78	4.28	3.92
