	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.13QIC.2326.SM.5LU5N	GTEX.S32W.1626.SM.4AD6G	TCGA.G4.6321.01A.11R.1723.07	GTEX.ZVT2.1926.SM.5GU5T	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11NUK.1226.SM.5P9GM	TCGA.44.2662.11A.01R.1758.07	GTEX.11EI6.0826.SM.5985V	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.N7MS.0926.SM.2HMIZ	GTEX.13NYB.0626.SM.5MR47	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.43.6143.11A.01R.1820.07	TCGA.HU.8238.11A.01R.2343.13	GTEX.13OW6.2526.SM.5IJEC	GTEX.RWS6.0926.SM.47JXE	GTEX.ZYY3.1726.SM.5EGH3
FCF1	1427.22	470.14	796.86	693.58	688.78	1208.34	525.39	656.11	1030.12	708.18	1096.5	1313.23	728.11	420.68	915.51	753.83	753.83	620.67	854.13	884.29	1001.93	796.86	909.17	947.83	802.41	1015.93	444.72	748.61	1437.15	1250.98	1073.91	1151.06	988.12	1359.57	665.29	1909.85	878.17	1397.83	1350.18	954.43	1001.93	961.07	1936.53	1111.82	1457.23	830.75	1225.22	1096.5	1167.14	819.3	947.83	1127.35	1427.22	674.59	1519.15	1023.0	909.17	780.44	1286.18	941.27	356.05	361.04	285.03	271.48	229.72	525.39	447.82	224.97	118.43	423.61	336.79	665.29	336.79	226.54	295.11	490.14	358.54	612.11	329.84	397.93	473.41	262.2
FNTA	2555.58	1286.18	2287.2	1008.9	4038.61	2335.28	708.18	974.5	1540.37	1143.1	1286.18	3639.7	1378.57	954.43	1277.29	884.29	1143.1	988.12	848.22	1936.53	1685.71	1551.09	1447.15	1529.73	1617.0	1286.18	1378.57	1295.13	2018.8	1896.65	1322.37	1183.45	1407.55	2193.99	1427.22	1857.6	934.76	1225.22	1651.0	1487.87	909.17	1242.34	4543.8	785.88	2468.49	3614.55	1066.48	1745.2	2004.85	1088.92	1313.23	1447.15	1388.16	2434.5	2555.58	866.07	1259.69	1519.15	2163.77	2367.9	872.1	708.18	368.65	293.07	540.19	934.76	1183.45	872.1	698.41	332.14	1208.34	928.3	909.17	1427.22	1857.6	909.17	536.45	954.43	836.53	656.11	1073.91	555.41
GEMIN2	486.75	256.78	371.22	314.17	265.87	698.41	476.71	279.14	314.17	299.25	318.57	457.25	248.0	190.34	229.72	264.03	199.85	318.57	248.0	283.05	356.05	325.29	285.03	226.54	373.81	155.5	182.55	194.36	348.71	314.17	277.2	194.36	253.23	387.02	258.57	420.68	167.9	258.57	420.68	376.41	183.82	161.02	371.22	293.07	127.89	438.59	251.48	368.65	363.56	323.03	226.54	287.01	281.09	536.45	435.55	281.09	358.54	220.32	507.46	395.18	87.65	124.37	102.25	70.51	135.24	133.36	92.7	38.4	37.32	85.82	176.29	106.63	136.19	102.97	198.47	119.26	72.52	163.28	49.56	43.63	111.21	72.52
GNPDA2	283.05	253.23	182.55	351.14	167.9	450.94	117.6	177.53	283.05	212.78	473.41	223.41	387.02	262.2	579.04	291.04	239.52	267.73	209.84	341.51	444.72	295.11	273.37	409.15	307.69	215.77	191.67	289.02	633.73	511.0	379.04	384.34	480.04	684.02	314.17	490.14	295.11	603.67	518.15	733.19	231.32	229.72	1350.18	426.57	450.94	612.11	679.29	400.71	514.56	273.37	334.46	507.46	454.09	279.14	1437.15	303.44	500.46	320.8	395.18	708.18	111.99	88.88	80.01	17.38	43.63	172.65	171.45	86.43	32.13	131.51	223.41	251.48	145.02	116.78	110.43	147.06	104.42	232.94	105.89	96.68	150.17	72.01
GOLGA7	1950.0	941.27	2682.69	860.08	3168.41	1909.85	3325.99	679.29	1313.23	909.17	1023.0	2816.11	1199.98	1008.9	775.05	703.28	928.3	738.29	866.07	1286.18	1304.15	836.53	1096.5	1487.87	1721.16	1037.29	947.83	1073.91	1529.73	1674.06	1096.5	1159.07	1259.69	1467.37	909.17	974.5	813.63	2032.85	1143.1	1242.34	808.0	1417.35	3665.02	753.83	1427.22	2997.45	1199.98	1242.34	2485.67	660.68	620.67	961.07	854.13	1639.59	1617.0	669.92	1794.29	1242.34	1225.22	1857.6	607.87	616.37	642.59	529.06	363.56	775.05	438.59	246.28	665.29	703.28	825.0	500.46	423.61	764.36	603.67	473.41	563.18	743.43	1073.91	909.17	884.29	698.41
GOPC	525.39	379.04	299.25	325.29	323.03	480.04	318.57	273.37	265.87	358.54	387.02	660.68	397.93	275.28	403.5	642.59	361.04	277.2	353.59	514.56	571.05	559.28	400.71	476.71	371.22	412.0	242.88	361.04	884.29	591.22	500.46	454.09	493.56	633.73	316.37	909.17	503.95	674.59	866.07	583.07	540.19	285.03	1199.98	583.07	420.68	547.75	607.87	555.41	447.82	599.49	420.68	295.11	612.11	271.48	536.45	563.18	314.17	420.68	624.99	514.56	251.48	400.71	96.68	120.1	177.53	185.11	181.28	127.0	76.71	139.07	197.09	279.14	187.71	165.57	186.4	241.19	161.02	255.0	111.21	122.64	176.29	92.7
HDAC2	3018.3	1167.14	1350.18	1183.45	1295.13	3212.66	1896.65	1044.52	753.83	1397.83	2163.77	3395.89	1617.0	1359.57	2240.11	3124.78	1709.26	1259.69	1437.15	1529.73	2004.85	3124.78	1936.53	1896.65	4328.55	1498.22	1498.22	1529.73	2645.74	2061.24	1991.0	1477.58	1936.53	2335.28	1572.76	2468.49	1733.13	1781.89	4066.71	1909.85	2133.97	995.0	5441.3	1447.15	2240.11	1977.24	2224.63	1617.0	1733.13	915.51	1304.15	3190.46	1685.71	3190.46	1923.14	1066.48	1487.87	1508.65	1991.0	3039.3	941.27	974.5	363.56	291.04	303.44	830.75	616.37	854.13	447.82	759.08	1001.93	909.17	928.3	759.08	684.02	323.03	1044.52	909.17	728.11	872.1	796.86	642.59
KBTBD6	90.77	93.35	105.89	60.82	100.13	67.12	86.43	97.36	96.01	123.5	183.82	170.25	139.07	119.26	182.55	96.68	92.7	63.0	71.5	161.02	201.25	239.52	143.01	142.01	128.79	164.42	123.5	141.02	384.34	218.79	218.79	163.28	297.17	236.21	136.19	327.56	165.57	316.37	264.03	301.33	164.42	167.9	371.22	202.66	262.2	205.5	195.72	198.47	101.54	287.01	97.36	132.44	197.09	175.07	267.73	172.65	133.36	180.02	223.41	253.23	16.51	22.1	15.34	22.92	32.82	23.59	37.59	20.41	14.56	30.34	39.22	42.71	17.0	30.78	52.08	30.56	25.72	46.84	21.78	48.18	45.21	31.45
KHDRBS1	3540.14	1909.85	2178.83	1508.65	2796.65	2303.12	1844.76	1745.2	2417.67	1883.54	2287.2	2384.37	2075.59	2335.28	3280.18	2148.82	2104.58	2018.8	2209.26	1447.15	3060.45	2119.22	2835.7	2739.08	3060.45	1697.45	2047.0	2609.3	3212.66	2739.08	2537.92	2609.3	2520.38	3146.52	2351.53	2573.36	2468.49	2335.28	2645.74	2451.44	2032.85	2485.67	3589.58	2193.99	3349.13	2758.13	2875.3	2434.5	3081.75	2148.82	2090.03	2758.13	2645.74	2485.67	3081.75	2224.63	2555.58	1806.78	2816.11	3018.3	1340.84	1199.98	890.44	490.14	679.29	1529.73	1697.45	1359.57	1397.83	2104.58	1883.54	1561.89	1594.73	1529.73	1447.15	1268.46	1662.49	1697.45	1175.27	1286.18	995.0	1059.11
KIN	669.92	289.02	403.5	305.55	303.44	1111.82	295.11	246.28	507.46	314.17	417.77	543.96	314.17	256.78	279.14	603.67	301.33	269.6	387.02	356.05	607.87	780.44	318.57	381.68	400.71	305.55	255.0	267.73	543.96	312.0	426.57	361.04	466.88	514.56	387.02	466.88	301.33	329.84	575.03	426.57	343.89	341.51	872.1	435.55	429.54	497.0	441.64	406.31	432.53	529.06	406.31	323.03	435.55	647.07	486.75	486.75	381.68	234.57	444.72	503.95	221.86	186.4	60.39	81.14	125.24	231.32	127.0	149.12	117.6	172.65	154.42	194.36	114.36	178.77	170.25	177.53	141.02	224.97	176.29	131.51	101.54	45.53
LRP12	264.03	64.34	38.12	150.17	127.89	329.84	39.5	43.63	82.87	77.79	85.82	325.29	164.42	33.06	329.84	221.86	139.07	56.68	142.01	164.42	152.28	395.18	103.69	176.29	187.71	147.06	29.06	111.21	387.02	236.21	256.78	157.68	167.9	264.03	112.77	291.04	329.84	339.14	486.75	96.01	305.55	58.3	854.13	166.73	332.14	139.07	131.51	444.72	629.35	51.35	123.5	256.78	217.27	102.25	473.41	256.78	73.03	334.46	312.0	70.51	41.81	35.5	96.01	5.96	12.74	119.26	175.07	105.15	48.18	229.72	108.14	81.14	69.03	112.77	66.65	49.56	140.04	98.04	21.94	45.85	22.1	49.21
MGP	142439.51	469249.9	998912.34	381149.17	1139523.1	659036.03	593956.43	368165.8	502929.67	386469.83	736332.6	375901.76	623486.02	577714.63	425853.18	716197.51	546551.29	489177.0	400098.69	1196176.45	414208.18	539026.74	623486.02	434801.29	365622.68	706337.4	687022.54	425853.18	110983.6	453265.5	462789.59	408505.64	800198.39	397335.0	509950.32	358098.26	598087.73	378516.38	585779.24	1524599.69	496005.67	282912.21	107948.72	400098.69	565825.41	422911.59	334117.42	341137.96	475800.4	370726.6	565825.41	869603.57	331809.5	1100706.72	845824.19	496005.67	1308968.45	358098.26	614902.29	39510.91	1674.06	1617.0	14065.74	387.02	1023.0	34876.28	73221.53	37121.34	29943.43	29531.18	80683.28	66912.05	175363.84	75803.72	123144.13	29327.18	77934.88	44145.15	2682.69	3515.68	1286.18	1757.34
MKI67IP	2777.33	1199.98	1277.29	988.12	1175.27	1304.15	1277.29	909.17	708.18	1030.12	1651.0	1313.23	1617.0	743.43	988.12	1159.07	1073.91	860.08	647.07	1447.15	1617.0	1844.76	1487.87	1487.87	1870.53	836.53	988.12	1340.84	2271.4	1651.0	1225.22	1233.75	1605.83	1923.14	1519.15	1208.34	928.3	1369.04	1143.1	1551.09	748.61	1111.82	2682.69	1023.0	1304.15	1977.24	1277.29	1467.37	1427.22	928.3	1498.22	1896.65	1378.57	2956.17	1467.37	769.69	1369.04	1104.13	1143.1	2319.15	633.73	603.67	262.2	223.41	256.78	470.14	283.05	371.22	305.55	429.54	703.28	429.54	423.61	463.65	473.41	423.61	450.94	633.73	555.41	669.92	529.06	595.34
MRPL1	1199.98	403.5	466.88	346.29	435.55	497.0	271.48	307.69	309.83	373.81	559.28	305.55	460.44	281.09	287.01	295.11	414.87	521.76	287.01	563.18	616.37	466.88	403.5	483.38	332.14	305.55	426.57	429.54	764.36	698.41	450.94	361.04	507.46	733.19	511.0	665.29	540.19	612.11	454.09	514.56	348.71	309.83	1096.5	429.54	547.75	620.67	334.46	665.29	559.28	769.69	728.11	511.0	547.75	1225.22	651.58	525.39	836.53	414.87	579.04	830.75	289.02	301.33	131.51	202.66	320.8	221.86	220.32	157.68	191.67	128.79	289.02	204.07	211.31	189.02	197.09	256.78	251.48	348.71	318.57	389.72	555.41	150.17
MTERFD1	1242.34	543.96	954.43	417.77	1407.55	1088.92	1437.15	371.22	518.15	466.88	429.54	486.75	441.64	361.04	540.19	429.54	417.77	356.05	273.37	579.04	555.41	693.58	426.57	373.81	791.35	279.14	518.15	301.33	563.18	406.31	406.31	297.17	435.55	642.59	379.04	457.25	273.37	457.25	547.75	253.23	197.09	204.07	1088.92	563.18	102.97	616.37	336.79	529.06	551.56	293.07	329.84	563.18	289.02	1369.04	511.0	406.31	525.39	289.02	371.22	642.59	145.02	124.37	106.63	201.25	164.42	218.79	135.24	99.43	87.03	121.79	193.01	141.02	136.19	161.02	167.9	152.28	105.89	226.54	97.36	127.89	309.83	97.36
NAP1L2	22.59	63.0	7.94	137.14	16.27	7.34	22.26	41.52	5.32	56.28	136.19	9.85	43.32	7.88	8.71	15.22	20.41	88.88	6.31	65.72	154.42	19.11	120.1	106.63	72.52	22.43	16.75	108.14	158.79	166.73	143.01	134.3	186.4	143.01	127.0	493.56	158.79	183.82	157.68	287.01	199.85	128.79	708.18	73.54	84.63	273.37	189.02	204.07	87.65	343.89	122.64	17.25	260.38	206.94	130.6	71.0	246.28	80.57	171.45	679.29	3.63	25.35	54.72	1.35	6.84	50.27	31.67	13.62	0.75	7.57	26.86	67.59	1.07	6.46	8.51	3.03	3.17	56.68	9.78	6.36	9.34	6.73
NOC3L	896.64	155.5	262.2	131.51	193.01	387.02	285.03	220.32	212.78	193.01	323.03	320.8	255.0	187.71	264.03	131.51	164.42	148.09	244.57	205.5	281.09	258.57	249.73	228.13	379.04	209.84	140.04	178.77	543.96	334.46	287.01	231.32	239.52	435.55	229.72	376.41	289.02	327.56	293.07	341.51	256.78	209.84	543.96	293.07	387.02	426.57	336.79	490.14	242.88	215.77	356.05	656.11	309.83	255.0	353.59	283.05	241.19	208.38	366.09	271.48	50.98	90.14	25.35	17.38	81.71	99.43	55.89	91.41	100.13	90.77	96.01	149.12	69.52	120.1	94.67	76.71	157.68	122.64	30.56	63.0	60.82	28.65
NOL11	1857.6	688.78	1135.2	547.75	1030.12	1096.5	1561.89	764.36	1023.0	647.07	961.07	1340.84	842.36	450.94	1225.22	480.04	718.08	693.58	599.49	934.76	1008.9	902.89	819.3	679.29	1617.0	476.71	802.41	511.0	1216.75	769.69	693.58	769.69	802.41	1104.13	947.83	1096.5	441.64	753.83	698.41	775.05	555.41	684.02	1857.6	1030.12	896.64	1417.35	1088.92	902.89	713.11	780.44	896.64	738.29	808.0	1388.16	693.58	332.14	1447.15	441.64	688.78	1127.35	316.37	460.44	258.57	417.77	656.11	309.83	260.38	175.07	218.79	318.57	289.02	325.29	265.87	269.6	246.28	348.71	204.07	426.57	234.57	199.85	466.88	178.77
NOL7	1457.23	1111.82	1733.13	872.1	1447.15	2976.74	2032.85	1081.39	1216.75	1216.75	1605.83	1407.55	1286.18	1159.07	1135.2	961.07	1572.76	1259.69	1286.18	1561.89	1674.06	780.44	1551.09	1359.57	2720.15	1183.45	1806.78	1427.22	1561.89	1447.15	1199.98	1388.16	1199.98	1605.83	1674.06	1233.75	890.44	1242.34	1051.79	1199.98	813.63	1340.84	2090.03	1111.82	1561.89	1870.53	1066.48	1225.22	1806.78	1008.9	1233.75	2335.28	1350.18	2739.08	1583.71	1159.07	2119.22	830.75	1437.15	2224.63	995.0	743.43	575.03	429.54	500.46	819.3	543.96	529.06	748.61	902.89	775.05	651.58	612.11	497.0	796.86	860.08	775.05	1119.56	988.12	808.0	624.99	587.13
NUFIP1	187.71	85.22	121.79	68.55	89.51	78.34	176.29	88.88	106.63	105.15	115.16	198.47	115.97	84.63	112.77	68.55	74.58	78.89	77.25	100.13	153.34	130.6	129.69	121.79	116.78	111.99	88.88	130.6	273.37	137.14	125.24	105.89	138.1	170.25	105.15	161.02	66.65	115.97	167.9	151.22	87.03	100.13	256.78	114.36	255.0	167.9	151.22	129.69	151.22	115.97	97.36	150.17	130.6	161.02	191.67	92.7	138.1	83.45	165.57	163.28	31.9	17.13	30.34	35.5	34.75	43.63	24.81	24.63	30.34	45.21	38.12	50.98	40.07	41.81	32.82	34.75	28.45	66.18	32.82	32.13	65.72	8.99
NUP35	483.38	246.28	361.04	206.94	299.25	289.02	412.0	232.94	209.84	303.44	361.04	244.57	297.17	161.02	275.28	297.17	218.79	237.86	197.09	339.14	476.71	323.03	441.64	346.29	389.72	220.32	248.0	325.29	679.29	366.09	371.22	339.14	450.94	616.37	305.55	444.72	279.14	325.29	343.89	371.22	271.48	343.89	579.04	343.89	429.54	511.0	351.14	406.31	361.04	323.03	417.77	414.87	358.54	559.28	540.19	341.51	429.54	241.19	356.05	476.71	92.7	92.7	66.18	109.66	132.44	127.0	120.1	76.17	88.26	53.19	145.02	80.57	90.77	117.6	115.97	64.8	63.89	162.14	105.89	120.94	105.15	53.19
PAK1IP1	571.05	262.2	301.33	172.65	314.17	947.83	366.09	205.5	279.14	271.48	361.04	334.46	334.46	171.45	258.57	209.84	309.83	212.78	189.02	256.78	395.18	273.37	361.04	327.56	1199.98	297.17	293.07	414.87	525.39	376.41	384.34	343.89	392.44	518.15	403.5	297.17	166.73	356.05	327.56	320.8	251.48	457.25	435.55	325.29	738.29	429.54	356.05	395.18	693.58	295.11	412.0	1023.0	343.89	981.29	486.75	145.02	647.07	180.02	329.84	571.05	127.89	126.12	27.05	43.63	75.64	106.63	91.41	61.25	90.77	112.77	150.17	116.78	142.01	119.26	111.21	58.71	128.79	208.38	102.25	119.26	138.1	52.82
PCNXL4	518.15	500.46	454.09	525.39	334.46	426.57	178.77	363.56	447.82	432.53	567.1	607.87	435.55	412.0	688.78	591.22	358.54	348.71	490.14	420.68	688.78	316.37	547.75	551.56	591.22	429.54	332.14	500.46	1030.12	555.41	629.35	616.37	559.28	836.53	460.44	743.43	616.37	563.18	1015.93	518.15	612.11	277.2	1447.15	624.99	423.61	802.41	525.39	555.41	693.58	713.11	612.11	395.18	642.59	400.71	620.67	647.07	307.69	414.87	759.08	656.11	177.53	191.67	204.07	126.12	269.6	265.87	150.17	159.9	231.32	318.57	351.14	297.17	171.45	281.09	256.78	228.13	204.07	285.03	115.97	172.65	167.9	120.1
PDE11A	22.75	6.67	5.87	4.66	5.5	2.86	9.56	8.99	15.22	9.63	5.36	10.63	10.47	6.78	16.75	19.68	9.56	4.24	5.28	5.02	15.22	11.82	15.22	25.91	22.43	514.56	0.26	16.88	26.28	34.02	33.06	26.67	16.88	36.27	13.83	74.06	77.25	55.89	39.79	348.71	24.81	35.76	53.19	18.97	66.18	35.25	35.25	65.72	58.3	80.01	77.25	51.71	78.34	10.55	46.5	47.84	74.58	19.82	94.67	36.53	14.24	12.27	1.48	18.43	1.91	0.99	0.0	3.03	0.64	0.71	0.61	2.25	0.0	0.62	2.07	1.5	0.0	1.1	10.16	1.83	2.68	5.36
PMS1	961.07	231.32	148.09	212.78	181.28	170.25	161.02	119.26	129.69	171.45	256.78	147.06	138.1	204.07	175.07	224.97	124.37	208.38	132.44	143.01	358.54	392.44	190.34	218.79	353.59	171.45	144.01	177.53	476.71	262.2	265.87	242.88	215.77	351.14	253.23	420.68	220.32	256.78	256.78	438.59	205.5	120.94	314.17	309.83	197.09	267.73	289.02	275.28	220.32	387.02	246.28	189.02	327.56	144.01	426.57	228.13	211.31	212.78	293.07	332.14	68.07	140.04	10.08	29.48	75.11	101.54	87.65	80.01	50.98	53.19	104.42	102.97	84.63	90.77	97.36	156.59	63.45	130.6	63.45	67.12	135.24	57.89
PRKRA	1350.18	909.17	1225.22	679.29	1059.11	896.64	961.07	674.59	591.22	947.83	1199.98	674.59	1015.93	1066.48	1498.22	1151.06	808.0	1199.98	738.29	1216.75	1322.37	1697.45	1111.82	1183.45	1216.75	896.64	974.5	934.76	1437.15	1127.35	1015.93	981.29	1104.13	1561.89	954.43	1167.14	995.0	860.08	1096.5	921.88	748.61	1051.79	1605.83	872.1	1427.22	1340.84	1242.34	941.27	1322.37	624.99	1104.13	1594.73	878.17	2018.8	1870.53	1015.93	1498.22	796.86	1242.34	1697.45	323.03	483.38	387.02	249.73	514.56	703.28	599.49	409.15	514.56	497.0	842.36	540.19	536.45	525.39	497.0	521.76	490.14	723.08	412.0	514.56	759.08	414.87
RIOK1	536.45	269.6	167.9	175.07	275.28	567.1	281.09	237.86	258.57	291.04	343.89	371.22	314.17	182.55	412.0	241.19	237.86	212.78	189.02	234.57	361.04	236.21	358.54	339.14	1216.75	242.88	231.32	316.37	529.06	366.09	371.22	309.83	327.56	438.59	320.8	400.71	170.25	420.68	334.46	291.04	289.02	293.07	463.65	348.71	599.49	825.0	414.87	457.25	743.43	279.14	460.44	1175.27	260.38	346.29	457.25	397.93	269.6	234.57	320.8	669.92	157.68	132.44	67.12	46.18	83.45	180.02	136.19	145.02	209.84	171.45	198.47	186.4	130.6	187.71	164.42	98.04	175.07	217.27	98.04	152.28	164.42	100.83
RPAP2	514.56	223.41	256.78	180.02	346.29	473.41	138.1	181.28	191.67	232.94	438.59	444.72	197.09	341.51	348.71	291.04	283.05	248.0	236.21	237.86	392.44	400.71	363.56	309.83	490.14	237.86	231.32	277.2	665.29	381.68	312.0	303.44	320.8	490.14	309.83	567.1	514.56	305.55	490.14	400.71	387.02	190.34	633.73	429.54	406.31	409.15	312.0	366.09	307.69	336.79	332.14	460.44	289.02	332.14	651.58	497.0	248.0	353.59	480.04	379.04	117.6	119.26	21.78	26.47	83.45	133.36	169.07	127.0	63.0	77.25	117.6	135.24	100.13	162.14	199.85	152.28	103.69	127.0	135.24	62.12	117.6	69.03
RPF2	995.0	543.96	603.67	363.56	366.09	915.51	748.61	381.68	186.4	397.93	591.22	358.54	698.41	301.33	438.59	316.37	612.11	438.59	307.69	981.29	830.75	1059.11	703.28	579.04	890.44	476.71	718.08	674.59	1037.29	854.13	660.68	511.0	642.59	1127.35	842.36	638.15	486.75	395.18	420.68	583.07	406.31	595.34	1844.76	432.53	1617.0	1369.04	633.73	759.08	1457.23	497.0	603.67	1781.89	551.56	1216.75	1159.07	466.88	947.83	397.93	764.36	1295.13	229.72	165.57	185.11	232.94	277.2	251.48	189.02	132.44	110.43	172.65	249.73	191.67	182.55	281.09	212.78	176.29	176.29	297.17	189.02	256.78	366.09	105.89
RPP30	2224.63	819.3	896.64	450.94	748.61	928.3	1208.34	738.29	738.29	713.11	775.05	1059.11	947.83	559.28	629.35	555.41	660.68	759.08	813.63	769.69	1216.75	638.15	884.29	802.41	1167.14	543.96	493.56	848.22	1225.22	988.12	884.29	775.05	967.76	1277.29	934.76	1216.75	748.61	688.78	802.41	967.76	536.45	642.59	1594.73	902.89	848.22	1769.57	1051.79	693.58	1135.2	836.53	1081.39	1322.37	775.05	1388.16	1605.83	915.51	1104.13	656.11	1233.75	1096.5	320.8	441.64	490.14	348.71	429.54	490.14	312.0	323.03	490.14	348.71	429.54	417.77	376.41	301.33	406.31	327.56	271.48	511.0	353.59	323.03	624.99	212.78
SDAD1	902.89	457.25	703.28	543.96	738.29	616.37	486.75	450.94	536.45	521.76	848.22	642.59	669.92	397.93	693.58	463.65	503.95	444.72	450.94	551.56	830.75	1268.46	684.02	624.99	414.87	575.03	547.75	583.07	1191.69	860.08	571.05	693.58	607.87	934.76	642.59	733.19	612.11	753.83	738.29	599.49	518.15	703.28	1605.83	836.53	543.96	878.17	813.63	934.76	878.17	591.22	599.49	1183.45	848.22	607.87	753.83	536.45	684.02	679.29	981.29	633.73	295.11	273.37	96.68	124.37	125.24	234.57	228.13	164.42	189.02	293.07	353.59	279.14	185.11	269.6	256.78	218.79	277.2	403.5	291.04	237.86	248.0	102.97
SF3B3	4836.35	1883.54	1417.35	1794.29	1806.78	3955.48	2485.67	1832.01	4123.49	2555.58	2032.85	1709.26	1936.53	698.41	1519.15	3039.3	1721.16	2520.38	1359.57	3060.45	3372.43	3190.46	2956.17	2178.83	2875.3	1733.13	1540.37	2758.13	4210.15	3146.52	2664.15	2502.97	2816.11	3716.2	2835.7	3540.14	3303.0	2287.2	2835.7	2537.92	5041.77	1508.65	3212.66	3443.31	1407.55	4419.52	1769.57	3982.99	1832.01	3690.52	4298.64	2645.74	2758.13	1437.15	3146.52	3190.46	1030.12	2367.9	2434.5	3540.14	1417.35	1135.2	1628.26	1427.22	1378.57	1909.85	2119.22	1268.46	1104.13	854.13	2520.38	1674.06	1175.27	1769.57	1322.37	928.3	1331.57	2163.77	1119.56	896.64	1073.91	860.08
SMC3	1639.59	381.68	642.59	339.14	591.22	1457.23	728.11	480.04	769.69	460.44	1051.79	1167.14	591.22	808.0	1199.98	493.56	559.28	441.64	830.75	540.19	866.07	616.37	693.58	791.35	1313.23	543.96	665.29	651.58	1259.69	860.08	780.44	921.88	688.78	808.0	612.11	1259.69	674.59	967.76	1340.84	928.3	718.08	579.04	1896.65	819.3	934.76	1331.57	1104.13	947.83	490.14	738.29	796.86	511.0	854.13	718.08	1167.14	660.68	559.28	616.37	928.3	718.08	312.0	432.53	47.17	73.54	169.07	303.44	236.21	217.27	180.02	231.32	334.46	332.14	264.03	265.87	343.89	264.03	312.0	426.57	371.22	195.72	201.25	110.43
SMIM8	199.85	87.03	102.97	72.52	72.52	198.47	94.67	80.01	59.13	108.9	86.43	60.82	73.03	74.06	54.72	96.68	117.6	73.03	111.99	90.77	176.29	115.16	172.65	94.67	209.84	81.71	86.43	127.0	258.57	191.67	164.42	144.01	181.28	241.19	124.37	211.31	182.55	163.28	239.52	177.53	177.53	178.77	400.71	154.42	170.25	155.5	118.43	178.77	181.28	183.82	206.94	87.03	205.5	381.68	305.55	175.07	151.22	141.02	204.07	353.59	59.55	71.5	41.81	83.45	131.51	140.04	120.94	33.54	22.92	74.06	81.14	114.36	33.3	87.03	76.71	140.04	57.49	108.14	70.01	46.5	71.5	92.05
