	TCGA.A7.A26I.01B.06R.A22O.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6745.11A.01R.1858.07	TCGA.73.4676.11A.01R.1755.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4626.11A.01R.1758.07	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.Q2AH.0426.SM.2I3EP	GTEX.N7MS.0926.SM.2HMIZ	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.PW2O.0526.SM.2I3DX	TCGA.33.4587.11A.01R.2125.07
RPS3A	12853.63	20170.07	17078.76	2032.85	113315.62	95949.32	153724.82	185362.8	83528.61	46339.95	17317.18	21320.18	47974.16	21617.82	44761.41	40904.3	27745.15	34635.37	42054.3	136637.07	52135.28	18950.18	138544.47
RPS5	4836.35	12160.22	14163.58	1.6	50709.61	40062.48	50709.61	67846.12	38164.99	30572.63	11345.82	16843.62	26248.46	19214.73	23009.42	25530.66	18819.27	11189.6	29736.59	55877.28	34158.52	16611.71	51062.33
RPS7	15607.02	17197.56	15180.22	1322.37	53973.86	43537.38	69753.56	76330.98	43537.38	21919.61	10368.08	16611.71	28328.16	10883.59	19482.97	19214.73	13872.08	8658.09	28723.62	77396.54	21026.65	8134.41	65535.0
RPS8	20881.4	17437.64	16383.0	1.66	67846.12	51062.33	74760.09	85283.74	50011.46	35118.87	9740.98	18304.63	32767.0	14065.74	26614.89	30572.63	23169.48	18178.19	32092.64	121448.75	32767.0	17078.76	80683.28
RPS9	6037.61	14163.58	17927.91	6121.9	70238.75	65082.31	79572.48	75803.72	50359.33	41188.81	27938.14	28723.62	50011.46	28132.47	29943.43	46339.95	28525.2	22850.48	48982.22	66449.85	41763.8	36610.26	86474.27
RPSA	5329.3	10154.69	11827.67	703.28	47642.77	40621.74	57448.23	62431.08	37901.36	31215.04	13776.25	15075.35	26986.43	19618.49	24153.43	18052.61	22072.07	17437.64	23492.92	76330.98	24660.96	19618.49	61999.83
SCAND1	53.19	688.78	915.51	0.85	1733.13	1697.45	1896.65	1832.01	1457.23	3212.66	884.29	1208.34	2720.15	1369.04	1745.2	1030.12	974.5	285.03	2434.5	1745.2	1561.89	934.76	2255.7
SEC11A	2163.77	1081.39	1844.76	0.91	5403.7	5076.84	6516.03	6607.01	4937.99	5872.48	1950.0	2061.24	4671.57	1896.65	4419.52	4972.34	3081.75	1923.14	4671.57	8598.28	3901.01	2271.4	6207.38
SFT2D1	669.92	733.19	733.19	0.77	1950.0	1529.73	2193.99	2032.85	2384.37	3124.78	842.36	620.67	2417.67	796.86	1594.73	1467.37	1135.2	620.67	1721.16	2682.69	1437.15	1208.34	2148.82
SFTPC	8.32	5.23	0.0	44145.15	1825675.85	1336472.68	1452391.55	1503610.06	822695.06	5.882801313E7	7.92550749E7	3.402283342E7	4.188702152E7	3.130739107E7	5.761735011E7	4.878722096E7	1.887534821E7	4736.79	5.228884881E7	2.198475218E7	1.0826562323E8	6.17527469E7	1514068.5
SKP1	5555.65	4575.41	9025.81	1.33	17804.06	12244.81	17681.08	19348.38	13968.57	17558.94	6121.9	6607.01	12943.04	6607.01	9088.59	10014.87	8718.32	6250.56	13776.25	20451.65	7857.29	4671.57	17197.56
SLIRP	2255.7	2682.69	2104.58	0.68	4010.71	3124.78	5441.3	4388.98	3235.01	4671.57	1286.18	2075.59	3564.78	2032.85	2502.97	1417.35	2384.37	1073.91	3257.52	4123.49	1963.57	1331.57	4903.87
SLPI	68.07	30361.44	33688.23	718.08	110983.6	76861.91	139508.13	108699.57	115696.65	373305.21	242898.5	85876.94	253213.41	152662.96	249727.34	368165.8	87075.75	1594.73	324980.94	260332.24	482442.34	85283.74	62431.08
SMIM19	1037.29	769.69	373.81	0.51	1757.34	1457.23	2319.15	1709.26	1313.23	1870.53	928.3	1651.0	1551.09	1073.91	1781.89	728.11	1216.75	454.09	1487.87	2855.44	854.13	514.56	1781.89
SNRPD2	3146.52	5479.15	4358.66	1.22	12502.12	8658.09	14163.58	14163.58	8134.41	6121.9	3039.3	1909.85	7857.29	3589.58	6294.04	5791.62	4903.87	2739.08	5672.41	11112.3	6294.04	5594.3	14561.8
SNRPG	2209.26	2739.08	1551.09	0.73	4543.8	4095.0	5672.41	4972.34	4095.0	3443.31	836.53	1651.0	4639.29	1628.26	3395.89	2400.97	2956.17	1127.35	3124.78	4066.71	1225.22	1757.34	6121.9
SNX3	1628.26	2796.65	3820.7	4769.75	7485.11	6652.97	8901.53	8901.53	6337.83	6792.79	2816.11	2609.3	4388.98	2758.13	4010.71	4010.71	4123.49	2451.44	4298.64	8718.32	4298.64	3190.46	7749.1
SS18L2	150.17	275.28	291.04	0.66	866.07	723.08	1015.93	1001.93	753.83	921.88	325.29	483.38	941.27	289.02	543.96	486.75	476.71	218.79	525.39	896.64	441.64	423.61	1066.48
SSNA1	297.17	2451.44	1583.71	0.26	2997.45	2367.9	2400.97	2255.7	2367.9	2627.46	1757.34	860.08	2502.97	2148.82	2178.83	1572.76	2075.59	748.61	2720.15	2682.69	1977.24	1923.14	3212.66
STARD3NL	214.27	343.89	309.83	0.71	2163.77	1519.15	1950.0	2758.13	1721.16	5517.27	2303.12	947.83	2271.4	1088.92	1806.78	1059.11	1832.01	738.29	1498.22	3190.46	1769.57	780.44	1733.13
STX8	1331.57	848.22	842.36	0.68	2240.11	1991.0	2720.15	2956.17	1781.89	1447.15	1143.1	351.14	1662.49	1143.1	1015.93	2075.59	1250.98	830.75	1498.22	1977.24	2148.82	1295.13	2434.5
SYNGR2	1081.39	3372.43	9088.59	1.08	9025.81	9279.58	12329.98	8658.09	10014.87	9606.86	13492.72	11424.74	8191.0	11345.82	5006.93	8778.97	6381.92	5913.33	12943.04	9344.14	15934.98	8718.32	9474.59
TCEB2	2018.8	5517.27	5872.48	1.01	12329.98	11827.67	15180.22	11035.54	12244.81	11189.6	4010.71	2855.44	17558.94	7857.29	7485.11	7032.37	5872.48	2956.17	11424.74	14971.21	7331.05	4937.99	14663.09
TMEM160	30.12	185.11	147.06	0.0	480.04	769.69	860.08	529.06	353.59	297.17	277.2	156.59	909.17	329.84	291.04	205.5	244.57	141.02	447.82	279.14	260.38	214.27	759.08
TOMM5	1628.26	890.44	769.69	0.77	2739.08	2384.37	3235.01	3146.52	2645.74	2816.11	620.67	1167.14	2047.0	947.83	1936.53	1001.93	1572.76	607.87	1769.57	2895.31	1159.07	836.53	3443.31
TPGS1	21.63	94.01	101.54	0.58	204.07	214.27	189.02	244.57	155.5	242.88	138.1	126.12	361.04	161.02	217.27	80.01	132.44	29.06	208.38	111.21	224.97	97.36	299.25
TPT1	42346.82	37379.55	40062.48	2319.15	282912.21	233003.78	389157.95	397335.0	256748.15	150561.19	76861.91	110216.97	128373.58	74760.09	125731.67	161367.56	85283.74	107948.72	159145.95	282912.21	177811.84	100719.65	305326.92
TRAPPC5	293.07	1769.57	1745.2	0.49	2875.3	2758.13	3081.75	3235.01	2777.33	2061.24	915.51	819.3	2956.17	1651.0	2104.58	1447.15	1268.46	684.02	2255.7	2573.36	1733.13	1936.53	3564.78
TRMT112	2537.92	4328.55	5791.62	444.72	8778.97	6652.97	7589.61	8658.09	6294.04	7032.37	4239.45	1594.73	7180.15	4123.49	6207.38	5711.87	4836.35	2875.3	6337.83	7180.15	5041.77	4836.35	10296.45
UBE2B	1331.57	1104.13	1923.14	0.59	4210.15	4066.71	4736.79	5041.77	3982.99	3303.0	1781.89	2682.69	2609.3	1277.29	1781.89	1991.0	1286.18	3146.52	1870.53	3349.13	2367.9	1397.83	4419.52
UBL5	2627.46	5112.16	6887.62	1.2	19082.0	17681.08	21026.65	21320.18	15934.98	16611.71	4802.93	3146.52	17681.08	7331.05	11424.74	11189.6	8247.98	4736.79	11745.96	23009.42	10225.32	7032.37	25005.23
USMG5	2351.53	2645.74	3614.55	1.06	10512.82	10084.54	15499.21	13033.07	8363.13	9945.68	2591.27	1936.53	9088.59	3190.46	5006.93	3419.52	4210.15	4639.29	4802.93	12329.98	5041.77	2434.5	12589.08
UXT	1832.01	1950.0	1498.22	1.1	5517.27	4704.07	6426.31	6983.79	4639.29	4671.57	1295.13	1551.09	4419.52	1857.6	3103.19	2816.11	2209.26	1709.26	3235.01	6516.03	2796.65	2032.85	6426.31
VPS28	1639.59	2384.37	4152.18	1.11	5751.61	5995.9	5183.54	5633.22	5183.54	5366.37	4512.4	1369.04	6887.62	4903.87	3639.7	4358.66	3665.02	3419.52	5366.37	7537.18	3982.99	8963.45	6983.79
