	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.OL.A5RV.01A.12R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.4279.01A.01R.1131.13
NPHP4	155.5	46.84	220.32	177.53	62.56	138.1	68.55	162.14	115.16	226.54	126.12	193.01	36.53	142.01	185.11	38.67	45.53	29.91	81.14	102.97	161.02	70.51	126.12	201.25	63.89	31.9	133.36	10.96	159.9	111.99	180.02	72.52	125.24	120.94	182.55	120.1	72.01	264.03	61.25	59.55	72.52	126.12	101.54	56.68	102.97	113.56	127.0	143.01	185.11	88.88	50.63	43.32	232.94	57.08	122.64	0.0	0.69	41.22
NRN1L	33.78	3.63	32.82	50.63	14.24	15.0	2.01	6.41	6.26	14.14	23.25	30.12	3.66	32.82	34.26	5.23	0.0	1.79	8.85	7.94	17.0	17.0	14.45	57.08	3.82	7.0	11.64	0.8	24.11	4.98	22.75	1.85	4.39	9.56	31.9	9.7	5.5	57.49	3.79	11.55	6.46	8.19	15.91	7.94	7.28	10.08	32.82	24.28	52.08	10.71	2.68	12.93	62.12	7.06	18.03	0.0	0.16	0.0
NUDT22	1277.29	366.09	1322.37	1175.27	813.63	1651.0	591.22	500.46	536.45	1685.71	1540.37	1709.26	389.72	1561.89	1359.57	860.08	265.87	220.32	915.51	1225.22	1857.6	669.92	1143.1	1697.45	860.08	265.87	1437.15	291.04	1572.76	878.17	1529.73	1037.29	791.35	669.92	1950.0	679.29	808.0	1208.34	830.75	1242.34	387.02	607.87	785.88	185.11	1066.48	525.39	466.88	633.73	674.59	500.46	934.76	318.57	703.28	1467.37	587.13	0.0	0.65	503.95
P2RY11	612.11	67.59	312.0	318.57	105.89	567.1	40.64	144.01	147.06	423.61	450.94	698.41	55.1	384.34	248.0	131.51	86.43	46.84	248.0	275.28	343.89	189.02	343.89	325.29	127.0	35.5	417.77	36.53	320.8	246.28	366.09	96.68	229.72	223.41	279.14	193.01	275.28	305.55	62.12	265.87	67.59	149.12	133.36	50.98	260.38	133.36	136.19	214.27	281.09	318.57	57.89	49.21	218.79	106.63	111.99	0.0	0.56	52.82
PARP3	860.08	189.02	808.0	684.02	392.44	693.58	204.07	299.25	182.55	1015.93	521.76	808.0	136.19	775.05	599.49	460.44	162.14	212.78	466.88	325.29	764.36	525.39	420.68	713.11	329.84	115.97	836.53	133.36	638.15	356.05	624.99	447.82	191.67	503.95	587.13	503.95	426.57	759.08	555.41	134.3	470.14	595.34	591.22	307.69	656.11	688.78	842.36	521.76	1331.57	231.32	275.28	258.57	1709.26	791.35	878.17	0.0	0.66	318.57
PEX14	518.15	135.24	444.72	563.18	392.44	303.44	301.33	281.09	234.57	642.59	343.89	642.59	156.59	567.1	547.75	206.94	161.02	127.0	246.28	595.34	490.14	314.17	500.46	647.07	281.09	143.01	540.19	128.79	460.44	232.94	463.65	226.54	307.69	417.77	567.1	353.59	289.02	555.41	223.41	417.77	299.25	397.93	366.09	205.5	406.31	521.76	476.71	629.35	441.64	435.55	536.45	239.52	579.04	392.44	373.81	303.44	295.11	155.5
PHRF1	447.82	127.0	563.18	503.95	170.25	503.95	299.25	206.94	277.2	616.37	303.44	579.04	101.54	473.41	366.09	201.25	70.01	111.21	312.0	651.58	525.39	161.02	376.41	525.39	277.2	64.8	381.68	150.17	403.5	343.89	493.56	301.33	223.41	351.14	679.29	273.37	289.02	503.95	189.02	343.89	150.17	353.59	249.73	102.97	318.57	279.14	363.56	353.59	318.57	291.04	144.01	91.41	470.14	190.34	314.17	0.0	0.82	66.18
PIDD	928.3	64.8	579.04	511.0	91.41	612.11	108.9	99.43	108.9	579.04	325.29	764.36	82.29	420.68	348.71	82.87	65.72	78.89	133.36	389.72	616.37	87.03	281.09	688.78	108.9	43.32	470.14	75.11	466.88	277.2	460.44	206.94	123.5	130.6	909.17	107.38	101.54	555.41	64.8	281.09	57.49	143.01	127.0	71.5	180.02	201.25	297.17	260.38	269.6	76.17	56.28	51.71	500.46	161.02	110.43	0.0	1.01	25.72
PKD1	1529.73	139.07	1487.87	1508.65	312.0	1159.07	432.53	312.0	253.23	1639.59	1066.48	1745.2	182.55	1037.29	896.64	447.82	145.02	85.82	500.46	1081.39	1437.15	389.72	842.36	1639.59	368.65	65.72	1151.06	224.97	656.11	435.55	1151.06	318.57	633.73	674.59	1508.65	607.87	277.2	1561.89	190.34	229.72	366.09	1051.79	612.11	195.72	595.34	490.14	733.19	1216.75	802.41	279.14	417.77	175.07	995.0	400.71	473.41	0.0	1.17	226.54
PLA2G4B	264.03	18.43	295.11	246.28	18.56	223.41	34.26	22.92	14.35	301.33	307.69	457.25	46.84	271.48	234.57	56.68	24.28	36.53	28.04	129.69	353.59	42.11	155.5	460.44	45.53	32.13	153.34	4.58	255.0	28.04	205.5	29.27	40.64	139.07	392.44	102.97	41.52	346.29	17.51	57.49	75.11	158.79	190.34	93.35	177.53	130.6	139.07	138.1	376.41	59.55	109.66	88.88	368.65	80.57	135.24	0.0	1.1	7.82
PLCH2	264.03	0.42	547.75	473.41	85.22	96.68	20.71	51.35	9.34	555.41	136.19	353.59	1.13	426.57	305.55	53.57	3.5	2.71	13.12	20.41	221.86	105.15	120.94	392.44	2.68	14.35	193.01	29.91	457.25	15.91	633.73	108.14	181.28	229.72	150.17	146.03	14.67	624.99	49.91	29.91	182.55	575.03	277.2	102.97	275.28	651.58	145.02	348.71	234.57	171.45	241.19	163.28	289.02	289.02	283.05	0.0	0.8	1.83
PLEKHG5	249.73	18.56	358.54	363.56	87.03	136.19	111.99	98.73	33.54	389.72	159.9	297.17	58.3	249.73	202.66	71.5	16.15	48.87	94.67	100.83	559.28	60.82	94.67	447.82	127.89	26.1	356.05	114.36	332.14	59.55	312.0	59.55	117.6	133.36	363.56	126.12	133.36	361.04	99.43	157.68	77.79	220.32	127.89	96.68	193.01	301.33	486.75	426.57	325.29	111.99	144.01	144.01	563.18	79.45	351.14	0.0	0.66	49.56
PLEKHN1	226.54	13.12	145.02	89.51	91.41	35.76	28.24	68.55	29.27	126.12	26.86	115.16	17.13	161.02	148.09	9.06	16.88	10.79	24.11	32.82	91.41	28.04	44.25	201.25	32.36	17.64	99.43	1.39	59.55	42.41	262.2	49.21	121.79	70.51	81.14	47.84	144.01	153.34	49.91	8.25	19.97	75.11	54.33	27.64	75.11	48.18	22.59	59.97	59.13	40.07	21.01	27.44	76.71	45.85	48.18	0.0	0.67	4.62
PPT2-EGFL8	186.4	9.06	103.69	90.77	10.08	71.0	21.94	6.21	12.36	96.68	69.52	178.77	16.15	71.5	100.83	27.84	10.96	5.82	47.5	82.29	83.45	29.27	85.82	212.78	24.81	7.51	84.04	9.93	76.17	26.47	91.41	16.75	31.22	41.81	87.65	44.25	32.59	156.59	5.15	37.32	26.86	80.57	48.52	38.12	42.41	38.67	55.1	76.71	69.52	37.59	40.93	15.91	161.02	29.7	37.05	0.0	0.83	21.94
PQLC2	397.93	170.25	412.0	381.68	297.17	277.2	189.02	532.74	224.97	470.14	287.01	559.28	72.52	423.61	450.94	193.01	131.51	140.04	255.0	435.55	366.09	189.02	295.11	607.87	229.72	99.43	327.56	127.0	366.09	218.79	417.77	140.04	277.2	283.05	432.53	221.86	262.2	473.41	162.14	454.09	136.19	202.66	289.02	109.66	264.03	226.54	341.51	231.32	244.57	293.07	211.31	96.01	325.29	242.88	244.57	0.0	0.09	156.59
PRKCZ	620.67	85.22	638.15	543.96	262.2	297.17	353.59	688.78	163.28	836.53	269.6	547.75	50.63	665.29	669.92	205.5	127.0	131.51	178.77	387.02	698.41	204.07	497.0	708.18	255.0	107.38	454.09	101.54	466.88	220.32	587.13	281.09	764.36	651.58	343.89	438.59	387.02	684.02	343.89	356.05	202.66	343.89	414.87	165.57	476.71	299.25	285.03	291.04	312.0	149.12	316.37	214.27	343.89	309.83	239.52	0.0	0.42	75.11
PRKRIP1	1030.12	159.9	713.11	753.83	269.6	708.18	463.65	339.14	312.0	1008.9	599.49	1135.2	135.24	693.58	842.36	483.38	232.94	153.34	567.1	497.0	909.17	376.41	842.36	1001.93	521.76	93.35	651.58	190.34	575.03	450.94	718.08	521.76	314.17	480.04	1037.29	441.64	358.54	785.88	305.55	595.34	251.48	403.5	389.72	175.07	688.78	698.41	470.14	884.29	642.59	320.8	291.04	361.04	466.88	429.54	334.46	0.0	0.61	224.97
RFX1	318.57	88.88	285.03	339.14	115.97	363.56	100.83	78.34	105.15	447.82	204.07	366.09	65.26	297.17	264.03	178.77	120.94	56.68	232.94	209.84	314.17	195.72	226.54	339.14	150.17	119.26	285.03	64.8	267.73	158.79	376.41	122.64	117.6	215.77	363.56	185.11	204.07	301.33	127.0	202.66	109.66	171.45	177.53	102.97	205.5	183.82	239.52	214.27	241.19	102.25	152.28	58.71	260.38	138.1	209.84	0.0	0.39	55.1
RNF207	426.57	20.86	279.14	389.72	97.36	417.77	92.7	116.78	87.03	486.75	251.48	521.76	23.25	205.5	139.07	51.35	29.06	8.51	65.26	215.77	612.11	46.84	164.42	363.56	60.39	23.93	368.65	70.51	186.4	96.01	305.55	79.45	214.27	92.7	165.57	69.03	183.82	476.71	31.45	14.67	87.03	187.71	172.65	71.5	158.79	211.31	125.24	312.0	185.11	75.11	91.41	138.1	384.34	96.68	127.89	0.0	0.83	15.56
RNF31	1477.58	825.0	1709.26	1407.55	902.89	1923.14	753.83	934.76	559.28	1594.73	1617.0	1628.26	674.59	1331.57	1216.75	1096.5	878.17	466.88	1127.35	1216.75	1685.71	1286.18	1378.57	1628.26	813.63	713.11	1745.2	1159.07	1457.23	1268.46	1233.75	1322.37	890.44	1369.04	1529.73	909.17	813.63	1662.49	813.63	909.17	884.29	1250.98	1259.69	733.19	1208.34	941.27	1250.98	1331.57	1259.69	759.08	1008.9	490.14	1313.23	1143.1	780.44	0.0	0.73	713.11
RNH1	3564.78	947.83	4769.75	4328.55	3168.41	4152.18	2591.27	2018.8	2240.11	4481.23	2664.15	4181.07	1407.55	3955.48	4239.45	1896.65	848.22	1322.37	3349.13	2502.97	3325.99	1950.0	4123.49	4575.41	3103.19	1208.34	3794.3	1268.46	4671.57	2537.92	4010.71	2682.69	2682.69	3124.78	5633.22	2384.37	2555.58	4419.52	2451.44	3589.58	1540.37	2758.13	2997.45	1397.83	3716.2	2075.59	2133.97	1685.71	2451.44	5872.48	3716.2	1819.35	1963.57	2555.58	3190.46	0.0	0.93	1233.75
RP11-192H23.4	84.04	10.63	54.33	62.56	8.71	71.5	23.08	6.06	15.56	73.03	88.88	84.63	38.67	39.22	45.85	12.93	16.27	21.63	27.44	19.11	33.78	40.07	47.17	63.89	26.1	10.31	51.35	10.0	35.0	36.53	45.85	19.11	9.7	24.11	62.12	20.41	8.71	59.13	3.99	10.79	8.92	23.25	18.84	11.64	29.48	24.46	23.93	29.91	72.01	16.63	8.32	7.57	43.32	7.28	14.56	0.0	0.89	7.06
RP11-5A19.5	195.72	4.82	100.83	133.36	3.41	110.43	8.0	4.98	5.73	127.0	57.49	142.01	9.85	98.73	50.27	14.78	6.57	4.94	18.84	59.55	171.45	25.91	55.49	114.36	3.89	0.0	50.98	0.0	166.73	3.92	166.73	27.64	18.56	23.42	223.41	7.0	18.97	120.94	2.07	24.63	13.83	42.41	18.16	6.62	33.78	24.81	54.33	34.75	126.12	11.21	19.68	7.82	116.78	32.36	26.47	0.0	1.19	6.46
SCNN1D	483.38	3.63	151.22	135.24	18.43	151.22	9.41	34.02	21.63	193.01	76.17	314.17	3.66	110.43	135.24	14.89	14.67	4.86	25.35	212.78	122.64	15.34	108.9	215.77	11.3	4.94	156.59	3.17	88.26	23.08	167.9	37.32	26.47	24.46	175.07	31.45	9.48	260.38	9.41	87.03	8.78	21.78	28.24	11.73	52.08	51.71	80.01	59.97	96.01	6.89	22.26	16.88	165.57	34.51	45.85	0.0	0.84	7.94
SDCCAG3	974.5	325.29	759.08	791.35	518.15	866.07	457.25	693.58	733.19	836.53	802.41	1015.93	406.31	813.63	808.0	460.44	466.88	258.57	559.28	688.78	802.41	420.68	733.19	813.63	612.11	638.15	836.53	503.95	693.58	728.11	796.86	656.11	521.76	543.96	1001.93	532.74	507.46	1051.79	234.57	616.37	470.14	547.75	603.67	438.59	633.73	454.09	587.13	470.14	748.61	769.69	633.73	376.41	796.86	612.11	429.54	0.0	0.71	466.88
SDR39U1	2384.37	559.28	2133.97	2032.85	1096.5	1540.37	624.99	866.07	669.92	1909.85	1857.6	2468.49	447.82	1977.24	1794.29	1015.93	620.67	438.59	1066.48	1662.49	1457.23	1225.22	1697.45	2240.11	1119.56	651.58	1594.73	1991.0	2061.24	1096.5	1674.06	1216.75	872.1	1594.73	1923.14	1159.07	884.29	2104.58	813.63	1583.71	1030.12	1268.46	1427.22	665.29	1447.15	1167.14	780.44	1417.35	1844.76	1119.56	1437.15	595.34	2133.97	1721.16	1175.27	0.0	1.07	547.75
SEC31B	283.05	27.64	177.53	191.67	19.25	144.01	12.64	39.5	30.78	244.57	103.69	170.25	18.56	153.34	151.22	42.11	30.78	16.27	79.45	63.0	255.0	33.54	80.57	236.21	18.97	9.2	197.09	59.97	126.12	39.22	229.72	40.07	46.5	69.52	173.85	70.51	105.15	271.48	8.06	37.32	96.01	121.79	80.57	109.66	100.13	181.28	182.55	113.56	239.52	20.86	55.89	76.17	283.05	54.33	60.39	0.0	1.28	23.93
SGSH	1066.48	193.01	1242.34	974.5	555.41	1508.65	665.29	1104.13	423.61	785.88	967.76	974.5	343.89	896.64	890.44	532.74	264.03	529.06	896.64	1073.91	703.28	299.25	540.19	1066.48	825.0	285.03	1199.98	389.72	1008.9	1001.93	1096.5	656.11	511.0	660.68	1051.79	764.36	674.59	1313.23	791.35	620.67	656.11	796.86	775.05	356.05	698.41	802.41	1175.27	915.51	1127.35	599.49	476.71	529.06	1135.2	612.11	688.78	0.0	0.99	273.37
SGSM3	2351.53	638.15	1844.76	1819.35	796.86	961.07	878.17	299.25	796.86	1697.45	1857.6	1437.15	392.44	1923.14	1745.2	836.53	329.84	283.05	674.59	651.58	2935.74	579.04	909.17	1617.0	842.36	110.43	1151.06	251.48	1977.24	1051.79	1519.15	620.67	1819.35	1208.34	1870.53	967.76	1015.93	1721.16	718.08	1781.89	529.06	1359.57	1044.52	346.29	1225.22	1159.07	1066.48	1286.18	1322.37	708.18	909.17	764.36	1769.57	1225.22	909.17	0.0	1.1	995.0
SH2B1	1896.65	70.51	1268.46	1286.18	785.88	842.36	480.04	281.09	384.34	1135.2	854.13	1909.85	208.38	1498.22	995.0	426.57	202.66	262.2	450.94	764.36	1295.13	353.59	954.43	1709.26	490.14	166.73	1175.27	406.31	1088.92	327.56	1225.22	660.68	403.5	802.41	1832.01	547.75	507.46	1572.76	264.03	595.34	457.25	934.76	791.35	346.29	836.53	723.08	1096.5	733.19	1135.2	239.52	633.73	237.86	1135.2	647.07	457.25	0.0	0.84	226.54
SKOR1	7.82	3.56	8.45	14.56	2.25	7.63	3.44	0.42	2.01	10.08	6.36	14.45	1.16	10.88	10.88	2.66	1.11	3.06	2.61	4.54	11.13	1.36	5.15	11.47	1.95	1.91	8.0	1.46	8.51	1.97	12.93	1.46	4.31	4.1	8.25	4.35	2.58	10.63	0.42	1.75	4.58	4.28	3.06	2.05	6.78	6.94	5.63	5.73	6.21	3.2	1.95	3.41	5.92	4.5	5.36	0.0	0.14	0.0
SLC12A9	651.58	279.14	647.07	603.67	320.8	842.36	303.44	389.72	198.47	698.41	571.05	1044.52	239.52	708.18	543.96	314.17	366.09	426.57	466.88	518.15	748.61	271.48	684.02	688.78	346.29	181.28	571.05	201.25	743.43	476.71	769.69	607.87	420.68	514.56	934.76	320.8	490.14	775.05	412.0	387.02	305.55	409.15	466.88	198.47	450.94	409.15	480.04	332.14	642.59	209.84	307.69	228.13	656.11	384.34	441.64	0.0	0.41	260.38
SLC25A34	59.55	3.96	21.16	52.45	1.2	25.72	6.41	7.0	4.31	43.02	30.12	65.26	6.41	19.68	20.41	3.76	3.53	6.31	20.56	11.55	33.3	16.63	25.54	47.17	7.82	3.03	16.15	0.8	8.19	6.78	21.94	4.9	10.24	14.78	23.93	14.56	5.87	57.49	2.43	2.43	16.27	27.25	18.43	11.04	22.26	20.71	38.12	12.0	40.64	33.78	8.45	15.0	9.78	7.11	7.69	0.0	0.58	3.11
SNAPC4	198.47	29.91	226.54	237.86	70.01	237.86	73.54	75.64	119.26	267.73	221.86	285.03	36.79	208.38	178.77	90.14	43.63	25.54	100.13	142.01	194.36	81.14	191.67	256.78	89.51	35.0	234.57	43.94	180.02	197.09	228.13	122.64	79.45	122.64	318.57	98.73	84.63	283.05	44.57	90.14	56.68	127.0	97.36	42.41	117.6	116.78	153.34	198.47	148.09	88.26	59.13	72.52	183.82	70.51	114.36	0.0	0.64	38.12
SNRNP70	12415.75	1781.89	7966.99	6652.97	1540.37	5672.41	2451.44	1794.29	1963.57	8022.41	4903.87	7911.95	1923.14	7485.11	6164.49	2875.3	2224.63	1709.26	2875.3	4543.8	10225.32	3349.13	4388.98	10225.32	2875.3	1697.45	10014.87	1457.23	7803.01	2935.74	8538.88	3212.66	2400.97	3372.43	6840.04	2956.17	2119.22	8718.32	1498.22	3018.3	2193.99	3257.52	3257.52	2240.11	4671.57	3540.14	4736.79	3103.19	4210.15	2468.49	2682.69	1721.16	7032.37	3190.46	2485.67	0.0	1.13	1508.65
SUGP1	1457.23	229.72	988.12	890.44	490.14	1081.39	368.65	441.64	387.02	1331.57	733.19	1233.75	267.73	995.0	1073.91	525.39	373.81	228.13	802.41	860.08	1143.1	633.73	836.53	1304.15	587.13	309.83	1175.27	262.2	928.3	591.22	921.88	629.35	595.34	723.08	1242.34	575.03	500.46	1104.13	366.09	703.28	423.61	567.1	543.96	253.23	785.88	642.59	796.86	559.28	854.13	409.15	540.19	262.2	1044.52	447.82	473.41	0.0	0.34	429.54
SYTL1	1909.85	12.27	1051.79	1015.93	420.68	417.77	206.94	228.13	412.0	1313.23	291.04	1225.22	129.69	1119.56	1233.75	412.0	99.43	165.57	231.32	791.35	753.83	173.85	381.68	1498.22	144.01	134.3	1037.29	86.43	1088.92	769.69	1551.09	285.03	384.34	612.11	470.14	651.58	463.65	1487.87	595.34	1250.98	265.87	435.55	575.03	107.38	825.0	543.96	536.45	493.56	490.14	226.54	612.11	264.03	703.28	432.53	406.31	0.0	0.77	109.66
TADA3	1583.71	616.37	1685.71	1594.73	1059.11	1378.57	808.0	1175.27	1135.2	1870.53	1508.65	1896.65	698.41	1794.29	2255.7	1295.13	470.14	420.68	1183.45	1477.58	1397.83	928.3	1427.22	1745.2	1051.79	633.73	1437.15	651.58	1662.49	1697.45	1572.76	1015.93	1111.82	1519.15	1896.65	1508.65	1081.39	1832.01	1233.75	1073.91	988.12	1369.04	1487.87	587.13	1594.73	947.83	1794.29	1104.13	1268.46	679.29	2502.97	679.29	1313.23	2384.37	1437.15	0.0	0.53	941.27
TAF6	1216.75	518.15	1088.92	1030.12	848.22	1259.69	738.29	1457.23	595.34	1313.23	995.0	1883.54	579.04	988.12	995.0	1066.48	620.67	507.46	884.29	718.08	1096.5	511.0	1651.0	1242.34	660.68	444.72	1051.79	555.41	1143.1	1015.93	1359.57	947.83	981.29	934.76	1508.65	988.12	808.0	1250.98	638.15	967.76	674.59	836.53	1030.12	381.68	1023.0	629.35	1037.29	764.36	1096.5	463.65	954.43	409.15	1015.93	830.75	733.19	0.0	0.71	620.67
TAF6L	493.56	58.3	536.45	480.04	185.11	314.17	193.01	220.32	236.21	441.64	500.46	555.41	101.54	400.71	395.18	293.07	88.26	74.58	242.88	438.59	460.44	170.25	287.01	612.11	297.17	88.26	473.41	162.14	423.61	241.19	438.59	253.23	239.52	307.69	493.56	224.97	236.21	551.56	156.59	371.22	155.5	293.07	256.78	115.16	329.84	281.09	297.17	312.0	363.56	208.38	236.21	102.97	361.04	447.82	237.86	0.0	0.35	115.97
THAP3	575.03	77.25	525.39	603.67	371.22	343.89	262.2	454.09	224.97	559.28	332.14	769.69	77.25	551.56	718.08	181.28	100.83	96.68	291.04	547.75	397.93	182.55	555.41	738.29	316.37	78.34	346.29	112.77	483.38	185.11	387.02	232.94	336.79	406.31	669.92	309.83	224.97	563.18	231.32	414.87	329.84	253.23	312.0	111.99	417.77	329.84	371.22	387.02	363.56	334.46	941.27	351.14	599.49	500.46	329.84	0.0	0.54	157.68
TMEM234	607.87	241.19	397.93	329.84	323.03	234.57	336.79	536.45	234.57	395.18	341.51	329.84	162.14	336.79	384.34	127.0	232.94	124.37	190.34	356.05	547.75	158.79	329.84	473.41	228.13	133.36	273.37	199.85	363.56	536.45	466.88	169.07	260.38	339.14	543.96	281.09	303.44	503.95	287.01	204.07	197.09	339.14	297.17	262.2	373.81	368.65	327.56	339.14	409.15	246.28	232.94	334.46	518.15	258.57	348.71	0.0	0.4	157.68
TMEM55B	738.29	525.39	921.88	748.61	665.29	780.44	493.56	529.06	334.46	743.43	718.08	860.08	688.78	748.61	708.18	460.44	638.15	356.05	591.22	612.11	738.29	551.56	780.44	713.11	529.06	395.18	679.29	343.89	860.08	429.54	684.02	559.28	532.74	651.58	703.28	599.49	595.34	703.28	400.71	384.34	476.71	708.18	638.15	567.1	698.41	854.13	693.58	748.61	583.07	426.57	540.19	890.44	769.69	791.35	547.75	0.0	0.85	536.45
TNIP2	848.22	59.97	854.13	738.29	376.41	642.59	612.11	343.89	429.54	921.88	698.41	884.29	114.36	775.05	693.58	441.64	161.02	112.77	759.08	679.29	748.61	320.8	733.19	928.3	441.64	131.51	633.73	186.4	733.19	518.15	813.63	486.75	571.05	567.1	921.88	500.46	679.29	848.22	332.14	476.71	228.13	571.05	414.87	154.42	733.19	361.04	397.93	251.48	457.25	629.35	532.74	279.14	323.03	647.07	368.65	0.0	0.71	400.71
TNK2	3124.78	154.42	1794.29	1397.83	698.41	1250.98	414.87	571.05	587.13	2287.2	1757.34	2555.58	301.33	1936.53	1757.34	713.11	217.27	287.01	1008.9	1233.75	2004.85	1037.29	1519.15	2591.27	713.11	178.77	1331.57	384.34	1081.39	961.07	1594.73	819.3	1096.5	1242.34	2417.67	909.17	432.53	1923.14	579.04	1044.52	343.89	961.07	915.51	242.88	1008.9	1359.57	1015.93	1119.56	2645.74	389.72	514.56	389.72	1685.71	629.35	583.07	0.0	1.06	186.4
TRIM73	175.07	9.85	122.64	125.24	35.0	67.59	5.23	13.12	17.13	143.01	65.72	165.57	10.71	128.79	113.56	14.78	5.15	36.79	21.63	15.91	162.14	11.91	69.03	135.24	14.24	1.33	117.6	3.38	77.25	10.96	96.01	5.54	25.35	49.56	76.17	27.64	16.27	115.16	3.99	27.64	40.64	61.25	59.13	23.76	39.22	82.29	65.26	111.21	138.1	19.25	28.86	32.13	91.41	43.32	40.64	0.0	0.53	2.66
TRIM74	163.28	0.0	57.49	54.33	32.59	31.0	7.4	0.84	3.69	47.84	21.63	74.58	2.34	66.18	54.33	11.91	0.0	7.88	7.0	6.41	58.3	7.0	25.54	66.18	4.31	0.0	12.27	0.85	29.48	7.75	31.9	1.57	21.47	37.85	32.82	16.51	1.87	26.28	0.0	8.92	17.0	49.21	20.71	11.64	35.5	19.25	40.93	47.17	72.52	3.35	17.38	8.13	60.82	26.67	9.41	0.0	0.38	1.81
TRIP10	1870.53	547.75	1487.87	1313.23	373.81	1304.15	356.05	392.44	518.15	1268.46	791.35	1277.29	343.89	1059.11	1259.69	612.11	279.14	209.84	1167.14	540.19	1015.93	497.0	967.76	1467.37	587.13	291.04	1073.91	99.43	878.17	1015.93	974.5	507.46	1037.29	967.76	1199.98	872.1	1066.48	1350.18	343.89	397.93	988.12	1250.98	860.08	656.11	1143.1	1407.55	813.63	830.75	995.0	3190.46	500.46	808.0	669.92	860.08	435.55	0.0	0.44	802.41
TRIP6	1832.01	723.08	1844.76	2417.67	607.87	1487.87	514.56	802.41	181.28	2875.3	890.44	2075.59	429.54	1896.65	2047.0	1191.69	384.34	420.68	947.83	599.49	2835.7	521.76	3564.78	2061.24	521.76	450.94	1923.14	44.57	1233.75	1745.2	1870.53	1359.57	1397.83	1950.0	1857.6	813.63	1540.37	2004.85	860.08	1277.29	854.13	1529.73	1268.46	559.28	1651.0	2485.67	1519.15	2400.97	1551.09	660.68	1832.01	343.89	4419.52	2047.0	1437.15	0.0	1.14	441.64
TSC22D4	1498.22	228.13	1388.16	1529.73	620.67	1268.46	836.53	890.44	490.14	1340.84	698.41	1628.26	191.67	1437.15	1250.98	616.37	332.14	346.29	733.19	974.5	1127.35	490.14	1268.46	1427.22	525.39	253.23	1008.9	229.72	1127.35	988.12	1250.98	974.5	728.11	1286.18	1617.0	764.36	934.76	1457.23	395.18	866.07	703.28	878.17	902.89	287.01	1015.93	1359.57	1023.0	1088.92	872.1	417.77	1794.29	507.46	723.08	947.83	1088.92	0.0	0.84	376.41
