	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.AJ.A3BK.01A.11R.A19W.07
ERI2	441.64	217.27	470.14	241.19	363.56	476.71	320.8	392.44	392.44	486.75	186.4	253.23	438.59	358.54	291.04	529.06	221.86	406.31	329.84	353.59	450.94	353.59	251.48	237.86	162.14	141.02	244.57	348.71	234.57	356.05	260.38	320.8	463.65	307.69	329.84	277.2	460.44	273.37	197.09	178.77	450.94	420.68	220.32	409.15	279.14	264.03	249.73	450.94	314.17	389.72	236.21	220.32	291.04	320.8	341.51	279.14	285.03	220.32	236.21	438.59	406.31	353.59	85.82
FAM169A	140.04	43.63	103.69	109.66	9.93	172.65	75.11	82.87	37.05	154.42	21.16	23.08	68.55	13.52	46.5	57.08	9.2	67.59	45.21	23.25	63.89	74.06	36.27	47.17	27.84	38.95	40.93	80.57	48.18	72.01	85.82	83.45	81.71	33.54	30.56	22.26	65.26	29.06	18.97	13.22	97.36	142.01	48.52	112.77	66.65	70.01	23.59	121.79	53.57	75.11	52.08	37.05	25.91	62.12	83.45	52.82	65.72	41.22	46.5	98.73	128.79	87.03	18.56
FAN1	444.72	265.87	500.46	551.56	423.61	518.15	420.68	426.57	409.15	551.56	161.02	267.73	607.87	438.59	334.46	351.14	305.55	454.09	392.44	343.89	571.05	420.68	343.89	373.81	277.2	170.25	253.23	423.61	264.03	307.69	376.41	351.14	511.0	356.05	387.02	460.44	423.61	320.8	212.78	395.18	473.41	444.72	356.05	470.14	429.54	490.14	307.69	521.76	417.77	511.0	255.0	141.02	348.71	320.8	463.65	470.14	339.14	351.14	412.0	591.22	470.14	397.93	87.03
FBXO28	432.53	181.28	603.67	463.65	269.6	403.5	297.17	473.41	426.57	473.41	218.79	197.09	373.81	346.29	228.13	314.17	262.2	332.14	275.28	260.38	291.04	318.57	295.11	237.86	98.04	171.45	182.55	314.17	191.67	295.11	320.8	356.05	500.46	229.72	255.0	242.88	532.74	199.85	185.11	264.03	476.71	363.56	180.02	432.53	273.37	414.87	190.34	450.94	295.11	351.14	208.38	212.78	231.32	214.27	379.04	239.52	253.23	211.31	251.48	397.93	373.81	265.87	100.13
FBXW8	218.79	87.03	232.94	212.78	156.59	105.89	95.34	128.79	186.4	199.85	132.44	144.01	156.59	178.77	147.06	173.85	199.85	159.9	212.78	114.36	150.17	194.36	115.16	217.27	117.6	63.89	101.54	171.45	103.69	116.78	158.79	198.47	167.9	195.72	131.51	123.5	214.27	111.99	96.68	127.0	194.36	146.03	106.63	181.28	141.02	166.73	89.51	180.02	137.14	153.34	129.69	127.0	120.1	124.37	201.25	163.28	90.77	118.43	123.5	136.19	154.42	98.04	96.68
FIP1L1	825.0	529.06	967.76	1008.9	536.45	836.53	708.18	830.75	1104.13	1015.93	642.59	599.49	796.86	872.1	775.05	629.35	620.67	708.18	642.59	698.41	651.58	902.89	660.68	780.44	1313.23	559.28	599.49	624.99	723.08	748.61	669.92	796.86	723.08	638.15	567.1	713.11	915.51	624.99	642.59	669.92	947.83	819.3	819.3	934.76	785.88	928.3	567.1	1015.93	909.17	733.19	543.96	543.96	743.43	791.35	915.51	780.44	665.29	708.18	791.35	723.08	708.18	808.0	698.41
GATC	262.2	176.29	373.81	301.33	246.28	283.05	242.88	312.0	348.71	414.87	162.14	212.78	316.37	217.27	239.52	204.07	379.04	232.94	195.72	159.9	265.87	403.5	256.78	403.5	155.5	161.02	159.9	447.82	130.6	248.0	214.27	291.04	373.81	265.87	186.4	218.79	351.14	206.94	224.97	316.37	358.54	242.88	151.22	420.68	251.48	368.65	131.51	291.04	275.28	314.17	105.89	191.67	182.55	148.09	339.14	258.57	148.09	182.55	198.47	320.8	341.51	215.77	139.07
GLYR1	1857.6	769.69	1561.89	1685.71	1498.22	1519.15	1583.71	1639.59	1467.37	1639.59	616.37	884.29	1487.87	1551.09	1331.57	1277.29	1023.0	1498.22	1519.15	921.88	1498.22	1250.98	1216.75	1242.34	785.88	808.0	902.89	1572.76	896.64	1407.55	1242.34	1407.55	1674.06	1175.27	1407.55	1208.34	1757.34	1322.37	764.36	1208.34	1709.26	1617.0	921.88	1709.26	1388.16	1685.71	842.36	1519.15	1216.75	1605.83	981.29	1277.29	1066.48	1397.83	1427.22	1295.13	1208.34	1051.79	1066.48	1697.45	1639.59	1427.22	325.29
GOSR1	854.13	329.84	796.86	878.17	536.45	954.43	543.96	802.41	708.18	890.44	334.46	348.71	718.08	656.11	525.39	575.03	341.51	563.18	529.06	400.71	595.34	669.92	493.56	447.82	361.04	301.33	305.55	595.34	379.04	470.14	583.07	688.78	764.36	521.76	483.38	521.76	941.27	460.44	343.89	417.77	981.29	713.11	387.02	902.89	607.87	872.1	348.71	866.07	500.46	647.07	320.8	379.04	389.72	432.53	718.08	514.56	423.61	486.75	438.59	748.61	624.99	563.18	323.03
GPAM	80.01	35.0	136.19	131.51	46.84	127.0	57.89	117.6	105.15	143.01	87.65	59.13	96.68	68.07	60.39	59.13	41.22	63.45	73.54	72.01	65.72	121.79	34.51	116.78	36.27	38.12	45.21	56.68	64.8	63.0	84.04	75.64	90.77	81.14	52.08	55.89	80.57	56.68	39.79	65.72	133.36	104.42	56.28	135.24	82.29	120.1	38.95	116.78	57.08	101.54	52.08	63.45	52.45	63.0	109.66	73.54	50.98	61.25	75.64	102.25	97.36	76.71	48.52
GPATCH8	334.46	88.88	493.56	307.69	176.29	400.71	220.32	297.17	246.28	346.29	146.03	181.28	301.33	253.23	229.72	145.02	142.01	221.86	165.57	142.01	244.57	215.77	191.67	246.28	141.02	113.56	111.21	281.09	115.97	212.78	256.78	229.72	269.6	220.32	153.34	167.9	371.22	189.02	118.43	212.78	265.87	320.8	141.02	429.54	260.38	332.14	131.51	297.17	206.94	339.14	127.0	114.36	170.25	187.71	246.28	297.17	149.12	155.5	127.0	318.57	293.07	256.78	70.51
HELZ	220.32	59.13	273.37	237.86	84.04	277.2	111.99	260.38	178.77	253.23	75.11	82.29	172.65	127.0	115.16	110.43	91.41	134.3	102.25	91.41	115.97	181.28	89.51	125.24	53.57	50.27	63.0	126.12	85.82	108.9	144.01	163.28	173.85	103.69	87.03	111.21	234.57	97.36	61.25	108.14	231.32	205.5	84.04	285.03	138.1	218.79	71.0	191.67	98.04	180.02	78.34	74.06	103.69	117.6	161.02	141.02	92.7	85.22	112.77	161.02	167.9	112.77	47.17
HERC3	1250.98	195.72	1583.71	791.35	638.15	759.08	842.36	1407.55	848.22	1073.91	287.01	361.04	432.53	551.56	620.67	660.68	507.46	480.04	368.65	420.68	718.08	703.28	633.73	514.56	1044.52	343.89	262.2	872.1	389.72	400.71	651.58	684.02	974.5	748.61	444.72	466.88	1427.22	567.1	289.02	1159.07	890.44	703.28	339.14	1844.76	733.19	1135.2	624.99	878.17	2047.0	825.0	353.59	336.79	329.84	400.71	1322.37	412.0	490.14	432.53	507.46	1561.89	967.76	848.22	34.51
HIF1AN	334.46	183.82	514.56	392.44	197.09	444.72	249.73	447.82	332.14	368.65	125.24	195.72	334.46	242.88	271.48	182.55	134.3	264.03	185.11	202.66	228.13	309.83	170.25	281.09	143.01	175.07	125.24	269.6	169.07	193.01	339.14	277.2	341.51	186.4	193.01	246.28	470.14	176.29	147.06	320.8	275.28	387.02	190.34	450.94	253.23	366.09	161.02	381.68	214.27	368.65	131.51	158.79	183.82	155.5	297.17	202.66	151.22	171.45	155.5	387.02	356.05	267.73	156.59
HTT	376.41	147.06	521.76	466.88	277.2	371.22	277.2	473.41	432.53	450.94	121.79	236.21	414.87	255.0	229.72	283.05	148.09	273.37	182.55	176.29	214.27	351.14	175.07	279.14	309.83	212.78	115.16	358.54	251.48	202.66	339.14	285.03	387.02	221.86	314.17	309.83	384.34	244.57	171.45	244.57	363.56	373.81	215.77	444.72	248.0	441.64	221.86	381.68	323.03	379.04	195.72	162.14	156.59	239.52	336.79	277.2	241.19	206.94	244.57	223.41	403.5	231.32	231.32
INPP5F	198.47	60.39	251.48	171.45	65.26	198.47	197.09	139.07	153.34	159.9	61.25	96.01	157.68	106.63	161.02	101.54	63.0	164.42	121.79	146.03	115.16	162.14	88.88	140.04	117.6	94.67	110.43	135.24	141.02	119.26	137.14	137.14	140.04	84.63	103.69	102.97	100.83	194.36	80.01	85.82	173.85	293.07	127.0	215.77	144.01	161.02	77.79	177.53	105.89	198.47	96.68	117.6	123.5	127.0	113.56	169.07	182.55	98.73	116.78	130.6	215.77	194.36	74.58
IPO7	1268.46	397.93	1331.57	1378.57	743.43	1519.15	624.99	1051.79	1183.45	1378.57	429.54	669.92	1001.93	679.29	693.58	656.11	567.1	674.59	708.18	651.58	540.19	1427.22	473.41	708.18	373.81	353.59	607.87	723.08	438.59	567.1	802.41	802.41	1175.27	1175.27	638.15	521.76	909.17	563.18	543.96	669.92	1313.23	967.76	426.57	1277.29	688.78	1073.91	457.25	1143.1	836.53	1088.92	384.34	511.0	551.56	457.25	1277.29	551.56	480.04	603.67	567.1	780.44	866.07	543.96	297.17
IQSEC1	775.05	514.56	1135.2	902.89	595.34	718.08	633.73	909.17	665.29	728.11	381.68	915.51	693.58	660.68	620.67	547.75	450.94	651.58	579.04	486.75	647.07	616.37	490.14	599.49	409.15	420.68	351.14	708.18	529.06	500.46	848.22	665.29	1008.9	507.46	698.41	684.02	660.68	525.39	651.58	708.18	743.43	629.35	532.74	1008.9	764.36	974.5	395.18	713.11	432.53	802.41	444.72	483.38	607.87	769.69	733.19	665.29	483.38	543.96	587.13	511.0	703.28	503.95	167.9
IREB2	500.46	144.01	490.14	629.35	241.19	674.59	262.2	595.34	426.57	708.18	202.66	197.09	503.95	293.07	279.14	325.29	241.19	420.68	271.48	246.28	343.89	457.25	228.13	305.55	136.19	155.5	167.9	305.55	220.32	255.0	332.14	356.05	470.14	293.07	226.54	303.44	708.18	239.52	167.9	231.32	642.59	547.75	236.21	764.36	323.03	490.14	154.42	507.46	256.78	392.44	164.42	181.28	209.84	224.97	473.41	299.25	253.23	264.03	253.23	480.04	457.25	371.22	111.99
ITCH	529.06	167.9	536.45	607.87	226.54	595.34	283.05	521.76	414.87	607.87	190.34	166.73	318.57	305.55	283.05	339.14	118.43	312.0	242.88	289.02	301.33	392.44	239.52	262.2	127.89	142.01	193.01	283.05	187.71	256.78	336.79	363.56	532.74	291.04	223.41	223.41	624.99	217.27	180.02	221.86	693.58	438.59	199.85	476.71	346.29	483.38	155.5	507.46	265.87	379.04	180.02	182.55	205.5	246.28	444.72	301.33	228.13	229.72	241.19	529.06	466.88	323.03	127.89
ITFG1	1572.76	1199.98	1208.34	1208.34	1350.18	1561.89	1023.0	1477.58	1617.0	1388.16	353.59	698.41	1369.04	1233.75	1295.13	1963.57	890.44	708.18	1233.75	1583.71	995.0	1322.37	785.88	599.49	679.29	769.69	1151.06	1340.84	981.29	1143.1	1088.92	1757.34	1709.26	483.38	1313.23	981.29	1175.27	1096.5	928.3	595.34	1745.2	1605.83	928.3	1427.22	1487.87	1685.71	995.0	2178.83	642.59	1437.15	808.0	1359.57	848.22	759.08	1183.45	902.89	1059.11	1304.15	941.27	1651.0	1487.87	1508.65	583.07
KCTD7	211.31	81.71	248.0	251.48	106.63	205.5	140.04	199.85	178.77	197.09	110.43	141.02	190.34	131.51	162.14	191.67	80.01	170.25	97.36	122.64	132.44	146.03	116.78	167.9	58.3	81.71	72.52	202.66	116.78	135.24	183.82	128.79	177.53	163.28	115.97	129.69	209.84	127.0	77.79	120.1	204.07	206.94	132.44	271.48	144.01	172.65	74.06	187.71	133.36	277.2	134.3	113.56	117.6	138.1	159.9	197.09	143.01	106.63	131.51	190.34	214.27	215.77	20.11
KDM5A	361.04	79.45	532.74	356.05	95.34	441.64	194.36	412.0	287.01	387.02	112.77	172.65	303.44	206.94	205.5	178.77	151.22	223.41	205.5	167.9	204.07	371.22	181.28	299.25	84.04	105.89	90.14	236.21	157.68	167.9	271.48	297.17	271.48	166.73	171.45	242.88	348.71	164.42	115.16	162.14	438.59	348.71	171.45	406.31	223.41	323.03	98.73	323.03	226.54	332.14	120.94	159.9	164.42	159.9	285.03	161.02	148.09	152.28	142.01	265.87	283.05	199.85	88.88
KIAA0355	366.09	106.63	432.53	318.57	195.72	376.41	228.13	363.56	260.38	417.77	248.0	208.38	281.09	175.07	204.07	267.73	191.67	334.46	185.11	148.09	253.23	220.32	206.94	256.78	120.94	108.14	161.02	214.27	166.73	236.21	275.28	242.88	373.81	220.32	229.72	249.73	395.18	165.57	98.73	157.68	373.81	301.33	163.28	384.34	239.52	305.55	109.66	307.69	287.01	281.09	178.77	182.55	176.29	248.0	285.03	351.14	356.05	177.53	166.73	314.17	353.59	314.17	64.34
KIAA1737	575.03	256.78	656.11	708.18	480.04	656.11	543.96	660.68	693.58	595.34	373.81	540.19	620.67	791.35	529.06	420.68	420.68	718.08	406.31	490.14	483.38	595.34	460.44	368.65	264.03	262.2	387.02	397.93	420.68	555.41	470.14	518.15	518.15	511.0	575.03	629.35	435.55	384.34	361.04	371.22	775.05	785.88	412.0	638.15	583.07	698.41	329.84	665.29	387.02	555.41	312.0	438.59	521.76	423.61	629.35	457.25	470.14	518.15	486.75	591.22	603.67	559.28	197.09
KLHL20	329.84	104.42	490.14	346.29	133.36	447.82	353.59	571.05	312.0	376.41	110.43	101.54	339.14	142.01	193.01	406.31	177.53	271.48	167.9	197.09	170.25	218.79	171.45	236.21	67.59	169.07	116.78	277.2	189.02	241.19	217.27	559.28	265.87	140.04	166.73	180.02	336.79	221.86	93.35	80.57	460.44	441.64	136.19	334.46	368.65	341.51	98.04	392.44	171.45	287.01	128.79	131.51	164.42	228.13	301.33	348.71	279.14	223.41	212.78	473.41	429.54	373.81	29.06
KLK2	246289.25	520665.48	93325.55	163620.18	391864.76	167058.21	329517.51	225066.78	184082.4	161367.56	170568.48	309589.14	236256.4	350728.68	378516.38	353168.2	334117.42	311742.51	378516.38	383800.28	288856.81	209994.66	280957.98	360589.03	341137.96	443937.41	338781.54	294926.33	324980.94	299043.36	294926.33	329517.51	320506.81	373305.21	316094.29	303217.87	320506.81	419990.32	168220.2	345900.08	177811.84	258533.99	311742.51	139508.13	324980.94	194578.47	279017.26	221968.2	437825.58	280957.98	265802.39	244588.0	375901.76	389157.95	204252.32	365622.68	299043.36	383800.28	402881.61	262143.0	267651.2	370726.6	12.93
KPNA6	490.14	267.73	551.56	497.0	316.37	571.05	361.04	532.74	384.34	511.0	163.28	275.28	438.59	373.81	343.89	361.04	249.73	346.29	316.37	262.2	307.69	384.34	279.14	318.57	218.79	251.48	199.85	373.81	256.78	297.17	420.68	426.57	480.04	264.03	285.03	312.0	599.49	316.37	269.6	318.57	551.56	540.19	289.02	575.03	371.22	470.14	258.57	480.04	258.57	460.44	255.0	301.33	241.19	291.04	420.68	339.14	314.17	301.33	273.37	429.54	493.56	363.56	202.66
L2HGDH	152.28	68.07	126.12	126.12	98.04	115.16	74.06	127.89	135.24	118.43	89.51	74.06	107.38	79.45	74.06	66.18	82.29	98.04	97.36	68.55	80.57	108.9	66.65	95.34	67.12	49.56	85.82	100.13	46.84	73.54	78.89	116.78	140.04	120.1	75.11	73.03	92.05	69.52	53.57	91.41	153.34	84.63	46.18	125.24	92.7	118.43	55.49	93.35	70.01	120.94	46.18	58.3	67.59	53.95	138.1	72.01	47.5	66.65	61.68	86.43	74.06	57.08	50.63
LATS1	363.56	93.35	389.72	387.02	175.07	426.57	194.36	368.65	287.01	432.53	150.17	152.28	307.69	246.28	194.36	153.34	131.51	236.21	170.25	199.85	218.79	293.07	149.12	208.38	77.25	90.77	116.78	215.77	150.17	195.72	224.97	269.6	291.04	223.41	156.59	176.29	341.51	166.73	97.36	165.57	384.34	371.22	133.36	441.64	212.78	361.04	110.43	346.29	201.25	277.2	127.0	134.3	154.42	206.94	281.09	202.66	189.02	140.04	167.9	329.84	301.33	226.54	47.17
LPIN2	358.54	173.85	373.81	406.31	175.07	490.14	285.03	423.61	444.72	387.02	180.02	162.14	271.48	281.09	202.66	297.17	143.01	242.88	201.25	151.22	214.27	303.44	155.5	368.65	57.08	166.73	147.06	234.57	193.01	237.86	228.13	287.01	316.37	273.37	301.33	249.73	204.07	208.38	97.36	191.67	438.59	351.14	150.17	397.93	187.71	379.04	122.64	351.14	373.81	339.14	159.9	183.82	159.9	271.48	343.89	251.48	153.34	209.84	197.09	299.25	309.83	241.19	116.78
MAP9	353.59	105.89	376.41	384.34	135.24	490.14	187.71	400.71	348.71	444.72	53.57	171.45	356.05	169.07	144.01	190.34	214.27	198.47	170.25	108.9	208.38	327.56	183.82	178.77	76.71	106.63	82.29	146.03	121.79	299.25	182.55	295.11	318.57	147.06	108.14	99.43	358.54	131.51	99.43	218.79	599.49	429.54	87.03	470.14	373.81	379.04	131.51	323.03	208.38	283.05	85.82	144.01	154.42	176.29	281.09	120.94	143.01	158.79	137.14	281.09	329.84	212.78	53.95
MATR3	4671.57	2555.58	5403.7	5954.47	3081.75	5913.33	3540.14	4481.23	5041.77	6207.38	2351.53	3372.43	4869.99	3901.01	3589.58	3443.31	2520.38	3928.15	3280.18	3540.14	3820.7	5147.73	3349.13	4543.8	2119.22	2417.67	2609.3	3280.18	3146.52	3847.29	4066.71	4671.57	4152.18	3768.09	3124.78	2384.37	4937.99	2758.13	3419.52	3690.52	5831.91	5403.7	3146.52	5006.93	3794.3	4671.57	2417.67	5219.6	4512.4	3955.48	2537.92	2520.38	3039.3	2664.15	4769.75	3395.89	3060.45	3303.0	3325.99	4704.07	4181.07	4095.0	2119.22
MGA	237.86	68.07	368.65	295.11	105.15	256.78	127.89	291.04	228.13	299.25	63.45	120.94	215.77	141.02	98.73	140.04	63.89	161.02	111.99	90.77	151.22	221.86	105.89	161.02	61.68	54.72	72.52	132.44	82.29	112.77	178.77	170.25	211.31	141.02	113.56	132.44	281.09	115.16	56.28	123.5	273.37	181.28	81.14	332.14	149.12	275.28	73.03	239.52	135.24	183.82	81.14	78.89	83.45	139.07	202.66	139.07	97.36	100.83	108.14	178.77	165.57	134.3	62.12
MGEA5	1572.76	961.07	2193.99	1540.37	1359.57	1540.37	1340.84	1331.57	1674.06	1936.53	848.22	1561.89	1662.49	1216.75	1457.23	1572.76	1191.69	1709.26	1340.84	1286.18	1417.35	1529.73	1225.22	1963.57	890.44	728.11	1111.82	1286.18	1322.37	1583.71	1322.37	1233.75	1304.15	1216.75	1304.15	1467.37	1572.76	1183.45	1268.46	1088.92	1135.2	1950.0	1313.23	1572.76	1369.04	1467.37	896.64	1745.2	2075.59	1519.15	1143.1	896.64	1388.16	2335.28	1519.15	1806.78	1369.04	954.43	1104.13	1397.83	1331.57	1572.76	536.45
MINPP1	503.95	323.03	368.65	575.03	366.09	371.22	366.09	320.8	454.09	607.87	246.28	289.02	493.56	483.38	376.41	323.03	314.17	441.64	555.41	497.0	381.68	595.34	275.28	525.39	246.28	325.29	316.37	366.09	353.59	473.41	423.61	738.29	507.46	316.37	334.46	329.84	435.55	397.93	260.38	260.38	329.84	532.74	368.65	511.0	483.38	551.56	334.46	638.15	320.8	575.03	239.52	447.82	379.04	339.14	444.72	318.57	426.57	579.04	429.54	532.74	476.71	361.04	134.3
MMGT1	318.57	248.0	287.01	363.56	269.6	507.46	265.87	307.69	348.71	412.0	96.68	258.57	299.25	228.13	307.69	217.27	202.66	325.29	287.01	314.17	316.37	329.84	246.28	358.54	161.02	172.65	208.38	232.94	194.36	242.88	297.17	249.73	348.71	205.5	190.34	180.02	397.93	285.03	172.65	265.87	426.57	483.38	256.78	320.8	256.78	256.78	214.27	353.59	163.28	358.54	201.25	249.73	199.85	169.07	237.86	251.48	209.84	176.29	175.07	432.53	397.93	346.29	100.13
MPP5	493.56	208.38	503.95	669.92	305.55	693.58	297.17	624.99	480.04	688.78	164.42	137.14	518.15	356.05	336.79	379.04	275.28	514.56	406.31	376.41	409.15	571.05	221.86	336.79	88.88	312.0	346.29	234.57	325.29	314.17	366.09	575.03	497.0	454.09	403.5	361.04	366.09	309.83	217.27	314.17	802.41	703.28	293.07	603.67	536.45	507.46	176.29	665.29	208.38	511.0	223.41	307.69	267.73	497.0	567.1	334.46	339.14	379.04	299.25	647.07	633.73	525.39	85.82
MTDH	1259.69	327.56	1167.14	1191.69	503.95	1639.59	567.1	1259.69	1628.26	1417.35	679.29	387.02	988.12	629.35	642.59	775.05	368.65	698.41	547.75	563.18	638.15	995.0	438.59	796.86	500.46	273.37	353.59	764.36	332.14	466.88	842.36	884.29	1447.15	1304.15	536.45	529.06	1143.1	500.46	441.64	543.96	1437.15	1225.22	412.0	1498.22	693.58	1208.34	356.05	1225.22	612.11	974.5	267.73	348.71	363.56	366.09	988.12	607.87	403.5	518.15	400.71	1175.27	1088.92	718.08	587.13
MTMR4	470.14	211.31	497.0	532.74	323.03	567.1	332.14	444.72	441.64	460.44	237.86	303.44	518.15	309.83	287.01	441.64	237.86	301.33	299.25	316.37	368.65	420.68	234.57	351.14	217.27	191.67	234.57	473.41	256.78	305.55	361.04	414.87	500.46	454.09	358.54	312.0	476.71	256.78	175.07	373.81	460.44	400.71	256.78	543.96	343.89	518.15	234.57	490.14	318.57	483.38	231.32	279.14	265.87	339.14	438.59	368.65	291.04	264.03	348.71	351.14	441.64	262.2	180.02
MYCBP2	769.69	194.36	860.08	796.86	698.41	909.17	651.58	988.12	612.11	813.63	195.72	231.32	669.92	583.07	460.44	432.53	432.53	620.67	511.0	409.15	432.53	511.0	389.72	387.02	454.09	221.86	171.45	651.58	323.03	587.13	567.1	595.34	842.36	376.41	363.56	486.75	1397.83	423.61	127.89	271.48	796.86	791.35	376.41	890.44	647.07	624.99	361.04	688.78	417.77	656.11	273.37	237.86	379.04	379.04	656.11	529.06	336.79	420.68	281.09	620.67	842.36	848.22	132.44
MYO9A	264.03	45.21	329.84	262.2	75.11	314.17	120.1	332.14	258.57	327.56	81.14	100.83	197.09	135.24	131.51	135.24	88.88	153.34	108.9	85.82	170.25	242.88	95.34	144.01	57.49	56.28	67.59	152.28	89.51	128.79	178.77	183.82	211.31	134.3	109.66	123.5	318.57	124.37	60.39	123.5	323.03	253.23	80.57	381.68	170.25	199.85	60.82	260.38	157.68	215.77	102.97	66.65	105.15	117.6	248.0	152.28	98.04	105.89	93.35	193.01	211.31	176.29	35.76
NBPF3	175.07	62.56	253.23	171.45	113.56	162.14	84.63	231.32	183.82	199.85	72.52	166.73	154.42	96.68	106.63	134.3	88.88	136.19	121.79	139.07	133.36	206.94	120.94	115.16	54.72	74.58	117.6	145.02	93.35	139.07	137.14	144.01	190.34	152.28	115.97	127.0	175.07	143.01	58.71	127.0	120.1	191.67	83.45	157.68	198.47	186.4	78.34	155.5	94.01	204.07	75.11	80.01	123.5	112.77	141.02	162.14	130.6	101.54	129.69	226.54	181.28	133.36	42.41
NCOA2	555.41	133.36	599.49	406.31	249.73	612.11	289.02	575.03	490.14	532.74	271.48	217.27	343.89	368.65	226.54	295.11	231.32	279.14	287.01	204.07	314.17	376.41	193.01	429.54	217.27	102.25	132.44	339.14	159.9	229.72	389.72	334.46	616.37	642.59	211.31	208.38	769.69	180.02	156.59	312.0	518.15	473.41	158.79	567.1	295.11	432.53	191.67	457.25	329.84	403.5	147.06	161.02	169.07	226.54	323.03	289.02	224.97	162.14	159.9	463.65	483.38	305.55	61.25
NECAP1	836.53	540.19	669.92	723.08	769.69	728.11	748.61	759.08	738.29	743.43	432.53	490.14	759.08	775.05	579.04	332.14	638.15	607.87	651.58	642.59	651.58	688.78	759.08	698.41	460.44	444.72	521.76	718.08	543.96	693.58	536.45	791.35	860.08	486.75	547.75	651.58	967.76	620.67	518.15	583.07	848.22	872.1	563.18	743.43	713.11	759.08	473.41	785.88	665.29	808.0	444.72	791.35	595.34	603.67	698.41	500.46	753.83	616.37	607.87	890.44	836.53	660.68	130.6
NF1	395.18	109.66	441.64	343.89	165.57	486.75	211.31	366.09	323.03	435.55	182.55	172.65	291.04	231.32	185.11	211.31	127.0	193.01	172.65	157.68	246.28	323.03	155.5	217.27	96.01	87.03	115.16	236.21	135.24	187.71	279.14	215.77	320.8	218.79	175.07	148.09	454.09	158.79	108.14	209.84	384.34	351.14	156.59	450.94	214.27	307.69	127.0	341.51	178.77	301.33	159.9	153.34	167.9	199.85	339.14	241.19	163.28	130.6	161.02	327.56	301.33	215.77	79.45
NFATC3	376.41	142.01	297.17	237.86	180.02	279.14	172.65	314.17	236.21	381.68	58.71	191.67	291.04	237.86	151.22	161.02	158.79	208.38	149.12	120.94	199.85	297.17	218.79	177.53	82.87	82.29	123.5	158.79	118.43	156.59	351.14	277.2	269.6	81.71	151.22	173.85	400.71	150.17	112.77	94.01	356.05	336.79	164.42	368.65	242.88	283.05	105.89	318.57	136.19	320.8	131.51	96.68	140.04	164.42	264.03	202.66	110.43	161.02	132.44	262.2	307.69	223.41	122.64
