	TCGA.CH.5739.01A.11R.1580.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.V1.A9ZG.01A.11R.A41O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A6E6.01A.11R.A311.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.HC.7231.01A.11R.2118.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5769.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.ZG.A9LZ.01A.11R.A41O.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VP.A87H.01A.11R.A352.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.VN.A88L.01A.11R.A352.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
GOLT1B	669.92	703.28	381.68	170.25	429.54	490.14	363.56	995.0	414.87	728.11	309.83	493.56	532.74	521.76	961.07	591.22	607.87	423.61	429.54	555.41	540.19	273.37	447.82	693.58	395.18	555.41	318.57	403.5	309.83	450.94	500.46	348.71	397.93	470.14	334.46	540.19	525.39	414.87	287.01	540.19	595.34	441.64	497.0	403.5	466.88	275.28	323.03	265.87	470.14	423.61	366.09	438.59	336.79	532.74	607.87	234.57	264.03	616.37	387.02	220.32	426.57	307.69	454.09	417.77	447.82	429.54	279.14	612.11	232.94	334.46	540.19	454.09	738.29	718.08	728.11	607.87	679.29	555.41	633.73	339.14	336.79	718.08	291.04	555.41	406.31	417.77	376.41	447.82	547.75	674.59	780.44	503.95	336.79	420.68	693.58	500.46	229.72	616.37	358.54	460.44	769.69	414.87	547.75	381.68	660.68	432.53	775.05	336.79	387.02	403.5	414.87	466.88	599.49	728.11	343.89	441.64	532.74	358.54	343.89	299.25	463.65	429.54	547.75	480.04	525.39
GPR63	32.59	61.68	9.93	24.11	29.06	58.71	20.11	54.33	32.36	54.33	22.1	9.34	19.39	24.28	53.19	48.52	50.98	11.47	14.56	44.25	49.56	10.96	15.56	44.57	11.82	10.63	11.91	19.53	20.11	28.86	32.59	21.16	14.56	21.47	20.86	21.16	27.44	22.59	19.68	20.41	30.78	37.05	41.22	25.91	24.11	13.42	46.5	37.32	18.84	14.89	17.0	53.19	20.56	24.46	41.22	7.34	13.32	43.94	35.5	35.5	10.39	21.78	80.01	21.94	33.3	6.94	21.78	50.98	15.45	17.9	20.41	36.53	36.79	43.94	45.53	40.64	61.68	10.31	26.67	23.25	24.46	37.85	34.51	33.78	10.63	22.43	38.95	13.32	40.93	16.88	50.27	21.78	14.24	49.91	41.22	29.48	5.02	51.35	6.31	21.32	41.22	23.42	29.48	28.45	37.59	30.78	53.19	11.82	34.02	9.78	25.72	33.06	31.9	34.02	20.71	21.32	27.44	23.08	15.45	30.12	25.72	31.22	24.99	26.86	20.41
GUCY1B3	287.01	397.93	87.03	176.29	289.02	265.87	154.42	587.13	59.97	473.41	46.84	110.43	228.13	115.97	532.74	454.09	358.54	112.77	229.72	175.07	403.5	121.79	167.9	305.55	156.59	202.66	161.02	158.79	104.42	246.28	131.51	281.09	202.66	212.78	229.72	157.68	109.66	249.73	131.51	151.22	656.11	176.29	209.84	283.05	104.42	217.27	348.71	271.48	88.26	420.68	130.6	194.36	128.79	185.11	457.25	61.68	104.42	547.75	285.03	76.71	158.79	122.64	555.41	521.76	470.14	78.34	206.94	450.94	132.44	237.86	249.73	236.21	248.0	529.06	389.72	285.03	132.44	81.14	400.71	53.19	120.94	356.05	417.77	244.57	120.94	84.63	204.07	58.3	220.32	571.05	967.76	511.0	113.56	629.35	339.14	813.63	67.59	327.56	87.03	204.07	283.05	150.17	264.03	277.2	429.54	162.14	309.83	149.12	142.01	135.24	185.11	269.6	497.0	154.42	122.64	236.21	460.44	208.38	110.43	163.28	265.87	202.66	316.37	305.55	220.32
HACE1	152.28	215.77	30.56	55.89	111.99	199.85	90.14	217.27	102.25	201.25	45.21	17.77	83.45	113.56	231.32	167.9	158.79	68.07	120.94	132.44	176.29	55.49	98.73	148.09	49.21	85.82	72.01	81.14	50.27	187.71	119.26	134.3	84.04	69.52	117.6	90.77	120.94	144.01	105.89	86.43	376.41	133.36	108.14	127.0	151.22	92.7	144.01	93.35	73.54	108.9	58.71	161.02	96.01	133.36	154.42	33.3	70.01	187.71	136.19	77.79	73.03	115.97	199.85	92.05	175.07	48.52	94.01	138.1	71.0	104.42	128.79	96.68	149.12	158.79	159.9	148.09	154.42	126.12	94.01	71.5	84.63	163.28	130.6	158.79	83.45	75.11	76.17	60.39	129.69	123.5	153.34	65.26	70.01	157.68	169.07	107.38	67.12	144.01	33.3	114.36	150.17	147.06	133.36	152.28	190.34	110.43	182.55	62.12	105.89	52.08	81.14	115.97	128.79	110.43	75.64	74.58	111.99	108.9	76.71	107.38	99.43	116.78	92.7	120.94	88.26
HDAC2	1651.0	2502.97	679.29	743.43	1594.73	1896.65	1015.93	2537.92	1183.45	1936.53	718.08	802.41	1498.22	1359.57	2119.22	1950.0	1832.01	866.07	1540.37	2004.85	2178.83	90.14	1427.22	2032.85	796.86	819.3	866.07	860.08	633.73	1883.54	1697.45	1340.84	995.0	1143.1	1313.23	1135.2	1721.16	3018.3	1225.22	1806.78	2255.7	1388.16	1407.55	1127.35	1378.57	1008.9	2090.03	1844.76	934.76	1963.57	1037.29	1572.76	1001.93	1662.49	2047.0	796.86	1417.35	1909.85	1950.0	830.75	1127.35	1407.55	2193.99	1721.16	1977.24	796.86	866.07	1769.57	785.88	1340.84	1561.89	1369.04	1651.0	1745.2	2004.85	1697.45	1286.18	1709.26	2417.67	866.07	1427.22	1651.0	1963.57	1769.57	1030.12	1183.45	1096.5	802.41	1870.53	2271.4	2271.4	1104.13	1268.46	1605.83	1685.71	1551.09	1015.93	1991.0	896.64	1685.71	1745.2	1806.78	2047.0	1709.26	1936.53	1378.57	1950.0	830.75	1183.45	693.58	981.29	1794.29	2287.2	1477.58	1175.27	1216.75	1583.71	1233.75	733.19	1199.98	1340.84	1769.57	2255.7	1350.18	1350.18
HDAC9	124.37	612.11	7.88	37.05	106.63	928.3	63.0	1037.29	7.06	518.15	14.03	16.51	68.07	59.97	190.34	551.56	197.09	52.08	92.05	111.21	384.34	29.27	39.22	177.53	52.82	66.18	54.72	94.67	35.0	55.49	84.04	102.97	120.1	181.28	172.65	58.3	75.64	137.14	23.59	45.21	127.89	140.04	48.87	140.04	68.07	63.45	669.92	251.48	44.57	157.68	33.3	28.24	72.01	62.56	379.04	1.87	43.63	256.78	1583.71	14.56	67.59	60.82	361.04	62.12	525.39	30.12	115.97	480.04	48.87	69.03	111.21	92.05	127.89	231.32	78.34	40.64	95.34	8.65	1127.35	42.11	314.17	34.51	457.25	169.07	57.08	48.52	83.45	20.56	37.32	1508.65	473.41	320.8	67.12	341.51	312.0	58.3	65.72	239.52	16.75	71.5	209.84	41.22	217.27	98.04	334.46	133.36	540.19	42.41	90.14	39.5	94.01	285.03	244.57	103.69	65.26	50.98	547.75	69.52	20.86	191.67	395.18	17.0	1023.0	136.19	83.45
HDX	45.85	56.28	19.11	22.75	35.0	54.33	27.25	61.68	18.03	56.68	21.63	28.65	37.05	22.26	76.71	52.08	63.0	24.11	29.27	47.17	46.84	34.02	25.17	50.63	25.54	17.13	28.86	38.95	28.24	42.41	38.67	39.5	29.48	29.7	34.02	24.11	42.11	39.22	12.55	28.65	60.39	40.64	16.03	40.93	27.84	34.51	53.95	28.65	25.91	19.11	29.06	31.45	30.56	49.56	48.52	14.56	25.17	69.52	46.5	34.26	12.36	30.56	62.12	35.25	41.22	30.12	15.45	40.93	22.26	22.43	35.0	53.19	30.34	40.93	42.41	38.4	28.24	4.17	48.87	24.46	19.39	47.17	43.32	43.32	33.3	23.76	38.95	18.56	28.86	63.45	58.71	36.01	28.65	54.33	49.21	32.82	4.66	38.95	17.64	33.78	42.71	34.02	52.82	37.32	74.58	37.05	51.35	26.28	33.3	24.63	31.0	30.78	37.59	38.95	25.91	19.39	37.05	24.63	6.94	31.22	26.67	26.86	49.91	36.53	27.84
HECTD1	1350.18	1883.54	890.44	1037.29	1519.15	1721.16	1044.52	2004.85	1059.11	1909.85	1143.1	808.0	1151.06	1175.27	1923.14	2209.26	1769.57	974.5	1277.29	1498.22	1963.57	981.29	947.83	1923.14	1259.69	1250.98	884.29	1023.0	825.0	1519.15	1259.69	1111.82	1088.92	1111.82	1159.07	1250.98	1359.57	2255.7	928.3	1135.2	1477.58	1119.56	1001.93	1437.15	1259.69	1159.07	1781.89	1457.23	1023.0	1268.46	1066.48	1561.89	1313.23	1104.13	1628.26	909.17	866.07	1781.89	1709.26	1030.12	884.29	1183.45	1819.35	1378.57	1844.76	928.3	1143.1	1508.65	1096.5	1008.9	1350.18	1037.29	1477.58	1674.06	1781.89	1651.0	1508.65	1498.22	1457.23	1151.06	1167.14	1628.26	1437.15	1498.22	1167.14	1119.56	896.64	1104.13	1397.83	1467.37	2004.85	1457.23	1001.93	1745.2	1685.71	1304.15	579.04	1806.78	842.36	1313.23	1757.34	1662.49	1242.34	1199.98	1709.26	1175.27	1572.76	748.61	1151.06	830.75	1225.22	1397.83	1639.59	1447.15	1159.07	1066.48	1216.75	854.13	995.0	1242.34	1167.14	1199.98	1378.57	1477.58	967.76
HMGXB4	435.55	529.06	129.69	152.28	260.38	403.5	241.19	470.14	253.23	454.09	187.71	154.42	256.78	234.57	435.55	457.25	463.65	265.87	239.52	309.83	447.82	154.42	181.28	414.87	242.88	325.29	137.14	217.27	194.36	297.17	346.29	218.79	246.28	185.11	251.48	281.09	297.17	309.83	202.66	201.25	318.57	295.11	244.57	267.73	157.68	241.19	400.71	339.14	392.44	256.78	275.28	211.31	208.38	253.23	366.09	152.28	156.59	420.68	277.2	267.73	241.19	218.79	473.41	258.57	281.09	218.79	287.01	318.57	158.79	198.47	329.84	236.21	346.29	438.59	406.31	309.83	400.71	444.72	480.04	283.05	334.46	483.38	395.18	444.72	244.57	237.86	224.97	305.55	312.0	368.65	395.18	217.27	172.65	381.68	511.0	307.69	220.32	420.68	157.68	327.56	395.18	309.83	376.41	239.52	368.65	221.86	353.59	193.01	221.86	183.82	260.38	205.5	329.84	348.71	251.48	170.25	258.57	289.02	194.36	253.23	208.38	312.0	417.77	220.32	214.27
IBTK	583.07	583.07	309.83	42.41	463.65	518.15	412.0	698.41	543.96	616.37	312.0	429.54	381.68	432.53	733.19	529.06	660.68	361.04	460.44	457.25	571.05	249.73	583.07	698.41	312.0	389.72	287.01	341.51	218.79	473.41	490.14	466.88	423.61	323.03	312.0	348.71	444.72	591.22	403.5	414.87	555.41	460.44	450.94	426.57	536.45	532.74	323.03	423.61	540.19	599.49	480.04	708.18	486.75	460.44	536.45	540.19	384.34	651.58	429.54	312.0	381.68	297.17	703.28	490.14	543.96	387.02	450.94	540.19	348.71	480.04	497.0	532.74	612.11	540.19	629.35	603.67	669.92	503.95	518.15	323.03	343.89	713.11	480.04	633.73	470.14	500.46	454.09	312.0	563.18	503.95	688.78	466.88	435.55	555.41	642.59	457.25	353.59	591.22	384.34	389.72	612.11	435.55	466.88	587.13	450.94	483.38	633.73	363.56	406.31	223.41	351.14	423.61	536.45	483.38	400.71	351.14	457.25	507.46	325.29	426.57	435.55	438.59	473.41	384.34	406.31
ITCH	532.74	463.65	167.9	217.27	334.46	536.45	253.23	688.78	226.54	595.34	218.79	186.4	275.28	297.17	679.29	603.67	521.76	224.97	285.03	346.29	563.18	309.83	232.94	607.87	281.09	297.17	187.71	253.23	166.73	392.44	305.55	283.05	255.0	260.38	271.48	279.14	297.17	318.57	118.43	244.57	277.2	312.0	242.88	454.09	289.02	265.87	483.38	291.04	301.33	244.57	239.52	358.54	246.28	262.2	312.0	127.89	142.01	603.67	289.02	262.2	193.01	256.78	563.18	251.48	457.25	58.71	283.05	307.69	236.21	187.71	289.02	256.78	447.82	447.82	497.0	363.56	532.74	291.04	403.5	223.41	223.41	624.99	289.02	218.79	224.97	217.27	226.54	221.86	314.17	373.81	693.58	356.05	199.85	518.15	476.71	346.29	228.13	483.38	155.5	260.38	507.46	265.87	351.14	379.04	595.34	262.2	518.15	180.02	255.0	223.41	295.11	293.07	409.15	450.94	262.2	182.55	281.09	205.5	246.28	301.33	228.13	376.41	356.05	323.03	256.78
IWS1	579.04	723.08	483.38	500.46	708.18	723.08	660.68	764.36	525.39	660.68	341.51	312.0	607.87	579.04	647.07	656.11	764.36	587.13	759.08	521.76	813.63	246.28	684.02	660.68	500.46	656.11	343.89	595.34	423.61	543.96	575.03	579.04	633.73	493.56	587.13	532.74	563.18	521.76	483.38	587.13	684.02	624.99	595.34	483.38	543.96	525.39	679.29	660.68	543.96	679.29	656.11	638.15	521.76	723.08	738.29	500.46	642.59	733.19	660.68	473.41	376.41	518.15	753.83	583.07	624.99	599.49	633.73	665.29	389.72	547.75	660.68	738.29	616.37	753.83	647.07	708.18	543.96	480.04	660.68	361.04	708.18	703.28	753.83	633.73	441.64	583.07	651.58	493.56	551.56	753.83	693.58	642.59	660.68	647.07	688.78	629.35	215.77	764.36	348.71	651.58	708.18	595.34	684.02	500.46	616.37	688.78	703.28	435.55	616.37	420.68	559.28	620.67	624.99	599.49	587.13	463.65	660.68	603.67	567.1	723.08	642.59	583.07	624.99	703.28	507.46
KATNBL1	603.67	470.14	293.07	351.14	334.46	525.39	426.57	575.03	332.14	567.1	314.17	409.15	314.17	454.09	620.67	525.39	395.18	429.54	426.57	255.0	521.76	231.32	336.79	567.1	236.21	463.65	275.28	363.56	269.6	387.02	316.37	384.34	426.57	273.37	348.71	339.14	429.54	583.07	325.29	348.71	620.67	339.14	353.59	429.54	497.0	356.05	387.02	392.44	500.46	392.44	379.04	591.22	417.77	397.93	341.51	353.59	258.57	480.04	353.59	318.57	358.54	351.14	511.0	441.64	297.17	305.55	368.65	406.31	353.59	379.04	463.65	447.82	406.31	525.39	500.46	473.41	329.84	435.55	507.46	307.69	389.72	395.18	368.65	466.88	414.87	376.41	358.54	454.09	457.25	450.94	529.06	397.93	371.22	379.04	486.75	366.09	221.86	329.84	305.55	293.07	543.96	403.5	454.09	551.56	532.74	376.41	532.74	312.0	336.79	262.2	409.15	325.29	521.76	473.41	381.68	255.0	529.06	361.04	571.05	435.55	409.15	307.69	463.65	423.61	314.17
KIAA0247	1167.14	759.08	269.6	189.02	796.86	808.0	543.96	896.64	351.14	995.0	329.84	265.87	486.75	665.29	825.0	733.19	915.51	599.49	525.39	723.08	802.41	387.02	327.56	854.13	277.2	575.03	400.71	327.56	273.37	607.87	327.56	336.79	511.0	514.56	473.41	409.15	403.5	660.68	353.59	426.57	599.49	728.11	201.25	307.69	287.01	395.18	759.08	1096.5	285.03	497.0	327.56	599.49	397.93	269.6	909.17	490.14	341.51	1096.5	819.3	244.57	275.28	414.87	769.69	555.41	825.0	435.55	616.37	718.08	536.45	420.68	571.05	454.09	591.22	738.29	785.88	583.07	450.94	780.44	703.28	414.87	698.41	1183.45	884.29	995.0	536.45	241.19	353.59	500.46	551.56	848.22	860.08	708.18	307.69	836.53	915.51	703.28	316.37	825.0	329.84	547.75	743.43	438.59	480.04	629.35	684.02	423.61	836.53	353.59	392.44	366.09	460.44	718.08	819.3	521.76	379.04	211.31	497.0	348.71	400.71	371.22	389.72	796.86	718.08	320.8	426.57
KIAA1279	381.68	466.88	426.57	454.09	567.1	429.54	426.57	934.76	392.44	579.04	334.46	454.09	435.55	381.68	660.68	476.71	563.18	525.39	480.04	633.73	387.02	264.03	450.94	447.82	392.44	525.39	297.17	329.84	217.27	595.34	381.68	371.22	429.54	384.34	361.04	305.55	366.09	463.65	325.29	420.68	483.38	356.05	403.5	599.49	389.72	316.37	406.31	295.11	358.54	500.46	379.04	353.59	397.93	397.93	555.41	260.38	343.89	543.96	493.56	397.93	267.73	444.72	607.87	312.0	432.53	438.59	417.77	466.88	638.15	334.46	420.68	457.25	753.83	403.5	536.45	454.09	438.59	325.29	412.0	320.8	299.25	629.35	457.25	426.57	376.41	287.01	353.59	412.0	358.54	521.76	603.67	532.74	368.65	457.25	463.65	395.18	403.5	441.64	423.61	447.82	460.44	371.22	400.71	503.95	507.46	403.5	412.0	264.03	412.0	237.86	511.0	403.5	476.71	454.09	381.68	500.46	397.93	303.44	320.8	348.71	412.0	409.15	387.02	466.88	384.34
KIAA1715	239.52	275.28	51.71	139.07	149.12	312.0	141.02	346.29	153.34	400.71	189.02	117.6	171.45	134.3	438.59	190.34	301.33	136.19	172.65	156.59	368.65	214.27	142.01	318.57	151.22	155.5	169.07	154.42	156.59	217.27	187.71	153.34	126.12	193.01	147.06	158.79	232.94	172.65	92.05	123.5	205.5	140.04	161.02	198.47	161.02	140.04	232.94	139.07	194.36	140.04	151.22	197.09	135.24	223.41	189.02	81.14	84.63	312.0	193.01	140.04	127.89	176.29	341.51	130.6	283.05	116.78	148.09	154.42	143.01	114.36	180.02	137.14	283.05	241.19	267.73	218.79	221.86	159.9	220.32	152.28	113.56	237.86	90.14	172.65	152.28	146.03	106.63	197.09	145.02	249.73	368.65	218.79	103.69	201.25	343.89	195.72	175.07	253.23	128.79	117.6	320.8	189.02	149.12	182.55	379.04	161.02	281.09	92.7	154.42	150.17	169.07	178.77	158.79	226.54	164.42	112.77	159.9	126.12	140.04	137.14	147.06	121.79	193.01	161.02	181.28
KIAA1919	37.05	43.32	8.58	12.09	23.08	40.07	18.84	33.78	22.1	48.52	13.62	12.74	31.22	42.41	46.18	26.67	45.21	14.89	31.45	20.26	37.85	10.47	20.26	47.17	18.16	12.74	11.04	17.0	7.22	35.76	28.86	21.47	19.68	27.44	17.13	18.56	35.76	43.94	16.27	20.11	31.67	29.7	21.32	22.26	22.75	16.03	36.01	22.59	18.56	23.76	13.03	31.0	21.94	23.76	45.21	7.94	10.79	63.45	35.76	9.85	7.75	18.16	23.76	28.86	24.28	13.52	18.97	40.36	12.18	17.77	24.99	31.0	31.0	45.53	48.52	41.81	27.44	37.05	40.36	19.53	19.68	47.5	31.22	50.98	17.13	16.51	17.25	14.03	23.59	27.05	37.05	22.75	19.39	28.45	57.08	26.1	16.03	40.36	14.24	33.06	39.22	34.75	32.59	27.64	26.86	28.04	48.18	10.96	16.63	12.36	18.16	32.36	28.24	39.22	25.54	15.11	20.41	17.64	12.55	19.39	23.59	26.86	38.67	32.82	22.59
KIAA2022	30.34	30.34	10.0	30.34	24.28	40.93	8.92	44.89	18.56	40.07	15.8	12.27	21.16	14.56	50.63	39.79	45.21	15.56	22.26	25.54	41.81	5.68	12.83	42.11	25.17	15.91	11.82	18.43	13.93	20.86	29.7	20.26	12.27	31.22	19.39	19.39	27.64	32.82	9.78	16.75	28.86	29.27	21.94	30.78	24.28	11.91	17.38	21.16	27.44	15.68	13.52	22.92	10.0	32.13	29.91	0.0	13.52	46.84	21.78	30.12	15.22	21.01	59.55	19.97	55.49	15.8	21.63	27.64	20.71	14.67	23.08	17.0	46.18	25.91	43.94	35.25	34.02	19.25	22.92	20.86	12.45	43.32	25.54	27.05	13.42	19.53	18.43	13.32	23.42	26.86	39.5	4.28	19.11	19.11	43.02	25.54	3.63	34.26	8.65	24.63	44.57	15.22	27.25	27.84	34.51	23.59	19.97	13.62	24.99	11.47	16.51	17.38	18.03	27.64	20.11	13.93	17.38	15.91	8.0	19.82	24.46	17.25	18.97	27.84	21.32
KIF5B	1583.71	2224.63	703.28	780.44	1397.83	1896.65	1008.9	2701.35	1127.35	2434.5	872.1	426.57	1191.69	866.07	2163.77	1896.65	1806.78	1096.5	1340.84	1331.57	2240.11	808.0	967.76	1883.54	1081.39	1030.12	599.49	1191.69	1051.79	1111.82	1359.57	1159.07	1127.35	1331.57	1127.35	1135.2	1313.23	1388.16	961.07	1059.11	1191.69	1407.55	1397.83	1781.89	1331.57	708.18	1639.59	1175.27	1427.22	1051.79	1407.55	1487.87	679.29	1151.06	2163.77	483.38	463.65	1896.65	1322.37	1151.06	866.07	813.63	2319.15	1242.34	1639.59	723.08	934.76	1417.35	669.92	872.1	1467.37	1447.15	1697.45	1540.37	1963.57	1617.0	934.76	1674.06	1487.87	902.89	878.17	2148.82	1397.83	1745.2	884.29	1044.52	1225.22	1208.34	1304.15	1594.73	2090.03	967.76	909.17	1529.73	1733.13	954.43	698.41	1572.76	713.11	1096.5	1832.01	1127.35	1359.57	1023.0	1883.54	1259.69	2163.77	669.92	1277.29	728.11	961.07	1286.18	1407.55	1697.45	896.64	947.83	1015.93	1295.13	1350.18	1119.56	981.29	1340.84	1331.57	1331.57	1175.27
KLHL20	406.31	249.73	104.42	134.3	540.19	490.14	265.87	511.0	133.36	447.82	169.07	115.16	392.44	231.32	656.11	379.04	571.05	186.4	208.38	366.09	316.37	102.97	161.02	376.41	169.07	273.37	137.14	197.09	101.54	392.44	142.01	193.01	236.21	353.59	236.21	241.19	198.47	214.27	177.53	237.86	698.41	271.48	167.9	366.09	197.09	267.73	660.68	236.21	170.25	162.14	171.45	244.57	242.88	236.21	373.81	67.59	169.07	417.77	187.71	130.6	116.78	271.48	559.28	285.03	332.14	180.02	277.2	297.17	190.34	189.02	346.29	241.19	373.81	237.86	267.73	559.28	265.87	140.04	180.02	166.73	180.02	336.79	256.78	341.51	136.19	221.86	159.9	80.57	379.04	312.0	460.44	336.79	136.19	341.51	334.46	368.65	119.26	341.51	98.04	229.72	392.44	171.45	271.48	921.88	384.34	262.2	406.31	128.79	414.87	134.3	193.01	267.73	237.86	248.0	249.73	131.51	363.56	164.42	228.13	348.71	279.14	387.02	167.9	373.81	181.28
