	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.ZF.A9R2.01A.11R.A39I.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.50.5045.01A.01R.1628.07	TCGA.05.5715.01A.01R.1628.07	TCGA.44.7672.01A.11R.2066.07	TCGA.35.4123.01A.01R.1107.07	TCGA.49.4506.01A.01R.1206.07	TCGA.38.4629.01A.02R.1206.07	TCGA.50.5066.01A.01R.1628.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07
MOXD1	8.58	6.11	4.39	101.54	28.24	98.04	4.58	10.71	3.89	463.65	39.22	3.11	7.22	80.01	100.83	111.99	2.34	42.11	131.51	190.34	181.28	287.01	12.27	412.0	0.65	38.95	902.89	14.24	5.87	1119.56	583.07	1096.5	995.0	167.9	376.41	995.0	842.36	583.07	1605.83	42.71	46.84
MPEG1	29.7	21.63	4.39	60.39	3.66	5.82	7.88	32.36	18.84	607.87	57.89	10.71	5.02	90.14	167.9	53.19	4.06	19.53	100.83	54.72	13.93	86.43	29.7	111.99	8.71	35.76	145.02	37.85	9.06	346.29	217.27	403.5	180.02	142.01	256.78	287.01	435.55	363.56	890.44	94.67	34.75
MPO	0.68	0.64	0.0	0.96	0.0	0.6	0.0	1.81	0.0	8.06	0.0	0.0	0.0	1.1	1.19	0.0	0.29	0.65	1.87	0.39	3.03	1.93	0.33	2.78	0.6	0.0	4.13	0.0	0.0	11.64	3.66	13.22	10.24	2.86	8.32	5.36	6.57	12.36	11.3	8.51	0.8
MS4A1	12.45	4.46	0.31	3.53	1.64	0.0	0.0	5.15	2.86	780.44	406.31	0.0	0.95	172.65	34.75	16.03	0.0	0.35	4.35	4.98	8.45	49.91	4.17	47.17	0.0	26.67	11.04	4.9	2.89	748.61	51.71	447.82	163.28	159.9	45.21	358.54	83.45	32.36	38.12	70.51	4.03
NCKAP1L	22.1	20.86	2.94	35.76	2.68	1.89	6.11	52.45	13.22	457.25	45.53	5.28	4.43	60.82	107.38	57.49	5.23	23.25	209.84	37.32	8.25	84.63	40.07	154.42	7.0	23.76	175.07	53.95	11.04	497.0	332.14	571.05	307.69	127.89	412.0	212.78	1286.18	2816.11	974.5	151.22	70.51
NLRP3	10.71	2.25	2.61	16.75	3.89	0.33	2.43	6.94	5.41	43.02	3.76	0.93	0.65	18.84	41.22	9.56	5.68	8.71	45.85	3.08	4.39	12.45	4.17	96.01	5.06	4.43	31.67	11.13	9.56	117.6	25.17	61.25	55.89	32.36	113.56	64.8	64.8	63.0	67.12	44.25	34.02
NTM	19.97	37.32	6.11	46.84	12.09	17.25	10.88	8.92	20.41	189.02	199.85	8.0	5.63	83.45	95.34	180.02	8.06	74.58	113.56	154.42	35.25	175.07	9.06	86.43	2.46	45.85	723.08	19.82	27.44	320.8	303.44	353.59	152.28	15.45	223.41	69.03	703.28	896.64	167.9	132.44	55.49
OSM	28.04	4.17	2.03	55.89	1.33	6.06	6.94	8.51	26.47	77.25	19.82	3.06	10.79	52.82	61.68	24.28	6.26	15.8	163.28	25.54	12.45	58.3	11.82	16.15	14.89	3.72	23.93	39.5	12.74	457.25	108.14	37.85	571.05	44.89	307.69	153.34	92.05	112.77	212.78	66.18	16.63
PARVG	86.43	33.3	11.64	74.06	10.88	4.66	21.78	128.79	36.53	599.49	154.42	15.68	12.83	133.36	279.14	106.63	6.11	55.1	287.01	90.77	24.99	176.29	92.7	173.85	9.13	67.12	162.14	94.67	26.86	1167.14	406.31	660.68	547.75	239.52	423.61	830.75	941.27	3395.89	981.29	447.82	234.57
PIK3R5	12.55	7.4	3.79	26.86	3.96	1.87	4.58	21.32	7.06	130.6	14.03	3.11	3.79	41.81	37.59	26.1	4.62	9.48	58.71	14.67	8.51	56.68	17.38	57.49	1.85	15.56	42.11	35.25	5.82	175.07	127.89	253.23	84.63	69.52	115.97	86.43	358.54	547.75	301.33	67.12	44.89
PLEK	36.53	17.0	2.07	38.67	5.32	2.81	8.85	57.89	22.43	397.93	63.45	7.69	12.18	114.36	132.44	75.64	5.5	20.56	251.48	34.26	19.11	111.99	68.07	201.25	7.88	17.9	71.5	40.64	11.64	928.3	555.41	642.59	660.68	262.2	836.53	669.92	511.0	1313.23	1135.2	206.94	136.19
PRRG3	0.0	0.96	0.29	4.1	0.0	0.0	0.0	0.61	0.0	14.89	0.75	0.61	0.0	2.18	0.3	0.67	0.0	0.65	7.63	1.91	1.01	3.82	0.0	0.32	0.0	0.74	20.26	0.87	0.33	3.82	2.16	7.11	5.63	0.35	4.46	4.39	47.5	29.7	26.86	0.07	0.72
PTCRA	1.35	1.57	0.0	0.65	1.6	1.2	0.0	0.0	0.0	82.87	1.87	1.2	0.0	1.46	2.05	0.0	0.85	0.0	0.93	3.79	0.0	0.96	2.23	6.11	0.0	0.0	1.71	1.14	0.0	70.51	28.24	35.5	19.53	12.09	35.5	14.03	118.43	202.66	95.34	3.96	4.82
PTPRC	44.89	17.9	2.66	47.17	7.57	3.41	6.41	105.15	22.75	500.46	157.68	7.11	8.13	135.24	101.54	157.68	5.77	22.43	165.57	41.52	10.63	224.97	79.45	293.07	6.94	28.45	113.56	78.34	15.8	1051.79	312.0	1051.79	909.17	303.44	620.67	890.44	1001.93	2591.27	612.11	211.31	111.99
RGS18	7.06	0.97	0.88	5.73	2.94	1.53	2.12	4.24	2.25	39.5	10.08	1.85	1.25	9.85	5.92	15.45	0.88	4.86	16.63	4.24	5.73	13.12	5.45	12.09	1.22	7.75	11.73	7.46	3.53	130.6	52.82	52.82	79.45	48.18	55.1	191.67	14.45	21.47	110.43	24.63	25.91
RGS4	8.13	9.85	15.11	14.67	1.99	1.55	12.93	6.41	1.62	87.65	15.8	8.19	4.06	14.56	48.87	95.34	6.84	18.43	58.71	63.45	13.83	14.45	42.71	67.59	9.27	5.19	53.19	5.77	12.45	115.16	85.22	43.94	206.94	17.38	116.78	112.77	62.12	189.02	25.91	248.0	780.44
S100A6	569761.05	318292.9	229795.93	386469.83	368165.8	373305.21	318292.9	539026.74	311742.51	258533.99	945028.61	569761.05	345900.08	355624.68	520665.48	408505.64	324980.94	350728.68	431797.89	400098.69	932018.1	459592.86	386469.83	311742.51	253213.41	456418.21	509950.32	466008.55	554180.87	204252.32	336441.4	271387.49	316094.29	343510.77	273275.14	275175.93	290865.98	408505.64	355624.68	422911.59	443937.41
SASH3	36.01	22.1	4.39	36.79	4.31	9.78	15.8	100.83	28.04	480.04	112.77	15.34	10.0	94.67	181.28	86.43	2.92	26.28	172.65	61.25	9.93	120.1	74.58	153.34	7.57	43.63	72.01	97.36	15.45	866.07	341.51	656.11	536.45	208.38	334.46	463.65	1605.83	1111.82	974.5	186.4	64.8
SELPLG	70.51	31.45	7.57	96.01	8.58	8.85	16.39	154.42	44.89	878.17	63.89	13.22	20.56	104.42	291.04	153.34	23.76	46.5	269.6	106.63	31.9	224.97	75.64	348.71	13.83	76.71	220.32	88.88	41.52	890.44	423.61	780.44	450.94	297.17	674.59	432.53	2061.24	1529.73	1268.46	497.0	206.94
SIRPB2	7.88	7.06	28.86	12.27	4.94	4.62	5.19	5.87	5.19	64.8	21.94	15.0	0.0	15.45	43.02	17.0	3.79	5.92	64.8	7.0	5.19	37.32	3.92	85.22	2.46	4.54	67.12	9.56	4.58	82.87	84.63	136.19	40.07	33.78	119.26	109.66	177.53	115.97	397.93	55.1	15.91
SLA	23.42	14.78	9.63	34.02	21.63	7.69	5.54	67.59	14.14	400.71	55.1	3.76	5.68	78.34	134.3	88.88	4.39	36.01	154.42	28.65	16.15	115.16	55.89	242.88	10.0	15.68	112.77	98.73	17.77	432.53	239.52	603.67	339.14	231.32	376.41	414.87	1540.37	1781.89	420.68	343.89	191.67
ST6GALNAC5	18.84	14.03	1.77	6.46	11.04	0.34	5.77	3.08	1.95	81.71	25.54	0.34	3.76	34.51	47.84	17.25	20.71	20.71	40.64	51.35	5.5	23.93	14.45	40.07	13.72	11.47	90.14	3.79	6.78	118.43	68.55	92.05	64.8	18.56	138.1	81.14	381.68	84.63	167.9	373.81	432.53
STAP1	2.36	0.65	1.45	1.3	0.0	0.0	0.61	2.73	1.28	96.68	37.05	0.0	0.0	13.03	8.19	5.59	0.3	2.92	8.58	6.11	0.0	10.79	0.34	22.1	0.0	4.78	4.82	1.73	2.56	147.06	15.0	102.97	33.3	20.86	26.86	76.17	83.45	20.56	10.24	9.13	8.38
SULF1	85.82	61.25	14.35	105.89	47.84	12.93	36.01	128.79	9.78	974.5	228.13	16.75	15.8	237.86	1628.26	738.29	11.64	500.46	2796.65	1697.45	80.57	941.27	32.13	759.08	9.78	108.14	2609.3	56.28	41.52	2061.24	1467.37	4210.15	1167.14	684.02	2047.0	1551.09	426.57	2335.28	320.8	1369.04	753.83
TBC1D10C	53.57	31.67	6.94	29.06	10.47	11.21	10.31	198.47	33.54	718.08	147.06	16.15	14.56	75.64	199.85	100.83	18.84	24.99	111.21	31.45	25.35	136.19	64.8	130.6	5.15	69.03	42.41	85.22	28.86	595.34	147.06	438.59	547.75	273.37	163.28	529.06	733.19	1322.37	551.56	397.93	246.28
TLR10	4.35	0.96	0.58	0.33	1.3	0.31	0.61	0.92	1.28	50.27	23.93	1.22	0.0	12.27	3.82	2.63	0.0	0.34	1.55	1.53	0.68	8.58	0.97	3.72	0.91	1.85	3.79	1.16	0.97	118.43	10.47	64.34	34.26	23.08	8.85	98.73	9.06	11.47	23.25	14.56	3.32
TMEM130	10.0	8.19	0.0	79.45	2.92	0.0	0.32	2.14	1.6	21.94	10.79	2.14	1.55	8.0	35.5	13.42	0.3	8.65	46.18	3.82	5.06	46.5	1.62	9.56	0.61	13.83	111.21	3.44	3.2	155.5	94.67	71.5	49.56	6.26	20.56	67.59	728.11	769.69	38.4	10.63	18.56
TNFSF8	9.41	0.97	1.73	8.58	2.61	1.22	1.81	6.62	2.23	139.07	16.75	0.0	4.94	16.63	18.7	11.82	0.59	3.56	18.16	3.47	1.03	24.46	12.64	49.21	2.1	2.97	25.17	7.69	3.82	102.97	36.27	108.14	69.52	33.78	61.68	139.07	102.25	26.1	77.79	21.94	16.63
TREML2	0.35	0.64	0.0	0.0	0.0	0.0	0.31	2.41	0.33	22.43	5.54	0.0	0.32	1.46	0.3	1.31	0.0	0.65	0.32	1.53	1.01	1.28	0.33	1.87	0.0	0.38	3.41	0.58	0.33	17.0	17.13	16.27	4.46	1.45	7.69	2.97	5.19	2.71	7.46	5.5	2.25
VENTX	5.06	0.97	0.0	3.86	0.0	0.33	0.93	0.0	2.25	33.3	1.53	0.93	0.34	3.69	16.15	0.36	0.31	2.29	10.79	6.16	0.37	3.56	4.17	3.76	0.32	3.72	15.45	3.76	1.62	20.26	4.13	24.46	12.18	7.34	8.51	23.76	24.99	9.56	69.52	28.45	15.68
WDFY4	32.59	9.56	1.19	24.11	7.82	1.25	6.62	11.55	7.34	334.46	65.26	1.57	2.2	43.02	74.58	23.08	1.17	17.13	52.08	25.91	4.1	46.18	15.91	38.95	6.31	10.0	43.02	27.44	6.41	198.47	159.9	293.07	69.52	50.98	100.13	54.33	511.0	2335.28	518.15	173.85	43.32
WNT2	49.21	11.13	7.46	7.4	10.08	7.57	8.45	28.86	19.53	85.22	76.71	2.16	31.45	103.69	49.91	72.01	3.17	37.05	98.73	97.36	16.15	297.17	4.86	112.77	1.23	0.0	366.09	38.95	29.48	336.79	155.5	293.07	264.03	102.25	155.5	376.41	366.09	242.88	547.75	9.41	1.48
