	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
USP37	28.45	29.7	12.36	35.0	26.86	16.27	26.47	22.43	17.51	13.93	37.05	17.13	38.12	22.26	19.82	55.49	27.44	119.26	170.25	128.79	50.98	35.76	45.53	106.63	72.52	68.55	55.49	52.45	39.79	27.25	50.98	45.85	58.3	34.02	84.04	59.55	53.19	19.97	41.52	20.11	57.08	47.17	70.01	100.83	67.59	17.51	50.98	30.34	92.7	100.83	131.51	52.08	53.57	32.36
XPO7	616.37	629.35	525.39	563.18	688.78	579.04	490.14	473.41	470.14	493.56	559.28	447.82	612.11	629.35	575.03	669.92	547.75	934.76	974.5	723.08	733.19	713.11	785.88	785.88	616.37	1104.13	813.63	665.29	866.07	713.11	708.18	738.29	603.67	603.67	743.43	563.18	703.28	532.74	872.1	493.56	620.67	813.63	802.41	830.75	1023.0	591.22	679.29	616.37	1030.12	802.41	1037.29	728.11	514.56	674.59
YTHDC1	902.89	934.76	665.29	607.87	848.22	791.35	583.07	769.69	836.53	928.3	1030.12	656.11	947.83	1051.79	769.69	1037.29	1044.52	1674.06	1832.01	1350.18	1498.22	1340.84	1268.46	1923.14	1359.57	2061.24	1225.22	1159.07	1498.22	947.83	1151.06	1359.57	1295.13	1340.84	1295.13	995.0	1208.34	819.3	1447.15	921.88	1119.56	1529.73	1508.65	1350.18	1340.84	733.19	1304.15	967.76	1721.16	1487.87	1529.73	1295.13	1015.93	1447.15
ZNF134	141.02	158.79	116.78	110.43	124.37	112.77	115.16	113.56	122.64	129.69	178.77	123.5	139.07	146.03	133.36	190.34	130.6	281.09	281.09	314.17	351.14	258.57	224.97	363.56	234.57	287.01	224.97	275.28	258.57	241.19	224.97	242.88	289.02	246.28	275.28	166.73	258.57	132.44	256.78	176.29	177.53	329.84	258.57	285.03	305.55	187.71	253.23	265.87	303.44	346.29	309.83	232.94	187.71	264.03
ZNF24	403.5	403.5	237.86	363.56	389.72	387.02	279.14	356.05	332.14	341.51	450.94	351.14	389.72	392.44	341.51	497.0	368.65	665.29	848.22	547.75	567.1	450.94	500.46	688.78	483.38	642.59	457.25	616.37	466.88	441.64	473.41	525.39	373.81	470.14	603.67	403.5	483.38	343.89	500.46	447.82	463.65	518.15	575.03	638.15	607.87	426.57	567.1	412.0	718.08	476.71	669.92	559.28	486.75	493.56
ZNF292	91.41	96.01	62.12	48.87	92.7	75.64	53.19	74.58	68.07	65.26	94.67	56.28	104.42	100.13	44.89	115.97	89.51	258.57	341.51	201.25	208.38	132.44	162.14	212.78	137.14	197.09	166.73	164.42	198.47	164.42	172.65	148.09	125.24	105.89	244.57	102.97	124.37	95.34	172.65	110.43	141.02	176.29	127.89	172.65	215.77	100.13	140.04	81.14	540.19	201.25	232.94	170.25	111.21	151.22
ZNF304	117.6	104.42	73.54	84.63	90.14	86.43	90.14	85.82	66.65	79.45	117.6	72.01	105.89	111.21	91.41	139.07	94.67	226.54	224.97	262.2	178.77	178.77	143.01	204.07	146.03	176.29	154.42	151.22	185.11	156.59	152.28	142.01	132.44	166.73	171.45	143.01	159.9	127.0	197.09	155.5	127.0	198.47	150.17	212.78	211.31	111.21	190.34	176.29	239.52	173.85	256.78	199.85	118.43	166.73
ZNF396	89.51	92.7	57.08	72.01	85.82	96.68	84.63	94.01	72.52	84.63	114.36	81.14	88.26	108.14	120.94	111.99	92.05	236.21	293.07	181.28	217.27	146.03	101.54	147.06	116.78	253.23	182.55	120.1	178.77	133.36	232.94	135.24	142.01	195.72	171.45	136.19	124.37	111.99	158.79	148.09	103.69	197.09	191.67	119.26	228.13	162.14	232.94	123.5	366.09	287.01	193.01	131.51	111.21	145.02
ZNF45	112.77	88.88	61.25	76.17	75.11	66.65	76.17	92.7	75.64	78.34	98.04	59.55	110.43	80.01	90.14	127.89	84.63	262.2	320.8	246.28	249.73	180.02	205.5	237.86	162.14	249.73	156.59	159.9	234.57	133.36	186.4	206.94	224.97	163.28	231.32	178.77	186.4	136.19	158.79	154.42	186.4	223.41	194.36	177.53	164.42	120.94	175.07	152.28	237.86	217.27	289.02	214.27	116.78	190.34
ZNF461	74.58	97.36	61.68	59.13	68.55	56.68	62.56	61.25	67.59	56.68	94.67	46.84	84.63	85.22	50.27	80.01	84.04	150.17	180.02	111.99	150.17	108.9	88.88	123.5	111.21	128.79	102.25	92.05	163.28	105.15	60.82	109.66	123.5	131.51	98.73	121.79	92.05	75.11	117.6	101.54	87.65	127.0	107.38	118.43	147.06	100.13	105.15	87.03	183.82	156.59	173.85	127.0	84.04	110.43
ZNF611	62.12	68.07	26.1	37.85	50.63	49.21	58.3	48.52	50.98	45.85	70.01	31.0	44.89	62.12	65.26	53.57	72.01	149.12	167.9	62.56	84.04	69.52	102.97	81.71	69.52	148.09	96.68	85.82	121.79	82.29	90.14	109.66	73.54	64.34	94.01	52.08	81.14	71.0	101.54	44.25	81.14	100.83	83.45	82.29	66.18	77.79	93.35	95.34	170.25	159.9	92.7	82.87	82.87	97.36
ZNF699	14.89	18.84	6.36	7.17	8.58	5.63	12.18	10.31	12.93	7.17	27.44	9.48	14.67	9.56	19.25	19.39	15.0	78.34	82.87	30.34	33.06	43.02	47.17	57.49	31.9	71.5	59.13	52.45	66.65	28.04	44.89	46.5	34.26	26.86	42.41	14.78	31.45	27.44	67.59	27.44	24.81	68.07	49.56	37.32	62.12	8.0	40.07	40.93	101.54	86.43	55.89	47.17	12.64	26.47
ZNF708	64.8	70.51	31.0	47.5	51.71	47.17	35.0	40.64	46.5	39.22	73.54	48.18	63.0	70.51	61.25	75.64	72.52	246.28	241.19	176.29	199.85	119.26	182.55	229.72	91.41	214.27	133.36	115.97	115.97	95.34	121.79	159.9	92.7	91.41	122.64	71.5	86.43	63.0	122.64	81.14	125.24	147.06	125.24	158.79	164.42	49.21	139.07	61.68	159.9	193.01	224.97	152.28	95.34	109.66
ZNF711	54.33	58.71	31.67	46.18	61.25	63.0	30.34	40.93	37.05	43.32	70.01	41.81	64.8	108.9	57.49	78.34	71.0	212.78	204.07	124.37	148.09	81.71	74.06	126.12	88.26	236.21	73.54	65.72	104.42	62.12	102.97	112.77	64.8	126.12	75.11	105.15	82.87	31.67	113.56	90.77	78.89	111.99	104.42	90.77	329.84	78.89	94.67	55.89	124.37	124.37	105.89	105.89	101.54	102.25
ZNF740	406.31	348.71	387.02	287.01	318.57	271.48	275.28	289.02	373.81	356.05	373.81	208.38	409.15	400.71	376.41	423.61	336.79	684.02	713.11	575.03	567.1	540.19	532.74	708.18	447.82	713.11	624.99	392.44	647.07	466.88	470.14	620.67	483.38	567.1	497.0	414.87	514.56	381.68	518.15	387.02	466.88	642.59	620.67	429.54	587.13	384.34	575.03	400.71	693.58	669.92	848.22	603.67	409.15	603.67
ZNF791	133.36	135.24	99.43	154.42	163.28	155.5	139.07	118.43	127.89	129.69	162.14	137.14	167.9	171.45	217.27	204.07	151.22	507.46	454.09	204.07	373.81	267.73	325.29	366.09	246.28	476.71	269.6	312.0	325.29	229.72	341.51	348.71	189.02	202.66	279.14	251.48	285.03	217.27	400.71	199.85	269.6	279.14	351.14	432.53	406.31	251.48	309.83	220.32	507.46	392.44	438.59	314.17	175.07	231.32
ZSCAN12	58.71	64.8	26.28	40.36	61.25	32.13	32.82	46.18	34.51	45.21	65.72	36.01	59.97	69.03	61.25	67.12	49.56	124.37	154.42	105.15	136.19	104.42	95.34	127.0	87.03	116.78	137.14	99.43	118.43	69.52	98.04	102.25	71.0	63.0	98.04	77.25	75.64	47.5	111.99	63.89	91.41	125.24	128.79	100.13	121.79	62.56	95.34	81.71	127.89	106.63	135.24	87.65	77.79	90.14
ZSCAN25	97.36	118.43	70.51	59.13	112.77	77.79	75.11	96.01	83.45	93.35	122.64	96.68	114.36	120.1	108.14	140.04	98.04	237.86	218.79	198.47	176.29	175.07	185.11	232.94	128.79	205.5	224.97	135.24	183.82	165.57	163.28	181.28	186.4	153.34	186.4	181.28	193.01	141.02	208.38	164.42	145.02	229.72	202.66	201.25	173.85	120.1	172.65	167.9	307.69	208.38	283.05	182.55	120.94	171.45
ZSCAN29	153.34	150.17	97.36	109.66	144.01	119.26	69.52	96.01	111.99	109.66	161.02	100.13	142.01	163.28	97.36	158.79	152.28	325.29	316.37	214.27	229.72	199.85	201.25	256.78	113.56	258.57	248.0	218.79	267.73	202.66	198.47	189.02	178.77	182.55	232.94	166.73	198.47	156.59	195.72	142.01	198.47	226.54	223.41	209.84	246.28	144.01	228.13	172.65	297.17	265.87	314.17	249.73	147.06	220.32
ZXDB	59.97	62.56	41.52	51.71	57.89	53.19	45.85	42.71	44.89	47.84	71.0	50.27	60.39	62.12	45.21	77.79	63.45	175.07	130.6	130.6	137.14	128.79	120.1	166.73	105.15	123.5	111.21	111.21	142.01	92.7	109.66	136.19	93.35	108.14	149.12	94.01	125.24	63.0	125.24	108.9	85.82	129.69	144.01	155.5	143.01	92.05	112.77	113.56	144.01	139.07	161.02	121.79	73.54	102.25
