	GTEX.W5X1.2326.SM.3GIL6	GTEX.ZF29.1926.SM.5S2P1	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.R55C.0526.SM.3GIKA	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.ZY6K.0326.SM.5SIBB	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.ZTX8.0426.SM.59HLG	GTEX.11P7K.1726.SM.5GU6F
PTPN14	684.02	1295.13	6.78	103.69	7.46	10.0	4.1	16.15	17.64	8.71	16.03	30.34	2.97	4.43	5.11	3.5	5.11	183.82	414.87	129.69	212.78	575.03	198.47	155.5	132.44	123.5	224.97	162.14	258.57	209.84	178.77	180.02	248.0	121.79	40.93	183.82	265.87	223.41	361.04	204.07	228.13	303.44	305.55	163.28	229.72	215.77	204.07	68.55	117.6	107.38	208.38	202.66	68.55	470.14	69.03	312.0	356.05	122.64	480.04	500.46
PUM2	3325.99	1991.0	521.76	460.44	381.68	366.09	299.25	339.14	307.69	293.07	291.04	392.44	244.57	303.44	291.04	476.71	316.37	866.07	775.05	708.18	633.73	1135.2	808.0	1088.92	599.49	718.08	748.61	896.64	1388.16	753.83	1313.23	759.08	947.83	651.58	555.41	1295.13	1088.92	836.53	961.07	1697.45	579.04	947.83	796.86	748.61	921.88	759.08	961.07	500.46	638.15	665.29	1143.1	733.19	738.29	1936.53	748.61	1388.16	1674.06	854.13	1794.29	1350.18
RAB28	921.88	429.54	136.19	147.06	180.02	148.09	96.01	73.03	83.45	107.38	157.68	127.89	87.65	103.69	118.43	112.77	118.43	232.94	273.37	318.57	297.17	371.22	525.39	334.46	318.57	493.56	323.03	497.0	854.13	532.74	525.39	540.19	503.95	339.14	320.8	438.59	397.93	460.44	466.88	559.28	384.34	507.46	368.65	389.72	490.14	447.82	376.41	253.23	384.34	392.44	647.07	444.72	363.56	555.41	246.28	571.05	412.0	387.02	441.64	412.0
RBAK	305.55	229.72	58.71	43.94	42.41	57.89	36.53	38.67	31.9	44.89	35.5	39.22	39.22	44.57	12.36	52.08	70.51	85.82	57.49	79.45	61.25	45.53	71.5	87.03	107.38	105.89	78.89	121.79	248.0	82.87	171.45	106.63	96.01	88.26	115.16	96.68	172.65	92.05	61.68	114.36	75.11	92.7	101.54	107.38	88.26	84.63	116.78	85.82	57.89	102.97	100.83	98.04	97.36	128.79	47.84	119.26	128.79	82.29	224.97	149.12
RNF38	1721.16	1037.29	154.42	156.59	78.34	102.97	35.5	96.68	102.25	100.83	93.35	136.19	80.57	66.65	100.83	128.79	66.18	450.94	521.76	353.59	163.28	753.83	571.05	511.0	444.72	470.14	473.41	444.72	718.08	371.22	493.56	525.39	651.58	438.59	277.2	872.1	559.28	624.99	323.03	638.15	511.0	403.5	536.45	414.87	633.73	441.64	559.28	231.32	454.09	332.14	656.11	371.22	392.44	866.07	312.0	616.37	909.17	540.19	1151.06	1378.57
ROR2	109.66	221.86	6.26	0.0	6.62	4.74	1.83	0.58	16.75	9.7	2.46	4.5	2.71	0.87	6.01	1.3	4.43	71.0	30.78	45.21	220.32	23.93	39.79	30.34	83.45	19.11	27.64	30.78	24.99	17.51	32.13	18.56	35.76	49.91	47.5	9.2	25.54	70.51	53.95	127.89	120.94	28.45	74.06	80.01	19.68	59.13	43.94	64.34	31.45	66.65	312.0	18.16	47.5	61.68	71.0	50.63	88.26	44.57	1844.76	1331.57
SFTPA1	4.82	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.72	0.0	1.58	5809569.18	4987895.16	2097151.0	2459612.16	4495342.72	2326934.84	4252853.3	2326934.84	2945333.38	2636147.11	3245478.02	1472666.19	2039804.27	3156730.23	3576208.94	2068278.89	3406832.48	1374046.07	4252853.3	2493947.08	2392353.91	2599854.48	1432396.03	2729110.67	2581895.97	3806410.22	2599854.48	2581895.97	3832885.91	3968052.37	2011721.67	2232145.06	2343119.96	2710259.32	2232145.06	1727194.55	2546350.23	4558095.38	2904784.09	2425749.94	3454390.1	6.26	0.14
SMAD4	2367.9	2133.97	368.65	291.04	231.32	351.14	150.17	134.3	246.28	218.79	218.79	297.17	131.51	152.28	236.21	346.29	271.48	1051.79	813.63	514.56	575.03	1127.35	915.51	995.0	703.28	629.35	941.27	836.53	1295.13	620.67	1268.46	703.28	915.51	733.19	414.87	1359.57	878.17	872.1	902.89	1963.57	624.99	830.75	1023.0	665.29	928.3	723.08	947.83	525.39	961.07	698.41	1340.84	718.08	587.13	1936.53	848.22	1639.59	1923.14	1208.34	2997.45	2609.3
SMAD5	2209.26	854.13	152.28	132.44	146.03	172.65	128.79	120.94	163.28	140.04	106.63	85.82	185.11	146.03	84.63	127.89	170.25	242.88	206.94	190.34	190.34	299.25	211.31	241.19	186.4	164.42	205.5	223.41	392.44	226.54	251.48	237.86	251.48	208.38	181.28	244.57	224.97	244.57	264.03	397.93	376.41	206.94	529.06	198.47	265.87	201.25	305.55	194.36	166.73	220.32	612.11	208.38	149.12	389.72	205.5	309.83	368.65	536.45	647.07	587.13
SMC3	1896.65	1104.13	199.85	262.2	211.31	242.88	131.51	271.48	201.25	140.04	187.71	295.11	153.34	251.48	73.54	224.97	152.28	454.09	514.56	514.56	406.31	460.44	414.87	651.58	536.45	599.49	540.19	543.96	759.08	529.06	660.68	486.75	563.18	444.72	334.46	718.08	503.95	624.99	693.58	1037.29	234.57	525.39	460.44	403.5	642.59	325.29	563.18	493.56	525.39	583.07	842.36	529.06	373.81	1066.48	540.19	753.83	802.41	476.71	753.83	684.02
SNX13	1127.35	878.17	130.6	76.17	97.36	108.9	120.94	94.67	94.67	99.43	95.34	152.28	98.73	121.79	54.33	106.63	77.79	438.59	295.11	215.77	141.02	511.0	334.46	246.28	305.55	185.11	262.2	426.57	866.07	258.57	688.78	214.27	414.87	348.71	215.77	470.14	387.02	307.69	642.59	493.56	392.44	267.73	361.04	204.07	417.77	229.72	381.68	190.34	191.67	366.09	624.99	507.46	218.79	878.17	242.88	575.03	612.11	500.46	791.35	660.68
SOS2	723.08	1175.27	127.89	99.43	79.45	100.13	82.87	63.89	67.59	113.56	77.79	100.13	47.84	65.72	63.45	117.6	66.65	309.83	271.48	226.54	153.34	351.14	379.04	301.33	329.84	232.94	312.0	397.93	656.11	262.2	514.56	281.09	511.0	409.15	178.77	587.13	447.82	423.61	389.72	493.56	312.0	305.55	293.07	309.83	314.17	327.56	351.14	180.02	289.02	346.29	395.18	384.34	287.01	775.05	277.2	511.0	651.58	412.0	764.36	540.19
SP1	1529.73	1286.18	195.72	197.09	143.01	363.56	149.12	194.36	189.02	171.45	255.0	183.82	144.01	145.02	142.01	217.27	120.1	536.45	555.41	607.87	329.84	638.15	555.41	738.29	693.58	346.29	607.87	536.45	759.08	483.38	825.0	633.73	571.05	518.15	1008.9	738.29	708.18	791.35	571.05	796.86	463.65	540.19	842.36	612.11	669.92	559.28	633.73	848.22	607.87	624.99	547.75	583.07	507.46	890.44	728.11	616.37	884.29	698.41	743.43	1001.93
SP3	2816.11	1407.55	332.14	246.28	248.0	312.0	191.67	195.72	185.11	176.29	241.19	218.79	176.29	140.04	155.5	285.03	275.28	450.94	470.14	480.04	343.89	500.46	603.67	543.96	529.06	447.82	346.29	595.34	928.3	497.0	493.56	470.14	543.96	500.46	403.5	733.19	563.18	518.15	575.03	967.76	480.04	486.75	708.18	503.95	583.07	400.71	567.1	490.14	426.57	493.56	785.88	551.56	409.15	954.43	441.64	583.07	819.3	693.58	848.22	791.35
SP4	297.17	182.55	22.26	14.67	12.0	9.06	17.13	8.19	10.0	7.46	17.13	16.27	12.64	19.25	4.58	17.38	13.83	122.64	44.89	114.36	37.59	87.65	133.36	81.14	66.65	73.54	69.52	106.63	98.73	52.08	63.89	71.0	121.79	53.57	38.95	115.97	109.66	102.25	57.89	120.1	32.59	77.25	82.87	78.34	84.63	127.0	121.79	27.05	63.89	75.64	59.97	70.51	65.26	158.79	67.12	85.82	152.28	64.8	93.35	98.04
STAG1	1225.22	543.96	103.69	65.72	77.25	76.17	44.25	121.79	72.52	53.95	115.97	100.83	94.67	43.32	54.72	95.34	46.5	249.73	241.19	167.9	178.77	291.04	358.54	211.31	140.04	119.26	162.14	264.03	387.02	201.25	237.86	189.02	320.8	154.42	105.89	269.6	182.55	224.97	241.19	358.54	151.22	169.07	189.02	253.23	293.07	181.28	285.03	123.5	171.45	194.36	406.31	176.29	173.85	409.15	205.5	414.87	579.04	229.72	423.61	423.61
STAG2	1794.29	1781.89	232.94	358.54	163.28	246.28	187.71	339.14	143.01	273.37	197.09	239.52	152.28	157.68	94.67	295.11	169.07	764.36	647.07	486.75	325.29	825.0	679.29	571.05	567.1	470.14	587.13	540.19	878.17	529.06	693.58	543.96	698.41	693.58	363.56	728.11	629.35	629.35	620.67	764.36	796.86	532.74	759.08	463.65	543.96	575.03	748.61	387.02	521.76	612.11	733.19	624.99	444.72	1030.12	616.37	915.51	902.89	866.07	1369.04	1143.1
STRN	591.22	387.02	54.72	35.25	40.07	55.89	42.41	42.11	33.54	36.79	44.25	48.52	40.07	45.21	29.06	62.12	48.18	185.11	141.02	136.19	75.11	224.97	166.73	171.45	133.36	84.63	133.36	147.06	269.6	153.34	145.02	128.79	155.5	175.07	90.14	201.25	152.28	156.59	183.82	293.07	128.79	131.51	212.78	116.78	151.22	127.89	134.3	122.64	105.15	136.19	325.29	197.09	98.04	258.57	136.19	226.54	279.14	267.73	197.09	234.57
STXBP3	1674.06	1127.35	332.14	248.0	373.81	293.07	202.66	221.86	212.78	220.32	239.52	312.0	329.84	241.19	153.34	358.54	185.11	473.41	651.58	583.07	271.48	460.44	688.78	665.29	703.28	860.08	476.71	872.1	1359.57	603.67	819.3	587.13	607.87	713.11	620.67	819.3	961.07	890.44	651.58	1088.92	363.56	743.43	423.61	529.06	497.0	551.56	591.22	684.02	624.99	525.39	884.29	660.68	490.14	1119.56	620.67	974.5	1001.93	629.35	1119.56	902.89
SUZ12	909.17	728.11	164.42	136.19	183.82	127.89	127.0	100.13	128.79	119.26	76.71	139.07	128.79	146.03	54.72	147.06	114.36	241.19	239.52	249.73	161.02	241.19	289.02	239.52	281.09	246.28	214.27	353.59	518.15	267.73	314.17	244.57	287.01	316.37	175.07	490.14	429.54	293.07	392.44	603.67	376.41	325.29	260.38	251.48	323.03	264.03	336.79	214.27	229.72	242.88	579.04	320.8	239.52	493.56	186.4	426.57	348.71	447.82	688.78	353.59
TAOK1	1104.13	624.99	88.88	78.34	82.29	81.71	59.55	65.72	84.63	62.56	50.98	63.89	47.17	86.43	28.65	58.3	46.18	251.48	195.72	185.11	149.12	297.17	211.31	177.53	173.85	122.64	202.66	199.85	417.77	208.38	275.28	205.5	214.27	195.72	132.44	293.07	218.79	242.88	217.27	334.46	229.72	163.28	289.02	229.72	206.94	241.19	181.28	153.34	187.71	169.07	320.8	248.0	152.28	346.29	187.71	301.33	297.17	277.2	532.74	389.72
TWSG1	688.78	780.44	92.7	66.65	50.63	63.0	12.09	80.01	37.85	32.59	38.95	19.97	36.27	11.38	44.25	85.22	31.22	320.8	624.99	289.02	206.94	480.04	559.28	466.88	400.71	269.6	293.07	483.38	743.43	339.14	406.31	262.2	490.14	679.29	220.32	633.73	540.19	460.44	525.39	759.08	490.14	356.05	483.38	361.04	457.25	447.82	470.14	262.2	353.59	447.82	915.51	379.04	283.05	728.11	334.46	624.99	813.63	295.11	1487.87	1233.75
UBQLN1	2537.92	1685.71	738.29	723.08	796.86	915.51	343.89	769.69	866.07	511.0	819.3	934.76	665.29	703.28	660.68	679.29	575.03	1529.73	934.76	1183.45	1286.18	1059.11	1081.39	928.3	764.36	872.1	860.08	1051.79	1498.22	1151.06	1044.52	896.64	988.12	941.27	780.44	1250.98	1119.56	1059.11	1519.15	2090.03	1540.37	909.17	1369.04	1081.39	1242.34	738.29	1001.93	974.5	1044.52	1073.91	2075.59	1605.83	708.18	1183.45	896.64	1508.65	1250.98	1407.55	2090.03	1427.22
VAMP4	890.44	551.56	164.42	191.67	180.02	156.59	116.78	189.02	153.34	228.13	97.36	170.25	145.02	182.55	109.66	164.42	127.89	148.09	299.25	351.14	154.42	248.0	234.57	253.23	242.88	414.87	277.2	343.89	567.1	229.72	423.61	291.04	307.69	343.89	264.03	346.29	395.18	429.54	258.57	285.03	341.51	325.29	395.18	224.97	283.05	231.32	275.28	236.21	208.38	273.37	323.03	361.04	320.8	466.88	157.68	420.68	473.41	381.68	543.96	363.56
YME1L1	4298.64	2417.67	718.08	684.02	674.59	728.11	395.18	802.41	555.41	555.41	708.18	896.64	483.38	878.17	497.0	748.61	490.14	1467.37	1037.29	860.08	1605.83	1001.93	1051.79	1151.06	961.07	759.08	896.64	1417.35	2148.82	1051.79	1331.57	1233.75	1457.23	1073.91	575.03	1313.23	1127.35	1143.1	1857.6	2434.5	1167.14	909.17	878.17	1427.22	1304.15	819.3	1059.11	1066.48	1037.29	1519.15	2178.83	1733.13	860.08	1909.85	802.41	1572.76	1259.69	1617.0	2075.59	1674.06
ZBTB41	307.69	289.02	33.54	54.33	37.32	49.91	31.45	47.17	39.5	38.4	22.59	48.52	107.38	84.63	9.56	36.27	20.56	44.57	69.52	84.04	38.4	70.01	58.3	98.04	84.63	82.87	53.95	80.57	178.77	69.03	92.05	100.83	90.14	63.0	56.68	106.63	102.25	87.03	85.82	183.82	59.13	95.34	110.43	64.34	81.14	59.97	72.01	81.71	50.63	85.22	120.1	105.15	72.52	145.02	59.55	109.66	115.97	81.71	142.01	115.97
ZFP37	543.96	107.38	4.54	11.38	1.69	6.16	7.51	1.14	1.25	3.92	11.13	1.64	4.35	4.58	0.0	5.5	8.38	14.89	12.27	31.9	11.55	17.9	23.93	31.45	24.11	42.41	29.48	59.55	35.5	35.5	41.22	46.84	40.93	13.22	12.83	43.63	38.12	35.76	19.11	84.04	22.75	37.32	16.27	38.4	31.67	10.63	51.71	26.47	32.59	34.75	43.63	9.27	30.78	49.91	27.44	35.76	57.89	31.0	56.68	65.72
ZNF12	603.67	500.46	122.64	152.28	121.79	85.22	101.54	145.02	127.89	108.9	142.01	101.54	220.32	181.28	55.1	113.56	186.4	183.82	129.69	293.07	153.34	92.7	171.45	251.48	232.94	199.85	148.09	356.05	325.29	236.21	285.03	231.32	231.32	285.03	206.94	255.0	397.93	267.73	175.07	397.93	255.0	239.52	309.83	221.86	269.6	128.79	206.94	194.36	211.31	158.79	334.46	217.27	173.85	329.84	142.01	217.27	275.28	285.03	420.68	289.02
ZNF197	753.83	341.51	109.66	146.03	78.89	135.24	57.49	108.14	81.71	92.05	96.01	122.64	111.99	84.63	30.56	106.63	135.24	101.54	145.02	183.82	105.15	129.69	150.17	194.36	170.25	161.02	112.77	195.72	253.23	150.17	212.78	201.25	139.07	186.4	130.6	228.13	182.55	191.67	128.79	217.27	150.17	191.67	165.57	157.68	182.55	117.6	195.72	122.64	119.26	181.28	162.14	120.94	169.07	277.2	116.78	199.85	323.03	146.03	291.04	277.2
ZNF507	381.68	414.87	64.8	44.25	50.63	57.49	63.0	56.68	37.32	47.84	55.89	54.33	37.85	60.39	30.12	63.45	54.72	67.59	84.63	101.54	80.01	92.7	68.55	104.42	65.72	78.34	112.77	88.26	172.65	124.37	104.42	84.04	82.29	63.0	77.79	114.36	93.35	129.69	97.36	154.42	80.01	113.56	140.04	96.68	117.6	75.64	121.79	70.51	98.73	92.05	291.04	81.71	87.03	180.02	64.8	150.17	194.36	171.45	228.13	206.94
ZNF639	2573.36	1350.18	287.01	251.48	223.41	293.07	171.45	283.05	228.13	256.78	400.71	212.78	318.57	126.12	139.07	264.03	279.14	400.71	403.5	244.57	363.56	414.87	669.92	447.82	244.57	376.41	299.25	981.29	1467.37	356.05	420.68	371.22	420.68	314.17	244.57	934.76	543.96	638.15	316.37	1378.57	575.03	358.54	435.55	412.0	583.07	260.38	743.43	220.32	336.79	293.07	2287.2	356.05	395.18	878.17	129.69	872.1	638.15	1350.18	1066.48	974.5
ZSCAN12	198.47	124.37	16.63	8.65	19.25	22.1	12.09	19.25	18.16	12.93	7.82	15.34	19.25	9.06	6.57	12.27	11.82	38.67	52.82	52.45	33.54	39.79	33.78	56.28	60.82	65.72	47.84	71.5	78.89	60.39	87.65	48.18	40.07	48.52	69.52	71.0	52.08	51.71	45.85	95.34	30.78	77.25	59.13	40.64	57.89	34.02	59.55	42.11	52.82	52.08	70.01	51.71	50.98	104.42	36.79	55.49	147.06	75.64	127.89	115.97
