	GTEX.S341.1326.SM.4AD72	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.YFCO.0426.SM.4W1Z7	GTEX.U8T8.2226.SM.3DB95	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O61.0726.SM.5J2MD	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.1477Z.0626.SM.5NQB7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.13N2G.0826.SM.5IJE6	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.WH7G.0726.SM.3NMBM	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.RUSQ.0626.SM.2TF5V	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.RM2N.0426.SM.2TF4T
DNAAF3	9088.59	373.81	674.59	305.55	2502.97	759.08	647.07	400.71	1119.56	612.11	1143.1	759.08	612.11	915.51	896.64	1594.73	403.5	444.72	759.08	624.99	1111.82	120.94	314.17	511.0	158.79	902.89	1104.13	759.08	620.67	872.1	872.1	363.56	1674.06	197.09	1745.2	159.9	358.54	525.39	1216.75	738.29	1605.83	98.73	1651.0	397.93	514.56	1119.56	1540.37	371.22	69.52	69.03	134.3
DNAH12	21320.18	343.89	563.18	134.3	1896.65	532.74	669.92	180.02	860.08	258.57	890.44	389.72	221.86	633.73	460.44	1540.37	251.48	316.37	511.0	186.4	579.04	100.83	131.51	336.79	165.57	412.0	438.59	518.15	334.46	543.96	507.46	291.04	1447.15	25.72	1709.26	56.68	182.55	297.17	1111.82	392.44	1015.93	49.91	1225.22	212.78	255.0	1081.39	909.17	140.04	27.05	123.5	102.97
DNAH3	567.1	67.12	125.24	55.1	314.17	162.14	88.26	49.91	180.02	100.83	122.64	46.5	66.65	183.82	102.25	186.4	63.89	74.58	100.83	68.07	108.14	17.0	34.51	82.87	33.54	108.9	182.55	127.89	121.79	118.43	92.05	71.5	248.0	25.35	281.09	20.26	45.21	51.71	237.86	107.38	289.02	27.05	201.25	53.19	61.25	187.71	228.13	49.21	18.03	23.93	21.47
DNAH5	273.37	64.8	199.85	109.66	332.14	358.54	115.16	55.89	214.27	93.35	119.26	84.63	166.73	387.02	84.04	229.72	123.5	63.89	71.5	124.37	137.14	38.12	63.45	183.82	38.12	105.15	281.09	217.27	186.4	139.07	194.36	78.34	441.64	82.29	291.04	127.89	186.4	116.78	244.57	140.04	356.05	13.83	197.09	69.52	100.83	165.57	175.07	124.37	9.7	9.63	127.89
DNAH6	738.29	79.45	255.0	98.04	620.67	339.14	186.4	87.65	309.83	220.32	332.14	94.67	170.25	429.54	108.14	397.93	93.35	92.05	140.04	82.87	170.25	53.95	82.87	149.12	49.21	318.57	305.55	244.57	164.42	255.0	265.87	162.14	368.65	53.19	490.14	38.95	63.45	189.02	312.0	267.73	718.08	41.81	318.57	127.89	103.69	297.17	363.56	53.95	41.52	32.13	47.5
DNAH9	95949.32	660.68	1417.35	327.56	3303.0	1096.5	813.63	460.44	1159.07	587.13	813.63	669.92	629.35	1268.46	733.19	2351.53	379.04	403.5	688.78	603.67	1073.91	161.02	224.97	679.29	275.28	890.44	1066.48	1417.35	928.3	830.75	995.0	563.18	3491.39	152.28	1963.57	92.05	463.65	587.13	2400.97	954.43	3349.13	202.66	1427.22	295.11	575.03	1437.15	2047.0	265.87	63.45	132.44	211.31
DNAI1	19892.37	232.94	493.56	220.32	1870.53	836.53	660.68	209.84	909.17	447.82	791.35	476.71	351.14	819.3	500.46	866.07	444.72	314.17	532.74	316.37	629.35	100.13	223.41	351.14	153.34	555.41	753.83	633.73	381.68	591.22	713.11	318.57	1322.37	155.5	1487.87	111.21	269.6	371.22	1044.52	529.06	1322.37	93.35	1135.2	264.03	403.5	947.83	995.0	283.05	105.15	96.68	81.71
DNAJB13	191899.64	173.85	583.07	264.03	2485.67	521.76	514.56	253.23	688.78	239.52	872.1	241.19	348.71	921.88	185.11	547.75	260.38	143.01	291.04	220.32	607.87	143.01	141.02	256.78	40.36	466.88	728.11	629.35	336.79	567.1	466.88	176.29	1304.15	211.31	1397.83	106.63	135.24	167.9	995.0	400.71	1313.23	47.5	836.53	228.13	339.14	802.41	1037.29	190.34	43.02	37.05	42.41
DPCD	2720.15	571.05	1242.34	825.0	2468.49	718.08	791.35	842.36	1015.93	651.58	1199.98	974.5	954.43	1594.73	896.64	1870.53	753.83	595.34	1051.79	825.0	1015.93	341.51	733.19	819.3	708.18	902.89	947.83	1059.11	688.78	1051.79	1151.06	674.59	2209.26	563.18	1572.76	486.75	684.02	693.58	1304.15	1216.75	2032.85	490.14	1167.14	825.0	813.63	1023.0	1781.89	791.35	529.06	555.41	426.57
DYDC2	82951.62	532.74	1023.0	575.03	2537.92	974.5	529.06	1030.12	995.0	620.67	532.74	802.41	476.71	438.59	753.83	1127.35	289.02	307.69	567.1	674.59	902.89	84.04	409.15	723.08	279.14	698.41	1096.5	1001.93	1242.34	599.49	813.63	376.41	1794.29	181.28	2351.53	135.24	277.2	529.06	836.53	1030.12	2573.36	131.51	1551.09	447.82	620.67	629.35	1721.16	363.56	74.58	78.89	339.14
DZIP1L	224.97	113.56	429.54	90.77	1950.0	234.57	563.18	74.06	629.35	368.65	559.28	142.01	137.14	575.03	190.34	438.59	178.77	127.0	271.48	128.79	432.53	82.29	121.79	244.57	76.71	575.03	336.79	454.09	343.89	264.03	521.76	218.79	708.18	55.89	743.43	92.05	96.68	191.67	753.83	348.71	854.13	100.83	483.38	170.25	166.73	624.99	660.68	98.04	66.18	92.05	81.14
EPB41L4B	854.13	209.84	217.27	249.73	629.35	242.88	135.24	356.05	285.03	198.47	211.31	260.38	234.57	267.73	212.78	423.61	269.6	127.0	223.41	358.54	234.57	84.04	358.54	486.75	212.78	267.73	248.0	334.46	423.61	293.07	341.51	162.14	591.22	187.71	567.1	206.94	183.82	246.28	346.29	285.03	642.59	58.71	279.14	226.54	297.17	221.86	454.09	232.94	88.88	82.29	314.17
FAM154B	728.11	248.0	848.22	341.51	2417.67	1051.79	753.83	341.51	1519.15	624.99	1216.75	647.07	591.22	1304.15	540.19	1191.69	612.11	343.89	518.15	356.05	961.07	346.29	277.2	591.22	242.88	836.53	764.36	1059.11	540.19	872.1	1008.9	511.0	1819.35	236.21	1781.89	129.69	363.56	463.65	825.0	860.08	1991.0	123.5	1250.98	409.15	460.44	1151.06	1617.0	197.09	81.71	113.56	153.34
FAM187A	242.88	16.75	94.67	54.72	187.71	21.94	69.03	93.35	102.97	37.32	86.43	66.65	63.45	103.69	75.11	201.25	47.84	24.11	48.18	64.34	129.69	22.75	52.82	58.71	12.64	57.49	31.45	112.77	32.82	74.58	77.79	34.75	246.28	43.32	156.59	22.92	47.84	65.72	101.54	96.68	181.28	15.56	76.71	65.26	73.54	112.77	124.37	37.32	11.21	11.55	34.75
FAM229B	1119.56	974.5	1781.89	769.69	5147.73	802.41	1073.91	1111.82	2627.46	1277.29	2075.59	1225.22	518.15	1697.45	723.08	4481.23	866.07	830.75	1721.16	728.11	1081.39	476.71	698.41	555.41	595.34	1417.35	1277.29	1183.45	780.44	1721.16	1447.15	902.89	2758.13	231.32	3168.41	381.68	551.56	688.78	2400.97	1119.56	5672.41	713.11	2400.97	723.08	571.05	1159.07	3665.02	503.95	567.1	514.56	438.59
FAM27E3	43.94	26.67	20.56	12.93	161.02	48.52	27.44	9.93	45.21	21.94	149.12	27.05	48.52	107.38	31.67	74.58	16.63	121.79	33.06	23.25	34.75	27.25	24.28	20.56	28.24	46.5	62.12	17.9	30.34	46.84	12.27	25.35	24.11	10.96	125.24	9.56	15.22	8.99	73.03	21.47	78.89	19.68	133.36	14.67	24.81	43.32	121.79	67.59	20.41	46.18	9.93
FAM92B	32315.87	332.14	819.3	320.8	2417.67	728.11	713.11	466.88	1183.45	473.41	1104.13	607.87	363.56	915.51	728.11	1259.69	368.65	358.54	599.49	417.77	759.08	143.01	217.27	397.93	171.45	733.19	813.63	902.89	543.96	759.08	775.05	423.61	1769.57	128.79	1923.14	111.99	234.57	381.68	1313.23	679.29	1909.85	98.73	1407.55	341.51	406.31	860.08	1378.57	307.69	81.14	98.04	133.36
FANK1	8305.36	320.8	915.51	185.11	2303.12	860.08	607.87	409.15	1015.93	457.25	830.75	473.41	368.65	884.29	476.71	1233.75	368.65	327.56	444.72	373.81	813.63	139.07	209.84	387.02	211.31	579.04	854.13	791.35	543.96	595.34	669.92	406.31	1369.04	121.79	1936.53	116.78	295.11	420.68	1104.13	559.28	1369.04	107.38	1313.23	341.51	403.5	830.75	1044.52	265.87	80.01	136.19	119.26
FBXO36	503.95	82.87	305.55	47.84	327.56	314.17	114.36	120.94	236.21	162.14	134.3	96.01	165.57	239.52	61.25	279.14	88.88	62.12	153.34	88.26	155.5	98.04	84.04	124.37	73.54	128.79	142.01	131.51	145.02	135.24	215.77	116.78	363.56	66.18	273.37	78.89	89.51	84.63	204.07	148.09	599.49	27.25	193.01	94.67	77.79	111.21	205.5	59.13	46.18	68.07	79.45
FOXJ1	1204496.53	529.06	6561.36	1794.29	18560.17	1896.65	3982.99	2875.3	6607.01	1540.37	3372.43	2976.74	1639.59	6745.86	2645.74	10808.41	2384.37	947.83	2178.83	2935.74	5076.84	497.0	1498.22	2104.58	234.57	1721.16	4575.41	5517.27	3018.3	4869.99	5995.9	1457.23	14663.09	2502.97	15180.22	579.04	1151.06	2701.35	8598.28	6294.04	11035.54	229.72	8134.41	1832.01	3303.0	5831.91	12676.65	1498.22	212.78	137.14	532.74
GAS8	1191.69	353.59	825.0	343.89	2351.53	1127.35	775.05	309.83	928.3	400.71	647.07	698.41	507.46	1806.78	559.28	1477.58	612.11	483.38	563.18	567.1	603.67	480.04	514.56	466.88	351.14	1051.79	830.75	974.5	713.11	743.43	981.29	480.04	1909.85	660.68	2502.97	371.22	543.96	802.41	878.17	679.29	1044.52	253.23	1023.0	426.57	733.19	1498.22	1135.2	351.14	327.56	389.72	384.34
GIPR	713.11	147.06	229.72	59.55	1167.14	275.28	239.52	45.85	432.53	156.59	486.75	161.02	104.42	486.75	111.99	209.84	175.07	112.77	127.89	82.29	327.56	90.77	44.57	57.49	53.57	470.14	318.57	295.11	260.38	228.13	199.85	119.26	567.1	36.79	624.99	32.82	64.34	163.28	239.52	206.94	514.56	8.99	688.78	85.22	154.42	432.53	441.64	53.95	37.05	51.35	32.59
GP5	6.78	2.61	2.58	8.19	17.51	7.69	4.06	5.77	9.56	5.54	10.63	9.06	7.4	6.06	5.32	7.4	3.06	6.84	1.31	5.59	7.57	2.58	6.36	8.65	4.46	7.94	8.25	6.26	4.31	5.45	10.47	3.89	9.13	3.35	10.88	3.63	7.69	5.87	3.11	19.39	4.78	2.71	10.63	3.86	6.62	5.73	8.85	5.06	9.34	3.44	10.31
GRIN3B	791.35	65.72	94.01	57.08	579.04	208.38	138.1	75.11	127.0	49.21	154.42	87.03	93.35	127.0	105.15	115.97	77.79	72.52	108.9	53.95	149.12	31.45	27.05	40.36	22.92	109.66	217.27	68.55	100.13	144.01	118.43	62.56	195.72	31.45	237.86	25.17	50.63	90.77	151.22	161.02	241.19	22.92	231.32	55.89	146.03	80.57	293.07	48.87	20.11	31.22	18.84
HAGHL	320.8	307.69	228.13	117.6	860.08	170.25	287.01	197.09	325.29	202.66	521.76	197.09	92.05	381.68	368.65	543.96	183.82	145.02	158.79	103.69	363.56	102.25	66.18	73.54	128.79	229.72	366.09	201.25	246.28	241.19	191.67	96.68	429.54	31.67	934.76	114.36	178.77	139.07	287.01	314.17	376.41	48.18	521.76	140.04	198.47	231.32	665.29	118.43	69.52	107.38	21.47
HNF4G	7589.61	7.82	28.65	19.11	149.12	67.12	35.5	19.97	48.52	39.5	38.12	9.27	5.54	31.67	19.11	48.52	10.47	9.56	32.13	26.67	27.84	1.04	2.73	39.22	5.54	23.42	69.03	33.78	48.87	19.82	24.46	12.74	62.56	8.25	141.02	1.71	35.25	23.42	48.87	32.82	231.32	6.06	71.5	5.59	15.56	21.47	67.12	11.64	2.48	1.77	19.68
IFT43	1427.22	941.27	1369.04	624.99	2075.59	1674.06	1313.23	775.05	1277.29	1119.56	1628.26	967.76	1066.48	2178.83	1088.92	2090.03	780.44	1617.0	728.11	543.96	825.0	540.19	603.67	684.02	854.13	1088.92	1143.1	708.18	718.08	961.07	836.53	854.13	1350.18	638.15	1733.13	555.41	620.67	738.29	1407.55	921.88	1870.53	830.75	2319.15	603.67	713.11	1167.14	1651.0	764.36	1467.37	866.07	500.46
IFT88	684.02	171.45	400.71	271.48	780.44	417.77	460.44	237.86	563.18	269.6	490.14	339.14	237.86	642.59	237.86	429.54	392.44	149.12	329.84	220.32	392.44	143.01	158.79	339.14	202.66	423.61	368.65	518.15	373.81	400.71	486.75	223.41	909.17	346.29	860.08	224.97	297.17	316.37	454.09	387.02	587.13	198.47	325.29	323.03	289.02	406.31	397.93	197.09	170.25	232.94	237.86
IL20RA	4450.27	299.25	603.67	450.94	1225.22	256.78	262.2	624.99	825.0	444.72	607.87	665.29	303.44	466.88	242.88	718.08	651.58	111.99	293.07	575.03	316.37	118.43	633.73	511.0	297.17	571.05	363.56	432.53	954.43	532.74	884.29	295.11	1662.49	429.54	1322.37	111.21	323.03	3103.19	575.03	444.72	1104.13	45.21	435.55	629.35	1175.27	633.73	785.88	293.07	68.55	82.87	909.17
IQCD	4066.71	142.01	379.04	96.68	1073.91	309.83	343.89	164.42	532.74	147.06	265.87	256.78	236.21	339.14	155.5	842.36	198.47	120.1	244.57	175.07	417.77	80.57	92.05	191.67	93.35	260.38	329.84	447.82	368.65	208.38	373.81	224.97	890.44	62.56	514.56	71.0	116.78	154.42	551.56	376.41	1073.91	44.25	414.87	142.01	232.94	368.65	620.67	121.79	53.95	69.03	85.22
IQCH	187.71	36.53	52.45	20.41	180.02	93.35	82.87	33.06	148.09	61.25	71.5	26.47	53.57	80.01	59.13	92.7	38.95	37.05	74.06	37.05	74.06	15.45	48.52	69.03	24.11	60.39	111.21	78.34	62.12	64.8	68.55	35.76	158.79	33.78	190.34	18.29	38.4	30.34	113.56	75.11	177.53	26.67	103.69	34.02	50.27	94.67	125.24	15.0	17.77	24.46	24.81
IQUB	122.64	57.89	89.51	25.54	198.47	138.1	53.95	29.48	107.38	82.29	90.77	40.36	53.19	183.82	44.89	167.9	24.28	28.24	84.63	31.67	66.18	21.47	28.45	71.5	29.06	72.01	139.07	78.89	82.29	83.45	90.14	64.34	147.06	24.63	138.1	11.04	16.15	20.71	170.25	92.05	271.48	26.47	144.01	33.78	30.78	102.97	152.28	25.54	10.96	22.26	19.25
KATNB1	454.09	277.2	536.45	316.37	1322.37	579.04	620.67	275.28	743.43	579.04	995.0	587.13	684.02	836.53	438.59	819.3	583.07	490.14	444.72	507.46	571.05	258.57	432.53	409.15	460.44	684.02	848.22	555.41	463.65	518.15	532.74	429.54	921.88	417.77	981.29	325.29	426.57	476.71	555.41	547.75	1151.06	414.87	674.59	384.34	450.94	616.37	1135.2	346.29	341.51	532.74	343.89
LPPR3	13968.57	111.21	201.25	66.18	1950.0	255.0	318.57	159.9	226.54	113.56	507.46	205.5	108.9	307.69	170.25	1208.34	62.56	57.89	206.94	30.78	361.04	111.99	73.54	108.14	94.01	336.79	229.72	166.73	143.01	281.09	217.27	201.25	961.07	26.28	1233.75	19.11	190.34	460.44	665.29	143.01	842.36	29.06	684.02	63.45	178.77	246.28	229.72	37.59	26.67	59.55	57.08
LRRC10B	698.41	208.38	1151.06	329.84	3372.43	435.55	679.29	547.75	785.88	366.09	1096.5	521.76	406.31	1051.79	718.08	2573.36	307.69	346.29	376.41	525.39	733.19	159.9	209.84	297.17	121.79	660.68	1001.93	713.11	403.5	819.3	802.41	206.94	1561.89	389.72	2468.49	103.69	242.88	406.31	1250.98	1008.9	2537.92	63.45	1225.22	241.19	432.53	698.41	1991.0	193.01	75.64	80.01	123.5
LRRC23	15392.14	769.69	1685.71	1059.11	4903.87	1143.1	1498.22	1259.69	2209.26	1183.45	1757.34	1127.35	995.0	1936.53	1073.91	2935.74	1051.79	638.15	1417.35	1250.98	1857.6	629.35	723.08	1104.13	511.0	1378.57	1508.65	1950.0	1313.23	1487.87	1745.2	928.3	2997.45	567.1	3325.99	559.28	808.0	1259.69	3146.52	1651.0	3928.15	536.45	2061.24	995.0	1119.56	2119.22	3018.3	785.88	454.09	587.13	543.96
LRRC27	718.08	177.53	559.28	244.57	854.13	373.81	392.44	262.2	579.04	429.54	647.07	397.93	157.68	595.34	305.55	591.22	339.14	165.57	341.51	279.14	493.56	226.54	279.14	318.57	264.03	320.8	323.03	595.34	384.34	348.71	490.14	305.55	753.83	163.28	1030.12	199.85	325.29	234.57	343.89	395.18	457.25	164.42	466.88	303.44	267.73	529.06	688.78	193.01	153.34	368.65	165.57
LRRC48	6745.86	293.07	921.88	343.89	2956.17	988.12	988.12	466.88	1313.23	738.29	1073.91	748.61	500.46	1073.91	651.58	1369.04	555.41	373.81	638.15	426.57	1159.07	221.86	244.57	525.39	281.09	872.1	934.76	1199.98	529.06	921.88	941.27	497.0	2573.36	414.87	2255.7	273.37	518.15	679.29	1709.26	665.29	1697.45	156.59	1769.57	332.14	599.49	1259.69	1508.65	289.02	111.99	153.34	231.32
LRRIQ1	2119.22	166.73	480.04	126.12	842.36	607.87	256.78	209.84	642.59	256.78	435.55	264.03	208.38	571.05	187.71	551.56	144.01	110.43	297.17	199.85	332.14	40.07	139.07	301.33	35.5	356.05	521.76	412.0	389.72	314.17	406.31	204.07	669.92	72.52	836.53	55.1	144.01	105.89	708.18	392.44	1143.1	61.68	507.46	116.78	191.67	647.07	693.58	201.25	27.05	55.49	84.04
MAP3K19	68793.23	144.01	312.0	118.43	954.43	291.04	241.19	134.3	525.39	220.32	267.73	120.1	111.99	329.84	158.79	599.49	108.9	124.37	258.57	136.19	363.56	23.59	59.13	175.07	71.0	202.66	503.95	265.87	262.2	186.4	248.0	156.59	473.41	76.71	780.44	38.67	95.34	99.43	395.18	199.85	620.67	64.34	435.55	117.6	170.25	314.17	500.46	84.63	11.47	22.92	44.57
MOK	1037.29	334.46	457.25	234.57	2816.11	890.44	753.83	193.01	890.44	540.19	1233.75	612.11	429.54	1037.29	647.07	954.43	423.61	363.56	780.44	226.54	579.04	134.3	175.07	381.68	241.19	759.08	981.29	486.75	423.61	571.05	660.68	366.09	1857.6	299.25	2335.28	183.82	400.71	435.55	1369.04	460.44	1388.16	155.5	1191.69	299.25	457.25	967.76	1322.37	327.56	107.38	223.41	218.79
MORN3	571.05	92.05	231.32	70.01	607.87	190.34	166.73	101.54	283.05	126.12	177.53	131.51	119.26	325.29	82.29	351.14	87.65	82.87	107.38	113.56	258.57	102.97	57.49	80.01	37.59	189.02	228.13	248.0	173.85	153.34	170.25	71.5	358.54	48.87	403.5	18.03	64.34	74.58	373.81	204.07	575.03	21.78	246.28	96.68	112.77	287.01	320.8	59.97	32.82	45.53	51.35
MS4A8	894051.48	1225.22	5555.65	1487.87	13306.94	3982.99	3280.18	2384.37	4736.79	2178.83	4123.49	2224.63	1769.57	5366.37	2133.97	5831.91	1096.5	1175.27	3124.78	1819.35	3325.99	540.19	1175.27	2367.9	921.88	4210.15	3325.99	5292.48	3280.18	2835.7	3614.55	2004.85	9876.98	1286.18	8247.98	460.44	1259.69	2032.85	7382.04	2351.53	9279.58	417.77	5751.61	1487.87	2224.63	3901.01	7749.1	947.83	190.34	432.53	599.49
MSH5-SAPCD1	88.88	34.02	106.63	71.0	291.04	178.77	134.3	31.9	152.28	59.97	361.04	108.14	71.5	251.48	105.15	301.33	75.64	62.56	64.8	99.43	63.45	64.8	60.82	61.68	131.51	143.01	144.01	148.09	112.77	84.04	121.79	120.94	198.47	39.5	299.25	26.28	94.67	71.0	190.34	80.01	253.23	32.13	236.21	34.75	108.9	195.72	314.17	71.0	78.34	88.26	21.01
NAT1	312.0	327.56	318.57	363.56	884.29	256.78	348.71	327.56	603.67	305.55	351.14	406.31	129.69	265.87	318.57	414.87	206.94	143.01	320.8	285.03	480.04	67.59	253.23	316.37	141.02	218.79	267.73	457.25	255.0	351.14	426.57	175.07	633.73	167.9	1008.9	164.42	283.05	214.27	450.94	251.48	718.08	177.53	507.46	316.37	339.14	384.34	559.28	166.73	89.51	92.7	202.66
NAT14	1151.06	392.44	476.71	660.68	1936.53	420.68	872.1	825.0	563.18	392.44	1066.48	633.73	718.08	1001.93	703.28	1268.46	540.19	325.29	441.64	660.68	796.86	339.14	579.04	409.15	303.44	785.88	529.06	723.08	417.77	559.28	607.87	368.65	1508.65	353.59	1457.23	336.79	514.56	693.58	1225.22	967.76	1015.93	195.72	1216.75	555.41	860.08	460.44	967.76	476.71	267.73	285.03	212.78
NEK10	1167.14	115.97	277.2	86.43	463.65	329.84	153.34	84.04	332.14	138.1	241.19	76.71	126.12	327.56	124.37	432.53	84.04	90.77	204.07	105.15	251.48	39.22	70.51	155.5	55.1	211.31	262.2	244.57	201.25	232.94	185.11	95.34	470.14	75.11	497.0	55.49	81.14	80.01	466.88	169.07	718.08	43.02	241.19	73.03	99.43	271.48	412.0	97.36	14.67	28.86	24.63
NHLRC4	2224.63	89.51	267.73	94.67	902.89	165.57	242.88	171.45	332.14	215.77	329.84	277.2	115.16	406.31	199.85	521.76	101.54	78.34	195.72	121.79	373.81	52.82	102.25	108.14	97.36	195.72	191.67	273.37	202.66	242.88	293.07	145.02	620.67	43.32	698.41	43.63	94.01	95.34	329.84	277.2	599.49	60.39	381.68	154.42	151.22	373.81	432.53	72.01	48.18	101.54	50.27
NME9	3039.3	82.29	363.56	75.11	1051.79	329.84	299.25	115.97	551.56	170.25	403.5	176.29	153.34	376.41	273.37	656.11	102.25	92.7	215.77	172.65	348.71	55.1	66.65	130.6	40.07	232.94	368.65	387.02	198.47	171.45	277.2	149.12	785.88	28.45	638.15	53.57	103.69	127.0	521.76	264.03	981.29	22.92	543.96	111.21	147.06	420.68	493.56	88.26	13.93	38.12	27.05
NSUN7	1199.98	143.01	185.11	82.87	796.86	426.57	139.07	97.36	423.61	52.82	429.54	166.73	74.06	318.57	93.35	486.75	132.44	114.36	156.59	88.26	175.07	82.87	147.06	165.57	71.5	397.93	195.72	559.28	217.27	289.02	287.01	127.0	921.88	18.7	764.36	92.7	126.12	237.86	376.41	205.5	665.29	24.99	287.01	172.65	119.26	251.48	356.05	117.6	102.25	74.58	58.3
ODF2	813.63	295.11	423.61	318.57	1540.37	1051.79	825.0	346.29	703.28	909.17	563.18	559.28	1208.34	1088.92	836.53	1001.93	540.19	1023.0	599.49	470.14	995.0	438.59	450.94	540.19	497.0	684.02	884.29	651.58	417.77	660.68	620.67	521.76	981.29	830.75	738.29	406.31	842.36	490.14	854.13	642.59	769.69	638.15	981.29	341.51	728.11	909.17	915.51	775.05	571.05	285.03	376.41
ODF3B	10014.87	1709.26	3690.52	1781.89	12244.81	7280.4	7032.37	1447.15	4450.27	2997.45	5751.61	3955.48	3212.66	9151.82	4358.66	7382.04	2367.9	3103.19	2351.53	1781.89	4038.61	954.43	934.76	1467.37	1757.34	4095.0	6561.36	2835.7	2193.99	3303.0	2875.3	2119.22	7382.04	1295.13	9474.59	836.53	1268.46	3690.52	3874.05	4038.61	7642.41	674.59	6426.31	1397.83	2335.28	3820.7	5112.16	2104.58	5292.48	3794.3	748.61
OSCP1	1757.34	414.87	1096.5	688.78	3303.0	1135.2	684.02	748.61	1529.73	651.58	934.76	607.87	915.51	2384.37	532.74	1617.0	728.11	733.19	1059.11	603.67	961.07	450.94	483.38	669.92	336.79	909.17	1313.23	1286.18	830.75	1059.11	1350.18	387.02	1639.59	486.75	2240.11	642.59	723.08	633.73	1519.15	1143.1	2935.74	303.44	1572.76	679.29	693.58	902.89	1519.15	723.08	253.23	339.14	518.15
PACRG	2119.22	246.28	1183.45	223.41	1963.57	718.08	435.55	441.64	872.1	343.89	785.88	412.0	441.64	928.3	316.37	738.29	165.57	141.02	551.56	376.41	532.74	104.42	123.5	376.41	125.24	525.39	674.59	651.58	567.1	651.58	825.0	271.48	1498.22	112.77	981.29	109.66	153.34	170.25	1073.91	525.39	2915.45	69.03	819.3	253.23	348.71	341.51	1407.55	226.54	21.94	69.52	77.79
PIH1D2	1044.52	123.5	334.46	152.28	567.1	316.37	211.31	187.71	327.56	205.5	206.94	169.07	132.44	318.57	183.82	412.0	92.7	88.26	130.6	135.24	244.57	72.52	111.21	232.94	107.38	242.88	260.38	283.05	212.78	248.0	297.17	151.22	514.56	66.65	417.77	81.14	136.19	158.79	283.05	206.94	669.92	81.71	305.55	129.69	181.28	305.55	329.84	108.9	69.52	81.14	60.39
PLEKHG7	11267.44	68.55	199.85	48.87	392.44	275.28	97.36	31.67	237.86	126.12	102.97	118.43	35.25	111.21	178.77	500.46	20.71	22.92	87.03	41.22	244.57	8.06	20.71	72.52	43.63	54.72	145.02	144.01	72.01	107.38	65.72	75.64	237.86	21.16	547.75	5.5	15.56	22.75	212.78	241.19	417.77	19.39	109.66	47.5	46.5	185.11	256.78	15.68	4.98	7.82	10.31
PLXNB1	2976.74	1519.15	1268.46	591.22	4543.8	1628.26	1963.57	1081.39	2796.65	1594.73	2664.15	1447.15	819.3	2384.37	1437.15	2664.15	1685.71	1378.57	1437.15	1111.82	3614.55	1216.75	738.29	679.29	1135.2	2061.24	1617.0	2224.63	2855.44	2209.26	1697.45	1519.15	5791.62	1540.37	4038.61	934.76	2133.97	2047.0	1467.37	1685.71	1991.0	583.07	2090.03	909.17	1757.34	3372.43	2400.97	995.0	426.57	1191.69	1051.79
PPAP2C	19214.73	444.72	1277.29	1378.57	2335.28	780.44	854.13	759.08	1551.09	791.35	1487.87	1044.52	1135.2	1662.49	1023.0	1870.53	830.75	860.08	896.64	1594.73	1359.57	285.03	514.56	884.29	327.56	902.89	1167.14	1081.39	791.35	1268.46	1208.34	371.22	2193.99	651.58	1551.09	429.54	669.92	698.41	1487.87	1143.1	2163.77	147.06	1225.22	629.35	1081.39	1023.0	1662.49	775.05	497.0	389.72	285.03
