	TCGA.C8.A12O.01A.11R.A115.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A1AN.01A.11R.A12P.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.C8.A12Z.01A.11R.A115.07	TCGA.A2.A0EV.01A.11R.A034.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.E2.A15C.01A.31R.A12D.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.AC.A2B8.01A.11R.A17B.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.D8.A1XO.01A.11R.A14M.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.TMMY.0726.SM.33HBE	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.DD.AADP.01A.11R.A39D.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	GTEX.U3ZN.0626.SM.3DB7U	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9
FBXO30	127.0	118.43	195.72	102.97	112.77	144.01	55.89	101.54	120.94	144.01	115.16	98.73	94.01	100.83	69.03	94.67	76.71	130.6	100.13	100.83	120.94	120.94	87.65	80.01	143.01	80.01	101.54	236.21	134.3	117.6	161.02	120.94	211.31	164.42	194.36	76.71	579.04	84.04	134.3	73.03	198.47	223.41	170.25	32.59	28.65	83.45	209.84	15.45	38.4	35.25	21.16	33.54	57.08	39.22	24.46	32.82	23.93	15.0	58.3	64.8	31.45	45.85	39.22	48.87	21.94	18.16	39.79	22.92	30.34	40.36	39.79	23.76	15.68	23.93	33.3	33.78	37.05	36.01	25.54	51.71	39.79	29.91	43.94	14.89	43.32	36.27	22.75	40.07	31.0	72.52	31.9	36.27	47.84	47.84	19.11	81.71	46.5	31.45	16.15	78.34	39.5	23.25	26.1	27.25	21.32	25.35	62.12	20.41	27.25	23.42	48.18	42.11	24.11	31.22	24.63	24.81	57.49	80.01	20.71	37.32	25.72	20.56	29.91	32.36	27.64	39.5	21.63	26.86	24.11	5.96	38.4	13.52	54.33	18.97	33.06	27.64	45.53	17.13	171.45	336.79	82.87
FNDC3B	860.08	934.76	334.46	612.11	1059.11	988.12	595.34	1044.52	463.65	529.06	780.44	813.63	1250.98	486.75	928.3	447.82	532.74	332.14	1051.79	423.61	591.22	1225.22	1066.48	532.74	769.69	684.02	759.08	567.1	743.43	529.06	947.83	738.29	1030.12	1044.52	713.11	656.11	896.64	981.29	748.61	1467.37	775.05	1651.0	1628.26	381.68	351.14	1369.04	1870.53	679.29	915.51	289.02	353.59	332.14	1081.39	417.77	371.22	872.1	361.04	195.72	1044.52	780.44	242.88	476.71	403.5	497.0	825.0	563.18	532.74	279.14	309.83	785.88	764.36	291.04	182.55	366.09	500.46	283.05	429.54	866.07	457.25	1216.75	486.75	376.41	819.3	409.15	624.99	463.65	309.83	669.92	733.19	791.35	1143.1	221.86	796.86	665.29	275.28	967.76	753.83	379.04	307.69	1697.45	435.55	305.55	229.72	514.56	2133.97	480.04	738.29	403.5	373.81	723.08	438.59	371.22	348.71	409.15	309.83	748.61	334.46	1519.15	371.22	728.11	490.14	447.82	429.54	718.08	450.94	1008.9	612.11	406.31	616.37	242.88	536.45	423.61	567.1	674.59	441.64	1143.1	743.43	591.22	954.43	1044.52	1359.57
G3BP2	2434.5	1651.0	2133.97	1508.65	1857.6	2193.99	1242.34	2335.28	1832.01	2047.0	3901.01	1757.34	1135.2	1674.06	3124.78	1844.76	1437.15	1030.12	1697.45	1519.15	2148.82	1950.0	1674.06	1286.18	1806.78	1286.18	1709.26	2502.97	1498.22	2119.22	2240.11	1407.55	2319.15	1963.57	2434.5	2591.27	2468.49	1457.23	1870.53	1268.46	2400.97	2682.69	2163.77	571.05	629.35	2303.12	3467.27	769.69	796.86	343.89	346.29	432.53	1073.91	642.59	571.05	420.68	642.59	441.64	909.17	493.56	441.64	457.25	629.35	249.73	854.13	420.68	679.29	457.25	373.81	967.76	967.76	450.94	532.74	447.82	665.29	470.14	620.67	854.13	426.57	928.3	1044.52	438.59	780.44	457.25	748.61	1225.22	656.11	1008.9	1225.22	1127.35	1277.29	638.15	1175.27	713.11	679.29	1498.22	1991.0	967.76	708.18	1583.71	1044.52	579.04	406.31	1277.29	1066.48	518.15	909.17	890.44	559.28	1359.57	1322.37	974.5	1051.79	836.53	373.81	536.45	1331.57	1167.14	397.93	884.29	591.22	1250.98	878.17	571.05	1225.22	785.88	507.46	503.95	633.73	500.46	660.68	563.18	660.68	555.41	890.44	854.13	878.17	490.14	2240.11	2777.33	5366.37
GALNT13	11.21	25.54	4.62	6.16	2.48	61.68	22.43	18.16	12.64	5.68	14.14	26.67	20.41	1.46	9.41	7.4	8.38	8.99	47.17	13.32	14.67	8.58	40.93	21.63	2.16	12.45	9.7	2.61	30.34	2.66	22.92	27.64	11.38	49.56	36.79	18.56	171.45	10.79	7.28	38.4	46.5	87.03	9.56	0.0	5.36	12.18	7.06	20.56	1.97	5.63	5.36	0.4	2.94	0.0	2.86	5.82	1.66	7.82	0.0	8.13	4.86	0.0	12.36	6.52	13.22	0.85	3.41	0.0	0.0	0.0	3.14	7.94	3.03	1.43	0.0	6.31	0.0	4.06	2.97	0.0	4.21	2.2	6.78	0.0	1.55	4.86	6.21	0.0	0.0	0.0	0.0	0.83	0.0	0.67	9.27	2.34	0.85	2.86	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	2.58	0.0	0.0	12.18	0.0	0.0	15.22	1.5	0.0	7.0	0.0	0.72	0.0	0.82	8.71	14.14	0.0	10.0	0.0	14.89	0.75	2.23	0.75	0.0	0.0	5.63	4.31	1.38	7.63	0.0	0.74	0.0	74.06	119.26	137.14
GTF2H3	674.59	629.35	325.29	389.72	507.46	536.45	246.28	567.1	532.74	693.58	476.71	486.75	387.02	426.57	457.25	559.28	358.54	406.31	395.18	624.99	684.02	854.13	529.06	307.69	417.77	406.31	518.15	848.22	366.09	599.49	796.86	438.59	896.64	713.11	872.1	414.87	518.15	256.78	429.54	547.75	551.56	1487.87	934.76	187.71	166.73	507.46	718.08	88.88	346.29	124.37	135.24	173.85	329.84	197.09	191.67	209.84	234.57	102.25	348.71	220.32	191.67	212.78	193.01	220.32	209.84	171.45	221.86	150.17	128.79	236.21	209.84	134.3	114.36	157.68	143.01	127.89	153.34	198.47	164.42	231.32	212.78	156.59	175.07	139.07	166.73	255.0	123.5	320.8	277.2	316.37	363.56	221.86	339.14	111.99	146.03	497.0	316.37	163.28	198.47	376.41	193.01	156.59	159.9	255.0	193.01	156.59	403.5	373.81	150.17	169.07	187.71	204.07	351.14	253.23	185.11	137.14	285.03	287.01	75.11	198.47	136.19	161.02	220.32	126.12	441.64	156.59	195.72	143.01	108.14	111.99	221.86	231.32	171.45	123.5	246.28	157.68	212.78	138.1	607.87	543.96	361.04
HDX	31.9	68.55	50.98	45.53	32.82	68.55	37.59	55.89	51.71	69.03	31.0	59.97	53.95	72.52	57.08	70.01	29.27	31.0	57.89	19.53	32.36	61.25	63.89	39.79	57.08	48.18	82.29	13.72	64.8	84.63	59.55	59.97	99.43	70.51	95.34	66.65	110.43	53.57	79.45	57.89	105.89	105.15	76.17	15.11	24.99	61.25	109.66	2.03	15.22	17.51	14.45	25.35	12.09	15.0	16.27	2.36	5.59	9.48	1.77	20.41	7.22	22.1	10.79	3.59	8.13	7.51	15.11	7.0	8.13	21.01	16.39	6.52	1.5	6.84	13.22	11.04	14.78	24.28	13.42	23.08	21.01	15.8	10.55	6.84	27.25	10.96	22.26	29.27	3.99	15.68	11.04	0.0	11.91	44.25	4.39	27.44	12.18	17.13	6.06	104.42	14.03	3.35	12.45	7.4	86.43	39.5	37.32	5.63	21.94	23.25	7.63	9.27	1.95	18.97	4.94	24.63	9.2	47.17	21.32	26.28	22.1	19.97	13.12	18.29	3.11	39.79	18.16	6.36	17.64	14.78	5.63	4.74	20.26	40.36	14.35	20.41	30.78	17.51	82.87	59.13	35.76
HINT3	466.88	612.11	967.76	738.29	366.09	723.08	303.44	743.43	718.08	848.22	457.25	497.0	376.41	743.43	995.0	460.44	511.0	493.56	400.71	536.45	866.07	599.49	460.44	376.41	612.11	473.41	514.56	1044.52	599.49	438.59	896.64	633.73	947.83	651.58	825.0	688.78	1135.2	902.89	860.08	466.88	559.28	981.29	915.51	309.83	305.55	397.93	1183.45	90.77	186.4	229.72	195.72	325.29	579.04	212.78	293.07	202.66	182.55	122.64	248.0	346.29	327.56	264.03	361.04	289.02	128.79	157.68	486.75	183.82	232.94	376.41	400.71	297.17	175.07	329.84	258.57	295.11	348.71	320.8	351.14	529.06	346.29	293.07	403.5	363.56	309.83	305.55	215.77	255.0	353.59	307.69	708.18	265.87	403.5	299.25	414.87	571.05	301.33	281.09	305.55	954.43	309.83	156.59	197.09	521.76	325.29	232.94	426.57	181.28	260.38	466.88	323.03	295.11	334.46	275.28	202.66	218.79	301.33	400.71	273.37	269.6	332.14	379.04	226.54	392.44	466.88	395.18	246.28	329.84	258.57	279.14	211.31	167.9	373.81	217.27	356.05	309.83	201.25	351.14	1259.69	684.02	967.76
JAZF1	237.86	376.41	128.79	217.27	183.82	348.71	269.6	177.53	157.68	226.54	147.06	275.28	460.44	218.79	145.02	186.4	215.77	176.29	346.29	132.44	170.25	232.94	429.54	450.94	297.17	163.28	224.97	147.06	297.17	232.94	381.68	358.54	339.14	555.41	583.07	277.2	1397.83	356.05	389.72	432.53	836.53	825.0	435.55	199.85	224.97	567.1	346.29	241.19	497.0	129.69	128.79	151.22	277.2	281.09	194.36	159.9	86.43	64.34	26.86	246.28	223.41	120.94	269.6	105.89	170.25	110.43	307.69	176.29	115.16	143.01	208.38	112.77	158.79	173.85	105.89	127.0	228.13	241.19	224.97	173.85	190.34	211.31	237.86	223.41	242.88	206.94	228.13	172.65	50.27	96.01	414.87	185.11	234.57	129.69	58.3	178.77	102.97	176.29	142.01	341.51	256.78	93.35	60.82	397.93	153.34	132.44	281.09	74.58	76.17	105.89	157.68	40.64	255.0	114.36	55.89	242.88	105.89	153.34	112.77	133.36	166.73	361.04	232.94	301.33	82.87	334.46	66.65	183.82	186.4	141.02	122.64	96.01	244.57	212.78	183.82	150.17	82.29	141.02	363.56	620.67	463.65
KDM3A	514.56	660.68	587.13	381.68	403.5	878.17	397.93	571.05	536.45	866.07	665.29	575.03	507.46	620.67	540.19	426.57	551.56	579.04	395.18	981.29	559.28	743.43	738.29	543.96	830.75	392.44	759.08	493.56	961.07	1225.22	769.69	703.28	1096.5	698.41	995.0	842.36	934.76	808.0	633.73	620.67	884.29	981.29	718.08	228.13	242.88	540.19	454.09	420.68	381.68	228.13	199.85	253.23	285.03	281.09	275.28	429.54	295.11	228.13	420.68	283.05	204.07	201.25	204.07	211.31	295.11	229.72	314.17	197.09	150.17	190.34	246.28	119.26	73.03	147.06	201.25	167.9	171.45	281.09	147.06	248.0	234.57	132.44	138.1	226.54	249.73	96.68	154.42	146.03	134.3	153.34	100.83	194.36	111.99	624.99	163.28	208.38	115.16	163.28	90.77	113.56	165.57	500.46	151.22	146.03	165.57	177.53	127.0	144.01	182.55	239.52	181.28	176.29	146.03	138.1	163.28	842.36	173.85	260.38	161.02	218.79	195.72	101.54	177.53	195.72	102.97	244.57	166.73	214.27	241.19	126.12	325.29	185.11	167.9	409.15	132.44	307.69	220.32	400.71	511.0	460.44	409.15
KIAA1715	633.73	426.57	299.25	242.88	392.44	309.83	218.79	358.54	283.05	460.44	187.71	397.93	376.41	221.86	457.25	307.69	212.78	186.4	392.44	279.14	379.04	447.82	412.0	223.41	293.07	208.38	309.83	441.64	249.73	297.17	490.14	329.84	460.44	483.38	406.31	291.04	1059.11	231.32	470.14	156.59	551.56	674.59	376.41	132.44	136.19	547.75	642.59	229.72	143.01	126.12	90.77	206.94	173.85	242.88	108.14	189.02	120.94	70.51	131.51	130.6	108.9	126.12	131.51	191.67	138.1	110.43	176.29	134.3	118.43	226.54	167.9	108.9	80.01	146.03	177.53	142.01	138.1	182.55	142.01	204.07	129.69	152.28	146.03	246.28	234.57	251.48	115.16	189.02	214.27	99.43	152.28	334.46	167.9	287.01	142.01	249.73	231.32	255.0	117.6	293.07	157.68	202.66	95.34	309.83	92.7	55.89	251.48	150.17	152.28	182.55	229.72	140.04	212.78	234.57	114.36	256.78	258.57	118.43	111.21	269.6	115.16	152.28	198.47	107.38	199.85	127.0	139.07	134.3	80.57	221.86	211.31	97.36	154.42	64.34	191.67	125.24	140.04	185.11	384.34	316.37	301.33
KIF5B	1857.6	2004.85	1540.37	1340.84	1857.6	1909.85	928.3	1059.11	1685.71	2367.9	1023.0	1088.92	961.07	1037.29	1832.01	1487.87	1135.2	1044.52	1111.82	1540.37	1225.22	2090.03	1268.46	1051.79	1685.71	1030.12	1551.09	2555.58	1447.15	2400.97	2303.12	1467.37	2018.8	2485.67	2520.38	1561.89	2855.44	1286.18	2609.3	1216.75	1529.73	2997.45	1572.76	291.04	316.37	1233.75	2645.74	191.67	536.45	305.55	269.6	253.23	769.69	575.03	301.33	525.39	703.28	198.47	1030.12	575.03	307.69	476.71	299.25	291.04	358.54	267.73	507.46	234.57	242.88	403.5	466.88	239.52	98.04	221.86	291.04	297.17	358.54	395.18	267.73	511.0	387.02	325.29	381.68	211.31	379.04	775.05	221.86	629.35	341.51	595.34	403.5	305.55	567.1	420.68	151.22	748.61	616.37	307.69	303.44	764.36	325.29	178.77	194.36	320.8	381.68	348.71	500.46	283.05	205.5	332.14	454.09	297.17	214.27	387.02	267.73	514.56	532.74	679.29	316.37	242.88	229.72	281.09	229.72	432.53	483.38	373.81	167.9	285.03	236.21	218.79	301.33	218.79	307.69	211.31	346.29	339.14	612.11	193.01	2271.4	1781.89	1388.16
KPNA3	432.53	595.34	356.05	361.04	595.34	417.77	323.03	497.0	450.94	555.41	518.15	356.05	651.58	336.79	651.58	361.04	291.04	343.89	480.04	400.71	273.37	503.95	624.99	371.22	406.31	376.41	457.25	450.94	521.76	466.88	551.56	529.06	543.96	728.11	718.08	395.18	1167.14	353.59	688.78	629.35	559.28	819.3	567.1	244.57	226.54	483.38	796.86	320.8	242.88	102.25	206.94	223.41	255.0	283.05	218.79	299.25	189.02	204.07	120.94	348.71	236.21	343.89	297.17	336.79	229.72	147.06	267.73	197.09	232.94	325.29	336.79	195.72	108.14	215.77	239.52	301.33	305.55	265.87	211.31	312.0	283.05	299.25	334.46	198.47	256.78	480.04	211.31	397.93	536.45	403.5	343.89	316.37	403.5	228.13	246.28	571.05	507.46	384.34	251.48	743.43	283.05	155.5	264.03	368.65	224.97	265.87	400.71	277.2	264.03	264.03	346.29	334.46	392.44	384.34	244.57	183.82	406.31	323.03	248.0	329.84	199.85	265.87	242.88	287.01	429.54	241.19	164.42	220.32	228.13	163.28	320.8	198.47	316.37	118.43	409.15	271.48	246.28	159.9	1183.45	1135.2	753.83
LAMTOR3	961.07	995.0	1191.69	1250.98	1651.0	1427.22	1208.34	1225.22	1781.89	1883.54	860.08	1697.45	1119.56	1561.89	1378.57	1119.56	808.0	1721.16	1369.04	1304.15	1322.37	1508.65	1359.57	1359.57	1487.87	1331.57	1119.56	1277.29	934.76	1313.23	1605.83	1304.15	1950.0	1322.37	2193.99	1051.79	3212.66	1331.57	1447.15	1467.37	1674.06	2417.67	2133.97	575.03	540.19	884.29	2104.58	802.41	825.0	723.08	511.0	642.59	665.29	567.1	563.18	332.14	403.5	441.64	775.05	470.14	591.22	802.41	595.34	543.96	764.36	563.18	583.07	603.67	551.56	518.15	547.75	403.5	379.04	543.96	361.04	633.73	525.39	540.19	432.53	493.56	460.44	441.64	591.22	656.11	507.46	579.04	493.56	1088.92	693.58	629.35	450.94	447.82	334.46	981.29	376.41	753.83	412.0	567.1	476.71	518.15	603.67	397.93	454.09	536.45	368.65	638.15	540.19	297.17	525.39	559.28	397.93	412.0	460.44	463.65	536.45	1295.13	426.57	928.3	633.73	514.56	435.55	454.09	500.46	866.07	356.05	780.44	392.44	343.89	312.0	334.46	571.05	336.79	718.08	191.67	521.76	320.8	638.15	595.34	1832.01	1883.54	1208.34
LEPROT	1313.23	1794.29	1216.75	1175.27	1447.15	2004.85	1407.55	954.43	819.3	1167.14	1044.52	1199.98	1806.78	1487.87	1388.16	1088.92	1233.75	1304.15	1674.06	1794.29	1757.34	1519.15	2417.67	1477.58	2004.85	890.44	1936.53	753.83	2047.0	1427.22	2400.97	2018.8	2895.31	3124.78	3325.99	1457.23	3124.78	1757.34	1594.73	1844.76	2537.92	3982.99	2664.15	620.67	708.18	2555.58	3467.27	995.0	674.59	389.72	753.83	612.11	1023.0	555.41	759.08	1208.34	447.82	547.75	764.36	599.49	497.0	616.37	813.63	454.09	403.5	583.07	848.22	599.49	559.28	796.86	854.13	480.04	438.59	684.02	607.87	642.59	651.58	753.83	595.34	819.3	703.28	591.22	738.29	947.83	1216.75	1781.89	954.43	909.17	1175.27	884.29	791.35	902.89	1015.93	642.59	444.72	1295.13	860.08	890.44	808.0	878.17	1030.12	529.06	368.65	1216.75	483.38	497.0	830.75	514.56	507.46	915.51	1081.39	872.1	884.29	567.1	536.45	830.75	1066.48	463.65	447.82	915.51	1001.93	638.15	974.5	612.11	854.13	1119.56	543.96	511.0	486.75	974.5	1487.87	454.09	759.08	320.8	915.51	346.29	1066.48	860.08	1909.85	3325.99	2240.11
LPAR1	323.03	595.34	563.18	281.09	220.32	1023.0	579.04	287.01	343.89	376.41	348.71	866.07	738.29	316.37	154.42	341.51	332.14	384.34	718.08	211.31	441.64	289.02	595.34	470.14	420.68	269.6	607.87	228.13	406.31	470.14	665.29	638.15	603.67	1044.52	848.22	199.85	679.29	547.75	571.05	1059.11	934.76	1477.58	309.83	38.95	59.97	175.07	514.56	7.11	0.71	1.16	10.55	5.63	132.44	2.61	23.42	2.1	1.79	10.79	18.7	32.82	16.39	6.16	45.21	2.78	0.73	26.47	12.18	14.89	15.45	25.72	40.64	10.47	6.67	14.14	23.25	21.32	22.1	42.71	16.88	29.06	35.25	29.48	46.18	12.36	262.2	157.68	74.06	135.24	8.45	490.14	7.0	61.25	90.77	26.1	6.36	43.32	45.53	15.8	43.94	10.24	48.87	1.25	6.62	13.12	23.59	76.17	3.89	15.8	4.86	6.57	124.37	1.79	44.25	2.01	18.84	185.11	10.88	120.94	36.27	2.89	87.03	19.25	9.78	103.69	10.88	105.89	12.83	26.86	34.75	75.64	50.27	4.43	20.71	37.85	20.11	4.74	395.18	4.35	400.71	395.18	403.5
LRRC40	217.27	262.2	223.41	194.36	373.81	237.86	127.0	267.73	297.17	248.0	185.11	307.69	182.55	215.77	403.5	221.86	164.42	154.42	193.01	148.09	163.28	248.0	249.73	169.07	209.84	161.02	241.19	132.44	206.94	236.21	341.51	226.54	341.51	275.28	412.0	170.25	603.67	108.14	325.29	212.78	379.04	480.04	379.04	191.67	215.77	260.38	500.46	100.13	211.31	90.77	93.35	62.56	157.68	129.69	98.73	212.78	74.58	68.55	150.17	156.59	86.43	95.34	133.36	142.01	100.13	72.01	154.42	76.71	185.11	206.94	189.02	172.65	60.82	180.02	204.07	221.86	187.71	176.29	141.02	206.94	209.84	182.55	211.31	265.87	151.22	234.57	189.02	153.34	275.28	215.77	153.34	212.78	223.41	143.01	176.29	447.82	221.86	181.28	212.78	361.04	152.28	197.09	103.69	231.32	97.36	67.59	129.69	195.72	75.11	162.14	205.5	202.66	195.72	199.85	211.31	189.02	239.52	119.26	164.42	229.72	211.31	169.07	242.88	159.9	218.79	69.03	147.06	153.34	173.85	202.66	163.28	167.9	155.5	212.78	156.59	42.11	133.36	133.36	373.81	351.14	273.37
LYSMD3	353.59	318.57	457.25	237.86	323.03	320.8	217.27	373.81	262.2	363.56	289.02	414.87	301.33	241.19	318.57	309.83	231.32	195.72	265.87	279.14	599.49	327.56	297.17	249.73	318.57	279.14	241.19	312.0	316.37	336.79	432.53	260.38	480.04	371.22	514.56	206.94	802.41	339.14	423.61	218.79	457.25	679.29	575.03	220.32	190.34	432.53	669.92	85.22	246.28	211.31	146.03	204.07	234.57	197.09	139.07	234.57	94.01	122.64	177.53	206.94	154.42	149.12	141.02	88.26	159.9	74.58	212.78	102.97	214.27	260.38	267.73	206.94	81.71	151.22	206.94	248.0	264.03	223.41	239.52	381.68	269.6	206.94	307.69	226.54	191.67	198.47	204.07	361.04	327.56	199.85	289.02	127.89	189.02	215.77	101.54	395.18	454.09	201.25	148.09	320.8	185.11	125.24	195.72	156.59	224.97	269.6	209.84	147.06	172.65	190.34	166.73	162.14	228.13	178.77	297.17	178.77	206.94	599.49	251.48	226.54	181.28	142.01	156.59	239.52	242.88	251.48	253.23	151.22	206.94	133.36	171.45	104.42	185.11	144.01	140.04	194.36	381.68	190.34	713.11	297.17	967.76
MAPK8	854.13	1051.79	769.69	563.18	1088.92	718.08	493.56	497.0	607.87	825.0	656.11	476.71	612.11	633.73	642.59	309.83	460.44	688.78	769.69	848.22	698.41	796.86	587.13	476.71	1295.13	450.94	674.59	733.19	713.11	1135.2	1088.92	629.35	1175.27	878.17	1216.75	688.78	988.12	785.88	961.07	708.18	928.3	1551.09	1250.98	336.79	381.68	493.56	915.51	256.78	591.22	291.04	323.03	241.19	591.22	264.03	376.41	376.41	301.33	161.02	493.56	241.19	239.52	289.02	341.51	199.85	285.03	271.48	466.88	260.38	212.78	511.0	480.04	275.28	246.28	397.93	420.68	395.18	392.44	490.14	341.51	532.74	511.0	316.37	525.39	320.8	395.18	571.05	379.04	387.02	532.74	532.74	684.02	389.72	567.1	599.49	368.65	764.36	872.1	503.95	460.44	1104.13	629.35	343.89	256.78	802.41	836.53	346.29	599.49	483.38	438.59	429.54	624.99	595.34	728.11	291.04	277.2	514.56	612.11	483.38	305.55	651.58	511.0	470.14	660.68	346.29	848.22	444.72	271.48	447.82	366.09	547.75	463.65	353.59	371.22	368.65	633.73	476.71	409.15	141.02	813.63	836.53	921.88
