	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.WFON.1326.SM.4LVMN	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.145LS.2726.SM.5Q5D8	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.147JS.2526.SM.5S2Q8	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.14BMV.2426.SM.5S2PP	GTEX.12ZZY.2726.SM.5EQ45	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.11EM3.1526.SM.5A5KN	GTEX.12ZZZ.2426.SM.5GCNN	GTEX.UJHI.1126.SM.4IHLN	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.13FTW.1826.SM.5IJEN	GTEX.Y8E4.2426.SM.4WWDN	GTEX.13OW6.2126.SM.5N9GL	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.11DXZ.1726.SM.5H12M	GTEX.TKQ2.1326.SM.4DXT9	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.12KS4.2426.SM.5LU8P	GTEX.QCQG.1626.SM.48U26	GTEX.11O72.2226.SM.5PNW2	GTEX.Y3IK.1826.SM.4WWDS	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZT9W.1826.SM.51MQX	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	TCGA.38.4625.01A.01R.1206.07
GPC3	152.28	38.67	35.76	55.89	33.3	96.01	293.07	23.76	444.72	30.34	52.82	165.57	379.04	24.11	90.77	122.64	43.94	43.94	53.19	52.45	33.3	295.11	96.68	41.81	65.72	1286.18	180.02	134.3	37.59	115.97	503.95	31.9	23.76	381.68	69.52	163.28	46.5	242.88	197.09	255.0	17.64	23.93	49.56	1268.46	35.5	127.89	258.57	262.2	214.27	291.04	89.51	466.88	25.91	7.51	612.11	46.18	35.76	110.43	61.25	147.06	0.0
GPIHBP1	30.12	4.03	14.45	38.4	24.63	14.56	209.84	10.47	171.45	2.56	12.36	74.58	73.03	7.82	8.58	97.36	21.01	13.52	12.18	34.75	13.22	33.06	18.03	2.27	37.32	96.68	61.68	28.24	6.41	14.67	90.77	20.26	6.36	123.5	27.25	28.04	22.92	44.89	29.48	39.5	7.17	13.32	32.59	128.79	13.93	35.25	39.22	57.08	52.82	43.94	31.22	40.93	8.25	21.63	45.21	24.99	16.75	7.4	57.08	57.49	0.0
GPRC5B	143.01	67.12	109.66	82.87	58.71	118.43	896.64	105.89	988.12	78.34	110.43	361.04	460.44	61.68	127.0	229.72	127.0	78.89	120.94	183.82	93.35	363.56	124.37	60.82	202.66	713.11	351.14	148.09	106.63	165.57	738.29	77.25	72.52	642.59	108.9	205.5	92.7	224.97	305.55	277.2	48.87	49.21	151.22	366.09	68.55	187.71	273.37	325.29	190.34	376.41	98.73	500.46	82.29	54.72	470.14	90.77	55.1	197.09	529.06	291.04	66.18
GSTT2	91.41	6.57	48.18	12.74	14.45	17.25	150.17	7.06	162.14	7.11	57.08	206.94	343.89	14.24	68.55	201.25	65.26	17.13	41.22	21.32	12.0	78.89	39.79	9.27	22.92	86.43	127.0	64.8	6.89	52.08	88.26	47.17	1.97	341.51	32.82	22.92	21.63	65.26	100.83	87.65	5.59	9.48	29.7	318.57	3.79	35.76	144.01	182.55	13.62	68.55	22.75	129.69	46.5	10.31	79.45	25.54	620.67	543.96	2720.15	1417.35	0.0
GSTT2B	30.12	1.85	22.26	7.4	10.16	22.43	37.59	0.2	147.06	6.21	10.63	69.03	171.45	1.58	57.08	38.95	21.01	2.23	1.97	4.21	6.21	137.14	13.22	15.11	18.84	31.22	72.01	19.11	2.12	13.62	86.43	16.15	0.0	121.79	31.0	6.73	12.18	28.65	54.72	21.47	4.82	2.63	18.03	100.13	3.2	18.56	23.25	61.68	16.88	218.79	40.64	121.79	13.83	1.28	26.47	4.35	73.03	136.19	780.44	371.22	0.0
HMGN3	1199.98	884.29	642.59	1073.91	1135.2	1051.79	2627.46	1127.35	1757.34	836.53	1407.55	1909.85	2915.45	567.1	1277.29	1519.15	1286.18	890.44	1199.98	1583.71	947.83	2555.58	974.5	1066.48	1651.0	2004.85	3168.41	1896.65	764.36	1225.22	2701.35	921.88	1044.52	2796.65	1051.79	1073.91	1001.93	1583.71	1883.54	1745.2	718.08	1044.52	1199.98	2104.58	1304.15	1651.0	1572.76	1769.57	1340.84	1977.24	1397.83	2240.11	967.76	981.29	4038.61	1963.57	2573.36	2178.83	2609.3	3928.15	0.0
HTRA3	154.42	226.54	71.0	124.37	171.45	161.02	1457.23	60.39	567.1	40.36	211.31	447.82	2178.83	35.0	205.5	305.55	120.94	43.94	78.34	167.9	99.43	1561.89	108.14	150.17	223.41	2935.74	1685.71	612.11	73.03	255.0	2434.5	102.25	36.01	1191.69	75.11	325.29	95.34	389.72	884.29	239.52	105.15	113.56	194.36	866.07	214.27	323.03	441.64	708.18	176.29	2018.8	248.0	1277.29	61.68	59.55	72.01	4.13	20.56	63.0	50.63	80.57	0.0
ITGBL1	20.71	3.08	4.24	6.21	3.14	7.17	57.08	0.27	108.9	3.92	11.91	28.65	158.79	3.59	5.73	37.59	5.5	6.84	7.63	1.93	1.93	68.55	34.51	7.0	25.54	92.05	43.63	8.99	3.79	12.0	283.05	3.96	0.0	75.11	9.48	66.65	3.29	56.68	94.67	31.67	2.63	2.46	46.5	119.26	1.08	31.67	78.34	127.89	22.92	69.03	7.17	47.17	2.07	4.94	110.43	44.25	43.02	117.6	62.56	62.56	0.0
JAM2	241.19	78.89	126.12	185.11	48.87	218.79	2367.9	116.78	1417.35	85.22	205.5	521.76	1313.23	80.57	167.9	208.38	176.29	128.79	119.26	215.77	71.0	819.3	115.16	96.68	206.94	2047.0	1437.15	325.29	178.77	193.01	1561.89	170.25	129.69	1896.65	91.41	223.41	152.28	363.56	435.55	303.44	56.28	147.06	265.87	575.03	105.15	441.64	265.87	748.61	178.77	1896.65	183.82	1143.1	59.55	47.17	169.07	75.64	24.99	65.26	199.85	127.0	0.0
JPH4	26.67	6.73	7.82	13.52	4.39	19.53	59.55	9.63	61.25	6.57	15.8	22.59	50.27	3.32	11.38	22.1	9.85	13.93	9.34	13.62	2.97	55.49	12.45	9.27	28.65	112.77	80.57	29.91	5.41	11.04	65.72	8.71	7.34	71.0	12.93	10.88	4.82	24.63	18.7	31.67	6.67	3.23	29.7	104.42	5.82	31.67	23.59	26.67	30.56	57.49	9.2	43.32	4.78	4.7	9.93	4.82	2.29	1.55	2.81	4.13	0.0
KBTBD13	1.91	0.96	0.82	0.57	0.33	0.56	2.86	0.35	3.23	0.3	1.0	2.14	1.01	1.11	0.0	0.85	1.25	0.0	0.32	0.31	0.31	0.56	0.8	0.31	1.75	5.77	2.48	1.14	0.8	0.34	1.5	0.32	0.34	1.64	0.82	2.05	0.61	1.58	1.62	0.58	0.54	0.64	1.07	1.3	0.55	2.16	1.77	0.82	2.01	1.25	0.62	0.8	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLHL3	37.59	8.13	22.92	23.59	31.22	17.51	258.57	31.67	122.64	4.82	29.91	30.34	87.03	9.06	39.79	24.81	39.22	15.22	39.22	17.9	15.8	81.14	17.9	21.47	36.27	253.23	171.45	35.0	23.59	36.27	112.77	23.93	18.29	120.94	23.76	38.4	34.02	57.08	52.45	24.63	10.96	36.79	38.95	26.28	12.0	58.3	45.21	111.99	59.13	118.43	32.13	172.65	27.05	12.93	85.22	17.13	36.79	16.75	46.84	57.89	17.77
KRT222	14.67	2.68	4.46	3.5	1.97	13.32	108.14	8.85	41.52	2.78	12.0	23.59	61.25	3.06	14.14	13.42	5.28	6.06	1.19	3.76	3.17	45.53	9.34	3.44	8.92	116.78	46.5	18.03	7.17	1.99	87.65	3.26	0.83	75.11	2.25	21.01	8.06	24.81	46.5	15.45	2.76	3.92	16.27	32.36	1.14	16.39	7.4	33.06	4.74	46.5	9.63	36.01	0.8	1.27	4.39	92.7	74.58	140.04	64.8	89.51	0.0
LHFP	373.81	80.57	139.07	202.66	127.89	303.44	1781.89	106.63	1051.79	130.6	279.14	660.68	1277.29	56.68	212.78	575.03	237.86	108.14	102.25	253.23	97.36	1143.1	205.5	123.5	318.57	1844.76	1104.13	674.59	116.78	255.0	1896.65	99.43	86.43	1407.55	152.28	432.53	173.85	575.03	679.29	748.61	144.01	137.14	392.44	884.29	149.12	457.25	503.95	896.64	283.05	1167.14	255.0	796.86	148.09	68.55	368.65	118.43	62.12	173.85	358.54	275.28	226.54
LPAR1	293.07	170.25	229.72	186.4	150.17	269.6	2701.35	232.94	2032.85	412.0	381.68	490.14	2148.82	190.34	417.77	426.57	339.14	205.5	134.3	253.23	190.34	1605.83	497.0	336.79	432.53	3081.75	1721.16	432.53	323.03	395.18	2720.15	107.38	193.01	1709.26	224.97	591.22	309.83	551.56	791.35	551.56	289.02	193.01	287.01	559.28	185.11	521.76	555.41	738.29	303.44	1733.13	211.31	1519.15	171.45	178.77	74.06	8.45	10.96	23.42	103.69	61.68	0.0
LRRC10B	7.4	5.36	4.46	8.78	3.86	8.85	56.28	1.3	120.94	9.41	18.56	52.82	30.56	15.91	6.16	22.1	7.75	5.87	8.92	14.56	8.65	53.57	7.0	6.52	35.5	57.89	48.87	63.0	1.27	8.25	91.41	7.4	1.89	74.06	9.41	22.75	5.96	26.47	65.26	54.72	8.65	4.66	11.73	101.54	14.89	21.32	19.11	33.06	16.15	43.63	15.11	25.72	0.95	3.72	4.54	0.0	1.57	0.16	9.93	2.48	0.0
METTL5	872.1	934.76	819.3	1001.93	842.36	848.22	1519.15	921.88	988.12	967.76	1008.9	1191.69	1437.15	507.46	1030.12	1059.11	915.51	902.89	941.27	961.07	759.08	1175.27	921.88	902.89	967.76	1721.16	1487.87	1233.75	866.07	808.0	1551.09	764.36	915.51	1242.34	759.08	842.36	915.51	1088.92	1304.15	1044.52	748.61	808.0	854.13	1268.46	1088.92	981.29	1259.69	1216.75	878.17	1066.48	981.29	1199.98	703.28	769.69	1119.56	1331.57	902.89	1159.07	1250.98	848.22	0.0
MFF	1286.18	1225.22	1277.29	1487.87	1167.14	1322.37	1950.0	1540.37	1617.0	1551.09	1340.84	1651.0	2287.2	1313.23	1508.65	1594.73	1498.22	1225.22	1508.65	1477.58	1199.98	1844.76	1388.16	1340.84	1551.09	1936.53	2193.99	1794.29	1225.22	1259.69	2271.4	1417.35	1572.76	1909.85	1111.82	1498.22	1167.14	1407.55	1896.65	1437.15	1216.75	1167.14	1350.18	1896.65	1697.45	1551.09	1794.29	1697.45	1369.04	1662.49	1508.65	1757.34	1199.98	1175.27	967.76	1819.35	1096.5	928.3	1781.89	1143.1	0.0
MUSTN1	231.32	273.37	98.04	105.89	98.04	194.36	3325.99	77.79	2485.67	51.35	620.67	1295.13	638.15	217.27	279.14	532.74	167.9	142.01	132.44	206.94	69.52	1963.57	69.03	156.59	503.95	4419.52	1407.55	629.35	32.36	195.72	2645.74	215.77	71.5	2178.83	189.02	733.19	104.42	1721.16	928.3	389.72	46.84	132.44	287.01	1605.83	106.63	1151.06	1023.0	1870.53	429.54	872.1	242.88	1159.07	24.81	49.56	28.45	10.88	15.56	98.04	65.72	42.41	0.0
OGN	529.06	59.13	74.06	140.04	20.41	366.09	3690.52	51.35	1977.24	31.9	211.31	743.43	3955.48	28.24	170.25	723.08	78.34	56.28	166.73	194.36	31.9	2591.27	128.79	149.12	289.02	5255.91	2240.11	656.11	31.0	108.9	6079.61	47.84	19.53	3168.41	115.16	500.46	69.52	693.58	1457.23	612.11	11.82	69.52	780.44	981.29	26.1	684.02	518.15	1709.26	334.46	3491.39	356.05	1304.15	41.81	11.04	187.71	11.38	1.71	38.4	52.45	23.59	0.0
OSR2	121.79	44.89	115.97	159.9	73.54	108.9	217.27	56.28	2485.67	57.08	204.07	307.69	656.11	81.71	131.51	297.17	150.17	164.42	145.02	283.05	96.68	305.55	137.14	42.11	353.59	733.19	248.0	143.01	54.33	327.56	341.51	130.6	23.93	406.31	142.01	305.55	202.66	146.03	417.77	356.05	68.55	63.0	215.77	497.0	82.29	220.32	486.75	536.45	320.8	221.86	105.89	339.14	73.03	65.26	0.89	0.0	0.0	1.41	4.54	2.94	0.0
P2RX2	73.03	18.97	10.16	39.5	13.42	12.18	81.14	10.96	125.24	8.25	41.22	70.51	59.13	36.27	45.53	82.87	16.75	38.67	20.56	27.05	12.93	71.5	11.47	17.38	42.41	57.08	34.02	24.63	5.54	55.49	104.42	29.7	19.39	93.35	16.03	43.63	17.51	44.57	63.0	56.68	3.26	26.1	37.59	180.02	6.41	65.72	66.65	71.0	71.0	176.29	41.81	51.71	20.56	12.0	2.34	0.0	4.03	8.32	1.33	3.53	0.0
PAAF1	297.17	231.32	251.48	285.03	229.72	287.01	463.65	297.17	493.56	187.71	320.8	420.68	540.19	180.02	299.25	406.31	281.09	267.73	336.79	353.59	140.04	497.0	223.41	283.05	287.01	647.07	674.59	343.89	226.54	193.01	511.0	264.03	312.0	429.54	221.86	234.57	234.57	373.81	395.18	366.09	155.5	258.57	368.65	406.31	309.83	384.34	334.46	414.87	327.56	438.59	356.05	532.74	206.94	223.41	301.33	277.2	403.5	395.18	301.33	348.71	0.0
PALM	291.04	100.83	84.04	178.77	64.8	258.57	1378.57	55.89	860.08	48.52	220.32	1037.29	1001.93	78.89	128.79	403.5	73.54	82.87	104.42	241.19	59.55	813.63	101.54	88.88	409.15	1199.98	967.76	567.1	80.01	127.89	1331.57	85.82	43.63	713.11	120.1	201.25	77.25	587.13	525.39	392.44	77.79	74.58	305.55	713.11	67.12	547.75	507.46	669.92	175.07	902.89	194.36	785.88	53.19	52.08	143.01	64.34	31.22	70.51	420.68	164.42	0.0
PCDHB4	20.11	2.34	10.31	10.96	7.17	18.16	53.57	11.3	59.55	10.55	11.91	30.78	56.68	2.07	16.51	26.47	15.91	10.31	6.41	14.78	4.03	40.93	16.75	9.34	25.54	100.83	44.89	32.82	12.55	11.91	55.89	6.11	2.94	68.55	6.84	19.11	12.45	31.0	34.02	44.89	9.06	5.73	18.97	43.32	7.22	17.64	30.78	51.35	16.88	63.89	13.22	57.08	5.87	1.93	14.03	1.64	1.99	4.86	17.9	8.92	0.0
PCDHGB6	25.17	10.47	10.47	11.21	5.11	23.76	84.63	13.72	101.54	10.31	18.84	65.72	149.12	4.86	18.43	26.86	9.7	4.17	17.38	18.7	8.38	51.35	12.0	9.56	40.07	198.47	58.3	52.82	12.55	15.91	126.12	6.46	5.92	99.43	9.34	28.86	4.31	49.56	49.91	64.8	8.99	10.63	30.12	87.65	7.75	41.81	53.95	54.72	25.72	127.0	17.51	110.43	10.16	2.34	21.16	5.5	75.64	10.79	18.03	7.4	0.0
PCDHGB7	91.41	13.93	18.56	24.28	15.45	44.89	212.78	23.93	264.03	17.25	45.85	125.24	273.37	7.34	24.11	78.89	31.0	14.67	30.56	45.21	17.9	138.1	24.63	14.35	96.68	291.04	199.85	115.16	31.0	59.55	236.21	17.77	12.55	206.94	20.86	65.26	20.41	92.05	83.45	141.02	28.24	15.8	80.57	191.67	16.63	79.45	108.14	123.5	48.18	176.29	38.67	173.85	16.88	11.55	55.49	5.87	26.67	47.5	43.63	71.0	0.0
PDE1A	50.27	21.01	28.45	39.79	22.75	71.0	493.56	37.85	190.34	31.9	57.08	116.78	291.04	16.51	53.95	97.36	26.67	33.06	35.25	53.95	30.56	325.29	46.18	28.45	116.78	460.44	361.04	148.09	18.97	48.87	500.46	24.63	14.24	329.84	30.78	66.65	38.12	136.19	204.07	133.36	30.34	37.05	82.87	414.87	24.46	112.77	132.44	195.72	59.13	275.28	66.65	267.73	25.72	13.93	50.27	45.85	21.78	17.51	56.68	49.21	0.0
PHYHIPL	12.83	2.89	1.28	8.51	0.4	5.92	53.95	6.78	84.04	0.29	7.4	33.3	80.01	1.43	2.41	49.91	0.51	5.23	1.93	11.38	0.0	37.05	3.96	0.64	23.42	371.22	246.28	17.64	3.26	2.29	115.97	4.31	3.56	83.45	4.28	4.78	3.99	14.14	20.26	20.41	0.77	2.51	16.51	65.72	0.99	19.25	25.35	17.38	13.83	69.03	5.06	39.79	3.2	2.94	15.45	102.25	8.38	29.48	358.54	8.38	0.0
PI16	262.2	267.73	144.01	101.54	43.63	780.44	2997.45	39.5	587.13	20.41	234.57	327.56	4607.24	53.95	341.51	438.59	50.98	61.25	110.43	224.97	19.82	2193.99	123.5	327.56	251.48	3955.48	460.44	87.03	50.63	229.72	4010.71	60.82	6.94	2032.85	432.53	1001.93	70.51	1175.27	4239.45	166.73	22.1	189.02	116.78	915.51	80.01	237.86	555.41	1519.15	599.49	3060.45	902.89	3146.52	61.25	14.03	20.86	0.82	10.08	21.16	12.83	4.5	0.0
PLAC9	540.19	536.45	214.27	205.5	122.64	454.09	2451.44	205.5	1572.76	229.72	780.44	616.37	2240.11	289.02	454.09	603.67	253.23	178.77	423.61	256.78	384.34	3467.27	366.09	312.0	381.68	4038.61	1350.18	647.07	186.4	273.37	3690.52	299.25	94.01	2645.74	353.59	679.29	211.31	915.51	1572.76	503.95	140.04	297.17	599.49	2075.59	301.33	669.92	616.37	785.88	703.28	1540.37	620.67	1437.15	193.01	189.02	323.03	44.57	50.98	256.78	555.41	107.38	0.0
PRRT1	153.34	112.77	140.04	140.04	117.6	228.13	406.31	132.44	299.25	93.35	195.72	285.03	275.28	82.87	117.6	195.72	111.99	130.6	118.43	185.11	73.03	543.96	102.25	153.34	170.25	346.29	373.81	260.38	119.26	98.73	329.84	90.77	136.19	293.07	146.03	178.77	131.51	190.34	251.48	182.55	92.7	118.43	209.84	358.54	166.73	208.38	177.53	295.11	165.57	373.81	147.06	348.71	112.77	123.5	189.02	16.75	72.52	113.56	91.41	98.04	0.0
RERG	183.82	19.39	34.75	138.1	29.06	108.14	890.44	29.27	567.1	38.67	108.9	339.14	1023.0	24.28	63.89	332.14	39.79	29.06	36.53	114.36	32.36	457.25	55.89	43.02	239.52	854.13	743.43	358.54	30.34	49.21	1167.14	40.93	24.81	830.75	47.17	111.21	49.21	287.01	493.56	255.0	47.17	44.89	221.86	426.57	37.05	256.78	336.79	435.55	74.06	483.38	107.38	476.71	23.25	15.56	51.71	24.11	19.53	49.56	53.95	63.45	0.0
RFXAP	47.84	24.28	40.36	53.57	49.56	30.34	94.67	75.11	90.14	43.32	62.56	92.7	102.25	31.45	44.89	82.29	62.12	33.78	64.8	44.25	29.7	75.11	30.12	44.89	71.5	98.73	106.63	80.01	20.26	54.33	76.17	29.7	53.19	102.25	48.18	31.45	42.41	62.56	111.99	82.29	40.93	57.89	60.82	72.01	40.36	58.3	83.45	108.14	53.19	94.01	66.65	106.63	51.35	44.57	35.76	19.97	14.78	27.84	36.01	37.05	0.0
RHOJ	162.14	41.22	53.57	67.12	32.36	133.36	723.08	43.94	371.22	43.63	113.56	209.84	518.15	33.06	119.26	134.3	68.55	33.06	64.34	78.89	31.22	412.0	101.54	65.72	163.28	612.11	493.56	366.09	97.36	60.82	629.35	55.89	27.25	563.18	45.21	169.07	50.27	191.67	334.46	198.47	46.18	65.72	161.02	277.2	41.52	143.01	131.51	301.33	98.73	376.41	90.14	397.93	57.89	29.48	43.63	35.5	17.77	30.56	136.19	67.59	54.72
RNASEH2B	412.0	363.56	381.68	361.04	423.61	339.14	656.11	409.15	583.07	441.64	529.06	860.08	796.86	114.36	420.68	429.54	493.56	403.5	540.19	595.34	307.69	842.36	334.46	454.09	454.09	629.35	902.89	665.29	358.54	441.64	872.1	371.22	346.29	759.08	339.14	450.94	429.54	603.67	890.44	616.37	299.25	417.77	409.15	1023.0	438.59	647.07	493.56	860.08	470.14	555.41	438.59	693.58	438.59	361.04	180.02	466.88	323.03	348.71	417.77	366.09	0.0
RPH3A	3.72	1.89	1.41	3.63	0.41	2.66	6.36	2.29	15.11	3.5	3.53	4.86	7.06	2.56	0.69	5.82	6.06	1.71	2.76	9.48	1.69	9.93	2.36	1.04	11.04	14.14	18.7	11.64	3.59	9.7	13.32	3.72	0.42	8.85	3.69	9.27	3.96	8.19	3.5	11.38	1.01	6.57	7.82	44.57	2.29	9.48	5.87	7.4	6.57	10.71	2.61	9.06	0.75	1.57	0.84	0.0	0.4	3.35	1.81	0.77	0.0
RRAD	72.01	49.21	43.32	87.65	34.02	87.03	423.61	23.76	406.31	26.1	102.25	361.04	198.47	136.19	44.89	223.41	66.18	45.85	48.52	82.87	18.84	289.02	45.53	23.25	94.01	463.65	246.28	297.17	29.06	62.56	291.04	41.52	70.51	285.03	36.79	122.64	21.01	201.25	124.37	102.97	21.01	29.06	82.29	389.72	31.45	197.09	186.4	260.38	128.79	265.87	57.49	258.57	24.46	33.54	159.9	26.1	36.79	68.55	39.79	44.57	0.0
SCARA3	211.31	52.82	48.52	84.04	47.84	218.79	633.73	61.68	412.0	51.35	186.4	409.15	633.73	23.08	152.28	307.69	54.72	46.18	84.04	117.6	51.71	444.72	108.9	94.01	172.65	866.07	848.22	620.67	63.89	82.87	738.29	73.03	32.13	928.3	57.89	186.4	65.72	348.71	470.14	255.0	70.51	78.34	312.0	320.8	50.63	314.17	242.88	423.61	107.38	406.31	148.09	480.04	78.89	30.34	77.79	16.03	96.68	107.38	122.64	169.07	0.0
SCARA5	830.75	205.5	878.17	231.32	480.04	575.03	3419.52	379.04	9151.82	728.11	954.43	2417.67	4010.71	125.24	1295.13	974.5	493.56	460.44	493.56	507.46	612.11	5594.3	1340.84	480.04	1977.24	5112.16	567.1	1030.12	387.02	1519.15	8778.97	314.17	189.02	4181.07	444.72	2720.15	802.41	1583.71	3372.43	1697.45	540.19	511.0	679.29	3928.15	379.04	1199.98	2119.22	2855.44	1111.82	3325.99	457.25	5995.9	426.57	119.26	106.63	16.03	7.75	39.22	90.77	120.94	35.25
SCGN	332.14	102.25	140.04	170.25	183.82	182.55	974.5	75.11	4607.24	130.6	289.02	974.5	2090.03	161.02	114.36	693.58	220.32	169.07	277.2	540.19	145.02	1685.71	265.87	147.06	490.14	4869.99	1208.34	325.29	115.97	170.25	2796.65	297.17	62.12	1733.13	289.02	358.54	177.53	547.75	476.71	587.13	128.79	126.12	414.87	470.14	255.0	638.15	802.41	397.93	878.17	1697.45	189.02	921.88	104.42	105.15	195.72	57.49	7.4	143.01	99.43	106.63	0.0
SCN11A	8.99	2.1	4.5	4.46	5.02	7.0	30.56	2.14	34.02	3.72	9.06	13.83	27.05	3.79	3.66	9.85	6.78	3.5	7.88	8.13	4.1	29.06	6.84	3.72	12.93	43.63	31.45	14.24	3.82	5.73	31.67	5.77	0.99	46.84	5.15	16.88	7.06	11.82	11.91	18.03	2.76	4.31	13.52	53.95	3.44	15.56	13.93	17.25	19.97	21.32	5.87	14.67	3.63	2.51	2.05	1.11	2.2	4.03	3.56	4.66	0.0
SDCCAG8	320.8	271.48	312.0	318.57	341.51	406.31	733.19	231.32	532.74	260.38	305.55	473.41	603.67	279.14	320.8	583.07	314.17	264.03	277.2	397.93	228.13	703.28	289.02	281.09	429.54	728.11	854.13	547.75	287.01	323.03	819.3	255.0	279.14	493.56	279.14	316.37	246.28	373.81	493.56	470.14	260.38	336.79	389.72	532.74	303.44	470.14	371.22	547.75	358.54	660.68	277.2	607.87	267.73	269.6	571.05	246.28	297.17	297.17	796.86	738.29	607.87
SFRP1	612.11	76.17	127.89	86.43	41.52	232.94	1991.0	48.87	2193.99	156.59	454.09	490.14	1832.01	40.93	400.71	490.14	139.07	66.65	417.77	165.57	92.7	1733.13	305.55	129.69	138.1	4298.64	733.19	400.71	395.18	166.73	2240.11	64.8	19.68	4543.8	45.21	703.28	175.07	638.15	708.18	738.29	27.84	76.71	450.94	3212.66	96.01	679.29	902.89	1551.09	629.35	1819.35	429.54	2400.97	133.36	18.29	105.15	24.28	29.91	14.89	178.77	157.68	0.0
SFRP2	1936.53	753.83	432.53	256.78	76.17	6426.31	17681.08	25.72	5913.33	47.5	4869.99	7280.4	15075.35	59.13	1051.79	2739.08	209.84	332.14	2018.8	199.85	143.01	18560.17	2384.37	915.51	2956.17	55877.28	4481.23	1963.57	258.57	480.04	62865.33	151.22	8.51	27938.14	583.07	5995.9	51.71	4972.34	13215.02	2209.26	29.7	336.79	3716.2	2075.59	50.98	2645.74	5711.87	5006.93	5147.73	15075.35	2047.0	20881.4	71.5	11.73	0.58	8.32	0.0	5.54	11.3	3.14	0.0
SHC3	4.58	0.6	3.47	1.41	2.32	3.86	22.92	0.0	42.11	2.76	3.5	14.56	35.0	1.6	10.47	12.09	4.17	1.87	3.82	14.78	2.58	33.3	6.62	0.91	13.52	44.89	23.42	9.56	2.86	8.19	44.89	1.23	0.13	33.06	9.34	13.42	3.82	10.16	7.11	13.52	2.23	0.92	12.0	24.28	1.58	17.64	7.51	8.78	10.47	15.56	1.39	19.11	3.0	0.0	1.31	0.65	0.0	1.41	0.0	0.0	0.0
SHE	125.24	36.79	76.17	78.34	61.68	73.03	769.69	84.63	633.73	59.13	64.34	162.14	214.27	77.25	73.54	95.34	91.41	68.07	46.18	125.24	55.1	332.14	46.18	35.0	111.99	497.0	323.03	115.16	66.18	115.97	366.09	38.4	26.1	423.61	59.97	100.13	58.71	130.6	172.65	189.02	31.0	31.0	87.03	242.88	58.71	117.6	145.02	231.32	121.79	295.11	45.21	503.95	67.59	56.28	277.2	63.0	58.71	81.71	314.17	214.27	0.0
SLC17A7	39.79	10.63	16.27	12.83	15.11	25.35	126.12	10.24	131.51	6.41	28.45	51.35	78.34	7.51	43.02	36.27	15.8	12.36	11.91	23.59	10.79	90.77	32.82	12.45	35.76	142.01	40.93	35.5	17.38	27.25	94.01	10.0	7.34	109.66	10.88	44.89	16.51	36.79	63.0	30.56	14.35	7.94	38.67	64.34	10.31	50.63	32.82	59.97	34.51	71.5	12.09	94.67	7.82	16.39	2.89	1.87	4.54	7.28	3.23	2.51	0.0
SLIT3	395.18	64.34	90.77	104.42	35.0	356.05	836.53	26.67	1088.92	62.56	231.32	476.71	954.43	34.75	237.86	432.53	92.7	64.8	145.02	96.01	44.57	785.88	143.01	102.25	289.02	1359.57	624.99	497.0	97.36	113.56	1662.49	37.85	10.55	1208.34	90.14	423.61	46.18	336.79	723.08	454.09	38.12	61.25	265.87	563.18	31.45	323.03	409.15	796.86	371.22	934.76	190.34	836.53	80.01	16.63	66.18	5.23	8.58	48.18	88.88	28.45	0.0
