	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.XLM4.0726.SM.4AT64	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
STRN4	1304.15	1313.23	1427.22	1651.0	1268.46	1427.22	1183.45	1331.57	1191.69	1407.55	1175.27	915.51	947.83	878.17	674.59	1044.52	928.3	743.43	947.83	836.53	941.27	848.22	890.44	780.44	954.43	872.1
SV2A	285.03	336.79	232.94	217.27	127.0	204.07	237.86	142.01	316.37	108.14	201.25	52.82	17.51	84.63	28.04	88.26	197.09	68.07	70.01	53.57	50.27	37.85	66.65	103.69	78.89	48.18
TDO2	76.17	0.28	43.63	28.86	21.63	36.01	43.02	38.12	6.67	33.06	43.63	8.32	4.43	0.0	0.0	0.0	4.78	4.17	0.62	20.56	0.0	0.0	0.0	1.11	1.1	1.43
TG	294926.33	857631.47	305326.92	194578.47	783730.52	241220.67	794671.01	932018.1	1085552.95	163620.18	606436.73	2247670.86	2126426.15	2111737.85	1204496.53	1838374.44	1997825.68	2986448.72	2636147.11	2263304.65	2111737.85	1800541.22	3178687.03	3886391.01	2263304.65	2672946.37
TGFBI	5872.48	2627.46	3124.78	4358.66	2875.3	3564.78	3690.52	2915.45	2061.24	2915.45	1119.56	379.04	363.56	297.17	303.44	400.71	785.88	1183.45	307.69	708.18	336.79	148.09	229.72	100.13	409.15	246.28
TIAM1	665.29	384.34	620.67	733.19	303.44	450.94	187.71	318.57	204.07	327.56	228.13	64.34	38.67	1.06	21.47	9.56	16.15	32.59	6.01	58.3	19.11	3.14	15.11	21.78	15.22	38.67
TMC6	2701.35	1081.39	2434.5	2796.65	1295.13	3515.68	1216.75	1073.91	1073.91	2777.33	1051.79	164.42	246.28	191.67	36.53	403.5	273.37	195.72	157.68	371.22	127.89	46.84	94.01	113.56	157.68	307.69
TMC8	583.07	140.04	444.72	525.39	187.71	878.17	171.45	132.44	153.34	414.87	147.06	30.34	57.89	24.63	11.73	52.45	69.52	46.18	13.72	86.43	30.12	23.42	16.39	19.25	35.5	131.51
TMEM110	265.87	285.03	323.03	295.11	343.89	373.81	262.2	262.2	314.17	275.28	271.48	201.25	224.97	190.34	151.22	229.72	320.8	220.32	182.55	214.27	183.82	271.48	205.5	214.27	271.48	187.71
TMEM173	2777.33	1857.6	3257.52	4328.55	1721.16	3081.75	2104.58	1794.29	1721.16	2664.15	2178.83	647.07	540.19	107.38	341.51	376.41	381.68	607.87	186.4	587.13	384.34	209.84	267.73	403.5	432.53	591.22
TMEM51	212.78	190.34	255.0	339.14	262.2	189.02	307.69	209.84	205.5	320.8	206.94	119.26	116.78	38.4	73.54	75.11	90.14	68.55	88.26	155.5	88.88	71.0	57.49	73.03	87.65	98.04
TNFRSF10B	1143.1	1015.93	1651.0	1519.15	698.41	1313.23	713.11	802.41	759.08	1498.22	1135.2	348.71	466.88	954.43	500.46	612.11	551.56	743.43	351.14	312.0	551.56	595.34	518.15	493.56	460.44	583.07
TNFRSF10C	314.17	540.19	583.07	543.96	204.07	368.65	476.71	260.38	260.38	343.89	521.76	45.53	57.08	122.64	135.24	128.79	87.65	90.14	68.55	32.13	80.01	87.65	181.28	116.78	52.08	175.07
TNFSF13	1427.22	1617.0	1378.57	1594.73	1295.13	1378.57	1199.98	1051.79	1313.23	1001.93	1295.13	884.29	830.75	511.0	884.29	775.05	947.83	1059.11	1001.93	836.53	603.67	599.49	796.86	660.68	728.11	1216.75
TREM1	327.56	476.71	397.93	947.83	314.17	159.9	363.56	241.19	309.83	490.14	128.79	14.45	7.94	40.64	20.41	27.44	4.9	214.27	22.92	23.59	24.11	5.28	7.46	18.7	13.72	312.0
TRIM47	954.43	1529.73	1498.22	2193.99	1044.52	1923.14	1242.34	842.36	995.0	2367.9	842.36	303.44	327.56	127.89	125.24	198.47	320.8	236.21	283.05	279.14	239.52	214.27	264.03	256.78	154.42	473.41
TUBG2	947.83	743.43	808.0	669.92	521.76	947.83	775.05	848.22	775.05	708.18	890.44	497.0	497.0	693.58	423.61	723.08	460.44	854.13	420.68	500.46	454.09	476.71	346.29	438.59	371.22	638.15
TUSC3	2682.69	1340.84	2119.22	2032.85	1143.1	1529.73	860.08	866.07	780.44	1857.6	1023.0	318.57	103.69	131.51	176.29	147.06	190.34	115.16	102.25	90.77	134.3	36.01	105.89	89.51	633.73	53.95
UBE2I	3212.66	2777.33	3103.19	2895.31	2255.7	3212.66	2520.38	2271.4	2468.49	3491.39	2520.38	2104.58	2163.77	2555.58	1561.89	1819.35	2061.24	2255.7	1844.76	1923.14	2119.22	1794.29	1628.26	1806.78	2417.67	1572.76
ULBP1	157.68	9.2	93.35	33.78	10.39	18.16	41.52	8.19	10.31	32.82	18.03	15.22	10.0	2.2	1.71	1.07	5.19	1.99	10.96	11.3	10.71	4.86	3.0	11.04	7.88	1.6
UNC5CL	211.31	42.41	131.51	98.73	111.99	96.01	87.65	66.18	57.89	153.34	24.99	18.16	58.3	17.9	3.96	14.78	25.72	31.67	17.38	37.32	18.56	15.22	11.38	22.1	14.03	11.55
UPP1	2537.92	988.12	1651.0	2935.74	1651.0	1583.71	1508.65	1322.37	759.08	2468.49	995.0	620.67	529.06	651.58	341.51	483.38	450.94	1757.34	409.15	463.65	438.59	387.02	438.59	356.05	438.59	371.22
