	TCGA.FJ.A871.01A.11R.A352.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.BH.A1EO.11A.31R.A137.07	GTEX.12WSK.2226.SM.5GCO5	GTEX.TSE9.2826.SM.4DXTF	GTEX.TML8.0726.SM.4DXTT	GTEX.S341.1126.SM.4AD6T	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.S4UY.1426.SM.4AD6Y	GTEX.TSE9.2726.SM.4DXSQ	TCGA.ZU.A8S4.01A.11R.A41I.07	TCGA.KN.8427.01A.11R.2315.07	TCGA.CW.6090.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.5671.01A.11R.1541.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.CZ.4860.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.4861.01A.01R.1305.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.CZ.5461.01A.01R.1503.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.DV.5565.01A.01R.1541.07	TCGA.CW.5590.01A.01R.1541.07	TCGA.CJ.6027.01A.11R.1672.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.CZ.4858.01A.01R.1305.07	TCGA.CZ.5454.01A.01R.1503.07	TCGA.B0.4814.01A.01R.1277.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.11PRG.0926.SM.5EGI8	GTEX.YJ8O.1826.SM.5HL82	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.DE.A4M9.01A.11R.A250.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.117XS.0526.SM.5987Q	GTEX.SN8G.1526.SM.4DM79	GTEX.POYW.0826.SM.2XCEM	GTEX.14AS3.0226.SM.5Q5B6	GTEX.147F4.0826.SM.5QGRB	GTEX.RNOR.0926.SM.2TF56	GTEX.SIU8.0626.SM.2XCDN	GTEX.T2IS.0626.SM.32QP6	GTEX.12ZZX.1226.SM.5EGHS	GTEX.ZDTS.0926.SM.4WAXG	GTEX.ZVZQ.0626.SM.59HJU	GTEX.PLZ4.1226.SM.2I5FE	GTEX.14A6H.2426.SM.5Q5BO	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13OVI.1026.SM.5L3EM	GTEX.N7MT.0726.SM.3TW8S	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.14BIM.2226.SM.5SI8Y	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.ZXES.0726.SM.5E451	GTEX.13W3W.1426.SM.5LU56	GTEX.1313W.2826.SM.5P9G1	GTEX.12WSD.2826.SM.59HKT	GTEX.T6MO.1526.SM.4DM57
LCN12	8.99	11.3	1.71	0.8	414.87	854.13	269.6	6935.54	13123.73	791.35	295.11	45.21	9.41	5.06	38.4	76.17	12.27	13.52	24.46	226.54	42.71	34.02	65.26	65.72	39.5	36.01	69.03	24.28	40.36	149.12	111.99	98.04	154.42	15.11	19.11	8.51	353.59	38.95	32.13	16.63	6.41	99.43	107.38	20.86	12.45	121.79	14.78	10.71	19.82	5913.33	5041.77	3768.09	5147.73	3928.15	1639.59	3716.2	6516.03	5791.62	3124.78	4123.49	3690.52	6561.36	5751.61	5791.62	5954.47	5594.3	24.28	759.08	1096.5	819.3	182.55	183.82	11.47	58.71	25.72	19.25	305.55	59.55	41.81
LRP2BP	14.56	12.27	7.57	14.24	107.38	22.26	19.68	43.94	115.16	19.11	65.26	13.03	7.17	15.56	10.16	29.7	20.86	10.96	9.48	15.91	12.83	9.63	88.26	21.32	22.92	31.0	24.28	10.24	16.88	28.86	92.05	38.67	30.12	16.39	10.88	14.89	105.15	34.02	20.41	25.17	15.11	7.88	15.45	20.56	20.41	50.27	48.52	33.54	109.66	95.34	96.68	180.02	122.64	106.63	152.28	59.55	133.36	62.56	129.69	109.66	79.45	102.25	164.42	69.52	59.13	78.34	29.27	94.01	126.12	32.82	5.77	80.57	26.86	33.06	19.25	25.35	68.07	59.97	21.94
LSMEM1	22.92	8.65	39.22	29.27	48.87	18.7	29.06	34.75	21.63	27.44	53.95	13.62	11.55	50.98	39.22	35.0	5.82	7.88	24.63	8.45	53.57	11.91	91.41	14.78	39.79	32.36	17.25	25.35	8.51	11.64	100.13	26.1	21.32	7.51	17.77	16.63	82.29	43.63	18.56	29.48	19.25	5.15	15.45	123.5	10.71	66.18	37.05	84.04	31.0	86.43	59.55	55.49	47.17	50.27	166.73	100.13	32.13	55.1	39.79	56.68	49.56	47.5	56.28	73.54	48.52	59.55	28.86	40.93	53.57	17.38	11.47	54.33	9.34	20.56	23.59	34.26	11.82	49.56	23.42
LY6G5B	121.79	96.01	43.02	152.28	144.01	55.49	154.42	162.14	139.07	101.54	157.68	95.34	38.95	50.27	23.59	249.73	9.34	17.77	10.0	18.03	28.45	24.28	426.57	26.47	63.89	64.8	11.82	36.01	22.92	27.25	181.28	55.89	38.67	23.59	30.56	22.92	567.1	57.08	55.89	46.84	32.59	21.94	15.45	64.8	14.78	221.86	87.03	65.26	148.09	316.37	287.01	406.31	133.36	297.17	316.37	265.87	186.4	312.0	228.13	131.51	136.19	102.25	201.25	167.9	285.03	234.57	332.14	165.57	264.03	176.29	17.51	116.78	90.77	149.12	287.01	169.07	140.04	325.29	152.28
MAATS1	14.67	12.36	22.1	32.82	246.28	16.03	63.45	169.07	890.44	69.03	228.13	22.92	5.87	73.54	40.36	172.65	55.1	117.6	27.25	49.21	80.01	56.68	52.82	24.63	45.85	51.71	36.27	44.89	21.16	102.97	45.85	57.08	65.72	83.45	75.64	29.7	309.83	38.67	33.3	85.82	66.18	81.14	75.64	30.34	30.34	124.37	108.14	33.06	397.93	301.33	120.1	454.09	173.85	480.04	521.76	435.55	249.73	346.29	373.81	212.78	236.21	202.66	293.07	521.76	476.71	551.56	255.0	708.18	3124.78	684.02	35.0	679.29	42.71	21.63	470.14	34.51	915.51	1407.55	42.11
MAN2A2	143.01	289.02	703.28	356.05	674.59	307.69	466.88	651.58	429.54	346.29	748.61	432.53	258.57	318.57	186.4	432.53	381.68	438.59	454.09	305.55	305.55	454.09	785.88	379.04	540.19	438.59	309.83	271.48	373.81	248.0	941.27	232.94	316.37	525.39	299.25	387.02	909.17	493.56	420.68	616.37	397.93	262.2	224.97	432.53	373.81	647.07	341.51	283.05	387.02	1369.04	947.83	1167.14	934.76	947.83	1508.65	1030.12	808.0	941.27	1030.12	698.41	836.53	743.43	728.11	791.35	1015.93	1407.55	579.04	1037.29	1059.11	764.36	145.02	493.56	536.45	343.89	389.72	414.87	387.02	825.0	368.65
MAPKBP1	108.14	214.27	82.87	134.3	249.73	129.69	116.78	172.65	143.01	170.25	183.82	108.14	149.12	94.01	35.0	141.02	88.26	97.36	53.19	83.45	93.35	116.78	234.57	55.1	144.01	108.9	82.29	59.13	90.77	105.15	139.07	86.43	69.52	92.7	73.54	103.69	215.77	133.36	96.68	110.43	75.11	70.51	77.79	90.77	64.8	197.09	166.73	75.11	291.04	543.96	373.81	356.05	785.88	698.41	633.73	486.75	339.14	607.87	529.06	406.31	376.41	551.56	559.28	669.92	429.54	603.67	301.33	775.05	346.29	189.02	35.25	128.79	323.03	103.69	162.14	141.02	260.38	551.56	94.67
MTERFD2	470.14	420.68	563.18	476.71	543.96	525.39	620.67	848.22	860.08	490.14	587.13	457.25	299.25	551.56	293.07	647.07	450.94	583.07	571.05	591.22	346.29	483.38	780.44	674.59	511.0	575.03	693.58	633.73	638.15	595.34	656.11	463.65	476.71	595.34	406.31	708.18	1081.39	412.0	460.44	665.29	353.59	521.76	571.05	438.59	647.07	941.27	819.3	420.68	902.89	1936.53	2417.67	1733.13	1151.06	825.0	2004.85	1923.14	1407.55	1909.85	1277.29	1963.57	1427.22	1143.1	1572.76	1437.15	1628.26	2664.15	791.35	825.0	1066.48	1119.56	470.14	1096.5	638.15	660.68	693.58	638.15	1519.15	1119.56	738.29
MTMR8	22.26	8.45	21.01	21.32	80.01	11.64	26.67	6.89	27.25	1.81	41.22	9.41	2.36	17.51	14.35	24.81	16.51	20.71	10.08	18.43	8.58	27.05	22.1	3.63	17.51	26.67	24.46	8.38	12.64	25.54	15.56	12.18	5.5	19.53	13.83	29.06	15.45	30.34	8.51	8.58	14.78	21.78	13.32	5.36	18.84	14.35	85.82	26.1	73.03	28.45	15.34	12.74	29.06	31.45	60.82	28.65	22.59	37.32	24.81	37.32	27.44	28.86	40.93	22.43	23.42	18.43	4.31	80.57	70.51	50.98	15.8	187.71	60.82	14.14	11.73	43.63	62.56	126.12	86.43
MTRF1	129.69	127.0	112.77	52.82	100.13	81.71	82.87	301.33	228.13	87.03	116.78	110.43	95.34	81.14	73.54	114.36	86.43	158.79	94.67	97.36	82.87	94.01	251.48	105.89	97.36	108.14	116.78	108.14	67.59	101.54	127.89	63.89	111.21	132.44	90.14	138.1	226.54	109.66	87.03	92.7	106.63	65.72	94.01	102.25	123.5	194.36	105.15	87.03	122.64	102.97	165.57	193.01	161.02	214.27	181.28	412.0	143.01	229.72	307.69	229.72	224.97	153.34	258.57	281.09	303.44	379.04	150.17	154.42	177.53	191.67	61.68	198.47	79.45	82.29	61.68	122.64	246.28	183.82	75.11
N4BP2L2	441.64	473.41	974.5	1233.75	1023.0	825.0	1340.84	1870.53	2193.99	1119.56	1286.18	493.56	521.76	860.08	460.44	819.3	642.59	967.76	583.07	647.07	403.5	679.29	1561.89	587.13	1304.15	1286.18	848.22	616.37	656.11	723.08	1088.92	503.95	796.86	808.0	438.59	775.05	1857.6	830.75	684.02	813.63	836.53	1023.0	738.29	753.83	808.0	1572.76	1781.89	934.76	1674.06	890.44	1685.71	2018.8	1697.45	1806.78	2090.03	2758.13	1794.29	2178.83	2271.4	1572.76	1883.54	1477.58	2133.97	3491.39	1936.53	2739.08	1769.57	1991.0	1832.01	1561.89	708.18	1551.09	813.63	1225.22	1745.2	1143.1	1963.57	2163.77	1233.75
NAA16	48.52	112.77	146.03	289.02	414.87	185.11	409.15	381.68	403.5	316.37	521.76	92.05	137.14	111.99	68.07	120.94	88.26	127.0	65.26	89.51	62.12	149.12	153.34	65.72	96.01	104.42	119.26	60.82	103.69	108.14	149.12	75.11	104.42	118.43	111.99	110.43	248.0	166.73	167.9	127.0	143.01	88.26	102.25	146.03	94.01	176.29	309.83	113.56	171.45	148.09	206.94	226.54	159.9	182.55	536.45	277.2	172.65	291.04	351.14	194.36	253.23	152.28	246.28	193.01	237.86	289.02	339.14	480.04	470.14	371.22	275.28	651.58	125.24	182.55	244.57	224.97	460.44	323.03	241.19
NAPB	44.25	68.07	85.82	127.89	287.01	121.79	153.34	175.07	229.72	148.09	318.57	72.52	159.9	83.45	80.57	153.34	74.58	156.59	87.03	60.82	71.5	72.01	157.68	98.04	136.19	98.73	72.01	50.27	100.83	106.63	99.43	59.55	97.36	84.04	91.41	94.67	205.5	106.63	61.68	95.34	91.41	73.03	71.5	536.45	100.83	130.6	215.77	127.89	182.55	242.88	241.19	305.55	226.54	204.07	432.53	318.57	178.77	214.27	289.02	197.09	246.28	191.67	232.94	223.41	251.48	291.04	157.68	264.03	325.29	255.0	137.14	297.17	90.14	156.59	151.22	156.59	255.0	277.2	155.5
NBPF15	237.86	368.65	144.01	327.56	457.25	547.75	65.72	220.32	88.26	320.8	507.46	275.28	753.83	417.77	249.73	764.36	242.88	246.28	293.07	223.41	275.28	403.5	988.12	307.69	447.82	507.46	397.93	199.85	332.14	476.71	624.99	214.27	332.14	490.14	339.14	381.68	703.28	353.59	127.89	363.56	423.61	242.88	221.86	780.44	85.82	902.89	351.14	277.2	384.34	435.55	429.54	872.1	896.64	713.11	1572.76	1175.27	1096.5	988.12	890.44	819.3	802.41	909.17	836.53	1059.11	1151.06	967.76	599.49	547.75	872.1	536.45	100.13	830.75	432.53	289.02	329.84	463.65	764.36	1268.46	156.59
NFRKB	189.02	176.29	141.02	289.02	287.01	275.28	285.03	379.04	327.56	271.48	295.11	241.19	178.77	253.23	102.25	314.17	236.21	248.0	96.68	162.14	138.1	214.27	264.03	193.01	239.52	221.86	214.27	148.09	214.27	260.38	232.94	121.79	139.07	199.85	291.04	232.94	320.8	176.29	143.01	153.34	220.32	120.1	173.85	167.9	185.11	389.72	301.33	186.4	381.68	514.56	547.75	642.59	536.45	514.56	651.58	954.43	493.56	624.99	543.96	603.67	525.39	490.14	480.04	1001.93	525.39	583.07	432.53	579.04	669.92	540.19	151.22	466.88	220.32	169.07	332.14	325.29	486.75	599.49	339.14
NKTR	146.03	177.53	197.09	381.68	848.22	327.56	579.04	669.92	638.15	669.92	947.83	223.41	285.03	98.04	147.06	473.41	100.83	108.14	79.45	115.97	132.44	120.1	1001.93	90.77	336.79	208.38	84.04	112.77	154.42	167.9	423.61	264.03	133.36	125.24	140.04	130.6	1340.84	291.04	167.9	248.0	170.25	209.84	75.64	264.03	94.01	371.22	651.58	134.3	660.68	1225.22	1001.93	1674.06	1167.14	1183.45	2193.99	1437.15	1175.27	791.35	1832.01	743.43	866.07	723.08	947.83	1250.98	954.43	1135.2	915.51	1340.84	1295.13	748.61	159.9	616.37	198.47	387.02	698.41	497.0	854.13	1059.11	381.68
NOXRED1	2.61	6.73	1.53	2.61	4.74	1.62	2.92	24.46	30.56	10.55	1.36	9.78	1.71	6.01	3.38	14.89	3.99	6.89	5.11	4.46	3.72	5.92	24.28	2.94	6.26	5.92	3.35	4.66	5.82	7.69	6.62	8.06	5.92	3.26	8.32	1.31	32.82	5.63	3.5	4.17	4.03	0.84	1.51	5.02	2.23	29.27	1.25	2.14	9.13	24.99	11.55	31.9	28.65	30.34	18.7	40.07	21.01	31.45	37.85	17.13	25.17	14.56	25.72	31.9	26.28	33.78	3.35	15.11	12.55	4.46	6.46	5.41	2.76	7.69	14.45	11.21	13.72	14.78	6.21
NPHP3	48.52	256.78	157.68	341.51	529.06	271.48	297.17	371.22	392.44	301.33	559.28	191.67	444.72	175.07	108.14	368.65	122.64	72.52	101.54	82.29	67.59	183.82	521.76	92.05	158.79	267.73	80.01	145.02	156.59	197.09	301.33	141.02	146.03	96.68	348.71	108.14	583.07	149.12	78.34	187.71	101.54	181.28	146.03	133.36	127.89	540.19	587.13	123.5	591.22	480.04	521.76	733.19	358.54	733.19	1059.11	728.11	620.67	547.75	738.29	551.56	497.0	624.99	503.95	1250.98	830.75	642.59	423.61	854.13	728.11	616.37	123.5	633.73	146.03	180.02	323.03	320.8	633.73	819.3	264.03
NPIPA1	1199.98	1199.98	688.78	791.35	1936.53	1551.09	1199.98	1572.76	1437.15	1096.5	1977.24	1135.2	629.35	595.34	246.28	1216.75	214.27	718.08	163.28	279.14	348.71	525.39	2163.77	224.97	620.67	454.09	197.09	346.29	260.38	633.73	1651.0	947.83	743.43	325.29	371.22	318.57	4210.15	836.53	412.0	583.07	551.56	260.38	423.61	1572.76	234.57	1208.34	1883.54	902.89	2777.33	2319.15	836.53	2148.82	2193.99	3146.52	5517.27	3515.68	2255.7	2451.44	1936.53	1923.14	1794.29	1757.34	2796.65	2555.58	3395.89	2720.15	1437.15	3928.15	2956.17	2591.27	703.28	2758.13	1295.13	1369.04	1388.16	1551.09	2777.33	4450.27	1457.23
NR2C1	316.37	514.56	497.0	660.68	1208.34	503.95	529.06	698.41	723.08	476.71	1250.98	389.72	728.11	476.71	454.09	665.29	547.75	426.57	583.07	395.18	414.87	285.03	848.22	325.29	514.56	511.0	435.55	426.57	532.74	503.95	551.56	454.09	368.65	490.14	466.88	309.83	1268.46	381.68	336.79	457.25	403.5	629.35	343.89	450.94	185.11	703.28	567.1	441.64	575.03	2915.45	1135.2	2255.7	884.29	780.44	1605.83	1175.27	738.29	967.76	988.12	791.35	693.58	603.67	1127.35	1127.35	947.83	1143.1	679.29	1397.83	1322.37	890.44	387.02	967.76	358.54	473.41	733.19	536.45	836.53	1111.82	620.67
PAN2	373.81	368.65	253.23	264.03	860.08	406.31	384.34	769.69	688.78	341.51	733.19	435.55	358.54	334.46	224.97	1259.69	417.77	638.15	409.15	193.01	409.15	309.83	2255.7	190.34	559.28	363.56	303.44	236.21	325.29	429.54	941.27	293.07	265.87	414.87	483.38	299.25	2319.15	497.0	279.14	536.45	228.13	249.73	220.32	438.59	334.46	1304.15	848.22	299.25	941.27	2555.58	2400.97	1991.0	2400.97	2434.5	4802.93	2915.45	1819.35	1674.06	1709.26	1628.26	1651.0	1313.23	2485.67	3212.66	2061.24	2193.99	928.3	1477.58	1674.06	1183.45	199.85	967.76	363.56	307.69	507.46	400.71	1008.9	1191.69	466.88
PAXBP1	173.85	242.88	189.02	320.8	497.0	301.33	299.25	397.93	371.22	299.25	493.56	152.28	329.84	389.72	100.13	332.14	111.99	201.25	115.16	157.68	197.09	177.53	466.88	204.07	237.86	255.0	115.97	115.97	161.02	169.07	373.81	249.73	181.28	214.27	185.11	149.12	713.11	209.84	186.4	234.57	307.69	158.79	113.56	215.77	154.42	343.89	371.22	156.59	343.89	595.34	679.29	808.0	514.56	536.45	733.19	785.88	387.02	358.54	612.11	457.25	409.15	305.55	532.74	915.51	536.45	629.35	490.14	642.59	651.58	438.59	183.82	500.46	173.85	204.07	358.54	279.14	514.56	633.73	293.07
PHF11	376.41	395.18	1119.56	633.73	1529.73	802.41	769.69	1709.26	1250.98	532.74	1870.53	1151.06	366.09	866.07	738.29	518.15	633.73	684.02	723.08	947.83	463.65	665.29	2255.7	555.41	902.89	1081.39	836.53	941.27	791.35	743.43	587.13	915.51	909.17	674.59	688.78	1015.93	1127.35	961.07	796.86	723.08	896.64	802.41	1135.2	813.63	961.07	842.36	1183.45	1242.34	1572.76	961.07	1745.2	1794.29	1950.0	1950.0	3303.0	2018.8	1561.89	1594.73	1685.71	1923.14	1794.29	1159.07	2591.27	1977.24	2075.59	2335.28	1059.11	2935.74	1794.29	1605.83	591.22	1617.0	713.11	525.39	902.89	1044.52	2148.82	1936.53	1081.39
PIBF1	187.71	358.54	256.78	273.37	358.54	473.41	341.51	229.72	759.08	353.59	389.72	159.9	159.9	221.86	189.02	205.5	218.79	295.11	158.79	212.78	142.01	141.02	260.38	312.0	258.57	260.38	177.53	299.25	162.14	209.84	212.78	228.13	269.6	212.78	132.44	142.01	218.79	253.23	204.07	239.52	249.73	186.4	232.94	229.72	215.77	412.0	361.04	291.04	473.41	262.2	318.57	543.96	332.14	447.82	698.41	283.05	473.41	312.0	318.57	341.51	253.23	384.34	395.18	599.49	381.68	320.8	329.84	785.88	802.41	629.35	836.53	995.0	299.25	224.97	180.02	529.06	660.68	403.5	221.86
PLA2G6	114.36	220.32	148.09	191.67	674.59	575.03	417.77	1794.29	1331.57	728.11	579.04	336.79	295.11	107.38	67.59	656.11	95.34	169.07	40.64	72.52	170.25	241.19	1388.16	180.02	371.22	133.36	55.49	84.63	90.14	133.36	629.35	146.03	212.78	76.71	74.06	86.43	1806.78	229.72	81.14	165.57	157.68	127.89	67.12	226.54	79.45	796.86	460.44	287.01	738.29	3060.45	2468.49	1369.04	2148.82	3124.78	1183.45	3690.52	1572.76	3168.41	2287.2	1819.35	1407.55	1359.57	3395.89	4512.4	3564.78	3982.99	909.17	2796.65	1685.71	1467.37	212.78	543.96	226.54	624.99	967.76	376.41	1268.46	1199.98	457.25
PLCG1	1331.57	1268.46	599.49	679.29	2224.63	728.11	1457.23	1498.22	1407.55	1709.26	1923.14	830.75	1331.57	409.15	376.41	1183.45	575.03	429.54	450.94	547.75	688.78	909.17	1477.58	954.43	1073.91	511.0	575.03	563.18	947.83	909.17	1159.07	684.02	403.5	674.59	591.22	563.18	2148.82	915.51	633.73	915.51	470.14	493.56	575.03	688.78	444.72	753.83	1233.75	954.43	1594.73	1936.53	1651.0	1487.87	1175.27	1639.59	2209.26	1709.26	1066.48	1277.29	1950.0	1216.75	1073.91	1127.35	1477.58	1529.73	1208.34	1870.53	1617.0	6561.36	2335.28	1286.18	435.55	1870.53	808.0	708.18	1427.22	866.07	1427.22	1936.53	759.08
PNISR	703.28	1001.93	633.73	1066.48	1936.53	1119.56	1159.07	1857.6	1498.22	947.83	2018.8	595.34	476.71	514.56	339.14	1322.37	395.18	318.57	285.03	395.18	301.33	395.18	1540.37	379.04	473.41	642.59	389.72	470.14	536.45	395.18	1628.26	713.11	486.75	595.34	532.74	438.59	3540.14	587.13	447.82	599.49	423.61	329.84	406.31	543.96	466.88	1950.0	1977.24	941.27	1977.24	3419.52	3280.18	4937.99	3794.3	5479.15	4972.34	5913.33	3018.3	2720.15	3614.55	2682.69	4010.71	2976.74	3928.15	6561.36	3716.2	4095.0	1991.0	3146.52	3235.01	2335.28	591.22	2417.67	909.17	967.76	1662.49	1183.45	2367.9	3146.52	1359.57
POGZ	271.48	397.93	341.51	483.38	854.13	713.11	633.73	872.1	872.1	688.78	836.53	336.79	529.06	450.94	236.21	620.67	406.31	414.87	295.11	363.56	406.31	384.34	967.76	269.6	473.41	409.15	346.29	303.44	476.71	339.14	848.22	595.34	400.71	351.14	420.68	426.57	1427.22	571.05	525.39	563.18	373.81	305.55	361.04	529.06	500.46	759.08	1135.2	830.75	1350.18	1225.22	1477.58	1806.78	2032.85	1447.15	1950.0	1844.76	1322.37	1605.83	1388.16	1008.9	1572.76	1233.75	2104.58	1769.57	1909.85	1883.54	759.08	2133.97	1832.01	2004.85	312.0	1183.45	525.39	647.07	947.83	607.87	1819.35	2148.82	599.49
POU6F1	82.87	178.77	163.28	186.4	679.29	297.17	318.57	454.09	351.14	376.41	684.02	111.99	150.17	279.14	114.36	223.41	224.97	176.29	139.07	170.25	88.88	237.86	287.01	116.78	180.02	153.34	197.09	161.02	173.85	198.47	244.57	158.79	209.84	176.29	165.57	130.6	454.09	167.9	165.57	189.02	94.67	269.6	149.12	256.78	152.28	297.17	348.71	348.71	371.22	457.25	563.18	447.82	397.93	540.19	599.49	490.14	307.69	454.09	392.44	376.41	500.46	305.55	503.95	518.15	497.0	450.94	521.76	1001.93	988.12	728.11	198.47	624.99	189.02	135.24	389.72	279.14	708.18	1175.27	221.86
PRKCQ	95.34	1.95	10.71	5.73	50.27	236.21	49.56	106.63	133.36	159.9	32.82	28.24	24.46	61.25	127.89	191.67	62.12	55.89	31.67	123.5	19.68	63.0	49.56	16.51	297.17	54.33	99.43	24.81	158.79	346.29	37.59	115.16	42.11	231.32	30.34	106.63	111.99	106.63	19.11	51.71	121.79	447.82	273.37	64.34	134.3	68.55	29.06	93.35	109.66	316.37	406.31	358.54	476.71	529.06	314.17	473.41	813.63	536.45	291.04	559.28	441.64	199.85	620.67	525.39	423.61	332.14	13.93	48.87	69.03	70.01	5.11	100.83	69.52	27.44	106.63	18.43	74.06	32.82	34.51
PRKX	181.28	217.27	180.02	150.17	289.02	113.56	237.86	1044.52	1037.29	117.6	363.56	149.12	182.55	159.9	246.28	567.1	470.14	149.12	279.14	336.79	80.57	271.48	620.67	273.37	299.25	351.14	170.25	205.5	283.05	414.87	277.2	155.5	142.01	301.33	241.19	295.11	728.11	334.46	194.36	297.17	229.72	521.76	242.88	132.44	248.0	242.88	124.37	579.04	206.94	314.17	341.51	638.15	988.12	2163.77	1001.93	759.08	738.29	733.19	579.04	1359.57	616.37	521.76	591.22	1242.34	825.0	854.13	127.0	688.78	229.72	108.14	141.02	285.03	73.03	116.78	148.09	197.09	175.07	249.73	187.71
PROX2	0.88	0.0	1.17	1.41	5.15	4.74	3.72	10.16	23.08	2.58	7.06	0.66	1.39	1.93	1.53	7.34	1.64	2.01	2.78	2.89	0.43	2.03	5.32	0.77	2.78	0.82	1.14	3.44	3.53	3.53	7.11	4.28	1.89	1.48	1.23	0.46	19.25	4.58	2.39	3.06	1.87	2.92	1.16	2.34	0.77	3.23	6.94	6.11	7.34	7.06	9.41	8.65	5.63	12.64	19.82	17.38	8.99	15.68	16.39	6.06	5.96	7.69	11.73	22.43	10.63	16.51	6.31	12.45	20.71	8.78	1.28	4.46	1.68	1.11	4.74	3.23	12.55	18.7	2.39
PRPF38B	329.84	466.88	376.41	429.54	297.17	503.95	642.59	947.83	902.89	543.96	400.71	490.14	559.28	379.04	358.54	759.08	275.28	218.79	285.03	366.09	267.73	441.64	872.1	316.37	470.14	587.13	305.55	341.51	518.15	409.15	629.35	454.09	366.09	429.54	327.56	500.46	896.64	575.03	525.39	417.77	460.44	215.77	363.56	563.18	525.39	497.0	708.18	463.65	543.96	629.35	728.11	1191.69	878.17	693.58	1447.15	1081.39	698.41	860.08	890.44	753.83	974.5	579.04	866.07	830.75	1059.11	1199.98	708.18	525.39	642.59	607.87	575.03	775.05	438.59	890.44	902.89	698.41	684.02	599.49	723.08
PRPF39	234.57	271.48	267.73	325.29	412.0	361.04	423.61	532.74	507.46	384.34	466.88	187.71	244.57	214.27	147.06	348.71	118.43	212.78	118.43	132.44	121.79	135.24	353.59	214.27	215.77	226.54	136.19	171.45	162.14	151.22	371.22	273.37	156.59	215.77	183.82	158.79	698.41	228.13	248.0	305.55	199.85	108.9	127.0	237.86	182.55	363.56	412.0	103.69	381.68	599.49	543.96	819.3	536.45	607.87	1167.14	796.86	463.65	486.75	642.59	579.04	579.04	457.25	684.02	698.41	688.78	674.59	591.22	638.15	775.05	529.06	287.01	802.41	303.44	255.0	497.0	339.14	679.29	866.07	348.71
PTCD3	346.29	473.41	480.04	532.74	536.45	429.54	457.25	476.71	480.04	529.06	540.19	473.41	1066.48	457.25	285.03	679.29	616.37	616.37	559.28	303.44	361.04	441.64	921.88	624.99	571.05	733.19	348.71	249.73	511.0	486.75	607.87	348.71	363.56	647.07	486.75	429.54	1030.12	409.15	305.55	599.49	532.74	332.14	309.83	497.0	457.25	796.86	708.18	251.48	785.88	830.75	896.64	1268.46	909.17	1008.9	2178.83	1407.55	872.1	902.89	1081.39	684.02	796.86	733.19	1008.9	1104.13	1119.56	1216.75	679.29	1073.91	1277.29	785.88	215.77	981.29	316.37	435.55	551.56	447.82	780.44	1088.92	460.44
RAB2B	110.43	129.69	320.8	366.09	267.73	329.84	414.87	379.04	476.71	334.46	251.48	159.9	217.27	220.32	152.28	497.0	138.1	540.19	177.53	299.25	212.78	358.54	376.41	177.53	334.46	236.21	260.38	260.38	363.56	177.53	603.67	260.38	241.19	358.54	426.57	348.71	500.46	297.17	351.14	480.04	435.55	143.01	234.57	262.2	414.87	389.72	934.76	426.57	559.28	334.46	303.44	607.87	490.14	473.41	612.11	583.07	444.72	575.03	599.49	555.41	503.95	493.56	551.56	466.88	536.45	684.02	291.04	303.44	460.44	454.09	373.81	500.46	503.95	242.88	346.29	521.76	764.36	738.29	307.69
