	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQK.2926.SM.5EQKT	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13OVJ.0626.SM.5J2O2	GTEX.14E6C.2626.SM.5RQJP	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.144GM.0226.SM.5Q5CB	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.QXCU.0326.SM.2TC63	GTEX.13O1R.0826.SM.5J2MB	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
FBXO15	0.0	0.0	0.0	151.22	139.07	108.14	55.49	102.25	16.27	21.01	87.65	125.24	26.28	8.45	17.0	159.9	39.22	30.34	123.5	88.26	14.03	72.01	30.78	140.04	193.01	82.87	150.17	69.03	146.03	124.37	39.5	127.0	33.54	165.57	18.56	33.06	287.01	132.44	31.45	92.05	59.97	42.11	65.72	30.78	14.24	24.46	20.41	34.02	68.07	1.64	31.67	43.02	105.15	66.65	38.4	30.56	166.73	129.69	134.3
FRMPD1	0.0	0.0	3.29	4.98	8.71	5.59	1.5	6.67	1.93	1.55	12.45	3.86	1.95	1.07	1.6	6.52	4.86	1.91	2.73	12.27	0.71	2.01	5.28	7.51	9.27	3.03	3.92	5.32	9.56	4.62	1.95	8.0	2.41	8.99	1.1	3.0	8.0	4.17	2.76	5.32	4.43	2.76	4.46	2.84	1.6	1.07	3.32	1.13	1.07	1.07	0.73	2.41	5.73	2.58	3.38	1.03	4.21	2.71	7.34
GATM	0.0	0.45	102.25	1685.71	1540.37	4607.24	356.05	1175.27	264.03	281.09	1059.11	1295.13	303.44	151.22	346.29	1135.2	1037.29	409.15	1896.65	1457.23	454.09	591.22	547.75	2178.83	1447.15	571.05	1001.93	1662.49	1685.71	2090.03	316.37	2627.46	607.87	1757.34	312.0	212.78	2224.63	1268.46	785.88	2133.97	1322.37	217.27	743.43	457.25	309.83	1030.12	764.36	167.9	198.47	49.21	366.09	583.07	1216.75	941.27	346.29	358.54	1781.89	2915.45	1605.83
GLOD4	0.0	0.59	748.61	2018.8	2061.24	2148.82	1268.46	1806.78	1322.37	1551.09	2104.58	1685.71	1119.56	1066.48	1529.73	1540.37	1350.18	1242.34	1819.35	1857.6	1378.57	1477.58	1498.22	1857.6	1745.2	1628.26	1844.76	1769.57	1819.35	1769.57	1407.55	2004.85	1397.83	1977.24	1417.35	1208.34	1896.65	1936.53	1519.15	2075.59	1447.15	1407.55	1519.15	1437.15	1662.49	1233.75	1685.71	1044.52	1594.73	1447.15	1417.35	1447.15	1819.35	1697.45	1159.07	1304.15	2090.03	1806.78	1769.57
GPER1	0.0	0.0	0.24	1030.12	529.06	507.46	48.18	563.18	133.36	376.41	312.0	309.83	32.36	22.75	153.34	872.1	221.86	153.34	559.28	521.76	171.45	283.05	112.77	555.41	656.11	406.31	295.11	563.18	226.54	432.53	83.45	642.59	193.01	819.3	91.41	346.29	775.05	563.18	234.57	503.95	669.92	429.54	144.01	161.02	86.43	417.77	234.57	56.28	48.18	49.91	117.6	341.51	309.83	409.15	52.08	251.48	813.63	521.76	454.09
GPR37L1	0.0	0.09	2.76	18.43	12.27	9.48	3.89	11.91	3.56	2.81	12.18	3.89	1.58	1.85	4.21	9.48	2.43	6.78	14.56	17.38	1.19	3.76	1.6	9.85	7.0	3.44	20.26	4.5	7.75	7.34	1.58	12.36	6.73	30.34	3.08	2.18	28.24	3.41	5.28	8.58	5.28	3.99	5.36	3.69	6.01	2.97	1.68	3.23	4.94	2.23	3.35	5.02	5.77	2.94	5.68	1.07	8.65	5.92	16.39
GPRASP2	0.0	0.28	47.84	457.25	490.14	780.44	511.0	733.19	325.29	258.57	536.45	457.25	271.48	281.09	299.25	447.82	277.2	241.19	473.41	426.57	376.41	269.6	316.37	733.19	457.25	473.41	490.14	395.18	438.59	607.87	312.0	551.56	332.14	497.0	325.29	164.42	529.06	567.1	483.38	503.95	251.48	262.2	529.06	384.34	389.72	202.66	318.57	277.2	450.94	221.86	444.72	336.79	389.72	409.15	400.71	312.0	514.56	493.56	454.09
HADH	0.0	0.27	595.34	1359.57	1467.37	1437.15	483.38	1447.15	872.1	1119.56	1457.23	1322.37	825.0	629.35	1175.27	1259.69	1175.27	1001.93	1477.58	1313.23	796.86	1183.45	884.29	1322.37	1268.46	1151.06	1225.22	1322.37	1277.29	1757.34	753.83	1397.83	1216.75	1457.23	620.67	860.08	1388.16	1159.07	1059.11	1397.83	1295.13	1066.48	1008.9	961.07	872.1	896.64	934.76	813.63	860.08	599.49	808.0	1073.91	1225.22	1015.93	642.59	684.02	1199.98	1208.34	1378.57
HDAC11	0.0	0.36	139.07	1088.92	967.76	890.44	441.64	1001.93	500.46	575.03	759.08	764.36	514.56	368.65	466.88	708.18	679.29	679.29	743.43	748.61	532.74	547.75	497.0	819.3	909.17	669.92	764.36	775.05	915.51	674.59	476.71	848.22	647.07	1051.79	423.61	647.07	988.12	909.17	559.28	854.13	603.67	591.22	703.28	607.87	559.28	684.02	616.37	414.87	486.75	412.0	447.82	493.56	575.03	981.29	397.93	698.41	728.11	860.08	928.3
HEXIM2	0.0	0.0	42.71	507.46	351.14	371.22	75.11	368.65	140.04	167.9	320.8	256.78	163.28	109.66	127.0	351.14	205.5	180.02	303.44	334.46	149.12	195.72	151.22	320.8	607.87	220.32	301.33	353.59	283.05	392.44	172.65	336.79	163.28	312.0	136.19	175.07	476.71	320.8	178.77	348.71	201.25	226.54	199.85	201.25	144.01	170.25	204.07	155.5	127.89	148.09	148.09	164.42	251.48	248.0	164.42	151.22	406.31	249.73	507.46
HHAT	0.0	0.18	3.79	368.65	334.46	381.68	299.25	277.2	183.82	226.54	339.14	323.03	116.78	63.0	177.53	275.28	137.14	181.28	356.05	327.56	143.01	142.01	135.24	316.37	301.33	293.07	327.56	264.03	341.51	303.44	134.3	314.17	190.34	368.65	169.07	164.42	314.17	309.83	193.01	299.25	171.45	246.28	198.47	169.07	181.28	126.12	217.27	120.94	253.23	108.14	155.5	181.28	271.48	217.27	214.27	159.9	271.48	341.51	279.14
HIRIP3	0.0	0.01	29.06	591.22	591.22	514.56	187.71	616.37	403.5	473.41	571.05	466.88	281.09	277.2	389.72	529.06	476.71	384.34	555.41	563.18	373.81	514.56	397.93	583.07	555.41	435.55	514.56	575.03	579.04	563.18	450.94	638.15	497.0	665.29	273.37	521.76	764.36	529.06	417.77	457.25	536.45	297.17	551.56	400.71	356.05	450.94	518.15	327.56	244.57	253.23	403.5	454.09	536.45	435.55	285.03	363.56	669.92	470.14	693.58
ID4	0.0	0.47	15.22	11909.94	32540.65	22535.88	2758.13	12502.12	6935.54	8363.13	18689.27	12502.12	3467.27	4239.45	6983.79	12676.65	6840.04	4450.27	11035.54	6983.79	8078.22	7857.29	6037.61	10084.54	6381.92	5872.48	7966.99	7749.1	9673.69	7695.57	8718.32	7130.55	10733.74	16727.26	4836.35	9215.48	16157.44	14561.8	7032.37	18950.18	8901.53	5751.61	6381.92	9344.14	5041.77	8078.22	9279.58	3928.15	6207.38	5517.27	10296.45	6935.54	9025.81	5913.33	5872.48	5831.91	9344.14	16045.82	12415.75
IGFBPL1	0.0	0.0	0.0	1216.75	1191.69	2573.36	67.59	551.56	131.51	343.89	947.83	320.8	37.05	2.29	119.26	429.54	157.68	90.77	525.39	155.5	75.64	420.68	57.89	854.13	463.65	381.68	403.5	1651.0	830.75	426.57	156.59	620.67	163.28	1073.91	63.45	18.56	1088.92	693.58	220.32	1127.35	165.57	87.65	187.71	36.79	122.64	11.04	61.25	22.26	217.27	70.01	56.28	185.11	483.38	50.63	33.54	41.81	825.0	1350.18	884.29
IL22RA1	0.0	0.05	50.98	123.5	232.94	55.49	22.92	112.77	22.75	36.27	33.3	43.32	5.77	0.0	20.71	92.05	22.59	48.52	92.7	60.82	23.42	82.87	11.73	83.45	84.63	26.67	130.6	158.79	93.35	31.22	15.34	98.73	19.68	149.12	13.12	38.67	392.44	57.89	38.4	178.77	37.85	28.45	70.51	13.12	10.79	63.89	11.47	9.13	15.11	9.06	8.71	43.94	43.02	34.75	8.51	13.32	170.25	76.17	108.9
ITGB7	0.0	0.1	56.28	389.72	173.85	353.59	172.65	289.02	158.79	146.03	149.12	145.02	56.68	115.16	77.79	281.09	96.68	194.36	351.14	368.65	50.98	78.34	52.45	406.31	307.69	68.07	236.21	343.89	224.97	191.67	87.65	241.19	105.15	389.72	53.95	115.16	395.18	122.64	114.36	476.71	93.35	148.09	92.7	144.01	102.25	105.89	170.25	46.18	91.41	154.42	68.55	71.0	195.72	129.69	76.17	70.01	447.82	202.66	325.29
KCNJ15	0.0	0.06	84.04	3372.43	4972.34	6935.54	547.75	6250.56	1407.55	1721.16	3235.01	3018.3	567.1	493.56	723.08	3639.7	738.29	1467.37	5672.41	1923.14	511.0	1268.46	1175.27	2384.37	3235.01	4736.79	3874.05	2627.46	2701.35	2835.7	1551.09	4937.99	1322.37	4328.55	1733.13	1268.46	4607.24	6164.49	1268.46	2591.27	1199.98	2061.24	1096.5	928.3	860.08	921.88	1674.06	1250.98	543.96	532.74	1059.11	1199.98	4358.66	1369.04	1135.2	656.11	3018.3	4736.79	2271.4
KIT	0.0	0.45	65.26	1605.83	2119.22	2956.17	120.1	1721.16	551.56	1119.56	1950.0	3212.66	171.45	47.17	119.26	2104.58	525.39	500.46	1427.22	669.92	253.23	967.76	525.39	1781.89	693.58	191.67	1844.76	3039.3	1286.18	1757.34	262.2	2032.85	1295.13	1519.15	236.21	669.92	1304.15	559.28	836.53	1437.15	441.64	1498.22	403.5	249.73	713.11	941.27	603.67	236.21	106.63	53.95	507.46	1151.06	974.5	748.61	307.69	373.81	3081.75	1477.58	3395.89
KY	0.0	0.01	4.46	241.19	289.02	264.03	68.55	346.29	86.43	68.07	165.57	151.22	10.31	31.45	46.5	242.88	32.82	77.79	154.42	253.23	52.45	90.77	25.72	246.28	226.54	84.04	199.85	161.02	131.51	285.03	21.32	420.68	36.53	201.25	32.82	44.25	295.11	170.25	81.14	128.79	50.98	120.94	152.28	66.65	55.49	25.54	81.71	15.11	63.0	17.64	35.25	108.9	96.68	65.72	49.21	30.34	395.18	234.57	309.83
LGI3	0.0	0.0	17.77	3168.41	981.29	1583.71	64.34	854.13	373.81	638.15	1081.39	2240.11	65.72	6.46	150.17	2520.38	728.11	981.29	1896.65	1277.29	173.85	764.36	279.14	1199.98	1977.24	547.75	2004.85	1304.15	1111.82	1397.83	332.14	2255.7	866.07	819.3	40.93	500.46	813.63	638.15	417.77	348.71	665.29	525.39	420.68	239.52	107.38	547.75	684.02	52.08	205.5	8.51	221.86	1044.52	759.08	529.06	156.59	173.85	1508.65	748.61	1286.18
LMAN2L	0.0	0.28	105.15	688.78	915.51	738.29	339.14	890.44	551.56	536.45	802.41	743.43	381.68	260.38	429.54	703.28	470.14	547.75	728.11	660.68	438.59	540.19	500.46	836.53	854.13	543.96	769.69	890.44	785.88	896.64	397.93	775.05	529.06	947.83	379.04	463.65	808.0	633.73	518.15	708.18	616.37	503.95	540.19	476.71	547.75	555.41	607.87	463.65	320.8	271.48	395.18	490.14	679.29	607.87	363.56	638.15	830.75	878.17	802.41
LRRC20	0.0	0.11	151.22	246.28	265.87	231.32	45.21	239.52	92.7	134.3	142.01	220.32	62.12	23.08	83.45	206.94	120.1	147.06	198.47	187.71	76.17	136.19	66.65	198.47	198.47	98.04	228.13	217.27	214.27	195.72	90.77	211.31	156.59	217.27	58.3	148.09	208.38	189.02	146.03	214.27	167.9	182.55	142.01	111.99	120.1	167.9	145.02	101.54	44.89	39.5	67.12	157.68	120.1	169.07	37.59	137.14	163.28	163.28	265.87
LRRC55	0.0	0.0	0.0	4.7	8.51	6.52	1.28	16.15	1.3	0.54	3.99	2.81	0.0	2.73	0.55	5.82	0.54	0.53	12.09	4.62	0.53	0.95	2.53	9.27	2.53	0.51	6.01	3.79	3.69	7.34	0.0	3.53	1.75	4.98	3.59	1.0	3.89	2.39	1.31	2.73	0.53	1.31	1.73	1.75	2.63	1.6	0.96	0.93	0.88	0.51	1.36	0.54	2.76	0.51	2.71	0.0	7.4	3.23	4.35
LRRCC1	140.04	91.41	12.45	476.71	368.65	441.64	89.51	432.53	170.25	183.82	381.68	486.75	135.24	108.14	172.65	414.87	206.94	137.14	490.14	289.02	166.73	197.09	228.13	269.6	358.54	291.04	389.72	267.73	339.14	318.57	197.09	417.77	229.72	395.18	165.57	159.9	314.17	429.54	169.07	441.64	163.28	209.84	229.72	186.4	187.71	156.59	199.85	175.07	142.01	115.16	211.31	190.34	285.03	295.11	162.14	212.78	356.05	392.44	381.68
MDP1	0.0	0.3	53.19	1088.92	1225.22	1199.98	480.04	866.07	884.29	708.18	981.29	1023.0	802.41	500.46	743.43	1437.15	802.41	995.0	1268.46	866.07	759.08	947.83	669.92	848.22	748.61	860.08	890.44	896.64	1023.0	921.88	703.28	954.43	579.04	1104.13	748.61	1030.12	1175.27	1066.48	669.92	1051.79	872.1	836.53	872.1	642.59	775.05	915.51	713.11	713.11	403.5	693.58	563.18	836.53	860.08	1023.0	575.03	665.29	921.88	808.0	1191.69
MMP15	0.0	0.42	137.14	3874.05	5219.6	2163.77	1216.75	4388.98	866.07	1457.23	2855.44	2255.7	679.29	497.0	1059.11	3257.52	1709.26	1662.49	2537.92	2520.38	1081.39	1733.13	595.34	3039.3	3690.52	1397.83	2976.74	2319.15	3325.99	2209.26	842.36	2104.58	981.29	4210.15	450.94	1769.57	3901.01	3039.3	1135.2	3515.68	1277.29	1457.23	2417.67	1242.34	819.3	1407.55	1268.46	638.15	1268.46	318.57	656.11	1044.52	2018.8	2335.28	836.53	1794.29	3280.18	4123.49	3372.43
MSRB2	0.0	0.61	241.19	2758.13	2148.82	2209.26	688.78	2047.0	1594.73	872.1	1832.01	1819.35	1477.58	728.11	1369.04	2255.7	1340.84	1617.0	2090.03	2090.03	1015.93	1447.15	1242.34	1781.89	1977.24	1781.89	2209.26	2061.24	2664.15	1923.14	1066.48	2178.83	1697.45	2915.45	836.53	2178.83	2335.28	1781.89	1331.57	1651.0	2335.28	1617.0	1277.29	981.29	1088.92	1963.57	1427.22	866.07	1167.14	848.22	819.3	1709.26	1819.35	1857.6	974.5	1059.11	2384.37	1936.53	2739.08
N6AMT1	0.0	0.09	20.11	211.31	178.77	171.45	82.87	187.71	127.89	152.28	191.67	202.66	113.56	116.78	96.68	232.94	122.64	117.6	191.67	176.29	102.97	158.79	121.79	212.78	223.41	173.85	194.36	163.28	201.25	218.79	129.69	229.72	121.79	190.34	91.41	127.0	205.5	163.28	136.19	183.82	152.28	158.79	146.03	105.15	111.99	118.43	130.6	120.94	64.8	86.43	89.51	158.79	231.32	157.68	141.02	149.12	234.57	193.01	211.31
NBPF3	0.0	0.0	30.12	253.23	172.65	232.94	45.85	167.9	173.85	120.94	87.65	173.85	85.22	115.16	49.56	253.23	80.57	111.21	146.03	123.5	108.14	158.79	86.43	215.77	223.41	146.03	153.34	143.01	117.6	161.02	110.43	249.73	94.67	150.17	78.89	82.87	181.28	142.01	148.09	242.88	142.01	193.01	111.99	141.02	115.97	63.0	165.57	76.17	82.87	128.79	129.69	122.64	147.06	92.05	56.68	44.57	165.57	177.53	165.57
NDRG3	0.0	0.19	163.28	454.09	500.46	642.59	226.54	575.03	325.29	423.61	441.64	540.19	205.5	130.6	395.18	470.14	332.14	463.65	551.56	603.67	343.89	470.14	397.93	525.39	529.06	363.56	575.03	543.96	536.45	583.07	314.17	567.1	500.46	551.56	287.01	438.59	470.14	438.59	507.46	559.28	438.59	460.44	387.02	376.41	412.0	406.31	438.59	327.56	158.79	154.42	293.07	423.61	444.72	423.61	195.72	320.8	507.46	503.95	529.06
OLFML1	0.0	0.15	2.68	303.44	320.8	409.15	190.34	444.72	87.03	108.14	260.38	223.41	50.63	23.93	149.12	277.2	100.13	88.26	476.71	224.97	88.26	113.56	131.51	185.11	463.65	118.43	493.56	314.17	251.48	497.0	98.73	490.14	146.03	356.05	88.88	88.26	152.28	283.05	98.73	339.14	102.25	104.42	49.21	41.81	153.34	61.68	65.72	44.25	71.0	55.89	152.28	102.25	309.83	88.88	58.71	40.07	295.11	320.8	180.02
OPRL1	0.0	0.21	0.99	31.22	17.9	24.81	10.31	24.46	5.73	13.22	13.83	20.41	7.63	3.66	11.47	19.68	11.13	16.15	24.11	32.13	11.64	12.45	8.13	30.56	33.54	11.91	23.08	24.99	23.76	30.78	10.96	13.93	11.64	30.78	9.27	12.83	18.03	17.0	15.34	19.82	16.88	8.38	9.27	10.88	13.03	10.31	7.22	11.04	5.11	6.11	10.31	15.0	18.97	10.24	3.99	9.2	33.06	23.93	31.67
PDE4A	264.03	90.77	108.14	728.11	466.88	620.67	265.87	854.13	295.11	301.33	204.07	208.38	85.82	130.6	223.41	368.65	283.05	323.03	521.76	599.49	212.78	267.73	214.27	647.07	808.0	258.57	403.5	591.22	417.77	587.13	249.73	525.39	389.72	674.59	403.5	255.0	420.68	480.04	291.04	343.89	253.23	406.31	320.8	260.38	305.55	232.94	299.25	229.72	145.02	190.34	198.47	339.14	511.0	381.68	190.34	269.6	295.11	559.28	194.36
PEX7	0.0	0.01	164.42	303.44	518.15	403.5	127.0	251.48	320.8	269.6	423.61	392.44	258.57	172.65	249.73	301.33	248.0	299.25	373.81	299.25	255.0	301.33	253.23	320.8	229.72	242.88	339.14	299.25	387.02	329.84	316.37	318.57	289.02	316.37	206.94	239.52	417.77	323.03	299.25	392.44	327.56	265.87	251.48	260.38	297.17	264.03	281.09	226.54	193.01	217.27	275.28	281.09	291.04	318.57	197.09	231.32	273.37	381.68	297.17
PNMAL1	0.0	0.16	2.76	426.57	521.76	656.11	85.22	860.08	316.37	258.57	438.59	571.05	32.13	15.45	334.46	543.96	232.94	244.57	743.43	583.07	226.54	255.0	171.45	486.75	336.79	307.69	348.71	547.75	651.58	503.95	194.36	420.68	514.56	567.1	95.34	185.11	947.83	555.41	435.55	540.19	381.68	521.76	423.61	341.51	341.51	403.5	395.18	126.12	144.01	74.06	158.79	470.14	299.25	521.76	60.39	223.41	507.46	503.95	842.36
PNMAL2	0.0	0.06	0.0	58.71	25.35	53.95	8.13	89.51	26.28	32.59	34.26	18.43	10.63	5.77	34.26	61.25	18.7	15.8	79.45	108.14	20.71	29.48	14.03	30.34	74.58	7.94	42.41	35.5	39.22	51.35	17.9	66.65	25.91	28.65	16.39	10.79	19.53	36.01	17.13	36.79	22.43	16.15	15.34	11.38	29.91	13.42	19.53	10.79	2.25	9.41	21.16	21.32	40.36	10.0	9.06	9.2	30.12	21.47	32.13
PPM1M	0.0	0.64	64.8	934.76	713.11	921.88	409.15	1081.39	511.0	571.05	808.0	708.18	384.34	320.8	567.1	718.08	379.04	403.5	780.44	708.18	376.41	529.06	384.34	974.5	1225.22	738.29	915.51	775.05	854.13	775.05	567.1	1059.11	629.35	890.44	363.56	327.56	967.76	718.08	591.22	854.13	571.05	392.44	638.15	563.18	480.04	638.15	417.77	343.89	193.01	295.11	392.44	486.75	591.22	612.11	329.84	384.34	995.0	607.87	915.51
PRKCQ	0.0	0.18	16.75	921.88	684.02	961.07	102.97	785.88	363.56	414.87	397.93	473.41	406.31	187.71	231.32	738.29	283.05	301.33	775.05	473.41	318.57	351.14	406.31	684.02	679.29	423.61	493.56	743.43	638.15	819.3	450.94	642.59	429.54	860.08	189.02	265.87	825.0	633.73	470.14	559.28	341.51	363.56	587.13	511.0	409.15	447.82	432.53	212.78	334.46	241.19	466.88	334.46	432.53	780.44	334.46	612.11	743.43	656.11	563.18
PTPRN2	0.0	0.21	78.34	395.18	688.78	429.54	206.94	483.38	165.57	167.9	988.12	629.35	109.66	74.58	156.59	414.87	143.01	186.4	633.73	334.46	163.28	229.72	145.02	285.03	483.38	336.79	536.45	387.02	607.87	264.03	154.42	334.46	202.66	563.18	186.4	146.03	603.67	616.37	231.32	529.06	264.03	208.38	228.13	183.82	189.02	136.19	175.07	90.14	232.94	129.69	198.47	231.32	256.78	242.88	151.22	159.9	301.33	454.09	595.34
RASGEF1C	0.0	0.13	0.8	150.17	100.13	96.01	22.26	111.21	38.95	48.52	68.55	71.5	15.45	9.2	24.46	136.19	35.76	27.64	113.56	115.97	19.68	36.27	31.67	77.79	100.13	120.94	137.14	44.57	58.71	167.9	14.78	121.79	40.64	120.1	21.16	44.89	130.6	98.73	28.65	66.18	57.08	71.0	76.17	17.0	41.81	27.84	25.54	14.89	11.55	14.78	20.26	53.57	69.03	29.48	35.5	17.38	208.38	52.45	136.19
RAVER2	0.0	0.24	75.64	217.27	189.02	228.13	69.03	185.11	77.79	109.66	140.04	193.01	66.18	105.15	98.73	234.57	139.07	108.9	277.2	173.85	93.35	117.6	80.57	208.38	185.11	162.14	224.97	167.9	201.25	181.28	73.54	202.66	101.54	204.07	61.68	115.16	215.77	198.47	115.97	395.18	116.78	107.38	124.37	98.04	110.43	113.56	98.04	71.0	104.42	58.71	58.3	144.01	166.73	145.02	85.22	137.14	211.31	208.38	173.85
RCBTB2	0.0	0.27	119.26	830.75	595.34	934.76	239.52	656.11	525.39	603.67	728.11	688.78	279.14	265.87	395.18	896.64	521.76	305.55	738.29	669.92	432.53	612.11	426.57	764.36	669.92	583.07	684.02	738.29	703.28	1051.79	423.61	860.08	518.15	896.64	334.46	486.75	780.44	753.83	599.49	830.75	669.92	612.11	438.59	420.68	543.96	473.41	633.73	242.88	348.71	226.54	389.72	583.07	674.59	466.88	329.84	511.0	961.07	684.02	866.07
RHNO1	0.0	0.21	275.28	674.59	723.08	836.53	312.0	633.73	457.25	371.22	642.59	679.29	543.96	336.79	518.15	563.18	379.04	387.02	791.35	624.99	490.14	473.41	417.77	669.92	547.75	500.46	551.56	713.11	748.61	764.36	490.14	591.22	470.14	836.53	514.56	316.37	718.08	665.29	571.05	796.86	395.18	389.72	713.11	607.87	473.41	392.44	417.77	320.8	450.94	414.87	426.57	435.55	540.19	483.38	379.04	536.45	656.11	674.59	642.59
RIBC1	0.0	0.0	3.56	256.78	320.8	193.01	78.34	206.94	112.77	105.15	204.07	194.36	80.57	43.02	108.14	273.37	95.34	86.43	285.03	154.42	74.58	121.79	76.71	236.21	223.41	193.01	231.32	132.44	181.28	224.97	107.38	218.79	132.44	273.37	76.71	85.82	265.87	187.71	112.77	293.07	112.77	109.66	170.25	140.04	88.26	67.59	108.14	84.63	87.03	23.76	56.68	93.35	201.25	157.68	87.03	130.6	295.11	167.9	293.07
RNASEH2A	0.0	0.01	85.82	373.81	444.72	316.37	140.04	368.65	187.71	316.37	438.59	260.38	167.9	76.17	223.41	444.72	273.37	289.02	363.56	429.54	173.85	309.83	246.28	417.77	417.77	297.17	309.83	400.71	387.02	400.71	253.23	358.54	323.03	466.88	198.47	395.18	480.04	312.0	189.02	346.29	371.22	466.88	287.01	224.97	220.32	346.29	295.11	239.52	102.97	107.38	191.67	309.83	373.81	267.73	123.5	202.66	358.54	361.04	379.04
RNF165	0.0	0.34	4.66	353.59	144.01	199.85	62.56	191.67	31.0	48.18	147.06	154.42	45.53	24.63	60.82	285.03	79.45	59.97	258.57	189.02	66.18	64.34	28.45	163.28	173.85	119.26	175.07	180.02	127.0	186.4	75.64	212.78	51.71	215.77	66.65	51.35	242.88	123.5	82.29	271.48	73.03	76.17	108.9	26.1	51.71	53.19	81.14	59.55	74.06	94.01	68.07	68.07	265.87	105.89	47.84	41.81	320.8	135.24	258.57
RP11-795F19.5	0.0	0.31	5.41	65.72	27.44	63.0	13.52	44.57	24.11	24.46	46.5	31.45	16.88	5.63	16.63	47.84	17.51	29.48	43.63	33.3	17.77	21.78	21.32	89.51	105.89	35.76	35.5	57.49	32.59	47.84	9.78	34.75	16.51	37.85	9.27	21.78	42.71	44.25	45.53	94.01	39.22	25.91	19.53	20.26	12.93	8.99	15.8	10.55	14.67	12.0	8.78	29.7	40.07	36.27	20.11	15.22	81.14	26.67	61.25
RSG1	0.0	0.0	28.45	256.78	336.79	293.07	102.97	348.71	127.89	220.32	339.14	256.78	171.45	94.01	183.82	287.01	211.31	232.94	307.69	267.73	172.65	217.27	128.79	343.89	275.28	236.21	343.89	381.68	343.89	356.05	191.67	267.73	194.36	316.37	118.43	176.29	299.25	241.19	137.14	249.73	202.66	271.48	336.79	244.57	208.38	128.79	212.78	211.31	88.26	173.85	119.26	214.27	223.41	348.71	84.04	332.14	212.78	299.25	316.37
SALL2	0.0	0.31	17.77	583.07	884.29	854.13	180.02	934.76	312.0	318.57	603.67	432.53	153.34	149.12	206.94	406.31	232.94	307.69	432.53	483.38	309.83	373.81	279.14	791.35	423.61	162.14	387.02	780.44	358.54	981.29	212.78	693.58	500.46	796.86	218.79	204.07	743.43	412.0	371.22	503.95	381.68	348.71	511.0	400.71	320.8	287.01	341.51	242.88	165.57	221.86	185.11	332.14	371.22	373.81	144.01	256.78	884.29	444.72	616.37
SARDH	0.0	0.34	3.35	127.89	130.6	85.82	40.93	59.13	20.11	60.39	77.25	43.32	15.68	26.1	36.79	89.51	45.53	89.51	101.54	98.04	13.52	23.59	55.49	70.01	99.43	49.56	92.05	89.51	186.4	127.0	18.16	145.02	47.17	108.14	15.91	29.27	102.97	73.03	34.02	45.85	67.12	60.39	29.91	37.85	50.98	44.57	33.54	22.75	40.36	19.39	50.27	47.17	116.78	96.01	28.04	9.13	95.34	81.71	94.01
