	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.SNMC.0426.SM.4DM5Y	GTEX.1122O.1626.SM.5N9CX	GTEX.111YS.1026.SM.5GZYE	GTEX.146FQ.1126.SM.5NQBM	GTEX.WRHK.0426.SM.4MVOG	GTEX.PLZ6.0626.SM.3P61B	GTEX.ZAB5.1026.SM.5HL91	GTEX.YF7O.0826.SM.4W21F	GTEX.ZPCL.1226.SM.4WWFF	GTEX.XBEW.1426.SM.4AT4J	GTEX.U3ZN.1826.SM.4DXUY	GTEX.OHPM.0726.SM.3LK7A	GTEX.ZG7Y.1326.SM.4WWBL	GTEX.Q2AH.1026.SM.48TZI	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	GTEX.U8T8.1226.SM.4E3IH	GTEX.1211K.1426.SM.5FQTF	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.R55D.1526.SM.48FEJ
RLN2	8.13	0.0	2.25	0.0	2.03	2.39	0.0	3.99	0.0	0.0	0.0	0.0	4.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79	4.5	11.91	12.18	23.25	15.8	3.0	2.68	1.5	0.0	0.0	4.94	5.06	0.0	0.0	4.39
RNF152	85.82	42.11	24.81	29.48	49.56	28.86	53.95	24.11	51.35	22.92	18.7	29.48	45.21	32.59	47.5	37.85	12.09	14.24	0.0	0.54	105.89	123.5	153.34	119.26	111.21	146.03	158.79	129.69	255.0	132.44	71.5	35.5	78.89	61.25	27.25	95.34
ROR1	114.36	262.2	29.91	21.94	35.76	55.49	34.26	127.0	115.16	30.78	34.02	21.94	59.13	36.53	50.27	60.39	21.94	12.45	70.01	136.19	262.2	314.17	384.34	249.73	154.42	361.04	320.8	497.0	327.56	260.38	87.65	215.77	400.71	190.34	185.11	84.63
RP11-481A20.11	8.51	92.7	8.99	2.94	4.28	0.0	3.86	3.2	0.0	3.11	9.06	2.94	0.0	5.19	6.52	0.0	4.54	0.0	0.0	0.09	47.84	18.97	71.0	68.55	63.45	24.63	23.93	16.51	63.0	16.75	14.35	39.22	51.35	0.0	144.01	54.72
SCRG1	285.03	1175.27	220.32	202.66	49.91	40.64	30.34	101.54	52.45	52.45	25.54	15.34	164.42	66.65	166.73	26.67	28.86	258.57	0.0	0.19	1167.14	1477.58	808.0	1167.14	555.41	1388.16	358.54	387.02	291.04	185.11	389.72	309.83	934.76	320.8	149.12	218.79
SCXA	69.52	423.61	181.28	45.53	94.01	17.64	28.65	236.21	29.27	65.26	208.38	46.18	54.72	56.68	130.6	36.27	36.53	47.17	0.0	0.79	698.41	595.34	563.18	521.76	532.74	718.08	444.72	612.11	567.1	118.43	253.23	348.71	113.56	97.36	796.86	389.72
SDC3	2303.12	10585.95	4328.55	1242.34	1447.15	642.59	693.58	1909.85	819.3	1059.11	1407.55	444.72	1081.39	934.76	2090.03	854.13	603.67	723.08	518.15	660.68	3081.75	2739.08	6250.56	6840.04	3820.7	5292.48	4210.15	4903.87	4010.71	2075.59	2148.82	2915.45	3955.48	1963.57	2835.7	2133.97
SEPN1	866.07	1605.83	1286.18	1331.57	1540.37	1286.18	1208.34	1427.22	1572.76	1119.56	1457.23	1151.06	1674.06	1277.29	2163.77	1259.69	1191.69	995.0	0.0	0.74	2163.77	1870.53	1977.24	2335.28	2090.03	2287.2	1950.0	1733.13	1605.83	1561.89	2319.15	1467.37	3325.99	1721.16	1529.73	1819.35
SERPINF1	4575.41	3540.14	3874.05	2935.74	2209.26	2400.97	1685.71	2468.49	3018.3	1183.45	1721.16	2701.35	2148.82	2163.77	2303.12	1628.26	2061.24	4152.18	0.0	0.8	7382.04	4358.66	2997.45	8778.97	2240.11	3540.14	5366.37	2796.65	2758.13	7180.15	12589.08	3168.41	7130.55	3716.2	5219.6	6207.38
SGSH	743.43	708.18	669.92	633.73	723.08	587.13	651.58	802.41	547.75	674.59	575.03	497.0	555.41	629.35	688.78	314.17	432.53	529.06	0.0	0.99	974.5	830.75	1044.52	1639.59	974.5	836.53	1023.0	954.43	1008.9	878.17	688.78	511.0	444.72	420.68	738.29	483.38
SIGLEC12	3.17	0.61	4.66	2.39	3.69	0.0	0.72	1.69	0.0	0.78	0.79	3.23	0.77	0.0	3.41	1.87	2.18	1.5	0.0	0.1	23.42	3.44	5.19	29.91	8.0	6.46	4.54	5.02	12.83	18.56	31.22	2.1	29.48	3.11	2.66	2.16
SLC47A1	46.18	88.26	13.03	10.39	1.11	7.17	3.0	13.93	6.78	8.99	10.39	15.45	7.28	7.28	9.78	4.54	3.72	5.63	0.0	0.13	74.58	133.36	84.63	106.63	165.57	75.11	98.73	104.42	76.17	25.54	89.51	98.73	223.41	165.57	73.54	205.5
SMN1	679.29	607.87	591.22	521.76	384.34	642.59	460.44	490.14	397.93	543.96	353.59	473.41	486.75	460.44	514.56	454.09	483.38	543.96	0.0	0.6	669.92	764.36	674.59	679.29	629.35	825.0	551.56	954.43	669.92	836.53	454.09	473.41	507.46	743.43	559.28	470.14
SMOC2	723.08	1044.52	2148.82	1806.78	1104.13	470.14	915.51	1721.16	3395.89	1216.75	2335.28	1159.07	1286.18	1529.73	2075.59	819.3	842.36	1733.13	0.0	0.47	4358.66	5479.15	6121.9	8191.0	7382.04	9151.82	12160.22	11267.44	15392.14	4607.24	10959.3	17437.64	14262.1	11664.82	7749.1	8598.28
SMPX	1096.5	2537.92	47974.16	329.84	559.28	228.13	277.2	423.61	447.82	264.03	232.94	281.09	529.06	460.44	406.31	379.04	361.04	117.6	0.0	0.27	1066.48	769.69	2287.2	1617.0	3564.78	1950.0	2303.12	2335.28	2758.13	995.0	417.77	1769.57	1073.91	547.75	1340.84	1685.71
SNAP25	287.01	409.15	180.02	76.71	28.86	31.45	27.44	100.83	1.33	33.78	81.71	8.92	62.12	56.28	77.79	9.7	13.03	18.29	0.0	0.28	334.46	420.68	376.41	223.41	624.99	371.22	466.88	624.99	921.88	466.88	285.03	256.78	147.06	176.29	318.57	175.07
SNRPF	665.29	587.13	450.94	486.75	454.09	368.65	392.44	703.28	444.72	387.02	616.37	493.56	587.13	397.93	511.0	353.59	358.54	309.83	0.0	0.54	872.1	738.29	769.69	1183.45	764.36	1059.11	647.07	921.88	769.69	1015.93	738.29	575.03	836.53	651.58	536.45	616.37
ST6GALNAC5	100.83	301.33	121.79	17.13	110.43	20.41	26.1	45.21	17.13	17.25	57.89	14.24	32.13	23.25	105.15	21.78	13.42	28.24	0.0	0.16	629.35	460.44	438.59	503.95	373.81	417.77	454.09	473.41	507.46	934.76	195.72	368.65	540.19	281.09	376.41	305.55
SYCP3	10.79	57.08	11.38	3.29	25.54	16.63	5.68	17.77	6.73	39.79	25.72	28.45	9.13	28.86	30.12	4.1	14.67	26.67	0.0	0.27	64.34	34.75	31.0	66.18	124.37	51.71	96.01	86.43	50.63	42.71	18.03	3.17	2.81	3.06	16.75	15.11
TACR2	10808.41	52497.92	10512.82	1769.57	1745.2	3168.41	2367.9	2758.13	2240.11	3349.13	3874.05	3212.66	486.75	1794.29	825.0	1977.24	808.0	281.09	0.0	0.05	2434.5	4704.07	6745.86	5076.84	5441.3	7081.29	3928.15	6037.61	5831.91	1331.57	5112.16	5954.47	5366.37	7032.37	6983.79	5711.87
THY1	2004.85	2796.65	1857.6	819.3	1781.89	329.84	301.33	1191.69	323.03	170.25	1378.57	136.19	842.36	974.5	1447.15	171.45	95.34	1388.16	0.0	0.0	7803.01	5995.9	4736.79	12764.83	1259.69	1806.78	1857.6	1896.65	2915.45	2664.15	2609.3	733.19	3491.39	1233.75	1457.23	1081.39
TMEM119	156.59	126.12	90.14	53.57	81.71	43.63	66.65	115.97	130.6	21.47	63.0	139.07	96.68	110.43	111.99	74.06	22.59	36.79	0.0	0.53	318.57	211.31	162.14	703.28	159.9	603.67	187.71	106.63	182.55	215.77	145.02	54.33	75.64	18.97	105.15	144.01
TMEM178B	14.14	32.36	16.39	13.62	11.64	3.32	5.11	19.53	2.92	4.24	14.45	6.26	7.22	4.74	19.53	1.64	1.87	4.5	0.0	0.15	22.75	25.17	39.22	18.97	37.05	20.56	14.45	33.54	23.59	18.43	40.07	16.88	32.13	16.88	22.43	16.27
TNFAIP8L1	669.92	1794.29	297.17	287.01	283.05	293.07	176.29	173.85	170.25	199.85	194.36	139.07	234.57	353.59	256.78	325.29	146.03	84.04	177.53	190.34	638.15	743.43	796.86	1073.91	1844.76	1135.2	1242.34	1487.87	2287.2	620.67	698.41	1096.5	860.08	1277.29	1151.06	1081.39
TPBGL	9.13	12.64	13.72	5.87	5.92	4.74	0.84	10.0	2.46	2.43	5.19	1.79	3.41	3.26	5.68	0.82	3.92	8.25	0.0	0.0	39.79	22.75	13.62	26.28	19.53	11.82	13.03	11.47	29.7	9.13	25.72	4.82	20.56	11.55	15.11	10.88
TSHZ2	72.52	120.94	39.79	27.25	33.3	24.46	20.71	66.18	24.81	22.75	39.79	20.71	21.16	31.9	52.82	29.7	21.63	23.93	0.0	0.32	220.32	283.05	144.01	183.82	88.88	120.94	152.28	105.15	148.09	183.82	54.33	32.36	100.13	56.68	76.17	88.88
TSPAN9	400.71	679.29	450.94	199.85	447.82	242.88	258.57	435.55	336.79	262.2	291.04	279.14	353.59	457.25	356.05	329.84	209.84	246.28	0.0	0.74	571.05	638.15	507.46	603.67	743.43	660.68	674.59	551.56	583.07	660.68	915.51	567.1	665.29	633.73	633.73	629.35
TUBA1A	27174.14	92680.9	122293.5	13586.57	13123.73	10883.59	13872.08	23492.92	13681.08	11909.94	18304.63	10733.74	12676.65	11112.3	18689.27	12943.04	8963.45	9876.98	0.0	0.42	22225.61	21919.61	23009.42	38966.94	19214.73	15075.35	16727.26	18689.27	20737.16	9215.48	14867.79	12943.04	28923.41	12502.12	23330.64	28923.41
TUBB3	723.08	1008.9	633.73	316.37	170.25	108.14	37.59	387.02	9.06	78.89	275.28	28.45	297.17	195.72	387.02	13.03	20.56	163.28	0.0	0.35	878.17	511.0	329.84	748.61	277.2	490.14	406.31	420.68	624.99	473.41	518.15	113.56	529.06	409.15	305.55	177.53
UBTD1	209.84	371.22	204.07	255.0	236.21	136.19	76.71	241.19	122.64	102.25	248.0	228.13	253.23	201.25	231.32	163.28	206.94	291.04	0.0	0.49	397.93	303.44	221.86	575.03	232.94	237.86	293.07	297.17	281.09	316.37	511.0	214.27	173.85	281.09	248.0	246.28
VASN	165.57	312.0	738.29	128.79	289.02	99.43	80.01	368.65	165.57	67.59	167.9	197.09	249.73	229.72	346.29	71.5	108.14	138.1	0.0	0.8	476.71	387.02	209.84	890.44	218.79	187.71	642.59	412.0	299.25	836.53	1417.35	183.82	802.41	348.71	303.44	307.69
VGF	10.71	17.13	17.25	8.06	1.95	3.06	1.91	12.27	0.85	6.52	14.89	1.36	4.46	8.58	21.01	2.41	2.86	1.89	18.43	132.44	77.25	34.75	14.78	36.01	115.97	55.89	38.67	27.25	55.49	18.7	8.13	1.31	9.2	13.22	5.32	2.25
ZNF469	6.78	6.57	7.94	3.96	15.91	4.43	4.39	30.78	3.72	2.51	50.98	4.5	12.83	10.71	89.51	4.24	6.21	3.79	0.0	0.06	82.29	17.77	29.06	44.57	11.13	24.46	12.83	4.31	7.51	5.36	10.96	1.53	11.47	3.03	3.69	6.73
ZNF781	195.72	149.12	226.54	159.9	46.5	45.21	67.12	81.71	57.49	109.66	63.45	75.64	59.13	81.14	113.56	133.36	85.22	53.95	0.0	0.17	157.68	45.85	92.05	281.09	93.35	92.05	201.25	264.03	232.94	15.11	95.34	157.68	201.25	138.1	76.17	152.28
ZYX	10368.08	36864.92	27938.14	9673.69	11189.6	7803.01	7433.4	17681.08	11189.6	7537.18	12160.22	9540.5	10585.95	8901.53	15824.9	5954.47	6745.86	9540.5	3742.05	872.1	16383.0	13033.07	21320.18	28923.41	10014.87	20310.37	9808.75	18052.61	15499.21	21172.91	11035.54	10014.87	13586.57	11664.82	10440.2	10883.59
