	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.EM.A2P2.01A.11R.A206.07	TCGA.E8.A434.01A.11R.A23N.07	TCGA.J8.A3O0.01A.11R.A21D.07	TCGA.DJ.A3UP.01A.11R.A22L.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.EL.A3CL.01A.11R.A19O.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.EL.A3GW.01A.11R.A206.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.BJ.A2N8.01A.11R.A18C.07
TMEM30B	323.03	232.94	343.89	253.23	669.92	336.79	551.56	507.46	295.11	325.29	540.19	120.1	173.85	947.83	1066.48	759.08	1378.57	1407.55	1286.18	1066.48	1662.49	1806.78	1233.75	1295.13
TMEM41B	327.56	363.56	376.41	320.8	312.0	466.88	312.0	368.65	483.38	392.44	551.56	476.71	555.41	629.35	1551.09	612.11	961.07	813.63	703.28	669.92	738.29	1225.22	571.05	1081.39
TMEM62	406.31	228.13	154.42	293.07	121.79	204.07	195.72	303.44	1015.93	312.0	316.37	105.89	0.0	447.82	579.04	438.59	591.22	543.96	423.61	327.56	373.81	579.04	379.04	575.03
TMEM87A	198.47	129.69	341.51	146.03	283.05	281.09	248.0	392.44	285.03	591.22	529.06	397.93	878.17	2178.83	2573.36	1477.58	2061.24	2468.49	2178.83	1709.26	1857.6	3190.46	1991.0	2133.97
TNFSF13	229.72	103.69	447.82	146.03	403.5	114.36	567.1	346.29	297.17	201.25	447.82	163.28	0.0	1183.45	1757.34	1242.34	1331.57	1950.0	2193.99	1073.91	1304.15	1340.84	1088.92	1529.73
TRAK2	81.71	99.43	214.27	144.01	218.79	67.12	138.1	277.2	64.34	107.38	228.13	47.84	0.0	1437.15	2004.85	743.43	848.22	1001.93	1331.57	830.75	974.5	1119.56	1304.15	872.1
TTC9	24.81	7.75	82.29	4.21	34.51	44.89	24.63	15.0	24.81	16.39	60.82	24.46	0.0	183.82	417.77	228.13	438.59	289.02	305.55	162.14	206.94	248.0	232.94	275.28
TVP23C	42.41	32.36	63.0	33.78	77.79	21.47	37.32	18.56	40.36	57.08	50.27	21.47	0.0	237.86	323.03	260.38	269.6	348.71	248.0	164.42	183.82	381.68	251.48	267.73
TWF1	450.94	503.95	638.15	525.39	738.29	373.81	551.56	551.56	532.74	389.72	753.83	483.38	4671.57	1340.84	1733.13	1111.82	1457.23	1135.2	1437.15	1277.29	1407.55	2047.0	1561.89	1498.22
TXNL1	1508.65	1225.22	1572.76	961.07	1628.26	1519.15	1628.26	1388.16	1407.55	718.08	1794.29	620.67	0.0	2104.58	6079.61	3060.45	3540.14	3168.41	2591.27	1769.57	2956.17	3257.52	1870.53	4328.55
UNC13B	122.64	53.57	255.0	221.86	183.82	258.57	447.82	136.19	82.87	50.27	120.1	62.56	0.0	376.41	591.22	329.84	503.95	318.57	327.56	277.2	327.56	473.41	392.44	279.14
WDR20	163.28	147.06	189.02	166.73	208.38	164.42	149.12	175.07	133.36	211.31	265.87	125.24	0.0	414.87	1001.93	379.04	638.15	563.18	540.19	348.71	395.18	642.59	366.09	579.04
WDR41	291.04	152.28	470.14	255.0	412.0	147.06	356.05	329.84	182.55	191.67	358.54	237.86	0.0	718.08	1073.91	718.08	1119.56	915.51	819.3	934.76	698.41	1073.91	954.43	974.5
WDR87	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	25.91	1.5	33.54	3.86	3.41	1.1	2.34	1.87	0.74	3.0
WDSUB1	79.45	94.67	161.02	72.52	152.28	107.38	116.78	166.73	66.18	98.04	167.9	43.32	0.0	307.69	934.76	366.09	450.94	457.25	432.53	460.44	395.18	450.94	406.31	450.94
WWC3	45.21	38.12	73.03	34.51	62.56	21.01	52.08	102.25	29.7	40.07	59.55	15.22	66.18	389.72	808.0	299.25	420.68	441.64	518.15	435.55	389.72	497.0	587.13	426.57
YOD1	21.47	31.0	48.52	40.07	48.52	111.21	20.86	23.08	46.84	72.52	75.11	34.26	0.0	85.82	133.36	82.29	156.59	110.43	108.14	120.1	98.73	123.5	115.97	72.01
YY1	769.69	830.75	890.44	571.05	693.58	718.08	713.11	796.86	764.36	769.69	1001.93	753.83	1487.87	1208.34	2061.24	1407.55	1322.37	1378.57	1437.15	1183.45	1721.16	1819.35	1757.34	1259.69
ZBTB25	46.5	30.12	58.3	78.89	44.57	19.25	44.25	53.95	50.98	84.04	94.01	50.98	71.0	139.07	242.88	163.28	214.27	175.07	148.09	142.01	141.02	150.17	161.02	162.14
ZFR2	2.92	0.0	0.0	0.0	0.0	0.0	3.32	3.56	3.41	21.01	1.3	0.0	0.0	22.59	85.22	13.62	14.78	20.86	4.54	21.94	18.16	42.41	4.7	19.68
ZNF233	1.89	4.82	3.72	3.29	1.48	8.19	1.45	1.19	10.55	7.51	8.99	0.09	0.0	59.13	71.0	29.27	64.8	111.21	66.65	43.63	70.01	66.65	37.85	96.01
ZNF321P	0.0	1.6	6.78	1.45	0.0	0.0	4.21	0.0	7.82	2.03	1.04	0.0	0.0	5.63	12.36	8.38	0.73	2.14	4.28	6.46	0.0	31.0	6.73	13.22
ZNF486	6.78	11.21	18.03	0.0	8.25	1.22	10.96	10.39	31.67	5.92	15.56	0.46	0.0	1259.69	1781.89	529.06	1977.24	1794.29	1519.15	743.43	1498.22	1529.73	1175.27	1857.6
ZNF534	1.13	3.29	0.0	0.0	1.31	0.0	0.4	0.0	1.48	0.0	0.0	0.0	0.0	1.85	55.89	0.78	5.32	4.74	2.58	5.11	6.06	6.41	24.81	36.01
ZNF613	35.5	33.3	49.56	26.1	28.04	15.56	28.86	29.06	14.24	29.06	52.82	7.63	0.0	108.14	358.54	127.0	348.71	124.37	120.94	113.56	124.37	145.02	111.99	218.79
ZNF680	131.51	281.09	150.17	264.03	135.24	86.43	229.72	110.43	139.07	185.11	242.88	97.36	0.0	346.29	638.15	368.65	447.82	466.88	444.72	351.14	400.71	518.15	387.02	447.82
ZNF804B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.68	39.22	10.16	17.0	2.36	7.75	1.14	5.06	20.71	2.39	3.59
ZNF92	24.46	22.1	33.54	20.11	35.0	33.3	23.08	31.45	27.44	25.35	54.33	6.73	0.0	60.82	106.63	77.79	92.05	78.89	92.05	69.03	89.51	108.9	81.14	90.77
