	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZQG8.2126.SM.4YCF1	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.J8.A3YG.01A.11R.A22U.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.WHSE.0626.SM.4RGNF
CSAD	41.81	36.01	178.77	98.04	66.18	38.4	34.02	0.0	123.5	8.45	878.17	426.57	575.03	1322.37	1674.06	363.56	579.04	483.38	961.07	536.45	1447.15	967.76	242.88	540.19	1340.84	1151.06	239.52	540.19	327.56	1340.84	438.59	400.71	1417.35	346.29	1199.98	209.84	1023.0	1487.87	583.07	387.02	518.15	629.35	848.22	361.04	988.12	493.56	511.0	629.35	244.57	1733.13	723.08	1250.98	299.25	460.44	198.47	1286.18	728.11	470.14	1216.75	518.15	2119.22	1096.5	1183.45	279.14	1896.65	2133.97	529.06	819.3	1175.27	884.29	988.12	759.08	348.71	1407.55	346.29	529.06	371.22
CTSB	81809.59	45072.75	131071.0	85283.74	94628.34	105727.15	154794.07	32540.65	152662.96	43840.21	378516.38	365622.68	193234.41	159145.95	112532.89	228208.61	301123.38	267651.2	253213.41	221968.2	160252.91	150561.19	215898.44	307450.64	151608.43	143430.26	197294.7	290865.98	189257.69	311742.51	214407.12	389157.95	128373.58	282912.21	220434.95	202841.44	242898.5	118127.7	191899.64	201440.3	204252.32	327241.36	160252.91	391864.76	198667.0	200048.85	200048.85	201440.3	155870.75	100023.92	299043.36	175363.84	428815.23	207103.59	156954.93	109455.64	197294.7	208544.12	190574.09	260332.24	114897.47	133825.1	218912.29	226632.25	62865.33	74243.68	212926.09	241220.67	164758.26	209994.66	208544.12	288856.81	214407.12	127486.83	180294.02	236256.4	258533.99
DDX26B	38.67	32.36	41.22	21.47	20.71	20.86	41.81	101.54	67.59	18.03	121.79	59.13	88.88	164.42	150.17	45.85	130.6	120.1	129.69	108.14	131.51	115.97	48.52	46.18	111.99	172.65	76.71	105.15	125.24	113.56	110.43	82.87	228.13	64.8	105.89	63.0	129.69	220.32	68.07	52.82	105.15	75.64	206.94	71.0	162.14	81.71	163.28	155.5	85.82	348.71	105.89	114.36	28.65	64.34	103.69	144.01	87.03	107.38	138.1	56.28	234.57	118.43	127.0	97.36	199.85	115.97	107.38	78.89	117.6	170.25	148.09	57.89	92.7	204.07	73.03	96.68	96.68
DGKD	59.97	101.54	105.15	85.22	37.05	87.65	65.26	0.0	267.73	28.24	371.22	432.53	209.84	371.22	483.38	435.55	466.88	244.57	348.71	186.4	703.28	500.46	193.01	221.86	348.71	228.13	244.57	281.09	379.04	318.57	332.14	295.11	647.07	376.41	249.73	239.52	275.28	450.94	279.14	339.14	426.57	224.97	483.38	180.02	246.28	199.85	234.57	316.37	251.48	483.38	307.69	473.41	273.37	239.52	159.9	490.14	293.07	318.57	366.09	258.57	395.18	400.71	325.29	244.57	1175.27	860.08	248.0	343.89	343.89	279.14	312.0	525.39	447.82	420.68	242.88	318.57	1407.55
DIP2A	237.86	201.25	241.19	248.0	133.36	115.97	165.57	209.84	195.72	87.65	361.04	218.79	269.6	435.55	603.67	346.29	320.8	412.0	343.89	279.14	450.94	473.41	180.02	283.05	363.56	447.82	309.83	265.87	323.03	397.93	343.89	303.44	500.46	329.84	320.8	226.54	265.87	486.75	312.0	309.83	412.0	297.17	540.19	186.4	438.59	371.22	323.03	351.14	295.11	555.41	379.04	356.05	248.0	253.23	283.05	559.28	316.37	287.01	444.72	287.01	444.72	348.71	397.93	287.01	490.14	583.07	363.56	353.59	441.64	441.64	403.5	384.34	389.72	486.75	253.23	289.02	395.18
DMTF1	224.97	205.5	412.0	201.25	119.26	39.22	98.04	0.0	381.68	56.28	1088.92	780.44	890.44	1417.35	1781.89	435.55	1044.52	961.07	1081.39	679.29	1781.89	1487.87	336.79	1183.45	1794.29	1977.24	543.96	890.44	961.07	1304.15	775.05	733.19	1781.89	896.64	1487.87	511.0	791.35	1883.54	733.19	665.29	947.83	813.63	1508.65	447.82	1037.29	830.75	890.44	1268.46	595.34	2209.26	1340.84	1350.18	612.11	796.86	595.34	1639.59	884.29	866.07	1605.83	1135.2	2032.85	1721.16	1340.84	575.03	2777.33	2104.58	947.83	981.29	1896.65	1313.23	1015.93	1242.34	934.76	1437.15	674.59	854.13	775.05
DNAH1	8.51	5.77	19.39	9.48	38.12	31.67	58.3	0.0	30.34	3.53	69.52	69.03	82.87	136.19	169.07	73.54	79.45	84.63	98.04	69.03	105.89	132.44	43.02	66.65	97.36	90.14	58.71	48.18	72.52	104.42	63.45	52.45	112.77	57.49	67.59	42.11	76.71	110.43	62.56	62.56	78.34	55.1	164.42	26.1	112.77	61.68	96.68	79.45	55.89	169.07	84.63	90.14	35.5	41.81	33.06	212.78	78.34	79.45	110.43	70.51	147.06	85.22	78.89	69.52	204.07	193.01	67.12	105.89	68.55	110.43	82.87	95.34	78.89	153.34	39.79	74.06	43.32
DNHD1	20.11	14.24	17.13	20.71	12.93	17.64	14.24	0.0	41.22	2.43	92.05	47.17	90.14	71.0	165.57	28.04	51.35	72.01	76.71	52.82	146.03	106.63	32.82	62.56	115.97	134.3	38.95	78.89	82.87	197.09	48.87	57.89	125.24	59.97	113.56	36.79	103.69	137.14	63.45	34.02	78.89	42.71	163.28	35.5	84.63	50.98	76.71	149.12	33.06	265.87	90.14	93.35	69.52	44.57	29.06	147.06	64.34	77.79	85.82	57.89	158.79	139.07	104.42	48.87	180.02	123.5	56.68	94.01	129.69	98.04	106.63	95.34	49.56	98.73	40.07	92.05	71.5
DPH7	175.07	169.07	332.14	249.73	181.28	248.0	170.25	0.0	356.05	67.12	674.59	412.0	587.13	884.29	872.1	241.19	567.1	612.11	638.15	633.73	698.41	708.18	397.93	536.45	796.86	848.22	426.57	511.0	444.72	791.35	612.11	551.56	967.76	476.71	796.86	483.38	733.19	974.5	607.87	429.54	559.28	497.0	854.13	470.14	878.17	470.14	607.87	616.37	432.53	1119.56	503.95	769.69	503.95	555.41	256.78	890.44	536.45	525.39	698.41	547.75	866.07	759.08	660.68	470.14	1167.14	1233.75	511.0	536.45	872.1	660.68	808.0	665.29	521.76	941.27	426.57	514.56	420.68
EBLN2	7.69	4.5	2.07	4.31	0.42	0.0	0.78	0.0	9.27	0.0	10.55	6.84	12.27	21.32	46.18	4.13	17.77	22.1	8.65	6.57	24.11	22.59	2.12	7.57	25.54	25.54	14.14	12.36	19.53	24.11	8.32	7.51	16.03	11.21	40.93	3.89	4.9	30.56	9.41	8.06	20.41	11.38	18.7	6.11	13.93	6.16	10.79	15.91	4.39	34.51	24.81	16.51	4.28	13.12	8.65	31.67	16.39	7.17	23.42	13.03	55.49	22.1	20.41	6.78	39.79	45.21	10.47	18.7	29.91	20.56	9.93	13.83	13.52	20.56	7.82	12.74	28.04
EML3	420.68	432.53	733.19	599.49	303.44	723.08	454.09	0.0	540.19	688.78	1167.14	708.18	1191.69	1233.75	1781.89	902.89	1088.92	764.36	1159.07	1268.46	2119.22	1225.22	1417.35	417.77	1508.65	1350.18	872.1	854.13	1167.14	1250.98	1183.45	836.53	1477.58	915.51	860.08	759.08	1135.2	1594.73	1259.69	753.83	974.5	967.76	1477.58	733.19	1397.83	1051.79	1175.27	1350.18	1001.93	1857.6	1104.13	1331.57	579.04	759.08	669.92	1183.45	1135.2	1322.37	1059.11	607.87	1583.71	1208.34	1388.16	909.17	1674.06	1617.0	872.1	1151.06	1167.14	1127.35	1340.84	1151.06	934.76	1350.18	830.75	1143.1	928.3
ENTHD2	258.57	183.82	246.28	157.68	142.01	142.01	186.4	0.0	158.79	62.12	486.75	348.71	409.15	769.69	1044.52	223.41	438.59	371.22	373.81	389.72	688.78	575.03	339.14	532.74	753.83	915.51	316.37	320.8	384.34	616.37	486.75	281.09	764.36	366.09	567.1	258.57	441.64	595.34	441.64	305.55	412.0	483.38	559.28	242.88	607.87	441.64	551.56	587.13	303.44	860.08	466.88	511.0	438.59	265.87	242.88	796.86	361.04	379.04	543.96	480.04	733.19	656.11	529.06	353.59	1111.82	1096.5	297.17	429.54	738.29	607.87	551.56	808.0	242.88	748.61	287.01	373.81	262.2
EPOR	46.5	70.51	32.13	23.25	67.12	316.37	102.97	0.0	153.34	5.32	2240.11	854.13	1119.56	2104.58	2591.27	674.59	1008.9	974.5	1674.06	1023.0	2485.67	1487.87	642.59	1883.54	2875.3	4152.18	521.76	1135.2	723.08	2090.03	1104.13	921.88	3982.99	934.76	1674.06	819.3	1757.34	3280.18	981.29	647.07	848.22	1745.2	1313.23	728.11	1870.53	1175.27	1081.39	1250.98	718.08	4481.23	1529.73	2351.53	1151.06	884.29	738.29	2133.97	860.08	1313.23	2090.03	1397.83	3190.46	2240.11	1883.54	624.99	5633.22	3874.05	896.64	1572.76	3742.05	2209.26	1769.57	1498.22	769.69	3146.52	890.44	1081.39	764.36
FAM160A2	457.25	275.28	289.02	275.28	361.04	368.65	373.81	0.0	373.81	137.14	808.0	603.67	890.44	1151.06	1340.84	507.46	796.86	591.22	836.53	995.0	1051.79	1088.92	629.35	547.75	1242.34	1242.34	493.56	684.02	854.13	1037.29	698.41	591.22	1304.15	620.67	974.5	480.04	791.35	1340.84	791.35	536.45	723.08	620.67	1037.29	500.46	921.88	890.44	802.41	854.13	525.39	1268.46	802.41	1015.93	647.07	540.19	616.37	1183.45	796.86	638.15	988.12	384.34	1977.24	961.07	1088.92	633.73	1963.57	1437.15	753.83	866.07	1322.37	934.76	1008.9	693.58	638.15	1259.69	518.15	842.36	836.53
FAM193B	381.68	185.11	665.29	236.21	232.94	221.86	316.37	0.0	325.29	93.35	947.83	688.78	1015.93	1407.55	1685.71	503.95	890.44	703.28	738.29	748.61	1191.69	1322.37	409.15	947.83	1397.83	1427.22	470.14	536.45	607.87	1259.69	819.3	633.73	1628.26	486.75	1216.75	395.18	928.3	1857.6	674.59	607.87	819.3	629.35	1572.76	346.29	1175.27	679.29	947.83	995.0	466.88	1844.76	819.3	1378.57	775.05	514.56	332.14	1639.59	624.99	633.73	1167.14	854.13	1378.57	1208.34	961.07	607.87	2090.03	2032.85	703.28	728.11	1769.57	896.64	1088.92	1008.9	463.65	1605.83	400.71	684.02	954.43
FAM194B	0.0	3.5	2.07	2.58	0.0	0.0	3.44	0.0	9.48	0.0	16.15	6.89	13.72	30.12	31.22	5.19	5.96	9.2	13.03	12.18	17.64	19.97	5.59	32.13	16.27	38.12	0.0	15.11	4.86	21.01	13.12	4.35	17.38	12.45	56.28	8.13	16.03	24.63	12.93	6.41	26.1	16.27	31.0	0.0	19.39	10.63	12.64	6.73	3.53	27.44	12.0	21.01	11.04	9.34	0.0	44.89	14.45	12.83	27.84	18.84	33.3	18.29	25.54	7.57	42.71	41.81	6.06	8.32	30.78	18.03	25.17	10.0	5.54	20.86	15.8	11.73	12.55
FAM230A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.88	8.32	6.57	0.0	3.26	0.59	0.99	0.56	16.27	4.13	0.56	0.0	2.41	11.47	0.0	0.0	1.81	0.0	0.95	0.0	0.84	0.0	2.46	0.0	6.01	4.58	2.14	0.58	1.35	0.0	4.86	0.0	0.6	3.56	1.01	10.88	0.56	6.06	8.25	1.43	0.0	0.54	0.58	6.52	0.56	3.23	6.06	0.0	15.11	1.23	2.81	0.0	10.39	16.27	1.69	5.02	1.41	10.71	3.53	0.0	3.26	16.39	1.41	5.96	0.0
FAM71F2	4.28	2.46	10.08	5.23	5.63	0.0	1.2	0.0	9.27	0.0	10.08	12.0	17.38	35.5	46.84	10.55	15.56	6.67	27.44	11.21	36.79	35.25	0.0	28.45	31.22	14.56	2.34	15.45	10.71	15.8	9.48	13.03	31.22	13.42	18.03	7.06	10.55	40.07	20.71	20.41	14.56	6.31	31.0	14.56	27.84	8.99	11.55	14.67	5.63	53.95	11.64	25.54	19.97	4.13	5.19	50.27	12.36	13.03	15.8	27.64	40.36	50.27	18.97	5.06	52.82	60.82	12.55	9.13	19.53	17.77	26.1	19.53	11.3	41.81	6.52	11.38	12.93
FAM76B	162.14	81.71	92.7	97.36	49.21	10.08	52.45	0.0	165.57	37.05	248.0	226.54	198.47	363.56	507.46	151.22	277.2	316.37	299.25	180.02	392.44	412.0	102.97	258.57	420.68	414.87	236.21	191.67	273.37	323.03	289.02	151.22	403.5	221.86	373.81	108.14	128.79	435.55	159.9	162.14	289.02	231.32	429.54	120.94	256.78	205.5	239.52	269.6	193.01	466.88	358.54	305.55	146.03	190.34	190.34	503.95	264.03	264.03	351.14	167.9	567.1	309.83	339.14	181.28	567.1	665.29	343.89	231.32	438.59	384.34	239.52	291.04	212.78	363.56	199.85	242.88	460.44
FCHSD1	212.78	191.67	183.82	201.25	236.21	141.02	289.02	0.0	86.43	24.28	327.56	158.79	334.46	674.59	921.88	96.01	426.57	339.14	493.56	441.64	587.13	571.05	318.57	417.77	629.35	753.83	320.8	195.72	525.39	387.02	420.68	140.04	748.61	134.3	403.5	206.94	432.53	802.41	376.41	356.05	518.15	201.25	698.41	217.27	409.15	327.56	473.41	483.38	368.65	988.12	417.77	669.92	244.57	373.81	312.0	785.88	417.77	435.55	486.75	131.51	915.51	438.59	612.11	414.87	656.11	981.29	457.25	521.76	389.72	525.39	497.0	414.87	341.51	819.3	209.84	346.29	351.14
GABBR1	169.07	85.22	162.14	87.03	29.91	109.66	49.91	0.0	78.89	5.96	540.19	358.54	291.04	620.67	1073.91	126.12	503.95	400.71	438.59	260.38	669.92	785.88	214.27	191.67	503.95	941.27	305.55	339.14	336.79	674.59	346.29	336.79	559.28	346.29	447.82	368.65	297.17	620.67	346.29	264.03	438.59	575.03	684.02	323.03	450.94	332.14	466.88	376.41	221.86	521.76	466.88	473.41	316.37	423.61	327.56	842.36	376.41	373.81	460.44	256.78	679.29	490.14	698.41	279.14	728.11	995.0	409.15	466.88	356.05	607.87	591.22	305.55	332.14	836.53	275.28	260.38	264.03
GIGYF1	197.09	117.6	262.2	189.02	159.9	246.28	249.73	228.13	115.16	43.02	511.0	387.02	547.75	647.07	825.0	281.09	432.53	397.93	417.77	426.57	669.92	679.29	366.09	525.39	688.78	921.88	376.41	316.37	575.03	476.71	483.38	339.14	988.12	334.46	563.18	281.09	480.04	748.61	480.04	346.29	567.1	417.77	607.87	229.72	395.18	325.29	551.56	629.35	314.17	1008.9	563.18	684.02	397.93	307.69	264.03	785.88	447.82	470.14	571.05	435.55	866.07	612.11	543.96	353.59	738.29	1268.46	389.72	480.04	808.0	579.04	507.46	559.28	381.68	603.67	289.02	500.46	406.31
GOLGA6L4	24.63	2.97	6.67	4.31	9.63	0.44	0.83	0.0	14.67	0.77	61.68	23.08	76.71	99.43	169.07	30.12	37.05	35.25	62.56	52.82	105.15	127.0	22.92	15.68	74.06	84.63	35.0	39.5	50.27	69.03	33.06	20.71	100.83	30.56	54.33	17.64	44.89	128.79	38.95	41.81	32.59	36.27	101.54	17.38	74.06	59.97	40.36	64.34	30.12	172.65	94.67	29.48	33.06	33.06	31.45	165.57	44.57	57.49	72.01	27.05	151.22	75.11	101.54	31.45	187.71	204.07	76.71	53.95	76.17	73.03	73.03	56.68	30.34	136.19	21.94	47.17	76.71
GSDMB	84.04	13.52	368.65	142.01	13.32	7.4	11.55	0.0	153.34	1.13	493.56	65.26	348.71	674.59	860.08	80.57	190.34	189.02	255.0	256.78	656.11	476.71	136.19	53.95	718.08	842.36	201.25	98.73	209.84	571.05	195.72	133.36	1216.75	80.57	395.18	82.29	301.33	1151.06	220.32	122.64	258.57	189.02	559.28	105.89	460.44	320.8	273.37	507.46	129.69	1331.57	480.04	941.27	65.72	153.34	69.52	866.07	366.09	265.87	753.83	161.02	1175.27	559.28	466.88	133.36	1044.52	866.07	283.05	336.79	642.59	379.04	363.56	620.67	141.02	785.88	136.19	211.31	145.02
KCNIP2	10.79	4.21	4.31	4.03	4.06	11.04	8.78	0.0	5.5	15.34	27.84	6.26	23.76	42.71	44.89	13.32	25.35	16.27	30.78	11.47	68.07	31.22	9.06	26.86	73.03	39.79	10.08	21.47	10.88	43.63	28.65	20.41	55.89	8.58	28.86	11.73	34.02	75.64	14.78	11.38	27.84	32.82	60.39	30.34	35.0	19.25	43.94	28.04	13.42	67.59	32.13	39.79	8.58	12.0	14.03	41.22	15.11	20.71	31.22	30.56	49.56	63.45	28.24	9.13	83.45	57.49	22.59	24.46	73.54	23.59	116.78	48.87	12.18	49.21	38.4	20.86	26.67
KIAA0895L	57.49	74.58	82.29	88.26	163.28	48.18	71.0	0.0	102.97	30.34	473.41	366.09	348.71	551.56	921.88	163.28	339.14	242.88	316.37	314.17	753.83	555.41	172.65	285.03	1037.29	808.0	164.42	387.02	242.88	684.02	293.07	202.66	764.36	273.37	423.61	144.01	371.22	713.11	249.73	173.85	273.37	323.03	466.88	190.34	400.71	293.07	397.93	334.46	180.02	759.08	381.68	447.82	307.69	140.04	149.12	698.41	231.32	206.94	379.04	291.04	684.02	633.73	384.34	180.02	1427.22	934.76	291.04	277.2	1015.93	607.87	361.04	403.5	165.57	703.28	242.88	226.54	376.41
L3HYPDH	80.01	81.71	363.56	239.52	287.01	185.11	273.37	0.0	237.86	34.75	260.38	120.1	202.66	460.44	633.73	150.17	234.57	150.17	323.03	275.28	417.77	420.68	90.14	529.06	521.76	587.13	175.07	249.73	157.68	435.55	293.07	166.73	389.72	271.48	336.79	147.06	363.56	423.61	133.36	75.64	205.5	159.9	329.84	151.22	305.55	329.84	256.78	255.0	133.36	536.45	447.82	239.52	208.38	133.36	80.57	759.08	172.65	150.17	400.71	493.56	476.71	486.75	532.74	164.42	693.58	743.43	212.78	336.79	503.95	444.72	305.55	327.56	181.28	620.67	195.72	201.25	287.01
L3MBTL1	28.24	14.14	42.71	21.32	20.41	20.71	33.78	0.0	29.48	1.07	341.51	67.12	145.02	299.25	423.61	40.07	157.68	165.57	218.79	112.77	490.14	246.28	52.45	182.55	312.0	271.48	107.38	167.9	151.22	234.57	136.19	90.77	279.14	115.16	273.37	76.17	151.22	368.65	165.57	109.66	273.37	173.85	187.71	84.63	146.03	111.21	185.11	217.27	85.82	376.41	229.72	234.57	88.26	126.12	44.57	312.0	136.19	199.85	262.2	122.64	358.54	269.6	251.48	113.56	373.81	444.72	136.19	205.5	297.17	267.73	186.4	212.78	111.21	454.09	82.29	146.03	144.01
LMBR1L	307.69	258.57	473.41	470.14	221.86	406.31	327.56	0.0	698.41	147.06	974.5	483.38	1081.39	1498.22	2434.5	460.44	1023.0	896.64	1044.52	947.83	1651.0	1388.16	647.07	599.49	1457.23	1950.0	764.36	651.58	866.07	1605.83	1081.39	500.46	2004.85	532.74	1407.55	332.14	902.89	2178.83	878.17	583.07	947.83	775.05	1628.26	507.46	1111.82	1023.0	981.29	1242.34	624.99	2335.28	1467.37	1617.0	563.18	624.99	733.19	1806.78	738.29	848.22	1417.35	660.68	2351.53	1268.46	1216.75	808.0	2384.37	2351.53	1023.0	1001.93	2148.82	1467.37	1467.37	1313.23	638.15	1685.71	599.49	988.12	1870.53
LY6G5B	15.22	2.2	46.84	9.06	15.56	7.94	7.11	0.0	37.05	0.18	161.02	52.08	113.56	241.19	473.41	61.68	100.83	78.34	156.59	88.88	285.03	281.09	31.45	86.43	277.2	323.03	45.53	118.43	61.68	242.88	114.36	53.19	314.17	32.36	197.09	28.86	167.9	356.05	127.0	64.8	121.79	70.51	231.32	78.34	180.02	94.01	114.36	142.01	46.5	417.77	155.5	175.07	82.29	62.12	35.0	412.0	120.94	120.94	277.2	126.12	271.48	231.32	287.01	90.14	503.95	429.54	109.66	143.01	221.86	132.44	162.14	241.19	59.55	327.56	54.33	137.14	130.6
MAMDC4	7.06	4.03	23.93	10.08	17.77	10.79	19.25	0.0	10.47	1.79	191.67	38.4	149.12	285.03	323.03	54.33	165.57	94.01	144.01	101.54	307.69	212.78	59.13	55.1	406.31	403.5	90.14	112.77	130.6	161.02	155.5	90.77	305.55	182.55	234.57	135.24	231.32	199.85	169.07	85.22	147.06	121.79	187.71	123.5	177.53	98.73	144.01	194.36	71.5	356.05	133.36	285.03	74.58	147.06	35.76	314.17	92.7	134.3	183.82	127.0	224.97	202.66	115.97	93.35	309.83	429.54	59.55	119.26	277.2	155.5	133.36	265.87	145.02	332.14	84.63	84.04	120.1
MAPK8IP3	98.73	249.73	234.57	191.67	208.38	126.12	158.79	0.0	120.1	23.93	981.29	591.22	612.11	1059.11	1883.54	341.51	620.67	551.56	703.28	473.41	1143.1	1073.91	301.33	500.46	1322.37	1950.0	343.89	620.67	536.45	1322.37	536.45	314.17	1417.35	426.57	988.12	279.14	708.18	1397.83	607.87	500.46	665.29	791.35	961.07	339.14	902.89	490.14	591.22	848.22	303.44	1963.57	791.35	981.29	423.61	341.51	426.57	1709.26	575.03	551.56	915.51	579.04	1583.71	1225.22	909.17	409.15	1950.0	2119.22	493.56	651.58	1540.37	1096.5	866.07	860.08	412.0	1322.37	392.44	607.87	775.05
MIR3654	13.83	19.39	11.3	9.34	7.57	25.54	10.96	0.0	25.72	19.53	32.82	44.89	73.54	60.82	88.88	23.93	48.52	42.71	48.18	59.13	68.55	46.18	50.27	22.59	99.43	74.06	33.78	36.53	33.54	44.57	74.58	42.11	66.65	50.63	49.56	25.35	62.56	76.17	53.95	42.11	31.0	39.79	65.26	27.05	38.95	40.36	56.68	46.18	27.64	69.52	47.84	58.3	27.64	34.26	29.06	56.28	22.43	41.81	51.71	23.25	64.8	55.1	58.3	43.94	78.89	100.13	64.8	40.64	40.36	54.72	63.45	42.71	37.59	57.89	31.0	38.67	47.84
MSANTD2	35.76	28.86	29.7	39.79	37.59	23.25	59.13	0.0	108.9	15.91	325.29	163.28	237.86	339.14	417.77	150.17	241.19	242.88	285.03	242.88	417.77	353.59	124.37	205.5	406.31	363.56	159.9	299.25	211.31	384.34	199.85	214.27	389.72	224.97	447.82	178.77	234.57	432.53	186.4	147.06	209.84	248.0	309.83	166.73	336.79	231.32	279.14	312.0	158.79	518.15	267.73	246.28	178.77	223.41	138.1	371.22	253.23	248.0	339.14	158.79	409.15	417.77	368.65	149.12	723.08	483.38	239.52	260.38	567.1	283.05	323.03	253.23	180.02	450.94	191.67	248.0	186.4
MSL1	1508.65	780.44	769.69	808.0	283.05	420.68	466.88	1008.9	947.83	460.44	1529.73	1037.29	1135.2	1991.0	1991.0	825.0	2004.85	1572.76	1819.35	1208.34	2319.15	2133.97	1088.92	1081.39	2075.59	2367.9	1191.69	1088.92	1295.13	1896.65	1397.83	1199.98	2777.33	1059.11	1781.89	825.0	1498.22	2351.53	1088.92	1175.27	1519.15	1208.34	2075.59	780.44	1498.22	1295.13	1540.37	1417.35	1159.07	2163.77	1991.0	1781.89	1199.98	1135.2	1844.76	1857.6	1096.5	1427.22	2384.37	1378.57	2004.85	1561.89	1674.06	1143.1	2816.11	2303.12	2032.85	1950.0	2271.4	2090.03	1551.09	1572.76	1268.46	2434.5	791.35	1340.84	1388.16
MSTN	0.77	0.0	0.39	0.41	0.82	0.4	0.0	0.0	4.13	0.27	5.19	5.02	6.01	4.1	8.99	0.0	1.93	7.06	6.94	4.39	7.69	3.63	0.0	15.45	5.28	7.22	0.93	3.0	4.39	5.96	2.86	3.72	15.8	12.83	9.34	4.94	7.28	11.73	3.11	1.85	2.97	3.53	9.27	0.92	4.94	2.25	2.01	6.89	0.0	24.46	3.63	4.54	1.46	3.72	0.88	11.04	6.06	5.28	4.62	11.64	13.42	8.45	13.03	2.25	13.52	5.92	3.47	0.88	11.04	6.78	3.99	9.06	2.23	10.08	3.66	1.38	1.45
MUM1	273.37	167.9	420.68	260.38	229.72	229.72	295.11	366.09	256.78	108.9	518.15	373.81	583.07	629.35	791.35	325.29	483.38	543.96	521.76	395.18	764.36	764.36	287.01	532.74	583.07	723.08	358.54	361.04	599.49	406.31	540.19	417.77	947.83	351.14	384.34	406.31	551.56	688.78	507.46	387.02	483.38	438.59	555.41	387.02	497.0	379.04	571.05	603.67	457.25	988.12	571.05	583.07	387.02	373.81	236.21	769.69	412.0	633.73	470.14	607.87	660.68	775.05	599.49	312.0	1030.12	928.3	466.88	307.69	759.08	497.0	403.5	595.34	532.74	688.78	285.03	473.41	525.39
