	TCGA.XF.A9SI.01A.11R.A39I.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.R53T.0326.SM.48FEC	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.HC.7817.01B.11R.A29R.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N8.A56S.01A.11R.A28V.07
CDK1	848.22	775.05	642.59	27.44	22.26	7.06	1639.59	2163.77	173.85	258.57	170.25	44.57	70.51	228.13	24.99	87.03	24.63	32.82	265.87	599.49	536.45	1286.18	31.67	165.57	283.05	123.5	79.45	66.65	275.28	105.15	62.12	102.97	307.69	60.82	112.77	603.67	493.56	395.18	69.03	234.57	384.34	167.9	1583.71	231.32	54.33	624.99	132.44	384.34	299.25	11.55	35.5	15.11	16.39	10.08	14.78	15.0	4.03	31.22	9.2	88.88	18.16	2.76	6.31	20.41	18.03	12.74	21.63	10.63	25.35	31.67	7.06	104.42	109.66	14.24	91.41	23.93	8.45	51.35	23.08	45.53	31.22	18.84	42.71	13.83	5.23	9.13	129.69	14.78	10.24	3.96	59.13	9.48	20.26	21.63	48.52	21.16	12.09	185.11	20.56	71.0	16.03	63.0	13.52	10.08	17.77	10.71	6.36	18.97	19.25	6.89	9.06	13.83	10.31	35.76	72.01	199.85	9.56	58.71	3.99	6.06	13.42	37.05	7.4	9.41	28.65	43.02	470.14	723.08	748.61	1674.06	1313.23	199.85	20.71	35.5	674.59	2400.97	884.29	1572.76	1037.29
CDT1	470.14	147.06	195.72	14.24	11.82	4.43	518.15	403.5	73.03	78.89	111.99	11.04	28.86	120.94	21.63	38.4	9.48	15.11	69.52	651.58	320.8	466.88	52.45	110.43	153.34	30.78	38.12	36.53	234.57	89.51	28.24	76.71	248.0	35.0	34.26	231.32	149.12	271.48	57.89	231.32	267.73	51.35	205.5	82.87	33.06	312.0	148.09	159.9	81.14	3.63	18.03	20.86	15.0	4.98	24.46	6.73	6.31	14.78	6.67	52.82	19.68	5.5	3.0	7.51	9.56	10.24	11.73	5.23	6.73	14.14	6.52	40.93	57.89	10.96	31.67	9.13	4.13	30.12	27.84	9.2	23.42	3.92	25.35	1.69	0.78	6.78	53.95	1.13	2.2	17.77	26.67	6.62	6.16	17.38	15.11	3.32	5.32	111.99	14.14	26.1	2.25	48.87	6.41	7.94	3.96	7.51	5.96	42.41	9.85	3.86	9.63	7.57	3.26	37.05	19.68	114.36	1.62	32.13	3.99	1.3	25.54	4.98	12.36	1.58	9.27	12.36	181.28	249.73	733.19	264.03	819.3	55.1	41.81	10.96	283.05	220.32	212.78	389.72	703.28
CENPA	299.25	206.94	147.06	4.31	3.11	4.78	599.49	909.17	44.25	57.08	41.22	14.45	22.75	82.29	6.89	31.45	10.63	12.93	61.25	84.63	186.4	536.45	14.35	24.99	170.25	33.78	18.84	23.59	139.07	37.59	20.56	43.94	129.69	17.9	14.89	137.14	209.84	133.36	26.67	89.51	262.2	50.27	493.56	97.36	25.35	320.8	105.89	140.04	120.94	4.5	14.67	4.06	7.94	2.73	12.36	1.85	1.08	9.13	1.68	17.13	6.52	5.32	8.0	9.27	4.43	0.56	6.36	3.99	7.06	3.41	3.72	27.44	17.0	4.66	22.1	6.31	8.38	13.42	3.38	5.54	4.13	0.0	11.73	10.63	0.0	4.5	14.45	0.0	15.68	3.41	11.47	5.19	5.77	6.73	17.51	3.63	2.29	88.88	8.71	25.72	0.0	7.28	5.02	3.99	3.76	1.31	2.05	8.19	10.16	0.84	0.0	0.0	12.55	12.27	16.51	55.1	8.19	16.27	2.1	5.73	8.25	8.65	1.28	2.25	1.17	7.51	191.67	295.11	185.11	703.28	629.35	38.67	14.35	10.39	842.36	785.88	303.44	624.99	366.09
CENPE	63.89	64.34	33.54	2.46	1.25	3.14	323.03	202.66	17.13	23.42	13.42	3.29	7.57	21.47	2.53	13.72	2.01	5.54	18.29	23.93	49.21	105.15	7.88	18.16	40.36	12.27	9.85	11.3	29.27	10.55	8.65	22.92	23.76	17.77	15.0	22.43	38.12	44.89	10.08	29.48	38.67	12.27	114.36	18.7	8.13	103.69	66.65	35.5	26.67	0.54	4.1	3.44	1.62	1.62	2.18	4.1	0.55	3.76	1.11	5.82	2.46	0.57	1.45	1.58	1.13	3.0	2.86	1.71	3.5	5.5	1.08	7.88	10.31	4.98	9.63	1.83	2.97	1.91	1.43	5.92	1.46	1.22	1.81	1.97	0.95	2.27	3.66	1.83	0.75	0.78	16.88	1.36	0.31	1.28	1.71	1.16	0.87	23.42	4.28	7.57	1.22	3.5	1.81	11.04	5.82	0.85	0.32	1.28	1.62	0.37	0.88	0.37	0.0	3.08	4.46	14.35	0.38	6.26	0.34	0.41	5.63	2.76	1.83	2.89	3.99	2.97	63.0	55.49	48.52	134.3	78.89	29.48	6.21	9.63	181.28	94.67	84.04	99.43	70.01
CENPF	575.03	595.34	579.04	13.93	10.47	6.52	4419.52	532.74	100.13	178.77	129.69	28.24	33.06	209.84	3.66	79.45	19.68	30.78	108.9	295.11	299.25	1268.46	23.59	84.63	389.72	58.71	70.51	101.54	307.69	57.89	70.51	72.01	358.54	17.64	52.08	796.86	371.22	493.56	35.5	199.85	293.07	76.17	1143.1	190.34	44.25	595.34	117.6	220.32	567.1	1.41	17.0	13.12	12.64	5.11	11.91	9.56	6.31	29.7	6.16	38.4	7.75	3.03	4.94	12.83	5.23	9.13	18.56	5.36	3.38	13.83	3.5	44.57	38.67	21.94	48.87	5.11	11.91	12.64	20.86	24.63	17.9	2.81	16.88	8.99	0.83	11.47	37.05	7.88	1.23	0.74	46.5	1.93	13.32	14.78	23.42	11.82	4.21	86.43	6.26	35.25	0.73	28.45	7.28	6.78	17.9	9.63	2.78	7.17	10.96	2.51	4.28	4.74	0.77	10.79	15.11	134.3	1.36	42.11	1.28	5.19	5.36	12.36	4.62	3.06	3.29	21.78	412.0	599.49	679.29	860.08	1685.71	69.03	32.82	3.32	1477.58	1540.37	723.08	1378.57	748.61
CENPH	400.71	195.72	183.82	24.99	40.07	20.26	1923.14	583.07	125.24	186.4	109.66	54.72	57.08	127.89	41.52	34.02	30.56	60.82	125.24	387.02	432.53	285.03	48.18	81.71	99.43	67.59	67.59	55.1	151.22	98.04	55.89	96.01	197.09	96.68	69.52	136.19	258.57	125.24	72.01	106.63	191.67	78.89	229.72	36.79	56.68	309.83	102.25	218.79	110.43	27.44	36.27	14.67	50.27	22.92	24.46	24.81	35.0	25.35	31.9	49.91	39.79	22.26	20.86	30.78	16.75	29.91	25.91	19.82	19.68	29.91	17.64	59.13	80.57	20.26	26.47	29.91	23.42	76.71	67.59	16.88	47.5	21.47	37.32	16.15	14.35	35.25	108.14	21.16	11.04	23.42	35.76	21.78	26.86	25.17	17.77	20.86	26.67	61.68	16.03	55.1	23.93	48.87	24.28	45.53	24.28	33.06	43.02	47.84	22.59	17.38	21.32	33.3	18.03	40.07	36.79	102.97	24.81	19.39	25.72	20.71	33.78	19.53	32.36	12.09	67.59	9.48	158.79	249.73	351.14	389.72	961.07	170.25	74.58	98.73	323.03	316.37	371.22	759.08	813.63
CENPK	224.97	126.12	152.28	19.11	14.03	0.0	1030.12	563.18	46.84	95.34	51.35	29.91	20.41	112.77	18.43	36.27	7.51	8.65	47.5	232.94	116.78	204.07	11.91	105.15	95.34	26.86	42.41	51.35	197.09	72.52	40.64	45.21	115.16	28.65	43.94	108.14	229.72	73.03	52.08	79.45	92.7	39.22	323.03	35.5	28.04	397.93	226.54	199.85	74.06	9.85	6.89	6.67	20.86	3.99	8.0	5.63	6.46	9.63	12.93	25.54	11.13	3.96	3.06	14.14	9.27	11.04	12.64	7.11	7.46	7.11	6.67	23.42	53.95	7.69	25.17	15.11	22.26	11.73	29.06	15.56	12.45	1.36	15.11	5.92	0.0	10.96	51.71	7.94	5.02	8.25	28.24	1.51	15.8	17.0	10.88	5.59	3.63	40.07	20.26	28.04	7.0	22.92	6.67	3.08	10.31	8.51	4.74	11.64	8.99	0.68	1.97	7.69	9.34	15.91	12.83	56.68	0.0	22.59	4.46	2.14	3.63	21.01	7.11	9.34	7.34	12.55	409.15	199.85	483.38	363.56	497.0	64.34	19.97	23.93	279.14	371.22	285.03	303.44	299.25
CENPM	1963.57	665.29	343.89	19.11	26.47	5.06	146.03	470.14	212.78	206.94	171.45	21.63	30.78	170.25	21.16	69.03	23.93	30.34	109.66	808.0	480.04	493.56	71.0	158.79	414.87	139.07	45.85	35.25	202.66	85.82	49.91	113.56	293.07	76.17	34.51	285.03	392.44	679.29	108.9	246.28	435.55	120.1	1127.35	260.38	17.64	529.06	358.54	323.03	111.99	32.59	17.9	12.45	35.76	9.56	28.86	6.78	10.0	12.74	14.67	66.18	6.46	4.1	4.9	16.15	15.0	11.82	21.78	21.63	15.0	10.0	4.06	38.12	96.01	0.0	69.52	24.63	10.24	43.63	34.26	30.56	35.76	4.86	27.44	10.63	0.0	6.31	150.17	10.08	3.56	8.45	40.64	10.24	15.8	10.88	30.34	15.22	7.88	183.82	29.27	43.02	18.7	69.03	8.19	18.97	18.03	12.55	7.22	24.99	4.13	21.94	0.0	8.99	3.76	45.53	36.53	209.84	9.13	36.79	4.31	0.0	7.88	31.22	25.17	6.52	0.0	21.47	312.0	327.56	318.57	1001.93	866.07	325.29	39.5	111.21	543.96	497.0	759.08	813.63	1508.65
CENPO	195.72	102.97	144.01	26.1	46.18	22.1	507.46	441.64	140.04	89.51	93.35	37.85	90.77	58.71	16.75	63.0	54.72	50.27	74.06	145.02	158.79	384.34	20.56	59.55	96.01	34.26	64.34	59.97	95.34	39.5	58.71	88.26	92.05	38.95	325.29	124.37	178.77	82.29	48.52	147.06	177.53	57.89	343.89	53.19	59.97	256.78	98.73	127.0	157.68	22.26	147.06	82.29	24.99	25.54	38.4	54.72	35.0	32.59	65.72	37.32	47.84	21.01	36.01	45.85	37.05	56.28	55.89	18.7	42.71	38.4	51.71	56.68	81.14	16.88	100.83	36.79	40.36	53.19	67.12	60.39	86.43	35.0	100.83	22.26	41.81	34.26	68.07	41.81	43.32	49.91	34.51	74.06	49.91	13.72	162.14	22.1	54.33	88.26	49.21	36.79	19.97	61.25	34.75	52.08	25.35	52.82	50.63	55.1	24.63	20.71	28.04	150.17	38.4	74.58	53.57	91.41	34.26	111.99	36.79	13.03	51.71	53.57	44.57	26.28	63.0	142.01	161.02	163.28	283.05	305.55	555.41	70.51	73.54	111.21	587.13	500.46	256.78	271.48	563.18
CENPQ	173.85	85.82	148.09	32.13	52.82	20.41	190.34	299.25	76.17	94.01	48.52	41.52	23.08	61.25	31.0	21.94	31.67	38.95	141.02	208.38	158.79	172.65	31.9	81.14	92.7	34.75	91.41	54.33	143.01	75.11	35.25	88.88	67.12	60.39	51.35	136.19	197.09	70.01	70.01	52.82	167.9	83.45	325.29	81.14	115.16	194.36	161.02	112.77	154.42	35.76	44.25	55.1	43.32	8.85	34.51	65.26	39.5	21.32	49.91	62.56	48.87	19.97	13.22	38.4	17.9	38.67	19.39	27.64	50.98	37.59	31.45	74.58	88.88	23.25	40.64	34.51	18.56	73.03	28.45	33.54	41.22	24.63	55.49	31.22	54.72	53.19	58.3	34.26	29.27	24.11	40.07	8.58	29.48	39.22	32.13	40.07	8.19	64.34	23.93	42.11	32.82	40.36	25.17	49.91	24.81	26.67	34.26	30.12	24.46	28.65	51.71	43.94	56.28	32.82	45.85	143.01	37.85	47.84	48.52	12.36	26.67	55.89	32.36	32.13	43.94	58.3	144.01	199.85	211.31	289.02	202.66	107.38	88.26	82.29	141.02	334.46	131.51	164.42	205.5
CENPW	909.17	429.54	457.25	27.25	51.35	27.05	921.88	1159.07	909.17	297.17	180.02	73.54	115.97	307.69	136.19	113.56	62.56	77.79	156.59	890.44	1096.5	1135.2	158.79	187.71	231.32	173.85	97.36	154.42	295.11	98.73	156.59	262.2	279.14	183.82	131.51	733.19	432.53	429.54	149.12	226.54	314.17	161.02	1674.06	167.9	96.68	1216.75	327.56	713.11	204.07	57.08	109.66	14.14	103.69	37.32	74.06	31.9	28.45	50.63	55.89	123.5	51.35	22.1	32.82	47.5	62.12	55.49	45.53	38.67	28.45	89.51	41.22	132.44	137.14	130.6	106.63	29.48	45.85	82.87	54.72	71.5	101.54	57.89	33.3	46.5	25.72	27.44	157.68	31.67	38.4	92.05	75.11	52.08	98.04	96.68	45.85	28.45	25.54	201.25	15.68	94.01	75.64	40.36	113.56	98.04	40.64	31.67	65.72	28.24	62.12	72.01	7.34	59.55	73.03	110.43	48.52	371.22	24.28	71.0	36.27	27.05	25.72	59.13	16.63	25.72	51.35	17.51	583.07	579.04	329.84	1081.39	1769.57	291.04	96.68	143.01	392.44	1794.29	981.29	2032.85	1844.76
CEP55	307.69	351.14	71.0	5.92	7.0	1.87	108.14	41.52	87.65	101.54	41.81	5.77	10.88	38.4	7.4	19.25	3.06	9.85	29.91	80.01	63.45	368.65	11.64	18.16	52.08	17.38	14.14	15.34	35.0	26.47	10.24	24.99	94.67	16.27	25.35	63.89	102.25	80.57	22.59	60.82	34.02	34.51	159.9	29.7	9.78	71.5	26.28	57.08	58.3	3.06	6.84	2.56	2.34	1.41	1.93	5.23	3.14	8.06	4.28	8.85	4.31	1.39	1.68	4.62	2.92	4.46	6.11	5.96	8.85	4.94	2.81	31.22	16.39	0.88	23.42	7.57	7.17	16.15	6.21	8.71	3.06	2.14	14.67	4.7	3.29	9.34	28.04	5.82	0.87	0.0	11.3	0.0	3.96	13.42	15.91	0.85	2.36	57.08	5.59	27.05	0.0	10.63	2.97	1.33	4.31	5.92	4.74	2.23	1.46	3.06	1.68	1.64	0.0	19.25	12.64	62.12	1.64	15.8	1.53	0.0	4.54	14.35	1.6	0.95	3.41	9.85	334.46	361.04	256.78	341.51	555.41	54.72	8.45	6.62	403.5	249.73	323.03	638.15	260.38
CHEK1	339.14	232.94	74.58	29.7	33.78	15.11	450.94	426.57	83.45	89.51	52.08	20.56	58.3	75.11	25.17	42.41	24.99	40.07	90.14	332.14	287.01	547.75	33.78	60.82	138.1	37.85	57.89	28.45	229.72	85.82	29.48	52.08	229.72	40.36	43.63	95.34	204.07	194.36	48.18	139.07	182.55	45.21	255.0	88.88	47.84	490.14	108.9	109.66	124.37	16.63	26.1	26.47	26.67	16.88	30.78	29.91	25.91	34.26	31.0	48.52	34.75	22.92	15.56	21.63	23.76	29.06	27.05	21.47	12.74	57.08	19.82	44.57	66.65	8.65	44.57	34.51	25.17	28.04	25.72	12.55	10.63	23.42	71.0	23.93	24.99	26.47	73.54	7.06	11.91	8.06	13.93	70.01	20.11	24.63	13.93	21.32	22.75	66.18	17.9	21.16	30.12	61.25	32.36	12.09	16.51	16.03	17.0	53.95	45.85	15.11	9.93	21.78	24.46	35.5	27.84	94.01	14.24	31.9	16.63	17.25	6.11	21.47	20.56	10.96	14.45	20.11	208.38	406.31	400.71	450.94	607.87	106.63	212.78	180.02	490.14	536.45	229.72	351.14	674.59
CHMP1A	1540.37	1594.73	1781.89	759.08	878.17	698.41	1709.26	1857.6	1437.15	1794.29	1225.22	854.13	848.22	1498.22	1008.9	1304.15	1001.93	872.1	928.3	1397.83	1111.82	1709.26	1233.75	1175.27	791.35	974.5	1001.93	796.86	1015.93	1051.79	902.89	1388.16	860.08	1159.07	1277.29	842.36	872.1	2004.85	1295.13	1437.15	1721.16	1216.75	860.08	718.08	1096.5	934.76	511.0	1199.98	684.02	764.36	830.75	733.19	825.0	743.43	896.64	688.78	723.08	718.08	674.59	1104.13	1066.48	688.78	780.44	791.35	802.41	896.64	769.69	854.13	718.08	674.59	796.86	665.29	921.88	1088.92	764.36	896.64	703.28	466.88	599.49	486.75	1151.06	791.35	780.44	295.11	511.0	555.41	679.29	473.41	718.08	753.83	603.67	543.96	1015.93	974.5	728.11	825.0	660.68	669.92	612.11	981.29	884.29	514.56	872.1	1183.45	463.65	547.75	1096.5	500.46	698.41	890.44	514.56	698.41	1008.9	1519.15	733.19	981.29	363.56	884.29	764.36	384.34	759.08	665.29	633.73	532.74	1259.69	884.29	1529.73	2384.37	2047.0	1277.29	1407.55	1508.65	2351.53	1977.24	1119.56	1286.18	1950.0	1721.16	1551.09
CKAP2	309.83	199.85	281.09	20.71	26.67	20.11	1127.35	376.41	187.71	214.27	116.78	56.68	96.01	103.69	35.0	53.95	23.76	73.03	84.63	167.9	81.71	547.75	51.71	74.58	82.87	72.52	72.01	105.15	260.38	98.73	82.29	173.85	69.52	79.45	123.5	136.19	165.57	126.12	106.63	134.3	84.63	98.73	493.56	50.98	94.01	518.15	180.02	95.34	450.94	30.56	36.79	50.27	13.72	38.67	67.59	61.25	24.99	47.84	42.41	101.54	26.47	19.53	16.63	24.99	20.86	52.82	58.3	24.11	41.81	113.56	38.95	49.21	208.38	20.11	85.82	35.5	30.78	45.21	51.35	29.91	27.44	30.78	76.17	51.35	38.4	45.85	55.49	76.71	16.15	16.75	94.01	19.82	19.97	50.98	33.54	26.47	10.96	111.99	37.32	103.69	23.76	73.54	35.5	53.95	28.86	23.93	21.16	39.22	22.26	18.7	31.9	34.02	25.72	39.79	110.43	209.84	25.17	59.97	12.64	58.3	53.95	48.18	28.45	47.5	24.99	75.64	241.19	221.86	305.55	457.25	384.34	180.02	123.5	191.67	688.78	693.58	353.59	656.11	684.02
CLSPN	88.88	90.77	28.24	4.39	8.65	0.0	120.94	185.11	31.22	24.99	11.38	3.82	15.68	15.0	8.78	12.09	2.01	1.93	6.36	52.45	32.36	215.77	5.63	13.93	17.9	5.11	12.93	11.04	43.02	17.25	6.94	18.84	102.97	8.78	7.51	21.32	19.11	13.42	21.16	42.11	33.06	11.21	40.07	6.36	6.46	80.57	102.25	19.82	19.39	2.56	1.27	2.41	0.6	1.14	0.61	0.66	0.0	2.81	0.0	16.51	4.98	0.0	0.54	1.11	1.73	2.61	5.87	5.73	2.46	1.2	1.13	16.39	30.56	0.0	15.68	8.85	1.04	5.73	4.94	2.03	0.59	0.0	2.89	2.2	0.37	2.01	23.25	1.17	0.67	0.29	9.85	3.41	0.27	2.81	5.54	2.56	0.78	30.34	1.31	13.72	5.5	10.63	0.0	6.36	0.0	2.97	0.0	8.25	3.0	0.77	0.79	0.33	0.31	10.31	8.78	23.59	0.0	8.25	1.11	0.38	0.34	1.57	4.62	0.33	0.28	9.13	120.94	92.7	264.03	128.79	303.44	10.16	3.41	2.58	197.09	82.87	66.65	46.5	88.88
DEPDC1	63.0	108.9	87.65	2.36	0.6	0.0	417.77	94.01	13.93	26.67	18.43	3.69	12.18	28.45	3.82	12.09	2.39	4.94	13.93	136.19	88.88	234.57	8.06	24.81	36.01	12.0	13.42	10.24	131.51	21.78	11.04	20.56	83.45	3.63	9.85	19.68	35.0	80.01	8.25	26.86	94.67	13.83	356.05	26.47	10.55	265.87	55.89	74.06	26.86	0.97	5.68	0.57	1.04	1.06	4.21	0.59	0.0	8.71	1.06	7.4	1.99	0.0	0.0	4.5	1.08	1.48	2.25	1.1	1.73	5.87	0.53	13.62	15.34	12.83	14.03	0.84	1.39	4.39	0.56	6.31	1.28	0.97	4.17	2.81	0.0	3.59	8.06	1.04	0.0	0.99	10.55	0.0	0.47	0.51	8.51	0.0	0.54	34.26	8.13	16.15	0.0	6.62	3.63	0.41	4.31	0.54	0.0	1.01	0.93	0.54	1.64	0.0	0.0	5.11	16.03	33.06	0.54	5.63	0.0	0.59	1.07	2.03	0.53	0.54	1.43	6.62	94.01	139.07	90.14	236.21	202.66	21.01	145.02	12.83	291.04	154.42	82.87	107.38	136.19
DEPDC1B	136.19	61.68	111.21	7.22	14.89	3.99	305.55	909.17	29.06	21.47	30.56	4.54	22.59	32.59	5.54	15.45	3.63	4.86	29.91	93.35	64.8	214.27	8.78	19.97	48.18	31.9	20.41	20.86	56.68	19.39	21.63	27.25	65.72	34.51	11.04	169.07	130.6	170.25	27.44	100.13	39.5	34.51	221.86	42.71	10.47	112.77	64.34	55.1	92.7	1.48	7.57	7.82	6.31	4.5	4.58	3.92	3.82	3.11	3.08	23.59	3.47	1.58	0.99	11.04	14.45	9.48	6.84	6.67	4.43	14.67	2.07	15.34	24.28	4.28	40.36	9.78	6.31	5.96	2.76	5.59	10.88	0.54	22.1	7.11	4.54	8.06	30.34	1.2	0.0	2.97	32.59	2.61	4.82	4.54	9.34	3.38	3.38	39.5	7.34	22.26	5.06	8.71	24.46	0.83	5.96	5.73	1.07	3.82	7.17	2.61	0.67	9.48	3.89	78.89	28.24	60.82	4.98	47.5	2.34	0.15	3.41	5.41	1.2	6.62	0.04	5.59	143.01	73.54	156.59	177.53	454.09	33.3	8.65	6.78	358.54	237.86	100.83	381.68	379.04
DIAPH3	75.64	35.5	24.81	1.17	0.6	0.0	37.05	22.92	49.21	25.17	16.39	3.79	6.94	19.11	2.05	8.85	2.03	7.63	11.91	31.9	26.1	91.41	6.26	18.7	12.55	9.27	6.84	9.34	39.79	8.85	8.85	15.8	28.04	5.45	12.74	8.58	15.45	21.32	13.72	18.84	17.77	7.28	89.51	10.24	4.13	98.73	33.78	27.44	35.5	1.41	2.23	2.16	1.03	1.53	1.06	2.76	0.99	5.87	0.54	7.0	1.55	0.0	0.0	0.53	1.57	0.97	3.2	1.6	2.23	2.12	0.53	6.78	10.39	0.97	12.74	1.33	0.93	6.46	3.35	4.58	3.03	1.57	2.36	1.16	0.52	0.44	8.13	1.07	0.0	1.0	5.15	0.47	0.39	1.64	1.6	0.39	0.47	6.94	4.24	6.94	0.41	5.59	1.06	1.31	1.28	0.46	0.97	1.03	1.51	0.46	0.0	0.46	0.44	6.06	4.5	12.55	0.0	8.32	0.42	0.53	1.79	2.32	0.0	1.08	0.97	2.73	49.91	49.21	72.52	36.27	48.87	15.0	5.32	0.72	127.89	153.34	71.5	95.34	96.01
