	GTEX.14AS3.1626.SM.5S2OY	TCGA.AA.3489.11A.01R.1839.07	GTEX.1399U.2226.SM.5KLZI	GTEX.12WSJ.0826.SM.5PNWV	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.ZLV1.0426.SM.4WWC2	GTEX.11WQC.0626.SM.5EQMF	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.NL3G.0526.SM.4RTWW	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	TCGA.33.4587.11A.01R.2125.07	TCGA.EJ.7125.11A.01R.1965.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AG.3725.11A.01R.1736.07	TCGA.AG.3742.11A.01R.1660.07	GTEX.ZV6S.1526.SM.5NQ7O
RPL21	301123.38	78476.96	128373.58	221968.2	1295.13	34876.28	37901.36	40621.74	13033.07	28132.47	57051.4	55491.3	28525.2	52135.28	53230.77	22380.2	27363.16	22380.2	41763.8	35856.82	30999.42	38966.94	24321.43	34396.12	44452.21	42937.97	52497.92	30361.44	28723.62	26986.43	49322.93	44761.41	36357.37	36106.23	49322.93	76861.91	47313.67	17804.06	16611.71	29327.18	13968.57	28328.16	19348.38	22380.2	16269.83	93974.69	89523.81	112532.89	52863.07	120609.84	81244.48	181548.07
RPL22	90773.53	17927.91	26431.04	30151.71	1.23	12764.83	14765.09	15934.98	8479.89	9740.98	20593.91	17681.08	9945.68	18689.27	17804.06	8078.22	8022.41	8022.41	11345.82	13492.72	12076.21	14065.74	9606.86	7695.57	12329.98	16727.26	17804.06	9151.82	9540.5	10440.2	14867.79	18304.63	10368.08	10368.08	20030.74	36106.23	14561.8	5076.84	5366.37	8718.32	9151.82	6207.38	6381.92	8963.45	9151.82	16157.44	18178.19	34158.52	20593.91	18178.19	19754.96	55491.3
RPL23	499455.67	52863.07	76861.91	133825.1	1.66	36106.23	47313.67	44761.41	27363.16	22692.63	78476.96	82378.63	33688.23	68318.04	59063.35	27553.49	20310.37	18689.27	30999.42	40062.48	29736.59	43236.64	21026.65	28923.41	57051.4	47313.67	47313.67	38966.94	28328.16	37121.34	56265.94	54727.32	38697.77	43236.64	53973.86	152662.96	53230.77	14361.31	11664.82	42641.37	39510.91	21468.49	16727.26	19892.37	22692.63	62865.33	73730.83	108699.57	74760.09	57448.23	53973.86	284880.02
RPL24	198667.0	62865.33	70238.75	114897.47	1.6	25005.23	30151.71	28723.62	14262.1	25354.3	53601.03	48307.85	15075.35	34396.12	40621.74	15715.58	22535.88	18178.19	24153.43	35856.82	19214.73	20451.65	13033.07	29327.18	26986.43	28328.16	57448.23	13033.07	29327.18	23986.58	33455.53	35363.15	20310.37	23820.89	28525.2	71219.26	40341.14	17804.06	12764.83	28525.2	18431.96	19754.96	10659.59	14163.58	19082.0	70727.3	79572.48	106462.55	51775.15	97965.44	63302.6	177811.84
RPL26	509950.32	82951.62	129266.49	197294.7	2835.7	43537.38	44761.41	44452.21	14765.09	27938.14	78476.96	64632.75	34396.12	73221.53	61999.83	24660.96	29531.18	38430.46	40621.74	33688.23	31432.17	45072.75	28525.2	43537.38	53601.03	46986.85	59063.35	36610.26	33224.42	38697.77	58655.36	48982.22	43236.64	51775.15	44452.21	126606.21	49666.0	25354.3	16611.71	50709.61	28132.47	31870.96	21172.91	28723.62	17804.06	100719.65	128373.58	124000.67	92680.9	153724.82	104996.83	338781.54
RPL27	389157.95	110983.6	118127.7	233003.78	1583.71	38164.99	58250.19	56657.31	18819.27	30785.28	71219.26	79022.82	31432.17	64186.29	58250.19	26431.04	30785.28	26248.46	35363.15	39785.74	31432.17	43537.38	31870.96	37639.55	59887.86	49322.93	60723.88	36864.92	31650.8	38697.77	67846.12	81809.59	42937.97	48307.85	62431.08	118127.7	48982.22	19754.96	13492.72	52135.28	23009.42	38697.77	16727.26	30572.63	24660.96	135693.24	110216.97	141455.6	69753.56	160252.91	97288.74	329517.51
RPL27A	341137.96	103551.29	144427.91	155870.75	1936.53	57448.23	58655.36	50359.33	20170.07	27745.15	101420.22	90773.53	46662.28	101420.22	63742.91	28328.16	38164.99	36106.23	38430.46	45386.27	32994.92	53230.77	35118.87	43236.64	55877.28	58250.19	64186.29	45072.75	38164.99	57847.82	91404.92	75803.72	55877.28	59887.86	59474.18	141455.6	67846.12	31870.96	18304.63	79572.48	26986.43	46986.85	19618.49	29943.43	21172.91	118949.35	146444.06	131982.68	104271.56	185362.8	100023.92	428815.23
RPL30	417089.23	71714.63	124863.17	155870.75	1.71	46019.85	46662.28	49666.0	24660.96	47313.67	93325.55	80683.28	30151.71	70238.75	63742.91	27553.49	24490.61	27745.15	47642.77	45386.27	34396.12	46986.85	28923.41	48307.85	55877.28	51775.15	59474.18	33224.42	35609.13	37639.55	54727.32	71219.26	44452.21	47313.67	57847.82	121448.75	68318.04	17927.91	14262.1	48643.87	28525.2	30151.71	18052.61	28923.41	25354.3	74243.68	88291.3	153724.82	92040.7	84694.64	72213.45	273275.14
RPL31	542775.98	124863.17	135693.24	175363.84	1.68	52863.07	74243.68	84694.64	46662.28	34635.37	124000.67	107203.06	38430.46	111755.56	70727.3	41475.31	30999.42	32092.64	45072.75	71219.26	35609.13	59887.86	30999.42	65082.31	78476.96	79572.48	87075.75	40341.14	40062.48	51417.5	87681.42	80125.95	58250.19	69753.56	91404.92	201440.3	115696.65	26067.14	13215.02	51417.5	61571.56	45701.96	20881.4	26986.43	43537.38	156954.93	165904.25	194578.47	110216.97	168220.2	116501.39	496005.67
RPL32	466008.55	80125.95	103551.29	198667.0	1.66	33922.56	43840.21	47313.67	18431.96	35118.87	64632.75	76861.91	25354.3	65535.0	61571.56	26431.04	18052.61	22535.88	25179.16	48643.87	21026.65	35118.87	22072.07	30572.63	53601.03	46986.85	64632.75	26248.46	27174.14	34876.28	49322.93	70727.3	34158.52	43236.64	57448.23	140478.49	55491.3	18431.96	10585.95	32092.64	24153.43	28328.16	14461.21	21768.19	26067.14	90146.51	120609.84	163620.18	78476.96	128373.58	76861.91	368165.8
RPL35	334117.42	84109.6	79572.48	127486.83	1.62	27363.16	38430.46	34396.12	13399.51	16960.78	44452.21	41188.81	19892.37	42937.97	46339.95	16727.26	26248.46	19348.38	19348.38	28923.41	11504.21	25887.07	14461.21	28525.2	41188.81	29943.43	41763.8	17558.94	25354.3	37121.34	54727.32	41188.81	28132.47	28923.41	28525.2	89523.81	51062.33	21768.19	5633.22	32767.0	14765.09	26067.14	10659.59	15824.9	16960.78	99333.0	102125.66	138544.47	56657.31	133825.1	65990.84	307450.64
RPL35A	263966.36	60304.42	84694.64	131982.68	1.69	24660.96	35363.15	30151.71	13033.07	26431.04	70238.75	60304.42	17197.56	41475.31	37379.55	14361.31	19214.73	19754.96	29736.59	35363.15	21172.91	26800.01	15392.14	26614.89	39510.91	33224.42	46339.95	21617.82	23009.42	19214.73	46019.85	34396.12	34158.52	33455.53	36357.37	104271.56	34396.12	17681.08	9606.86	26614.89	16383.0	14971.21	11112.3	17804.06	10959.3	69271.73	93325.55	99333.0	63302.6	84694.64	61571.56	239554.43
RPL36A	207103.59	52497.92	50011.46	71714.63	1.73	26800.01	25887.07	27174.14	5954.47	11345.82	41763.8	32092.64	18689.27	54727.32	44761.41	11189.6	11584.24	11909.94	19892.37	19348.38	13776.25	24490.61	15392.14	17804.06	35856.82	26800.01	38430.46	18052.61	17681.08	33455.53	47642.77	39510.91	19892.37	26614.89	30361.44	110983.6	30361.44	9215.48	5751.61	20737.16	13872.08	12589.08	8134.41	11745.96	8022.41	52497.92	59474.18	72715.74	51417.5	77934.88	47642.77	221968.2
RPL37	343510.77	55491.3	65990.84	80125.95	1.6	51417.5	42641.37	47974.16	14765.09	33224.42	59474.18	60723.88	35118.87	80125.95	86474.27	24153.43	18431.96	21172.91	22535.88	30999.42	25354.3	41763.8	32540.65	18560.17	53973.86	46019.85	51775.15	34876.28	26800.01	40621.74	64186.29	64632.75	31432.17	50011.46	50359.33	165904.25	51775.15	16045.82	7032.37	29531.18	31432.17	15824.9	12502.12	16045.82	12853.63	74243.68	83528.61	110983.6	66912.05	67377.47	53601.03	389157.95
RPL37A	506427.83	114897.47	186652.11	279017.26	1.79	65535.0	90773.53	67377.47	43537.38	44145.15	125731.67	122293.5	54727.32	136637.07	94628.34	47313.67	35118.87	24490.61	47313.67	84109.6	32994.92	69753.56	40621.74	47974.16	99333.0	77396.54	92680.9	52135.28	43840.21	57847.82	128373.58	102125.66	66912.05	79572.48	65082.31	269512.87	103551.29	29531.18	11424.74	56265.94	53230.77	46339.95	21468.49	33224.42	49322.93	136637.07	165904.25	248002.34	146444.06	168220.2	114103.8	649962.87
RPL38	322736.12	55107.99	76861.91	170568.48	1447.15	37121.34	35856.82	34396.12	19082.0	26067.14	47974.16	54727.32	29124.6	42641.37	58655.36	18560.17	20030.74	22380.2	20030.74	29736.59	26986.43	29736.59	24490.61	14065.74	44145.15	36864.92	43840.21	26614.89	25179.16	33922.56	42346.82	49322.93	29531.18	32767.0	38430.46	72715.74	43537.38	18178.19	7537.18	30151.71	24153.43	16269.83	14561.8	17437.64	17197.56	66912.05	72213.45	104271.56	56657.31	76330.98	55107.99	236256.4
RPL39	614902.29	109455.64	153724.82	193234.41	2193.99	41763.8	70727.3	50709.61	18560.17	31215.04	97288.74	81809.59	32540.65	80683.28	80683.28	29327.18	33455.53	34396.12	72213.45	49322.93	32994.92	44452.21	26614.89	93325.55	56265.94	46662.28	61146.25	31215.04	38966.94	45701.96	90146.51	57847.82	51775.15	47313.67	64186.29	169390.27	58655.36	27174.14	15285.81	61999.83	28723.62	43840.21	23820.89	35856.82	26067.14	154794.07	168220.2	150561.19	87075.75	218912.29	118127.7	531605.79
RPL4	205673.01	78476.96	81809.59	119776.72	1.73	36106.23	31215.04	46662.28	26614.89	51062.33	63302.6	38697.77	25354.3	64186.29	32994.92	27553.49	14663.09	21320.18	29531.18	42937.97	26614.89	38697.77	28328.16	23492.92	40621.74	42641.37	68318.04	25708.25	36610.26	45386.27	45386.27	66449.85	32767.0	41188.81	57847.82	81244.48	46986.85	14867.79	23330.64	31215.04	32092.64	21768.19	23492.92	26431.04	36864.92	60723.88	82378.63	130165.62	85876.94	69753.56	79572.48	301123.38
RPL41	419990.32	189257.69	237899.7	292889.12	1806.78	84694.64	100023.92	74760.09	37121.34	49666.0	107203.06	136637.07	73730.83	139508.13	114897.47	56265.94	47642.77	30785.28	74243.68	93325.55	51775.15	87681.42	49666.0	66912.05	110983.6	104271.56	102836.01	66449.85	51417.5	99333.0	122293.5	97288.74	76330.98	95949.32	106462.55	256748.15	96616.71	34396.12	23009.42	81244.48	58655.36	57448.23	40062.48	36106.23	36106.23	191899.64	239554.43	181548.07	120609.84	279017.26	159145.95	292889.12
RPL5	147462.67	60723.88	70727.3	65535.0	3443.31	24660.96	25179.16	22692.63	14361.31	25179.16	46662.28	37639.55	18950.18	37121.34	26067.14	15075.35	15075.35	19214.73	23009.42	24660.96	18052.61	23330.64	17197.56	25530.66	26248.46	26248.46	37639.55	18178.19	21468.49	23820.89	31870.96	32540.65	26800.01	26248.46	24321.43	66449.85	29327.18	13968.57	25708.25	24153.43	17927.91	20030.74	16843.62	19618.49	15499.21	51775.15	79572.48	81244.48	59474.18	116501.39	71714.63	187950.38
RPL6	153724.82	45072.75	60723.88	82378.63	1.53	17078.76	34635.37	26431.04	11664.82	17317.18	36610.26	33688.23	14561.8	36106.23	25354.3	15075.35	17317.18	14663.09	25530.66	28132.47	15180.22	23330.64	14461.21	26067.14	25354.3	20310.37	27174.14	16496.96	14765.09	18431.96	41475.31	26067.14	26067.14	26614.89	26614.89	93325.55	16843.62	12943.04	13968.57	25530.66	15607.02	19892.37	16960.78	17804.06	17078.76	42641.37	51062.33	97965.44	52863.07	51775.15	46986.85	152662.96
RPL7	296977.71	59474.18	92680.9	97965.44	1.77	27363.16	47642.77	44761.41	24153.43	31432.17	69271.73	52863.07	24153.43	62431.08	40621.74	24321.43	14867.79	17197.56	40062.48	53601.03	25708.25	35609.13	19348.38	42937.97	31215.04	45701.96	62865.33	25354.3	29943.43	31432.17	52135.28	46019.85	36357.37	35609.13	54727.32	127486.83	45072.75	11909.94	20451.65	26800.01	28723.62	23330.64	22692.63	26986.43	20737.16	53973.86	72213.45	132900.7	82378.63	64632.75	63302.6	271387.49
RPL7A	282912.21	72715.74	119776.72	121448.75	1.75	32540.65	37379.55	38430.46	21172.91	21172.91	69753.56	63302.6	31650.8	86474.27	36864.92	26800.01	16496.96	17804.06	23820.89	44145.15	19482.97	46662.28	19348.38	27174.14	43537.38	44452.21	63742.91	25179.16	26986.43	51417.5	72715.74	64186.29	35118.87	44761.41	43236.64	151608.43	48307.85	16269.83	17681.08	42641.37	33455.53	23330.64	16843.62	17558.94	20310.37	75803.72	104996.83	136637.07	77396.54	100023.92	67846.12	271387.49
RPL9	320506.81	77934.88	121448.75	179048.63	1.5	25887.07	32315.87	47313.67	9344.14	20170.07	80125.95	42054.3	26431.04	30572.63	59887.86	12589.08	34158.52	40621.74	67377.47	28923.41	43537.38	33224.42	23492.92	55491.3	32092.64	45701.96	39510.91	24832.5	33922.56	51062.33	66912.05	55877.28	41475.31	34876.28	34635.37	112532.89	40904.3	25179.16	17558.94	29736.59	20030.74	34876.28	36357.37	16269.83	8479.89	119776.72	130165.62	181548.07	59063.35	140478.49	87075.75	606436.73
RPLP1	428815.23	83528.61	144427.91	182810.84	728.11	66449.85	82378.63	51062.33	18950.18	28923.41	70727.3	78476.96	49666.0	93974.69	88291.3	24153.43	38430.46	22850.48	29124.6	42937.97	24153.43	51775.15	34396.12	37379.55	59063.35	63302.6	72213.45	37901.36	37121.34	50709.61	94628.34	75280.1	50709.61	60304.42	59063.35	181548.07	57847.82	23986.58	14971.21	43236.64	39237.98	31432.17	18052.61	28328.16	20170.07	112532.89	110983.6	136637.07	82378.63	106462.55	75803.72	437825.58
RPLP2	169390.27	42054.3	67377.47	110983.6	2777.33	36610.26	33224.42	32092.64	17197.56	26800.01	38966.94	41188.81	30572.63	49666.0	57847.82	28328.16	23169.48	19214.73	20593.91	27745.15	24153.43	29124.6	31215.04	14663.09	33922.56	33922.56	44452.21	26800.01	25179.16	36106.23	41188.81	51062.33	23656.34	33688.23	45072.75	59887.86	37121.34	13306.94	12160.22	27174.14	24832.5	17681.08	13215.02	15824.9	17804.06	56657.31	52135.28	93325.55	42054.3	61571.56	40341.14	301123.38
RPS10	258533.99	76330.98	99333.0	191899.64	1.69	28525.2	47313.67	39510.91	11745.96	16157.44	66449.85	83528.61	19892.37	51062.33	53230.77	20030.74	22535.88	12160.22	24832.5	28132.47	13586.57	28723.62	15934.98	27553.49	41188.81	28328.16	45701.96	24490.61	22535.88	52497.92	62431.08	70727.3	29943.43	43537.38	44145.15	106462.55	52863.07	10440.2	7382.04	44452.21	23169.48	23986.58	11345.82	17927.91	14867.79	85876.94	102836.01	116501.39	57448.23	122293.5	64632.75	303217.87
RPS11	496005.67	120609.84	167058.21	267651.2	1.77	61146.25	72715.74	71714.63	41188.81	49666.0	113315.62	136637.07	39785.74	100719.65	79572.48	42937.97	37121.34	38164.99	40904.3	88291.3	42641.37	58655.36	32092.64	43840.21	92680.9	77934.88	102125.66	50011.46	39237.98	53973.86	97288.74	100023.92	61146.25	81809.59	87681.42	179048.63	108699.57	29736.59	16727.26	71714.63	53601.03	47642.77	27174.14	44145.15	41188.81	147462.67	190574.09	217400.14	109455.64	191899.64	114103.8	391864.76
RPS12	419990.32	72213.45	97288.74	165904.25	1104.13	41475.31	57051.4	30572.63	24321.43	24832.5	62865.33	60723.88	35856.82	97288.74	57847.82	27363.16	27938.14	19892.37	42054.3	51062.33	26431.04	44145.15	29736.59	52863.07	52135.28	40341.14	58655.36	35118.87	38164.99	53973.86	96616.71	66449.85	48982.22	43537.38	52863.07	160252.91	62865.33	21617.82	20593.91	47313.67	35609.13	42641.37	23330.64	26986.43	24832.5	100023.92	110216.97	113315.62	67846.12	105727.15	75280.1	378516.38
RPS13	172949.54	47313.67	61146.25	97965.44	2451.44	22380.2	30361.44	23986.58	11189.6	22072.07	40341.14	40904.3	16269.83	30999.42	36106.23	13776.25	19754.96	14867.79	21768.19	25887.07	15824.9	22380.2	14867.79	26431.04	30151.71	22692.63	31215.04	16496.96	19082.0	27938.14	34158.52	37379.55	26800.01	26067.14	25708.25	60723.88	33224.42	11345.82	15180.22	27745.15	17804.06	19348.38	13968.57	14163.58	13033.07	55491.3	57051.4	73221.53	38430.46	71714.63	46662.28	197294.7
RPS14	262143.0	65990.84	95949.32	137587.47	1.45	47642.77	38430.46	34396.12	30999.42	32540.65	61571.56	65535.0	32540.65	81809.59	32767.0	31432.17	18178.19	5594.3	25005.23	38164.99	25005.23	42641.37	18178.19	28525.2	38430.46	50359.33	58655.36	16727.26	26431.04	46662.28	58250.19	60304.42	55107.99	51775.15	59063.35	142439.51	75280.1	13215.02	7130.55	46986.85	36357.37	26431.04	10512.82	26248.46	14561.8	91404.92	110983.6	126606.21	66449.85	153724.82	71219.26	336441.4
RPS15	202841.44	40062.48	71219.26	111755.56	1.51	21768.19	31650.8	22380.2	12943.04	14361.31	34876.28	41475.31	17437.64	29124.6	38966.94	17078.76	18178.19	11745.96	13033.07	18560.17	11345.82	20737.16	11424.74	11745.96	40621.74	26248.46	28328.16	19082.0	15180.22	30785.28	36357.37	32315.87	24832.5	28328.16	26248.46	58250.19	32315.87	12676.65	3443.31	25530.66	16960.78	15285.81	6426.31	15824.9	12076.21	48982.22	78476.96	103551.29	39785.74	55107.99	32092.64	174152.51
RPS15A	363097.14	82951.62	115696.65	151608.43	1639.59	41475.31	49666.0	45701.96	17681.08	25887.07	74760.09	85283.74	29124.6	65535.0	47642.77	24153.43	26800.01	27938.14	35609.13	42054.3	30999.42	44761.41	22692.63	49322.93	56657.31	42937.97	45701.96	32092.64	30999.42	33688.23	54727.32	56657.31	49666.0	47642.77	43537.38	107203.06	49322.93	20310.37	16045.82	55107.99	28328.16	30999.42	20170.07	27174.14	19214.73	113315.62	123144.13	124000.67	72715.74	162489.97	96616.71	305326.92
RPS17	223512.12	16843.62	18431.96	60304.42	1.31	5555.65	9540.5	6294.04	3018.3	2384.37	10440.2	17437.64	3467.27	8538.88	7180.15	4481.23	6561.36	4512.4	10808.41	16960.78	1639.59	4736.79	3190.46	16843.62	11909.94	5441.3	5403.7	1540.37	5479.15	7280.4	17437.64	3467.27	7537.18	8363.13	20170.07	10368.08	7382.04	4095.0	1304.15	4704.07	3768.09	11267.44	4802.93	6121.9	2682.69	21172.91	29531.18	51775.15	14561.8	31650.8	16611.71	101420.22
RPS18	767601.56	190574.09	131071.0	172949.54	1.83	63742.91	89523.81	85283.74	30151.71	37901.36	120609.84	108699.57	44452.21	123144.13	77396.54	38697.77	25708.25	26800.01	33922.56	43537.38	28328.16	62431.08	26248.46	61571.56	49666.0	21768.19	107203.06	22692.63	47642.77	90146.51	101420.22	124000.67	38966.94	70238.75	55107.99	215898.44	108699.57	31215.04	23820.89	50359.33	43840.21	60304.42	22225.61	33455.53	32540.65	208544.12	280957.98	253213.41	71714.63	389157.95	143430.26	863596.77
RPS20	535303.41	61571.56	87681.42	195931.88	1.6	52497.92	53973.86	41475.31	29124.6	39237.98	97288.74	74760.09	33224.42	72715.74	72213.45	30361.44	35363.15	26800.01	46662.28	62431.08	27938.14	39237.98	22692.63	52497.92	55491.3	59887.86	73730.83	30572.63	46986.85	40062.48	73221.53	46019.85	48982.22	38430.46	57847.82	128373.58	85283.74	35609.13	20170.07	61571.56	38697.77	46339.95	22692.63	24832.5	20030.74	102125.66	114897.47	137587.47	83528.61	74243.68	71714.63	334117.42
RPS21	329517.51	88291.3	133825.1	121448.75	1.64	46662.28	59474.18	55107.99	28132.47	19082.0	97965.44	97288.74	30999.42	84109.6	93325.55	32315.87	34876.28	14163.58	27174.14	47642.77	20310.37	49322.93	23656.34	32994.92	63742.91	54727.32	59887.86	30999.42	29124.6	50011.46	82951.62	76330.98	47642.77	64632.75	63742.91	125731.67	90146.51	9876.98	7857.29	56265.94	35118.87	36864.92	11992.79	29531.18	32540.65	131982.68	127486.83	143430.26	100719.65	167058.21	82378.63	447025.24
RPS23	290865.98	102836.01	150561.19	208544.12	1.73	47313.67	56265.94	61146.25	26614.89	41188.81	94628.34	81809.59	33688.23	89523.81	87075.75	34396.12	21919.61	28525.2	47313.67	50709.61	36106.23	48307.85	34158.52	58655.36	65082.31	53230.77	80125.95	36106.23	36610.26	45701.96	71219.26	105727.15	52135.28	61146.25	65990.84	133825.1	60304.42	14971.21	15499.21	33224.42	40621.74	25179.16	21919.61	33455.53	27363.16	98646.85	106462.55	139508.13	90773.53	128373.58	87681.42	431797.89
RPS24	539026.74	116501.39	129266.49	159145.95	2645.74	52135.28	72213.45	59887.86	23169.48	34396.12	102125.66	84109.6	53601.03	80125.95	80683.28	32994.92	36357.37	32994.92	79022.82	51417.5	40621.74	60304.42	42641.37	73730.83	73221.53	70238.75	79022.82	44452.21	45072.75	53601.03	84109.6	80125.95	51062.33	64632.75	73730.83	220434.95	74243.68	35118.87	22692.63	50359.33	39785.74	43840.21	27553.49	40062.48	34635.37	131071.0	164758.26	165904.25	107203.06	131071.0	119776.72	677564.08
RPS25	180294.02	41188.81	47313.67	93325.55	1378.57	25887.07	24321.43	19082.0	11584.24	21919.61	37379.55	32315.87	15824.9	29531.18	25179.16	12764.83	17197.56	15607.02	21768.19	24490.61	17197.56	21919.61	13872.08	19754.96	25179.16	22535.88	28923.41	14561.8	18950.18	19892.37	31215.04	26248.46	23492.92	20881.4	23986.58	46986.85	25005.23	12589.08	11504.21	22535.88	11909.94	16045.82	11745.96	15607.02	10883.59	43840.21	48643.87	70238.75	39510.91	50359.33	43840.21	136637.07
RPS26	41188.81	35856.82	12329.98	51775.15	0.24	5329.3	18431.96	6471.02	8718.32	18560.17	30151.71	20593.91	12853.63	17317.18	25530.66	5076.84	5954.47	15824.9	11345.82	25005.23	12076.21	24490.61	18178.19	14262.1	29327.18	13872.08	8963.45	4937.99	6887.62	28132.47	34396.12	16383.0	5041.77	16157.44	24832.5	9740.98	15934.98	11504.21	4038.61	15285.81	22535.88	17558.94	9540.5	3982.99	9876.98	38164.99	41763.8	29531.18	7280.4	38697.77	32767.0	52863.07
RPS27	701458.36	202841.44	244588.0	506427.83	1.68	133825.1	175363.84	136637.07	50709.61	87681.42	296977.71	303217.87	84694.64	184082.4	180294.02	74760.09	106462.55	77934.88	114897.47	131071.0	87075.75	118127.7	61571.56	161367.56	181548.07	141455.6	124000.67	92040.7	75803.72	112532.89	176583.6	131982.68	172949.54	134755.94	153724.82	292889.12	218912.29	76861.91	27553.49	211455.3	97965.44	131071.0	66449.85	84694.64	41188.81	271387.49	305326.92	277089.94	198667.0	242898.5	212926.09	577714.63
RPS27A	225066.78	65082.31	68793.23	107948.72	1.69	23492.92	31215.04	39785.74	11584.24	21468.49	34876.28	44761.41	17437.64	33455.53	48307.85	16843.62	18689.27	20310.37	27938.14	29531.18	20881.4	24832.5	16496.96	25005.23	27174.14	27553.49	46662.28	15607.02	24321.43	26986.43	34158.52	27174.14	25005.23	24832.5	38966.94	77396.54	35118.87	15285.81	12076.21	20170.07	12589.08	14765.09	12244.81	15934.98	13968.57	68793.23	77396.54	132900.7	54349.29	83528.61	65990.84	150561.19
RPS29	677564.08	150561.19	154794.07	242898.5	830.75	73221.53	121448.75	80683.28	33224.42	54727.32	117311.73	148488.36	49322.93	140478.49	114897.47	53973.86	61571.56	32994.92	67377.47	105727.15	46986.85	69271.73	42346.82	70727.3	89523.81	69271.73	112532.89	56265.94	62865.33	68793.23	151608.43	107948.72	82951.62	65082.31	102836.01	239554.43	95286.54	29327.18	20593.91	145432.49	45386.27	90773.53	38164.99	42346.82	35609.13	198667.0	174152.51	162489.97	107948.72	273275.14	158046.64	422911.59
RPS3	440870.9	101420.22	127486.83	140478.49	1.75	57847.82	89523.81	56657.31	29124.6	18052.61	114897.47	109455.64	46662.28	115696.65	84109.6	41763.8	30785.28	19082.0	37901.36	68793.23	28525.2	51775.15	21468.49	47642.77	84109.6	66449.85	62865.33	41763.8	25530.66	61146.25	93325.55	100023.92	47313.67	65535.0	70238.75	234624.45	77934.88	21617.82	18819.27	61999.83	45072.75	36864.92	25005.23	32540.65	32540.65	105727.15	132900.7	172949.54	82378.63	163620.18	95286.54	365622.68
RPS3A	360589.03	126606.21	151608.43	147462.67	2032.85	32767.0	46339.95	52135.28	17317.18	21320.18	65082.31	64632.75	30785.28	68793.23	47974.16	21617.82	31432.17	28723.62	51775.15	43236.64	34876.28	44761.41	24321.43	55107.99	45386.27	40904.3	45386.27	31650.8	25708.25	28328.16	74243.68	53601.03	47974.16	46662.28	42054.3	136637.07	52135.28	21026.65	25708.25	43537.38	18950.18	34158.52	23820.89	38164.99	20881.4	138544.47	177811.84	146444.06	90146.51	262143.0	121448.75	561916.97
RPS5	172949.54	58250.19	81809.59	132900.7	1.6	20310.37	30572.63	23169.48	11345.82	16843.62	26431.04	43236.64	15285.81	41475.31	26248.46	19214.73	13033.07	5366.37	14262.1	30785.28	7280.4	23009.42	9215.48	21468.49	27363.16	25530.66	35118.87	14361.31	13033.07	32540.65	50709.61	39237.98	20593.91	28132.47	29736.59	55877.28	34158.52	9540.5	8191.0	29943.43	16611.71	23330.64	8363.13	9474.59	14971.21	51062.33	90146.51	80125.95	37901.36	104996.83	48307.85	211455.3
RPS6	431797.89	128373.58	125731.67	138544.47	1.79	38430.46	51062.33	48643.87	13776.25	26986.43	58250.19	56265.94	30151.71	88291.3	61999.83	25005.23	25179.16	16496.96	34876.28	53230.77	17804.06	43537.38	21026.65	37379.55	52497.92	55491.3	80683.28	23330.64	30151.71	46019.85	84109.6	57847.82	35118.87	51775.15	45386.27	226632.25	61999.83	17927.91	33922.56	40621.74	23009.42	23986.58	16157.44	16611.71	20593.91	118949.35	171754.88	193234.41	86474.27	263966.36	111755.56	489177.0
