	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZT9X.0326.SM.51MTE	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.144GM.0126.SM.5Q5AX	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZY6K.0326.SM.5SIBB	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.OXRK.0926.SM.2HMKP	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.WYVS.0526.SM.3NM9W	TCGA.33.4589.01A.01R.1443.07
SEC14L4	0.0	0.0	0.0	49.56	0.0	0.0	3.5	373.81	785.88	42.41	414.87	72.52	412.0	612.11	88.26	100.83	52.08	18.56	307.69	124.37	234.57	796.86	303.44	14.67	647.07	232.94	616.37	55.89	269.6	486.75	25.54	114.36	381.68	57.49	72.52	228.13	141.02	890.44	218.79	583.07	80.57	575.03	23.76	61.25	1.14
SFTPA1	0.0	4.17	5.15	0.0	0.0	0.0	215.77	5809569.18	4987895.16	2459612.16	4495342.72	1775752.63	4252853.3	2636147.11	3245478.02	2156109.97	443937.41	1012856.65	3156730.23	3576208.94	2097151.0	3406832.48	4252853.3	593956.43	3806410.22	2599854.48	2581895.97	2459612.16	3832885.91	3968052.37	1264380.15	2011721.67	2408994.05	919186.72	2710259.32	1567462.05	2232145.06	2442622.37	2546350.23	4558095.38	2904784.09	2425749.94	3454390.1	767601.56	8.06
SLC25A23	500.46	450.94	521.76	348.71	1709.26	1467.37	264.03	2555.58	2537.92	775.05	2739.08	2417.67	1583.71	1583.71	1175.27	753.83	447.82	591.22	1561.89	1685.71	1044.52	1561.89	1733.13	343.89	1407.55	1286.18	1457.23	961.07	1331.57	1870.53	928.3	1127.35	1639.59	848.22	1417.35	2591.27	1242.34	2835.7	1551.09	2163.77	1183.45	1662.49	981.29	599.49	37.05
SORBS1	6.11	57.49	63.45	212.78	0.0	0.55	7.75	599.49	476.71	246.28	463.65	161.02	447.82	748.61	295.11	195.72	57.89	183.82	559.28	136.19	567.1	1044.52	743.43	60.39	563.18	295.11	660.68	1477.58	902.89	665.29	239.52	126.12	412.0	103.69	400.71	473.41	500.46	748.61	507.46	202.66	1529.73	1388.16	444.72	143.01	5.54
SORBS2	14.45	5.41	11.3	181.28	0.0	0.45	66.65	616.37	2627.46	130.6	1963.57	237.86	878.17	674.59	356.05	87.03	36.53	107.38	1963.57	400.71	221.86	780.44	642.59	22.1	2875.3	616.37	1277.29	1745.2	1304.15	2255.7	199.85	85.22	470.14	74.06	808.0	1950.0	444.72	2417.67	3303.0	490.14	3146.52	4769.75	244.57	241.19	9.2
SP2	183.82	158.79	199.85	152.28	0.0	0.41	104.42	638.15	432.53	309.83	583.07	406.31	450.94	540.19	444.72	277.2	371.22	358.54	376.41	518.15	438.59	497.0	559.28	289.02	297.17	540.19	536.45	387.02	656.11	490.14	368.65	214.27	379.04	287.01	470.14	547.75	381.68	463.65	435.55	412.0	543.96	616.37	193.01	201.25	57.49
SPRY4	35.5	220.32	166.73	60.39	143.01	791.35	93.35	2240.11	708.18	1111.82	2104.58	432.53	1819.35	1498.22	842.36	1594.73	232.94	470.14	748.61	518.15	738.29	780.44	1286.18	275.28	444.72	1331.57	764.36	896.64	2573.36	764.36	934.76	525.39	802.41	486.75	299.25	884.29	708.18	2537.92	1977.24	6561.36	1477.58	4481.23	1540.37	403.5	18.97
SUSD5	3.26	1.38	0.43	1.91	0.0	0.08	2.53	10.96	117.6	21.47	35.0	6.89	27.84	56.68	21.47	7.06	5.41	11.47	25.35	11.55	7.69	24.63	38.67	2.05	46.18	11.73	59.13	142.01	40.07	48.87	3.53	13.83	38.67	2.66	17.38	42.41	6.31	27.05	35.76	10.0	53.95	73.54	9.48	11.91	0.74
TACR2	26.86	15.11	1.83	3.92	0.0	0.05	1.97	32.13	42.41	10.96	35.25	16.15	38.4	30.78	19.68	10.0	12.74	7.11	21.32	40.36	22.75	22.59	23.59	2.25	46.84	29.27	45.53	34.51	51.71	57.08	31.0	8.99	31.22	12.09	13.32	28.24	33.06	23.25	17.64	10.31	9.2	68.55	15.45	18.56	5.73
TBX4	0.47	2.46	0.77	12.93	0.0	0.6	5.32	194.36	1143.1	248.0	738.29	275.28	473.41	1015.93	209.84	258.57	47.84	176.29	229.72	819.3	178.77	305.55	476.71	305.55	583.07	381.68	688.78	595.34	460.44	728.11	158.79	123.5	703.28	100.13	221.86	669.92	204.07	291.04	836.53	529.06	336.79	1295.13	220.32	39.79	1.04
TENC1	285.03	129.69	131.51	785.88	0.0	0.93	193.01	2400.97	3768.09	1487.87	4736.79	2004.85	2119.22	3419.52	2855.44	312.0	503.95	1340.84	3039.3	2061.24	1857.6	3235.01	3235.01	808.0	3665.02	1350.18	3395.89	5479.15	4836.35	3768.09	1457.23	941.27	2047.0	1286.18	1127.35	5076.84	2148.82	3589.58	4736.79	2502.97	2855.44	7032.37	3419.52	429.54	37.85
THAP11	647.07	656.11	291.04	366.09	444.72	395.18	438.59	769.69	753.83	713.11	723.08	543.96	813.63	842.36	759.08	417.77	656.11	563.18	733.19	813.63	525.39	656.11	836.53	521.76	603.67	624.99	764.36	764.36	1059.11	947.83	547.75	624.99	688.78	620.67	514.56	884.29	551.56	854.13	854.13	693.58	665.29	723.08	417.77	599.49	559.28
TIMP2	1304.15	620.67	1175.27	435.55	0.0	0.93	638.15	6337.83	10225.32	1159.07	8305.36	3349.13	3039.3	2739.08	3928.15	934.76	1781.89	2520.38	3768.09	3874.05	4152.18	7433.4	5633.22	1259.69	4704.07	2573.36	3794.3	3491.39	6792.79	6792.79	890.44	1594.73	6607.01	995.0	5219.6	4869.99	2485.67	10154.69	7857.29	5147.73	4419.52	10733.74	1498.22	1467.37	316.37
TLCD2	15.34	13.52	24.11	48.52	0.0	0.13	20.26	202.66	169.07	177.53	183.82	47.5	181.28	232.94	57.89	111.99	53.95	100.13	68.07	119.26	99.43	90.14	159.9	78.89	214.27	154.42	166.73	87.65	228.13	110.43	108.9	69.03	109.66	136.19	112.77	136.19	251.48	117.6	100.83	122.64	147.06	195.72	90.77	88.88	22.43
TMOD1	36.01	28.04	28.45	163.28	0.0	0.47	53.57	336.79	343.89	118.43	423.61	26.47	143.01	119.26	381.68	158.79	33.54	149.12	226.54	199.85	157.68	277.2	332.14	53.95	348.71	84.63	441.64	228.13	231.32	638.15	68.55	34.75	251.48	16.75	356.05	229.72	99.43	503.95	281.09	110.43	409.15	733.19	414.87	40.93	39.5
TNFSF12	258.57	305.55	412.0	403.5	0.0	0.67	309.83	1936.53	3540.14	1427.22	4239.45	1605.83	4123.49	2335.28	1733.13	199.85	3081.75	669.92	2895.31	2835.7	2032.85	2976.74	2520.38	1225.22	2701.35	1540.37	1896.65	2104.58	3060.45	2271.4	1127.35	2178.83	1674.06	1096.5	660.68	2875.3	2255.7	1991.0	1685.71	3190.46	1832.01	2915.45	1001.93	1044.52	226.54
TNRC18	285.03	551.56	379.04	397.93	543.96	285.03	460.44	753.83	1806.78	1088.92	2682.69	1119.56	1167.14	1745.2	395.18	514.56	381.68	624.99	819.3	988.12	454.09	796.86	748.61	543.96	2271.4	1250.98	1757.34	1639.59	1617.0	1008.9	620.67	791.35	748.61	679.29	314.17	2417.67	1617.0	1709.26	872.1	1757.34	866.07	1977.24	693.58	532.74	94.67
TNS1	48.52	26.86	59.97	38.4	0.0	0.64	68.07	5711.87	12076.21	1896.65	21468.49	1015.93	4010.71	7911.95	2032.85	1697.45	201.25	825.0	3467.27	2701.35	1781.89	5831.91	5403.7	848.22	4066.71	2255.7	6745.86	6699.25	6250.56	10512.82	1709.26	1044.52	3039.3	441.64	1870.53	8078.22	2573.36	10154.69	3716.2	3716.2	9215.48	10959.3	1487.87	599.49	21.16
TSC22D1	5517.27	5872.48	2502.97	1757.34	1674.06	536.45	3372.43	10883.59	11827.67	7230.1	16157.44	2555.58	7331.05	10084.54	7485.11	9151.82	1697.45	3614.55	8778.97	5751.61	5006.93	6935.54	7749.1	2976.74	7537.18	7589.61	13123.73	8718.32	10225.32	13681.08	6471.02	1857.6	12329.98	2720.15	11909.94	9344.14	6516.03	11909.94	7382.04	8718.32	12244.81	16960.78	18178.19	3874.05	2855.44
TSPAN9	423.61	109.66	384.34	175.07	0.0	0.74	246.28	902.89	1417.35	295.11	2319.15	476.71	796.86	909.17	511.0	273.37	186.4	555.41	540.19	830.75	412.0	1519.15	679.29	256.78	718.08	679.29	571.05	521.76	796.86	954.43	271.48	242.88	1151.06	275.28	511.0	860.08	239.52	830.75	616.37	703.28	1167.14	1437.15	406.31	327.56	423.61
TTC28	18.29	3.32	9.56	24.11	0.0	0.43	15.8	432.53	339.14	187.71	567.1	223.41	226.54	376.41	142.01	121.79	32.13	45.85	140.04	244.57	130.6	202.66	220.32	47.5	236.21	163.28	356.05	206.94	260.38	231.32	140.04	89.51	246.28	77.79	105.89	708.18	148.09	244.57	371.22	454.09	191.67	802.41	234.57	52.82	3.89
UNC45B	0.0	0.43	1.23	0.43	0.0	0.0	0.0	11.21	18.03	13.12	8.92	2.63	21.94	17.25	7.28	9.78	3.38	7.34	9.63	9.27	3.86	6.26	10.08	2.25	10.71	10.39	19.53	27.64	14.67	15.91	3.99	4.9	19.82	1.99	3.66	15.0	2.34	17.25	19.25	1.85	17.51	29.7	5.96	8.0	0.0
VSTM4	13.62	6.78	16.88	17.77	32.13	61.68	19.82	289.02	764.36	147.06	353.59	101.54	195.72	289.02	211.31	18.16	70.01	115.97	351.14	206.94	320.8	543.96	140.04	45.53	241.19	195.72	463.65	201.25	173.85	387.02	67.59	92.05	356.05	58.3	157.68	336.79	185.11	441.64	400.71	409.15	486.75	480.04	339.14	49.56	3.92
WDTC1	185.11	320.8	412.0	334.46	0.0	0.62	107.38	1088.92	1295.13	444.72	2400.97	647.07	1127.35	1551.09	620.67	423.61	389.72	599.49	921.88	909.17	432.53	1286.18	1159.07	343.89	1781.89	525.39	1199.98	909.17	1191.69	1199.98	540.19	543.96	1096.5	356.05	454.09	1794.29	587.13	1757.34	825.0	1369.04	1225.22	1242.34	860.08	473.41	142.01
YPEL1	15.0	18.43	18.03	27.84	0.0	0.24	8.99	92.7	153.34	14.35	182.55	77.25	81.71	229.72	51.71	18.7	6.26	21.32	100.83	122.64	16.88	187.71	169.07	12.27	127.89	24.11	119.26	116.78	150.17	241.19	33.06	18.97	215.77	9.2	59.13	262.2	67.12	281.09	295.11	148.09	103.69	226.54	90.77	23.76	5.32
ZBTB4	237.86	229.72	387.02	131.51	293.07	309.83	93.35	921.88	1806.78	842.36	2609.3	669.92	1639.59	1757.34	708.18	536.45	343.89	518.15	1340.84	1340.84	595.34	974.5	1233.75	371.22	2384.37	830.75	1295.13	1183.45	1286.18	1529.73	718.08	579.04	1242.34	493.56	414.87	2104.58	693.58	2061.24	1651.0	1583.71	1242.34	1467.37	819.3	497.0	167.9
ZER1	420.68	223.41	264.03	269.6	0.0	0.39	150.17	1059.11	1242.34	500.46	1745.2	718.08	819.3	1350.18	684.02	334.46	287.01	486.75	769.69	961.07	536.45	1044.52	743.43	466.88	1008.9	638.15	947.83	688.78	1143.1	1143.1	493.56	432.53	785.88	518.15	514.56	1594.73	819.3	995.0	780.44	1242.34	909.17	1191.69	872.1	435.55	204.07
ZNF496	129.69	151.22	115.16	42.41	0.0	0.65	108.9	246.28	251.48	228.13	305.55	177.53	195.72	218.79	169.07	224.97	86.43	79.45	152.28	229.72	140.04	303.44	309.83	150.17	318.57	231.32	258.57	267.73	381.68	414.87	232.94	82.29	218.79	87.65	108.14	309.83	186.4	218.79	289.02	387.02	244.57	368.65	258.57	127.0	63.0
ZNF704	41.81	4.86	2.73	18.29	0.0	0.23	2.81	212.78	348.71	89.51	583.07	120.94	341.51	242.88	127.89	15.0	16.88	16.03	281.09	170.25	37.32	221.86	363.56	10.55	429.54	108.9	167.9	153.34	277.2	262.2	32.59	49.56	447.82	14.35	111.21	285.03	77.79	356.05	287.01	267.73	204.07	497.0	88.88	50.63	1.62
